0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54624 51213	1	 * 	265.12	DCR|2VULN|3DMG|3DUR|1AART	1MBVNT|2RCVC|36aDMG|4AART|56aDUR|6aBPWR|7TBNT|8RCR|9aVULN
64	22322 64235	2	   	239.94	DCR|4VULN|1TLV|1DUR	15RMIN|2DLOT|346aVULN|4BPWR|7DUR|8TLV|9RCR
65	52162 73213	1	   	239.89	DCR|2VULN|2ASPD|1DMG|1TLV|2LIT|1AART|1SELL	1MBVNT|2SELL|38ASPD|4AART|5DMG|68VULN|78LIT|8BPWR|9TLV|aRCR
66	26231 46741	6	   	239.86	DCR|2VULN|2DUR|2ASPD|1DMG|1AART	1RMIN|28ASPD|3BEXP|4MBVNT|58DUR|68VULN|7RCR|8BPWR|9DMG|aAART
67	34461 22113	4	   	239.84	DCR|4VULN|1TLV|1DUR	1ZMB|26ERES|3459VULN|7RCR|8TLV|aDUR
68	55522 22344	1	   	239.80	DCR|2VULN|3DUR|2DMG	1MBVNT|2aVULN|368DUR|4ZMB|5aBEXP|7aDMG|9RCR|aBPWR
69	31164 22544	7	   	239.70	DCR|2VULN|3DUR|2DMG	1aZMB|245DUR|34DUST|4aBPWR|6aDMG|7MBVNT|8aVULN|9RCR
70	36551 42431	10	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1ZMB|2MBVNT|3LIT|4DUR|589VULN|6TLV|7CDMG|aRCR
71	36551 42432	9	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1ZMB|2MBVNT|3LIT|4DUR|589VULN|6TLV|7CDMG|aRCR
72	36551 42442	8	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1ZMB|2MBVNT|3LIT|4DUR|589VULN|6TLV|7CDMG|aRCR
73	53551 42431	10	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1MBVNT|2ZMB|3LIT|4DUR|589VULN|6TLV|7CDMG|aRCR
74	53551 42432	9	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1MBVNT|2ZMB|3LIT|4DUR|589VULN|6TLV|7CDMG|aRCR
75	53551 42442	8	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1MBVNT|2ZMB|3LIT|4DUR|589VULN|6TLV|7CDMG|aRCR
76	33432 32263	7	   	239.18	DCR|3VULN|1DMG|1TLV|1AART	1ZMB|2BEXP|3LIT|4AART|59aVULN|6DMG|7RCR|8TLV
77	33432 32621	10	   	239.18	DCR|3VULN|1DMG|1DUR|1AART	1ZMB|2BEXP|3LIT|4AART|58aVULN|6DMG|7RCR|9DUR
78	33432 32653	9	   	239.18	DCR|3VULN|1DMG|1TLV|1AART	1ZMB|2BEXP|3LIT|4AART|58aVULN|6DMG|7RCR|9TLV
79	33432 61321	9	   	239.16	DCR|4VULN|1CDMG|1AART	1ZMB|2BEXP|3LIT|4AART|5689VULN|7CDMG|aRCR
80	36551 34422	9	   	239.08	DCR|3VULN|1DMG|1DUR|1AART	1ZMB|2MBVNT|3LIT|4DUR|567VULN|8DMG|9RCR|aAART
81	53551 34422	9	   	239.08	DCR|3VULN|1DMG|1DUR|1AART	1MBVNT|2ZMB|3LIT|4DUR|567VULN|8DMG|9RCR|aAART
82	64131 23431	10	   	238.72	DCR|3VULN|3DUR|1AART	1aCGEN|27aVULN|3DUST|4ZMB|59aDUR|6RCR|8AART|aBPWR
83	65632 11333	3	 * 	238.61	DCR|2VULN|2DUR|1DMG|2CDMG|1AART	13CGEN|23CDMG|3BPWR|4AART|58DUR|67VULN|9RCR|aDMG
84	22413 53336	3	   	238.52	DCR|3VULN|3DUR|1AART	1RMIN|2DLOT|378DUR|457VULN|67ERES|7BPWR|9AART|aRCR
85	22613 53336	2	   	238.52	DCR|3VULN|3DUR|1AART	1RMIN|2DLOT|378DUR|457VULN|67ERES|7BPWR|9AART|aRCR
86	55424 31147	1	   	238.47	DCR|4VULN|2DUR	1MBVNT|237aVULN|4BELT|57DUR|67FEWX|7BPWR|8RCR|9BEXP
87	55424 41147	1	   	238.47	DCR|4VULN|2DUR	1MBVNT|237aVULN|4BELT|57DUR|67LWND|7BPWR|8RCR|9BEXP
88	61233 51153	2	   	238.36	DCR|2VULN|3DUR|1DMG|1TLV	1CGEN|258DUR|3TLV|4DMG|6RCR|7BELT|9aVULN
89	61233 51153	1	   	238.36	DCR|2VULN|3DUR|1DMG|1TLV	1CGEN|258DUR|3TLV|4DMG|6RCR|7BELT|9aVULN
90	64131 24212	9	 * 	238.36	DCR|2VULN|3DUR|2CDMG|1TLV	1CGEN|2aVULN|3DUST|4ZMB|58aDUR|6RCR|7TLV|9aCDMG|aBPWR
91	33235 32615	6	   	237.89	DCR|3VULN|2DUR|1CDMG	1ZMB|2aBEXP|3FEWX|4CDMG|56aVULN|7LIT|8RCR|9aDUR|aBPWR
92	33235 33615	7	   	237.89	DCR|3VULN|2DUR|1CDMG	1ZMB|2aBEXP|3FEWX|4CDMG|56aVULN|7LIT|8RCR|9aDUR|aBPWR
93	55451 12242	1	   	237.82	DCR|3VULN|1DMG|1CDMG|1ASPD	1MBVNT|236VULN|4LIT|5CDMG|7LWND|8DMG|9ASPD|aRCR
94	55451 14242	1	   	237.72	DCR|3VULN|1DMG|1CDMG|1ASPD	1MBVNT|236VULN|4LIT|5CDMG|7DUST|8DMG|9ASPD|aRCR
95	31422 31534	10	   	237.59	DCR|2VULN|2DUR|1DMG|2LIT|1CDMG	1ZMB|2aDUR|34LIT|5CDMG|6aLHND|7DMG|8RCR|9aVULN|aBPWR
96	54264 27424	8	   	237.48	DCR|2VULN|2DMG|2DUR|1ASPD	1MBVNT|2LEGI|39DUR|4CGEN|5RMIN|6RCR|79DMG|89VULN|9BPWR|aASPD
97	55421 11117	1	   	237.36	DCR|3VULN|1DMG|1TLV|1DUR	1MBVNT|23aVULN|4BELT|5TLV|6BEXP|7DMG|8RCR|9DUR
98	36224 47348	2	   	237.31	DCR|2VULN|3DMG|1TLV|1AART	19ZMB|2MBVNT|3TLV|4RCVC|5AART|679DMG|89VULN|9BPWR|aRCR
99	53224 47348	2	   	237.31	DCR|2VULN|3DMG|1TLV|1AART	1MBVNT|29ZMB|3TLV|4RCVC|5AART|679DMG|89VULN|9BPWR|aRCR
100	36131 34835	2	 * 	237.06	DCR|4VULN|2ASPD	18ZMB|2MBVNT|3LIT|4BBNT|58ASPD|678aVULN|8BPWR|9RCR
101	53131 34835	2	   	237.06	DCR|4VULN|2ASPD	1MBVNT|28ZMB|3LIT|4BBNT|58ASPD|678aVULN|8BPWR|9RCR
102	26121 35611	9	   	237.04	DCR|3VULN|2DUR|2ASPD	1RMIN|24ASPD|34DUR|4BPWR|56LHND|78aVULN|9RCR
103	26121 26314	4	 * 	237.01	DCR|2VULN|3DUR|2ASPD|1CDMG	1RMIN|24ASPD|346DUR|4BPWR|57VULN|8FEWX|9CDMG|aRCR
104	26133 33527	7	   	236.94	DCR|3VULN|2DUR|2ASPD	1RMIN|29ASPD|39DUR|4MBVNT|5BEXP|6RCR|7ERES|89aVULN|9BPWR
105	26231 46721	6	   	236.94	DCR|3VULN|2DUR|2ASPD	1RMIN|28ASPD|3BEXP|4MBVNT|58DUR|689VULN|7RCR|8BPWR|aDUST
106	26431 14222	6	 * 	236.92	DCR|2VULN|2DMG|2ASPD|2TLV	1RMIN|28ASPD|39VULN|48DMG|5ERES|6CGEN|78TLV|8BPWR|aRCR
107	26121 23414	4	   	236.91	DCR|2VULN|3DUR|2ASPD|1CDMG	1RMIN|24ASPD|346DUR|4BPWR|58VULN|7DUST|9CDMG|aRCR
108	26121 26214	4	   	236.91	DCR|2VULN|3DUR|2ASPD|1CDMG	1RMIN|24ASPD|346DUR|4BPWR|57VULN|8CDMG|9LEGI|aRCR
109	25431 51132	9	   	236.69	DCR|2VULN|2DUR|1TLV|1CDMG|1AART	1RMIN|25DUR|3LIT|4AART|6TLV|7CDMG|8RCR|9aVULN
110	54323 14464	7	 * 	236.64	DCR|5VULN|1AART	1MBVNT|2LEGI|3689aVULN|4aZMB|5AART|7RCR|aBPWR
111	31451 21163	6	   	236.45	DCR|2VULN|2DMG|1TLV|1DUR	1ZMB|2DUR|3LIT|45DMG|6RMIN|7aVULN|8TLV|9RCR
112	54316 37423	6	   	236.38	DCR|3VULN|1DMG|1CDMG|1AART	1MBVNT|2LEGI|367VULN|4LIT|5DMG|8AART|9CDMG|aRCR
113	61323 53331	3	   	236.34	DCR|2VULN|2DMG|2DUR|1AART	137CGEN|28DUR|4AART|57DMG|67VULN|7BPWR|9RCR|aFEWX
114	61323 53332	3	   	236.34	DCR|2VULN|2DMG|2DUR|1AART	137CGEN|28DUR|4AART|57DMG|67VULN|7BPWR|9RCR|aLHND
115	61323 53333	3	   	236.34	DCR|2VULN|2DMG|2DUR|1AART	137CGEN|28DUR|4AART|57DMG|67VULN|7BPWR|9RCR|aLWND
116	61323 53334	3	   	236.34	DCR|2VULN|2DMG|2DUR|1AART	137CGEN|28DUR|4AART|57DMG|67VULN|7BPWR|9RCR|aDMSP
117	61323 53335	3	   	236.24	DCR|2VULN|2DMG|2DUR|1AART	137CGEN|28DUR|4AART|57DMG|67VULN|7BPWR|9RCR|aBBNT
118	26433 16222	4	   	236.14	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1RMIN|2ASPD|37VULN|4DMG|58DUR|6FEWX|9TLV|aRCR
119	26433 26222	4	   	236.14	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1RMIN|2ASPD|37VULN|4DMG|58DUR|6LHND|9TLV|aRCR
120	31521 65232	9	   	236.14	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1ZMB|25DUR|3TLV|4LWND|67VULN|8DMG|9ASPD|aRCR
121	25411 24122	1	   	236.14	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	13RMIN|2DMG|46DUR|57VULN|8TLV|9ASPD|aRCR
122	25511 24122	1	   	236.14	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1RMIN|2DMG|3RCVC|46DUR|57VULN|8TLV|9ASPD|aRCR
123	54264 27421	8	   	236.14	DCR|2VULN|2DMG|2DUR|1AART	1MBVNT|2LEGI|39DUR|4CGEN|5RMIN|6RCR|79DMG|89VULN|9BPWR|aAART
124	26133 46723	6	   	236.11	DCR|3VULN|2ASPD|1DUR|1CDMG	1RMIN|28ASPD|3DUR|4MBVNT|58BEXP|689VULN|7RCR|8BPWR|aCDMG
125	26134 46723	6	   	236.11	DCR|3VULN|2ASPD|1DUR|1CDMG	1RMIN|28ASPD|3DUR|4MBVNT|58LHND|689VULN|7RCR|8BPWR|aCDMG
126	26133 35521	7	   	236.05	DCR|2VULN|2DUR|2ASPD|1TLV|1AART	1RMIN|29ASPD|39DUR|4MBVNT|5BEXP|6RCR|7TLV|89VULN|9BPWR|aAART
127	26133 35721	8	   	236.05	DCR|2VULN|2DUR|2ASPD|1TLV|1AART	1RMIN|29ASPD|39DUR|4MBVNT|5BEXP|6RCR|7TLV|89VULN|9BPWR|aAART
128	26134 35421	8	   	236.05	DCR|2VULN|2DUR|2ASPD|1TLV|1AART	1RMIN|29ASPD|39DUR|4MBVNT|5LHND|6RCR|7TLV|89VULN|9BPWR|aAART
129	26134 35521	7	   	236.05	DCR|2VULN|2DUR|2ASPD|1TLV|1AART	1RMIN|29ASPD|39DUR|4MBVNT|5LHND|6RCR|7TLV|89VULN|9BPWR|aAART
130	26135 46232	5	 * 	236.04	DCR|3DUR|1VULN|3ASPD|1DMG|1TLV	1RMIN|257ASPD|357DUR|4MBVNT|57BPWR|6RCR|8TLV|9DMG|aVULN
131	26432 34332	9	   	236.04	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1RMIN|2ASPD|39VULN|4DMG|5DUST|6TLV|78DUR|aRCR
132	54134 48724	4	   	236.02	ACR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|2LEGI|38ASPD|4RCR|5DUR|689VULN|78DMG|8BPWR|aLIT
133	26422 43212	6	 * 	236.00	DCR|3VULN|3ASPD|1DMG	1RMIN|279ASPD|379VULN|457LWND|6RPLT|79BPWR|8RCR|aDMG
134	36551 34221	10	   	235.97	DCR|3VULN|1DMG|1DUR|2LIT	1ZMB|2MBVNT|38LIT|4DUR|567VULN|9RCR|aDMG
135	53551 34221	10	   	235.97	DCR|3VULN|1DMG|1DUR|2LIT	1MBVNT|2ZMB|38LIT|4DUR|567VULN|9RCR|aDMG
136	26137 35421	8	   	235.95	DCR|2VULN|2DUR|2ASPD|1TLV|1AART	1RMIN|29ASPD|39DUR|4MBVNT|5DUST|6RCR|7TLV|89VULN|9BPWR|aAART
137	26361 31135	8	 * 	235.93	DCR|3VULN|2ASPD|2TLV|1AART	1RMIN|28ASPD|34TLV|58MLV|6AART|78aVULN|8BPWR|9RCR
138	25321 25252	7	   	235.90	DCR|3VULN|2DUR|2TLV	1RMIN|2aDUR|38CGEN|4RPLT|5aTLV|6RCR|79aVULN|aBPWR
139	25321 25352	8	   	235.90	DCR|3VULN|2DUR|2TLV	1RMIN|2aDUR|3CGEN|48RPLT|5aTLV|6RCR|79aVULN|aBPWR
140	25321 25362	9	   	235.90	DCR|3VULN|2DUR|2TLV	1RMIN|2aDUR|3CGEN|48RPLT|5aTLV|6RCR|79aVULN|aBPWR
141	31321 25352	7	   	235.90	DCR|3VULN|2DUR|2TLV	1aZMB|2aDUR|3CGEN|4RPLT|58TLV|6RCR|79aVULN|aBPWR
142	31321 45252	8	   	235.90	DCR|3VULN|2DUR|2TLV	1aZMB|2aDUR|3CGEN|4RPLT|57TLV|69aVULN|8RCR|aBPWR
143	31321 45262	9	   	235.90	DCR|3VULN|2DUR|2TLV	1aZMB|2aDUR|3CGEN|4RPLT|57TLV|69aVULN|8RCR|aBPWR
144	64131 23235	10	   	235.90	DCR|3VULN|2DUR|1DMG	1CGEN|27aVULN|3DUST|4ZMB|5aDUR|6RCR|8DMG|9aLHND|aBPWR
145	55424 31111	1	   	235.90	DCR|3VULN|2DUR|1DMG	1MBVNT|237VULN|4BELT|57DUR|67FEWX|7BPWR|8RCR|9RCVC|aDMG
146	55424 41111	1	   	235.90	DCR|3VULN|2DUR|1DMG	1MBVNT|237VULN|4BELT|57DUR|67LWND|7BPWR|8RCR|9RCVC|aDMG
147	62121 25252	8	   	235.90	DCR|3VULN|2DUR|2TLV	1aCGEN|2RMIN|38DUR|4RPLT|5aTLV|6RCR|79aVULN|aBPWR
148	62121 25262	9	   	235.90	DCR|3VULN|2DUR|2TLV	1aCGEN|2RMIN|38DUR|4RPLT|5aTLV|6RCR|79aVULN|aBPWR
149	36742 42273	2	   	235.85	DCR|3DMG|3DUR|1VULN|1CDMG	1ZMB|2MBVNT|356DUR|467DMG|6BPWR|8CDMG|9VULN|aRCR
150	52742 42273	2	   	235.85	DCR|3DMG|3DUR|1VULN|1CDMG	1MBVNT|2CGEN|356DUR|467DMG|6BPWR|8CDMG|9VULN|aRCR
151	52842 42273	3	   	235.85	DCR|3DMG|3DUR|1VULN|1CDMG	1MBVNT|2CGEN|356DUR|467DMG|6BPWR|8CDMG|9VULN|aRCR
152	53742 42273	2	   	235.85	DCR|3DMG|3DUR|1VULN|1CDMG	1MBVNT|2ZMB|356DUR|467DMG|6BPWR|8CDMG|9VULN|aRCR
153	25321 25352	7	 * 	235.80	DCR|3VULN|2DUR|3TLV	1RMIN|2aDUR|3CGEN|4RPLT|58aTLV|6RCR|79aVULN|aBPWR
154	22135 51135	8	   	235.80	DCR|3VULN|2DUR|2TLV	1RMIN|2DLOT|36RCVC|48DUR|58TLV|78aVULN|8BPWR|9RCR
155	22135 53523	5	   	235.80	DCR|3VULN|2DUR|2TLV	1RMIN|2DLOT|3RCVC|47DUR|57TLV|679VULN|7BPWR|8FEWX|aRCR
156	22335 51135	8	   	235.80	DCR|3VULN|2DUR|2TLV	1RMIN|2DLOT|3DMSP|48DUR|58TLV|6RCVC|78aVULN|8BPWR|9RCR
157	22335 53523	5	   	235.80	DCR|3VULN|2DUR|2TLV	1RMIN|2DLOT|3DMSP|47DUR|57TLV|679VULN|7BPWR|8FEWX|aRCR
158	35123 43233	10	   	235.80	DCR|3VULN|2DUR|2CDMG	1ZMB|28CDMG|3MLV|4DUST|58DUR|6FEWX|78aVULN|8BPWR|9RCR
159	35143 53233	10	   	235.80	DCR|3VULN|2DUR|2CDMG	1ZMB|28CDMG|3MLV|4FEWX|58DUR|6DUST|78aVULN|8BPWR|9RCR
160	24213 24214	1	   	235.76	DCR|2VULN|3DUR|2TLV|1CDMG	1RMIN|258DUR|38TLV|4MLV|6ERES|78VULN|8BPWR|9CDMG|aRCR
161	25213 24214	2	   	235.76	DCR|2VULN|3DUR|2TLV|1CDMG	1RMIN|258DUR|38TLV|4MLV|6ERES|78VULN|8BPWR|9CDMG|aRCR
162	31361 25621	10	   	235.76	DCR|2VULN|3DUR|1DMG|1CDMG	1ZMB|257DUR|3CGEN|48VULN|6CDMG|9RCR|aDMG
