0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32222 23654	7	 * 	293.43	DCR|5VULN|2DMG|1TLV|1DUR	13aERES|2356aVULN|3aBPWR|4TLV|7RCR|8DUR|9aDMG
25	32256 11611	7	   	270.27	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9DUST
26	32256 11611	6	   	270.27	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9DUST
27	12223 51631	1	 * 	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1BEXP|28aVULN|36DMG|4TLV|57DUR|9RCR
28	22223 51631	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1FEWX|28aVULN|36DMG|4TLV|57DUR|9RCR
29	52223 51631	1	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	1DUST|28aVULN|36DMG|4TLV|57DUR|9RCR
30	32256 11413	10	   	268.41	DCR|4VULN|2TLV|2DUR	13ERES|2358VULN|35BPWR|45DUR|69TLV|7RCR|aLIT
31	32222 21242	10	   	267.80	DCR|5VULN|1TLV|1DMG	13ERES|23568VULN|3BPWR|4TLV|7LIT|9RCR|aDMG
32	32222 23232	10	   	267.80	DCR|5VULN|1TLV|1DMG	13ERES|23569VULN|3BPWR|4TLV|7RCR|8LIT|aDMG
33	32256 11432	6	   	265.15	DCR|4VULN|3DUR|1TLV	13ERES|2359VULN|35BPWR|458DUR|6TLV|7RCR|aDUST
34	32256 11432	7	   	265.15	DCR|4VULN|3DUR|1TLV	13ERES|2359VULN|35BPWR|458DUR|6TLV|7RCR|aDUST
35	32356 11431	7	   	265.15	DCR|4VULN|3DUR|1TLV	13ERES|259aVULN|458DUR|5BPWR|6TLV|7RCR
36	32356 11431	6	   	265.15	DCR|4VULN|3DUR|1TLV	13ERES|259aVULN|458DUR|5BPWR|6TLV|7RCR
37	32222 21244	9	   	263.99	DCR|5VULN|1TLV|1DUR	13ERES|23568VULN|3BPWR|4TLV|7LIT|9RCR|aDUR
38	32222 23214	7	   	263.99	DCR|5VULN|1TLV|1DUR	13ERES|23568VULN|3BPWR|4TLV|7RCR|9ASPD|aDUR
39	32222 23224	8	   	263.99	DCR|5VULN|1TLV|1DUR	13ERES|23569VULN|3BPWR|4TLV|7RCR|8LIT|aDUR
40	32222 23234	9	   	263.99	DCR|5VULN|1TLV|1DUR	13ERES|23569VULN|3BPWR|4TLV|7RCR|8LIT|aDUR
41	32222 23252	7	   	263.99	DCR|5VULN|1TLV|1DUR	13ERES|23568VULN|3BPWR|4TLV|7RCR|9DUR|aLIT
42	32222 23662	7	   	263.99	DCR|5VULN|1TLV|1DUR	13ERES|23569VULN|3BPWR|4TLV|7RCR|8DUR|aLIT
43	32222 23646	7	 * 	263.76	DCR|5VULN|2TLV|1DUR	13ERES|2356aVULN|3BPWR|49TLV|7RCR|8DUR
