0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13452 22212	10	 * 	303.76	DCR|5VULN|3DUR|1TLV|1DMG	12456VULN|359DUR|5BPWR|7DMG|8TLV|aRCR
41	13452 33124	7	   	287.31	DCR|5VULN|3DUR|1DMG	12457VULN|357DUR|57BPWR|6AART|8DMG|9FEWX|aRCR
42	13452 33331	9	   	287.31	DCR|5VULN|3DUR|1DMG	12457VULN|357DUR|57BPWR|6AART|8RCR|9RMIN|aDMG
43	13653 23326	2	   	286.95	DCR|5VULN|3TLV|2DUR	1268aVULN|3LWND|48DUR|568TLV|68BPWR|7RCR|9LIT
44	16651 11323	9	   	285.84	DCR|4VULN|2DUR|1TLV|1DMG|1CDMG	134aVULN|23DUR|3BPWR|5CDMG|6DMG|7RCR|8LHND|9TLV
45	53651 11323	9	   	285.84	DCR|4VULN|2DUR|1TLV|1DMG|1CDMG	13DUR|234aVULN|3BPWR|5CDMG|6DMG|7RCR|8LHND|9TLV
46	16651 11223	9	   	285.74	DCR|4VULN|2DUR|1TLV|1DMG|1CDMG	134aVULN|23DUR|3BPWR|5CDMG|6DMG|7RCR|8LEGI|9TLV
47	53651 11223	9	   	285.74	DCR|4VULN|2DUR|1TLV|1DMG|1CDMG	13DUR|234aVULN|3BPWR|5CDMG|6DMG|7RCR|8LEGI|9TLV
48	15111 36253	10	   	285.46	DCR|5VULN|2DMG|2TLV	1357aVULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9LHND
49	15111 36223	10	   	285.36	DCR|5VULN|2DMG|2TLV	1357aVULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9MBVNT
50	15111 36224	9	   	285.36	DCR|5VULN|2DMG|2TLV	1357aVULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9MBVNT
51	15111 36233	10	   	285.36	DCR|5VULN|2DMG|2TLV	1357aVULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9LEGI
52	12423 11154	1	   	285.15	DCR|3VULN|3DMG|3DUR|1CDMG	178VULN|2BBNT|3MLV|4MBVNT|578DMG|678DUR|78BPWR|9RCR|aCDMG
53	12523 11154	1	   	285.05	DCR|3VULN|3DMG|3DUR|1CDMG	178VULN|2BBNT|3ERES|4MBVNT|578DMG|678DUR|78BPWR|9RCR|aCDMG
54	16626 22331	3	   	283.89	DCR|5VULN|3DUR|1TLV	1359aVULN|239DUR|39BPWR|4MLV|6RCR|7TLV|89LHND
55	53626 22331	3	   	283.89	DCR|5VULN|3DUR|1TLV	139DUR|2359aVULN|39BPWR|4MLV|6RCR|7TLV|89LHND
56	15111 36221	8	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9DUR|aLWND
57	15111 36222	8	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9DUR|aCGEN
58	15111 36223	8	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9DUR|aFEWX
59	15111 36225	8	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9DUR|aBELT
60	15111 36226	8	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9DUR|aBEXP
61	15111 36211	9	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9ERES|aDUR
62	15111 36224	8	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR|1NUKE	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9DUR|aNUKE
63	15111 36321	10	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8DUR|9MBVNT|aRCR
64	15111 36336	10	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8DUR|9LEGI|aRCR
65	16115 13222	3	   	283.09	DCR|4VULN|3DUR|3TLV	1789VULN|246DUR|3AART|567TLV|67BPWR|aRCR
66	15111 36212	8	   	282.77	DCR|4VULN|3DMG|2TLV	1357VULN|27TLV|4RCVC|679DMG|7BPWR|8RCR|aLWND
67	15111 36214	8	   	282.77	DCR|4VULN|3DMG|2TLV	1357VULN|27TLV|4RCVC|679DMG|7BPWR|8RCR|aRPLT
68	15111 36216	8	   	282.77	DCR|4VULN|3DMG|2TLV	1357VULN|27TLV|4RCVC|679DMG|7BPWR|8RCR|aZMB
69	15111 36213	8	   	282.67	DCR|4VULN|3DMG|2TLV	1357VULN|27TLV|4RCVC|679DMG|7BPWR|8RCR|aDUST
70	13421 32241	4	   	282.55	DCR|3VULN|2DMG|2DUR|1CDMG	128VULN|38DUR|4LIT|5AART|6ASPD|78DMG|8BPWR|9CDMG|aRCR
71	13322 64884	7	   	282.52	DCR|4VULN|3DUR|3LIT|1CDMG	129aVULN|3CDMG|4AART|5MBVNT|69aDUR|79aLIT|8RCR|9aBPWR
72	16621 32212	4	   	282.22	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aRPLT
73	16621 32213	4	   	282.22	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aMLV
74	16621 32215	4	   	282.22	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aLHND
75	16621 32216	4	   	282.22	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aFEWX
76	53621 32212	4	   	282.22	DCR|3VULN|3DUR|2DMG	138DUR|238VULN|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aRPLT
77	53621 32213	4	   	282.22	DCR|3VULN|3DUR|2DMG	138DUR|238VULN|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aMLV
78	53621 32215	4	   	282.22	DCR|3VULN|3DUR|2DMG	138DUR|238VULN|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aLHND
79	53621 32216	4	   	282.22	DCR|3VULN|3DUR|2DMG	138DUR|238VULN|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR|aFEWX
80	16114 32211	3	   	282.12	DCR|3VULN|3DUR|2DMG	18aVULN|248DUR|3AART|5LIT|6ASPD|78DMG|8BPWR|9RCR
81	53114 32211	3	   	282.12	DCR|3VULN|3DUR|2DMG	148DUR|28aVULN|3AART|5LIT|6ASPD|78DMG|8BPWR|9RCR
82	16623 21211	4	   	282.11	DCR|5VULN|3DUR|2LIT	1378aVULN|238DUR|38BPWR|48LIT|5MBVNT|6AART|9RCR
83	53623 21211	4	   	282.11	DCR|5VULN|3DUR|2LIT	138DUR|2378aVULN|38BPWR|48LIT|5MBVNT|6AART|9RCR
84	22363 11533	7	   	282.04	DCR|5VULN|2DMG|1DUR|2LIT|1SELL	1SELL|2348aVULN|3aBPWR|5DUR|6aDMG|7RCR|9aLIT
85	13452 31231	6	   	281.75	DCR|4VULN|2DUR|1TLV|1DMG	1245VULN|35DUR|5BPWR|6AART|7MBVNT|8RCR|9DMG|aTLV
86	13455 31231	4	   	281.75	DCR|4VULN|2DUR|1TLV|1DMG	1246VULN|36DUR|5AART|6BPWR|7MBVNT|8RCR|9DMG|aTLV
87	16121 26316	7	   	281.59	DCR|3VULN|3DMG|2DUR|1CDMG	19aVULN|29DUR|3AART|4CGEN|5CDMG|679DMG|8RCR|9BPWR
88	53121 26316	7	   	281.59	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|29aVULN|3AART|4CGEN|5CDMG|679DMG|8RCR|9BPWR
89	22324 43236	5	   	281.34	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	1SELL|23aVULN|3aBPWR|4AART|5CDMG|6aDUR|79aDMG|8RCR
90	13452 33342	10	   	280.90	DCR|5VULN|3DUR|1CDMG	12457VULN|357DUR|57BPWR|6AART|8RCR|9RCVC|aCDMG
91	13452 33361	10	   	280.90	DCR|5VULN|3DUR|1CDMG	12457VULN|357DUR|57BPWR|6AART|8RCR|9LHND|aCDMG
92	13353 11543	7	   	280.80	DCR|4VULN|2DMG|1TLV|1CDMG	1289VULN|3CDMG|4TLV|5ASPD|6aDMG|7RCR
93	15111 36241	8	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9CDMG|aLWND
94	15111 36243	8	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9CDMG|aFEWX
95	36126 42313	7	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	19TLV|2BEXP|369aVULN|4FEWX|5CDMG|79DMG|8RCR|9BPWR
96	13316 14162	10	   	280.48	DCR|5VULN|3DMG|1CDMG	12589VULN|3CDMG|49BEXP|679DMG|9BPWR|aRCR
97	13362 14162	10	   	280.48	DCR|5VULN|3DMG|1CDMG	12489VULN|3CDMG|59BEXP|679DMG|9BPWR|aRCR
98	16613 23333	4	   	280.47	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LWND|568TLV|7RCR|9RCVC|aDMG
99	16613 23363	4	   	280.47	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LWND|568TLV|7RCR|9LHND|aDMG
100	16633 23333	3	   	280.47	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9RCVC|aDMG
101	16633 23333	4	   	280.47	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9RCVC|aDMG
102	16633 23363	3	   	280.47	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|489LHND|568TLV|7RCR|aDMG
103	16633 23363	4	   	280.47	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|489LHND|568TLV|7RCR|aDMG
104	16613 23343	4	   	280.37	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LWND|568TLV|7RCR|9LEGI|aDMG
105	16633 23343	3	   	280.37	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9LEGI|aDMG
106	16633 23343	4	   	280.37	DCR|4VULN|3TLV|2DUR|1DMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9LEGI|aDMG
107	22314 14513	3	   	280.12	DCR|4VULN|2TLV|2DUR|1DMG|1SELL	1SELL|239aVULN|39BPWR|49DUR|5DMG|6LHND|7RCR|89TLV
108	22314 42513	3	   	280.12	DCR|4VULN|2TLV|2DUR|1DMG|1SELL	1SELL|239aVULN|39BPWR|49DUR|5DMG|6RCR|7BEXP|89TLV
109	22314 43513	3	   	280.02	DCR|4VULN|2TLV|2DUR|1DMG|1SELL	1SELL|239aVULN|39BPWR|49DUR|5DMG|6RCR|7DUST|89TLV
110	12423 11132	1	   	279.81	DCR|3VULN|3DMG|3DUR	178VULN|2BBNT|3MLV|4MBVNT|578DMG|678DUR|78BPWR|9ASPD|aRCR
111	13314 34513	4	   	279.43	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	129aVULN|3CDMG|49BEXP|5DMG|6DUR|7RCR|89TLV|9BPWR
112	13334 34513	3	   	279.43	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	129aVULN|3CDMG|49BEXP|5DMG|6DUR|7RCR|89TLV|9BPWR
113	22363 11433	7	   	279.35	DCR|4VULN|3DMG|1DUR|2LIT|1SELL	1SELL|234aVULN|3aBPWR|5DUR|68aDMG|7RCR|9aLIT
114	13331 15636	10	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1278VULN|38CDMG|4ERES|5TLV|68DMG|8BPWR|9MLV|aRCR
115	16633 23336	4	   	278.75	DCR|5VULN|3TLV|2DUR	1368aVULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9RCVC
116	16633 23336	3	   	278.75	DCR|5VULN|3TLV|2DUR	1368aVULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9RCVC
117	16623 44331	4	   	278.43	DCR|4VULN|2DMG|2DUR|2LIT	1379VULN|23DUR|37BPWR|47LIT|5MBVNT|67DMG|8TBNT|aRCR
118	13452 22136	9	   	277.55	DCR|5VULN|3DUR|1DMG	12456VULN|358DUR|5BPWR|7DMG|9BEXP|aRCR
119	13452 22126	9	   	277.45	DCR|5VULN|3DUR|1DMG	12456VULN|358DUR|5BPWR|7DMG|9DUST|aRCR
120	13452 22142	10	   	277.45	DCR|5VULN|3DUR|1DMG	12456VULN|358DUR|5BPWR|7DMG|9ERES|aRCR
121	16643 32231	6	   	277.15	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	137VULN|23DUR|37BPWR|47ZMB|57ASPD|6AART|8RCR|9DMG|aTLV
122	16614 21313	6	   	277.00	DCR|4VULN|3DUR|2DMG	1378VULN|238DUR|38BPWR|4LWND|5LHND|68DMG|9CGEN|aRCR
123	16614 21323	6	   	277.00	DCR|4VULN|3DUR|2DMG	1378VULN|238DUR|38BPWR|4LWND|5LHND|68DMG|9MLV|aRCR
124	53614 21313	6	   	277.00	DCR|4VULN|3DUR|2DMG	138DUR|2378VULN|38BPWR|4LWND|5LHND|68DMG|9CGEN|aRCR
125	53614 21323	6	   	277.00	DCR|4VULN|3DUR|2DMG	138DUR|2378VULN|38BPWR|4LWND|5LHND|68DMG|9MLV|aRCR
126	13653 23323	2	   	276.92	DCR|4VULN|3TLV|2DUR	1268VULN|3LWND|48DUR|568TLV|68BPWR|7RCR|9LIT|aASPD
127	15166 33422	10	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	13aVULN|2aTLV|45DMG|6MBVNT|7FEWX|8aDUR|9RCR|aBPWR
128	15111 36241	10	   	276.78	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9AART|aLHND
129	15111 36242	10	   	276.78	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9AART|aZMB
130	15111 36243	9	   	276.78	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9AART|aLWND
131	15111 36241	9	   	276.68	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9AART|aERES
132	15111 36243	10	   	276.68	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9AART|aLEGI
133	15111 36242	9	   	276.54	DCR|4VULN|2DMG|2TLV|1SELL	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9AART|aSELL
134	13452 33341	8	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9LIT|aCGEN
135	13452 33322	9	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9CGEN|aLIT
136	13452 33322	10	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9CGEN|aLIT
137	13452 33335	9	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9RMIN|aLIT
138	13452 33336	10	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9RMIN|aASPD
139	13452 33532	8	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8CGEN|9RCR|aLIT
140	13452 33632	8	   	275.56	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8MLV|9RCR|aLIT
141	13452 33232	8	   	275.46	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8ERES|9RCR|aLIT
142	13452 33312	9	   	275.46	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9ERES|aLIT
143	13452 33312	8	   	275.46	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9ERES|aLIT
144	13452 33312	10	   	275.46	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9ERES|aLIT
145	13452 33343	8	   	275.46	DCR|5VULN|3DUR	12457VULN|357DUR|57BPWR|6AART|8RCR|9LIT|aTBNT
146	13452 35213	7	   	275.46	DCR|5VULN|3DUR	12459VULN|35aDUR|5BPWR|6AART|7LIT|8RCR
147	15111 36151	10	   	275.43	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|9FEWX|aRCR
148	13353 11443	7	   	275.40	DCR|3VULN|3DMG|1TLV|1CDMG	129VULN|3CDMG|4TLV|5ASPD|68aDMG|7RCR
149	13452 21423	7	   	275.35	DCR|5VULN|2DUR|2AART|1CDMG	12456VULN|35DUR|5BPWR|79AART|8CDMG|aRCR
150	15111 36111	10	   	275.33	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|9LEGI|aRCR
151	15111 36133	8	   	275.33	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|9TBNT|aRCR
152	15111 36141	10	   	275.33	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|9DUST|aRCR
153	15111 36225	10	   	275.33	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9MBVNT|aLIT
154	15111 36234	10	   	275.33	DCR|4VULN|2DMG|2TLV	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8RCR|9LEGI|aLIT
155	15111 36261	8	   	275.33	DCR|4VULN|2DMG|3TLV	1357VULN|279TLV|4RCVC|67DMG|7BPWR|8RCR|aLIT
156	11111 36261	8	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	1357VULN|27MLV|4RCVC|67DMG|7BPWR|8RCR|9TLV|aDUR
157	13111 36261	8	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	1257VULN|37MLV|4RCVC|67DMG|7BPWR|8RCR|9TLV|aDUR
158	15111 36125	8	   	275.18	DCR|4VULN|2DMG|2TLV|1SELL	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|9SELL|aRCR
159	13653 23322	2	   	275.16	DCR|4VULN|3TLV|2DUR|2LIT	1268VULN|3LWND|48DUR|568TLV|68BPWR|7RCR|9aLIT
160	22331 14641	10	   	275.03	DCR|3VULN|3DMG|2TLV|1CDMG|1SELL	1SELL|238VULN|38BPWR|4ERES|58TLV|678DMG|9CDMG|aRCR
161	15163 23141	5	   	274.59	DCR|4VULN|3DMG|1TLV	138aVULN|2TLV|489DMG|58LHND|6RCR|7TBNT|8BPWR
162	15231 23141	3	   	274.59	DCR|4VULN|3DMG|1TLV	148aVULN|2TLV|38LHND|589DMG|6RCR|7TBNT|8BPWR
163	13311 34512	1	   	274.44	DCR|3VULN|3DUR|2TLV|1CDMG	19aVULN|2ASPD|369DUR|4CDMG|5LHND|7RCR|89TLV|9BPWR
164	13335 34512	1	   	274.44	DCR|3VULN|3DUR|2TLV|1CDMG	19aVULN|2ASPD|369DUR|4LHND|5CDMG|7RCR|89TLV|9BPWR
165	13413 23534	4	   	274.05	DCR|4VULN|2TLV|2DUR|1CDMG	1269VULN|39DUR|4LWND|56TLV|69BPWR|7RCR|89CGEN|aCDMG
166	13433 23534	3	   	274.05	DCR|4VULN|2TLV|2DUR|1CDMG	1269VULN|39DUR|4LHND|56TLV|69BPWR|7RCR|89CGEN|aCDMG
167	13433 23534	4	   	274.05	DCR|4VULN|2TLV|2DUR|1CDMG	1269VULN|39DUR|4LHND|56TLV|69BPWR|7RCR|89CGEN|aCDMG
168	16613 23316	4	   	274.05	DCR|4VULN|3TLV|2DUR|1CDMG	1368VULN|23DUR|368BPWR|48LWND|568TLV|7RCR|9RMIN|aCDMG
169	16613 23326	4	   	274.05	DCR|4VULN|3TLV|2DUR|1CDMG	1368VULN|23DUR|368BPWR|48LWND|568TLV|7RCR|9CGEN|aCDMG
170	16633 23316	4	   	274.05	DCR|4VULN|3TLV|2DUR|1CDMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9RMIN|aCDMG
171	16633 23316	3	   	274.05	DCR|4VULN|3TLV|2DUR|1CDMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9RMIN|aCDMG
172	16633 23326	3	   	274.05	DCR|4VULN|3TLV|2DUR|1CDMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9CGEN|aCDMG
173	16633 23326	4	   	274.05	DCR|4VULN|3TLV|2DUR|1CDMG	1368VULN|23DUR|368BPWR|48LHND|568TLV|7RCR|9CGEN|aCDMG
174	13352 44213	5	   	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	129aVULN|3CDMG|49TLV|5LWND|6RCR|7ZMB|89DUR|9BPWR
175	16626 22332	3	   	273.86	DCR|4VULN|3DUR|1TLV	1359VULN|239DUR|39BPWR|4MLV|6RCR|7TLV|89LHND|aASPD
