0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12122 55432	4	 * 	298.76	DCR|3VULN|3DMG|2DUR|2ASPD	19DUR|29aDMG|34ASPD|5LIT|679VULN|8RCR|9BPWR
20	12633 12273	9	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249DMG|3CDMG|5ERES|6MBVNT|79aVULN|8RCR|9BPWR
21	12633 16371	10	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249DMG|3CDMG|5ERES|6MBVNT|7RCR|89aVULN|9BPWR
22	12633 16373	9	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249DMG|3CDMG|5ERES|6MBVNT|7RCR|89aVULN|9BPWR
23	15131 34335	10	   	282.67	DCR|4VULN|3DUR|2CDMG|1ASPD	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aASPD
24	12151 52431	5	   	282.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT|1ASPD	159DUR|29DMG|3ASPD|47LIT|69VULN|8RCR|9BPWR|aTLV
25	12661 33152	7	 * 	281.75	DCR|3VULN|2DMG|2DUR|2CDMG	18DUR|29DMG|38CDMG|4LIT|5DUST|68aVULN|7RCR|8BPWR
26	12631 53422	9	 * 	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	189DUR|246DMG|356CDMG|68BPWR|78VULN|aRCR
27	12161 64322	7	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	19DUR|25DMG|3ASPD|47aVULN|6RCR|8TLV
28	12151 52433	5	   	279.41	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG|1ASPD	159DUR|29DMG|3ASPD|47LIT|69VULN|8RCR|9BPWR|aCDMG
29	11231 83271	10	 * 	279.40	DCR|3VULN|2DUR|3CDMG|2ASPD|1TLV	19DUR|2MBVNT|359CDMG|45aVULN|59BPWR|6TLV|79ASPD|8RCR
30	15131 66333	10	 * 	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	15aDUR|2CDMG|3DUST|456VULN|5BPWR|7RCR|8TLV|9DMG
31	12122 52432	4	   	278.40	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	19DUR|29aDMG|34ASPD|57LIT|69VULN|8RCR|9BPWR
32	12125 52432	5	   	278.40	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	19DUR|29aDMG|34ASPD|57LIT|69VULN|8RCR|9BPWR
33	12152 51432	4	   	278.40	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	19DUR|29aDMG|37ASPD|45LIT|69VULN|8RCR|9BPWR
34	12152 52432	3	   	278.40	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	19DUR|29aDMG|34ASPD|57LIT|69VULN|8RCR|9BPWR
35	12252 52432	2	   	278.40	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	19DUR|29aDMG|34ASPD|57LIT|69VULN|8RCR|9BPWR
36	13252 52432	1	   	278.40	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	19DUR|29aDMG|34ASPD|57LIT|69VULN|8RCR|9BPWR
37	14334 33215	4	   	277.71	DCR|4VULN|3ASPD|2DUR	17DUR|267ASPD|3RCVC|4567VULN|67BPWR|8LIT|9FEWX|aRCR
38	14334 33235	4	   	277.71	DCR|4VULN|3ASPD|2DUR	17DUR|267ASPD|3RCVC|4567VULN|67BPWR|8LIT|9BEXP|aRCR
39	12161 42323	5	 * 	276.97	DCR|2VULN|3DMG|3DUR|2ASPD	168DUR|258DMG|3aASPD|4aVULN|78aLHND|8aBPWR|9RCR
40	13231 53235	10	   	276.45	DCR|4VULN|3DUR|1CDMG|1ASPD	156DUR|28LHND|3CDMG|4567VULN|56BPWR|9RCR|aASPD
41	13231 53635	10	   	276.45	DCR|4VULN|3DUR|1CDMG|1ASPD	156DUR|2LHND|3CDMG|4567VULN|56BPWR|8DMSP|9RCR|aASPD
42	13231 53661	7	   	275.01	DCR|4VULN|3DUR|1CDMG	156DUR|2LHND|3CDMG|4567VULN|56BPWR|8MBVNT|9RCR|aAART
43	11232 75248	4	   	274.93	DCR|3VULN|3DUR|2CDMG|1TLV	179DUR|2MBVNT|37CDMG|47aVULN|5AART|6RCR|7BPWR|8TLV
44	13232 52562	7	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	16DUR|2LHND|35CDMG|4678VULN|6BPWR|9RCR|aTLV
45	11231 73614	7	   	274.59	DCR|4VULN|2DUR|2CDMG|1TLV	19DUR|2MBVNT|35CDMG|4568VULN|5BPWR|7TLV|aRCR
46	11231 77272	6	   	274.59	DCR|4VULN|2DUR|2CDMG|1TLV	18DUR|2MBVNT|35CDMG|4569VULN|5BPWR|7RCR|aTLV
47	11231 88614	7	   	274.59	DCR|4VULN|2DUR|2CDMG|1TLV	19DUR|2MBVNT|35CDMG|4578VULN|5BPWR|6TLV|aRCR
48	15132 32562	7	   	274.59	DCR|4VULN|2DUR|2CDMG|1TLV	16DUR|25CDMG|3DUST|4678VULN|6BPWR|9RCR|aTLV
49	12162 46112	9	 * 	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|4679aVULN|5ERES|8RCR
50	12115 16233	10	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2aDMG|3ASPD|4AART|5FEWX|6RCR|79aVULN|8MBVNT|aBPWR
51	12116 16233	10	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2aDMG|3ASPD|4AART|5BEXP|6RCR|79aVULN|8MBVNT|aBPWR
52	12111 16233	10	   	274.05	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2aDMG|3ASPD|4AART|5DUST|6RCR|79aVULN|8MBVNT|aBPWR
53	12161 64332	8	   	273.76	DCR|3VULN|3DMG|1DUR|1ASPD	1DUR|25aDMG|3ASPD|478VULN|6RCR|9LIT
54	12612 53262	9	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1DUR|29DMG|3CDMG|4ERES|59aVULN|6ZMB|79ASPD|8RCR|9BPWR
55	13231 52414	10	   	273.66	DCR|4VULN|3DUR|1CDMG	156DUR|2LHND|3CDMG|4569VULN|56BPWR|7LEGI|8LIT|aRCR
56	15131 31414	10	   	273.66	DCR|4VULN|3DUR|1CDMG	156DUR|2CDMG|3DUST|4569VULN|56BPWR|7LHND|8LIT|aRCR
57	15131 33414	10	   	273.66	DCR|4VULN|3DUR|1CDMG	156DUR|2CDMG|3DUST|4569VULN|56BPWR|7BEXP|8LIT|aRCR
58	12161 64322	9	 * 	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|25DMG|3ASPD|478aVULN|6RCR|9ZMB
59	11231 71812	6	   	272.12	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2MBVNT|35CDMG|456aVULN|5BPWR|7LIT|8DMG|9RCR
60	11231 78112	7	   	272.12	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2MBVNT|35CDMG|456aVULN|5BPWR|7DMG|8LIT|9RCR
61	13232 56332	8	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	16DUR|2LHND|35CDMG|46aVULN|6BPWR|7RCR|8TLV|9DMG
62	13232 56332	9	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	16DUR|2LHND|35CDMG|46aVULN|6BPWR|7RCR|8TLV|9DMG
63	13232 56335	10	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	16DUR|2LHND|35CDMG|46aVULN|6BPWR|7RCR|8TLV|9DMG
64	15131 66232	9	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	15DUR|2CDMG|3DUST|456aVULN|5BPWR|7RCR|8ZMB|9DMG
65	15132 36332	9	   	272.01	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	16DUR|25CDMG|3DUST|46aVULN|6BPWR|7RCR|8TLV|9DMG
66	15132 36335	10	   	272.01	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	16DUR|25CDMG|3DUST|46aVULN|6BPWR|7RCR|8TLV|9DMG
67	13231 52141	10	   	271.86	DCR|4VULN|3DUR|2CDMG	156DUR|2aLHND|3aCDMG|456aVULN|56aBPWR|7LEGI|8RPLT|9RCR
68	15131 31141	10	   	271.86	DCR|4VULN|3DUR|2CDMG	156DUR|2aCDMG|3DUST|456aVULN|56aBPWR|7aLHND|8RPLT|9RCR
69	15131 33141	10	   	271.86	DCR|4VULN|3DUR|2CDMG	156DUR|2aCDMG|3DUST|456aVULN|56aBPWR|7aBEXP|8RPLT|9RCR
70	13232 52561	7	   	271.66	DCR|4VULN|3DUR|2CDMG	16aDUR|2LHND|35CDMG|4678VULN|6BPWR|9RCR
71	11644 34833	6	 * 	271.66	DCR|4VULN|3DUR|3LIT	178DUR|2MBVNT|3LWND|478LIT|5789VULN|6LEGI|78BPWR|aRCR
72	11644 34851	6	   	271.66	DCR|4VULN|3DUR|3LIT	178DUR|2MBVNT|3LWND|478LIT|578aVULN|6LEGI|78BPWR|9RCR
73	13232 56412	9	   	271.66	DCR|4VULN|3DUR|2CDMG	169DUR|2LHND|35CDMG|468aVULN|6BPWR|7RCR
74	15131 34331	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aLWND
75	15131 34332	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aBEXP
76	15131 34333	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aCGEN
77	15131 34334	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aRCVC
78	15131 34334	9	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aLWND
79	15131 34336	9	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aBELT
80	11231 77271	6	   	271.56	DCR|4VULN|3DUR|2CDMG	18aDUR|2MBVNT|35CDMG|4569VULN|5BPWR|7RCR
81	15131 34333	9	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aBBNT
82	15131 34335	9	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567VULN|56BPWR|9RCR|aERES
83	15131 35213	9	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|29CDMG|3DUST|4569VULN|569BPWR|789ERES|aRCR
84	15131 44332	9	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|457aVULN|5BPWR|9RCR
85	15132 32561	7	   	271.56	DCR|4VULN|3DUR|2CDMG	16aDUR|25CDMG|3DUST|4678VULN|6BPWR|9RCR
86	13231 55352	6	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156DUR|2LHND|3CDMG|456VULN|56BPWR|7DMG|8BBNT|9LIT|aRCR
87	13231 55362	9	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156DUR|2LHND|3CDMG|456VULN|56BPWR|7ERES|8LIT|9DMG|aRCR
88	12161 61412	8	   	270.77	DCR|2VULN|3DUR|2DMG|2ASPD	19aDUR|25DMG|3aASPD|4aVULN|6RCR|7BELT|8AART|aBPWR
89	11331 83275	9	 * 	270.09	DCR|3VULN|3DUR|2ASPD|2TLV|1SELL	159DUR|2MBVNT|3SELL|45aVULN|59BPWR|69TLV|79ASPD|8RCR
90	12622 52273	10	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	169DUR|29DMG|3CDMG|4CGEN|5MBVNT|79VULN|8RCR|9BPWR|aTLV
91	12625 12273	10	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	159DUR|29DMG|3CDMG|4CGEN|6MBVNT|79VULN|8RCR|9BPWR|aTLV
92	11232 75448	4	   	269.69	DCR|3VULN|3DUR|2CDMG|1ASPD	179DUR|2MBVNT|37CDMG|47aVULN|5AART|6RCR|7BPWR|8ASPD
93	12615 12273	10	   	269.60	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	159DUR|29DMG|3CDMG|4ERES|6MBVNT|79VULN|8RCR|9BPWR|aTLV
94	35161 35112	9	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1MLV|27DUR|3ASPD|469aVULN|5DMG|8RCR
95	12122 56432	4	   	269.42	DCR|2VULN|3DUR|2DMG|2ASPD	179DUR|29DMG|34ASPD|5LIT|69VULN|8RCR|9BPWR|aBELT
96	12151 51432	5	   	269.42	DCR|2VULN|3DUR|2DMG|2ASPD	159DUR|29DMG|37ASPD|4LIT|69VULN|8RCR|9BPWR|aBELT
97	11441 54453	2	   	269.39	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	19DUR|2MBVNT|389VULN|4ERES|5TLV|69DMG|7SELL|9BPWR|aRCR
98	12162 45112	9	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	17DUR|2DMG|3ASPD|469aVULN|5ERES|8RCR
99	12162 46113	9	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1aDUR|2DMG|3ASPD|4679VULN|5ERES|8RCR
100	12162 46122	8	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	19DUR|2DMG|3ASPD|467aVULN|5ERES|8RCR
101	15342 11511	9	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	13aDUR|2CDMG|468DMG|5aDUST|7RCR|9aVULN|aBPWR
102	15132 36432	10	 * 	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	16aDUR|25CDMG|3DUST|468VULN|6BPWR|7RCR|9DMG
