0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61126 33153	7	 * 	292.02	DCR|3VULN|3DMG|3DUR|1AART	168DMG|2AART|3DUST|458VULN|789DUR|8BPWR|aRCR
35	21263 23315	6	   	273.62	DCR|4VULN|2CDMG|1DMG|2LIT|1ASPD	1aCDMG|2DMG|379aVULN|4BEXP|5ASPD|6aLIT|8RCR|aBPWR
36	25423 32252	9	   	273.58	DCR|3VULN|2DMG|3LIT|2CDMG|1ASPD	17CDMG|248LIT|367VULN|57DMG|7BPWR|9RCR|aASPD
37	62631 26313	1	 * 	273.47	DCR|4VULN|2ASPD|1DMG|1TLV	1DMG|2RPLT|3579VULN|45ASPD|5BPWR|6RCR|8LIT|aTLV
38	63631 26313	2	   	273.47	DCR|4VULN|2ASPD|1DMG|1TLV	1DMG|2RPLT|3579VULN|45ASPD|5BPWR|6RCR|8LIT|aTLV
39	66331 26313	1	   	273.47	DCR|4VULN|2ASPD|1DMG|1TLV	1DMG|2579VULN|3RPLT|45ASPD|5BPWR|6RCR|8LIT|aTLV
40	22234 52342	1	 * 	273.45	DCR|5VULN|3CDMG|1DMG	168CDMG|2RCVC|34568VULN|68BPWR|78LHND|9RCR|aDMG
41	65132 33612	9	 * 	273.29	DCR|2VULN|3DMG|2DUR|2TLV|1ASPD	149DMG|2ASPD|39VULN|5aDUR|6LWND|7RCR|89TLV|9BPWR
42	43311 26316	4	   	273.14	DCR|5VULN|2DMG	1ZMB|2RPLT|35DMG|4579aVULN|5BPWR|6RCR|8LIT
43	21613 56132	8	   	272.91	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3LIT|4BEXP|5RMIN|6BELT|789VULN|89BPWR|aRCR
44	21214 27381	7	   	272.38	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|2LIT	19CDMG|2DMG|359VULN|4DUR|6MBVNT|7TLV|89LIT|9BPWR|aRCR
45	65132 33611	10	   	272.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1ASPD	149DMG|2ASPD|39VULN|5DUR|6LWND|7RCR|89TLV|9BPWR|aCDMG
46	63351 21432	5	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	138DMG|2RPLT|4MLV|58VULN|6RCR|78DUR|8BPWR|9TLV|aCDMG
47	63341 21432	5	   	272.13	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	138DMG|2RPLT|4ERES|58VULN|6RCR|78DUR|8BPWR|9TLV|aCDMG
48	21213 63442	4	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2DMG|357aVULN|49DUR|6LHND|8RCR
49	21214 33442	6	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2DMG|357aVULN|49DUR|6LHND|8RCR
50	33361 21414	5	 * 	272.06	DCR|4VULN|3DUR|1DMG	1489CGEN|2RPLT|3DMG|589aVULN|6RCR|789DUR|89BPWR
51	21213 13442	4	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2DMG|357aVULN|49DUR|6DUST|8RCR
52	21214 13442	5	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2DMG|357aVULN|49DUR|6DUST|8RCR
53	13216 51421	6	   	271.45	DCR|3VULN|2DMG|2DUR|1AART	1BELT|27DUR|3AART|46DMG|56aVULN|6BPWR|8LIT|9RCR
54	65111 13315	3	   	271.36	DCR|3VULN|3DMG|1CDMG|1ASPD	15aDMG|2ASPD|39aVULN|4CDMG|6LIT|7aFEWX|8RCR|aBPWR
55	65211 13315	2	   	271.36	DCR|3VULN|3DMG|1CDMG|1ASPD	15aDMG|2ASPD|3aBEXP|4CDMG|6LIT|79aVULN|8RCR|aBPWR
56	65311 13315	3	   	271.36	DCR|3VULN|3DMG|1CDMG|1ASPD	15aDMG|2ASPD|3aFEWX|4CDMG|6LIT|79aVULN|8RCR|aBPWR
57	23213 22416	3	 * 	271.10	DCR|4VULN|3CDMG|2ASPD|1DUR	179CDMG|2ERES|3489VULN|59ASPD|6RCR|9BPWR|aDUR
58	23263 22416	4	   	271.10	DCR|4VULN|3CDMG|2ASPD|1DUR	179CDMG|2ERES|3489VULN|59ASPD|6RCR|9BPWR|aDUR
59	23613 22416	2	   	271.10	DCR|4VULN|3CDMG|2ASPD|1DUR	179CDMG|2ERES|3489VULN|59ASPD|6RCR|9BPWR|aDUR
60	65122 33612	10	 * 	270.87	DCR|2VULN|3DUR|2DMG|2TLV|1ASPD	19DMG|2ASPD|39VULN|45aDUR|6LWND|7RCR|89TLV|9BPWR
61	21241 22416	5	   	269.86	DCR|4VULN|3CDMG|1DMG|1DUR	179CDMG|2DMG|3589VULN|49ERES|6RCR|9BPWR|aDUR
62	43311 26313	4	   	269.85	DCR|4VULN|2DMG|1TLV	1ZMB|2RPLT|35DMG|4579VULN|5BPWR|6RCR|8LIT|aTLV
63	43311 56311	4	   	269.85	DCR|4VULN|2DMG|1DUR	1ZMB|2RPLT|35DMG|4579VULN|5BPWR|6DUR|8LIT|aRCR
64	21213 22466	3	   	269.77	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	17CDMG|29DMG|348VULN|5ASPD|6RCR|aDUR
65	21411 22411	2	   	269.75	DCR|2VULN|3DMG|3CDMG|1TLV|1DUR|1SELL	17aCDMG|25aDMG|3TLV|4DUR|6RCR|8aVULN|9SELL|aBPWR
66	63351 21433	5	   	269.58	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	138DMG|2RPLT|4MLV|58VULN|6RCR|78DUR|8BPWR|9TLV|aASPD
67	63341 21433	5	   	269.48	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	138DMG|2RPLT|4ERES|58VULN|6RCR|78DUR|8BPWR|9TLV|aASPD
68	65133 33612	10	   	269.27	DCR|3VULN|3DMG|2TLV|1ASPD	149DMG|2ASPD|39aVULN|5DUST|6LWND|7RCR|89TLV|9BPWR
69	63314 23264	6	   	269.14	DCR|3VULN|3DMG|2DUR	137DMG|2RPLT|47DUR|57aVULN|6MBVNT|7BPWR|8CGEN|9RCR
70	63141 33336	5	   	269.14	DCR|3VULN|3DMG|2DUR	17aDMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|8MBVNT|9RCR
71	63151 33336	4	   	269.14	DCR|3VULN|3DMG|2DUR	17aDMG|2RPLT|3FEWX|467VULN|57DUR|7BPWR|8MBVNT|9RCR
72	63241 33336	5	   	269.04	DCR|3VULN|3DMG|2DUR	17aDMG|2RPLT|3DUST|47DUR|567VULN|7BPWR|8MBVNT|9RCR
73	63251 33336	4	   	269.04	DCR|3VULN|3DMG|2DUR	17aDMG|2RPLT|3DUST|467VULN|57DUR|7BPWR|8MBVNT|9RCR
74	21431 22411	2	 * 	268.72	DCR|3VULN|2DMG|3CDMG|2TLV	179CDMG|25DMG|39TLV|489VULN|6RCR|9BPWR|aFEWX
75	21431 22413	2	   	268.72	DCR|3VULN|2DMG|3CDMG|2TLV	179CDMG|25DMG|39TLV|489VULN|6RCR|9BPWR|aLWND
76	21431 22414	2	   	268.72	DCR|3VULN|2DMG|3CDMG|2TLV	179CDMG|25DMG|39TLV|489VULN|6RCR|9BPWR|aCGEN
77	21431 22416	2	   	268.72	DCR|3VULN|2DMG|3CDMG|2TLV	179CDMG|25DMG|39TLV|489VULN|6RCR|9BPWR|aDMSP
78	21431 22412	2	   	268.62	DCR|3VULN|2DMG|3CDMG|2TLV	179CDMG|25DMG|39TLV|489VULN|6RCR|9BPWR|aDUST
79	21431 22415	2	   	268.62	DCR|3VULN|2DMG|3CDMG|2TLV	179CDMG|25DMG|39TLV|489VULN|6RCR|9BPWR|aERES
80	21115 31415	7	   	268.50	DCR|3VULN|3DMG|1DUR|1CDMG	1CDMG|289DMG|3BEXP|4DUR|589MLV|6LWND|789VULN|89BPWR|aRCR
81	21115 33415	6	   	268.50	DCR|3VULN|3DMG|1DUR|1CDMG	1CDMG|289DMG|3BEXP|4DUR|589MLV|6LWND|789VULN|89BPWR|aRCR
82	21115 33415	5	   	268.50	DCR|3VULN|3DMG|1DUR|1CDMG	1CDMG|289DMG|3BEXP|4DUR|589MLV|6LWND|789VULN|89BPWR|aRCR
83	63141 33221	5	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|89LIT|aRCR
84	63144 33221	4	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|89LIT|aRCR
85	63151 33221	4	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|2RPLT|3FEWX|467VULN|57DUR|7BPWR|89LIT|aRCR
86	63164 33221	3	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|89LIT|aRCR
87	21431 22434	2	   	268.42	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	17CDMG|25DMG|3TLV|48aVULN|6RCR|9AART
88	21213 22554	3	   	268.23	DCR|4VULN|1DMG|2CDMG|1ASPD|1AART	17CDMG|2DMG|349aVULN|5ASPD|6RCR|8AART
89	61511 42233	10	   	268.14	DCR|2VULN|3DMG|2DUR|1TLV|1AART	149DMG|2AART|3TLV|59VULN|6CGEN|7ERES|89DUR|9BPWR|aRCR
90	61521 41221	6	   	268.13	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4LHND|5LWND|6RCR|789VULN|89BPWR|aBEXP
91	61521 41222	6	   	268.13	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4LHND|5LWND|6RCR|789VULN|89BPWR|aDMSP
92	61522 41221	6	   	268.03	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4LHND|5DUST|6RCR|789VULN|89BPWR|aFEWX
93	61522 41222	6	   	268.03	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4LHND|5DUST|6RCR|789VULN|89BPWR|aDMSP
94	61531 23364	7	   	268.03	DCR|3VULN|3DMG|3TLV|1AART	19aDMG|2AART|39aTLV|4MBVNT|5LWND|6RCR|7FEWX|89aVULN|9aBPWR
95	61531 22364	6	   	267.93	DCR|3VULN|3DMG|3TLV|1AART	19aDMG|2AART|39aTLV|4MBVNT|5LWND|6RCR|7DUST|89aVULN|9aBPWR
96	61533 21221	6	   	267.93	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4MBVNT|5LEGI|6RCR|789VULN|89BPWR|aFEWX
97	61533 21222	6	   	267.93	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4MBVNT|5LEGI|6RCR|789VULN|89BPWR|aDMSP
98	61533 21226	6	   	267.93	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4MBVNT|5LEGI|6RCR|789VULN|89BPWR|aLWND
99	61533 21228	6	   	267.93	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4MBVNT|5LEGI|6RCR|789VULN|89BPWR|aZMB
100	61221 15341	6	   	267.77	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	13DMG|2AART|4ASPD|589VULN|6TLV|7LIT|aRCR
101	61221 15341	7	   	267.77	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	13DMG|2AART|4ASPD|589VULN|6TLV|7LIT|aRCR
102	66121 22321	8	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR|aZMB
103	66121 22322	8	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2aCGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR
104	66121 22325	8	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR|aLWND
105	66121 22521	7	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR|aZMB
106	66121 22522	7	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2aCGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR
107	66121 22316	10	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9DUST|aRCR
108	66121 22323	8	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR|aERES
109	66121 22341	8	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9MBVNT|aRCR
110	66121 22523	7	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR|aERES
111	21113 12533	2	   	267.31	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1CDMG|27DMG|38LIT|46aVULN|5TLV|9RCR
112	21613 12533	3	   	267.31	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1CDMG|27DMG|38LIT|46aVULN|5TLV|9RCR
113	66121 22326	8	   	267.26	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG|1SELL	18DMG|2CGEN|378VULN|4DUR|5CDMG|68LIT|8BPWR|9RCR|aSELL
114	21211 41542	3	   	267.17	DCR|3VULN|2DMG|2CDMG|1TLV	15CDMG|26DMG|346VULN|6BPWR|7LHND|8LIT|9RCR|aTLV
115	21124 31142	10	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|29DMG|3BEXP|4DUST|59aVULN|6LWND|7RCR|89DUR|9BPWR
116	21124 61142	10	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|29DMG|3BEXP|4DUST|59aVULN|6LHND|7RCR|89DUR|9BPWR
117	21134 11142	10	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|29DMG|3BEXP|4LHND|59aVULN|6DUST|7RCR|89DUR|9BPWR
118	63523 11225	6	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2RPLT|3CDMG|48DUR|5DLOT|6RCR|78aVULN|8BPWR|9MLV
119	63523 31225	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2RPLT|3CDMG|48DUR|5DLOT|68aVULN|7RCR|8BPWR|9MLV
120	21431 22112	2	 * 	267.12	DCR|2VULN|3DMG|3CDMG|2TLV|1AART	179CDMG|258DMG|39TLV|49VULN|6RCR|9BPWR|aAART
121	21213 13315	3	   	267.08	DCR|4VULN|1DMG|2CDMG|1ASPD	1aCDMG|2DMG|349aVULN|5ASPD|6LIT|7aFEWX|8RCR|aBPWR
122	21431 22453	2	   	267.07	DCR|3VULN|2DMG|2CDMG|1TLV	17CDMG|25DMG|3TLV|48aVULN|6RCR|9LIT
123	33361 21411	5	   	267.01	DCR|3VULN|3DUR|2DMG	1489CGEN|2RPLT|3aDMG|589VULN|6RCR|789DUR|89BPWR
124	21241 23413	5	   	267.01	DCR|5VULN|1DMG|2CDMG	19CDMG|2DMG|3589aVULN|479ERES|6RCR|9BPWR
125	21213 22423	3	   	266.88	DCR|4VULN|2CDMG|1DMG|1ASPD	17CDMG|2DMG|348aVULN|5ASPD|6RCR|9LIT
126	43311 21356	4	   	266.81	DCR|3VULN|3DUR|2DMG	19ZMB|2RPLT|35DMG|459VULN|59BPWR|6RCR|79aDUR|8TBNT
127	21311 13315	4	   	266.47	DCR|3VULN|3DMG|2CDMG|1NUKE	1aCDMG|25aDMG|3NUKE|4DUST|6LIT|79aVULN|8RCR|aBPWR
128	21321 13315	3	   	266.47	DCR|3VULN|3DMG|2CDMG|1NUKE	1aCDMG|25aDMG|3NUKE|4DUST|6LIT|79aVULN|8RCR|aBPWR
129	61533 21522	6	   	265.82	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	19DMG|2AART|39TLV|4MBVNT|5LEGI|6RCR|789VULN|9BPWR|aCDMG
130	21112 11445	1	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|2CGEN|3LIT|468aVULN|5DMG|7TLV|9RCR
131	21112 33445	1	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|2CGEN|3LIT|478aVULN|5DMG|6TLV|9RCR
132	23112 11445	2	   	265.71	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|2ERES|3LIT|468aVULN|5DMG|7TLV|9RCR
133	23112 33445	2	   	265.71	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|2ERES|3LIT|478aVULN|5DMG|6TLV|9RCR
134	65132 33512	10	   	265.66	DCR|3VULN|3DMG|1DUR|1ASPD	149DMG|2ASPD|39aVULN|5DUR|6LWND|7RCR|89CGEN|9BPWR
135	61533 24324	7	   	265.61	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1aDMG|2AART|3TLV|4MBVNT|5LEGI|6RCR|79aDUR|8aVULN|aBPWR
136	61533 26324	6	   	265.61	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1aDMG|2AART|3TLV|4MBVNT|5LEGI|6RCR|79aDUR|8aVULN|aBPWR
137	61533 21624	5	   	265.61	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1aDMG|2AART|3TLV|4MBVNT|5LEGI|69aDUR|7aVULN|8RCR|aBPWR
138	65132 33312	10	   	265.46	DCR|3VULN|3DMG|1DUR|1ASPD	149DMG|2ASPD|39aVULN|5DUR|6LWND|7RCR|89ERES|9BPWR
139	62631 51311	1	 * 	265.41	DCR|3VULN|2DUR|2ASPD|1DMG	1DMG|2RPLT|359VULN|45ASPD|5BPWR|67DUR|8LIT|aRCR
140	63631 51311	2	   	265.41	DCR|3VULN|2DUR|2ASPD|1DMG	1DMG|2RPLT|359VULN|45ASPD|5BPWR|67DUR|8LIT|aRCR
141	66331 51311	1	   	265.41	DCR|3VULN|2DUR|2ASPD|1DMG	1DMG|259VULN|3RPLT|45ASPD|5BPWR|67DUR|8LIT|aRCR
142	21211 43332	3	   	265.15	DCR|4VULN|2DMG|2CDMG	15CDMG|26DMG|3467VULN|6BPWR|8CGEN|9TBNT|aRCR
143	61222 35153	3	   	265.12	DCR|2VULN|3DMG|3DUR|1AART	138DMG|2AART|4DUST|5RCVC|68VULN|789DUR|8BPWR|aRCR
144	21241 23113	5	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|28DMG|359aVULN|479ERES|6RCR|9BPWR
145	21241 23413	4	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|25DMG|389aVULN|479ERES|6RCR|9BPWR
146	23213 23416	3	   	264.96	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|27ERES|3489VULN|59ASPD|6RCR|9BPWR|aDUR
147	23263 23416	4	   	264.96	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|27ERES|3489VULN|59ASPD|6RCR|9BPWR|aDUR
148	23613 23416	2	   	264.96	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|27ERES|3489VULN|59ASPD|6RCR|9BPWR|aDUR
149	21241 22116	5	   	264.80	DCR|3VULN|2DMG|3CDMG|1DUR	179CDMG|28DMG|359VULN|49ERES|6RCR|9BPWR|aDUR
150	21241 22416	4	   	264.80	DCR|3VULN|2DMG|3CDMG|1DUR	179CDMG|25DMG|389VULN|49ERES|6RCR|9BPWR|aDUR
151	23213 24222	3	   	264.77	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1aCDMG|2ERES|34aVULN|5ASPD|6RCR|7AART|8LIT|9aDUR|aBPWR
152	23263 24222	4	   	264.77	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1aCDMG|2ERES|34aVULN|5ASPD|6RCR|7AART|8LIT|9aDUR|aBPWR
153	23264 24222	5	   	264.77	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1aCDMG|2ERES|34aVULN|5ASPD|6RCR|7AART|8LIT|9aDUR|aBPWR
154	23613 24222	2	   	264.77	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1aCDMG|2ERES|34aVULN|5ASPD|6RCR|7AART|8LIT|9aDUR|aBPWR
155	25112 33441	7	   	264.75	DCR|4VULN|3CDMG|1TLV|2LIT	17aCDMG|27LIT|3DUST|4TLV|5678VULN|7BPWR|9RCR
156	21231 24222	3	 * 	264.61	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1aCDMG|25DMG|3aVULN|4MLV|6RCR|7AART|8LIT|9aDUR|aBPWR
157	21251 24222	4	   	264.61	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1aCDMG|25DMG|3aVULN|4MLV|6RCR|7AART|8LIT|9aDUR|aBPWR
158	43311 26613	4	   	264.59	DCR|5VULN|2DMG|1SELL	1ZMB|2RPLT|35DMG|4579aVULN|5BPWR|6RCR|8SELL
159	21152 27512	5	   	264.51	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3BEXP|4MLV|5MBVNT|6RCR|789VULN|89BPWR|aZMB
160	21152 27513	5	   	264.51	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3BEXP|4MLV|5MBVNT|6RCR|789VULN|89BPWR|aLWND
161	21152 27514	5	   	264.51	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3BEXP|4MLV|5MBVNT|6RCR|789VULN|89BPWR|aLHND
162	21241 24222	4	   	264.51	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1aCDMG|25DMG|3aVULN|4ERES|6RCR|7AART|8LIT|9aDUR|aBPWR
163	63141 33331	5	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|8MBVNT|9RCR|aASPD
