0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61536 23332	10	 * 	289.60	DCR|4VULN|2DUR|1DMG|2CDMG|1ASPD	1aDUR|259aVULN|3ASPD|4RPLT|6DMG|7aCDMG|8RCR|aBPWR
181	21634 14112	3	   	261.26	DCR|4VULN|3DUR|1AART	178DUST|2378VULN|478DUR|5RMIN|6RCR|78BPWR|9TBNT|aAART
182	61221 51532	3	   	261.20	DCR|4VULN|2DMG|1DUR|1SELL	1DUR|256aVULN|36DMG|4SELL|6BPWR|7ZMB|8RCR|9BBNT
183	61242 21326	7	   	261.10	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG|1ASPD	1DUR|29VULN|3aDMG|4LIT|5CDMG|6RCR|7TLV|8ASPD
184	56121 22125	5	   	261.10	DCR|4VULN|2DMG|1DUR|1SELL	1SELL|2457VULN|37ERES|67DMG|7BPWR|8DUST|9RCR|aDUR
185	61261 32213	5	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|245VULN|3aDMG|6CDMG|7RMIN|8LIT|9RCR
186	61265 32213	4	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|245VULN|3aDMG|6CDMG|7RMIN|8LIT|9RCR
187	56121 22422	5	   	260.60	DCR|4VULN|3DMG|1SELL	1SELL|2457VULN|37ERES|67aDMG|7BPWR|8FEWX|9RCR
188	56121 22622	5	   	260.60	DCR|4VULN|3DMG|1SELL	1SELL|2457VULN|37ERES|67aDMG|7BPWR|8LWND|9RCR
189	41451 22122	5	   	260.50	DCR|4VULN|3DMG|1SELL	17ERES|2357VULN|4SELL|67aDMG|7BPWR|8DUST|9RCR
190	56121 22122	5	   	260.50	DCR|4VULN|3DMG|1SELL	1SELL|2457VULN|37ERES|67aDMG|7BPWR|8DUST|9RCR
191	61561 31122	5	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	18DUR|245VULN|3ASPD|6CDMG|7ZMB|9RCR|aDMG
192	61561 32122	5	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	18DUR|245VULN|3ASPD|6CDMG|7RMIN|9RCR|aDMG
193	12263 44112	10	   	260.29	DCR|2VULN|2DMG|3ASPD|2TLV|1CDMG	19BEXP|26TLV|39DMG|49VULN|568ASPD|69BPWR|7RCR|aCDMG
194	12263 44113	9	   	260.29	DCR|2VULN|2DMG|3ASPD|2TLV|1CDMG	19BEXP|26TLV|39DMG|49VULN|568ASPD|69BPWR|7RCR|aCDMG
195	12266 23241	6	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	15BEXP|2TLV|3DMG|4579VULN|5BPWR|6RMIN|8RCR|aDUR
196	61261 23225	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2457VULN|3DMG|6BEXP|8RCR|9LHND|aTLV
197	61261 34231	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|245aVULN|3DMG|6LHND|7RCR|8LWND|9TLV
198	63316 61232	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2MLV|3TLV|456aVULN|7DMG|8RCR|9DMSP
199	13316 61241	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1BEXP|2MLV|3TLV|4569VULN|7DMG|8RCR|aDUR
200	63316 23243	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2MLV|3TLV|4579VULN|6ZMB|8RCR|aDMG
201	22263 44112	10	   	260.09	DCR|2VULN|2DMG|3ASPD|2TLV|1CDMG	19DUST|26TLV|39DMG|49VULN|568ASPD|69BPWR|7RCR|aCDMG
202	21261 34225	5	   	260.00	DCR|4VULN|1DMG|1DUR|1TLV	1DUST|2456VULN|3DMG|7DUR|8RCR|9LHND|aTLV
203	61261 13225	5	   	260.00	DCR|4VULN|1DMG|1DUR|1TLV	1DUR|2457VULN|3DMG|6DUST|8RCR|9LHND|aTLV
204	61261 23216	5	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2457VULN|3DMG|6BEXP|8RCR|9MBVNT|aTLV
205	61261 23235	5	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2457VULN|3DMG|6BEXP|8RCR|9LEGI|aTLV
206	61261 33216	6	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2457VULN|3DMG|6LHND|8RCR|9MBVNT|aTLV
207	61261 34231	7	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|245aVULN|3DMG|6LHND|7RCR|8LEGI|9TLV
208	23316 61241	1	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2MLV|3TLV|4569VULN|7DMG|8RCR|aDUR
209	66134 37442	1	 * 	259.93	ACR|3VULN|3DMG|3DUR|1AART	18aDUR|2MBVNT|3CGEN|4RCR|58aDMG|68aVULN|7AART|8aBPWR|9RCVC
210	21261 34216	5	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2456VULN|3DMG|7DUR|8RCR|9MBVNT|aTLV
211	21261 34235	5	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2456VULN|3DMG|7DUR|8RCR|9LEGI|aTLV
212	61261 13216	5	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2457VULN|3DMG|6DUST|8RCR|9MBVNT|aTLV
213	61261 13235	5	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2457VULN|3DMG|6DUST|8RCR|9LEGI|aTLV
214	34162 61121	3	 * 	259.86	DCR|2VULN|3DMG|2TLV|2LIT|1CDMG	18LIT|28TLV|367DMG|48VULN|5MBVNT|8BPWR|9CDMG|aRCR
