0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31513 14521	3	 * 	276.36	DCR|4VULN|2DMG|2TLV|1ASPD	1RMIN|27TLV|3789VULN|4RCVC|57DMG|6RCR|7BPWR|aASPD
22	61511 42133	3	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	1aDUR|2DUST|348aVULN|5LHND|6RCR|7ASPD|9aLIT|aBPWR
23	61611 42133	2	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	1aDUR|2DUST|348aVULN|5LHND|6RCR|7ASPD|9aLIT|aBPWR
24	62432 23522	6	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18aDUR|2LHND|38LIT|4LWND|5DMG|6RCR|789VULN|8BPWR
25	62432 23522	7	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18aDUR|2LHND|38LIT|4LWND|5DMG|6RCR|789VULN|8BPWR
26	62432 23522	8	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18aDUR|2LHND|38LIT|4LWND|5DMG|6RCR|789VULN|8BPWR
27	22216 13332	8	   	261.34	DCR|4VULN|2DMG|1DUR	128ERES|28BPWR|3CGEN|48DMG|5689VULN|7RCR|aDUR
28	22216 13363	9	 * 	260.94	DCR|4VULN|3DMG	128ERES|28aBPWR|3aCGEN|48aDMG|568aVULN|7RCR|9RMIN
29	61432 23522	6	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	18DUR|2DUST|38LIT|4LWND|5DMG|6RCR|789VULN|8BPWR|aAART
30	61432 23522	7	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	18DUR|2DUST|38LIT|4LWND|5DMG|6RCR|789VULN|8BPWR|aAART
31	61432 23522	8	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	18DUR|2DUST|38LIT|4LWND|5DMG|6RCR|789VULN|8BPWR|aAART
32	62311 22126	9	   	260.13	DCR|3VULN|3DUR|2CDMG|1ASPD	167DUR|2LHND|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9ASPD
33	65521 22121	10	 * 	260.06	DCR|2VULN|3DUR|2DMG|2CDMG	167DUR|27aBEXP|3aVULN|4CGEN|57CDMG|7aBPWR|8RCR|9aDMG
34	65521 32121	10	   	260.06	DCR|2VULN|3DUR|2DMG|2CDMG	17aDUR|267BEXP|3aVULN|4CGEN|57CDMG|7aBPWR|8RCR|9aDMG
35	64311 22126	9	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	167DUR|2LEGI|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9ASPD
36	61113 34324	8	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2DUST|3ZMB|456aVULN|7TLV|8RCR|9DMG
37	61313 31324	9	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2DUST|3RMIN|456aVULN|7DMG|8RCR|9TLV
38	61313 31365	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2DUST|3RMIN|4569VULN|7DMG|8RCR|aTLV
39	61313 34324	8	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2DUST|3RMIN|456aVULN|7TLV|8RCR|9DMG
40	61523 31324	9	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2DUST|356aVULN|4CGEN|7DMG|8RCR|9TLV
41	65531 22121	10	   	259.96	DCR|2VULN|3DUR|2DMG|2CDMG	167DUR|27aBEXP|3aVULN|4ERES|57CDMG|7aBPWR|8RCR|9aDMG
42	65531 32121	10	   	259.96	DCR|2VULN|3DUR|2DMG|2CDMG	17aDUR|267BEXP|3aVULN|4ERES|57CDMG|7aBPWR|8RCR|9aDMG
43	61533 31324	9	   	259.90	DCR|4VULN|1DMG|1DUR|1TLV	1DUR|2DUST|356aVULN|4ERES|7DMG|8RCR|9TLV
44	53311 12136	1	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	1SELL|238aVULN|3aBPWR|4CGEN|5TBNT|6RCR|7aLIT|9aDMG
45	53313 12136	1	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	1SELL|238aVULN|3aBPWR|4CGEN|5BBNT|6RCR|7aLIT|9aDMG
46	61512 42121	10	   	259.76	DCR|2VULN|3DUR|2DMG|2CDMG	147DUR|27aDUST|3aVULN|5CGEN|67CDMG|7aBPWR|8RCR|9aDMG
47	61521 22121	10	   	259.76	DCR|2VULN|3DUR|2DMG|2CDMG	167DUR|27aDUST|3aVULN|4CGEN|57CDMG|7aBPWR|8RCR|9aDMG
48	61531 22121	10	   	259.66	DCR|2VULN|3DUR|2DMG|2CDMG	167DUR|27aDUST|3aVULN|4ERES|57CDMG|7aBPWR|8RCR|9aDMG
49	31513 14324	3	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|27TLV|37aVULN|4RCVC|57DMG|6RCR|7BPWR|8DUR|9LWND
50	31513 14334	3	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|27TLV|37aVULN|4RCVC|57DMG|6RCR|7BPWR|8DUR|9LHND
51	62316 42112	9	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	157DUR|2LHND|3RMIN|47aVULN|67CDMG|7BPWR|8RCR|9AART
52	62311 22112	9	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	167DUR|2LHND|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9AART
53	62311 22114	10	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	167DUR|2LHND|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9AART
54	64311 22112	9	   	258.68	DCR|3VULN|3DUR|2CDMG|1AART	167DUR|2LEGI|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9AART
55	64311 22114	10	   	258.68	DCR|3VULN|3DUR|2CDMG|1AART	167DUR|2LEGI|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9AART
56	62323 61123	7	 * 	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2LHND|3RMIN|4BEXP|568aVULN|6BPWR|7RCR|9DMG
57	62323 61223	8	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2LHND|3RMIN|4BEXP|568aVULN|6BPWR|7RCR|9DMG
58	62363 61123	7	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2LHND|3RMIN|4FEWX|568aVULN|6BPWR|7RCR|9DMG
59	62363 61223	8	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2LHND|3RMIN|4FEWX|568aVULN|6BPWR|7RCR|9DMG
60	65333 61123	7	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2BEXP|3RMIN|4LHND|568aVULN|6BPWR|7RCR|9DMG
61	65333 61223	8	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2BEXP|3RMIN|4LHND|568aVULN|6BPWR|7RCR|9DMG
62	61323 61261	10	   	258.44	DCR|4VULN|2DUR|1DMG	16DUR|2DUST|3RMIN|4BEXP|5689VULN|6BPWR|7RCR|aDMG
63	61313 31362	10	   	258.34	DCR|4VULN|2DUR|1DMG	1aDUR|2DUST|3RMIN|4569VULN|7DMG|8RCR
64	31513 14116	3	 * 	258.12	DCR|3VULN|3DMG|2TLV|1SELL	1RMIN|27TLV|379VULN|4RCVC|57aDMG|6RCR|7BPWR|8SELL
65	22115 15724	3	 * 	257.71	DCR|5VULN|2DUR	127ERES|27BPWR|3679aVULN|4MBVNT|57DUR|8RCR
66	22614 15724	2	   	257.71	DCR|5VULN|2DUR	127ERES|27BPWR|37DUR|4MBVNT|5679aVULN|8RCR
67	61313 31366	9	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DUST|3RMIN|4569VULN|7DMG|8RCR|aCDMG
68	54331 12136	4	   	257.22	DCR|3VULN|2DMG|2TLV|2LIT|1SELL	1SELL|2aTLV|348VULN|5BBNT|6RCR|7aLIT|9aDMG|aBPWR
69	54333 12136	4	   	257.22	DCR|3VULN|2DMG|2TLV|2LIT|1SELL	1SELL|2aTLV|348VULN|5TBNT|6RCR|7aLIT|9aDMG|aBPWR
70	53324 22332	1	   	257.18	DCR|3VULN|3DUR|2TLV|1SELL	1SELL|239VULN|39BPWR|4LIT|5RPLT|689DUR|79TLV|aRCR
71	11342 35311	1	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2AART|3TLV|489VULN|5LIT|6aDMG|7RCR
72	11435 35311	1	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2AART|3aDMG|4LIT|5TLV|689VULN|7RCR
73	11615 35311	1	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2AART|3LIT|4aDMG|5TLV|689VULN|7RCR
74	41342 35311	1	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1BEXP|2AART|3TLV|489VULN|5LIT|6aDMG|7RCR
75	31513 14363	3	 * 	256.30	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1RMIN|27TLV|37VULN|4RCVC|57DMG|6RCR|7BPWR|8aDUR|9AART
76	62311 42226	7	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2LHND|3RMIN|467VULN|57CDMG|7BPWR|8RPLT|9DMG|aRCR
77	62311 42326	8	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2LHND|3RMIN|467VULN|57CDMG|7BPWR|8RPLT|9DMG|aRCR
78	62313 42226	7	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2LHND|3RMIN|457VULN|67CDMG|7BPWR|8RPLT|9DMG|aRCR
79	62313 42326	8	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2LHND|3RMIN|457VULN|67CDMG|7BPWR|8RPLT|9DMG|aRCR
80	61311 42226	7	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2DUST|3RMIN|467VULN|57CDMG|7BPWR|8RPLT|9DMG|aRCR
81	61311 42326	8	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2DUST|3RMIN|467VULN|57CDMG|7BPWR|8RPLT|9DMG|aRCR
82	61313 42226	7	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2DUST|3RMIN|457VULN|67CDMG|7BPWR|8RPLT|9DMG|aRCR
83	61313 42326	8	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	17DUR|2DUST|3RMIN|457VULN|67CDMG|7BPWR|8RPLT|9DMG|aRCR
84	64311 22261	10	 * 	255.26	DCR|3VULN|3DUR|3CDMG	167DUR|2LEGI|3RMIN|47aVULN|57aCDMG|7aBPWR|8aCGEN|9RCR
85	54332 13413	10	   	255.18	DCR|3VULN|1DMG|1TLV|1DUR|1AART|1SELL	1SELL|2TLV|348VULN|5DMG|6LIT|7DUR|9AART|aRCR
86	61311 22113	9	   	255.16	DCR|3VULN|3DUR|3CDMG	167DUR|2aDUST|3RMIN|47aVULN|57aCDMG|7aBPWR|8RCR|9DMSP
87	61113 42153	7	   	255.06	DCR|3VULN|3DUR|3CDMG	178DUR|27aDUST|3ZMB|45aVULN|67aCDMG|7aBPWR|9RCR
88	61111 42153	7	   	255.06	DCR|3VULN|3DUR|3CDMG	178DUR|27aDUST|3ZMB|46aVULN|57aCDMG|7aBPWR|9RCR
89	61311 22153	9	   	255.06	DCR|3VULN|3DUR|3CDMG	167DUR|29aDUST|3RMIN|47aVULN|57aCDMG|7aBPWR|8RCR
90	62511 42133	5	   	255.02	DCR|3VULN|3DUR|2LIT|1ASPD	14aDUR|2LHND|38aVULN|5FEWX|6RCR|7ASPD|9aLIT|aBPWR
91	22216 13313	8	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	128ERES|28BPWR|3CGEN|48DMG|568VULN|7RCR|9DUR|aTLV
92	61313 31321	10	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DUST|3RMIN|456VULN|7aDMG|8RCR|9TLV
93	61523 31321	10	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DUST|356VULN|4CGEN|7aDMG|8RCR|9TLV
94	61511 42133	4	   	254.92	DCR|3VULN|3DUR|2LIT|1ASPD	14aDUR|2DUST|38aVULN|5LHND|6RCR|7ASPD|9aLIT|aBPWR
95	62313 34324	5	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2LHND|3RMIN|457aVULN|6RCR|8ASPD|9DMG
96	61533 31321	10	   	254.85	DCR|3VULN|2DMG|1DUR|1TLV	1DUR|2DUST|356VULN|4ERES|7aDMG|8RCR|9TLV
97	61313 31364	8	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2DUST|3RMIN|456aVULN|7DMG|8RCR|9ASPD
98	11513 33458	10	   	254.62	DCR|4VULN|2DUR|1TLV	19FEWX|2DUST|3789VULN|49DUR|5MBVNT|6RCR|9BPWR|aTLV
99	61323 61243	9	   	254.62	DCR|4VULN|2DUR|1TLV	16DUR|2DUST|3RMIN|4BEXP|568aVULN|6BPWR|7RCR|9TLV
100	61323 61262	10	   	254.62	DCR|4VULN|2DUR|1TLV	16DUR|2DUST|3RMIN|4BEXP|5689VULN|6BPWR|7RCR|aTLV
101	61113 34353	9	   	254.52	DCR|4VULN|2DUR|1TLV	19DUR|2DUST|3ZMB|456aVULN|7TLV|8RCR
102	61313 34353	9	   	254.52	DCR|4VULN|2DUR|1TLV	19DUR|2DUST|3RMIN|456aVULN|7TLV|8RCR
103	41263 35311	1	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1BEXP|2AART|34DUR|5LIT|689VULN|7RCR|aDMG
104	61363 35311	1	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	14DUR|2AART|3BEXP|5LIT|689VULN|7RCR|aDMG
105	31513 14421	3	   	253.72	DCR|3VULN|2DMG|2TLV|1ASPD	1RMIN|27TLV|379VULN|48RCVC|57DMG|6RCR|7BPWR|aASPD
106	31513 14511	3	   	253.72	DCR|3VULN|2DMG|2TLV|1ASPD	1RMIN|27TLV|378VULN|49RCVC|57DMG|6RCR|7BPWR|aASPD
107	31513 14113	3	   	253.47	DCR|3VULN|2DMG|2TLV|1ASPD|1SELL	1RMIN|27TLV|379VULN|4RCVC|57DMG|6RCR|7BPWR|8SELL|aASPD
108	61313 31353	9	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1DUR|2DUST|3RMIN|456aVULN|7DMG|8RCR|9AART
109	22216 13355	8	   	253.40	DCR|4VULN|2DMG	128ERES|28BPWR|3CGEN|48DMG|568aVULN|7RCR|9LIT
110	32111 17814	1	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|25aVULN|3RCVC|4MBVNT|5aBPWR|6RCR|7aDUR|8aDMG|9BBNT
111	32114 17814	1	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|25aVULN|3RCVC|4MBVNT|6RCR|7aDUR|8aDMG|9BBNT|aBPWR
112	33511 17814	3	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2RCVC|35aVULN|4MBVNT|5aBPWR|6RCR|7aDUR|8aDMG|9BBNT
113	33514 17814	3	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2RCVC|35aVULN|4MBVNT|6RCR|7aDUR|8aDMG|9BBNT|aBPWR
114	63438 31332	3	   	253.32	DCR|2VULN|3DUR|1DMG|1TLV|2LIT	189DUR|2RCVC|39LIT|4MBVNT|5TLV|6DMG|79VULN|9BPWR|aRCR
115	22216 13316	8	   	253.28	DCR|3VULN|2DMG|2DUR	128ERES|28BPWR|3CGEN|48DMG|568VULN|7RCR|9aDUR
116	62311 22162	10	   	253.28	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	167DUR|2LHND|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aASPD
117	65311 22122	10	   	253.28	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	167DUR|2BEXP|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aASPD
118	33521 35432	3	   	253.26	DCR|3VULN|3DMG|2LIT	1RMIN|2RCVC|359VULN|49LIT|689DMG|7BELT|9BPWR|aRCR
119	32121 35432	1	   	253.26	DCR|3VULN|3DMG|2LIT	1RMIN|259VULN|3RCVC|49LIT|689DMG|7BELT|9BPWR|aRCR
120	61313 51263	9	   	253.23	DCR|4VULN|2DUR|2LIT	1aDUR|2DUST|3RMIN|458aVULN|6LEGI|7RCR|9aLIT|aBPWR
121	61313 65123	8	   	253.23	DCR|4VULN|2DUR|2LIT	1aDUR|2DUST|3RMIN|459aVULN|6aLIT|7RCR|8LEGI|aBPWR
122	61311 22122	10	   	253.18	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	167DUR|2DUST|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aASPD
123	64311 22162	10	   	253.18	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	167DUR|2LEGI|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aASPD
124	53531 13362	1	   	253.14	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|29aVULN|3aDMG|4LWND|5DLOT|6DUST|7RCR|8aDUR|aBPWR
125	22216 13311	8	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	128ERES|28BPWR|3CGEN|48DMG|568VULN|7RCR|9DUR|aCDMG
126	23513 34326	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|2BEXP|3DUR|457VULN|6RCR|89DMG|aCDMG
127	61313 31326	8	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|2DUST|3RMIN|456VULN|79DMG|8RCR|aCDMG
128	61533 31326	8	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|2DUST|356VULN|4ERES|79DMG|8RCR|aCDMG
129	62311 42326	9	   	252.15	DCR|3VULN|2DUR|2CDMG|1TLV	17DUR|2LHND|3RMIN|467VULN|57CDMG|7BPWR|8RPLT|9TLV|aRCR
130	62313 42326	9	   	252.15	DCR|3VULN|2DUR|2CDMG|1TLV	17DUR|2LHND|3RMIN|457VULN|67CDMG|7BPWR|8RPLT|9TLV|aRCR
131	61142 31423	8	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	18DUR|2DUST|38ZMB|4TLV|5CGEN|68aVULN|7RCR|8BPWR|9DMG
132	31513 14111	3	   	252.13	DCR|3VULN|2DMG|2TLV|1AART|1SELL	1RMIN|27TLV|379VULN|4RCVC|57DMG|6RCR|7BPWR|8SELL|aAART
133	61311 42326	9	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	17DUR|2DUST|3RMIN|467VULN|57CDMG|7BPWR|8RPLT|9TLV|aRCR
134	61313 42326	9	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	17DUR|2DUST|3RMIN|457VULN|67CDMG|7BPWR|8RPLT|9TLV|aRCR
135	61332 31443	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	18DUR|28DUST|3RMIN|4DMG|5CGEN|68aVULN|7RCR|8BPWR|9TLV
136	61335 31432	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	18DUR|28DUST|3RMIN|4DMG|5TLV|68aVULN|7RCR|8BPWR|9BELT
137	61342 31423	8	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	18DUR|28DUST|3RMIN|4TLV|5CGEN|68aVULN|7RCR|8BPWR|9DMG
138	11513 33457	9	   	252.02	DCR|4VULN|2DUR|1CDMG	19FEWX|2DUST|3789VULN|49DUR|5MBVNT|6RCR|9BPWR|aCDMG
139	61215 31123	7	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|3BEXP|5TLV|68aVULN|7RCR|9DMG
140	61215 31223	8	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|3BEXP|5TLV|68aVULN|7RCR|9DMG
141	61215 31263	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|3BEXP|5TLV|68aVULN|7RCR|9DMG
142	61515 31123	5	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|38aVULN|5TLV|6RCR|7FEWX|9DMG
143	61515 31313	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|36aVULN|5TLV|7DMG|8RCR|9RPLT
144	62532 34311	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2LHND|37aVULN|4TLV|6RCR|8DMG|9BBNT
145	62632 34311	2	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2LHND|37aVULN|4TLV|6RCR|8DMG|9BBNT
146	61313 31326	10	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|3RMIN|456VULN|7DMG|8RCR|9TLV
147	61335 31214	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	19DUR|2DUST|3RMIN|4DMG|5TLV|68aVULN|7RCR
148	61523 31321	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|356VULN|4CGEN|7DMG|8RCR|9TLV
149	61523 31326	10	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|356VULN|4CGEN|7DMG|8RCR|9TLV
150	61523 34321	8	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|356VULN|4CGEN|7TLV|8RCR|9DMG
151	61512 31324	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|36aVULN|5CGEN|7DMG|8RCR|9TLV
152	62311 22163	9	   	251.94	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	167DUR|2LHND|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aAART
153	65311 22123	9	   	251.94	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	167DUR|2BEXP|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aAART
154	61515 31311	8	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	14DUR|2DUST|36aVULN|5TLV|7DMG|8RCR|9BBNT
155	61533 31321	9	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|356VULN|4ERES|7DMG|8RCR|9TLV
156	61533 31326	10	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|356VULN|4ERES|7DMG|8RCR|9TLV
157	61533 34321	8	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2DUST|356VULN|4ERES|7TLV|8RCR|9DMG
158	61311 22123	9	   	251.84	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	167DUR|2DUST|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aAART
159	64311 22163	9	   	251.84	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	167DUR|2LEGI|3RMIN|47VULN|57CDMG|7BPWR|8RCR|9DMG|aAART
160	33552 36121	8	   	251.80	DCR|4VULN|3DUR	1RMIN|2RCVC|379aVULN|457DUR|67MLV|7BPWR|8RCR
161	54331 11423	4	   	251.70	DCR|3VULN|2DUR|1DMG|1TLV|1SELL	1SELL|2TLV|349VULN|5BBNT|6RCR|7DMG|8aDUR
162	54333 11423	4	   	251.70	DCR|3VULN|2DUR|1DMG|1TLV|1SELL	1SELL|2TLV|349VULN|5TBNT|6RCR|7DMG|8aDUR
163	33531 14621	3	   	251.70	DCR|4VULN|3DUR	1RMIN|2RCVC|359aVULN|457DUR|5BPWR|6ZMB|8RCR
164	62323 61214	9	   	251.70	DCR|4VULN|3DUR	169DUR|2LHND|3RMIN|4BEXP|568aVULN|6BPWR|7RCR
165	32131 14621	1	   	251.70	DCR|4VULN|3DUR	1RMIN|259aVULN|3RCVC|457DUR|5BPWR|6ZMB|8RCR
166	11513 33453	10	   	251.60	DCR|4VULN|3DUR	19FEWX|2DUST|3789VULN|49aDUR|5MBVNT|6RCR|9BPWR
167	33552 16121	8	   	251.60	DCR|4VULN|3DUR	1RMIN|2RCVC|379aVULN|457DUR|67ERES|7BPWR|8RCR
168	61323 61214	9	   	251.60	DCR|4VULN|3DUR	169DUR|2DUST|3RMIN|4BEXP|568aVULN|6BPWR|7RCR
