0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51132 24511	1	 * 	287.16	DCR|4VULN|3DMG|1DUR|1AART	178DMG|2BELT|3AART|4578VULN|678BEXP|78BPWR|9RCR|aDUR
51	62522 13722	7	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	17TLV|2FEWX|347VULN|57aDUR|6MBVNT|7BPWR|8RCR|9ASPD
52	21525 34313	6	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2MLV|3468VULN|5DMG|7RCR|9ERES|aTLV
53	23525 34313	6	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2CGEN|3468VULN|5DMG|7RCR|9ERES|aTLV
54	25542 13113	9	 * 	259.43	ACR|4VULN|3DUR|2TLV|1DMG	147DUR|279aVULN|3RCR|57TLV|6MBVNT|7BPWR|8DMG
55	25542 13113	10	   	259.43	ACR|4VULN|3DUR|2TLV|1DMG	147DUR|279aVULN|3RCR|57TLV|6MBVNT|7BPWR|8DMG
56	62322 35125	1	   	259.11	DCR|3VULN|2DUR|2TLV|1CDMG|1AART	1aTLV|27aVULN|3CDMG|4LHND|5aDUR|6AART|8MBVNT|9RCR|aBPWR
57	25222 43531	9	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	137DUR|27aVULN|4DUST|5TLV|67BEXP|7BPWR|8RCR|9CDMG
58	52242 31132	1	   	258.54	DCR|4VULN|2DUR|1DMG	1DMG|269aVULN|3BEXP|48DUR|56LWND|6BPWR|7RCR
59	51245 31132	2	   	258.54	DCR|4VULN|2DUR|1DMG	1DMG|26LWND|3BEXP|48DUR|569aVULN|6BPWR|7RCR
60	53145 31132	3	   	258.54	DCR|4VULN|2DUR|1DMG	1DMG|26BEXP|3LWND|48DUR|569aVULN|6BPWR|7RCR
61	53345 31132	2	   	258.54	DCR|4VULN|2DUR|1DMG	1DMG|26BEXP|3LHND|48DUR|569aVULN|6BPWR|7RCR
62	23525 33521	6	   	258.44	DCR|4VULN|2DUR|1DMG	17DUR|2CGEN|3469VULN|5DMG|8RCR|aLWND
63	51145 31132	2	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|26LWND|3DUST|48DUR|569aVULN|6BPWR|7RCR
64	51225 61132	4	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|3FEWX|459aVULN|68DUR|7RCR
65	51521 11132	4	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|349aVULN|58DUR|6BEXP|7RCR
66	51522 11132	5	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|349aVULN|58DUR|6BEXP|7RCR
67	51522 31132	6	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|349aVULN|58DUR|6FEWX|7RCR
68	51525 31132	4	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|349aVULN|5LHND|68DUR|7RCR
69	51525 31132	3	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|359aVULN|4LHND|68DUR|7RCR
70	52125 61132	4	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|3LWND|459aVULN|68DUR|7RCR
71	52142 31132	1	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|269aVULN|3DUST|48DUR|56LWND|6BPWR|7RCR
72	52245 21132	1	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|259aVULN|3BEXP|48DUR|6FEWX|7RCR
73	52245 31132	1	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|259aVULN|3BEXP|48DUR|6LHND|7RCR
74	52522 11132	5	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|349aVULN|58DUR|6BEXP|7RCR
75	52522 31132	6	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|349aVULN|58DUR|6LHND|7RCR
76	52523 21132	6	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|349aVULN|5LWND|68DUR|7RCR
77	52523 61132	5	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|349aVULN|5LWND|68DUR|7RCR
78	53125 61132	4	   	258.44	DCR|4VULN|2DUR|1DMG	1DMG|2BEXP|3LWND|459aVULN|68DUR|7RCR
79	61522 13731	7	   	258.44	DCR|4VULN|2DUR|2TLV	17TLV|2LWND|3479VULN|57DUR|6MBVNT|7BPWR|8RCR|aCGEN
80	61522 13734	7	   	258.44	DCR|4VULN|2DUR|2TLV	17TLV|2LWND|3479VULN|57DUR|6MBVNT|7BPWR|8RCR|aMLV
81	62522 13731	7	   	258.44	DCR|4VULN|2DUR|2TLV	17TLV|2FEWX|3479VULN|57DUR|6MBVNT|7BPWR|8RCR|aCGEN
82	62522 13734	7	   	258.44	DCR|4VULN|2DUR|2TLV	17TLV|2FEWX|3479VULN|57DUR|6MBVNT|7BPWR|8RCR|aMLV
83	21525 34322	6	   	258.44	DCR|4VULN|2DUR|1DMG	1aDUR|2MLV|3468VULN|5DMG|7RCR|9CGEN
84	22461 14313	2	 * 	258.44	DCR|4VULN|2DUR|2CDMG	17DUR|2LWND|37CDMG|4579VULN|6BBNT|7BPWR|8RMIN|aRCR
85	23525 33523	6	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2CGEN|3469VULN|5DMG|8RCR|aBBNT
86	51521 21132	6	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|349aVULN|5DUST|68DUR|7RCR
87	51521 61132	5	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|2LWND|349aVULN|5DUST|68DUR|7RCR
88	52115 61132	1	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|259aVULN|3DUST|4BEXP|68DUR|7RCR
89	52125 61132	1	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|259aVULN|3DUST|4LHND|68DUR|7RCR
90	52145 11132	1	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|259aVULN|3DUST|48DUR|6BEXP|7RCR
91	52521 61132	5	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|349aVULN|5DUST|68DUR|7RCR
92	52526 21132	6	   	258.34	DCR|4VULN|2DUR|1DMG	1DMG|2FEWX|349aVULN|5LEGI|68DUR|7RCR
93	61522 13217	9	   	258.34	DCR|4VULN|2DUR|2TLV	17TLV|2LWND|3479VULN|57DUR|6MBVNT|7BPWR|8ERES|aRCR
94	61522 13347	9	   	258.34	DCR|4VULN|2DUR|2TLV	17TLV|2LWND|3478VULN|57DUR|6MBVNT|7BPWR|9ERES|aRCR
95	61522 13714	7	   	258.34	DCR|4VULN|2DUR|2TLV	17TLV|2LWND|347aVULN|57DUR|6MBVNT|7BPWR|8RCR|9ERES
96	21525 34312	6	   	258.34	DCR|4VULN|2DUR|1DMG	1aDUR|2MLV|3468VULN|5DMG|7RCR|9ERES
97	23525 34312	6	   	258.34	DCR|4VULN|2DUR|1DMG	1aDUR|2CGEN|3468VULN|5DMG|7RCR|9ERES
98	61522 13733	7	   	258.19	DCR|4VULN|2DUR|2TLV|1SELL	17TLV|2LWND|3479VULN|57DUR|6MBVNT|7BPWR|8RCR|aSELL
99	62522 13733	7	   	258.19	DCR|4VULN|2DUR|2TLV|1SELL	17TLV|2FEWX|3479VULN|57DUR|6MBVNT|7BPWR|8RCR|aSELL
100	23533 34325	6	   	258.11	DCR|5VULN|2DUR	1aDUR|2aCGEN|3689aVULN|4RMIN|5RCVC|7RCR|aBPWR
101	21522 64322	6	   	257.91	DCR|5VULN|2DUR	15DUR|2MLV|3489aVULN|6CGEN|7RCR
102	23522 34322	6	   	257.91	DCR|5VULN|2DUR	15DUR|2CGEN|3489aVULN|6MLV|7RCR
103	23522 44322	6	   	257.81	DCR|5VULN|2DUR|1NUKE	15DUR|2CGEN|3489aVULN|6NUKE|7RCR
104	51532 21151	6	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2LWND|3aVULN|4RMIN|5TLV|68DUR|7RCR|9aLIT|aBPWR
105	52532 21151	6	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2FEWX|3aVULN|4RMIN|5TLV|68DUR|7RCR|9aLIT|aBPWR
106	25412 82222	3	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	17DUR|27VULN|3MBVNT|49LIT|5FEWX|67DMG|7BPWR|8TLV|aRCR
107	22462 53211	1	   	257.54	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1DUR|26FEWX|3CDMG|4aVULN|569DMG|6BPWR|7TLV|8RCR
108	22441 13831	9	   	257.53	DCR|3VULN|3DUR|2TLV	19aDUR|29aLWND|3MBVNT|47TLV|5LIT|69aVULN|8RCR|9aBPWR
109	21525 34331	6	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2MLV|3468VULN|5DMG|7RCR|9BEXP|aCDMG
110	35412 53213	2	   	257.44	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1BEXP|26VULN|3CDMG|4DUR|569DMG|6BPWR|7TLV|8RCR|aBBNT
111	35412 52313	2	   	257.44	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1BEXP|26VULN|3CDMG|4DUR|569DMG|6BPWR|7LEGI|8TLV|aRCR
