0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34336 24734	9	 * 	305.00	DCR|4VULN|3DMG|3DUR	138aVULN|245DUR|6MBVNT|78aDMG|8aBPWR|9RCR
14	35353 33333	9	   	289.94	DCR|3VULN|2DMG|2ASPD|2TLV|1DUR	15aVULN|2MLV|3aDMG|45ASPD|5aBPWR|6RCR|7DUR|8aTLV|9AART
15	33353 33521	9	   	289.72	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	158aVULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT
16	33353 33521	8	   	289.72	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	158aVULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT
17	33353 33536	9	   	289.72	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aLIT
18	33353 22221	7	   	289.72	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	156aVULN|2TLV|3DMG|45ASPD|5BPWR|7DUR|8RCR|9LIT
19	26335 14322	10	 * 	286.68	DCR|3VULN|3DUR|2ASPD|1DMG|1TLV	149DUR|2DMG|39ASPD|5TLV|6LWND|7RCR|89aVULN|9BPWR
20	33353 33633	9	   	286.22	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	15aVULN|2TLV|3aDMG|45ASPD|5aBPWR|6RCR|7DUR|8aCGEN|9AART
21	33353 33511	9	   	286.02	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aAART
22	33353 31142	6	   	286.02	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|37DMG|45ASPD|5BPWR|6RCR|8AART|aDUR
23	33353 33231	9	   	286.02	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aAART
24	31236 21322	9	   	285.92	DCR|4VULN|2DMG|2CDMG|1ASPD	1459VULN|2AART|34DUST|49BPWR|6RCR|79CDMG|89DMG|aASPD
25	31513 16352	2	 * 	285.90	DCR|3VULN|3DUR|3ASPD|1TLV	189VULN|2AART|3LWND|4BBNT|589DUR|689ASPD|7RCR|89BPWR|aTLV
26	31236 63325	8	   	285.69	DCR|4VULN|2DMG|2DUR	1459VULN|2AART|346DUST|49BPWR|79DUR|89DMG|aRCR
27	33353 33331	10	   	285.13	DCR|4VULN|2ASPD|2TLV|1DMG|1DUR	159aVULN|28TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR
28	35353 33531	10	   	284.70	DCR|5VULN|2ASPD|1DMG|1DUR	1589aVULN|2MLV|3DMG|45ASPD|5BPWR|6RCR|7DUR
29	33353 33516	9	   	284.67	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aLIT
30	33353 36531	8	   	284.67	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	15aVULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7LIT|8DUR
31	33353 33221	9	   	284.67	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	15aVULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT
32	33353 33221	8	   	284.67	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	15aVULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT
33	33353 33236	9	   	284.67	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aLIT
34	33353 32625	10	   	283.93	DCR|4VULN|2ASPD|2TLV|1DMG|2LIT	159aVULN|2aTLV|3DMG|45ASPD|5aBPWR|6RCR|7RPLT|8aLIT
35	33353 36152	7	   	283.93	DCR|4VULN|2ASPD|2TLV|1DMG|2LIT	158aVULN|2aTLV|3DMG|45ASPD|5aBPWR|6RCR|7aLIT|9BELT
36	33353 36132	7	   	283.83	DCR|4VULN|2ASPD|2TLV|1DMG|2LIT	158aVULN|2aTLV|3DMG|45ASPD|5aBPWR|6RCR|7aLIT|9TBNT
37	33353 31426	6	 * 	283.28	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	15aVULN|2TLV|37DMG|458ASPD|5BPWR|6RCR|9CDMG
38	34324 16132	9	   	283.25	DCR|4VULN|2DUR|2CDMG|2LIT	137aVULN|2aDUR|47BEXP|5AART|67LIT|7aBPWR|8aCDMG|9RCR
39	31236 21325	10	   	283.22	DCR|4VULN|2DMG|2CDMG	1459VULN|2AART|34DUST|49BPWR|6RCR|79CDMG|89DMG|aLIT
40	34315 22324	9	   	283.11	DCR|3VULN|2DMG|2DUR|2CDMG	139VULN|29DUR|46CDMG|5AART|7DUST|89DMG|9BPWR|aRCR
41	31124 61512	6	 * 	283.07	DCR|3VULN|2DMG|3CDMG|1DUR	14aVULN|2AART|34aCDMG|4aBPWR|5LIT|6DUR|7RCR|8RMIN|9aDMG
42	31124 26352	9	   	283.05	DCR|4VULN|2DUR|2CDMG|2LIT	146aVULN|2AART|34CDMG|4aBPWR|5aLIT|7aDUR|8RCR|9MBVNT
43	33353 33551	8	   	283.02	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	158VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|79DUR|aAART
44	33353 22251	7	   	283.02	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	156VULN|2TLV|3DMG|45ASPD|5BPWR|79DUR|8RCR|aAART
45	34336 24733	10	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	138VULN|245DUR|6MBVNT|78DMG|8BPWR|9RCR|aTLV
46	33353 14231	10	   	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	159aVULN|2TLV|38DMG|45ASPD|5BPWR|6LWND|7RCR
47	35353 33231	10	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	159aVULN|2MLV|38DMG|45ASPD|5BPWR|6RCR|7DUR
48	35353 33511	10	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	158aVULN|2MLV|39DMG|45ASPD|5BPWR|6RCR|7DUR
49	31216 21325	9	   	282.69	DCR|4VULN|2DMG|2CDMG|2AART	159aVULN|24AART|3DUST|6RCR|79CDMG|89DMG|9BPWR
50	31236 21326	10	   	282.69	DCR|4VULN|2DMG|2CDMG|2AART	1459VULN|2aAART|34DUST|49BPWR|6RCR|79CDMG|89DMG
51	31124 22152	6	 * 	282.64	DCR|4VULN|2DUR|3CDMG	146aVULN|2AART|34aCDMG|4aBPWR|5LIT|7RCR|8BEXP|9aDUR
52	31124 23352	8	   	282.64	DCR|4VULN|2DUR|3CDMG	146aVULN|2AART|34aCDMG|4aBPWR|5LIT|7FEWX|8RCR|9aDUR
53	21516 24734	9	   	282.36	DCR|3VULN|3DMG|3DUR	135DUR|2DMSP|48aVULN|6MBVNT|78aDMG|8aBPWR|9RCR
54	21636 24734	9	   	282.36	DCR|3VULN|3DMG|3DUR	145DUR|2DMSP|38aVULN|6MBVNT|78aDMG|8aBPWR|9RCR
55	34336 24731	10	   	282.26	DCR|3VULN|3DMG|3DUR	138VULN|245DUR|6MBVNT|78aDMG|8BPWR|9RCR
56	34311 21442	4	   	282.06	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1379VULN|2DUR|4CDMG|5LIT|6RCR|8DMG|aTLV
57	33353 33121	7	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	15aVULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|78DUR|9LIT
58	33353 33526	9	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	158VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7aDUR|9LIT
59	33353 33526	8	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	158VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7aDUR|9LIT
60	33353 22226	7	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	156VULN|2TLV|3DMG|45ASPD|5BPWR|7aDUR|8RCR|9LIT
61	33353 22256	7	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	156VULN|2TLV|3DMG|45ASPD|5BPWR|79DUR|8RCR|aLIT
62	33353 33532	9	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aCGEN
63	33353 33532	10	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aFEWX
64	33353 33533	9	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aLWND
65	33353 33533	10	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aBELT
66	33353 33535	10	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aRMIN
67	33353 33621	7	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	159aVULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|8BELT
68	33353 33534	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aBBNT
69	33353 33534	10	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aERES
70	31122 41635	4	   	281.30	DCR|4VULN|2ASPD|2CDMG|2AART|2LIT	145aVULN|27AART|34CDMG|4aBPWR|6aASPD|8aLIT|9RCR
71	31122 23641	4	   	280.77	DCR|4VULN|2CDMG|1TLV|1DUR|1ASPD	1459VULN|2AART|34CDMG|4BPWR|6TLV|7RCR|8ASPD|aDUR
72	33353 33522	8	   	280.73	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	158VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT|aCDMG
73	33353 33522	9	   	280.73	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	158VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT|aCDMG
74	33353 33524	10	   	280.73	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	158VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|9LIT|aCDMG
75	33353 22222	7	   	280.73	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	156VULN|2TLV|3DMG|45ASPD|5BPWR|7DUR|8RCR|9LIT|aCDMG
76	26335 24231	10	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	14DUR|28DMG|3ASPD|5TLV|69aVULN|7RCR
77	33353 33311	10	   	280.07	DCR|3VULN|2DMG|2ASPD|2TLV|1DUR	15aVULN|28TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR
78	32336 34134	3	   	278.90	DCR|3VULN|3DMG|2DUR	139VULN|2BEXP|49aDMG|5AART|6RCR|79DUR|8BELT|9BPWR
79	34351 21324	5	   	278.89	DCR|5VULN|1TLV|1DUR|1ASPD	13789VULN|2DUR|4ASPD|5LIT|6TLV|aRCR
80	31261 42334	3	   	278.80	DCR|3VULN|3DMG|2DUR	159VULN|2AART|3DUST|4BELT|6RCR|79aDMG|89DUR|9BPWR
81	33353 36532	7	   	278.78	DCR|3VULN|2DMG|2ASPD|2TLV|2LIT	15aVULN|2aTLV|38DMG|45ASPD|5aBPWR|6RCR|7aLIT|9TBNT
82	34313 73432	3	   	278.40	DCR|4VULN|2DUR|2TLV|1DMG	1368VULN|28DUR|4TBNT|5MBVNT|78TLV|8BPWR|9RCR|aDMG
83	33353 31141	6	   	278.08	DCR|3VULN|2DMG|2ASPD|1TLV	159VULN|2TLV|37DMG|45ASPD|5BPWR|6RCR|8AART|aLIT
84	34343 33843	8	 * 	278.08	DCR|5VULN|2DUR|1DMG	13789VULN|28DUR|48LHND|5MBVNT|6RCR|8BPWR|aDMG
85	24231 31453	2	   	277.81	DCR|4VULN|3DUR|1TLV	14aDUR|2AART|348aVULN|4aBPWR|5CGEN|6RCR|7TLV|9aBEXP
86	33333 64531	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	189aVULN|2TLV|36DMG|4DUR|5ZMB|7RCR
87	26124 32413	10	   	277.61	DCR|3VULN|3DUR|2DMG|1ASPD	135DUR|24DMG|689VULN|7ASPD|aRCR
88	26151 32413	10	   	277.61	DCR|3VULN|3DUR|2DMG|1ASPD	134DUR|25DMG|5BPWR|689VULN|7ASPD|aRCR
89	33353 33642	7	   	277.27	DCR|3VULN|2DUR|2ASPD|2TLV|1DMG	159VULN|29TLV|3DMG|45ASPD|59BPWR|6RCR|79DUR|8BELT|aLWND
90	33313 16336	10	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1789aVULN|2TLV|3DMG|4CDMG|5ZMB|6RCR
91	34311 21422	4	   	277.01	DCR|3VULN|2DMG|1DUR|1TLV|1CDMG	137VULN|2DUR|4CDMG|5LIT|6RCR|89DMG|aTLV
92	34315 32324	9	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	139VULN|29DUR|4CDMG|5AART|6RCVC|7DUST|89DMG|9BPWR|aRCR
93	34124 31324	9	   	276.69	DCR|3VULN|2DMG|2DUR|1CDMG	169VULN|29DUR|34DUST|5AART|7CDMG|89DMG|9BPWR|aRCR
94	33353 36523	10	   	276.60	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	15aVULN|2TLV|3DMG|459ASPD|5BPWR|6RCR|7LIT|8DUR
95	26316 36131	2	   	276.57	DCR|3VULN|3DUR|2DMG	139DUR|23DMG|39BPWR|49aVULN|5AART|6RCR|79FEWX|8BELT
96	33353 33421	10	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aFEWX
97	33353 33422	10	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aCGEN
98	33353 33423	10	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aMLV
99	33353 33423	9	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aFEWX
100	33353 33424	10	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aLHND
101	33353 33424	9	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aRPLT
102	33353 33425	9	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aBEXP
103	33353 33426	10	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aBEXP
104	33353 33426	9	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aZMB
105	33353 14121	9	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|39DMG|45ASPD|59BPWR|6LWND|7RCR|89BEXP|aDUR
106	35353 33423	10	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2MLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aTLV
107	34324 11132	9	   	276.50	DCR|4VULN|2DUR|2CDMG	137aVULN|2aDUR|4BEXP|5AART|6LIT|8aCDMG|9RCR|aBPWR
108	34324 35132	9	   	276.50	DCR|4VULN|2DUR|2CDMG	136aVULN|2aDUR|4BEXP|5AART|7LIT|8aCDMG|9RCR|aBPWR
109	34346 11132	9	   	276.50	DCR|4VULN|2DUR|2CDMG	137aVULN|2aDUR|4LHND|5AART|6LIT|8aCDMG|9RCR|aBPWR
110	32336 34131	3	   	276.47	DCR|3VULN|3DUR|2DMG	139VULN|2BEXP|49DMG|5AART|6RCR|79aDUR|8BELT|9BPWR
111	33353 33422	9	   	276.46	DCR|3VULN|2DMG|2ASPD|1DUR|1TLV	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7DUR|89LWND|aERES
112	34311 21424	4	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	137VULN|2DUR|4CDMG|5LIT|6RCR|89aDMG
113	26316 32131	2	   	276.37	DCR|3VULN|3DUR|2DMG	139DUR|23DMG|39BPWR|49aVULN|5AART|6RCR|79DUST|8BELT
114	31261 42331	3	   	276.37	DCR|3VULN|3DUR|2DMG	159VULN|2AART|3DUST|4BELT|6RCR|79DMG|89aDUR|9BPWR
115	31261 43531	3	   	276.37	DCR|3VULN|3DUR|2DMG	159VULN|2AART|3DUST|4BELT|6RCR|79aDUR|89DMG|9BPWR
116	31461 42331	2	   	276.37	DCR|3VULN|3DUR|2DMG	159VULN|2AART|3DUST|4BELT|6RCR|79DMG|89aDUR|9BPWR
117	33353 33512	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aCGEN
118	33353 33512	10	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aFEWX
119	33353 33513	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aLWND
120	33353 33513	8	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|3aDMG|45ASPD|5BPWR|6RCR|7DUR|9ZMB
121	33353 33513	10	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aBELT
122	33353 33515	10	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aRMIN
123	33353 33553	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|3aDMG|45ASPD|5BPWR|6RCR|7DUR|9CGEN
124	33353 33626	7	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|3aDMG|45ASPD|5BPWR|6RCR|7DUR|8BELT
125	35353 22253	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	156VULN|2MLV|3aDMG|45ASPD|5BPWR|7DUR|8TLV|9RCR
126	33353 14231	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6LWND|7RCR|aDUR
127	33353 22213	7	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	156VULN|2TLV|3aDMG|45ASPD|5BPWR|7DUR|8RCR|9ZMB
128	33353 24251	6	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	156VULN|2TLV|37DMG|45ASPD|5BPWR|8LHND|9RCR|aDUR
129	33353 33232	10	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aFEWX
130	33353 33232	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aCGEN
131	33353 33233	10	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aBELT
132	33353 33233	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aLWND
133	33353 33235	10	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aRMIN
134	31216 21323	10	   	276.29	DCR|3VULN|2DMG|2CDMG|2AART|1TLV	159VULN|24AART|3DUST|6RCR|79CDMG|89DMG|9BPWR|aTLV
135	33353 33514	9	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aBBNT
136	33353 33514	10	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR|aERES
137	33353 33234	10	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aERES
138	33353 33234	9	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	159VULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR|aBBNT
139	33353 36432	5	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	158VULN|2TLV|3aDMG|45ASPD|5BPWR|6BBNT|7DUR|9RCR
140	33354 13522	7	   	275.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17VULN|2TLV|37DMG|4ASPD|5FEWX|67DUR|7BPWR|8RCR|9CDMG|aLIT
141	33353 22425	6	 * 	275.77	DCR|3VULN|3DMG|2ASPD|1TLV	156VULN|2TLV|389DMG|45ASPD|5BPWR|7ZMB|aRCR
142	22362 43511	3	 * 	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	167DUR|2DUST|347VULN|567CDMG|67BPWR|8RCR|9DMG|aRCVC
143	22362 43512	3	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	167DUR|2DUST|347VULN|567CDMG|67BPWR|8RCR|9DMG|aCGEN
144	22362 43523	3	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	167DUR|2DUST|347VULN|567CDMG|67BPWR|8RCR|9CGEN|aDMG
