0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35241 33433	10	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2569VULN|3DMG|4NUKE|79TLV|89DUR|9BPWR|aRCR
33	35223 23342	6	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|29aVULN|39DMG|4aFEWX|5aERES|689DUR|7RCR|9aBPWR
34	35261 12352	9	   	266.74	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|4aDUR|7RCR|9LIT
35	35243 11511	7	   	265.54	DCR|2VULN|3DMG|2DUR|1CDMG|1NUKE|1AART	1RCVC|28VULN|358DMG|4NUKE|68DUR|7AART|8BPWR|9CDMG|aRCR
36	35243 11611	8	   	265.54	DCR|2VULN|3DMG|2DUR|1CDMG|1NUKE|1AART	1RCVC|28VULN|358DMG|4NUKE|68DUR|7AART|8BPWR|9CDMG|aRCR
37	35243 13511	5	   	265.54	DCR|2VULN|3DMG|2DUR|1CDMG|1NUKE|1AART	1RCVC|28VULN|358DMG|4NUKE|68DUR|7AART|8BPWR|9CDMG|aRCR
38	35243 13511	6	   	265.54	DCR|2VULN|3DMG|2DUR|1CDMG|1NUKE|1AART	1RCVC|28VULN|358DMG|4NUKE|68DUR|7AART|8BPWR|9CDMG|aRCR
39	35261 12111	8	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1RCVC|256VULN|3DMG|489DUR|7RCR|aTLV
40	31231 12131	7	   	264.93	DCR|5VULN|2DMG	1RCVC|29FEWX|39DMG|45689VULN|7RCR|9BPWR|aMLV
41	31231 12132	7	   	264.93	DCR|5VULN|2DMG	1RCVC|29aFEWX|39DMG|45689VULN|7RCR|9BPWR
42	31231 12133	7	   	264.93	DCR|5VULN|2DMG	1RCVC|29FEWX|39DMG|45689VULN|7RCR|9BPWR|aBEXP
43	35221 12131	7	   	264.93	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49FEWX|7RCR|9BPWR|aMLV
44	35221 12132	7	   	264.93	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49aFEWX|7RCR|9BPWR
45	35221 12133	7	   	264.93	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49FEWX|7RCR|9BPWR|aBEXP
46	31231 12136	7	   	264.83	DCR|5VULN|2DMG	1RCVC|29FEWX|39DMG|45689VULN|7RCR|9BPWR|aERES
47	35221 12136	7	   	264.83	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49FEWX|7RCR|9BPWR|aERES
48	35211 12131	7	   	264.73	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49DUST|7RCR|9BPWR|aMLV
49	35211 12132	7	   	264.73	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49DUST|7RCR|9BPWR|aFEWX
50	35211 12133	7	   	264.73	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49DUST|7RCR|9BPWR|aLHND
51	35211 12134	7	   	264.73	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49DUST|7RCR|9BPWR|aBEXP
52	35211 12136	7	   	264.63	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49DUST|7RCR|9BPWR|aERES
53	35261 12315	10	   	264.52	DCR|4VULN|1DMG|1DUR|1ASPD|1AART	1RCVC|2568VULN|3DMG|4DUR|7RCR|9ASPD|aAART
54	65231 12132	8	 * 	264.33	DCR|4VULN|2DUR|3CDMG|1SELL	1SELL|29aCDMG|3BEXP|4569VULN|7RCR|89DUR|9BPWR
55	65531 12132	8	 * 	264.33	DCR|4VULN|2DUR|3CDMG|1SELL	1SELL|29aCDMG|3FEWX|4569VULN|7RCR|89DUR|9BPWR
56	35261 12161	7	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|25689VULN|3DMG|4DUR|7RCR|aMLV
57	35261 12162	7	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|25689VULN|3DMG|4DUR|7RCR|aFEWX
58	35261 12163	7	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|25689VULN|3DMG|4DUR|7RCR|aLHND
59	35261 12336	10	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|2568aVULN|3DMG|4DUR|7RCR|9MLV
60	35261 12361	8	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|25689VULN|3DMG|4DUR|7RCR|aMLV
61	35261 12362	8	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|25689VULN|3DMG|4DUR|7RCR|aFEWX
62	35261 12363	8	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|25689VULN|3DMG|4DUR|7RCR|aLHND
63	26361 62232	7	   	263.23	DCR|4VULN|2DUR|1CDMG|1ASPD	19LWND|2ASPD|3DMSP|49DUR|5689VULN|7RCR|9BPWR|aCDMG
64	35261 12352	10	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1RCVC|2568VULN|3DMG|4DUR|7RCR|9LIT|aASPD
65	35241 11622	10	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1RCVC|258VULN|38DMG|4NUKE|68DUR|7AART|8BPWR|9CGEN|aRCR
66	35241 11612	10	   	263.04	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1RCVC|258VULN|38DMG|4NUKE|68DUR|7AART|8BPWR|9ERES|aRCR
67	54262 11211	7	   	262.08	DCR|3VULN|1DMG|1DUR|1TLV|2LIT|1AART	1AART|2TLV|35LIT|457VULN|5BPWR|6LHND|8RCR|9DMG|aDUR
68	54262 21211	7	   	262.08	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1AART	1AART|2TLV|35LIT|457VULN|5BPWR|6FEWX|8RCR|9DMG|aDUR
69	24513 62221	2	   	261.81	DCR|3VULN|3DMG|1CDMG|1AART	189LWND|2CDMG|3BBNT|489DMG|5AART|689VULN|7RCR|89BPWR|aBEXP
70	24513 62222	2	   	261.81	DCR|3VULN|3DMG|1CDMG|1AART	189LWND|2CDMG|3BBNT|489DMG|5AART|689VULN|7RCR|89BPWR|aRCVC
71	24513 62223	2	   	261.81	DCR|3VULN|3DMG|1CDMG|1AART	189LWND|2CDMG|3BBNT|489DMG|5AART|689VULN|7RCR|89BPWR|aFEWX
72	31231 12631	8	   	261.64	DCR|4VULN|2DMG|1TLV	1RCVC|289FEWX|39DMG|4569VULN|7RCR|9BPWR|aTLV
73	35221 12631	8	   	261.64	DCR|4VULN|2DMG|1TLV	1RCVC|2569VULN|39DMG|489FEWX|7RCR|9BPWR|aTLV
74	31232 12131	7	   	261.64	DCR|4VULN|2DMG|1TLV	1RCVC|259FEWX|39DMG|4689VULN|7RCR|9BPWR|aTLV
75	35222 12131	7	   	261.64	DCR|4VULN|2DMG|1TLV	1RCVC|2689VULN|39DMG|459FEWX|7RCR|9BPWR|aTLV
76	12421 26132	10	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1DUST|2TLV|39aVULN|45DUR|6DMG|7AART|8RCR
77	52342 35221	9	 * 	261.46	DCR|4VULN|3DUR|1AART	1AART|28FEWX|358aVULN|478DUR|6RCR|8BPWR|9BEXP
78	52342 35231	9	   	261.46	DCR|4VULN|3DUR|1AART	1AART|28FEWX|358aVULN|478DUR|6RCR|8BPWR|9LWND
79	55342 33221	9	   	261.46	DCR|4VULN|3DUR|1AART	1AART|28LWND|358aVULN|478DUR|6RCR|8BPWR|9BEXP
80	55342 33233	10	   	261.46	DCR|4VULN|3DUR|1AART	1AART|289LWND|358aVULN|478DUR|6RCR|8aBPWR
81	35211 16241	8	   	261.44	DCR|4VULN|2DMG|1TLV	1RCVC|2567VULN|37DMG|47DUST|7BPWR|8BELT|9RCR|aTLV
82	35261 12141	7	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2568VULN|39DMG|4DUR|7RCR|aLWND
83	35261 12341	8	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2568VULN|39DMG|4DUR|7RCR|aLWND
84	52342 35211	9	   	261.36	DCR|4VULN|3DUR|1AART	1AART|28FEWX|358aVULN|478DUR|6RCR|8BPWR|9DUST
85	52342 35222	8	   	261.36	DCR|4VULN|3DUR|1AART	1AART|28FEWX|358aVULN|478DUR|6RCR|8BPWR|9TBNT
86	55342 33211	9	   	261.36	DCR|4VULN|3DUR|1AART	1AART|28LWND|358aVULN|478DUR|6RCR|8BPWR|9DUST
87	55342 33222	8	   	261.36	DCR|4VULN|3DUR|1AART	1AART|28LWND|358aVULN|478DUR|6RCR|8BPWR|9TBNT
88	35215 12131	7	   	261.34	DCR|4VULN|2DMG|1TLV	1RCVC|2689VULN|39DMG|459DUST|7RCR|9BPWR|aTLV
89	35261 12143	7	   	261.34	DCR|4VULN|2DMG|1DUR	1RCVC|2568VULN|39DMG|4DUR|7RCR|aBBNT
90	35261 12343	8	   	261.34	DCR|4VULN|2DMG|1DUR	1RCVC|2568VULN|39DMG|4DUR|7RCR|aBBNT
91	21315 12653	10	   	261.24	DCR|4VULN|3DMG	148LWND|239LHND|589DMG|689aVULN|7RCR|89BPWR
92	31231 12142	7	   	260.84	DCR|4VULN|3DMG	1RCVC|2FEWX|39aDMG|4568VULN|7RCR
93	35221 12142	7	   	260.84	DCR|4VULN|3DMG	1RCVC|2568VULN|39aDMG|4FEWX|7RCR
94	35245 12132	7	   	260.84	DCR|4VULN|3DMG|1NUKE	1RCVC|2689VULN|39aDMG|4NUKE|5RMIN|7RCR|9BPWR
95	35232 24231	10	   	260.79	DCR|5VULN|1DMG|1CDMG	1RCVC|2569aVULN|3DMG|4CDMG|7RCR|8LWND
96	35232 24334	8	   	260.79	DCR|5VULN|1DMG|1CDMG	1RCVC|2569aVULN|3DMG|4CDMG|7RCR|8CGEN
97	35232 24431	10	   	260.79	DCR|5VULN|1DMG|1CDMG	1RCVC|2569aVULN|3DMG|4CDMG|7RCR|8BEXP
98	35211 12142	7	   	260.74	DCR|4VULN|3DMG	1RCVC|2568VULN|39aDMG|4DUST|7RCR
99	54262 13331	8	   	260.41	DCR|3VULN|2DUR|2TLV|2LIT|1AART	1AART|29TLV|35LIT|459VULN|59BPWR|6LHND|7DUST|89DUR|aRCR
100	54262 23331	8	   	260.41	DCR|3VULN|2DUR|2TLV|2LIT|1AART	1AART|29TLV|35LIT|459VULN|59BPWR|6FEWX|7DUST|89DUR|aRCR
101	21331 36254	1	   	260.15	DCR|4VULN|2DMG|2LIT	1aLWND|25LIT|3TBNT|469aVULN|7aDMG|8RCR|aBPWR
102	35261 12132	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1RCVC|2568VULN|3DMG|4DUR|7RCR|9TLV|aLHND
103	35261 12133	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1RCVC|2568VULN|3DMG|4DUR|7RCR|9TLV|aFEWX
104	35261 12134	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1aRCVC|2568VULN|3DMG|4DUR|7RCR|9TLV
105	35261 12332	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1RCVC|2568VULN|3DMG|4DUR|7RCR|9TLV|aLHND
106	35261 12333	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1RCVC|2568VULN|3DMG|4DUR|7RCR|9TLV|aFEWX
107	35261 12334	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1aRCVC|2568VULN|3DMG|4DUR|7RCR|9TLV
108	26161 62232	8	 * 	260.03	DCR|3VULN|3DUR|2ASPD|1AART	19LWND|23ASPD|489DUR|569VULN|7RCR|9BPWR|aAART
109	26161 62231	7	   	259.79	DCR|4VULN|2DUR|2ASPD	19LWND|23ASPD|49DUR|5689VULN|7RCR|9BPWR|aLHND
110	26161 62233	7	   	259.79	DCR|4VULN|2DUR|2ASPD	19LWND|23ASPD|49DUR|5689VULN|7RCR|9BPWR|aRPLT
111	22423 24422	8	 * 	259.21	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1AART	17LWND|2TLV|37VULN|4DUR|5aDMG|67ASPD|7BPWR|8AART|9RCR
112	52353 24448	1	   	259.14	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1AART|25aVULN|35TLV|4MBVNT|5BPWR|6DMG|7RCR|8DUR|9LIT
113	52353 24474	1	   	259.14	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1AART|259VULN|35TLV|4MBVNT|5BPWR|6DMG|7RCR|8DUR|aLIT
114	16421 12132	8	   	258.94	DCR|4VULN|2DUR|1ASPD|1AART	149DUST|2ASPD|3569VULN|7RCR|89DUR|9BPWR|aAART
115	35261 42232	8	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	1RCVC|259VULN|3DMG|489DUR|69LWND|7RCR|9BPWR|aAART
116	26361 12632	8	   	258.88	DCR|3VULN|3DUR|2ASPD	189LWND|26ASPD|3DMSP|489DUR|589VULN|7RCR|89BPWR|aLIT
117	31231 12155	7	   	258.84	DCR|4VULN|2DMG|1CDMG	1RCVC|2FEWX|3aDMG|4568VULN|7RCR|9CDMG
118	31231 12635	7	   	258.84	DCR|4VULN|2DMG|1CDMG	1RCVC|2FEWX|3aDMG|4569VULN|7RCR|8CDMG
119	35221 12155	7	   	258.84	DCR|4VULN|2DMG|1CDMG	1RCVC|2568VULN|3aDMG|4FEWX|7RCR|9CDMG
120	35221 12635	7	   	258.84	DCR|4VULN|2DMG|1CDMG	1RCVC|2569VULN|3aDMG|4FEWX|7RCR|8CDMG
121	35232 24335	7	   	258.84	DCR|4VULN|2DMG|1CDMG	1RCVC|2569VULN|3aDMG|4CDMG|7RCR|8FEWX
122	35232 24622	9	   	258.84	DCR|4VULN|2DMG|1CDMG	18RCVC|2569VULN|3aDMG|4CDMG|7RCR
123	35211 12155	7	   	258.74	DCR|4VULN|2DMG|1CDMG	1RCVC|2568VULN|3aDMG|4DUST|7RCR|9CDMG
124	35211 12635	7	   	258.74	DCR|4VULN|2DMG|1CDMG	1RCVC|2569VULN|3aDMG|4DUST|7RCR|8CDMG
125	35232 24235	7	   	258.74	DCR|4VULN|2DMG|1CDMG	1RCVC|2569VULN|3aDMG|4CDMG|7RCR|8DUST
126	35261 12351	9	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	1RCVC|2568VULN|3DMG|4DUR|7RCR|9aLIT
127	26161 62231	8	   	258.68	DCR|3VULN|3DUR|2ASPD	19LWND|23ASPD|489DUR|569VULN|7RCR|9BPWR|aLIT
128	31231 12131	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3DMG|4569VULN|7RCR|89DUR|9BPWR|aLHND
129	31231 12133	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3DMG|4569VULN|7RCR|89DUR|9BPWR|aRPLT
130	31231 12134	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3DMG|4569VULN|7RCR|89DUR|9BPWR|aBEXP
131	31231 12135	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3DMG|4569VULN|7RCR|89DUR|9BPWR|aLWND
132	35221 12131	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49FEWX|7RCR|89DUR|9BPWR|aLHND
133	35221 12133	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49FEWX|7RCR|89DUR|9BPWR|aRPLT
134	35221 12134	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49FEWX|7RCR|89DUR|9BPWR|aBEXP
135	35221 12135	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49FEWX|7RCR|89DUR|9BPWR|aLWND
136	35261 12431	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89LWND|9BPWR|aLHND
137	35261 12433	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89LWND|9BPWR|aRPLT
138	35261 12531	7	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89LWND|9BPWR|aLHND
139	35261 12533	7	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89LWND|9BPWR|aRPLT
140	35261 12631	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89FEWX|9BPWR|aLHND
141	35261 12633	8	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89FEWX|9BPWR|aRPLT
142	35261 42231	7	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2589VULN|3DMG|49DUR|69LWND|7RCR|9BPWR|aLHND
143	35261 42233	7	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2589VULN|3DMG|49DUR|69LWND|7RCR|9BPWR|aRPLT
144	31231 12136	8	   	258.54	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3DMG|4569VULN|7RCR|89DUR|9BPWR|aDUST
145	31323 42854	2	   	258.54	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3MBVNT|4569VULN|79DUR|8RCR|9BPWR|aDMG
146	35221 12136	8	   	258.54	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49FEWX|7RCR|89DUR|9BPWR|aDUST
147	35324 14854	1	   	258.54	DCR|4VULN|2DUR|1DMG	1RCVC|2479VULN|3MBVNT|59DUR|69FEWX|8RCR|9BPWR|aDMG
148	35324 14854	2	   	258.54	DCR|4VULN|2DUR|1DMG	1RCVC|2479VULN|3MBVNT|59DUR|69FEWX|8RCR|9BPWR|aDMG
149	36323 42854	1	   	258.54	DCR|4VULN|2DUR|1DMG	1RCVC|29FEWX|3MBVNT|4569VULN|79DUR|8RCR|9BPWR|aDMG
150	35211 12131	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUST|7RCR|89DUR|9BPWR|aLHND
151	35211 12133	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUST|7RCR|89DUR|9BPWR|aRPLT
152	35211 12134	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUST|7RCR|89DUR|9BPWR|aBEXP
153	35211 12135	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUST|7RCR|89DUR|9BPWR|aLWND
154	35261 12111	7	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aLWND
155	35261 12114	7	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aBEXP
156	35261 12115	7	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aRPLT
157	35261 12136	10	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|256aVULN|3DMG|48DUR|7RCR|9MLV
158	35261 12161	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|48DUR|7RCR|aLWND
159	35261 12311	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aLWND
160	35261 12314	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aBEXP
161	35261 12315	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aRPLT
162	35261 12335	10	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|4aDUR|7RCR|9MLV
163	35261 12531	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89DUST|9BPWR|aLHND
164	35261 12533	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89DUST|9BPWR|aRPLT
165	35241 16333	10	   	258.34	DCR|4VULN|2DUR|1DMG|1NUKE	1RCVC|2589VULN|3DMG|4NUKE|69DUR|79ERES|9BPWR|aRCR
166	35261 12113	7	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aBBNT
167	35261 12116	7	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aDUST
168	35261 12163	8	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|2569VULN|3DMG|48DUR|7RCR|aBBNT
169	35261 12313	8	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aBBNT
170	35261 12316	8	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|2568VULN|3DMG|49DUR|7RCR|aDUST
171	65231 12131	8	 * 	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3BEXP|4569VULN|7RCR|89DUR|9BPWR|aLHND
172	65231 12133	8	 * 	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3BEXP|4569VULN|7RCR|89DUR|9BPWR|aMLV
173	65231 12134	8	 * 	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3aBEXP|4569VULN|7RCR|89DUR|9BPWR
174	65231 12135	8	 * 	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3BEXP|4569VULN|7RCR|89DUR|9BPWR|aRPLT
175	65531 12131	8	 * 	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3FEWX|4569VULN|7RCR|89DUR|9BPWR|aLHND
176	65531 12133	8	 * 	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3FEWX|4569VULN|7RCR|89DUR|9BPWR|aMLV
177	65231 12136	8	 * 	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|29CDMG|3BEXP|4569VULN|7RCR|89DUR|9BPWR|aDUST
178	52342 35213	8	   	258.13	DCR|3VULN|3DUR|1ASPD|1AART	1AART|28FEWX|358VULN|478DUR|6RCR|8BPWR|9ASPD|aLIT
179	55342 33213	8	   	258.13	DCR|3VULN|3DUR|1ASPD|1AART	1AART|28LWND|358VULN|478DUR|6RCR|8BPWR|9ASPD|aLIT
180	31323 42857	2	 * 	258.01	DCR|5VULN|2DUR	1RCVC|29FEWX|3MBVNT|4569aVULN|79DUR|8RCR|9BPWR
181	16421 12132	7	 * 	257.85	DCR|5VULN|2ASPD|1AART	149DUST|29ASPD|35689VULN|7RCR|9BPWR|aAART
