0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12215 26512	5	 * 	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	1ERES|245DUR|345DMG|45BPWR|6RCR|79aVULN|8CDMG
16	55113 43132	1	   	281.57	DCR|3VULN|3DUR|2DMG|2LIT	178DUR|28LIT|3ERES|46aVULN|58DMG|8BPWR|9RCR
17	12244 43132	3	 * 	279.97	DCR|4VULN|3DUR|1DMG	18ERES|278DUR|3DMG|4LIT|568aVULN|8BPWR|9RCR
18	12213 43132	2	   	274.92	DCR|3VULN|3DUR|2DMG	18ERES|278DUR|3LIT|46aVULN|58DMG|8BPWR|9RCR
19	36533 15322	10	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2CDMG|3TLV|4DMG|5DUR|689aVULN|7RCR
20	62234 15322	10	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2DUR|3DMG|4CDMG|5DUST|689aVULN|7RCR
21	52213 43342	1	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	17aDUR|2TLV|3LIT|468VULN|5DMG|9RCR
22	62213 43342	2	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|27aDUR|3LIT|468VULN|5DMG|9RCR
23	12244 43131	3	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	18ERES|278DUR|3DMG|4LIT|568VULN|8BPWR|9RCR|aTLV
24	62232 15121	7	   	272.61	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5aLHND|689VULN|7RCR|9BPWR
25	62232 15124	7	   	272.61	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR|aBEXP
26	62232 15125	7	   	272.61	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR|aFEWX
27	62232 15126	7	 * 	272.51	DCR|3VULN|2DMG|3TLV|1DUR|1CDMG	19aTLV|2DUR|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR
28	62232 15224	8	   	272.51	DCR|3VULN|2DMG|3TLV|1DUR|1CDMG	189TLV|2DUR|39DMG|4CDMG|5LHND|69aVULN|7RCR|9BPWR
29	62234 15121	7	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aLHND
30	62234 15122	7	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aMLV
31	62234 15123	7	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aBEXP
32	62234 15321	8	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aLHND
33	62234 15322	8	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aMLV
34	62234 15323	8	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aBEXP
35	61234 15123	7	   	271.92	DCR|3VULN|3DMG|2TLV|1CDMG	19TLV|2LHND|39aDMG|4CDMG|5DUST|689VULN|7RCR|9BPWR
36	61234 15323	8	   	271.92	DCR|3VULN|3DMG|2TLV|1CDMG	19TLV|2LHND|39aDMG|4CDMG|5DUST|689VULN|7RCR|9BPWR
37	52261 22512	5	 * 	271.54	DCR|5VULN|3DUR	178DUR|2LHND|378LWND|4578aVULN|6RCR|78BPWR|9BEXP
38	51261 22512	5	   	271.44	DCR|5VULN|3DUR	178DUR|2DUST|378LWND|4578aVULN|6RCR|78BPWR|9BEXP
39	52261 22532	5	   	271.44	DCR|5VULN|3DUR	178DUR|2LHND|378LWND|4578aVULN|6RCR|78BPWR|9DUST
40	55113 43131	1	   	270.91	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	178DUR|28LIT|3ERES|46VULN|58DMG|8BPWR|9RCR|aTLV
41	54251 21212	10	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|237DMG|48aVULN|5ZMB|6RCR|9TLV
42	54253 21212	10	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|237DMG|48aVULN|5MLV|6RCR|9TLV
43	62235 51222	10	   	269.66	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1aTLV|2DUR|39aDMG|4CDMG|5LIT|6RCR|7aVULN|8RMIN|aBPWR
44	62212 33422	10	   	269.48	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	1TLV|24DUR|348DMG|4BPWR|5RCVC|6RCR|7ASPD|9aVULN
45	34234 33513	6	   	269.44	DCR|3VULN|3DMG|2DUR	18aBEXP|238DMG|4RCVC|5RMIN|6RCR|78aVULN|8aBPWR|9aDUR
46	63342 53133	6	   	269.43	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|2AART|3aVULN|48DMG|578DUR|6DLOT|8BPWR|9RCR
47	22212 35651	9	   	269.31	DCR|2VULN|3DMG|3DUR|1CDMG	19CGEN|247DUR|349DMG|49BPWR|5RCVC|6RCR|89VULN|aCDMG
48	12215 15112	7	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	1ERES|245DUR|345DMG|45BPWR|6aVULN|7CDMG|8DMSP|9RCR
49	12215 26511	5	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	1ERES|245DUR|345DMG|45BPWR|6RCR|79VULN|8CDMG|aCGEN
50	12215 26513	5	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	1ERES|245DUR|345DMG|45BPWR|6RCR|79VULN|8CDMG|aMLV
51	12215 15212	8	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	18ERES|245DUR|345DMG|45BPWR|6aVULN|7CDMG|9RCR
52	12215 15612	7	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	18ERES|245DUR|345DMG|45BPWR|6aVULN|7CDMG|9RCR
53	22232 15126	7	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19CGEN|2DUR|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR|aTLV
54	26232 33126	4	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19CGEN|2LWND|39DMG|4CDMG|5DUR|6RCR|789VULN|9BPWR|aTLV
55	26262 33126	3	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19CGEN|2LWND|39DMG|4CDMG|5DUR|6RCR|789VULN|9BPWR|aTLV
56	22234 15126	7	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19CGEN|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aTLV
57	22234 15326	8	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19CGEN|2DUR|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aTLV
58	22234 33126	5	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19CGEN|2DUR|39DMG|4CDMG|5DUST|6RCR|789VULN|9BPWR|aTLV
59	22232 15123	7	   	268.30	DCR|3VULN|3DMG|1DUR|1CDMG	19CGEN|2DUR|39aDMG|4CDMG|5LHND|689VULN|7RCR|9BPWR
60	22232 15623	8	   	268.30	DCR|3VULN|3DMG|1DUR|1CDMG	19CGEN|2DUR|389DMG|4CDMG|5LHND|69aVULN|7RCR|9BPWR
61	33233 15623	8	   	268.30	DCR|3VULN|3DMG|1DUR|1CDMG	19BEXP|2CGEN|389DMG|4CDMG|5DUR|69aVULN|7RCR|9BPWR
62	52213 43135	1	   	268.17	DCR|2VULN|3DUR|2DMG|2TLV	178DUR|28TLV|3LIT|46VULN|58DMG|8BPWR|9RCR|aZMB
63	62213 43135	2	   	268.17	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|278DUR|3LIT|46VULN|58DMG|8BPWR|9RCR|aZMB
64	54213 23532	10	   	268.14	DCR|2VULN|3DMG|2DUR|1TLV	1aDUR|23aDMG|4LHND|5TLV|6RCR|7MBVNT|8AART|9aVULN|aBPWR
65	52213 43131	1	   	268.07	DCR|2VULN|3DUR|2DMG|3TLV	178DUR|28aTLV|3LIT|46VULN|58DMG|8BPWR|9RCR
66	52213 43132	1	   	268.07	DCR|2VULN|3DUR|2DMG|2TLV	178DUR|28TLV|3LIT|46VULN|58DMG|8BPWR|9RCR|aBBNT
67	52213 43136	1	   	268.07	DCR|2VULN|3DUR|2DMG|2TLV	178DUR|28TLV|3LIT|46VULN|58DMG|8BPWR|9RCR|aERES
68	62213 43131	2	   	268.07	DCR|2VULN|3DUR|2DMG|3TLV	18aTLV|278DUR|3LIT|46VULN|58DMG|8BPWR|9RCR
69	62213 43132	2	   	268.07	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|278DUR|3LIT|46VULN|58DMG|8BPWR|9RCR|aBBNT
70	62213 43136	2	   	268.07	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|278DUR|3LIT|46VULN|58DMG|8BPWR|9RCR|aERES
71	62232 15523	7	 * 	267.67	DCR|2VULN|3DMG|2TLV|2CDMG|1DUR	19TLV|2DUR|39aDMG|48CDMG|5LHND|69VULN|7RCR|9BPWR
72	64231 21142	4	   	267.37	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|2RCVC|358VULN|45DMG|58BPWR|6LIT|78LWND|9RCR|aDUR
73	64231 22142	4	   	267.37	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|2RCVC|358VULN|45DMG|58BPWR|6LIT|78LHND|9RCR|aDUR
74	64231 23142	4	   	267.37	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|2RCVC|358VULN|45DMG|58BPWR|6LIT|78FEWX|9RCR|aDUR
75	53232 15121	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5aLHND|689VULN|7RCR|9BPWR
76	53232 15124	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR|aBEXP
77	53232 15125	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR|aFEWX
78	53232 15136	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|2CGEN|3aDMG|4CDMG|5LHND|68aVULN|7RCR|9RMIN|aBPWR
79	56332 15123	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CDMG|39CGEN|4aDMG|5LHND|689VULN|7RCR|9BPWR
80	53234 15121	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aLHND
81	53234 15122	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aMLV
82	53234 15123	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aBEXP
83	53234 15321	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aLHND
84	53234 15322	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aMLV
85	53234 15323	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|689VULN|7RCR|9BPWR|aBEXP
86	53234 33121	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|6RCR|789VULN|9BPWR|aLHND
87	53234 33122	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|6RCR|789VULN|9BPWR|aMLV
88	53234 33123	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|6RCR|789VULN|9BPWR|aBEXP
89	53234 33125	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|6RCR|789VULN|9BPWR|aFEWX
90	53234 33136	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|2CGEN|3aDMG|4CDMG|5DUST|6RCR|78aVULN|9RMIN|aBPWR
91	63333 23641	10	   	267.06	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2AART|347aVULN|5DMG|6ERES|8CDMG|9RCR
92	56232 15123	7	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CDMG|39ERES|4aDMG|5LHND|689VULN|7RCR|9BPWR
93	22211 13167	9	   	266.98	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1aCGEN|24DUR|34aDMG|4aBPWR|5MBVNT|6ASPD|7CDMG|8aVULN|9RCR
94	22211 43167	9	   	266.98	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1aCGEN|24DUR|34aDMG|4aBPWR|5MBVNT|6CDMG|7ASPD|8aVULN|9RCR
95	62211 11764	7	   	266.95	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	1TLV|248DUR|34DMG|4BPWR|5MBVNT|6ASPD|7aVULN|9RCR
96	62211 13764	6	   	266.95	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	1TLV|248DUR|34DMG|4BPWR|5MBVNT|6ASPD|7aVULN|9RCR
97	62215 21222	10	   	266.78	DCR|2VULN|3DMG|2DUR|1TLV	1TLV|24DUR|347DMG|4BPWR|5BEXP|6RCR|8aVULN|9LIT
98	54251 23144	10	   	266.71	DCR|3VULN|3DUR|2DMG	189DUR|23DMG|48aVULN|58ZMB|6RCR|7MBVNT|8BPWR
99	22212 35641	10	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|247DUR|34DMG|4BPWR|5RCVC|6RCR|89aVULN
100	22212 35652	9	   	266.66	DCR|2VULN|3DMG|3DUR|1ASPD	19CGEN|247DUR|349DMG|49BPWR|5RCVC|6RCR|89VULN|aASPD
101	12213 43643	2	   	266.64	DCR|4VULN|2DUR|1DMG	1ERES|27DUR|3LIT|468aVULN|5DMG|9RCR
102	53263 24323	1	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	12aDUR|38LHND|4SELL|5aDMG|69aVULN|7RCR|aBPWR
103	63331 61511	4	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|346VULN|5DMG|7DUR|8ASPD|9RCR|aLIT
104	63332 11511	4	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|345VULN|6ASPD|7DUR|8DMG|9RCR|aLIT
105	63332 41511	4	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|345VULN|6DMG|7DUR|8ASPD|9RCR|aLIT
106	63333 61511	6	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|346VULN|5DMG|7DUR|8ASPD|9RCR|aLIT
107	63333 61511	7	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|346VULN|5DMG|7DUR|8ASPD|9RCR|aLIT
108	63333 61511	5	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|346VULN|5DMG|7DUR|8ASPD|9RCR|aLIT
109	63333 66211	7	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|346VULN|5DMG|7ASPD|8DUR|9RCR|aLIT
110	63336 11511	5	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2AART|345VULN|6ASPD|7DUR|8DMG|9RCR|aLIT
