0	Index      	 *	Score 	Summary	Detail	
1	65363 42222	 * 	271.88	DCR|3LIT|2MLV|2VULN	17BEXP|27VULN|3DUST|4MBVNT|589LIT|67MLV|7BPWR|aRCR
17	31615 21362	   	255.26	DCR|3LIT|2VULN|1MLV	18MULARM|2FEWX|3DMSP|458LIT|6RPLT|78VULN|8BPWR|9MLV|aRCR
18	41316 15222	   	255.16	DCR|3LIT|2VULN|1MLV	16TLV|25VULN|39DUST|468LIT|6BPWR|7MLV|aRCR
19	63135 21531	   	255.05	DCR|3LIT|1VULN|1MLV|1ASPD	1BEXP|2ASPD|3ZMB|46aLIT|5CGEN|7RCR|8VULN|9MLV
20	23135 21531	   	254.95	DCR|3LIT|1VULN|1MLV|1ASPD	1DUST|2ASPD|3ZMB|46aLIT|5CGEN|7RCR|8VULN|9MLV
21	41611 25113	 * 	254.46	ACR|4VULN|1LIT|3ASPD|1CDMG	178TLV|2789VULN|3RCR|4LIT|5ERES|678ASPD|78BPWR|aCDMG
22	23112 33342	 * 	254.23	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1DUST|2ASPD|3ZMB|4LHND|59DMG|6RCR|7LIT|8MLV|aVULN
23	41132 11165	 * 	254.00	DCR|2LIT|3VULN|1CDMG	18TLV|268VULN|3ZMB|4aLIT|568ERES|68BPWR|7RCR|9CDMG
24	43633 11353	 * 	253.10	DCR|2LIT|2VULN|2CDMG|1DMG	1TLV|2aLIT|3AART|45CDMG|6RCR|79VULN|8DMG
25	22116 41225	 * 	252.87	DCR|3LIT|2VULN|2ASPD	17DUST|2FEWX|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9aVULN
26	23134 12361	   	252.83	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1DUST|2ASPD|3ZMB|4LIT|5CDMG|6FEWX|7aVULN|8RCR|9MLV
27	23134 32361	   	252.83	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1DUST|2ASPD|3ZMB|4LIT|5CDMG|6LWND|7aVULN|8RCR|9MLV
28	23134 22361	   	252.73	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1DUST|2ASPD|3ZMB|4LIT|5CDMG|6DUR|7aVULN|8RCR|9MLV
29	63314 13511	   	252.06	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1SELL	1BEXP|2ASPD|3DUST|4LIT|5MLV|6SELL|7DMG|8RCR|9aVULN
30	41164 82131	   	251.90	DCR|2LIT|2VULN|1MLV	1TLV|27VULN|3ZMB|4MBVNT|5aLIT|6RCR|8ERES|9MLV
31	41132 11125	 * 	251.19	DCR|3VULN|1LIT|1DMG|1ASPD	18TLV|268VULN|3ZMB|4LIT|568ERES|68BPWR|7RCR|9ASPD|aDMG
32	65112 12113	 * 	250.43	DCR|3LIT|2VULN|2CDMG	1aBEXP|29VULN|3RMIN|47aLIT|5aCDMG|6RCR|8MBVNT|aBPWR
33	23135 41531	   	250.10	DCR|2LIT|1VULN|1MLV|2ASPD	1DUST|26ASPD|3ZMB|4aLIT|5CGEN|7RCR|8VULN|9MLV
34	43216 12261	 * 	249.87	DCR|2LIT|3VULN|1NUKE	16TLV|28LIT|3BEXP|456VULN|6BPWR|7ERES|9RCR|aNUKE
35	41135 11143	 * 	249.77	DCR|3VULN|1LIT|1MLV|1DUR	18TLV|268VULN|3ZMB|4LIT|568CGEN|68BPWR|7RCR|9DUR|aMLV
36	22433 61336	   	249.39	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1DUST|2FEWX|3CDMG|4DUR|5LIT|6RCR|7MLV|8aVULN|9ASPD
37	63112 33324	 * 	249.19	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG	1BEXP|29ASPD|3ZMB|4LHND|5DMG|6RCR|7LIT|8VULN|aMLV
38	65112 12313	   	249.06	DCR|2LIT|3VULN|1CDMG	1aBEXP|29aVULN|3RMIN|47LIT|5CDMG|6RCR|8aLWND|aBPWR
39	43112 12314	   	248.86	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3LHND|49aVULN|5CDMG|6RCR|8LWND
40	43212 12314	   	248.86	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3BEXP|49aVULN|5CDMG|6RCR|8LWND
41	65112 12314	   	248.86	DCR|2LIT|3VULN|1CDMG	1BEXP|29aVULN|3RMIN|47LIT|5CDMG|6RCR|8LWND
42	41312 12314	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|29aVULN|3DUST|47LIT|5CDMG|6RCR|8LWND
43	41312 12614	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|29aVULN|3DUST|47LIT|5CDMG|6RCR|8FEWX
44	43112 12115	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3LHND|49aVULN|5CDMG|6RCR|8MBVNT
45	43112 12414	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3LHND|49aVULN|5CDMG|6RCR|8DUST
46	43212 12115	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3BEXP|49aVULN|5CDMG|6RCR|8MBVNT
47	43212 12414	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3BEXP|49aVULN|5CDMG|6RCR|8DUST
48	43312 12115	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3LWND|49aVULN|5CDMG|6RCR|8MBVNT
49	43312 12414	   	248.76	DCR|2LIT|3VULN|1CDMG	1TLV|27LIT|3LWND|49aVULN|5CDMG|6RCR|8DUST
50	65112 12115	   	248.76	DCR|2LIT|3VULN|1CDMG	1BEXP|29aVULN|3RMIN|47LIT|5CDMG|6RCR|8MBVNT
51	41312 12115	   	248.66	DCR|2LIT|3VULN|1CDMG	1TLV|29aVULN|3DUST|47LIT|5CDMG|6RCR|8MBVNT
52	41616 11211	 * 	248.60	ACR|3LIT|3VULN|1ASPD	1TLV|256VULN|3RCR|468LIT|6BPWR|7ZMB|9ASPD|aLWND
53	41616 11212	   	248.60	ACR|3LIT|3VULN|1ASPD	1TLV|256VULN|3RCR|468LIT|6BPWR|7ZMB|9ASPD|aFEWX
54	41616 11213	   	248.50	ACR|3LIT|3VULN|1ASPD|1DUR	1TLV|256VULN|3RCR|468LIT|6BPWR|7ZMB|9ASPD|aDUR
55	63112 33335	 * 	248.44	DCR|1LIT|2VULN|2DMG|1ASPD	1BEXP|2ASPD|3ZMB|4LHND|5aDMG|6RCR|7LIT|89VULN
56	22433 66122	   	248.32	DCR|2LIT|2MLV|1VULN|1CDMG|1DUR	1DUST|29FEWX|3CDMG|4DUR|59LIT|6RCR|7ZMB|89MLV|9BPWR|aVULN
57	41616 13333	 * 	248.07	ACR|3LIT|3VULN|1DMG	1TLV|256VULN|3RCR|467LIT|6BPWR|8LWND|9DMG|aRCVC
58	41616 13331	   	247.97	ACR|3LIT|3VULN|1DMG	1TLV|256VULN|3RCR|467LIT|6BPWR|8LWND|9DMG|aDUST
59	41616 13332	   	247.97	ACR|3LIT|3VULN|1DMG	1TLV|256VULN|3RCR|467LIT|6BPWR|8LWND|9DMG|aERES
60	41613 12531	 * 	247.57	ACR|2LIT|2VULN|1MLV|1DMG	1TLV|27VULN|3RCR|4aLIT|5LWND|6ZMB|8DMG|9MLV
61	43112 12332	   	246.79	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3LHND|4aVULN|5CDMG|6RCR|8LWND|9DMG
62	43212 12332	   	246.79	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3BEXP|4aVULN|5CDMG|6RCR|8LWND|9DMG
63	65112 12332	   	246.79	DCR|2LIT|2VULN|1DMG|1CDMG	1BEXP|2aVULN|3RMIN|47LIT|5CDMG|6RCR|8LWND|9DMG
64	41312 12332	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|2aVULN|3DUST|47LIT|5CDMG|6RCR|8LWND|9DMG
65	41312 12632	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|2aVULN|3DUST|47LIT|5CDMG|6RCR|8FEWX|9DMG
66	43112 12132	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3LHND|4aVULN|5CDMG|6RCR|8MBVNT|9DMG
67	43112 12432	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3LHND|4aVULN|5CDMG|6RCR|8DUST|9DMG
68	43212 12132	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3BEXP|4aVULN|5CDMG|6RCR|8MBVNT|9DMG
69	43212 12432	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3BEXP|4aVULN|5CDMG|6RCR|8DUST|9DMG
70	43312 12132	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3LWND|4aVULN|5CDMG|6RCR|8MBVNT|9DMG
71	43312 12432	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|27LIT|3LWND|4aVULN|5CDMG|6RCR|8DUST|9DMG
72	65112 12132	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1BEXP|2aVULN|3RMIN|47LIT|5CDMG|6RCR|8MBVNT|9DMG
73	65112 12432	   	246.69	DCR|2LIT|2VULN|1DMG|1CDMG	1BEXP|2aVULN|3RMIN|47LIT|5CDMG|6RCR|8DUST|9DMG
74	41312 12132	   	246.59	DCR|2LIT|2VULN|1DMG|1CDMG	1TLV|2aVULN|3DUST|47LIT|5CDMG|6RCR|8MBVNT|9DMG
75	22116 26213	   	246.21	DCR|3LIT|1VULN|1MLV|1ASPD	1DUST|2FEWX|3RMIN|456LIT|7ASPD|8RCR|9MLV|aVULN
76	24116 26213	   	246.21	DCR|3LIT|1VULN|1MLV|1ASPD	1DUST|2BEXP|3RMIN|456LIT|7ASPD|8RCR|9MLV|aVULN
77	43112 15632	   	245.95	DCR|3VULN|1LIT|1DMG|1CDMG	1TLV|2LIT|3LHND|48aVULN|5CDMG|6RCR|7DUST|9DMG
78	43312 15632	   	245.95	DCR|3VULN|1LIT|1DMG|1CDMG	1TLV|2LIT|3LWND|48aVULN|5CDMG|6RCR|7DUST|9DMG
79	41611 23143	 * 	245.94	ACR|3VULN|1LIT|1MLV|2ASPD|1DUR	18TLV|278VULN|3RCR|4LIT|5ERES|68ASPD|8BPWR|9DUR|aMLV
80	41312 11632	   	245.85	DCR|3VULN|1LIT|1DMG|1CDMG|1DUR	1TLV|28aVULN|3DUST|4LIT|5CDMG|6RCR|7DUR|9DMG
81	23112 33341	 * 	245.01	DCR|2LIT|2DMG|1MLV|1ASPD	1DUST|2ASPD|3ZMB|4LHND|59DMG|6RCR|7aLIT|8MLV
82	41312 11614	 * 	244.95	DCR|4VULN|1LIT|1CDMG|1DUR	1TLV|289aVULN|3DUST|4LIT|5CDMG|6RCR|7DUR
83	23112 33361	 * 	244.72	DCR|3LIT|1MLV|1DMG|1ASPD	1DUST|2ASPD|3ZMB|4LHND|5DMG|6RCR|79aLIT|8MLV
84	23112 33225	 * 	244.72	DCR|3LIT|1VULN|1DMG|1ASPD	1DUST|2ASPD|3ZMB|4LHND|5DMG|6RCR|789LIT|aVULN
85	52243 54323	   	244.36	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1AART|2CDMG|3ASPD|4MLV|59LIT|6MBVNT|7RCR|8RCVC|aVULN
86	52243 54422	   	244.36	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1AART|2CDMG|3ASPD|4MLV|5aLIT|6MBVNT|7RCR|8LHND|9VULN
87	26613 13333	 * 	244.36	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1DUST|2ERES|3CRUSTR|4LHND|5VULN|6MLV|7FLTARM|8DMG|9RCR|aLIT
88	26653 13333	   	244.36	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1DUST|2ERES|3CRUSTR|4MLV|5LHND|6VULN|7FLTARM|8DMG|9RCR|aLIT
89	52243 54111	   	244.26	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1AART|2CDMG|3ASPD|4MLV|59LIT|6MBVNT|7RCR|8BLASTR|aVULN
90	21113 13333	   	244.26	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1DUST|2BASICY|3ERES|4LHND|5VULN|6MLV|7FLTARM|8DMG|9RCR|aLIT
91	21153 13333	   	244.26	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1DUST|2BASICY|3ERES|4MLV|5LHND|6VULN|7FLTARM|8DMG|9RCR|aLIT
92	35515 13333	   	244.26	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1MULARM|2ERES|3VULN|4LHND|5DUST|6MLV|7FLTARM|8DMG|9RCR|aLIT
93	52212 33331	   	244.09	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1AART|2CDMG|3ASPD|4BASHEA|5LIT|6RCVC|7MLV|8aVULN|9RCR
94	43112 16261	   	244.02	DCR|3LIT|2VULN|1CDMG	1TLV|28aLIT|3LHND|49VULN|5CDMG|6RCR|7RPLT
95	43212 16261	   	244.02	DCR|3LIT|2VULN|1CDMG	1TLV|28aLIT|3BEXP|49VULN|5CDMG|6RCR|7RPLT
96	65112 12114	   	243.92	DCR|3LIT|2VULN|1CDMG	1BEXP|29VULN|3RMIN|47aLIT|5CDMG|6RCR|8MBVNT
97	23112 33365	   	243.67	DCR|2LIT|1MLV|1DMG|1AART|1ASPD	1DUST|2ASPD|3ZMB|4LHND|5DMG|6RCR|79LIT|8MLV|aAART
98	62112 15332	   	243.45	DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1BEXP|2FEWX|3RMIN|4LIT|5CDMG|6RCR|7DMG|8MLV|9ASPD|aVULN
99	24112 15332	   	243.35	DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1DUST|2BEXP|3RMIN|4LIT|5CDMG|6RCR|7DMG|8MLV|9ASPD|aVULN
100	23253 46122	   	243.26	DCR|2LIT|1VULN|1MLV|2ASPD	19DUST|29ASPD|3RPLT|4MLV|58LHND|69LIT|7RCR|9BPWR|aVULN
101	62116 41211	   	243.12	DCR|3LIT|1MLV|2ASPD|1AART	17BEXP|2FEWX|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9MLV|aAART
102	22116 41211	   	242.92	DCR|3LIT|1MLV|2ASPD|1AART	17DUST|2FEWX|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9MLV|aAART
103	24116 41211	   	242.92	DCR|3LIT|1MLV|2ASPD|1AART	17DUST|2BEXP|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9MLV|aAART
104	41613 22631	 * 	242.90	ACR|2LIT|3VULN|1MLV	17TLV|278VULN|3RCR|4aLIT|5LWND|67FEWX|7BPWR|9MLV
105	41134 63223	   	242.88	DCR|1LIT|2VULN|1MLV|1CDMG	1TLV|27VULN|3ZMB|4LIT|5CDMG|6RCR|8FEWX|9MLV|aLWND
106	43212 13524	   	242.88	DCR|1LIT|2VULN|1MLV|1CDMG	1TLV|2LIT|3BEXP|4aVULN|5CDMG|6RCR|7RCVC|8ZMB|9MLV
107	41312 12616	   	242.87	DCR|2LIT|2VULN|1AART|1CDMG	1TLV|29VULN|3DUST|47LIT|5CDMG|6RCR|8FEWX|aAART
108	43212 12117	   	242.87	DCR|2LIT|2VULN|1AART|1CDMG	1TLV|27LIT|3BEXP|49VULN|5CDMG|6RCR|8MBVNT|aAART
109	43212 12416	   	242.87	DCR|2LIT|2VULN|1AART|1CDMG	1TLV|27LIT|3BEXP|49VULN|5CDMG|6RCR|8DUST|aAART
110	65112 12117	   	242.87	DCR|2LIT|2VULN|1AART|1CDMG	1BEXP|29VULN|3RMIN|47LIT|5CDMG|6RCR|8MBVNT|aAART
111	41134 63221	   	242.78	DCR|1LIT|2VULN|1MLV|1CDMG	1TLV|27VULN|3ZMB|4LIT|5CDMG|6RCR|8FEWX|9MLV|aDUST
112	41134 63222	   	242.78	DCR|1LIT|2VULN|1MLV|1CDMG	1TLV|27VULN|3ZMB|4LIT|5CDMG|6RCR|8FEWX|9MLV|aERES
113	41312 13524	   	242.78	DCR|1LIT|2VULN|1MLV|1CDMG	1TLV|2aVULN|3DUST|4LIT|5CDMG|6RCR|7RCVC|8ZMB|9MLV
114	43212 11561	   	242.78	DCR|1LIT|2VULN|1MLV|1CDMG|1DUR	1TLV|2LIT|3BEXP|4aVULN|5CDMG|6RCR|7DUR|8ZMB|9MLV
115	63224 32431	   	242.78	DCR|1LIT|2VULN|1MLV|1ASPD|1DUR	1BEXP|2ASPD|3RPLT|4DUR|5ZMB|6RCR|7aVULN|8LIT|9MLV
116	41312 12117	   	242.77	DCR|2LIT|2VULN|1AART|1CDMG	1TLV|29VULN|3DUST|47LIT|5CDMG|6RCR|8MBVNT|aAART
117	32224 52622	   	242.70	ACR|2LIT|3VULN|1MLV	18MULARM|2GSSTOX|3RCR|48LIT|5MLV|6FEWX|78aVULN|8BPWR|9LWND
118	23162 34631	   	242.68	DCR|1LIT|2VULN|1MLV|1ASPD|1DUR	1DUST|2ASPD|3ZMB|4RPLT|5DUR|6RCR|7LIT|8aVULN|9MLV
119	23224 34631	   	242.68	DCR|1LIT|2VULN|1MLV|1ASPD|1DUR	1DUST|2ASPD|3RPLT|4DUR|5ZMB|6RCR|7LIT|8aVULN|9MLV
120	22433 61326	   	242.68	DCR|1LIT|2VULN|1MLV|1CDMG|1DUR	1DUST|2FEWX|3CDMG|4DUR|5LIT|6RCR|7MLV|8aVULN|9ZMB
121	22114 24222	   	242.61	DCR|3LIT|1VULN|1MLV|1ASPD	1DUST|2FEWX|3RMIN|489LIT|5MLV|6ASPD|7VULN|aRCR
122	24114 24222	   	242.61	DCR|3LIT|1VULN|1MLV|1ASPD	1DUST|2BEXP|3RMIN|489LIT|5MLV|6ASPD|7VULN|aRCR
123	22433 61111	   	242.60	DCR|2MLV|1LIT|2VULN|1CDMG|1DUR	1DUST|2FEWX|3CDMG|4DUR|5LIT|6RCR|78MLV|9aVULN
124	43212 33314	   	242.45	DCR|3VULN|1LIT|1DMG|1CDMG	1TLV|2LIT|3BEXP|49aVULN|5CDMG|6RMIN|7DMG|8RCR
125	22463 61311	 * 	242.26	DCR|1LIT|2VULN|1MLV|2CDMG	1DUST|24FEWX|34CDMG|4BPWR|5LIT|6RCR|7BEXP|8MLV|9aVULN
126	43633 13216	   	242.26	DCR|1LIT|2VULN|1MLV|2CDMG	1TLV|2LIT|3AART|45CDMG|6RCR|7MLV|8LHND|9aVULN
127	43633 13316	   	242.26	DCR|1LIT|2VULN|1MLV|2CDMG	1TLV|2LIT|3AART|45CDMG|6RCR|7MLV|8LWND|9aVULN
128	22413 62224	   	242.16	DCR|1LIT|2VULN|1MLV|2CDMG	1DUST|24FEWX|38CDMG|5LIT|6RCR|7aVULN|9MLV
129	22334 62224	   	242.06	DCR|1LIT|2VULN|1MLV|2CDMG	13DUST|2FEWX|4LIT|58CDMG|6RCR|7aVULN|9MLV
130	41312 11616	   	242.04	DCR|3VULN|1LIT|1AART|1CDMG|1DUR	1TLV|289VULN|3DUST|4LIT|5CDMG|6RCR|7DUR|aAART
