0	Index      	 *	Score 	Summary	Detail	
1	26531 13234	 * 	323.57	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD|1AART	18LIT|2CGEN|38DMG|49ASPD|5MLV|68VULN|7RCR|8BPWR|aAART
22	22231 33223	   	304.21	DCR|3LIT|2VULN|1MLV|2DUR|1AART|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|9CDMG|aAART
23	22231 43223	   	304.21	DCR|3LIT|2VULN|1MLV|1AART|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|9CDMG|aAART
24	24236 13223	   	304.21	DCR|3LIT|2VULN|1MLV|2DUR|1AART|1CDMG|1ASPD	138LIT|28DUR|4ASPD|5MLV|68VULN|7RCR|8BPWR|9CDMG|aAART
25	22231 23246	   	303.59	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|aZMB
26	22231 53246	   	303.59	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|aZMB
27	22231 33246	   	303.39	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|aZMB
28	22231 43246	   	303.39	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|aZMB
29	22242 56222	 * 	303.33	DCR|3LIT|5VULN|1DMG	136LIT|24568VULN|6BPWR|7RPLT|9RCR|aDMG
30	22212 63222	 * 	302.21	DCR|3LIT|3VULN|2DMG|1CDMG	138LIT|28aVULN|4FEWX|5CGEN|68DMG|7RCR|8BPWR|9CDMG
31	22222 63222	   	302.21	DCR|3LIT|3VULN|2DMG|1CDMG	138LIT|28aVULN|4LWND|5CGEN|68DMG|7RCR|8BPWR|9CDMG
32	22252 33222	   	302.11	DCR|3LIT|3VULN|2DMG|1CDMG	138LIT|28aVULN|4DUR|5CGEN|68DMG|7RCR|8BPWR|9CDMG
33	54123 33232	 * 	300.98	DCR|2LIT|2VULN|3ASPD|1MLV|1DMG	18ERES|2DMG|38VULN|4MLV|5aLIT|689ASPD|7RCR|8BPWR
34	22222 33226	 * 	300.61	DCR|3LIT|2VULN|1MLV|2ASPD|1CDMG	138LIT|28VULN|4LWND|5CGEN|68ASPD|7RCR|8BPWR|9CDMG|aMLV
35	22532 23222	   	299.37	DCR|3LIT|4VULN|1ASPD|1CDMG	178LIT|278aVULN|3LWND|4ASPD|578CGEN|6RCR|78BPWR|9CDMG
36	22534 23261	 * 	298.17	DCR|3LIT|4VULN|2ASPD	178LIT|278aVULN|3LWND|4aASPD|578TLV|6RCR|78aBPWR|9aVENICY
37	54132 22162	 * 	296.72	DCR|2LIT|2VULN|2DMG|1FLTARM|1CDMG	17ERES|27DMG|35VULN|4FLTARM|67LIT|7BPWR|8BEXP|9RCR|aCDMG
38	22231 53162	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	13aLIT|29aVULN|4ASPD|5MLV|6aLWND|7RCR|8RPLT|aBPWR
39	22231 23242	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|aLHND
40	22231 23243	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|aFLTHEA
41	22231 23244	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|aCGEN
42	22231 23245	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|aBEXP
43	22231 53242	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|aLHND
44	22231 53243	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|aFLTHEA
45	22231 53244	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|aCGEN
46	22231 53245	   	296.65	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|aBEXP
47	54132 22262	   	296.62	DCR|2LIT|2VULN|2DMG|1FLTARM|1CDMG	17ERES|27DMG|35VULN|4FLTARM|67LIT|7BPWR|8DUR|9RCR|aCDMG
48	54132 22362	   	296.62	DCR|2LIT|2VULN|2DMG|1FLTARM|1CDMG	17ERES|27DMG|35VULN|4FLTARM|67LIT|7BPWR|8DUST|9RCR|aCDMG
49	22231 23241	   	296.55	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|aDUST
50	22231 53241	   	296.55	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|aDUST
51	22231 33242	   	296.45	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|aLHND
52	22231 33243	   	296.45	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|aFLTHEA
53	22231 33244	   	296.45	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|aCGEN
54	22231 33245	   	296.45	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|aBEXP
55	22231 43242	   	296.45	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|aLHND
56	22231 43243	   	296.45	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|aFLTHEA
57	22231 43244	   	296.45	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|aCGEN
58	22231 43245	   	296.45	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|aBEXP
59	24236 13242	   	296.45	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|28DUR|4ASPD|5MLV|689VULN|7RCR|8BPWR|aLHND
60	24236 13243	   	296.45	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|28DUR|4ASPD|5MLV|689VULN|7RCR|8BPWR|aFLTHEA
61	22231 33241	   	296.35	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|289VULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|aDUST
62	24236 13241	   	296.35	DCR|3LIT|3VULN|1MLV|2DUR|1ASPD	138LIT|28DUR|4ASPD|5MLV|689VULN|7RCR|8BPWR|aDUST
63	22212 63223	   	296.32	DCR|3LIT|2VULN|2DMG|1AART|1CDMG	138LIT|28VULN|4FEWX|5CGEN|68DMG|7RCR|8BPWR|9CDMG|aAART
64	54123 33233	 * 	296.30	DCR|3VULN|1LIT|3ASPD|1MLV|1DMG	18ERES|2DMG|38aVULN|4MLV|5LIT|689ASPD|7RCR|8BPWR
65	22252 33223	   	296.22	DCR|3LIT|2VULN|2DMG|1AART|1CDMG	138LIT|28VULN|4DUR|5CGEN|68DMG|7RCR|8BPWR|9CDMG|aAART
66	26431 13234	   	296.15	DCR|2LIT|2VULN|1MLV|2ASPD|1AART	18LIT|2CGEN|38ZMB|49ASPD|5MLV|68VULN|7RCR|8BPWR|aAART
67	22222 63246	   	295.50	DCR|3LIT|3VULN|2DMG	138LIT|289VULN|4LWND|5CGEN|68DMG|7RCR|8BPWR|aZMB
68	22252 33246	   	295.40	DCR|3LIT|3VULN|2DMG	138LIT|289VULN|4DUR|5CGEN|68DMG|7RCR|8BPWR|aZMB
69	22231 23225	   	295.10	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|9CDMG|aZMB
70	54132 22141	   	294.92	DCR|2LIT|2VULN|2DMG|1FLTARM|1ASPD	17ERES|27DMG|35VULN|4FLTARM|67LIT|7BPWR|8BEXP|9ASPD|aRCR
71	22231 43225	   	294.90	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|9CDMG|aZMB
72	26531 13211	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9aLWND
73	26531 13215	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9LWND|aRCVC
74	26531 13221	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2aCGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9AART
75	26531 13241	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9RCVC|aBELT
76	26531 13243	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9RCVC|aRMIN
77	26531 13261	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9FEWX|aLWND
78	26531 13263	   	294.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9FEWX|aFRZARM
79	54132 22241	   	294.82	DCR|2LIT|2VULN|2DMG|1FLTARM|1ASPD	17ERES|27DMG|35VULN|4FLTARM|67LIT|7BPWR|8DUR|9ASPD|aRCR
80	54132 22341	   	294.82	DCR|2LIT|2VULN|2DMG|1FLTARM|1ASPD	17ERES|27DMG|35VULN|4FLTARM|67LIT|7BPWR|8DUST|9ASPD|aRCR
81	26531 13212	   	294.77	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9LWND|aLSRREG
82	26531 13216	   	294.77	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9LWND|aDUST
83	26531 13225	   	294.77	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9aAART
84	26531 13253	   	294.67	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9CANSTR|aDUR
85	26531 13213	   	294.62	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD|1SELL	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9LWND|aSELL
86	22231 23256	   	294.57	DCR|3LIT|2VULN|1MLV|1DMG|1ASPD	138LIT|28VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|9LWND|aDMG
87	26531 13251	   	294.52	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD|1SELL	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9CANSTR|aSELL
88	54133 22332	 * 	294.00	DCR|2LIT|2DMG|1FLTARM|1VULN|1MLV	157ERES|27DMG|3VULN|4FLTARM|67LIT|7BPWR|8ZMB|9MLV|aRCR
