0	Index      	 *	Score 	Summary	Detail	
1	31621 31262	 * 	270.64	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|7TLV|9MLV
51	12365 22421	   	242.79	DCR|DCR|2VULN|1AART	16LHND|2ERES|3AART|4FEWX|56VULN|6BPWR|7BELT|89RCR|aRAT
52	63113 43134	   	242.79	DCR|DCR|1VULN|1TLV|1AART	1RAT|2CGEN|3BELT|47DMSP|5TLV|6AART|8VULN|9aRCR
53	63133 43134	   	242.79	DCR|DCR|1VULN|1TLV|1AART	14RAT|2CGEN|3BELT|5TLV|6AART|7DMSP|8VULN|9aRCR
54	12365 22422	   	242.69	DCR|DCR|2VULN|1AART|1MSE	16LHND|2ERES|3AART|4FEWX|56VULN|6BPWR|7BELT|89RCR|aMSE
55	12365 22423	   	242.69	DCR|DCR|2VULN|1AART	16LHND|2ERES|3AART|4FEWX|56VULN|6BPWR|7BELT|89RCR|aTBNT
56	23563 25231	   	242.69	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|3DUST|4AART|5FLTARM|68BEXP|7RCVC|9aRCR
57	43124 22131	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15FEWX|2AART|3RCVC|4TLV|6MGNSTR|7DUST|8VULN|9aRCR
58	43125 43131	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1FEWX|2AART|37RCVC|4TLV|5BEXP|6SPLJET|8VULN|9aRCR
59	43224 22131	   	242.69	DCR|DCR|1VULN|1TLV|1AART	15FEWX|2AART|3DMSP|4TLV|6MGNSTR|7DUST|8VULN|9aRCR
60	43225 43131	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1FEWX|2AART|3DMSP|4TLV|5BEXP|6SPLJET|7RCVC|8VULN|9aRCR
61	63113 42134	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1RAT|2CGEN|3BELT|4DMSP|5TLV|6AART|7AEPOI|8VULN|9aRCR
62	63133 42134	   	242.69	DCR|DCR|1VULN|1TLV|1AART	14RAT|2CGEN|3BELT|5TLV|6AART|7AEPOI|8VULN|9aRCR
63	23345 42231	   	242.59	DCR|DCR|2VULN|1AART	1RMIN|24VULN|3AART|5DUST|6BLAICY|78BEXP|9aRCR
64	23536 62231	   	242.59	DCR|DCR|2VULN|1AART	1RMIN|25VULN|3DUST|4LSRREG|6AART|78BEXP|9aRCR
65	23563 12531	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|3DUST|4AART|5FLTARM|68FEWX|7AEWIND|9aRCR
66	23563 13531	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|37DUST|4AART|5FLTARM|68FEWX|9aRCR
67	23563 22231	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|3DUST|4AART|5FLTARM|68BEXP|7AEWIND|9aRCR
68	23563 23231	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|37DUST|4AART|5FLTARM|68BEXP|9aRCR
69	23563 25331	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|38DUST|4AART|5FLTARM|6BEXP|7RCVC|9aRCR
70	23563 52231	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|3DUST|4AART|5FLTARM|6AEBURN|78BEXP|9aRCR
71	43324 22131	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15FEWX|2AART|3AEPOI|4TLV|6MGNSTR|7DUST|8VULN|9aRCR
72	43325 43131	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1FEWX|2AART|3AEPOI|4TLV|5BEXP|6SPLJET|7RCVC|8VULN|9aRCR
73	43524 22131	   	242.59	DCR|DCR|1VULN|1TLV|1AART	15FEWX|2AART|3AEWIND|4TLV|6MGNSTR|7DUST|8VULN|9aRCR
74	23345 42331	   	242.49	DCR|DCR|2VULN|1AART	1RMIN|24VULN|3AART|58DUST|6BLAICY|7BEXP|9aRCR
75	23536 62331	   	242.49	DCR|DCR|2VULN|1AART	1RMIN|25VULN|38DUST|4LSRREG|6AART|7BEXP|9aRCR
76	32344 22531	   	242.49	DCR|DCR|2VULN|1AART	14VULN|2ERES|3AART|58FEWX|6BASARM|7DUST|9aRCR
77	23563 22331	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|38DUST|4AART|5FLTARM|6BEXP|7AEWIND|9aRCR
78	23563 52331	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1RMIN|2VULN|38DUST|4AART|5FLTARM|6AEBURN|7BEXP|9aRCR
79	22161 22131	 * 	242.39	DCR|DCR|1VULN|2DUR|1AART	1RMIN|2AEFRZ|34DUR|5BASICY|6AART|7DUST|8VULN|9aRCR
80	31432 11263	   	242.09	DCR|2VULN|2DMG|1TLV|1DUR|1AART	14VULN|2AETHUN|34DMG|4BPWR|5RCVC|6ASPD|7RCR|8DUR|9TLV|aAART
81	31622 31222	   	241.91	ACR|DCR|2VULN|1TLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5CGEN|6RAT|7TLV|9ASPD
82	31625 51222	   	241.81	ACR|DCR|2VULN|1TLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5RAT|6ERES|7TLV|9ASPD
83	31121 31462	   	241.12	ACR|DCR|2TLV|1VULN|1DMG|1MLV	1VULN|2AETHUN|3LWND|4aRCR|5DMG|6RAT|78TLV|9MLV
84	23642 11162	   	240.93	DCR|2VULN|2DMG|2TLV|1MLV	1RMIN|2aVULN|3RCVC|4MLV|5aDMG|6ASPD|7RCR|8LHND|9aTLV|aBPWR
