0	Index      	 *	Score 	Summary	Detail	
1	21512 63511	 * 	268.89	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	1TLV|26VULN|3CDMG|4BEXP|5AEFRZ|7RAT|8aRCR|9AAC
28	31117 15426	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AEFRZ|2MBVNT|3BBNT|4BELT|5TLV|6CANTOX|7aRCR|8VULN|9AART
29	31117 25426	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AEFRZ|2MBVNT|3BBNT|4BELT|5TLV|6LSRREG|7aRCR|8VULN|9AART
30	31417 15426	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AEFRZ|2MBVNT|3TBNT|4BELT|5TLV|6CANTOX|7aRCR|8VULN|9AART
31	31417 25426	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AEFRZ|2MBVNT|3TBNT|4BELT|5TLV|6LSRREG|7aRCR|8VULN|9AART
32	21165 13251	   	241.05	DCR|DCR|1VULN|2AART|1TLV|1SELL	1TLV|2VULN|39AART|4AEWIND|5SELL|6aRCR|7RPLT|8BBNT
33	21112 53113	 * 	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|259VULN|3AART|4TBNT|6DMG|7LWND|8DUR|aRCR
34	21112 53623	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|258VULN|3AART|4TBNT|6DMG|7LWND|9DUR|aRCR
35	21112 56333	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|259VULN|3AART|4TBNT|6DMG|7DMSP|8DUR|aRCR
36	21112 54333	   	239.50	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|259VULN|3AART|4TBNT|6DMG|7AEWIND|8DUR|aRCR
37	21112 55361	   	239.50	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1TLV|25aVULN|3AART|4TBNT|6DMG|7CDMG|8AEFRZ|9RCR
38	21433 32635	 * 	239.03	DCR|DCR|2TLV|1VULN|1SELL	15TLV|2VULN|3RCVC|4AEFBLL|6SELL|7aRCR|8MULARM|9LIT
39	15231 21345	   	238.93	DCR|DCR|1VULN|1MLV|1AART|1AAC	1AAC|2MLV|3ASPD|4VULN|5AART|6TBNT|7aRCR|8BELT|9FLTFST
