0	Index      	 *	Score 	Summary	Detail	
1	22633 12323	 * 	284.19	ACR|DCR|3VULN|2TLV	13CGEN|268VULN|4aRCR|5RAT|79TLV
18	64332 33313	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9LHND|aTLV
19	64332 33331	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9TLV|aZMB
20	64332 33332	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3aRCVC|4DUR|5RAT|6CDMG|78RCR|9TLV
21	64332 33333	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9TLV|aLHND
22	64332 33336	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9TLV|aBBNT
23	64332 33363	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9FEWX|aTLV
24	65132 33313	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9LHND|aTLV
25	65132 33331	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aZMB
26	65132 33332	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2aRCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV
27	65132 33333	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aLHND
28	65132 33336	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aBBNT
29	65132 33363	   	262.49	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9FEWX|aTLV
30	62132 33313	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9LHND|aTLV
31	62132 33331	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aZMB
32	62132 33332	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aRCVC
33	62132 33333	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aLHND
34	62132 33336	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aBBNT
35	62132 33363	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9FEWX|aTLV
36	64332 33334	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9TLV|aLSRREG
37	64332 33335	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9TLV|aLEGI
38	65132 33334	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aLSRREG
39	65132 33335	   	262.39	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aLEGI
40	62132 33334	   	262.29	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aLSRREG
41	62132 33335	   	262.29	DCR|DCR|1TLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9TLV|aLEGI
42	42236 34231	 * 	262.27	DCR|3VULN|2MLV|1TLV	18ERES|278VULN|3TLV|4MDPS|5CANARM|68MLV|8BPWR|9LIT|aRCR
43	42236 52231	   	262.27	DCR|3VULN|2MLV|1TLV	18ERES|268VULN|3TLV|4MDPS|5CANARM|78MLV|8BPWR|9LIT|aRCR
44	15163 25331	 * 	261.93	DCR|DCR|1VULN|1TLV|2RAT	1LWND|2BELT|3LSRICY|4TLV|5AETHUN|6aRCR|7VULN|89RAT
45	23512 12333	   	261.10	DCR|DCR|1VULN|1DMG|1ASPD	1CGEN|2RPLT|3TBNT|4DMG|5DUR|6RMIN|7VULN|8aRCR|9ASPD
46	43512 12333	   	261.00	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2RPLT|3TBNT|4DMG|5DUR|6RMIN|7VULN|8aRCR|9ASPD
47	14113 31523	   	260.84	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1LWND|2DMG|3AAC|4BBNT|5MDPS|6ASPD|78RCR|9ZMB|aMLV
48	14113 31533	   	260.74	DCR|DCR|1MLV|1DMG|1AAC|1ASPD|1NUKE	1LWND|2DMG|3AAC|4BBNT|5MDPS|6ASPD|78RCR|9NUKE|aMLV
49	22633 12223	   	260.63	ACR|DCR|2VULN|2TLV	13CGEN|26VULN|4aRCR|5RAT|79TLV|8AEFRZ
50	26233 12313	   	260.20	ACR|DCR|2VULN|1TLV|1CDMG	1CGEN|2ZMB|3TLV|48RCR|5RAT|6aVULN|7CDMG|9LHND
51	26233 12344	   	260.10	ACR|DCR|2VULN|1TLV|1CDMG	1CGEN|2ZMB|3TLV|48RCR|5RAT|6aVULN|7CDMG|9FRZFST
52	46233 12313	   	260.10	ACR|DCR|2VULN|1TLV|1CDMG	1ERES|2ZMB|3TLV|48RCR|5RAT|6aVULN|7CDMG|9LHND
53	46233 12361	   	258.23	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1ERES|2aZMB|3TLV|48RCR|5RAT|6VULN|7CDMG|9MLV
54	46233 12362	   	258.23	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1ERES|2ZMB|3TLV|48RCR|5RAT|6VULN|7CDMG|9MLV|aLHND
55	42123 15333	   	257.83	DCR|DCR|1VULN|1AAC|1ASPD	1ERES|2VULN|3AAC|4RPLT|5TBNT|6RMIN|7DUR|8aRCR|9ASPD
56	52334 61613	 * 	257.60	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1BBNT|28RCR|3MBVNT|4VULN|5FEWX|6DMG|7BEXP|9TLV|aMLV
57	64332 33341	   	256.60	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9MLV|aZMB
58	64332 33342	   	256.60	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2DMG|3aRCVC|4DUR|5RAT|6CDMG|78RCR|9MLV
59	64332 33343	   	256.60	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9MLV|aLHND
60	65132 33341	   	256.60	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aZMB
61	65132 33342	   	256.60	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2aRCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV
62	65132 33343	   	256.60	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aLHND
63	62132 33341	   	256.50	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aZMB
64	62132 33342	   	256.50	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aRCVC
65	62132 33343	   	256.50	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aLHND
66	62132 33346	   	256.50	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aBBNT
67	62132 33344	   	256.40	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aLSRREG
68	62132 33345	   	256.40	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9MLV|aLEGI
69	52631 12116	   	256.29	ACR|DCR|1VULN|1TLV|1ASPD|2DUR|1CDMG	1BBNT|28RCR|3ZMB|47DUR|5CDMG|6ASPD|9TLV|aVULN
70	51553 33133	   	256.16	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1BBNT|2VULN|3TLV|4DMG|5aRCR|6CGEN|7RPLT|8DUR|9ASPD
71	26234 23336	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1CGEN|2ZMB|3TLV|4aRCR|56VULN|7ASPD|8MSLFST|9LIT
72	64332 33323	   	255.59	DCR|DCR|1DMG|1AAC|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9AART|aAAC
73	65132 33323	   	255.59	DCR|DCR|1DMG|1AAC|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9AART|aAAC
74	62132 33323	   	255.49	DCR|DCR|1DMG|1AAC|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9AART|aAAC
