0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33164 53221	9	 * 	278.85	DCR|5VULN|2TLV|2DUR	1579aVULN|27TLV|3RMIN|47aZMB|6RCR|7aBPWR|8aDUR
36	33153 23611	6	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	17VULN|2TLV|3RMIN|47aDUR|5RPLT|67DMG|7BPWR|8RCR|9AART
37	33237 46446	3	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	189aVULN|2TLV|38LIT|4MBVNT|5RPLT|6RCR|78DUR|8BPWR
38	44332 12211	6	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8DUR|9LIT|aDMG
39	44332 22211	5	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8DUR|9LIT|aDMG
40	64332 12211	6	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8DUR|9LIT|aDMG
41	64332 22211	5	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8DUR|9LIT|aDMG
42	32153 24343	8	 * 	266.58	DCR|3VULN|3DMG|2DUR	137VULN|2LWND|47DUR|5RPLT|678DMG|7BPWR|9LIT|aRCR
43	31153 24343	8	   	266.48	DCR|3VULN|3DMG|2DUR	137VULN|2DUST|47DUR|5RPLT|678DMG|7BPWR|9LIT|aRCR
44	33622 31615	7	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	178VULN|2TLV|38LWND|4CDMG|5ASPD|689DUR|8BPWR|aRCR
45	44332 53111	5	   	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9FEWX|aLWND
46	44332 53112	5	   	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9FEWX|aLHND
47	44332 53113	5	   	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9FEWX|aBEXP
48	64332 53111	5	   	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9FEWX|aLWND
49	64332 53112	5	   	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9FEWX|aLHND
50	64332 53113	5	   	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9FEWX|aBEXP
51	44332 53122	5	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9CGEN|aDUST
52	44332 53123	5	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9CGEN|aERES
53	44332 53133	5	   	266.03	DCR|3VULN|2DMG|3TLV|2CDMG	1RCVC|27CDMG|359TLV|457VULN|57BPWR|67DMG|8RCR|aLHND
54	64332 53122	5	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9CGEN|aDUST
55	64332 53123	5	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9CGEN|aERES
56	64332 53133	5	   	266.03	DCR|3VULN|2DMG|3TLV|2CDMG	1DMSP|27CDMG|359TLV|457VULN|57BPWR|67DMG|8RCR|aLHND
57	44332 53131	5	   	265.93	DCR|3VULN|2DMG|3TLV|2CDMG	1RCVC|27CDMG|359TLV|457VULN|57BPWR|67DMG|8RCR|aDUST
58	64332 53131	5	   	265.93	DCR|3VULN|2DMG|3TLV|2CDMG	1DMSP|27CDMG|359TLV|457VULN|57BPWR|67DMG|8RCR|aDUST
59	44332 53221	5	   	265.89	DCR|3VULN|2DMG|2TLV|2CDMG|1SELL	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8SELL|9CGEN|aRCR
60	64332 53221	5	   	265.89	DCR|3VULN|2DMG|2TLV|2CDMG|1SELL	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8SELL|9CGEN|aRCR
61	33164 53233	8	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	157aVULN|27TLV|3RMIN|47ZMB|6RCR|7BPWR|8DUR|9DMG
62	35523 33612	1	 * 	265.44	DCR|2VULN|3DUR|2DMG|2TLV	18VULN|24DMG|38TLV|5RPLT|6DMSP|789DUR|8BPWR|aRCR
63	31153 24611	7	 * 	265.41	DCR|3VULN|3DUR|2DMG|1AART	137VULN|2DUST|47aDUR|5RPLT|67DMG|7BPWR|8RCR|9AART
64	33523 31661	7	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	178VULN|2TLV|38LHND|4CDMG|5DMG|68DUR|8BPWR|9TBNT|aRCR
65	15333 35422	1	   	264.15	DCR|3VULN|3DUR|2DMG	1RPLT|29aVULN|379DUR|4LIT|5MLV|6RCR|89DMG|9BPWR
66	33124 63222	9	 * 	264.13	ACR|4VULN|3DMG|2TLV|1CDMG	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aCDMG
67	15332 35422	1	   	264.05	DCR|3VULN|3DUR|2DMG	1RPLT|29aVULN|379DUR|4LIT|5ERES|6RCR|89DMG|9BPWR
68	34412 53221	9	 * 	263.87	DCR|4VULN|2DMG|2DUR	179aVULN|2RCVC|3aDMG|47CGEN|57ZMB|6RCR|7aBPWR|8aDUR
69	31153 24316	7	   	263.47	DCR|4VULN|2DMG|2DUR	137aVULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR
70	32153 24242	10	   	263.43	DCR|4VULN|2DMG|2DUR|1SELL	1379VULN|2LWND|47DUR|5RPLT|67DMG|7BPWR|8SELL|aRCR
71	31153 24242	10	   	263.33	DCR|4VULN|2DMG|2DUR|1SELL	1379VULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8SELL|aRCR
72	33522 25311	5	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1567VULN|2TLV|3LHND|4CDMG|8RCR|9LIT|aDMG
73	33253 32511	4	   	262.58	DCR|3VULN|2DMG|2TLV	158VULN|29TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|aBEXP
74	33253 32513	4	   	262.58	DCR|3VULN|2DMG|2TLV	158VULN|29TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|aLWND
75	33253 32516	4	   	262.58	DCR|3VULN|2DMG|2TLV	158VULN|29TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|aFEWX
76	33253 32514	4	   	262.48	DCR|3VULN|2DMG|2TLV	158VULN|29TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|aERES
77	33253 32515	4	   	262.48	DCR|3VULN|2DMG|2TLV	158VULN|29TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|aBBNT
78	34365 22111	6	 * 	262.46	DCR|4VULN|2DMG|2CDMG|1AART	157aVULN|2RCVC|3RMIN|4AART|6aCDMG|8aDMG|9RCR|aBPWR
79	33253 32541	4	   	262.35	DCR|3VULN|2DMG|1TLV|2ASPD	158VULN|2TLV|3LIT|45DMG|5BPWR|69ASPD|7RCR|aBEXP
80	33253 32543	4	   	262.35	DCR|3VULN|2DMG|1TLV|2ASPD	158VULN|2TLV|3LIT|45DMG|5BPWR|69ASPD|7RCR|aLWND
81	43532 32633	10	 * 	262.24	DCR|3VULN|3DUR|3TLV|1AART	18RCVC|279TLV|3AART|479DUR|5RMIN|679VULN|79BPWR|aRCR
82	63532 32633	10	   	262.24	DCR|3VULN|3DUR|3TLV|1AART	1DMSP|279TLV|3AART|479DUR|5RMIN|679VULN|79BPWR|8RCVC|aRCR
83	33353 21615	6	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	18aVULN|2aTLV|3ERES|4DUR|5RPLT|6aDMG|7BBNT|9RCR|aBPWR
84	33153 23613	6	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART|aASPD
85	33361 63513	6	 * 	261.62	DCR|3VULN|3DMG|2TLV	17aVULN|27TLV|3ERES|4ZMB|567DMG|7BPWR|8RCR|9RMIN
86	33253 32413	4	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	15aVULN|2TLV|3aLIT|45DMG|5aBPWR|6ASPD|7RCR|8aFEWX|9TBNT
87	33253 32613	4	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	15aVULN|2TLV|3aLIT|45DMG|5aBPWR|6ASPD|7RCR|8aLHND|9TBNT
88	14213 82524	5	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	1RPLT|29LIT|3MBVNT|46aVULN|59TLV|7RCR|89DMG|9BPWR
89	14215 32524	6	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	1RPLT|29LIT|3MBVNT|45aVULN|69TLV|7RCR|89DMG|9BPWR
90	33264 14146	10	   	260.78	DCR|3VULN|2DMG|2TLV|2LIT|1SELL	17aVULN|2aTLV|37LIT|4SELL|5MBVNT|67ZMB|7aBPWR|8RCR|9aDMG
91	33164 53211	9	   	260.50	DCR|4VULN|2TLV|2DUR	157aVULN|27TLV|3RMIN|47aZMB|6RCR|7aBPWR|8aDUR|9DMSP
92	31153 24613	7	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART|aASPD
93	33124 46131	5	 * 	260.26	ACR|3VULN|3DMG|2TLV|2DUR	18aVULN|27TLV|3RMIN|4RCR|59aDMG|6aDUR|aBPWR
94	33124 63224	9	   	260.14	ACR|4VULN|3DMG|2TLV|1AART	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aAART
95	33253 13152	4	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	157VULN|2TLV|3LIT|45DMG|5BPWR|6BEXP|8BBNT|9CDMG|aRCR
96	33253 53152	4	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	157VULN|2TLV|3LIT|45DMG|5BPWR|6LHND|8BBNT|9CDMG|aRCR
97	34633 53131	4	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	147VULN|2RCVC|3CDMG|57ERES|67DMG|7BPWR|8RCR|9TLV|aASPD
98	33523 33615	7	 * 	259.73	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG	18VULN|2TLV|38LHND|47CDMG|5DMG|689DUR|8BPWR|aRCR
99	33253 63152	4	   	259.65	DCR|3VULN|2DMG|1TLV|1CDMG	157VULN|2TLV|3LIT|45DMG|5BPWR|6LEGI|8BBNT|9CDMG|aRCR
100	33523 11661	7	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	178VULN|28TLV|3LHND|4CDMG|58DMG|6LEGI|8BPWR|9TBNT|aRCR
101	33221 52652	3	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	18VULN|28TLV|3LIT|4RCVC|5DUR|68DMG|7TBNT|8BPWR|9CDMG|aRCR
102	34635 12131	7	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aASPD
103	34635 12321	9	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aASPD
104	34635 12331	8	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aASPD
105	44332 12224	6	   	259.27	DCR|4VULN|2TLV|1DUR|1CDMG	1RCVC|2CDMG|35TLV|456aVULN|5BPWR|7RCR|8DUR|9ZMB
106	44332 22224	5	   	259.27	DCR|4VULN|2TLV|1DUR|1CDMG	1RCVC|2CDMG|35TLV|456aVULN|5BPWR|7RCR|8DUR|9ZMB
107	64332 12224	6	   	259.27	DCR|4VULN|2TLV|1DUR|1CDMG	1DMSP|2CDMG|35TLV|456aVULN|5BPWR|7RCR|8DUR|9ZMB
108	64332 22224	5	   	259.27	DCR|4VULN|2TLV|1DUR|1CDMG	1DMSP|2CDMG|35TLV|456aVULN|5BPWR|7RCR|8DUR|9ZMB
109	22442 53221	9	   	258.97	DCR|3VULN|2DMG|2DUR|2ASPD	17aCGEN|2aASPD|37DMG|479VULN|5RCVC|6RCR|7aBPWR|8aDUR
110	31164 53331	9	   	258.84	DCR|4VULN|2DMG|1TLV	135aVULN|2aDUST|4ZMB|6RCR|7TLV|8DMSP|9aDMG|aBPWR
111	31434 53331	9	   	258.84	DCR|4VULN|2DMG|1TLV	145aVULN|2aDUST|3ZMB|6RCR|7TLV|8DMSP|9aDMG|aBPWR
112	34412 53231	8	   	258.47	DCR|3VULN|3DMG|2DUR	17aVULN|2RCVC|39aDMG|47CGEN|57ZMB|6RCR|7aBPWR|8aDUR
113	34631 32211	4	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	145VULN|2RCVC|3CDMG|6TLV|7RCR|8DUR|9LIT|aDMG
114	33164 53232	8	   	258.38	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	157VULN|27TLV|3RMIN|47ZMB|6RCR|7BPWR|8DUR|9DMG|aCDMG
115	32161 41213	6	   	258.35	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aDMSP
116	32161 41214	6	   	258.35	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aCGEN
117	32161 41216	6	   	258.35	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aFEWX
118	32161 42213	7	   	258.35	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aDMSP
119	32161 42214	7	   	258.35	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aCGEN
120	32161 42216	7	   	258.35	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aFEWX
121	32153 24343	10	   	258.27	DCR|3VULN|3DMG|2DUR	137VULN|2LWND|47DUR|5RPLT|678DMG|7BPWR|9BEXP|aRCR
122	42141 41211	6	   	258.25	DCR|4VULN|3DMG|1AART	1RCVC|278ZMB|3LEGI|478aVULN|578DMG|6AART|78BPWR|9RCR
123	42141 42211	7	   	258.25	DCR|4VULN|3DMG|1AART	1RCVC|278ZMB|3LEGI|478aVULN|578DMG|6AART|78BPWR|9RCR
124	62141 41211	6	   	258.25	DCR|4VULN|3DMG|1AART	1DMSP|278ZMB|3LEGI|478aVULN|578DMG|6AART|78BPWR|9RCR
125	62141 42211	7	   	258.25	DCR|4VULN|3DMG|1AART	1DMSP|278ZMB|3LEGI|478aVULN|578DMG|6AART|78BPWR|9RCR
126	32161 41212	6	   	258.25	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aTBNT
127	32161 41215	6	   	258.25	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aDUST
128	32161 42212	7	   	258.25	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aTBNT
129	32161 42215	7	   	258.25	DCR|4VULN|3DMG|1AART	1378VULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR|aDUST
130	32152 35235	4	 * 	258.22	DCR|3VULN|3DUR|1DMG|2CDMG	138VULN|2LWND|458DUR|68CDMG|7RMIN|8BPWR|9DMG|aRCR
131	31153 24343	10	   	258.17	DCR|3VULN|3DMG|2DUR	137VULN|2DUST|47DUR|5RPLT|678DMG|7BPWR|9BEXP|aRCR
132	32153 24353	10	   	258.17	DCR|3VULN|3DMG|2DUR	137VULN|2LWND|47DUR|5RPLT|678DMG|7BPWR|9DUST|aRCR
133	44331 32223	9	   	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	1RCVC|2aCDMG|3TLV|47aVULN|5BELT|6aDMG|8RCR|9RPLT|aBPWR
134	64331 32223	9	   	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	1DMSP|2aCDMG|3TLV|47aVULN|5BELT|6aDMG|8RCR|9RPLT|aBPWR
135	33153 23312	6	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR|aCDMG
136	51432 23216	7	   	257.65	DCR|3VULN|2DMG|1TLV|2CDMG	128DUST|35DMG|458VULN|58BPWR|68CDMG|7MBVNT|9RCR|aTLV
137	51432 23252	7	   	257.65	DCR|3VULN|2DMG|1TLV|2CDMG	128DUST|35DMG|458VULN|58BPWR|68CDMG|7MBVNT|9TLV|aRCR
138	33164 35133	5	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	158aVULN|2TLV|3RMIN|4ZMB|6DUR|7RCR|9DMG
139	15333 31425	1	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	1RPLT|29aVULN|39DUR|47LIT|5MLV|6RCR|89DMG|9BPWR
140	32112 55133	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	148aVULN|2ZMB|3DUR|5TLV|6ERES|7RCR|9DMG
141	15332 31425	1	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	1RPLT|29aVULN|39DUR|47LIT|5ERES|6RCR|89DMG|9BPWR
142	24353 11336	8	   	257.35	DCR|4VULN|2DMG|2LIT|1AART	19CGEN|25LIT|3AART|4569VULN|59BPWR|79DMG|8MBVNT|aRCR
143	14215 14323	7	   	257.25	DCR|4VULN|2DMG|2LIT|1AART	1RPLT|27LIT|3MBVNT|457aVULN|67DMG|7BPWR|8AART|9RCR
144	14215 14723	8	   	257.25	DCR|4VULN|2DMG|2LIT|1AART	1RPLT|27LIT|3MBVNT|457aVULN|67DMG|7BPWR|8AART|9RCR
145	14215 16323	6	   	257.25	DCR|4VULN|2DMG|2LIT|1AART	1RPLT|27LIT|3MBVNT|457aVULN|67DMG|7BPWR|8AART|9RCR
146	34432 63121	4	   	256.75	DCR|3VULN|2TLV|1DMG|2CDMG	147VULN|2RCVC|3DMG|57TLV|67CDMG|7BPWR|8RCR|9CGEN|aASPD
147	33334 61311	6	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	157VULN|27TLV|3ERES|4CGEN|67CDMG|7BPWR|8RCR|9LIT|aDMG
148	33344 21311	6	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	157VULN|27TLV|3ERES|4MLV|67CDMG|7BPWR|8RCR|9LIT|aDMG
149	34432 63132	4	   	256.65	DCR|3VULN|3TLV|1DMG|2CDMG	147VULN|2RCVC|3DMG|579TLV|67CDMG|7BPWR|8RCR|aLIT
150	32123 35245	3	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	138VULN|258LWND|4DMG|6DUR|78CDMG|8BPWR|9TLV|aRCR
151	34633 11135	7	   	256.21	DCR|4VULN|1TLV|2CDMG|2LIT	1478VULN|2RCVC|37CDMG|57LIT|6RPLT|7BPWR|9TLV|aRCR
152	32153 24412	7	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2LWND|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR|aCDMG
153	32153 24512	10	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2LWND|47DUR|5RPLT|67DMG|7BPWR|8CDMG|9ERES|aRCR
154	31153 24312	7	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR|aCDMG
155	31153 24512	10	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8CDMG|9ERES|aRCR
156	32153 24611	7	   	255.85	DCR|3VULN|3DUR|2DMG	137VULN|2LWND|479DUR|5RPLT|67DMG|7BPWR|8RCR|aRCVC
157	32153 24612	7	   	255.85	DCR|3VULN|3DUR|2DMG	137VULN|2LWND|479DUR|5RPLT|67DMG|7BPWR|8RCR|aBEXP
158	31312 62225	8	   	255.75	DCR|3VULN|3DUR|2DMG	18aVULN|2DUST|3RMIN|4BELT|5aDMG|67aDUR|9RCR|aBPWR
159	31633 21212	4	   	255.50	DCR|3VULN|3DUR|2DMG|1SELL	168VULN|2DUST|3SELL|48DMG|578DUR|8BPWR|9ZMB|aRCR
160	31635 11212	6	   	255.50	DCR|3VULN|3DUR|2DMG|1SELL	168VULN|2DUST|3SELL|48DMG|578DUR|8BPWR|9ZMB|aRCR
161	31635 21212	5	   	255.50	DCR|3VULN|3DUR|2DMG|1SELL	168VULN|2DUST|3SELL|48DMG|578DUR|8BPWR|9ZMB|aRCR
162	31144 24123	9	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1358VULN|2DUST|4MLV|6CDMG|7DMG|9TLV|aRCR
163	31144 24133	8	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1358VULN|2DUST|4MLV|6CDMG|7DMG|9TLV|aRCR
