0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32356 51133	1	 * 	287.39	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG|1AART	13aVULN|23aDUR|3aBPWR|4DMG|5AART|6CDMG|7RCR|8aLIT|9BBNT
18	31832 17424	9	 * 	279.97	DCR|4VULN|2DMG|2TLV|2LIT|1SELL	159aVULN|2MBVNT|3SELL|45TLV|5aBPWR|6aLIT|7aDMG|8RCR
19	32336 51133	1	   	278.33	DCR|3VULN|3DUR|2LIT|1CDMG|1ASPD|1AART	13aVULN|23aDUR|3aBPWR|4ASPD|5AART|6CDMG|7RCR|8aLIT|9BBNT
20	31863 34721	5	   	276.95	DCR|4VULN|3DMG|1DUR|1SELL	1579VULN|2MBVNT|3SELL|479DMG|6RPLT|79BPWR|8RCR|aDUR
21	32336 52533	1	 * 	276.61	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG|1AART	137VULN|23DUR|3BPWR|4aASPD|5AART|6CDMG|8TLV|9RCR
22	31451 11814	9	 * 	276.25	ACR|4VULN|3DUR|3ASPD|1TLV|1AART	189aVULN|2MBVNT|3RCR|4TLV|58aASPD|68aDUR|7AART|8aBPWR
23	31127 82224	6	 * 	276.02	DCR|4VULN|2DMG|2DUR	145aVULN|2MBVNT|3DLOT|6RCR|7CGEN|8aDMG|9aDUR|aBPWR
24	31127 82224	7	   	276.02	DCR|4VULN|2DMG|2DUR	145aVULN|2MBVNT|3DLOT|6RCR|7MLV|8aDMG|9aDUR|aBPWR
25	31127 86224	7	   	276.02	DCR|4VULN|2DMG|2DUR	145aVULN|2MBVNT|3DLOT|6RCR|7CGEN|8aDMG|9aDUR|aBPWR
26	32521 61412	7	 * 	276.02	DCR|4VULN|2DMG|2ASPD|1AART|1SELL	1378VULN|2ZMB|47ASPD|5SELL|67DMG|7BPWR|9RCR|aAART
27	31127 88224	6	   	275.92	DCR|4VULN|2DMG|2DUR	145aVULN|2MBVNT|3DLOT|6RCR|7ERES|8aDMG|9aDUR|aBPWR
28	36233 32422	7	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	189VULN|28DMG|3DUR|4ERES|58CDMG|6RCR|7RPLT|8BPWR|aTLV
29	36233 33122	6	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	179VULN|27DMG|3DUR|4ERES|57CDMG|6RCR|7BPWR|8RPLT|aTLV
30	36233 33364	6	   	275.01	DCR|3VULN|2DMG|2CDMG|1DUR|1TLV	179VULN|27DMG|3DUR|4ERES|57CDMG|6RCR|7BPWR|8DUST|aTLV
31	31341 78284	6	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	17aVULN|2MBVNT|35aDMG|4MLV|6TLV|8RCR|9aCDMG|aBPWR
32	31344 58284	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	17aVULN|2MBVNT|36aDMG|4MLV|5TLV|8RCR|9aCDMG|aBPWR
33	31346 51721	2	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	139VULN|2MBVNT|39BPWR|49CDMG|5RPLT|679DMG|8RCR|aDUR
34	36233 33264	6	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	17aVULN|279DMG|3DUR|4ERES|57CDMG|6RCR|7BPWR|8TBNT
35	36233 33223	6	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	17aVULN|27DMG|3aDUR|4ERES|57CDMG|6RCR|7aBPWR|8TBNT|9aFEWX
36	36233 32424	7	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	189VULN|28DMG|3aDUR|4ERES|58CDMG|6RCR|7RPLT|8BPWR
37	36233 33124	6	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	179VULN|27DMG|3aDUR|4ERES|57CDMG|6RCR|7BPWR|8RPLT
38	31831 63824	5	 * 	273.20	DCR|3VULN|2DMG|2DUR|2TLV|1SELL	17aVULN|2MBVNT|3SELL|4aTLV|57DMG|67DUR|7aBPWR|8aERES|9RCR
39	32336 52222	1	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD|1AART	1378VULN|23DUR|3BPWR|4ASPD|5AART|6CDMG|9BEXP|aRCR
40	32336 52242	1	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD|1AART	1378VULN|23DUR|3BPWR|4ASPD|5AART|6CDMG|9FEWX|aRCR
41	32336 52532	1	   	272.71	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD|1AART	137VULN|23DUR|3BPWR|4ASPD|5AART|6aCDMG|8TLV|9RCR
42	36523 22522	8	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1389VULN|26DMG|4ASPD|5TLV|7MLV|aRCR
43	36523 26122	8	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1379VULN|26DMG|4ASPD|5TLV|8RMIN|aRCR
44	31334 52373	2	   	272.01	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	13aVULN|2MBVNT|3aBPWR|4aDUR|5TLV|6DMG|7BBNT|8RCR|9aCDMG
45	31644 23581	5	 * 	271.76	DCR|4VULN|3DUR|2TLV	146aVULN|2MBVNT|34CGEN|4aBPWR|57aDUR|8RCR|9aTLV
46	32346 11121	1	   	271.66	DCR|4VULN|3DUR|1DMG	1356VULN|234DUR|3BPWR|7CGEN|8BBNT|9DMG|aRCR
47	32352 26123	1	   	269.93	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|23DUR|39BPWR|49DMG|5RCVC|6RMIN|7RCR|89LHND|aTLV
48	32352 26223	1	   	269.93	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|23DUR|39BPWR|49DMG|5RCVC|6RMIN|7RCR|89FEWX|aTLV
49	32336 31542	1	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD|1AART	136VULN|239DUR|3BPWR|4ASPD|5AART|7DMG|8RMIN|aRCR
50	36233 33366	6	   	269.77	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	179VULN|27DMG|3DUR|4ERES|57CDMG|6RCR|7BPWR|8DUST|aASPD
51	31333 54812	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	137VULN|2MBVNT|37BPWR|47DUR|5RMIN|67DMG|8BELT|9RCR|aTLV
52	35334 33125	3	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2DUST|39DMG|4ZMB|5BELT|6TLV|89DUR|9BPWR|aRCR
53	32336 32142	1	   	269.69	DCR|3VULN|3DUR|1DMG|1ASPD|1AART	136VULN|237DUR|3BPWR|4ASPD|5AART|8ERES|9DMG|aRCR
54	31334 41284	2	   	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	13aVULN|2MBVNT|3aBPWR|4aDUR|5TLV|6MLV|7aDMG|8RCR|9SELL
55	32352 32542	1	   	269.34	DCR|3VULN|3DMG|2DUR	13aVULN|23DUR|3aBPWR|46aDMG|5RCVC|7BELT|8RCR|9aMLV
56	35132 15126	1	   	269.31	DCR|3VULN|3DMG|1DUR|2LIT	167VULN|279DMG|3DUR|4ERES|57LIT|7BPWR|8LEGI|aRCR
57	36132 15126	2	   	269.31	DCR|3VULN|3DMG|1DUR|2LIT	167VULN|279DMG|3DUR|4ERES|57LIT|7BPWR|8LEGI|aRCR
58	36232 15126	4	   	269.31	DCR|3VULN|3DMG|1DUR|2LIT	167VULN|279DMG|3DUR|4ERES|57LIT|7BPWR|8LEGI|aRCR
59	36232 15126	3	   	269.31	DCR|3VULN|3DMG|1DUR|2LIT	167VULN|279DMG|3DUR|4ERES|57LIT|7BPWR|8LEGI|aRCR
60	36232 15126	5	   	269.31	DCR|3VULN|3DMG|1DUR|2LIT	167VULN|279DMG|3DUR|4ERES|57LIT|7BPWR|8LEGI|aRCR
61	31333 54818	2	   	269.14	DCR|3VULN|3DMG|2DUR	137VULN|2MBVNT|37BPWR|47DUR|5RMIN|67aDMG|8BELT|9RCR
62	32352 32512	1	   	269.14	DCR|3VULN|3DMG|2DUR	13aVULN|23DUR|3aBPWR|46aDMG|5RCVC|7BELT|8RCR|9aERES
63	32212 31263	1	 * 	269.09	DCR|3VULN|3DUR|3LIT|1DMG	169VULN|246DUR|345LIT|46BPWR|7DMG|8FEWX|aRCR
64	32212 31363	1	   	269.09	DCR|3VULN|3DUR|3LIT|1DMG	169VULN|246DUR|345LIT|46BPWR|7DMG|8LHND|aRCR
65	32212 33523	1	   	269.09	DCR|3VULN|3DUR|3LIT|1DMG	167VULN|246DUR|345LIT|46BPWR|8DMG|9LWND|aRCR
66	32212 33533	1	   	269.09	DCR|3VULN|3DUR|3LIT|1DMG	167VULN|246DUR|345LIT|46BPWR|8DMG|9FEWX|aRCR
67	32212 34363	1	   	269.09	DCR|3VULN|3DUR|3LIT|1DMG	169VULN|246DUR|345LIT|46BPWR|7LHND|8DMG|aRCR
68	31341 78183	3	   	269.04	DCR|3VULN|3DMG|2DUR	14aVULN|2MBVNT|38aDMG|5TBNT|6aDUR|7RCR|9BELT|aBPWR
69	31344 78183	3	   	269.04	DCR|3VULN|3DMG|2DUR	14aVULN|2MBVNT|38aDMG|5BBNT|6aDUR|7RCR|9BELT|aBPWR
70	31353 43125	9	 * 	268.89	DCR|3VULN|3DMG|3ASPD|1SELL	19aVULN|2MBVNT|39aDMG|4LWND|5SELL|6DUST|79aASPD|8RCR|9aBPWR
71	36233 33462	6	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	179VULN|27DMG|3DUR|4ERES|57CDMG|6RCR|7BPWR|8BEXP|aAART
72	31382 24212	2	   	268.50	DCR|4VULN|2DMG|1CDMG|1AART	1347VULN|2MBVNT|37BPWR|5DMSP|67DMG|8CDMG|9RCR|aAART
73	32312 12262	1	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1368VULN|23DUR|3BPWR|4RCVC|5DMSP|7CDMG|9RCR|aTLV
74	32356 61133	1	   	268.09	DCR|3VULN|2DMG|2DUR|2LIT|1AART|1SELL	13aVULN|23DUR|3aBPWR|4aDMG|5AART|6SELL|7RCR|8aLIT|9BBNT
75	32352 26125	1	   	267.33	DCR|3VULN|2DMG|2DUR|1CDMG	139VULN|23DUR|39BPWR|49DMG|5RCVC|6RMIN|7RCR|89LHND|aCDMG
76	32352 26225	1	   	267.33	DCR|3VULN|2DMG|2DUR|1CDMG	139VULN|23DUR|39BPWR|49DMG|5RCVC|6RMIN|7RCR|89FEWX|aCDMG
77	31343 63824	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	17aVULN|2MBVNT|37DMG|4aMLV|5CDMG|67DUR|7aBPWR|8aERES|9RCR
78	36233 33242	6	   	267.07	DCR|3VULN|2DMG|2CDMG|1DUR	17aVULN|27DMG|3DUR|4ERES|57CDMG|6RCR|7BPWR|8TBNT|9LIT
79	31333 54457	2	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2MBVNT|37BPWR|47DUR|5RMIN|67DMG|8CDMG|9ERES|aRCR
80	32352 26124	1	   	266.91	DCR|3VULN|3DUR|2DMG	139VULN|23aDUR|39BPWR|49DMG|5RCVC|6RMIN|7RCR|89LHND
81	32352 26224	1	   	266.91	DCR|3VULN|3DUR|2DMG	139VULN|23aDUR|39BPWR|49DMG|5RCVC|6RMIN|7RCR|89FEWX
82	32311 61222	1	   	266.91	DCR|3VULN|3DUR|2DMG	139VULN|239DUR|39BPWR|4RCVC|5LWND|6RCR|7aDMG|89ZMB
83	32314 61222	1	   	266.91	DCR|3VULN|3DUR|2DMG	139VULN|239DUR|39BPWR|4RCVC|5FEWX|6RCR|7aDMG|89ZMB
84	31333 54471	2	   	266.89	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	137VULN|2MBVNT|37BPWR|47DUR|5RMIN|67DMG|8CDMG|9SELL|aRCR
85	31341 78383	3	   	266.61	DCR|3VULN|3DUR|2DMG	14aVULN|2MBVNT|3aDMG|5TBNT|68aDUR|7RCR|9BELT|aBPWR
86	31344 78383	3	   	266.61	DCR|3VULN|3DUR|2DMG	14aVULN|2MBVNT|3aDMG|5BBNT|68aDUR|7RCR|9BELT|aBPWR
87	34533 23522	6	 * 	266.60	DCR|4VULN|2DMG|2ASPD	1389VULN|28ASPD|47CGEN|5MLV|68DMG|8BPWR|aRCR
88	34533 33522	5	   	266.60	DCR|4VULN|2DMG|2ASPD	1389VULN|28ASPD|47CGEN|5MLV|68DMG|8BPWR|aRCR
89	31811 43638	10	   	266.50	DCR|4VULN|2DUR|2TLV|1SELL	189aVULN|2MBVNT|3SELL|4LIT|5aDUR|6aTLV|7RCR|aBPWR
90	32521 61411	7	   	266.36	DCR|4VULN|2DMG|2ASPD|1SELL	1378VULN|2ZMB|47ASPD|5SELL|67DMG|7BPWR|9RCR|aLHND
91	32521 61413	7	   	266.36	DCR|4VULN|2DMG|2ASPD|1SELL	1378VULN|2ZMB|47ASPD|5SELL|67DMG|7BPWR|9RCR|aLWND
92	32336 52531	1	   	266.30	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD|1AART	137VULN|23DUR|3BPWR|4ASPD|5AART|6CDMG|8TLV|9RCR|aERES
93	32336 32522	1	   	265.97	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	136VULN|237DUR|3BPWR|4ASPD|5AART|8TLV|9ZMB|aRCR
94	36522 21152	9	   	265.72	DCR|3VULN|2DMG|2ASPD|1CDMG	135VULN|28DMG|47ASPD|6LIT|9RCR|aCDMG
95	34622 12324	8	   	265.65	DCR|3VULN|2DUR|2ASPD|2LIT|1CDMG	19aVULN|28ASPD|3aLIT|4CGEN|5CDMG|6aDUR|7RCR|aBPWR
96	31347 34284	5	   	265.35	DCR|4VULN|2DMG|2CDMG	167aVULN|2MBVNT|3aDMG|4MLV|56CGEN|6aBPWR|8RCR|9aCDMG
97	32212 36262	1	   	265.27	DCR|3VULN|3DUR|3LIT|1TLV	169VULN|246DUR|345LIT|46BPWR|7TLV|8FEWX|aRCR
98	32212 36362	1	   	265.27	DCR|3VULN|3DUR|3LIT|1TLV	169VULN|246DUR|345LIT|46BPWR|7TLV|8LHND|aRCR
99	31231 34281	6	 * 	265.25	DCR|4VULN|2DMG|2TLV	167aVULN|2MBVNT|3aZMB|4ERES|56DMG|6aBPWR|8RCR|9aTLV
100	31345 24284	3	   	265.25	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3aDMG|5MLV|6CGEN|8RCR|9aCDMG|aBPWR
101	31346 54731	2	   	265.25	DCR|4VULN|2DMG|2CDMG	1379VULN|2MBVNT|37BPWR|47CDMG|5RPLT|67DMG|8RCR|aMLV
102	31347 24284	5	   	265.25	DCR|4VULN|2DMG|2CDMG	167aVULN|2MBVNT|3aDMG|4MLV|5CGEN|8RCR|9aCDMG|aBPWR
103	32212 35651	1	   	265.17	DCR|3VULN|3DUR|3LIT|1TLV	168VULN|246DUR|345LIT|468BPWR|7TBNT|9RCR|aTLV
104	31346 54732	2	   	265.15	DCR|4VULN|2DMG|2CDMG	1379VULN|2MBVNT|37BPWR|47CDMG|5RPLT|67DMG|8RCR|aERES
105	31346 54734	2	   	265.15	DCR|4VULN|2DMG|2CDMG	1379VULN|2MBVNT|37BPWR|47CDMG|5RPLT|67DMG|8RCR|aDUST
106	31421 33384	10	 * 	265.14	ACR|4VULN|2DMG|2DUR|2ASPD	169aVULN|2MBVNT|3RCR|4RCVC|56DMG|69BPWR|79ASPD|89DUR
107	34521 26322	9	   	264.96	DCR|4VULN|2ASPD|1DMG|1DUR	1357VULN|24ASPD|6DUST|8DUR|9DMG|aRCR
108	34521 26332	8	   	264.96	DCR|4VULN|2ASPD|1DMG|1DUR	1357VULN|24ASPD|6DUST|8DUR|9DMG|aRCR
109	31333 54813	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	137VULN|2MBVNT|37BPWR|47DUR|5RMIN|67DMG|8BELT|9RCR|aASPD
110	36133 33236	6	   	264.41	DCR|3VULN|3DMG|3CDMG	17aVULN|27aDMG|3BEXP|4ERES|57aCDMG|6RCR|7aBPWR|8TBNT|9RMIN
111	31353 24275	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	19aVULN|2MBVNT|3aDMG|4LWND|5SELL|6ASPD|7RCR|8aDUR|aBPWR
112	31363 24635	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	18aVULN|2MBVNT|3aDMG|4FEWX|5SELL|6ASPD|7RCR|9aDUR|aBPWR
113	32364 13411	1	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	136VULN|237DUR|3BPWR|48LIT|5FEWX|9RCR|aDMG
114	34132 33266	6	 * 	263.92	DCR|3VULN|2DMG|2ASPD|2CDMG	17aVULN|27ASPD|3aBEXP|4ERES|57CDMG|6RCR|7aBPWR|8TBNT|9aDMG
115	34132 33524	6	 * 	263.87	DCR|4VULN|2ASPD|2CDMG|2LIT	179aVULN|27ASPD|3aBEXP|4ERES|57CDMG|6RCR|7aBPWR|8aLIT
116	35333 32416	7	   	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	18aVULN|28DUST|3aDMG|4ERES|58CDMG|6RCR|7RPLT|8aBPWR|9aASPD
117	35333 33116	6	   	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	17aVULN|27DUST|3aDMG|4ERES|57CDMG|6RCR|7aBPWR|8RPLT|9aASPD
118	35261 12522	1	   	263.57	DCR|4VULN|1DMG|2CDMG|1DUR|1SELL	1369VULN|2DMG|47CDMG|5SELL|8DUR|aRCR
119	36261 12522	2	   	263.57	DCR|4VULN|1DMG|2CDMG|1DUR|1SELL	1369VULN|2DMG|47CDMG|5SELL|8DUR|aRCR
120	32346 36111	1	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	135VULN|234DUR|3BPWR|6CDMG|7RPLT|8DMG|9RCR|aLHND
121	32346 36113	1	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	135VULN|234DUR|3BPWR|6CDMG|7RPLT|8DMG|9RCR|aBEXP
122	34232 33265	6	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17aVULN|27ASPD|3DUR|4ERES|57CDMG|6RCR|7BPWR|8TBNT|9DMG
123	31832 17434	9	 * 	262.33	DCR|3VULN|2DMG|3LIT|2TLV|1SELL	15aVULN|2MBVNT|3SELL|45TLV|5aBPWR|69aLIT|7aDMG|8RCR
124	31863 16424	9	   	262.28	DCR|4VULN|2TLV|1DMG|2LIT|1SELL	159aVULN|2MBVNT|3SELL|4DMG|6aLIT|7aTLV|8RCR|aBPWR
125	53232 25411	6	 * 	262.10	DCR|5VULN|2TLV|2LIT	18LIT|24789VULN|3RCVC|58TLV|6BELT|8BPWR|aRCR
126	36233 33262	6	 * 	262.09	DCR|2VULN|3DMG|2DUR|2CDMG	17VULN|279DMG|3aDUR|4ERES|57CDMG|6RCR|7BPWR|8TBNT
127	36522 22152	9	   	262.06	DCR|3VULN|2DMG|2LIT|1CDMG|1ASPD	135VULN|28DMG|4ASPD|67LIT|9RCR|aCDMG
128	31217 63211	2	 * 	262.00	DCR|5VULN|1DMG|2LIT	14589VULN|2MBVNT|34LIT|4BPWR|6LWND|7RCR|aDMG
129	53317 63211	3	   	262.00	DCR|5VULN|1DMG|2LIT	14LIT|24589VULN|3MBVNT|4BPWR|6LWND|7RCR|aDMG
130	32522 12612	5	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1356VULN|2ZMB|4ASPD|7CDMG|8DMG|9RCR|aAART
131	41522 12612	5	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1ZMB|2356VULN|4ASPD|7CDMG|8DMG|9RCR|aAART
132	31333 54816	2	   	261.79	DCR|3VULN|2DMG|2DUR	137VULN|2MBVNT|37BPWR|47DUR|5RMIN|67DMG|8BELT|9RCR|aLIT
133	32313 62451	1	   	261.79	DCR|3VULN|2DMG|2DUR	136VULN|23DUR|3BPWR|4RCVC|5RPLT|7LIT|8RCR|9aDMG
134	32313 53223	1	   	261.56	DCR|4VULN|3DUR|1AART	137aVULN|23aDUR|3aBPWR|4RCVC|5RPLT|6AART|8RCR|9aCGEN
135	31384 37211	2	   	261.54	DCR|4VULN|2DMG|1TLV	134aVULN|2MBVNT|3aBPWR|5TLV|6aDMG|7RMIN|8RCR|9aCGEN
136	31384 37271	2	   	261.54	DCR|4VULN|2DMG|1TLV	134aVULN|2MBVNT|3aBPWR|5TLV|6aDMG|7RMIN|8RCR|9aMLV
137	31124 22444	9	   	261.44	DCR|4VULN|2DMG|1TLV	148aVULN|2MBVNT|3DLOT|5TLV|6aFEWX|7RCR|9aDMG|aBPWR
138	31147 12444	9	   	261.44	DCR|4VULN|2DMG|1DUR	168aVULN|2MBVNT|3DLOT|4DUR|5aMLV|7RCR|9aDMG|aBPWR
139	33322 66522	8	   	261.44	DCR|4VULN|2DMG|1TLV	1789VULN|24LHND|35DMG|6TLV|aRCR
140	31451 11824	8	   	261.38	ACR|3VULN|3DUR|3ASPD|2AART|1TLV	18aVULN|2MBVNT|3RCR|4TLV|58aASPD|68aDUR|79AART|8aBPWR
141	31451 11874	9	   	261.38	ACR|3VULN|3DUR|3ASPD|2AART|1TLV	18aVULN|2MBVNT|3RCR|4TLV|58aASPD|68aDUR|79AART|8aBPWR
142	31334 41424	2	 * 	261.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	13aVULN|2MBVNT|3aBPWR|4DUR|5aTLV|6MLV|7DMG|8aCDMG|9RCR
143	31863 34733	5	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1579VULN|2MBVNT|3SELL|47DMG|6RPLT|7BPWR|8RCR|aTLV
144	31331 17328	2	   	261.16	DCR|4VULN|3DUR|1AART	1389VULN|2MBVNT|38BPWR|478DUR|5AART|6BBNT|aRCR
145	31331 47328	2	   	261.16	DCR|4VULN|3DUR|1AART	1389VULN|2MBVNT|38BPWR|478DUR|5AART|6TBNT|aRCR
146	31421 37634	6	 * 	261.15	ACR|4VULN|3DMG|1TLV|1DUR	1678VULN|2MBVNT|3RCR|4RCVC|567DMG|67BPWR|9DUR|aTLV
147	31334 21424	2	   	261.14	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	13aVULN|2MBVNT|3aBPWR|4DUR|5aTLV|6ERES|7DMG|8aCDMG|9RCR
148	34231 33411	6	 * 	261.11	DCR|2VULN|3DUR|2DMG|2ASPD	1aVULN|26ASPD|37aDUR|4ERES|56DMG|6aBPWR|8RCR|9aCGEN
149	34231 33461	6	   	261.11	DCR|2VULN|3DUR|2DMG|2ASPD	1aVULN|26ASPD|37aDUR|4ERES|56DMG|6aBPWR|8RCR|9aMLV
150	33322 36361	7	   	261.04	DCR|4VULN|3DMG	1789VULN|2469LHND|359DMG|9BPWR|aRCR
151	35222 26361	1	   	261.04	DCR|4VULN|3DMG	1389VULN|269DMG|4RCVC|59MLV|7RMIN|9BPWR|aRCR
152	35232 26361	1	   	261.04	DCR|4VULN|3DMG	1389VULN|269DMG|49CGEN|5DMSP|7RMIN|9BPWR|aRCR
153	36222 26361	2	   	261.04	DCR|4VULN|3DMG	1389VULN|269DMG|4RCVC|59MLV|7RMIN|9BPWR|aRCR
154	36232 26361	2	   	261.04	DCR|4VULN|3DMG	1389VULN|269DMG|49CGEN|5DMSP|7RMIN|9BPWR|aRCR
155	35212 26361	1	   	260.84	DCR|4VULN|3DMG	1389VULN|269DMG|49ERES|5DMSP|7RMIN|9BPWR|aRCR
156	35223 26361	1	   	260.84	DCR|4VULN|3DMG	1389VULN|269DMG|4RCVC|59ERES|7RMIN|9BPWR|aRCR
157	35242 21361	1	   	260.84	DCR|4VULN|3DMG	1389VULN|269DMG|4RMIN|5DMSP|79ERES|9BPWR|aRCR
158	36212 26361	2	   	260.84	DCR|4VULN|3DMG	1389VULN|269DMG|49ERES|5DMSP|7RMIN|9BPWR|aRCR
159	36223 26361	2	   	260.84	DCR|4VULN|3DMG	1389VULN|269DMG|4RCVC|59ERES|7RMIN|9BPWR|aRCR
160	36242 21361	2	   	260.84	DCR|4VULN|3DMG	1389VULN|269DMG|4RMIN|5DMSP|79ERES|9BPWR|aRCR
161	53453 32233	2	   	260.82	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	1aLIT|23aVULN|4TBNT|5CDMG|6BEXP|7AART|8RCR|9aDMG|aBPWR
162	32324 13153	1	 * 	260.78	ACR|4VULN|3DUR|2ASPD|1DMG	1379VULN|238DUR|39BPWR|4RCR|5BELT|69ASPD|aDMG
163	31342 34324	3	   	260.74	DCR|4VULN|3DMG	1479VULN|2MBVNT|367DMG|5RCVC|7BPWR|8DUST|aRCR
164	31382 24134	2	   	260.74	DCR|4VULN|3DMG	1347VULN|2MBVNT|37BPWR|5DMSP|679DMG|8DUST|aRCR
