0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46161 32212	1	 * 	273.62	DCR|5VULN|2TLV|1DUR|1AART	1347aVULN|23TLV|3BPWR|5LWND|6AART|8RCR|9DUR
16	41412 31234	1	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aCDMG
17	41112 31242	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT|aCDMG
18	41112 31264	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aCDMG
19	41412 31242	1	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT|aCDMG
20	41326 25212	1	   	265.64	DCR|5VULN|1TLV|1DUR|1AART	1246aVULN|346LHND|46BPWR|5AART|7TLV|8RCR|9DUR
21	41126 33212	3	   	265.54	DCR|5VULN|1TLV|1DUR|1AART	1346aVULN|24LWND|4BPWR|5AART|7TLV|8RCR|9DUR
22	41146 23212	4	   	265.54	DCR|5VULN|1TLV|1DUR|1AART	1346aVULN|26LWND|5AART|6BPWR|7TLV|8RCR|9DUR
23	41326 35212	1	   	265.54	DCR|5VULN|1TLV|1DUR|1AART	1246aVULN|34LHND|4BPWR|5AART|7TLV|8RCR|9DUR
24	41426 33212	1	   	265.54	DCR|5VULN|1TLV|1DUR|1AART	1246aVULN|34LWND|4BPWR|5AART|7TLV|8RCR|9DUR
25	41146 33212	4	   	265.44	DCR|5VULN|1TLV|1DUR|1AART	1346aVULN|2LWND|5AART|7TLV|8RCR|9DUR
26	41112 31241	3	 * 	265.41	DCR|3VULN|3DUR|2DMG|1AART	137VULN|2LWND|4AART|57DMG|67aDUR|7BPWR|8RCR|9BBNT
27	41412 31241	1	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	127VULN|3LWND|4AART|57DMG|67aDUR|7BPWR|8RCR|9BBNT
28	42332 83631	9	 * 	264.13	DCR|5VULN|2DUR|2CDMG	13689VULN|2ERES|48CDMG|5MBVNT|78DUR|8BPWR|aRCR
29	42331 36412	10	 * 	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1389VULN|29ERES|4CDMG|5MLV|69TLV|7RCR|9BPWR|aDMG
30	41112 31253	3	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aASPD
31	41112 31254	3	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aLIT
32	41412 31253	1	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aASPD
33	21315 12651	6	 * 	260.59	DCR|3VULN|3DUR|3TLV	126DUST|289BPWR|389DUR|4LIT|589TLV|789VULN|aRCR
34	41112 31652	3	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8ASPD|9TBNT|aRCR
35	41312 31652	1	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LHND|4AART|57DMG|67DUR|7BPWR|8ASPD|9TBNT|aRCR
36	22112 65141	8	   	259.13	DCR|3VULN|2DMG|2DUR	1DUST|23aVULN|4LIT|5ASPD|6aDUR|7BEXP|8RCR|9aDMG|aBPWR
37	42332 83611	8	 * 	259.01	DCR|4VULN|3DUR|2CDMG	1368VULN|2ERES|48CDMG|5MBVNT|789DUR|8BPWR|aRCR
38	41126 12214	3	   	258.78	DCR|4VULN|1TLV|1DMG|2AART	1347VULN|24LWND|4BPWR|59AART|6DMG|8RCR|aTLV
39	52235 31512	10	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2689VULN|3TLV|4ERES|5DUR|7DMG|aRCR
40	22241 51533	9	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUST|248aVULN|3TLV|5RMIN|6DUR|7DMG|9RCR
41	52126 23243	3	   	257.37	DCR|5VULN|2TLV|1AART	16BEXP|2346aVULN|5AART|6BPWR|79TLV|8RCR
42	41126 33243	3	   	257.37	DCR|5VULN|2TLV|1AART	1346aVULN|24LWND|4BPWR|5AART|79TLV|8RCR
43	46161 32223	1	   	257.27	DCR|5VULN|2TLV|1AART	1347aVULN|23TLV|3BPWR|5LWND|6AART|8RCR|9DUST
44	52126 33243	3	   	257.27	DCR|5VULN|2TLV|1AART	1BEXP|2346aVULN|5AART|79TLV|8RCR
45	22126 23243	3	   	257.17	DCR|5VULN|2TLV|1AART	16DUST|2346aVULN|5AART|6BPWR|79TLV|8RCR
46	22126 33243	3	   	257.17	DCR|5VULN|2TLV|1AART	1DUST|2346aVULN|5AART|79TLV|8RCR
47	22146 23243	4	   	257.17	DCR|5VULN|2TLV|1AART	16DUST|2346aVULN|5AART|6BPWR|79TLV|8RCR
48	22146 33243	4	   	257.17	DCR|5VULN|2TLV|1AART	1DUST|2346aVULN|5AART|79TLV|8RCR
49	52126 23213	3	   	257.06	DCR|5VULN|1TLV|2AART	16BEXP|2346aVULN|59AART|6BPWR|7TLV|8RCR
50	52146 23213	4	   	257.06	DCR|5VULN|1TLV|2AART	16BEXP|2346aVULN|59AART|6BPWR|7TLV|8RCR
51	52126 33213	3	   	256.96	DCR|5VULN|1TLV|2AART	1BEXP|2346aVULN|59AART|7TLV|8RCR
52	52146 33213	4	   	256.96	DCR|5VULN|1TLV|2AART	1BEXP|2346aVULN|59AART|7TLV|8RCR
53	22126 23213	3	   	256.86	DCR|5VULN|1TLV|2AART	16DUST|2346aVULN|59AART|6BPWR|7TLV|8RCR
54	22126 33213	3	   	256.86	DCR|5VULN|1TLV|2AART	1DUST|2346aVULN|59AART|7TLV|8RCR
55	22146 23213	4	   	256.86	DCR|5VULN|1TLV|2AART	16DUST|2346aVULN|59AART|6BPWR|7TLV|8RCR
56	22146 33213	4	   	256.86	DCR|5VULN|1TLV|2AART	1DUST|2346aVULN|59AART|7TLV|8RCR
57	46126 23213	3	   	256.86	DCR|5VULN|1TLV|2AART	1346aVULN|26DUST|59AART|6BPWR|7TLV|8RCR
58	46126 33213	3	   	256.86	DCR|5VULN|1TLV|2AART	1346aVULN|2DUST|59AART|7TLV|8RCR
59	41621 43131	1	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	128VULN|3TBNT|48DMG|5CDMG|69DUR|78LHND|8BPWR|aRCR
60	12212 31553	3	 * 	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1NUKE	17ASPD|2DLOT|3DMG|4NUKE|57VULN|678DUR|7BPWR|9TLV|aRCR
61	12222 31553	4	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1NUKE	17ASPD|2DLOT|3DMG|4NUKE|57VULN|678DUR|7BPWR|9TLV|aRCR
62	22153 35533	9	   	255.68	DCR|5VULN|1TLV|1DUR	1DUST|2368aVULN|4LHND|5DUR|7TLV|9RCR
63	22153 35253	7	   	255.68	DCR|5VULN|1TLV|1DUR	1DUST|2369aVULN|4LHND|5DUR|7TLV|8RCR
64	41144 32212	3	   	255.28	DCR|4VULN|2TLV|1DUR|1AART	137aVULN|25LWND|45TLV|5BPWR|6AART|8RCR|9DUR
65	41244 32212	4	   	255.28	DCR|4VULN|2TLV|1DUR|1AART	147aVULN|25LWND|35TLV|5BPWR|6AART|8RCR|9DUR
66	46161 31212	1	   	255.28	DCR|4VULN|2TLV|1DUR|1AART	134aVULN|23TLV|3BPWR|57LWND|6AART|8RCR|9DUR
67	46161 32211	1	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	1347VULN|23TLV|3BPWR|5LWND|6AART|8RCR|9DUR|aDUST
68	46161 32213	1	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	1347VULN|23TLV|3BPWR|5LWND|6AART|8RCR|9DUR|aBBNT
69	46163 33212	1	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	134aVULN|23TLV|3BPWR|5ERES|6AART|7MLV|8RCR|9DUR
70	52241 32236	6	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2469VULN|3TLV|5RMIN|7DMG|8RCR|aCDMG
71	62241 32236	6	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|2469VULN|3TLV|5RMIN|7DMG|8RCR|aCDMG
72	22241 32236	6	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2469VULN|3TLV|5RMIN|7DMG|8RCR|aCDMG
73	22241 42236	5	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2469VULN|3TLV|5RMIN|7DMG|8RCR|aCDMG
74	22244 32226	6	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2469VULN|3TLV|5CGEN|7DMG|8RCR|aCDMG
75	42331 36432	10	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1389VULN|2ERES|4CDMG|5MLV|6TLV|7RCR|aDMG
76	62141 33226	7	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|2349VULN|5DMG|6ERES|7TLV|8RCR|aCDMG
77	22141 33226	7	   	254.70	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2349VULN|5DMG|6ERES|7TLV|8RCR|aCDMG
78	22143 42226	3	   	254.70	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2369VULN|4TLV|5ERES|7DMG|8RCR|aCDMG
79	22243 42226	4	   	254.70	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2469VULN|3TLV|5ERES|7DMG|8RCR|aCDMG
80	41116 21422	4	   	254.56	DCR|4VULN|2CDMG|1DUR|2LIT	1367VULN|2LWND|47LIT|57CDMG|7BPWR|8RCR|9ASPD|aDUR
81	52125 25221	9	 * 	254.39	DCR|4VULN|2DUR|1DMG	1aBEXP|235aVULN|4RPLT|6LIT|7DMG|8aDUR|9RCR|aBPWR
82	62125 25221	9	   	254.39	DCR|4VULN|2DUR|1DMG	1aFEWX|235aVULN|4RPLT|6LIT|7DMG|8aDUR|9RCR|aBPWR
83	22125 25221	9	   	254.19	DCR|4VULN|2DUR|1DMG	1aDUST|235aVULN|4RPLT|6LIT|7DMG|8aDUR|9RCR|aBPWR
84	42323 21342	7	   	253.91	DCR|3VULN|2TLV|2DUR|2LIT	137VULN|24ERES|57LIT|67TLV|7BPWR|89DUR|aRCR
85	52161 25231	9	   	253.54	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1BEXP|23aVULN|4CDMG|5LWND|6aLIT|7DMG|8aDUR|9RCR|aBPWR
86	22161 25231	9	   	253.44	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1DUST|23aVULN|4CDMG|5LWND|6aLIT|7DMG|8aDUR|9RCR|aBPWR
87	43122 36263	4	   	253.30	DCR|3VULN|2DUR|1DMG|2CDMG	19aVULN|2ZMB|3aCDMG|4DMG|5ASPD|6RCR|7aDUR|8DMSP|aBPWR
88	43122 36363	4	   	253.30	DCR|3VULN|2DUR|1DMG|2CDMG	19aVULN|2ZMB|3aCDMG|4DMG|5ASPD|6RCR|7aDUR|8RCVC|aBPWR
89	52126 23232	3	   	252.91	DCR|4VULN|1TLV|1CDMG|1AART	16BEXP|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aLIT
90	52126 23236	3	   	252.91	DCR|4VULN|1TLV|1CDMG|1AART	16BEXP|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aASPD
91	52146 23232	4	   	252.91	DCR|4VULN|1TLV|1CDMG|1AART	16BEXP|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aLIT
92	12131 36254	2	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	1ASPD|2DLOT|34DUR|5TLV|69aVULN|7RCR|8CDMG
93	52126 33232	3	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1BEXP|2346VULN|5AART|7TLV|8RCR|9CDMG|aLIT
94	52126 33236	3	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1BEXP|2346VULN|5AART|7TLV|8RCR|9CDMG|aASPD
95	52146 33232	4	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1BEXP|2346VULN|5AART|7TLV|8RCR|9CDMG|aLIT
96	22126 23232	3	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	16DUST|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aLIT
97	22126 23236	3	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	16DUST|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aASPD
98	22126 33232	3	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1DUST|2346VULN|5AART|7TLV|8RCR|9CDMG|aLIT
99	22126 33236	3	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1DUST|2346VULN|5AART|7TLV|8RCR|9CDMG|aASPD
100	22146 23232	4	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	16DUST|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aLIT
101	22146 23236	4	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	16DUST|2346VULN|5AART|6BPWR|7TLV|8RCR|9CDMG|aASPD
102	22146 33232	4	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1DUST|2346VULN|5AART|7TLV|8RCR|9CDMG|aLIT
103	22146 33236	4	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1DUST|2346VULN|5AART|7TLV|8RCR|9CDMG|aASPD
104	46126 23232	3	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1346VULN|26DUST|5AART|6BPWR|7TLV|8RCR|9CDMG|aLIT
105	46126 33232	3	   	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1346VULN|2DUST|5AART|7TLV|8RCR|9CDMG|aLIT
106	41226 12631	1	 * 	252.66	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	12VULN|3ZMB|4TLV|5AART|68DMG|7DUR|9CDMG|aRCR
107	41112 63332	1	   	252.30	DCR|4VULN|1TLV|1DUR|2LIT	125aVULN|37LIT|4BELT|6RCR|8TLV|9DUR
108	41112 31211	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aRPLT
109	41112 31213	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aBELT
110	41112 31215	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aLHND
111	41112 31216	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aBEXP
112	41112 31221	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aRPLT
113	41112 31223	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aBELT
114	41112 31225	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9aLHND
115	41112 31231	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aRPLT
116	41112 31233	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aBELT
117	41112 31235	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aLHND
118	41112 31236	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9aBEXP
119	41112 31251	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aRCVC
120	41112 31252	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aCGEN
121	41112 31255	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aFEWX
122	41112 31256	3	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aBELT
123	41412 31211	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aRPLT
124	41412 31213	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aBELT
125	41412 31215	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aLHND
126	41412 31216	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aBEXP
127	41412 31221	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aRPLT
128	41412 31223	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aBELT
129	41412 31225	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9aLHND
130	41412 31231	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aRPLT
131	41412 31233	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aBELT
132	41412 31235	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aLHND
133	41412 31236	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9aBEXP
134	41412 31251	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aRCVC
135	41412 31252	1	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9ZMB|aCGEN
136	41112 31212	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aTBNT
137	41112 31222	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aTBNT
138	41112 31232	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aTBNT
139	41112 31244	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT|aCGEN
140	41112 31245	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2aLWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT
141	41112 31246	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT|aLHND
142	41112 31261	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aRPLT
143	41112 31263	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aBELT
144	41112 31265	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aLHND
145	41112 31266	3	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aBEXP
146	41412 31212	1	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aTBNT
147	41412 31222	1	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aTBNT
148	41412 31232	1	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aTBNT
149	41412 31261	1	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aRPLT
150	41412 31263	1	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aBELT
151	41112 31243	3	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT|aERES
152	41112 31262	3	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aTBNT
153	41412 31243	1	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BBNT|aERES
154	41412 31262	1	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9DUST|aTBNT
155	42336 22352	4	 * 	252.05	DCR|3VULN|1TLV|3CDMG|2ASPD|1AART	138VULN|2ERES|478CDMG|5AART|68ASPD|8BPWR|9RCR|aTLV
156	62125 32631	3	   	252.02	DCR|4VULN|2DUR|1TLV	1FEWX|2348VULN|5RPLT|6RCR|7aDUR|9TLV
157	62125 32631	5	   	252.02	DCR|4VULN|2DUR|1TLV	1FEWX|2358VULN|4RPLT|6RCR|7aDUR|9TLV
158	62126 32631	4	   	252.02	DCR|4VULN|2DUR|1TLV	1FEWX|2358VULN|4RPLT|6RCR|7aDUR|9TLV
159	62143 21116	9	   	252.02	DCR|4VULN|2DUR|1TLV	15FEWX|2346VULN|79DUR|8RCR|aTLV
160	22153 15253	7	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|239aVULN|4LHND|56DUR|7TLV|8RCR
161	22125 32631	5	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|2358VULN|4RPLT|6RCR|7aDUR|9TLV
162	22126 32631	4	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|2358VULN|4RPLT|6RCR|7aDUR|9TLV
163	22135 15512	10	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|2389VULN|4LWND|56DUR|7TLV|aRCR
164	22153 15512	10	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|2389VULN|4LHND|56DUR|7TLV|aRCR
165	22135 15533	9	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|238aVULN|4LWND|56DUR|7TLV|9RCR
166	22153 15533	9	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|238aVULN|4LHND|56DUR|7TLV|9RCR
167	41126 32231	4	   	251.83	DCR|4VULN|2DUR|2ASPD|1AART	135aVULN|2LWND|4RPLT|6RCR|7aDUR|8aASPD|9AART|aBPWR
168	42331 36413	9	   	251.23	DCR|4VULN|2TLV|1CDMG	1389VULN|29ERES|4CDMG|5MLV|69TLV|7RCR|9BPWR|aASPD
169	42335 12432	8	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	13VULN|2ERES|4CDMG|5DUR|6LIT|79DMG|8TLV|aRCR
170	42286 31241	1	   	251.10	DCR|3VULN|2DMG|1DUR|2LIT	19aVULN|2LHND|3MBVNT|4aDMG|5ASPD|6RCR|7DUR|8aLIT|aBPWR
171	41122 42234	3	   	251.08	DCR|5VULN|2DMG	13469VULN|24LWND|4BPWR|5LHND|7aDMG|8RCR
172	41126 12224	3	   	251.01	DCR|4VULN|1TLV|1DMG|1AART	1347VULN|24LWND|4BPWR|5AART|6DMG|8RCR|9RCVC|aTLV
173	41126 12242	3	   	251.01	DCR|4VULN|1TLV|1DMG|1AART	1347VULN|24LWND|4BPWR|5AART|6DMG|8RCR|9TLV|aMLV
