0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65111 34284	7	 * 	293.34	DCR|4VULN|3DMG|1TLV|1DUR	149DMG|2489VULN|3MBVNT|49BPWR|5DUR|6TLV|79DUST|aRCR
39	24232 16315	2	   	276.02	DCR|4VULN|2DMG|2DUR	1267VULN|34DUR|5LHND|89DMG|aRCR
40	62142 23262	10	   	275.97	DCR|3VULN|3DMG|2ASPD|1DUR	148DMG|2RCVC|348VULN|48BPWR|5CGEN|6ZMB|78ASPD|9RCR|aDUR
41	33312 33663	3	   	275.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1LIT|29DMG|3ASPD|4CDMG|5BELT|69VULN|7TLV|89DUR|9BPWR|aRCR
42	62111 33523	10	   	275.12	DCR|3VULN|3DUR|2DMG	18DMG|2RCVC|378VULN|458DUR|6RMIN|8BPWR|9LIT|aRCR
43	66111 33523	10	   	275.12	DCR|3VULN|3DUR|2DMG	18DMG|2DMSP|378VULN|458DUR|6RMIN|8BPWR|9LIT|aRCR
44	65114 13472	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|246aVULN|3MBVNT|4BPWR|5RMIN|7RCR|8CDMG|9DUR
45	65114 84432	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	14DMG|249aVULN|3MBVNT|4BPWR|5RMIN|6CDMG|7RCR|8DUR
46	54111 22523	10	   	275.02	DCR|3VULN|3DUR|2DMG	145DUR|247VULN|3RMIN|4BPWR|68DMG|9LIT|aRCR
47	62143 43222	4	 * 	274.52	DCR|3VULN|3DMG|3TLV|1DUR	145DMG|2RCVC|345VULN|45BPWR|678TLV|9DUR|aRCR
48	65111 33384	6	   	274.42	DCR|3VULN|3DMG|2TLV|1DUR	149DMG|249VULN|3MBVNT|49BPWR|5DUR|67TLV|89DUST|aRCR
49	22312 56533	6	   	274.02	DCR|3VULN|3DMG|2LIT|1ASPD|1AART	179VULN|24LWND|347DMG|47BPWR|5AART|67LIT|8RCR|aASPD
50	22312 56533	5	   	274.02	DCR|3VULN|3DMG|2LIT|1ASPD|1AART	179VULN|24LWND|347DMG|47BPWR|5AART|67LIT|8RCR|aASPD
51	36355 23123	9	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	18LIT|2BELT|3BEXP|4568VULN|78DMG|8BPWR|9RCR|aCDMG
52	15211 15251	4	 * 	273.47	DCR|4VULN|2ASPD|1DMG|1DUR	1MLV|2468VULN|34ASPD|4BPWR|5DUR|7LIT|9RCR|aDMG
53	26353 24332	2	 * 	273.00	DCR|5VULN|3CDMG|1DMG|1SELL	13579VULN|2SELL|457CDMG|57BPWR|6BBNT|8DMG|aRCR
54	24241 26313	9	 * 	272.87	DCR|5VULN|2DUR|2LIT	1235aVULN|3aBPWR|4aDUR|6ZMB|7ERES|8aLIT|9RCR
55	65311 36323	6	   	272.44	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR|1ASPD	1DMG|24aVULN|34LHND|4aBPWR|5DUR|6aTLV|7ASPD|8RCR|9aCDMG
56	25122 56313	1	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	156aVULN|2RPLT|3TLV|4aDMG|7RCR|8AART|9aERES|aBPWR
57	62143 13632	4	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|2RCVC|345VULN|45BPWR|6TBNT|7TLV|8DUR|9LWND|aRCR
58	62143 23632	4	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|2RCVC|345VULN|45BPWR|6BBNT|7TLV|8DUR|9LWND|aRCR
59	65112 21334	5	   	270.71	DCR|4VULN|3DMG|1AART	14aDMG|246aVULN|3MBVNT|4aBPWR|5AART|7aZMB|8RCR|9RMIN
60	65112 34344	6	   	270.71	DCR|4VULN|3DMG|1AART	14aDMG|248aVULN|3MBVNT|4aBPWR|5AART|6aLWND|7RCVC|9RCR
61	65112 34344	7	   	270.71	DCR|4VULN|3DMG|1AART	14aDMG|248aVULN|3MBVNT|4aBPWR|5AART|67aLWND|9RCR
62	65112 34544	8	   	270.71	DCR|4VULN|3DMG|1AART	14aDMG|248aVULN|3MBVNT|4aBPWR|5AART|67aLWND|9RCR
63	65112 44344	5	   	270.71	DCR|4VULN|3DMG|1AART	14aDMG|248aVULN|3MBVNT|4aBPWR|5AART|6aLWND|7RCVC|9RCR
64	65116 43344	7	   	270.71	DCR|4VULN|3DMG|1AART	14aDMG|248aVULN|3MBVNT|4aBPWR|5DMSP|6AART|7aLWND|9RCR
65	65142 47344	3	   	270.71	DCR|4VULN|3DMG|1AART	17aDMG|246aVULN|3MBVNT|56aLWND|6aBPWR|8AART|9RCR
66	65111 32418	10	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	14aDMG|248VULN|3MBVNT|4BPWR|5DUR|6TLV|7MLV|9RCR
67	21316 65323	8	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	168VULN|246DUST|345DMG|46BPWR|7RCR|9TLV|aDUR
68	15631 53323	4	   	270.07	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	13MLV|23aVULN|3aBPWR|4ASPD|5DUR|6aDMG|7LHND|8RCR|9aCDMG
69	62121 23223	9	   	269.87	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	18DMG|2RCVC|358VULN|4TLV|6ZMB|78ASPD|8BPWR|9AART|aRCR
70	66121 23223	9	   	269.87	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	18DMG|2DMSP|358VULN|4TLV|6ZMB|78ASPD|8BPWR|9AART|aRCR
71	24241 52323	10	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1235VULN|3BPWR|4DUR|6AART|7TLV|8LHND|9RCR|aDMG
72	33111 11246	6	   	269.75	DCR|4VULN|2DMG|1TLV	1LIT|25DMG|3TLV|4RCVC|689aVULN|7RCR
73	65111 21623	6	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|24aVULN|3MBVNT|4BPWR|59DUR|6LWND|7RCR|8TLV
74	24233 26315	2	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|34DUR|5TLV|6MLV|89DMG|aRCR
75	65111 33418	10	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|248VULN|3MBVNT|4BPWR|5aDUR|6TLV|7RMIN|9RCR
76	51634 21323	5	   	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1aDUR|2DUST|3aDMG|4TLV|5ZMB|68aVULN|7RCR|9SELL|aBPWR
77	51634 31323	6	   	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1aDUR|2DUST|3aDMG|4TLV|5ZMB|68aVULN|7RCR|9SELL|aBPWR
78	65112 21324	5	   	269.28	DCR|3VULN|3DMG|2ASPD|1AART	14aDMG|246VULN|3MBVNT|4aBPWR|5AART|7aZMB|8RCR|9aASPD
79	65112 62334	6	   	269.28	DCR|3VULN|3DMG|2ASPD|1AART	14aDMG|24aVULN|3MBVNT|4aBPWR|5AART|6aASPD|7RCVC|8RCR|9RMIN
80	65112 41534	9	   	269.28	DCR|3VULN|3DMG|2ASPD|1AART	14aDMG|24aVULN|3MBVNT|4aBPWR|5AART|6RMIN|7RCR|8aASPD|9RCVC
81	65112 41544	8	   	269.28	DCR|3VULN|3DMG|2ASPD|1AART	14aDMG|24aVULN|3MBVNT|4aBPWR|5AART|69RMIN|7RCR|8aASPD
82	65112 41624	8	   	269.28	DCR|3VULN|3DMG|2ASPD|1AART	14aDMG|24aVULN|3MBVNT|4aBPWR|5AART|68RMIN|7RCR|9aASPD
83	22311 53242	8	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	18aVULN|24LWND|34DMG|4BPWR|5DUR|6CDMG|7TLV|9RCR
84	23311 52242	8	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	18aVULN|24LHND|34DMG|4BPWR|5DUR|6CDMG|7TLV|9RCR
85	65111 32418	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|248VULN|3MBVNT|4BPWR|5DUR|6TLV|7MLV|9RCR|aCDMG
86	65111 33413	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|248VULN|3MBVNT|4BPWR|5DUR|6TLV|7RMIN|9RCR|aCDMG
87	65113 13283	5	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|246VULN|3MBVNT|4BPWR|5CGEN|7RCR|8TLV|9DUR|aCDMG
88	65113 43283	6	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|246VULN|3MBVNT|4BPWR|5CGEN|7RCR|8TLV|9DUR|aCDMG
89	65113 45413	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|246VULN|3MBVNT|4BPWR|5CGEN|7TLV|8DUR|9RCR|aCDMG
90	65114 13283	4	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|246VULN|3MBVNT|4BPWR|5RMIN|7RCR|8TLV|9DUR|aCDMG
91	21311 35242	8	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	18aVULN|24DUST|34DMG|4BPWR|5DUR|6TLV|7CDMG|9RCR
92	21311 52242	8	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	18aVULN|24DUST|34DMG|4BPWR|5DUR|6CDMG|7TLV|9RCR
93	34312 33663	3	 * 	268.51	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1LIT|29ASPD|3DMG|4CDMG|5BELT|69VULN|7TLV|89DUR|9BPWR|aRCR
94	54112 33225	8	   	268.15	DCR|4VULN|3DUR|1TLV	148DUR|2478VULN|3RMIN|48BPWR|568CGEN|9TLV|aRCR
95	65111 42263	8	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	146DMG|24aVULN|3MBVNT|4BPWR|5DUR|7RMIN|8CDMG|9RCR
96	65117 13443	7	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	145DMG|24aVULN|3MBVNT|4BPWR|6RMIN|7CDMG|8RCR|9DUR
97	65117 32243	8	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	145DMG|24aVULN|3MBVNT|4BPWR|6RCR|7RMIN|8CDMG|9DUR
98	65117 33133	9	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	145DMG|24aVULN|3MBVNT|4BPWR|6RCR|7FEWX|8CDMG|9TLV
99	23312 56533	6	 * 	268.03	DCR|3VULN|3DMG|3LIT|1AART	179VULN|24LHND|347DMG|47BPWR|5AART|67aLIT|8RCR
100	23312 56533	5	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	179VULN|24LHND|347DMG|47BPWR|5AART|67aLIT|8RCR
101	62142 23261	9	   	268.02	DCR|3VULN|3DMG|2ASPD	148DMG|2RCVC|348VULN|48BPWR|5CGEN|6ZMB|78ASPD|9RCR|aLIT
102	65111 13263	8	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	147DMG|24aVULN|3MBVNT|4BPWR|5DUR|6ERES|8CDMG|9RCR
103	65111 41263	8	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	146DMG|24aVULN|3MBVNT|4BPWR|5DUR|7ERES|8CDMG|9RCR
104	65117 31243	8	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	145DMG|24aVULN|3MBVNT|4BPWR|6RCR|7ERES|8CDMG|9DUR
105	33145 12613	7	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	18LIT|28DMG|3TLV|4AART|57DUR|68VULN|8BPWR|9RCR|aCGEN
106	33145 12611	7	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	18LIT|28DMG|3TLV|4AART|57DUR|68VULN|8BPWR|9RCR|aERES
107	22332 43542	6	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|2LWND|38DMG|45CGEN|6CDMG|78DUR|8BPWR|9RCR
108	22332 43542	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|2LWND|38DMG|45CGEN|6CDMG|78DUR|8BPWR|9RCR
109	23332 43542	6	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|2LHND|38DMG|45CGEN|6CDMG|78DUR|8BPWR|9RCR
110	15241 33612	10	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	1MLV|2aVULN|3ASPD|4CGEN|58aDUR|6TLV|7aDMG|9RCR|aBPWR
111	21223 53542	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|2DUST|38DUR|45CGEN|6CDMG|78DMG|8BPWR|9RCR
112	21332 43542	6	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|2DUST|38DMG|45CGEN|6CDMG|78DUR|8BPWR|9RCR
113	22331 53541	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	168VULN|2LWND|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR|aERES
114	23331 53541	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	168VULN|2LHND|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR|aERES
115	65111 43136	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	14DMG|246VULN|3MBVNT|46BPWR|56DUR|7LHND|8BELT|9CDMG|aRCR
116	21221 53542	7	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|25DUST|38DUR|4CGEN|6CDMG|78DMG|8BPWR|9RCR
117	21331 23542	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|26DUST|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR
118	21331 53541	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	168VULN|2DUST|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR|aERES
119	65111 21383	6	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	14DMG|248VULN|3MBVNT|4BPWR|59DUR|6LWND|7RCR|aCDMG
120	65511 21323	6	   	266.96	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1DMG|28aVULN|3ASPD|4MLV|5aDUR|6LWND|7RCR|9aCDMG|aBPWR
121	54111 23621	10	   	266.91	DCR|3VULN|3DUR|2DMG	145DUR|24aVULN|3RMIN|4aBPWR|6aDMG|7aZMB|8RCR|9RCVC
122	22223 25652	6	   	266.81	DCR|3VULN|3DUR|2DMG	19aVULN|2LWND|379DUR|4CGEN|5FEWX|6RCR|89DMG|9BPWR
123	62111 33561	10	   	266.81	DCR|3VULN|3DUR|2DMG	18DMG|2RCVC|378VULN|458DUR|6RMIN|8BPWR|9CGEN|aRCR
124	62111 33551	10	   	266.71	DCR|3VULN|3DUR|2DMG	18DMG|2RCVC|378VULN|458DUR|6RMIN|8BPWR|9ERES|aRCR
125	22221 25652	6	   	266.71	DCR|3VULN|3DUR|2DMG	19aVULN|2LWND|379DUR|4CGEN|5DUST|6RCR|89DMG|9BPWR
126	54111 31164	8	   	266.61	DCR|3VULN|3DUR|2DMG	145DUR|249VULN|3RMIN|49BPWR|6MBVNT|79ERES|89DMG|aRCR
127	62121 16215	4	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	19DMG|2RCVC|367VULN|4TLV|5DUR|8ASPD|aRCR
128	65111 32413	10	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	14DMG|248VULN|3MBVNT|4BPWR|5DUR|6TLV|7MLV|9RCR|aASPD
129	55531 12123	9	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1aDUR|2CDMG|34aVULN|5RMIN|6RCR|7TLV|8DMG|9aLHND|aBPWR
130	65112 21325	5	   	265.85	DCR|4VULN|2DMG|1ASPD|1AART	14DMG|246aVULN|3MBVNT|4BPWR|5AART|7ZMB|8RCR|9ASPD
131	24113 36223	2	   	265.82	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	128VULN|38TLV|4BBNT|5TBNT|68DMG|7RCR|8BPWR|9AART|aCDMG
132	24133 36223	2	   	265.82	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	128VULN|38TLV|4TBNT|5BBNT|68DMG|7RCR|8BPWR|9AART|aCDMG
133	36231 53226	7	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1LIT|2BELT|3TLV|468aVULN|5CDMG|7DMG|9RCR
134	22341 53342	3	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16aVULN|2LWND|3DMG|4TLV|5CDMG|78DUR|9RCR
135	23341 53342	3	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16aVULN|2LHND|3DMG|4TLV|5CDMG|78DUR|9RCR
136	54111 22241	10	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	145DUR|247VULN|3RMIN|4BPWR|6DMG|8TLV|9RCVC|aRCR
137	21316 65321	8	   	265.36	DCR|3VULN|3DMG|1TLV|1ASPD	168VULN|246DUST|345DMG|46BPWR|7RCR|9TLV|aASPD
138	21316 65333	10	   	265.36	DCR|3VULN|3DMG|1DUR|1ASPD	168VULN|246DUST|345DMG|46BPWR|7RCR|9ASPD|aDUR
139	22333 36265	4	   	265.35	DCR|4VULN|2DMG|2TLV	1689VULN|29LWND|37DMG|4CGEN|59TLV|9BPWR|aRCR
140	54111 33142	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	145DUR|24aVULN|3RMIN|4BPWR|6MBVNT|7TLV|8DMG|9RCR
141	54111 33148	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	145DUR|24aVULN|3RMIN|4BPWR|6MBVNT|7TLV|8DMG|9RCR
142	54111 33184	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	145DUR|249VULN|3RMIN|4BPWR|6MBVNT|7TLV|8DMG|aRCR
143	24113 36242	2	   	265.15	DCR|4VULN|2DMG|2TLV	128aVULN|38TLV|4BBNT|5TBNT|68DMG|7RCR|8BPWR|9FEWX
144	24113 36251	2	   	265.15	DCR|4VULN|2DMG|2TLV	1289VULN|38TLV|4BBNT|5TBNT|68DMG|7RCR|8BPWR|aFEWX
145	24113 36252	2	   	265.15	DCR|4VULN|2DMG|2TLV	1289VULN|38TLV|4BBNT|5TBNT|68DMG|7RCR|8BPWR|aZMB
146	24133 36242	2	   	265.15	DCR|4VULN|2DMG|2TLV	128aVULN|38TLV|4TBNT|5BBNT|68DMG|7RCR|8BPWR|9FEWX
147	24133 36251	2	   	265.15	DCR|4VULN|2DMG|2TLV	1289VULN|38TLV|4TBNT|5BBNT|68DMG|7RCR|8BPWR|aFEWX
148	24133 36252	2	   	265.15	DCR|4VULN|2DMG|2TLV	1289VULN|38TLV|4TBNT|5BBNT|68DMG|7RCR|8BPWR|aZMB
149	65113 13632	5	   	264.73	DCR|5VULN|2DMG	14DMG|2469aVULN|3MBVNT|4BPWR|5CGEN|7RCR|8RPLT
150	65113 43632	6	   	264.73	DCR|5VULN|2DMG	14DMG|2469aVULN|3MBVNT|4BPWR|5CGEN|7RCR|8RPLT
151	65114 13632	4	   	264.73	DCR|5VULN|2DMG	14DMG|2469aVULN|3MBVNT|4BPWR|5RMIN|7RCR|8RPLT
152	33331 36251	3	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|2aDMG|3ASPD|4BEXP|5678VULN|9RCR
153	33361 36251	4	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|2aDMG|3ASPD|4LHND|5678VULN|9RCR
154	34331 36251	3	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|2ASPD|3aDMG|4BEXP|5678VULN|9RCR
155	24255 21231	4	   	264.50	DCR|4VULN|2DMG|1ASPD	1238VULN|3BPWR|4ASPD|5LIT|6aDMG|7RCR|9BEXP
156	33311 11246	6	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|25DMG|3ASPD|4RCVC|689aVULN|7RCR
157	33341 11246	6	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|25DMG|3ASPD|4DMSP|689aVULN|7RCR
158	34311 11246	6	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|2ASPD|35DMG|4RCVC|689aVULN|7RCR
159	24255 21221	4	   	264.40	DCR|4VULN|2DMG|1ASPD	1238VULN|3BPWR|4ASPD|5LIT|6aDMG|7RCR|9DUST
160	62143 33251	4	   	264.21	DCR|3VULN|3DMG|1TLV|1AART	145DMG|2RCVC|345VULN|45BPWR|6ERES|7TLV|8AART|9RCR|aBEXP
161	62143 33252	4	   	264.21	DCR|3VULN|3DMG|1TLV|1AART	145DMG|2RCVC|345VULN|45BPWR|6ERES|7TLV|8AART|9RCR|aCGEN
162	62143 33253	4	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|2RCVC|345VULN|45BPWR|6ERES|7TLV|8AART|9RCR|aDUST
163	65112 24824	5	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	147DMG|246VULN|3MBVNT|4BPWR|5AART|8TLV|9LWND|aRCR
164	65117 43444	9	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	145DMG|246VULN|3MBVNT|4BPWR|7TLV|8LWND|9AART|aRCR
165	33141 21614	4	   	263.52	DCR|3VULN|2DMG|1TLV|2LIT|1AART	18LIT|28DMG|3TLV|4AART|5LWND|6DMSP|78aVULN|8BPWR|9RCR
