0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12614 16232	8	 * 	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1CDMG|2357VULN|45aDUR|5BPWR|69DMG|8RCR
18	12614 16232	10	   	283.19	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|9ASPD|aBEXP
19	12614 16233	10	   	283.19	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|9ASPD|aFEWX
20	12614 13431	9	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2358VULN|45DUR|5BPWR|6DMG|7MBVNT|9ASPD|aRCR
21	12614 13461	8	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2358VULN|45DUR|5BPWR|6DMG|7MBVNT|9ASPD|aRCR
22	12614 16232	9	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|9ASPD|aBBNT
23	12614 16233	9	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|9ASPD|aMBVNT
24	22325 21251	1	   	283.06	DCR|3VULN|3DMG|1TLV|2LIT|1CDMG	129VULN|3CDMG|4TBNT|59LIT|6RCR|789DMG|9BPWR|aTLV
25	32674 33521	1	 * 	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	167DUR|29VULN|3MBVNT|479DMG|579CDMG|79BPWR|8RCR|aRCVC
26	32674 33523	1	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	167DUR|29VULN|3MBVNT|479DMG|579CDMG|79BPWR|8RCR|aLHND
27	12531 33521	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aRCVC
28	12531 33523	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aLHND
29	12531 33525	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aLWND
30	12531 33527	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aRPLT
31	12561 33221	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aRCVC
32	12561 33223	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aLHND
33	12561 33224	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aLWND
34	12561 33226	2	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aRPLT
35	15531 33521	1	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aRCVC
36	15531 33523	1	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aLHND
37	15561 33221	1	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aRCVC
38	15561 33223	1	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aLHND
39	32674 33522	1	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	167DUR|29VULN|3MBVNT|479DMG|579CDMG|79BPWR|8RCR|aTBNT
40	32674 33524	1	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	167DUR|29VULN|3MBVNT|479DMG|579CDMG|79BPWR|8RCR|aERES
41	12531 33522	2	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aTBNT
42	12531 33524	2	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aERES
43	12531 33528	2	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aDUST
44	12561 33222	2	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aTBNT
45	15531 33522	1	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aTBNT
46	15531 33524	1	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4MBVNT|567DUR|79BPWR|8RCR|aERES
47	15561 33222	1	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|29VULN|379DMG|4LEGI|567DUR|79BPWR|8RCR|aTBNT
48	22141 34613	9	 * 	281.08	DCR|5VULN|2DMG|1TLV	1459aVULN|2TLV|3LEGI|6aZMB|7RCR|8aDMG|aBPWR
49	22152 31235	1	 * 	280.91	DCR|4VULN|3DMG|2CDMG	127aVULN|3CGEN|4BBNT|59aDMG|6RCR|8aCDMG|aBPWR
50	12611 26262	9	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1CDMG|237VULN|49aDUR|56DMG|8RCR
51	22325 21553	1	   	280.11	DCR|4VULN|2DMG|2CDMG|2LIT	1289VULN|3aCDMG|4TBNT|59LIT|6RCR|79DMG|9BPWR
52	12611 26235	9	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|237VULN|4DUR|56DMG|8RCR|9ASPD|aTLV
53	33336 21331	10	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1DUR|2CGEN|3TLV|45789VULN|6DMG|aRCR
54	22461 11331	10	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	15789VULN|2TLV|3DMG|4CGEN|6DUR|aRCR
55	12611 26234	10	   	279.11	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1CDMG|237VULN|4DUR|56aDMG|8RCR|9ASPD
56	32423 31141	10	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	19DUR|29TLV|3DMG|4RPLT|5LHND|689aVULN|7RCR|9BPWR
57	32432 31141	10	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	19DUR|29TLV|3DMG|4LHND|5RPLT|689aVULN|7RCR|9BPWR
58	26674 33222	1	   	278.44	DCR|2VULN|3DMG|2DUR|2CDMG|1TLV	17VULN|26DUR|3MBVNT|479DMG|57CDMG|7BPWR|8TLV|aRCR
59	12614 16223	8	   	278.26	DCR|4VULN|2DUR|1DMG|2CDMG|1SELL	19CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|aSELL
60	22436 63112	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2TLV|3aDMG|4LHND|6RCR|7LIT|8RPLT|9aDUR|aBPWR
61	23413 65311	7	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|2CGEN|38DMG|4LIT|5TLV|6RCR|78DUR|8BPWR|9ERES
62	12611 26261	10	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1CDMG|237VULN|49DUR|56DMG|8RCR|aASPD
63	22232 63121	1	   	277.98	DCR|5VULN|2DUR|1DMG	12569VULN|3RCVC|46DUR|6BPWR|7BBNT|8RCR|aDMG
64	33316 62362	6	   	277.92	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	18DUR|2CGEN|38TLV|4LIT|5DMG|6RCR|78aVULN|8BPWR|9CDMG
65	12611 26261	9	   	276.69	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|237VULN|49DUR|56DMG|8RCR|aAART
66	12611 26262	10	   	275.34	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|237VULN|49DUR|56DMG|8RCR|aLIT
67	33316 62351	6	   	275.27	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	18DUR|2CGEN|38TLV|4LIT|5DMG|6RCR|78aVULN|8BPWR|9ASPD
68	12624 16232	8	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1CDMG|2357VULN|45LHND|5BPWR|69DMG|8RCR|aDUR
69	12613 23422	6	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	19CDMG|239VULN|4DUR|58CGEN|679DMG|9BPWR|aRCR
70	22234 55321	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	169VULN|2TLV|38RCVC|479DMG|59CDMG|9BPWR|aRCR
71	22252 34235	3	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	17aVULN|2TLV|3RCVC|4BBNT|59aDMG|6RCR|8aCDMG|aBPWR
72	22662 33423	1	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	127VULN|379DMG|4DUR|5BEXP|67CDMG|7BPWR|8ERES|aRCR
73	22325 21551	1	   	273.80	DCR|4VULN|2DMG|2LIT|1CDMG	1289VULN|3CDMG|4TBNT|59LIT|6RCR|79DMG|9BPWR|aCGEN
74	12611 26222	8	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|237VULN|4aDUR|56DMG|8RCR
75	12611 26242	9	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|237VULN|4aDUR|56DMG|8RCR
76	26412 11263	7	   	273.01	DCR|4VULN|3DUR|2ASPD	1378VULN|2BELT|468DUR|58ASPD|8BPWR|9RCR|aLHND
