0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42341 22631	7	 * 	299.45	DCR|4VULN|3DMG|1DUR|1CDMG	178CGEN|2378VULN|4LIT|5CDMG|678DMG|78BPWR|9DUR|aRCR
18	26235 33333	7	   	288.89	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	128aVULN|38LWND|4DUR|5ASPD|6RCR|78DMG|8BPWR|9TLV
19	53244 44642	4	 * 	288.75	DCR|5VULN|3ASPD|2DUR	1MBVNT|2458aVULN|347ASPD|48BPWR|68DUR|9RCR
20	53246 14642	6	   	288.75	DCR|5VULN|3ASPD|2DUR	1MBVNT|2458aVULN|347ASPD|48BPWR|68DUR|9RCR
21	53246 44642	5	   	288.75	DCR|5VULN|3ASPD|2DUR	1MBVNT|2458aVULN|347ASPD|48BPWR|68DUR|9RCR
22	53831 21623	9	 * 	288.01	DCR|4VULN|3DUR|3LIT|1TLV	1MBVNT|2578VULN|3RPLT|478LIT|678DUR|78BPWR|9TLV|aRCR
23	24211 33323	7	 * 	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	18aVULN|289DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR
24	66211 33323	7	   	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	189DUR|28aVULN|34ASPD|5DUST|6RCR|78DMG|8BPWR
25	53242 12448	2	   	287.53	DCR|5VULN|2DUR|2ASPD	1MBVNT|2348aVULN|3aBPWR|5LIT|6aASPD|7aDUR|9RCR
26	51448 33448	3	   	286.20	DCR|5VULN|3DUR|2LIT	1MBVNT|2RMIN|35aDUR|4578aVULN|5aBPWR|6aLIT|9RCR
27	51453 33336	7	   	285.79	DCR|4VULN|2DMG|2DUR	1MBVNT|2RMIN|38DUR|4589VULN|6RCR|78DMG|8BPWR|aAART
28	61613 42212	8	   	285.79	DCR|4VULN|2DMG|2DUR	16DUR|2BEXP|3AART|48DMG|567aVULN|6BPWR|9RCR
29	53242 53136	9	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1MBVNT|249aVULN|34aASPD|4aBPWR|5ERES|6RCR|7TLV|8aDUR
30	53242 53138	10	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1MBVNT|249aVULN|34aASPD|4aBPWR|5ERES|6RCR|7TLV|8aDUR
31	53244 44645	4	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1MBVNT|2458VULN|347ASPD|48BPWR|68DUR|9RCR|aTLV
32	24633 23235	7	   	285.31	DCR|4VULN|3DUR|1DMG|1CDMG	1568VULN|234DUR|7CDMG|9DMG|aRCR
33	14613 41231	8	   	285.05	DCR|4VULN|2DMG|1DUR|1CDMG	167FEWX|2DUR|3AART|47DMG|5679VULN|67BPWR|8CDMG|aRCR
34	26334 63311	7	   	284.99	DCR|5VULN|3DUR|1CDMG	12358VULN|48BEXP|6RCR|78aDUR|8BPWR|9CDMG
35	53483 33338	7	 * 	284.79	DCR|5VULN|2DMG|2TLV	1MBVNT|2589aVULN|3FEWX|48TLV|6RCR|78DMG|8BPWR
36	66211 33335	7	   	284.36	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|289VULN|34ASPD|5DUST|6RCR|78DMG|8BPWR|aAART
37	24211 33335	7	   	284.36	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|28DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR|aAART
38	53243 53448	3	   	283.87	DCR|5VULN|2DUR|2LIT|1ASPD	1MBVNT|2678aVULN|3ASPD|4aLIT|5aDUR|9RCR|aBPWR
39	53284 12448	5	   	283.87	DCR|5VULN|2DUR|2LIT|1ASPD	1MBVNT|2568aVULN|3ASPD|4aLIT|7aDUR|9RCR|aBPWR
40	53284 33448	6	   	283.87	DCR|5VULN|2DUR|2LIT|1ASPD	1MBVNT|2578aVULN|3ASPD|4aLIT|6aDUR|9RCR|aBPWR
41	53246 64322	9	   	282.99	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aLIT
42	53246 64324	10	   	282.99	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aLIT
43	23133 43633	9	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	169VULN|2BELT|349DUR|5LEGI|7RCR|89DMG|9BPWR|aTLV
44	21434 32631	1	 * 	282.92	DCR|3VULN|3DMG|2CDMG|1DUR	148VULN|248DMG|3DMSP|48BPWR|5LIT|6ERES|78CDMG|9DUR|aRCR
45	53831 21613	8	   	282.77	DCR|4VULN|3DUR|3LIT|1ASPD	1MBVNT|2578VULN|3RPLT|478LIT|678DUR|78BPWR|9ASPD|aRCR
46	53831 21633	9	   	282.77	DCR|4VULN|3DUR|3LIT|1ASPD	1MBVNT|2578VULN|3RPLT|478LIT|678DUR|78BPWR|9ASPD|aRCR
47	24225 33333	7	 * 	282.75	DCR|4VULN|2DMG|2ASPD|1DUR|1NUKE	189aVULN|2DUR|38ASPD|4RMIN|58DMG|6RCR|7NUKE|8BPWR
48	53281 47432	10	   	282.52	DCR|4VULN|3DUR|3LIT|1ASPD|1SELL	1MBVNT|279aVULN|3ASPD|479LIT|579DUR|6SELL|79BPWR|8RCR
49	51453 33354	7	   	282.36	DCR|3VULN|3DMG|3DUR	1MBVNT|2RMIN|38aDUR|458VULN|6RCR|789DMG|8BPWR
50	26433 42231	3	   	280.98	DCR|5VULN|2DMG|1DUR	12467VULN|34DMG|4BPWR|5DUR|8LWND|9ERES|aRCR
51	26433 42131	3	   	280.88	DCR|5VULN|2DMG|1DUR	12467VULN|34DMG|4BPWR|5DUR|8DUST|9ERES|aRCR
52	66263 33333	7	   	280.84	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DUR|28aVULN|3ASPD|45LHND|6RCR|78DMG|8BPWR|9TLV
53	24263 33333	7	   	280.84	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18aVULN|28DUR|3ASPD|45LHND|6RCR|78DMG|8BPWR|9TLV
54	26235 33331	7	   	280.84	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	128VULN|38LWND|4aDUR|5ASPD|6RCR|78DMG|8BPWR|9TLV
55	21112 42635	1	 * 	280.48	DCR|5VULN|3DMG	14789VULN|259DMG|3TBNT|69MLV|9BPWR|aRCR
56	23615 13331	10	   	280.44	DCR|3VULN|3DMG|2DUR|1ASPD	19aVULN|2BELT|39aCGEN|45DUR|6ASPD|7RCR|89aDMG|9aBPWR
57	51453 33323	7	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|2RMIN|389DUR|458VULN|6RCR|78DMG|8BPWR|aCDMG
58	25235 33335	7	 * 	280.27	DCR|3VULN|2DMG|2ASPD|2TLV|1DUR|1NUKE	18aVULN|28MLV|3aASPD|4DUR|58DMG|6RCR|7NUKE|8aBPWR|9aTLV
59	23215 13331	10	   	280.14	DCR|3VULN|3DMG|2DUR|1ASPD	19aVULN|2BELT|39aERES|45DUR|6ASPD|7RCR|89aDMG|9aBPWR
60	53281 47432	9	 * 	279.94	DCR|3VULN|3DUR|3LIT|1DMG|1ASPD|1SELL	1MBVNT|279VULN|3ASPD|479LIT|579DUR|6SELL|79BPWR|8RCR|aDMG
61	24242 12531	8	 * 	279.75	DCR|4VULN|2DUR|2ASPD|2TLV	1789VULN|25DUR|37ASPD|47TLV|6RPLT|7BPWR|aRCR
62	26133 41533	2	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1236aVULN|4TLV|5DUR|7BEXP|8RCR|9DMG
63	26333 41533	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1236aVULN|4TLV|5DUR|7BEXP|8RCR|9DMG
64	51424 58434	9	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2RMIN|3aDUR|4TLV|59aVULN|6RCR|7aDMG|8AART|aBPWR
65	53223 31384	2	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|23aVULN|3aBPWR|4RMIN|5TLV|6aDMG|7aDUR|8RCR|9AART
66	53543 31384	2	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|24aVULN|3RMIN|5TLV|6aDMG|7aDUR|8RCR|9AART|aBPWR
67	53244 42582	4	   	279.33	DCR|5VULN|2DUR|2ASPD	1MBVNT|24579VULN|34ASPD|49BPWR|69DUR|89CGEN|aRCR
68	53244 42182	4	   	279.13	DCR|5VULN|2DUR|2ASPD	1MBVNT|24579VULN|34ASPD|49BPWR|69DUR|89ERES|aRCR
69	53246 12182	6	   	279.13	DCR|5VULN|2DUR|2ASPD	1MBVNT|24579VULN|34ASPD|49BPWR|69DUR|89ERES|aRCR
70	53246 42182	5	   	279.13	DCR|5VULN|2DUR|2ASPD	1MBVNT|24579VULN|34ASPD|49BPWR|69DUR|89ERES|aRCR
71	53483 33363	7	   	278.90	DCR|4VULN|2DMG|2TLV|1CDMG	1MBVNT|258aVULN|3FEWX|48TLV|6RCR|78DMG|8BPWR|9CDMG
72	53244 44641	4	   	278.87	DCR|4VULN|3ASPD|2DUR	1MBVNT|2458VULN|347ASPD|48BPWR|68DUR|9RCR|aAART
73	53246 14641	6	   	278.87	DCR|4VULN|3ASPD|2DUR	1MBVNT|2458VULN|347ASPD|48BPWR|68DUR|9RCR|aAART
74	53246 44641	5	   	278.87	DCR|4VULN|3ASPD|2DUR	1MBVNT|2458VULN|347ASPD|48BPWR|68DUR|9RCR|aAART
75	22265 34211	5	   	278.52	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	178VULN|2CDMG|3AART|47TLV|57DUR|6RCR|7BPWR|9ASPD|aLIT
76	53712 42743	10	 * 	278.40	DCR|4VULN|2DUR|1DMG|2CDMG|1NUKE	1MBVNT|2689VULN|38DUR|4NUKE|58CDMG|7RCR|8BPWR|aDMG
77	53131 44258	2	 * 	278.38	DCR|3VULN|2DMG|3CDMG|3TLV	1MBVNT|27aVULN|357CDMG|457TLV|57aBPWR|6AART|8aDMG|9RCR
78	53244 74273	4	 * 	277.98	DCR|5VULN|3ASPD|2CDMG	1MBVNT|2459aVULN|349ASPD|49BPWR|69CDMG|7RCVC|8RCR
79	53244 25273	4	   	277.98	DCR|5VULN|3ASPD|2CDMG	1MBVNT|2459aVULN|349ASPD|49BPWR|6DMSP|79CDMG|8RCR
80	53246 64112	10	   	277.98	DCR|5VULN|3ASPD|2CDMG	1MBVNT|24578VULN|347ASPD|47BPWR|67CDMG|9RCVC|aRCR
81	23115 13334	10	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|2BELT|359DUR|4CGEN|6ASPD|7RCR|89DMG|9BPWR
82	23115 13335	9	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|2BELT|359DUR|4CGEN|6ASPD|7RCR|89DMG|9BPWR
83	26535 23321	7	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	128VULN|3FEWX|489DUR|5ASPD|6BEXP|78DMG|8BPWR|aRCR
84	21214 66321	2	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	138VULN|23BEXP|38BPWR|489DUR|5DUST|6ASPD|78DMG|aRCR
85	23136 13334	10	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|2BELT|349DUR|5ERES|6ASPD|7RCR|89DMG|9BPWR
86	23136 13335	9	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|2BELT|349DUR|5ERES|6ASPD|7RCR|89DMG|9BPWR
87	24315 31161	10	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|28aDUR|3ERES|4ASPD|5aDMG|6RCR|7RCVC|aBPWR
88	23133 43631	9	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	169VULN|2BELT|349DUR|5LEGI|7RCR|89DMG|9BPWR|aASPD
89	24315 32161	10	   	277.61	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|28aDUR|37ERES|4ASPD|5aDMG|6RCR|aBPWR
90	53242 12648	2	   	277.51	DCR|4VULN|3ASPD|2DUR	1MBVNT|234aVULN|3aBPWR|5LIT|68aASPD|7aDUR|9RCR
91	63213 22663	1	   	277.51	DCR|4VULN|3DUR|1TLV	148DUR|2BBNT|3469VULN|4BPWR|5TLV|7AART|aRCR
92	26433 12632	10	   	277.49	DCR|4VULN|3DMG|1DUR	1289VULN|389DMG|4DUR|5ZMB|6RPLT|789MLV|89BPWR|aRCR
93	24225 32335	7	 * 	277.17	DCR|3VULN|2DUR|2ASPD|2TLV|1DMG	18aVULN|28DUR|3aASPD|4RMIN|5DMG|6RCR|78ERES|8aBPWR|9aTLV
94	24211 33345	7	 * 	277.09	DCR|2VULN|3DMG|2DUR|2ASPD|1CDMG	18VULN|28DUR|34ASPD|5DUST|6RCR|789DMG|8BPWR|aCDMG
95	26431 33432	8	   	276.99	DCR|4VULN|3DMG|1DUR	128aVULN|379DMG|4DUR|5DUST|6RCR
96	61613 41131	10	   	276.47	DCR|3VULN|3DUR|2DMG	167DUR|2BEXP|3AART|47DMG|567VULN|67BPWR|8ERES|9LWND|aRCR
97	24243 33433	7	   	276.46	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	18aVULN|2DUR|38ASPD|4TLV|5CGEN|6RCR|78DMG|8BPWR|9BEXP
98	61613 41121	10	   	276.37	DCR|3VULN|3DUR|2DMG	167DUR|2BEXP|3AART|47DMG|567VULN|67BPWR|8ERES|9DUST|aRCR
99	23136 12415	2	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	18aVULN|2BELT|38DMG|4DUR|5TLV|6TBNT|78ASPD|8BPWR|9RCR
100	24225 33332	7	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1NUKE	189VULN|2DUR|38ASPD|4RMIN|58DMG|6RCR|7NUKE|8BPWR|aTLV
101	53244 12145	7	 * 	276.32	DCR|4VULN|2DMG|3ASPD	1MBVNT|247aVULN|347ASPD|47aBPWR|57aCGEN|6RPLT|8RCR|9aDMG
102	21142 42215	1	   	276.22	DCR|4VULN|2DMG|2DUR	167aVULN|2aDMG|3TBNT|4aDUR|568LWND|6aBPWR|9RCR
103	21142 42262	1	   	276.22	DCR|4VULN|2DMG|2DUR	1679VULN|29DMG|3TBNT|49DUR|568LWND|69BPWR|aRCR
104	23135 43632	10	   	276.22	DCR|4VULN|2DMG|2DUR	169aVULN|2BELT|34DUR|59LWND|7RCR|89DMG|9BPWR
105	23324 43632	10	   	276.22	DCR|4VULN|2DMG|2DUR	169aVULN|2BELT|34LWND|59DUR|7RCR|89DMG|9BPWR
106	51453 33331	7	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|2RMIN|38DUR|4589VULN|6RCR|78DMG|8BPWR|aRPLT
107	51453 33335	7	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|2RMIN|38DUR|4589VULN|6RCR|78DMG|8BPWR|aLWND
108	51453 33344	8	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|2RMIN|39DUR|459aVULN|6RCR|79DMG|8BELT|9BPWR
109	23163 43632	10	   	276.12	DCR|4VULN|2DMG|2DUR	169aVULN|2BELT|39DUR|4RCVC|5LEGI|7RCR|89DMG|9BPWR
110	23353 33433	9	   	276.12	DCR|4VULN|2DMG|2DUR	1789VULN|2BELT|3LWND|4MBVNT|59DMG|69DUR|9BPWR|aRCR
111	23354 23433	9	   	276.12	DCR|4VULN|2DMG|2DUR	1789VULN|2BELT|3LWND|4MBVNT|59DUR|69DMG|9BPWR|aRCR
112	26431 33632	10	   	276.02	DCR|4VULN|2DMG|2DUR	129aVULN|37DMG|49DUR|59DUST|6RCR|8BELT|9BPWR
113	26432 12141	3	   	276.02	DCR|4VULN|2DMG|2DUR	1249VULN|34DMG|49BPWR|589ERES|69DUR|7RMIN|aRCR
114	26433 32141	3	   	276.02	DCR|4VULN|2DMG|2DUR	1249VULN|34DMG|49BPWR|59DUR|689ERES|7RMIN|aRCR
115	51453 33334	7	   	276.02	DCR|4VULN|2DMG|2DUR	1MBVNT|2RMIN|38DUR|4589VULN|6RCR|78DMG|8BPWR|aERES
116	53241 23871	10	   	276.02	DCR|4VULN|2DMG|3ASPD	1MBVNT|2489VULN|349ASPD|49BPWR|5DUST|6BEXP|79DMG|aRCR
117	51453 48333	7	   	276.02	DCR|4VULN|2DMG|2DUR	1MBVNT|2RMIN|38DUR|4568VULN|78DMG|8BPWR|9ERES|aRCR
118	53242 12145	7	   	276.02	DCR|4VULN|2DMG|3ASPD	1MBVNT|247aVULN|347ASPD|47aBPWR|57aERES|6RPLT|8RCR|9aDMG
119	23133 43633	10	   	275.02	DCR|3VULN|3DUR|2DMG	169VULN|2BELT|349DUR|5LEGI|7RCR|89DMG|9BPWR|aLIT
120	22264 31236	5	   	274.93	DCR|4VULN|1DMG|2AART|1TLV|1CDMG	1579VULN|2CDMG|38AART|4TLV|6RCR|aDMG
121	53483 33336	7	   	274.91	DCR|4VULN|2DMG|2TLV	1MBVNT|2589VULN|3FEWX|48TLV|6RCR|78DMG|8BPWR|aAART
122	66211 33332	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|289VULN|34ASPD|5DUST|6RCR|78DMG|8BPWR|aFEWX
123	66211 33333	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|289VULN|34ASPD|5DUST|6RCR|78DMG|8BPWR|aZMB
124	66211 33334	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|289VULN|34ASPD|5DUST|6RCR|78DMG|8BPWR|aLWND
125	24211 33332	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|28DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR|aFEWX
126	24211 33333	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|28DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR|aZMB
127	24211 33334	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|28DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR|aLWND
128	24225 33323	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD|1NUKE	18aVULN|29DUR|38ASPD|4RMIN|58DMG|6RCR|7NUKE|8BPWR
129	66225 33333	7	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD|1NUKE	18DUR|29aVULN|38ASPD|4RMIN|58DMG|6RCR|7NUKE|8BPWR
130	53244 74272	4	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	1MBVNT|2459VULN|349ASPD|49BPWR|69CDMG|7RCVC|8RCR|aTLV
131	53246 64224	9	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8LHND|9RCR|aTLV
132	53246 64322	10	   	274.69	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aLWND
133	53246 64323	9	   	274.69	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aZMB
134	53246 64323	10	   	274.69	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aZMB
135	53246 64424	9	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8LWND|9RCR|aTLV
136	26133 13334	2	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	123aVULN|4TLV|5aDUR|6RCR|7aCDMG|8BELT|9DLOT|aBPWR
137	26333 13334	3	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	123aVULN|4TLV|5aDUR|6RCR|7aCDMG|8BELT|9DLOT|aBPWR
138	53244 25272	4	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	1MBVNT|2459VULN|349ASPD|49BPWR|6DMSP|79CDMG|8RCR|aTLV
139	66211 33331	7	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|289VULN|34ASPD|5DUST|6RCR|78DMG|8BPWR|aMBVNT
140	66211 33336	7	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|289VULN|34ASPD|5DUST|6RCR|78DMG|8BPWR|aERES
141	24211 33331	7	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|28DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR|aMBVNT
142	24211 33336	7	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	189VULN|28DUR|34ASPD|5DUST|6RCR|78DMG|8BPWR|aERES
143	53246 64321	9	   	274.59	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aDUST
144	53246 64321	10	   	274.59	DCR|4VULN|3ASPD|2CDMG|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aERES
145	26235 33332	7	   	274.56	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	128VULN|38LWND|4DUR|5ASPD|6RCR|78DMG|8BPWR|9TLV|aLIT
146	53214 47448	4	   	274.54	DCR|4VULN|2DUR|2ASPD|2LIT	1MBVNT|258aVULN|34ASPD|6aDUR|7aLIT|9RCR|aBPWR
147	53216 13448	7	   	274.54	DCR|4VULN|2DUR|2ASPD|2LIT	1MBVNT|258aVULN|34ASPD|6aDUR|7aLIT|9RCR|aBPWR
148	53216 13448	8	   	274.54	DCR|4VULN|2DUR|2ASPD|2LIT	1MBVNT|258aVULN|34ASPD|6aDUR|7aLIT|9RCR|aBPWR
149	53483 33354	7	 * 	274.52	DCR|3VULN|3DMG|2TLV|1DUR	1MBVNT|258VULN|3FEWX|48TLV|6RCR|789DMG|8BPWR|aDUR
150	22264 31235	5	   	274.41	DCR|5VULN|2AART|1TLV|1CDMG	1579aVULN|2CDMG|38AART|4TLV|6RCR
151	26334 63321	6	   	274.40	DCR|5VULN|1DMG|1DUR|1ASPD	12357VULN|4BEXP|6RCR|8DMG|9DUR|aASPD
152	53882 33224	8	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	1MBVNT|25aVULN|3RPLT|45aDUR|5aBPWR|6RCR|7TLV|8CDMG|9aLIT
153	26133 13136	2	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1239VULN|4TLV|5DUR|6RCR|7CDMG|8ERES|aDMG
154	26333 13136	3	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1239VULN|4TLV|5DUR|6RCR|7CDMG|8ERES|aDMG
155	53483 33333	7	   	273.56	DCR|4VULN|2DMG|2TLV	1MBVNT|2589VULN|3FEWX|48TLV|6RCR|78DMG|8BPWR|aLIT
156	26432 23315	9	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV	12aVULN|38DMG|4aDUR|5ERES|6FEWX|7aTLV|9RCR|aBPWR
157	53253 12145	7	 * 	273.45	DCR|3VULN|2DMG|3ASPD|3TLV	1MBVNT|27aVULN|357ASPD|47aTLV|6RPLT|7aBPWR|8RCR|9aDMG
158	53783 33311	7	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1MBVNT|258VULN|3aDUR|48TLV|6RCR|78DMG|8BPWR|9CGEN
159	25236 12521	9	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	1578VULN|2MLV|37ASPD|47DUR|6RPLT|7BPWR|9CDMG|aRCR
160	53244 47447	4	   	273.37	DCR|4VULN|2ASPD|1DMG|1DUR	1MBVNT|2458VULN|34ASPD|4BPWR|6DUR|7LIT|9RCR|aDMG
161	53246 13447	8	   	273.37	DCR|4VULN|2ASPD|1DMG|1DUR	1MBVNT|2458VULN|34ASPD|4BPWR|6DUR|7LIT|9RCR|aDMG
162	53246 13447	7	   	273.37	DCR|4VULN|2ASPD|1DMG|1DUR	1MBVNT|2458VULN|34ASPD|4BPWR|6DUR|7LIT|9RCR|aDMG
163	26133 42215	2	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4TLV|5DUR|8LWND|9CDMG|aRCR
164	26333 42215	3	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4TLV|5DUR|8LWND|9CDMG|aRCR
165	53214 83382	7	   	273.11	DCR|4VULN|3DUR|2ASPD	1MBVNT|2689VULN|34ASPD|589CGEN|789DUR|89BPWR|aRCR
166	53244 41582	4	   	273.01	DCR|4VULN|3DUR|2ASPD	1MBVNT|2459VULN|34ASPD|49BPWR|679DUR|89CGEN|aRCR
