0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13231 43612	3	 * 	287.25	DCR|4VULN|3DMG|3CDMG	145FEWX|28aDMG|38aCDMG|6RCR|789aVULN|8aBPWR
21	36125 63333	8	   	273.39	DCR|3VULN|2DUR|1DMG|2CDMG|2AART	1BELT|27DUR|379VULN|47CDMG|5aAART|6RCR|7BPWR|8DMG
22	23351 61143	5	   	269.93	DCR|3VULN|2DMG|3ASPD|1DUR	167BEXP|28DMG|3RPLT|478VULN|578ASPD|78BPWR|9RCR|aDUR
23	51323 21145	8	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1aCGEN|26aVULN|3RPLT|4TLV|59DMG|7aDUR|8RCR|aBPWR
24	23356 32142	8	 * 	269.24	DCR|3VULN|3DMG|2DUR	1aBEXP|269DMG|3RPLT|47aVULN|5aDUR|8RCR|aBPWR
25	21633 62522	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1BEXP|2789VULN|3TLV|4CDMG|5ASPD|6RCR|aDMG
26	61132 63321	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1LWND|289aVULN|3DMG|4CDMG|5TLV|6RCR|7ASPD
27	61132 63323	9	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1LWND|289aVULN|3DMG|4CDMG|5TLV|6RCR|7ASPD
28	63132 63321	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1LWND|2DMG|389aVULN|4CDMG|5TLV|6RCR|7ASPD
29	63132 63323	9	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1LWND|2DMG|389aVULN|4CDMG|5TLV|6RCR|7ASPD
30	36125 63333	7	   	268.20	DCR|4VULN|2DUR|2CDMG|1AART	1BELT|27DUR|379aVULN|47CDMG|5AART|6RCR|7BPWR|8MLV
31	11251 32325	2	   	267.54	DCR|4VULN|2DUR|1ASPD|1AART	1aFEWX|278aVULN|3LIT|4ASPD|5AART|6RCR|9aDUR|aBPWR
32	11251 32435	2	   	267.54	DCR|4VULN|2DUR|1ASPD|1AART	1aFEWX|279aVULN|3LIT|4ASPD|5AART|6RCR|8aDUR|aBPWR
33	13143 15531	3	 * 	267.21	DCR|5VULN|2TLV|1DMG	18FEWX|2DMG|3678aVULN|48TLV|5BBNT|8BPWR|9RCR
34	23143 15531	3	   	267.21	DCR|5VULN|2TLV|1DMG	18BEXP|2DMG|3678aVULN|48TLV|5BBNT|8BPWR|9RCR
35	36123 63263	5	   	266.74	DCR|4VULN|2DUR|2CDMG	1BELT|29DUR|3579VULN|49CDMG|6RCR|8BBNT|9BPWR|aLIT
36	11632 31355	8	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1FEWX|28aVULN|3TLV|4CDMG|5aMLV|6DMG|7aDUR|9RCR|aBPWR
37	11633 31355	8	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1FEWX|28aVULN|3TLV|4CDMG|5aCGEN|6DMG|7aDUR|9RCR|aBPWR
38	61332 31355	8	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LWND|28aVULN|3TLV|4CDMG|5aMLV|6DMG|7aDUR|9RCR|aBPWR
39	61333 31355	8	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LWND|28aVULN|3TLV|4CDMG|5aCGEN|6DMG|7aDUR|9RCR|aBPWR
40	23252 62523	9	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|5789VULN|6RCR|aLIT
41	61132 62523	9	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2789VULN|3DMG|4CDMG|5TLV|6RCR|aLIT
42	63132 62523	9	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2DMG|3789VULN|4CDMG|5TLV|6RCR|aLIT
43	23252 62331	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|57aVULN|6RCR|89DUR
44	63212 61521	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LWND|2DMG|3CDMG|47DUR|5TLV|6RCR|89aVULN
45	63212 61522	9	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LWND|2DMG|3CDMG|47DUR|5TLV|6RCR|89aVULN
46	23252 62326	9	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|579VULN|6RCR|8aDUR
47	36125 63332	8	   	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1BELT|27DUR|379VULN|47CDMG|5AART|6RCR|7BPWR|8DMG|aLHND
48	51323 21135	9	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1aCGEN|26aVULN|3RPLT|4TLV|5DMG|79aDUR|8RCR|aBPWR
49	13231 43615	3	   	265.35	DCR|4VULN|2DMG|2CDMG	145FEWX|28DMG|38CDMG|6RCR|789aVULN|8BPWR
50	36136 16312	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1BELT|249DUR|378VULN|5DMG|6TLV|aRCR
51	11143 15531	3	 * 	265.25	DCR|4VULN|2DMG|2TLV	18FEWX|267aVULN|38DMG|48TLV|5BBNT|8BPWR|9RCR
52	21143 15531	3	   	265.25	DCR|4VULN|2DMG|2TLV	18BEXP|267aVULN|38DMG|48TLV|5BBNT|8BPWR|9RCR
53	13112 24531	3	   	265.25	DCR|4VULN|2DMG|2TLV	18FEWX|25DMG|348aVULN|6TBNT|78TLV|8BPWR|9RCR
54	13512 24531	2	   	265.25	DCR|4VULN|2DMG|2TLV	18FEWX|25DMG|348aVULN|6TBNT|78TLV|8BPWR|9RCR
55	23112 24531	3	   	265.25	DCR|4VULN|2DMG|2TLV	18BEXP|25DMG|348aVULN|6TBNT|78TLV|8BPWR|9RCR
56	23512 24531	2	   	265.25	DCR|4VULN|2DMG|2TLV	18BEXP|25DMG|348aVULN|6TBNT|78TLV|8BPWR|9RCR
57	63112 24531	3	   	265.25	DCR|4VULN|2DMG|2TLV	18LWND|25DMG|348aVULN|6TBNT|78TLV|8BPWR|9RCR
58	21633 62321	10	   	264.69	DCR|4VULN|1DUR|1TLV|1CDMG|1ASPD	1BEXP|279aVULN|3TLV|4CDMG|5ASPD|6RCR|8DUR
59	21633 62531	10	   	264.69	DCR|4VULN|1DUR|1TLV|1CDMG|1ASPD	1BEXP|278aVULN|3TLV|4CDMG|5ASPD|6RCR|9DUR
60	13231 43632	3	   	264.61	DCR|3VULN|3DMG|3CDMG	145FEWX|28aDMG|38aCDMG|6RCR|78aVULN|8aBPWR|9RCVC
61	21126 34253	9	 * 	264.27	DCR|3VULN|2DUR|2TLV|1DMG	1BEXP|29aVULN|3DMG|4ZMB|59DUR|6LIT|79TLV|8RCR|9BPWR
62	61132 63325	10	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1LWND|289VULN|3aDMG|4CDMG|5TLV|6RCR|7ASPD
63	63132 63325	10	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1LWND|2aDMG|389VULN|4CDMG|5TLV|6RCR|7ASPD
64	11143 15331	3	   	263.29	DCR|5VULN|1DMG|1TLV	1FEWX|2678aVULN|3DMG|4TLV|5BBNT|9RCR
65	13143 15331	3	   	263.29	DCR|5VULN|1DMG|1TLV	1FEWX|2DMG|3678aVULN|4TLV|5BBNT|9RCR
66	13543 15331	2	   	263.29	DCR|5VULN|1DMG|1TLV	1FEWX|2DMG|3678aVULN|4TLV|5BBNT|9RCR
67	21143 15331	3	   	263.29	DCR|5VULN|1DMG|1TLV	1BEXP|2678aVULN|3DMG|4TLV|5BBNT|9RCR
68	23143 15331	3	   	263.29	DCR|5VULN|1DMG|1TLV	1BEXP|2DMG|3678aVULN|4TLV|5BBNT|9RCR
69	23543 15331	2	   	263.29	DCR|5VULN|1DMG|1TLV	1BEXP|2DMG|3678aVULN|4TLV|5BBNT|9RCR
70	61143 15331	3	   	263.29	DCR|5VULN|1DMG|1TLV	1LWND|2678aVULN|3DMG|4TLV|5BBNT|9RCR
71	63143 15331	3	   	263.29	DCR|5VULN|1DMG|1TLV	1LWND|2DMG|3678aVULN|4TLV|5BBNT|9RCR
72	36123 11514	8	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1BELT|268DUR|35aVULN|4CDMG|7DMG|9RCR
73	36125 63313	10	 * 	262.34	DCR|2VULN|2DMG|2DUR|3CDMG|1AART	1BELT|27DUR|37VULN|479CDMG|5AART|6RCR|7BPWR|8aDMG
74	23252 62324	8	   	262.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1BEXP|2DMG|3CDMG|4TLV|57aVULN|6RCR|8DUR|9ASPD
75	61132 63334	8	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1LWND|28aVULN|3DMG|4CDMG|5TLV|6RCR|7ASPD|9DUR
76	63132 63334	8	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1LWND|2DMG|38aVULN|4CDMG|5TLV|6RCR|7ASPD|9DUR
77	21255 35311	6	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1BEXP|2578VULN|3DUR|4LIT|6AART|9RCR|aDMG
78	21133 11316	8	 * 	261.54	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	1BEXP|29VULN|3aDMG|4CDMG|59ASPD|6FEWX|79DUR|8RCR|9BPWR
79	11112 16226	3	   	261.44	DCR|4VULN|2DMG|1DUR	1FEWX|2469VULN|35DMG|7LWND|8DUR|aRCR
80	13112 16226	3	   	261.44	DCR|4VULN|2DMG|1DUR	1FEWX|25DMG|3469VULN|7LWND|8DUR|aRCR
81	13512 16226	2	   	261.44	DCR|4VULN|2DMG|1DUR	1FEWX|25DMG|3469VULN|7LWND|8DUR|aRCR
82	23356 32153	8	   	261.44	DCR|4VULN|2DMG|1DUR	1BEXP|26DMG|3RPLT|479aVULN|5DUR|8RCR
83	61112 15226	3	   	261.44	DCR|4VULN|2DMG|1DUR	1LWND|2469VULN|35DMG|7FEWX|8DUR|aRCR
84	63112 15226	3	   	261.44	DCR|4VULN|2DMG|1DUR	1LWND|25DMG|3469VULN|7FEWX|8DUR|aRCR
85	11112 24331	3	   	261.34	DCR|4VULN|2DMG|1TLV	1FEWX|248aVULN|35DMG|6TBNT|7TLV|9RCR
86	13112 24331	3	   	261.34	DCR|4VULN|2DMG|1TLV	1FEWX|25DMG|348aVULN|6TBNT|7TLV|9RCR
87	13512 24331	2	   	261.34	DCR|4VULN|2DMG|1TLV	1FEWX|25DMG|348aVULN|6TBNT|7TLV|9RCR
88	21112 24331	3	   	261.34	DCR|4VULN|2DMG|1TLV	1BEXP|248aVULN|35DMG|6TBNT|7TLV|9RCR
89	23112 24331	3	   	261.34	DCR|4VULN|2DMG|1TLV	1BEXP|25DMG|348aVULN|6TBNT|7TLV|9RCR
90	23512 24331	2	   	261.34	DCR|4VULN|2DMG|1TLV	1BEXP|25DMG|348aVULN|6TBNT|7TLV|9RCR
91	61112 24331	3	   	261.34	DCR|4VULN|2DMG|1TLV	1LWND|248aVULN|35DMG|6TBNT|7TLV|9RCR
92	63112 24331	3	   	261.34	DCR|4VULN|2DMG|1TLV	1LWND|25DMG|348aVULN|6TBNT|7TLV|9RCR
93	63512 24331	2	   	261.34	DCR|4VULN|2DMG|1TLV	1LWND|25DMG|348aVULN|6TBNT|7TLV|9RCR
94	23252 62521	10	   	261.22	DCR|4VULN|1DMG|2TLV|1CDMG	1BEXP|2DMG|3CDMG|4aTLV|5789VULN|6RCR
95	23252 62522	9	   	261.22	DCR|4VULN|1DMG|2TLV|1CDMG	1BEXP|2DMG|3CDMG|4aTLV|5789VULN|6RCR
96	61132 62521	10	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	1LWND|2789VULN|3DMG|4CDMG|5aTLV|6RCR
97	61132 62522	9	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	1LWND|2789VULN|3DMG|4CDMG|5aTLV|6RCR
98	63132 62521	10	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	1LWND|2DMG|3789VULN|4CDMG|5aTLV|6RCR
99	63132 62522	9	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	1LWND|2DMG|3789VULN|4CDMG|5aTLV|6RCR
100	23361 43611	6	   	261.04	DCR|4VULN|3DMG	145BEXP|248DMG|3RPLT|48BPWR|678aVULN|9RCR
101	36125 12113	9	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1BELT|2DUR|37aVULN|4CDMG|5AART|6DMG|8TLV|9RCR
102	36125 12116	10	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1BELT|2DUR|37aVULN|4CDMG|5AART|6DMG|8TLV|9RCR
103	23252 61411	10	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1BEXP|2DMG|3CDMG|4TLV|59aVULN|6RCR|7DUR|8AART
104	61132 61411	10	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1LWND|29aVULN|3DMG|4CDMG|5TLV|6RCR|7DUR|8AART
105	63132 61411	10	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1LWND|2DMG|39aVULN|4CDMG|5TLV|6RCR|7DUR|8AART
106	63212 61225	9	 * 	260.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	1LWND|2aDMG|3CDMG|47DUR|5aTLV|6RCR|8ERES|9aVULN|aBPWR
107	51323 21153	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|269aVULN|3RPLT|4TLV|5DMG|7DUR|8RCR
108	32126 66331	1	 * 	260.03	DCR|3VULN|3DUR|2ASPD|1AART	1BELT|258DUR|368VULN|4AART|78ASPD|8BPWR|9RMIN|aRCR
109	36134 36331	6	   	260.03	DCR|3VULN|3DUR|2ASPD|1AART	1BELT|248DUR|368VULN|5AART|78ASPD|8BPWR|9RMIN|aRCR
110	21663 15133	2	   	259.48	DCR|5VULN|1TLV|1DUR	1BEXP|2367aVULN|4DUR|5BBNT|8TLV|9RCR
111	11663 15112	2	   	259.48	DCR|5VULN|1TLV|1DUR	1FEWX|23679VULN|4DUR|5BBNT|8TLV|aRCR
112	21663 15112	2	   	259.48	DCR|5VULN|1TLV|1DUR	1BEXP|23679VULN|4DUR|5BBNT|8TLV|aRCR
113	23252 62312	7	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|579VULN|6RCR|8LIT|aDUR
114	23252 62522	8	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|578VULN|6RCR|9LIT|aDUR
115	61132 62522	8	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|278VULN|3DMG|4CDMG|5TLV|6RCR|9LIT|aDUR
116	61132 62612	7	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|279VULN|3DMG|4CDMG|5TLV|6RCR|8LIT|aDUR
117	63132 62522	8	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|378VULN|4CDMG|5TLV|6RCR|9LIT|aDUR
118	63132 62612	7	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|379VULN|4CDMG|5TLV|6RCR|8LIT|aDUR
119	23252 62325	9	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|579VULN|6RCR|8DUR|aLIT
120	23252 64112	6	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|589VULN|6RCR|7LIT|aDUR
121	61132 64112	6	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|289VULN|3DMG|4CDMG|5TLV|6RCR|7LIT|aDUR
122	63132 64112	6	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|389VULN|4CDMG|5TLV|6RCR|7LIT|aDUR
123	11112 32265	3	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	1aFEWX|24aVULN|35DMG|6DUR|7RCR|8DMSP|9aCDMG|aBPWR
124	21112 32165	3	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	18aBEXP|24aVULN|35DMG|6DUR|7RCR|9aCDMG|aBPWR
125	36125 63221	10	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	1BELT|279DUR|37aVULN|47CDMG|5AART|6RCR|7BPWR|8FEWX
126	23252 62512	10	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1BEXP|2aDMG|39CDMG|4TLV|578VULN|6RCR
127	61132 62512	10	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1LWND|278VULN|3aDMG|49CDMG|5TLV|6RCR
128	63132 62512	10	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1LWND|2aDMG|378VULN|49CDMG|5TLV|6RCR
129	36125 63121	10	   	258.68	DCR|3VULN|3DUR|2CDMG|1AART	1BELT|279DUR|37aVULN|47CDMG|5AART|6RCR|7BPWR|8DUST
130	13316 35125	9	   	258.64	DCR|4VULN|2DUR|1DMG	18FEWX|2DMG|3RPLT|4RMIN|58DUR|689aVULN|7RCR|8BPWR
131	36123 63261	5	   	258.44	DCR|4VULN|2DUR|2CDMG	1BELT|29DUR|3579VULN|49CDMG|6RCR|8BBNT|9BPWR|aRCVC
132	13231 43212	3	   	258.37	DCR|3VULN|3DMG|2CDMG	145FEWX|28aDMG|3aCDMG|6RCR|79aVULN|aBPWR
133	36123 63262	5	   	258.34	DCR|4VULN|2DUR|2CDMG	1BELT|29DUR|3579VULN|49CDMG|6RCR|8BBNT|9BPWR|aLEGI
134	36125 63322	9	 * 	257.98	DCR|2VULN|3DUR|3CDMG|1DMG|1AART	1BELT|279DUR|37VULN|47aCDMG|5AART|6RCR|7BPWR|8DMG
135	13316 35112	8	   	257.73	DCR|3VULN|3DUR|1DMG	189FEWX|2DMG|3RPLT|4RMIN|589DUR|689VULN|7RCR|89BPWR|aLIT
136	23316 35112	8	   	257.73	DCR|3VULN|3DUR|1DMG	189BEXP|2DMG|3RPLT|4RMIN|589DUR|689VULN|7RCR|89BPWR|aLIT
137	34161 41221	6	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	1BELT|29ASPD|34DUR|5RMIN|69DMG|7RCR|89VULN|9BPWR|aAART
138	11134 21354	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|268aVULN|3DMG|4CDMG|5LHND|7DUR|9RCR
139	11134 22154	4	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|267aVULN|3DMG|4CDMG|5DUR|8LWND|9RCR
140	11136 22154	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|267aVULN|3DMG|4CDMG|5DUR|8LWND|9RCR
141	11136 22154	6	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|267aVULN|3DMG|4CDMG|5DUR|8LWND|9RCR
142	11136 23354	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|268aVULN|3DMG|4CDMG|5DUR|7LWND|9RCR
143	13134 21354	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|2DMG|368aVULN|4CDMG|5LHND|7DUR|9RCR
144	13134 22154	4	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|2DMG|367aVULN|4CDMG|5DUR|8LWND|9RCR
145	13136 22154	6	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|2DMG|367aVULN|4CDMG|5DUR|8LWND|9RCR
146	13136 22154	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|2DMG|367aVULN|4CDMG|5DUR|8LWND|9RCR
147	13136 23354	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|2DMG|368aVULN|4CDMG|5DUR|7LWND|9RCR
148	21134 22154	4	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|267aVULN|3DMG|4CDMG|5DUR|8LWND|9RCR
149	21136 22154	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|267aVULN|3DMG|4CDMG|5DUR|8LWND|9RCR
150	23134 22154	4	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2DMG|367aVULN|4CDMG|5DUR|8LWND|9RCR
151	23136 22154	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2DMG|367aVULN|4CDMG|5DUR|8LWND|9RCR
152	23252 62221	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|579aVULN|6RCR|8LWND
153	23252 62222	9	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|579aVULN|6RCR|8LWND
154	61132 62121	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|279aVULN|3DMG|4CDMG|5TLV|6RCR|8BEXP
155	61132 62122	9	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|279aVULN|3DMG|4CDMG|5TLV|6RCR|8BEXP
156	61132 62512	8	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|278aVULN|3DMG|4CDMG|5TLV|6RCR|9FEWX
157	61132 64321	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|289aVULN|3DMG|4CDMG|5TLV|6RCR|7CGEN
158	61133 62363	7	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|278aVULN|3DMG|4CDMG|5CGEN|6RCR|9DUR
159	61133 62521	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|278aVULN|3DMG|4CDMG|5CGEN|6RCR|9TLV
160	63132 62121	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2DMG|379aVULN|4CDMG|5TLV|6RCR|8BEXP
161	63132 62122	9	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2DMG|379aVULN|4CDMG|5TLV|6RCR|8BEXP
162	63132 62512	8	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2DMG|378aVULN|4CDMG|5TLV|6RCR|9FEWX
163	63132 64321	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2DMG|389aVULN|4CDMG|5TLV|6RCR|7CGEN
164	63133 62363	7	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|2DMG|378aVULN|4CDMG|5CGEN|6RCR|9DUR
165	63133 62521	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2DMG|378aVULN|4CDMG|5CGEN|6RCR|9TLV
166	11143 15336	3	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1FEWX|2678VULN|3DMG|4TLV|5BBNT|9RCR|aCDMG
167	13143 15336	3	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1FEWX|2DMG|3678VULN|4TLV|5BBNT|9RCR|aCDMG
168	21143 15336	3	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2678VULN|3DMG|4TLV|5BBNT|9RCR|aCDMG
169	23143 15336	3	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2DMG|3678VULN|4TLV|5BBNT|9RCR|aCDMG
170	23252 62521	9	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|5789VULN|6RCR|aMBVNT
171	23252 62523	10	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|5789VULN|6RCR|aERES
172	61132 62221	10	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|279aVULN|3DMG|4CDMG|5TLV|6RCR|8ERES
173	61132 62521	9	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1LWND|2789VULN|3DMG|4CDMG|5TLV|6RCR|aMBVNT
