0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12432 36353	10	 * 	278.20	DCR|3VULN|3DMG|1TLV|1DUR	19CGEN|269VULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR|aTLV
39	32436 11263	7	   	253.04	DCR|3VULN|2TLV|1DMG|1DUR	1ZMB|259VULN|3LIT|4DMG|69TLV|7DUR|89BEXP|9BPWR|aRCR
40	32436 11363	7	   	253.04	DCR|3VULN|2TLV|1DMG|1DUR	1ZMB|259VULN|3LIT|4DMG|69TLV|7DUR|89LWND|9BPWR|aRCR
41	32436 11263	8	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ZMB|259VULN|3LIT|4DMG|69TLV|7DUR|89DUST|9BPWR|aRCR
42	52414 32223	9	 * 	252.71	DCR|3VULN|3DUR|1TLV	1ERES|26aVULN|3LIT|4MLV|56aDUR|6aBPWR|7TLV|8aBEXP|9RCR
43	32136 51363	8	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1ZMB|29VULN|3TLV|4RCVC|5FEWX|69DMG|7LIT|89DUR|9BPWR|aRCR
44	32226 51363	8	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	13ZMB|29VULN|4TLV|5FEWX|69DMG|7LIT|89DUR|9BPWR|aRCR
45	23413 52263	8	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|29ZMB|3LIT|4TLV|59DMG|68DUR|79VULN|9BPWR|aRCR
46	52432 36311	8	   	252.35	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1ERES|26aVULN|39LIT|4DUR|56DMG|6BPWR|7AART|8RCR
47	12432 32625	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1CGEN|26VULN|3LIT|4aDUR|56DMG|6BPWR|7TLV|8RCR|9RMIN
48	12432 32632	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1CGEN|26VULN|3LIT|4aDUR|56DMG|6BPWR|7TLV|8RCR|9FEWX
49	12432 36333	9	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1CGEN|26VULN|3LIT|49DUR|56DMG|6BPWR|7DLOT|8RCR|aTLV
50	32121 56363	3	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1ZMB|29VULN|3TLV|4LIT|59DUR|68DUST|79DMG|9BPWR|aRCR
51	52532 21421	10	 * 	252.18	DCR|3VULN|3DUR|2TLV	14aERES|239VULN|5aTLV|6RCR|78aDUR|aBPWR
52	12534 33234	3	 * 	252.12	DCR|4VULN|2DUR|1TLV	17CGEN|237aVULN|4DUST|5TLV|67DUR|7BPWR|8MLV|9RCR
53	12432 32652	10	   	252.09	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1CGEN|26VULN|3LIT|4aDUR|56DMG|6BPWR|7TLV|8RCR|9SELL
54	12432 36351	9	   	252.00	DCR|3VULN|3DMG|1DUR	19aCGEN|269VULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR
55	12432 36352	10	   	252.00	DCR|3VULN|3DMG|1DUR	19CGEN|269VULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR|aLWND
56	12432 31615	9	   	251.90	DCR|3VULN|3DMG|1DUR	1CGEN|269VULN|3LIT|4DUR|56aDMG|6BPWR|7LWND|8RCR
57	12432 36351	10	   	251.90	DCR|3VULN|3DMG|1DUR	19CGEN|269VULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR|aDUST
58	52432 22216	6	   	251.90	DCR|3VULN|3DMG|1DUR	178ERES|278VULN|3LIT|4DUR|578DMG|6BELT|78BPWR|9LWND|aRCR
59	12432 36211	10	   	251.80	DCR|3VULN|3DMG|1DUR	1CGEN|269VULN|3LIT|4DUR|568DMG|6BPWR|7DLOT|aRCR
60	12525 13125	6	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	17CGEN|237VULN|4MLV|5CDMG|67DMG|7BPWR|8TLV|9LHND|aRCR
61	26521 33134	1	 * 	251.63	DCR|5VULN|1DUR|1CDMG	13BEXP|23789VULN|3BPWR|4LIT|5DUR|6CDMG|aRCR
62	12525 13115	6	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	17CGEN|237VULN|4MLV|5CDMG|67DMG|7BPWR|8TLV|9DUST|aRCR
63	12432 22115	6	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	17CGEN|27VULN|3LIT|4DUR|57DMG|6BELT|7BPWR|8TLV|9CDMG|aRCR
64	12432 31115	6	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7BELT|8TLV|9CDMG|aRCR
65	12432 32611	8	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9LWND|aCDMG
66	12432 32611	7	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9LWND|aCDMG
67	12432 32611	9	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9LWND|aCDMG
68	12432 32631	7	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9BEXP|aCDMG
69	12432 32631	8	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9BEXP|aCDMG
70	12432 32631	9	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9FEWX|aCDMG
71	52432 31115	6	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|26VULN|3LIT|4DUR|56DMG|6BPWR|7BELT|8TLV|9CDMG|aRCR
72	52432 32611	7	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9LWND|aCDMG
73	52432 32631	7	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|26VULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9BEXP|aCDMG
74	52432 22115	6	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	17ERES|27VULN|3LIT|4DUR|57DMG|6BELT|7BPWR|8TLV|9CDMG|aRCR
75	22513 52521	9	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|24MLV|3457VULN|4BPWR|6DUR|8RCR|9CDMG|aTLV
76	23513 52521	9	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|24ZMB|3457VULN|4BPWR|6DUR|8RCR|9CDMG|aTLV
77	31513 52521	9	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	1ZMB|24LHND|3457VULN|4BPWR|6DUR|8RCR|9CDMG|aTLV
78	12534 33236	3	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	17CGEN|237VULN|4DUST|5TLV|67DUR|7BPWR|8MLV|9RCR|aDMG
79	32521 13414	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1ZMB|23aVULN|4TLV|5LHND|6DMG|79DUR|8RCR
80	12432 31615	10	   	250.83	DCR|3VULN|2DMG|2DUR	1CGEN|269VULN|3LIT|4aDUR|56DMG|6BPWR|7LWND|8RCR
81	32421 14163	8	   	250.83	DCR|3VULN|2DMG|2DUR	1ZMB|289VULN|3LIT|4LHND|59DUR|6ERES|79DMG|9BPWR|aRCR
82	12432 36331	9	   	250.73	DCR|3VULN|2DMG|2DUR	1CGEN|26aVULN|3LIT|49DUR|56DMG|6BPWR|7DLOT|8RCR
83	12432 36333	10	   	250.73	DCR|3VULN|2DMG|2DUR	1CGEN|26aVULN|3LIT|49DUR|56DMG|6BPWR|7DLOT|8RCR
84	23523 31411	10	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|2ZMB|389VULN|4DMG|5DUR|6RCR|7CDMG|aTLV
85	31523 31411	10	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ZMB|2LHND|389VULN|4DMG|5DUR|6RCR|7CDMG|aTLV
86	32514 13613	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ZMB|239VULN|4DUR|5TLV|6DMG|7TBNT|8CDMG|aRCR
87	12351 41151	6	   	249.31	DCR|4VULN|1TLV|1DMG|1SELL	1CGEN|245aVULN|3SELL|6RCR|7LIT|8TLV|9DMG
88	12432 32643	8	 * 	249.31	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	1CGEN|26VULN|39aLIT|4DUR|56DMG|6BPWR|7TLV|8RCR
89	12432 32643	7	   	249.31	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	1CGEN|26VULN|39aLIT|4DUR|56DMG|6BPWR|7TLV|8RCR
90	11516 32112	6	   	249.01	DCR|3VULN|2TLV|2DUR|1AART	17CGEN|24LHND|347VULN|47BPWR|5AART|67TLV|8RCR|9aDUR
91	51516 32112	6	   	248.81	DCR|3VULN|2TLV|2DUR|1AART	17ERES|24LHND|347VULN|47BPWR|5AART|67TLV|8RCR|9aDUR
