0	Index      	 *	Score 	Summary	Detail	
1	41132 43533	 * 	256.27	紫2基础对甲2易伤2全技能2基础对冰2技能	16技能29基础对甲39易伤4核5随机矿79基础对冰8a全技能9序列升级
33	41362 11325	   	230.30	紫2基础对甲2伤害1易伤1全技能	1技能2a基础对甲3雷电4核5a火球减费6易伤7低血量敌人8全技能9a伤害a序列升级
34	41136 12361	 * 	230.11	紫2易伤1基础对甲2全技能1攻速	1技能2基础对甲37易伤4核5低血量敌人69全技能8挖青a攻速
35	41135 32211	   	229.74	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1技能2基础对甲3易伤4核5双倍矿6伤害7攻速8等级9基地爆炸a全技能
36	41535 32221	   	229.74	紫1基础对甲1攻速1伤害1易伤1全技能1基地爆炸	1技能2基础对甲3基地爆炸4核5双倍矿6伤害7攻速8等级9易伤a全技能
37	41135 31225	   	229.46	紫1基础对甲1易伤2基地爆炸1伤害2技能1暴击	19技能2基础对甲3易伤4核5双倍矿6伤害7a基地爆炸8暴击
38	41136 12114	 * 	229.21	紫2易伤1基础对甲2全技能1伤害	1技能2基础对甲37易伤4核5低血量敌人6a全技能8敌人爆炸9伤害
39	41133 12244	 * 	229.17	紫2基础对甲2全技能1易伤1攻速	1技能28基础对甲3易伤4核5最后敌人6a全技能7攻速9随机矿
40	41133 12114	   	229.11	紫1基础对甲2易伤2全技能1攻速	1技能2基础对甲39易伤4核5最后敌人6a全技能7攻速8挖尘
41	41535 32213	   	228.70	紫2基础对甲2伤害1攻速1基地爆炸	1技能2a基础对甲3基地爆炸4核5双倍矿6a伤害7攻速8等级9a敌人爆炸a序列升级
42	41135 31213	   	228.68	紫2基础对甲1易伤1伤害2暴击1基地爆炸	1技能29基础对甲3易伤4核5双倍矿6伤害7基地爆炸8a暴击
43	41135 51213	   	228.68	紫2基础对甲1易伤1攻速2暴击1基地爆炸	1技能29基础对甲3易伤4核5双倍矿6攻速7基地爆炸8a暴击
44	41136 11321	   	228.44	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7最后敌人89暴击9序列升级a矿等
45	41136 11323	   	228.44	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7a最后敌人89暴击9序列升级
46	41136 11326	   	228.44	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7最后敌人89暴击9序列升级a金币生成
47	41133 14321	   	228.34	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5最后敌人6全技能7挖尘89暴击9序列升级a矿等
48	41133 14323	   	228.34	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5a最后敌人6全技能7挖尘89暴击9序列升级
49	41133 14326	   	228.34	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5最后敌人6全技能7挖尘89暴击9序列升级a金币生成
50	41136 11322	   	228.34	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7最后敌人89暴击9序列升级a双倍秒伤
51	41136 14321	   	228.34	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7挖尘89暴击9序列升级a矿等
52	41136 14323	   	228.34	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7挖尘89暴击9序列升级a最后敌人
53	41133 14322	   	228.24	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5最后敌人6全技能7挖尘89暴击9序列升级a双倍秒伤
54	41136 14322	   	228.24	紫2基础对甲2易伤2暴击1全技能	1技能29基础对甲39易伤4核5低血量敌人6全技能7挖尘89暴击9序列升级a双倍秒伤
55	41135 32213	   	227.74	紫1基础对甲1易伤1攻速1伤害1基地爆炸1暴击	1技能2基础对甲3易伤4核5双倍矿6伤害7攻速8等级9基地爆炸a暴击
56	41535 32223	   	227.74	紫1基础对甲1攻速1伤害1易伤1基地爆炸1暴击	1技能2基础对甲3基地爆炸4核5双倍矿6伤害7攻速8等级9易伤a暴击
57	41134 26213	   	227.66	紫2基础对甲2易伤1伤害2暴击	1技能29基础对甲37易伤4核5时间6伤害8a暴击
58	41133 12225	   	227.36	紫2基础对甲1易伤1攻速1全技能1基地爆炸	1技能28基础对甲3易伤4核5最后敌人6全技能7攻速9双倍矿a基地爆炸
59	41133 12265	   	227.36	紫2基础对甲1易伤1攻速1全技能1基地爆炸	1技能28基础对甲3易伤4核59最后敌人6全技能7攻速a基地爆炸
60	41132 43612	   	227.35	紫1基础对甲1易伤1攻速1伤害1基础对冰2技能	16技能2基础对甲3易伤4核5随机矿7基础对冰8攻速9掉矿a伤害
61	41135 52213	 * 	226.87	紫1基础对甲2攻速1易伤2暴击2技能	19技能2基础对甲3易伤4核5双倍矿67攻速8a暴击
62	41133 33316	   	226.72	紫1基础对甲2易伤1攻速1伤害1暴击	1技能2基础对甲38易伤4核5最后敌人6暴击7导弹对黄9攻速a伤害
63	41532 34322	 * 	226.60	紫2基础对甲3基地爆炸1易伤1暴击	1技能2a基础对甲36a基地爆炸4核5随机矿7暴击8易伤9a策反a序列升级
64	41532 35222	   	226.60	紫2基础对甲3基地爆炸1易伤1暴击	1技能2a基础对甲36a基地爆炸4核5随机矿7易伤8暴击9a策反a序列升级
65	41133 12535	 * 	226.54	紫2基础对甲2易伤1攻速1全技能	1技能2a基础对甲3a易伤4核5最后敌人6全技能7攻速8a雷电9额外掉落a序列升级
66	41133 12221	   	226.34	紫2基础对甲2易伤1攻速1全技能	1技能28基础对甲3a易伤4核5最后敌人6全技能7攻速9双倍矿
67	41133 12234	   	226.34	紫2基础对甲2易伤1攻速1全技能	1技能28基础对甲3a易伤4核5最后敌人6全技能7攻速9平台
68	41133 12246	   	226.34	紫2基础对甲2易伤1攻速1全技能	1技能28基础对甲3a易伤4核5最后敌人6全技能7攻速9随机矿
69	41133 12261	   	226.34	紫2基础对甲2易伤1攻速1全技能	1技能28基础对甲3a易伤4核59最后敌人6全技能7攻速
70	41235 35233	   	226.30	紫2基础对甲2伤害1易伤1暴击	1技能27基础对甲37挖尘4核5双倍矿67伤害7序列升级8暴击9敌人爆炸a易伤
