0	Index      	 *	Score 	Summary	Detail	
1	41126 12214	 * 	244.26	DCR|2VULN|2MLV|2DUR|1TLV|1DMG|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
31	12126 31612	 * 	228.94	DCR|DCR|1VULN|2DUR|1NUKE	1BELT|2NUKE|35DUR|4LIT|68RCR|7LWND|9RPLT|aVULN
32	12126 32612	   	228.94	DCR|DCR|1VULN|2DUR|1NUKE	1BELT|2NUKE|35DUR|4LIT|68RCR|7FEWX|9RPLT|aVULN
33	25215 33263	   	228.54	DCR|DCR|1VULN|1TLV	15AME|2LSRHEA|3MDPS|4TBNT|69RCR|7MBVNT|8TLV|aVULN
34	25216 33263	   	228.54	DCR|DCR|1VULN|1TLV	1AME|2LSRHEA|3MDPS|4TBNT|5AEPOI|69RCR|7MBVNT|8TLV|aVULN
35	61326 12251	   	227.64	DCR|3VULN|2MLV|1DMG|1DUR|1AAC	17ERES|2TBNT|3DUR|479VULN|57MLV|6AAC|7BPWR|8RCR|aDMG
36	21536 32212	   	226.36	DCR|2VULN|3DMG|1MLV|1AART	17AME|2TBNT|37VULN|4DUST|5MLV|679DMG|7BPWR|8RCR|aAART
37	26536 32212	   	226.36	DCR|2VULN|3DMG|1MLV|1AART	17AME|2BBNT|37VULN|4DUST|5MLV|679DMG|7BPWR|8RCR|aAART
38	61536 32212	   	226.36	DCR|2VULN|3DMG|1MLV|1AART	17ERES|2TBNT|37VULN|4DUST|5MLV|679DMG|7BPWR|8RCR|aAART
39	21313 32255	 * 	223.65	DCR|3VULN|3DUR|1DMG	17AME|2TBNT|37aDUR|4CGEN|5DMG|679VULN|7BPWR|8RCR
40	26313 32255	   	223.65	DCR|3VULN|3DUR|1DMG	17AME|2BBNT|37aDUR|4CGEN|5DMG|679VULN|7BPWR|8RCR
41	41113 32255	   	223.65	DCR|3VULN|3DUR|1DMG	17aDUR|27ERES|3BBNT|4CGEN|5DMG|679VULN|7BPWR|8RCR
42	61313 32255	   	223.65	DCR|3VULN|3DUR|1DMG	17ERES|2TBNT|37aDUR|4CGEN|5DMG|679VULN|7BPWR|8RCR
43	21313 32211	   	223.30	DCR|2VULN|3DMG|2DUR	17AME|2TBNT|37DUR|4CGEN|59aDMG|67VULN|7BPWR|8RCR
44	26313 32211	   	223.30	DCR|2VULN|3DMG|2DUR	17AME|2BBNT|37DUR|4CGEN|59aDMG|67VULN|7BPWR|8RCR
45	41113 32211	   	223.30	DCR|2VULN|3DMG|2DUR	17DUR|27ERES|3BBNT|4CGEN|59aDMG|67VULN|7BPWR|8RCR
46	44413 32211	   	223.30	DCR|2VULN|3DMG|2DUR	17DUR|2BBNT|37ERES|4CGEN|59aDMG|67VULN|7BPWR|8RCR
47	61313 32211	   	223.30	DCR|2VULN|3DMG|2DUR	17ERES|2TBNT|37DUR|4CGEN|59aDMG|67VULN|7BPWR|8RCR
48	12126 31661	 * 	223.05	DCR|DCR|2DUR|1TLV|1NUKE	1BELT|2NUKE|35DUR|4LIT|68RCR|7LWND|9TLV|aZMB
49	12126 31662	   	223.05	DCR|DCR|2DUR|1TLV|1NUKE	1BELT|2NUKE|35DUR|4aLIT|68RCR|7LWND|9TLV
50	12126 32661	   	223.05	DCR|DCR|2DUR|1TLV|1NUKE	1BELT|2NUKE|35DUR|4LIT|68RCR|7FEWX|9TLV|aZMB
51	12126 32662	   	223.05	DCR|DCR|2DUR|1TLV|1NUKE	1BELT|2NUKE|35DUR|4aLIT|68RCR|7FEWX|9TLV
52	53342 16323	 * 	223.05	DCR|2VULN|2DMG|2MLV|1DUR|1SELL	1RMIN|2LEGI|3SELL|48DMG|5DUR|68VULN|78MLV|8BPWR|9RCR|aLHND
53	12126 31663	   	222.95	DCR|DCR|2DUR|1TLV|1NUKE|1MSE	1BELT|2NUKE|35DUR|4LIT|68RCR|7LWND|9TLV|aMSE
54	12126 32663	   	222.95	DCR|DCR|2DUR|1TLV|1NUKE|1MSE	1BELT|2NUKE|35DUR|4LIT|68RCR|7FEWX|9TLV|aMSE
55	53342 16321	 * 	222.95	DCR|2VULN|2DMG|2MLV|1DUR|1SELL	1RMIN|2LEGI|3SELL|48DMG|5DUR|68VULN|78MLV|8BPWR|9RCR|aMBVNT
56	53342 16322	 * 	222.95	DCR|2VULN|2DMG|2MLV|1DUR|1SELL	1RMIN|2LEGI|3SELL|48DMG|5DUR|68VULN|78MLV|8BPWR|9RCR|aERES
57	52163 32251	 * 	222.84	DCR|3VULN|2TLV|1DMG	1RMIN|27CGEN|3BEXP|4BBNT|57TLV|679VULN|7BPWR|8RCR|aDMG
58	54113 32251	   	222.84	DCR|3VULN|2TLV|1DMG	1RMIN|27BEXP|3BBNT|4CGEN|57TLV|679VULN|7BPWR|8RCR|aDMG
59	25426 11331	   	222.14	DCR|2VULN|2TLV|2DUR|1MLV	17AME|2LSRHEA|37DUR|4MLV|58VULN|67TLV|7BPWR|9LHND|aRCR
60	25426 11311	   	222.04	DCR|2VULN|2TLV|2DUR|1MLV	17AME|2LSRHEA|37DUR|4MLV|58VULN|67TLV|7BPWR|9DUST|aRCR
61	42642 22223	 * 	220.56	DCR|2TLV|1VULN|2DUR|1DMG|2CDMG	18DUR|2DMSP|38CDMG|4VENTOX|5MDPS|6VULN|78TLV|8BPWR|9DMG|aRCR
62	21333 54331	   	220.29	DCR|2VULN|2TLV|2DUR|1CDMG	1AME|2TBNT|3aDUR|4LWND|5CDMG|6aTLV|7FEWX|8aVULN|9RCR|aBPWR
63	26333 54331	   	220.29	DCR|2VULN|2TLV|2DUR|1CDMG	1AME|2BBNT|3aDUR|4LWND|5CDMG|6aTLV|7FEWX|8aVULN|9RCR|aBPWR
64	44121 25222	   	220.23	DCR|3VULN|2MLV|2DUR|1AAC	19DUR|2BBNT|3AAC|469VULN|5RMIN|79MLV|8RCR|9BPWR|aCGEN
65	44121 25223	   	220.23	DCR|3VULN|2MLV|2DUR|1AAC	19DUR|2BBNT|3AAC|469VULN|5RMIN|79MLV|8RCR|9BPWR|aFEWX
66	44221 36333	   	220.23	DCR|3VULN|2MLV|2DUR	17DUR|2BBNT|37aVULN|47MLV|5RMIN|69RCVC|7BPWR|8RCR
67	21333 52331	   	220.19	DCR|2VULN|2TLV|2DUR|1CDMG	1AME|2TBNT|3aDUR|4LWND|5CDMG|6aTLV|7DUST|8aVULN|9RCR|aBPWR
68	26333 52331	   	220.19	DCR|2VULN|2TLV|2DUR|1CDMG	1AME|2BBNT|3aDUR|4LWND|5CDMG|6aTLV|7DUST|8aVULN|9RCR|aBPWR
69	41126 12252	   	220.13	DCR|3VULN|2MLV|2DUR|1AAC	17DUR|2ERES|3BBNT|479VULN|57MLV|6AAC|7BPWR|8RCR|aCGEN
70	41126 12253	   	220.13	DCR|3VULN|2MLV|2DUR|1AAC	17DUR|2ERES|3BBNT|479VULN|57MLV|6AAC|7BPWR|8RCR|aFEWX
71	62521 13431	   	220.09	DCR|2VULN|2TLV|2DUR|1CDMG	149ERES|29TLV|3CDMG|5MDPS|68VULN|79DUR|9BPWR|aRCR
72	21536 32216	   	219.64	DCR|2VULN|3DMG|1MLV	17AME|2TBNT|37VULN|4DUST|5MLV|679DMG|7BPWR|8RCR|aASPD
73	21326 52216	   	219.64	DCR|3DMG|1VULN|2DUR|1MLV	17AME|2TBNT|37DUR|4VULN|5MLV|679DMG|7BPWR|8RCR|aASPD
74	21514 32631	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1AME|2TBNT|369VULN|4CGEN|5CDMG|7RCR|8TLV|aDUR
75	21321 45214	   	219.32	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1AME|2TBNT|3DUR|46VULN|5RMIN|7MLV|8RCR|9DMG|aTLV
76	25426 13311	   	219.32	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1AME|2LSRHEA|3DUR|4MLV|5aVULN|6TLV|7RMIN|8DMG|9RCR
77	44143 21222	   	219.29	DCR|3VULN|3DUR|1MLV|1AAC	169DUR|2BBNT|3AAC|4RCVC|569VULN|69BPWR|79DUST|8RCR|aMLV
78	21326 41214	   	219.22	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1AME|2TBNT|3DUR|46VULN|5MLV|7ERES|8RCR|9DMG|aTLV
79	21326 12211	   	219.16	DCR|2VULN|2MLV|1DMG|1DUR|1AART|1AAC	17AME|2TBNT|3DUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aAART
80	26326 12211	   	219.16	DCR|2VULN|2MLV|1DMG|1DUR|1AART|1AAC	17AME|2BBNT|3DUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aAART
81	61326 12211	   	219.16	DCR|2VULN|2MLV|1DMG|1DUR|1AART|1AAC	17ERES|2TBNT|3DUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aAART
82	21313 32215	   	219.10	DCR|2VULN|2DMG|3DUR	17AME|2TBNT|37aDUR|4CGEN|59DMG|67VULN|7BPWR|8RCR
83	26313 32215	   	219.10	DCR|2VULN|2DMG|3DUR	17AME|2BBNT|37aDUR|4CGEN|59DMG|67VULN|7BPWR|8RCR
84	41113 32215	   	219.10	DCR|2VULN|3DUR|2DMG	17aDUR|27ERES|3BBNT|4CGEN|59DMG|67VULN|7BPWR|8RCR
85	61313 32215	   	219.10	DCR|2VULN|3DUR|2DMG	17ERES|2TBNT|37aDUR|4CGEN|59DMG|67VULN|7BPWR|8RCR
86	22455 22112	   	219.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1SELL	1AME|2TLV|3CANTOX|4DUR|5SELL|6MLV|7aVULN|8DMG|9RCR
87	22655 22112	   	219.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1SELL	1AME|2TLV|3BASICY|4DUR|5SELL|6MLV|7aVULN|8DMG|9RCR
88	55413 21333	   	218.88	DCR|2VULN|2MLV|1TLV|1CDMG	1RMIN|27LWND|37VULN|4ASPD|5LIT|67MLV|7BPWR|8TLV|9RCR|aCDMG
89	13134 74173	   	218.34	DCR|DCR|1VULN|1MLV	1BELT|2CGEN|3MLV|4RPLT|5MBVNT|6SNIFST|7aRCR|8VULN|9LWND
90	34113 32212	 * 	218.28	DCR|2VULN|2DMG|2TLV|1AAC	17LHND|2BBNT|3AAC|4CGEN|57TLV|67VULN|7BPWR|8RCR|9aDMG
91	34221 36351	   	218.26	DCR|2VULN|2MLV|1TLV|1DMG	17LHND|2BBNT|37VULN|47MLV|5RMIN|6RCVC|7BPWR|8RCR|9TLV|aDMG
92	13134 74153	   	218.24	DCR|DCR|1VULN|1MLV	1BELT|2CGEN|3MLV|4RPLT|5MBVNT|6SNIFST|7aRCR|8VULN|9DUST
93	32583 36413	 * 	218.21	ACR|DCR|1VULN|1TLV|1MSLTOX	1LHND|2DMSP|3MBVNT|4ASPD|57RCR|6TBNT|8VULN|9TLV|aMSLTOX
94	42236 14141	 * 	218.18	DCR|2DMG|2TLV|1VULN|2DUR	1aDUR|2DMSP|3RMIN|4aTLV|5VULN|6LHND|7MBVNT|8aDMG|9RCR|aBPWR
95	42162 35221	   	218.16	DCR|2VULN|2MLV|2DUR|1DMG	19DUR|2DMSP|3BEXP|4BBNT|59VULN|6RCVC|79MLV|8RCR|9BPWR|aDMG
96	44121 15221	 * 	218.16	DCR|2VULN|2MLV|2DUR|2AAC|1DMG	19DUR|2BBNT|36AAC|49VULN|5RMIN|79MLV|8RCR|9BPWR|aDMG
97	31126 12214	   	218.16	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	17LHND|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
98	52141 34332	   	218.11	DCR|DCR|1DMG|1AART|1DUR|1AAC	1RMIN|2CGEN|3BEXP|4AAC|5AART|6TBNT|7DMG|89RCR|aDUR
99	22123 13512	   	218.08	DCR|2VULN|2DMG|2TLV	1AME|28TLV|3BEXP|4AEWIND|58DMG|6ERES|78VULN|8BPWR|9DMSP|aRCR
100	41126 12213	   	218.06	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aLHND
101	42564 22213	   	218.01	DCR|DCR|1DMG|1AAC|1DUR	1DUR|2DMSP|3MBVNT|4LWND|5RAT|6MDPS|78RCR|9DMG|aAAC
102	22123 13562	   	217.98	DCR|2VULN|2DMG|2TLV	1AME|28TLV|3BEXP|4AEWIND|58DMG|69ERES|78VULN|8BPWR|aRCR
103	21326 12215	   	217.96	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17AME|2TBNT|3aDUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG
104	21626 12214	   	217.96	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	17AME|2TBNT|3DUST|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
105	26326 12215	   	217.96	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17AME|2BBNT|3aDUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG
106	41126 12212	   	217.96	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aAETHUN
107	41126 12216	   	217.96	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aAEFRZ
108	41126 12231	   	217.96	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9AEFRZ|aDMG
109	61326 12215	   	217.96	DCR|2VULN|2MLV|2DUR|1DMG|1AAC	17ERES|2TBNT|3aDUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG
110	21511 52216	   	217.79	DCR|2VULN|3DMG|1DUR	17AME|2TBNT|37VULN|4CGEN|5DUR|679DMG|7BPWR|8RCR|aASPD
111	12122 31665	   	217.54	DCR|DCR|1TLV|1DUR|1NUKE	15BELT|2NUKE|3DUR|4LIT|68RCR|7LWND|9TLV|aASPD
112	12122 32665	   	217.54	DCR|DCR|1TLV|1DUR|1NUKE	15BELT|2NUKE|3DUR|4LIT|68RCR|7FEWX|9TLV|aASPD
113	21511 52252	   	217.34	DCR|3VULN|2DMG|1DUR	17AME|2TBNT|379VULN|4CGEN|5DUR|67DMG|7BPWR|8RCR|aLWND
114	21511 52253	   	217.34	DCR|3VULN|2DMG|1DUR	17AME|2TBNT|379VULN|4aCGEN|5DUR|67DMG|7BPWR|8RCR
115	41113 34251	   	217.24	DCR|3VULN|2DMG|1DUR	1DUR|2ERES|3BBNT|4CGEN|5aDMG|679VULN|8RCR
116	61313 34251	   	217.24	DCR|3VULN|2DMG|1DUR	1ERES|2TBNT|3DUR|4CGEN|5aDMG|679VULN|8RCR
117	43125 11132	   	216.59	DCR|DCR|1VULN|1DUR|1AAC	1DUR|2FEWX|3RAT|4AAC|5LHND|6LIT|79RCR|8RPLT|aVULN
118	45122 11132	   	216.59	DCR|DCR|1VULN|1DUR|1AAC	1DUR|2BEXP|3RAT|4AAC|5FEWX|6LIT|79RCR|8RPLT|aVULN
119	45125 11132	   	216.59	DCR|DCR|1VULN|1DUR|1AAC	1DUR|2BEXP|3RAT|4AAC|5LHND|6LIT|79RCR|8RPLT|aVULN
120	12122 31612	   	216.49	DCR|DCR|1VULN|1DUR|1NUKE	15BELT|2NUKE|3DUR|4LIT|68RCR|7LWND|9RPLT|aVULN
121	12122 32612	   	216.49	DCR|DCR|1VULN|1DUR|1NUKE	15BELT|2NUKE|3DUR|4LIT|68RCR|7FEWX|9RPLT|aVULN
122	46122 11132	   	216.49	DCR|DCR|1VULN|1DUR|1AAC	1DUR|2DUST|3RAT|4AAC|5FEWX|6LIT|79RCR|8RPLT|aVULN
123	46125 11132	   	216.49	DCR|DCR|1VULN|1DUR|1AAC	1DUR|2DUST|3RAT|4AAC|5LHND|6LIT|79RCR|8RPLT|aVULN
124	32236 33342	   	216.42	DCR|3VULN|2TLV|1DUR	1LHND|2DMSP|38RMIN|46TLV|567VULN|6BPWR|9DUR|aRCR
125	42564 22221	   	216.39	DCR|DCR|1VULN|1DUR	1DUR|2DMSP|3MBVNT|4LWND|5RAT|6MDPS|78RCR|9VULN|aLIT
126	42564 22224	   	216.39	DCR|DCR|1VULN|1DUR	1DUR|2DMSP|3MBVNT|4LWND|5RAT|6MDPS|78RCR|9VULN|aBEXP
127	42564 22223	   	216.29	DCR|DCR|1VULN|1DUR	1DUR|2DMSP|3MBVNT|4LWND|5RAT|6MDPS|78RCR|9VULN|aDUST
128	21321 46351	   	216.17	DCR|2VULN|2DUR|1TLV|1DMG	1AME|2TBNT|37DUR|46VULN|5RMIN|8RCR|9TLV|aDMG
129	41121 62214	   	216.17	DCR|2VULN|2DUR|1TLV|1DMG	17DUR|2ERES|3BBNT|47VULN|5RMIN|67AME|7BPWR|8RCR|9DMG|aTLV
130	21326 41251	   	215.15	DCR|3VULN|1DMG|1MLV|1DUR	1AME|2TBNT|3DUR|469VULN|5MLV|7ERES|8RCR|aDMG
131	32541 33141	   	214.79	DCR|2VULN|2DMG|1TLV	1aLHND|2DMSP|3MBVNT|4aVULN|5LEGI|6ASPD|7TLV|8aDMG|9RCR|aBPWR
132	42541 33141	   	214.79	DCR|2DMG|1VULN|2DUR|1TLV	1aDUR|2DMSP|3MBVNT|4VULN|5aLHND|6ASPD|7TLV|8aDMG|9RCR|aBPWR
133	42542 33141	   	214.79	DCR|2DMG|1VULN|2DUR|1TLV	1aDUR|2DMSP|3MBVNT|4VULN|5aBEXP|6ASPD|7TLV|8aDMG|9RCR|aBPWR
134	32542 41545	   	214.35	DCR|2VULN|2TLV|1DMG|1CDMG	17LHND|2DMSP|3MBVNT|47VULN|57TLV|6BOSS|7BPWR|8CDMG|9RCR|aDMG
135	34113 32211	   	214.35	DCR|2VULN|2TLV|1DMG|1DUR|1AAC	17LHND|2BBNT|3AAC|4CGEN|57TLV|67VULN|7BPWR|8RCR|9DMG|aDUR
136	52163 32211	   	214.35	DCR|2VULN|2TLV|1DMG|1AART	1RMIN|27CGEN|3BEXP|4BBNT|57TLV|67VULN|7BPWR|8RCR|9DMG|aAART
137	54113 32211	   	214.35	DCR|2VULN|2TLV|1DMG|1AART	1RMIN|27BEXP|3BBNT|4CGEN|57TLV|67VULN|7BPWR|8RCR|9DMG|aAART
138	55413 21331	 * 	214.33	DCR|2VULN|3MLV|1TLV	1RMIN|27LWND|37VULN|4ASPD|5LIT|67aMLV|7BPWR|8TLV|9RCR
