0	Index      	 *	Score 	Summary	Detail	
1	13226 26333	 * 	270.64	ACR|DCR|2VULN|1FLTARM|1DMG|1MLV|1CDMG	1CDMG|26VULN|3RMIN|4aRCR|5DMG|7ERES|8FLTARM|9MLV
16	13532 13635	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aDUR
17	13533 23635	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|aDUR
18	13537 23631	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5DUR|6RAT|78RCR|aRMIN
19	13537 23632	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5DUR|6RAT|78RCR|aCGEN
20	13537 23634	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5DUR|6RAT|78RCR|aRCVC
21	16531 23631	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUR|3MBVNT|4DUST|59VULN|6RAT|78RCR|aRMIN
22	16531 23632	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUR|3MBVNT|4DUST|59VULN|6RAT|78RCR|aCGEN
23	16531 23634	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUR|3MBVNT|4DUST|59VULN|6RAT|78RCR|aRCVC
24	65233 21316	   	256.14	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1NUKE|26VULN|3ERES|4BBNT|5AART|7aRCR|8RAT|9DUR
25	13537 23633	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG|1MSE	1CDMG|29VULN|3MBVNT|4DUST|5DUR|6RAT|78RCR|aMSE
26	16531 23633	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG|1MSE	1CDMG|2DUR|3MBVNT|4DUST|59VULN|6RAT|78RCR|aMSE
27	21233 14421	 * 	255.04	DCR|DCR|2VULN|2DUR	1CGEN|28VULN|3ERES|4BBNT|57DUR|6aRCR|9FEWX
28	21233 14461	   	255.04	DCR|DCR|2VULN|2DUR	1CGEN|28VULN|3ERES|4BBNT|57DUR|6aRCR|9LWND
29	14144 22212	   	250.35	DCR|DCR|1TLV|1FLTARM|1AART|1CDMG	1CDMG|2FLTARM|3SPLARM|4TLV|5RCVC|6ZMB|7AART|89RCR|aERES
30	14144 22213	   	250.35	DCR|DCR|1TLV|1FLTARM|1AART|1CDMG	1CDMG|2FLTARM|3SPLARM|4TLV|5RCVC|6ZMB|7AART|89RCR|aBBNT
31	13533 23638	 * 	248.90	DCR|DCR|2VULN|2CDMG	1aCDMG|29VULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR
32	34311 32132	 * 	243.74	DCR|3VULN|2DMG|1TLV|1AART	19LIT|2TLV|3BOSS|4AART|59aVULN|69DMG|7RCR|8MDPS|9BPWR
33	13353 31443	 * 	242.86	DCR|DCR|1VULN|1DMG|2CDMG	19CDMG|2VULN|34BEXP|5SPLJET|6aRCR|7DMG|8RMIN
34	13323 31443	   	242.76	DCR|DCR|1VULN|1DMG|2CDMG	19CDMG|2VULN|3BEXP|4MULHEA|5AEFBLL|6aRCR|7DMG|8RMIN
35	52131 23534	   	242.69	DCR|DCR|2VULN|1DUR	13FEWX|2RPLT|3BPWR|4DUST|59VULN|6RAT|78RCR|aDUR
36	13361 25134	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|25VULN|3BEXP|48LWND|6ZMB|7aRCR|9MBVNT
37	13361 25534	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|25VULN|38BEXP|4LWND|6ZMB|7aRCR|9MBVNT
38	21323 36166	   	242.69	DCR|DCR|2VULN|1AART	19CGEN|29VULN|3TBNT|4ZMB|5AART|6RAT|7aRCR|89DUST|9BPWR
39	13331 65153	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1CDMG|25VULN|3BEXP|4DUST|6AAC|7aRCR|8LWND|9VENICY
40	13331 65353	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1CDMG|25VULN|3BEXP|4DUST|6AAC|7aRCR|8FEWX|9VENICY
41	21233 12421	   	242.59	DCR|DCR|2VULN|1DUR	17CGEN|28VULN|3ERES|4BBNT|5DUR|6aRCR|9FEWX
42	21233 12461	   	242.59	DCR|DCR|2VULN|1DUR	17CGEN|28VULN|3ERES|4BBNT|5DUR|6aRCR|9LWND
43	21323 21356	   	242.59	DCR|DCR|2VULN|1AART	1CGEN|26VULN|3TBNT|4ZMB|5AART|7aRCR|8RAT|9DUST
44	25323 21356	   	242.59	DCR|DCR|2VULN|1AART	1CGEN|2BBNT|36VULN|4ZMB|5AART|7aRCR|8RAT|9DUST
45	33122 61617	   	242.59	DCR|DCR|2VULN|1AART	1LIT|2AART|36VULN|4MBVNT|56LWND|6BPWR|7BLAICY|8aRCR|9ERES
46	13532 13631	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aRMIN
47	13532 13632	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aCGEN
48	13532 13634	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aRCVC
49	13532 13636	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aBEXP
50	13532 13637	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aLWND
51	13532 73631	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6LWND|78RCR|aRMIN
52	13532 73632	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6LWND|78RCR|aCGEN
53	13532 73634	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6LWND|78RCR|aRCVC
54	13533 23631	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|aRMIN
55	13533 23632	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|aCGEN
56	13533 23634	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|aRCVC
57	13533 23636	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5aBEXP|6RAT|78RCR
58	13532 13626	   	242.49	DCR|DCR|2VULN|1CDMG	1CDMG|2aVULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|9BBNT
59	13532 13633	   	242.49	DCR|DCR|2VULN|1CDMG|1MSE	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aMSE
60	13532 13638	   	242.49	DCR|DCR|2VULN|1CDMG	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|aERES
61	13532 13646	   	242.49	DCR|DCR|2VULN|1CDMG	1CDMG|2aVULN|3MBVNT|4DUST|5RAT|6FEWX|78RCR|9TBNT
62	13532 73633	   	242.49	DCR|DCR|2VULN|1CDMG|1MSE	1CDMG|29VULN|3MBVNT|4DUST|5RAT|6LWND|78RCR|aMSE
63	13533 23617	   	242.49	DCR|DCR|2VULN|1CDMG	1CDMG|2aVULN|3MBVNT|49DUST|5BEXP|6RAT|78RCR
64	13533 23626	   	242.49	DCR|DCR|2VULN|1CDMG	1CDMG|2aVULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|9BBNT
65	13533 23633	   	242.49	DCR|DCR|2VULN|1CDMG|1MSE	1CDMG|29VULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|aMSE
66	13533 23646	   	242.49	DCR|DCR|2VULN|1CDMG	1CDMG|2aVULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR|9TBNT
