0	Index      	 *	Score 	Summary	Detail	
1	23533 31552	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1DMSP|2CDMG|3AME|4LWND|5MLV|6aRCR|7VULN|8DUR|9TLV
33	26621 31823	   	243.49	DCR|DCR|1VULN|1DMG|1CDMG	1DMSP|2MBVNT|3CDMG|4DMG|5VULN|6RPLT|7ASPD|8LHND|9aRCR
34	26273 21118	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMSP|2MBVNT|3ASPD|4DMG|5MDPS|6DUR|7CGEN|89RCR|aVULN
35	26621 31723	   	243.39	DCR|DCR|1VULN|1DMG|1CDMG	1DMSP|2MBVNT|3CDMG|4DMG|5VULN|6RPLT|7ASPD|8DUST|9aRCR
36	53123 56223	 * 	243.01	DCR|DCR|3CDMG|1TLV|1DMG|1AAC	128CDMG|3BEXP|4DMG|5AME|6TLV|7AAC|9aRCR
37	53223 56223	   	243.01	DCR|DCR|3CDMG|1TLV|1DMG|1AAC	128CDMG|3LWND|4DMG|5AME|6TLV|7AAC|9aRCR
38	23214 36352	   	242.89	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2CDMG|35LWND|45LHND|5BPWR|6aRCR|7BEXP|8VULN|9TLV
39	23214 31452	   	242.79	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2CDMG|35LWND|45LHND|5BPWR|6aRCR|7VULN|8DUST|9TLV
40	23242 31252	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2CDMG|34LWND|5AETHUN|6aRCR|7VULN|8LHND|9TLV
41	23531 63252	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2CDMG|3AME|4LWND|5VULN|6aRCR|7CGEN|8LHND|9TLV
42	23242 31452	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2CDMG|34LWND|5AETHUN|6aRCR|7VULN|8DUST|9TLV
43	23523 33652	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2CDMG|3AME|4VULN|5CGEN|6aRCR|7DUST|8LWND|9TLV
44	51242 31252	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2AEFBLL|34LWND|5AETHUN|6aRCR|7VULN|8LHND|9TLV
45	43652 31144	   	242.35	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1AART|2SELL|37ERES|47LIT|57VULN|6aRCR|7BPWR|8MBVNT|9CDMG
