0	Index      	 *	Score 	Summary	Detail	
1	36234 22261	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1AART	1LHND|2DMG|3VULN|4RCVC|5TLV|6AART|7aRCR|8ERES|9BOSS
71	13223 52432	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2TBNT|3AEWIND|4LEGI|5VULN|6DUR|7LHND|8aRCR|9FLTHEA
72	61533 21342	   	241.81	ACR|DCR|2VULN|1TLV|1CDMG	18VULN|2aRCR|3AETHUN|4VENFST|5CDMG|6LHND|7TLV|9ASPD
73	62112 16422	   	240.78	DCR|3VULN|2FLTARM|1TLV	17aVULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8RCR|9LHND
74	62112 16512	   	240.78	DCR|3VULN|2FLTARM|1TLV	17aVULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8FEWX|9RCR
75	61332 16343	   	239.61	ACR|DCR|2DMG|1VULN|1TLV	1VULN|27RCR|3ASPD|4MULHEA|59DMG|6RCVC|8AME|aTLV
76	66133 21223	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AAC	158VULN|2DMG|3TBNT|4TLV|6LWND|7RCR|9DUR|aAAC
77	66133 61223	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AAC	158VULN|2DMG|3TBNT|4TLV|6LHND|7RCR|9DUR|aAAC
78	11212 61511	   	239.37	DCR|DCR|2TLV|1VULN	14TLV|2FEWX|3VULN|5RMIN|6BBNT|7aRCR|8RAT|9RPLT
79	62112 16316	   	238.61	DCR|2VULN|2FLTARM|1TLV|1DMG	17VULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8DMG|9BBNT|aRCR
80	62112 16431	   	238.61	DCR|2VULN|2FLTARM|1TLV|1DMG	17VULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8RCR|9DMG|aDUST
81	62112 16432	   	238.61	DCR|2VULN|2FLTARM|1TLV|1DMG	17VULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8RCR|9DMG|aERES
82	63136 21221	 * 	237.51	DCR|4VULN|2DUR|1TLV	158aVULN|2aAME|3TBNT|4TLV|6LWND|7RCR|9aDUR|aBPWR
83	63136 61221	   	237.51	DCR|4VULN|2DUR|1TLV	158aVULN|2aAME|3TBNT|4TLV|6LHND|7RCR|9aDUR|aBPWR
84	36236 33116	   	237.03	DCR|3VULN|2DMG|1TLV	1LHND|25DMG|359VULN|4RCVC|5BPWR|6ASPD|7RCR|8ZMB|aTLV
85	66221 21433	   	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	13VULN|25DMG|4BOSS|6DUR|7LEGI|8RCR|9TLV|aMLV
86	36236 33316	   	236.93	DCR|3VULN|2DMG|1TLV	1LHND|25DMG|359VULN|4RCVC|5BPWR|6ASPD|7RCR|8AME|aTLV
87	63356 33323	   	236.83	DCR|3VULN|2DMG|1TLV|1AAC	156VULN|2AME|3ASPD|45DMG|5BPWR|7TLV|8AAC|9ERES|aRCR
88	35351 12343	   	235.88	DCR|DCR|1VULN|1TLV	1LHND|2BBNT|3RAT|4ASPD|5CGEN|6VULN|7DUST|8aRCR|9TLV
89	65331 23343	   	235.88	DCR|DCR|1VULN|1TLV	1VULN|2BBNT|3RAT|4FEWX|5LWND|6ERES|7ASPD|8aRCR|9TLV
90	65331 31343	   	235.88	DCR|DCR|1VULN|1TLV	1VULN|2BBNT|3RAT|4FEWX|5LWND|6ASPD|7AME|8aRCR|9TLV
91	61332 26121	 * 	235.77	ACR|DCR|3DMG|1VULN|2ASPD	1VULN|27RCR|36ASPD|4MULHEA|59aDMG|8LIT
92	63233 42611	 * 	235.23	DCR|5VULN|1TLV	1349aVULN|2AME|5FEWX|6ASPD|7TLV|8RCR
93	66131 21223	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1AAC	18VULN|25DMG|3TBNT|4TLV|6LWND|7RCR|9DUR|aAAC
94	66131 61223	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1AAC	18VULN|25DMG|3TBNT|4TLV|6LHND|7RCR|9DUR|aAAC
95	61134 31116	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG	17VULN|2aRCR|3LIT|4CDMG|5TLV|69RAT|8BBNT
96	61134 31316	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG	17VULN|2aRCR|3LIT|4CDMG|5TLV|69RAT|8TBNT
97	61261 43231	   	234.97	ACR|DCR|2VULN|1TLV|1DUR	18VULN|2aRCR|3CGEN|4TLV|5RPLT|6DUR|7RAT|9BBNT
98	16211 31341	 * 	234.46	DCR|2VULN|3TLV|1DMG|2ASPD|1AART	148TLV|2LHND|38VULN|5DMSP|68ASPD|7AART|8BPWR|9RCR|aDMG
99	63233 42612	   	233.95	DCR|4VULN|1TLV|1MLV	1349VULN|2AME|5FEWX|6ASPD|7TLV|8RCR|aMLV
100	66242 22321	   	232.94	DCR|3VULN|2DMG|1MLV|1AART	138VULN|28DMG|4MLV|5AART|6DUST|78AEWIND|8BPWR|9RPLT|aRCR
