0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41533 34443	7	 * 	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79aVULN|8RCR
14	35421 52123	2	   	255.85	DCR|3VULN|3DMG|2LIT|1CDMG	17LIT|246VULN|356DMG|6BPWR|8ZMB|9RCR|aCDMG
15	42233 12421	6	 * 	255.76	DCR|3VULN|2DMG|3CDMG|1AART	1RCVC|237CDMG|37BPWR|467VULN|57DMG|8LIT|9RCR|aAART
16	13322 33625	5	 * 	255.36	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LWND|2aASPD|3AART|4TLV|5DUR|6RCR|7aVULN|8MLV|9aDMG|aBPWR
17	13324 33625	4	   	255.36	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LWND|2aASPD|3AART|4TLV|5DUR|6RCR|7aVULN|8MLV|9aDMG|aBPWR
18	13322 35525	5	   	255.36	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LWND|2aASPD|3AART|4TLV|5DUR|6RCR|7aDMG|8CGEN|9aVULN|aBPWR
19	31236 62136	5	   	254.24	DCR|3VULN|2DUR|1TLV|2LIT	16LIT|2CGEN|38DUR|456VULN|6BPWR|7ASPD|9TLV|aRCR
20	11653 22226	6	 * 	254.19	DCR|4VULN|2DUR|1DMG	1LWND|25DUR|3679VULN|4LIT|8DMG|aRCR
21	11653 32226	5	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|25DUR|3679VULN|4LIT|8DMG|aRCR
22	11335 32216	2	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|29DUR|3467VULN|5LIT|8DMG|aRCR
23	11635 32216	3	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|29DUR|3467VULN|5LIT|8DMG|aRCR
24	11652 22216	6	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|29DUR|3567VULN|4LIT|8DMG|aRCR
25	11652 32216	5	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|29DUR|3567VULN|4LIT|8DMG|aRCR
26	21335 32216	2	   	254.19	DCR|4VULN|2DUR|1DMG	1LHND|29DUR|3467VULN|5LIT|8DMG|aRCR
27	32236 32626	5	   	254.05	DCR|4VULN|1TLV|1DUR	1LIT|2MLV|3DUR|4569VULN|7ASPD|8TLV|aRCR
28	61332 34263	2	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1BEXP|245DUR|34aVULN|4BPWR|6TLV|7RCR|8LHND|9AART
29	11335 33414	2	   	253.26	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|2DUR|3468VULN|5LIT|7CDMG|9DMG|aRCR
30	21335 33414	2	   	253.26	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2DUR|3468VULN|5LIT|7CDMG|9DMG|aRCR
31	35121 21436	2	 * 	252.85	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|247VULN|3CGEN|58DMG|67LWND|7BPWR|9TLV|aRCR
32	61334 15221	2	   	252.71	DCR|3VULN|3DUR|1TLV	1BEXP|246DUR|346VULN|46BPWR|5RPLT|7TLV|8LIT|9LWND|aRCR
33	26151 14113	6	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1LHND|25TLV|3CDMG|47aVULN|68DUR|9RCR
34	26151 24113	5	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1LHND|25TLV|3CDMG|47aVULN|68DUR|9RCR
35	61244 41211	8	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	1BEXP|24DUR|34TLV|4BPWR|5MBVNT|68aVULN|7RCR|9CDMG
36	66121 12253	6	   	252.68	DCR|4VULN|2TLV|1CDMG|1AART	18BEXP|28TLV|3CDMG|4DUST|568aVULN|7AART|8BPWR|9RCR
37	35121 11436	2	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|247VULN|3CGEN|58DMG|67DUST|7BPWR|9TLV|aRCR
38	61334 15231	2	   	252.61	DCR|3VULN|3DUR|1TLV	1BEXP|246DUR|346VULN|46BPWR|5RPLT|7TLV|8LIT|9LEGI|aRCR
39	61332 34324	2	 * 	252.38	DCR|3VULN|3DUR|2TLV	1BEXP|245DUR|34aVULN|4BPWR|69TLV|7RCR|8ZMB
40	61214 16323	2	   	252.12	DCR|4VULN|2DUR|1TLV	1BEXP|26DUR|3RPLT|4569VULN|6BPWR|7ZMB|8RCR|aTLV
41	61225 71224	10	   	251.92	DCR|4VULN|2DUR|1TLV	1BEXP|29DUR|3TLV|468aVULN|5MBVNT|7RCR
42	35421 52121	2	   	251.86	DCR|3VULN|3DMG|2LIT|1AART	17LIT|246VULN|356DMG|6BPWR|8ZMB|9RCR|aAART
43	35422 21136	2	   	251.51	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	17LIT|247VULN|3DMG|5TLV|67LWND|7BPWR|8DUR|9RCVC|aRCR
44	32663 24131	10	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|24MLV|34DMG|4BPWR|5CDMG|67VULN|8TLV|9DUR|aRCR
45	33131 36326	1	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	12LIT|379VULN|4TLV|5DMG|6CGEN|8DUR|aRCR
46	35422 11136	2	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	17LIT|247VULN|3DMG|5TLV|67DUST|7BPWR|8DUR|9RCVC|aRCR
47	15112 15423	10	   	251.03	DCR|3VULN|2DMG|2DUR	19LWND|2RPLT|3RCVC|469VULN|56DUR|69BPWR|7ASPD|89DMG|aRCR
48	25112 15423	10	   	251.03	DCR|3VULN|2DMG|2DUR	19LHND|2RPLT|3RCVC|469VULN|56DUR|69BPWR|7ASPD|89DMG|aRCR
49	25312 15423	10	   	251.03	DCR|3VULN|2DMG|2DUR	139LHND|2RPLT|469VULN|56DUR|69BPWR|7ASPD|89DMG|aRCR
50	16153 37421	5	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|2TLV|3CDMG|489aVULN|5MBVNT|6DUR|7RCR
51	61225 71211	8	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|2DUR|3TLV|468aVULN|5MBVNT|7RCR|9CDMG
52	61632 17421	1	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|2TLV|3MBVNT|4DUR|5CDMG|689aVULN|7RCR
53	26151 24113	4	   	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	1LHND|2TLV|35CDMG|47aVULN|68DUR|9RCR
54	23152 61314	4	   	250.57	DCR|3VULN|1TLV|1DMG|1CDMG	15LHND|2ASPD|3CDMG|456VULN|5BPWR|7TLV|8LIT|9DMG|aRCR
55	42151 34122	10	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RCVC|2CDMG|3DUR|4DMG|5TLV|67aVULN|8RMIN|9RCR
56	42151 34322	10	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RCVC|2CDMG|3DUR|4DMG|5TLV|67aVULN|8CGEN|9RCR
57	32633 31361	10	 * 	249.88	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	18LIT|2MLV|38DMG|4BEXP|56TLV|78VULN|8BPWR|9CDMG|aRCR
58	32633 31364	9	   	249.88	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	18LIT|2MLV|38DMG|4BEXP|56TLV|78VULN|8BPWR|9CDMG|aRCR
59	41533 34441	7	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RCR|aBELT
60	41533 34445	7	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RCR|aMLV
61	41533 34446	7	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RCR|aFEWX
62	41533 34224	9	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RPLT|aRCR
63	41533 34442	7	   	249.63	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RCR|aBBNT
64	41533 34447	7	   	249.63	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RCR|aDUST
65	41533 34448	7	   	249.63	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79VULN|8RCR|aTBNT
66	61332 34521	2	 * 	249.23	DCR|2VULN|3DUR|1TLV|1DMG|1AART	1BEXP|245DUR|34VULN|4BPWR|6TLV|7RCR|8TBNT|9AART|aDMG
67	41131 61326	8	   	249.02	DCR|3VULN|2TLV|2ASPD|1DUR	1RCVC|28ASPD|3LIT|48TLV|5DUR|6ERES|789VULN|8BPWR|aRCR
68	61334 16313	2	   	248.91	DCR|4VULN|3DUR|1AART	18BEXP|246DUR|346aVULN|46BPWR|5RPLT|7RCR|9AART
69	16351 36223	3	   	248.61	DCR|3VULN|2DUR|1TLV|2AART	17LWND|2TLV|39AART|4BELT|578VULN|67DUR|7BPWR|aRCR
70	33131 21334	1	 * 	248.35	DCR|3VULN|2TLV|3LIT|1DMG	127LIT|378VULN|4aTLV|5DMG|67LWND|7BPWR|9RCR
71	11243 26343	10	 * 	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1LWND|24DUR|34TLV|4BPWR|5DMG|6FEWX|7RCR|8CDMG|9aVULN
72	11243 36343	10	   	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1LWND|24DUR|34TLV|4BPWR|5DMG|6BEXP|7RCR|8CDMG|9aVULN
73	33131 11334	1	   	248.15	DCR|3VULN|2TLV|3LIT|1DMG	127LIT|378VULN|4aTLV|5DMG|67DUST|7BPWR|9RCR
74	35363 21143	8	   	248.10	DCR|3VULN|2DUR|1DMG|2LIT	1aLIT|256VULN|3RPLT|45DUR|5BPWR|7DMG|8ASPD|9RCR
75	35363 21243	7	   	248.10	DCR|3VULN|2DUR|1DMG|2LIT	1aLIT|256VULN|3RPLT|45DUR|5BPWR|7DMG|8ASPD|9RCR
76	42213 25513	2	   	248.00	DCR|3VULN|2DMG|2CDMG|1DUR	1RCVC|27CDMG|3LHND|4DMSP|57aVULN|67DMG|7BPWR|8DUR|9RCR
77	43333 25513	5	   	248.00	DCR|3VULN|2DMG|2CDMG|1DUR	12RCVC|37aVULN|4LHND|57CDMG|67DMG|7BPWR|8DUR|9RCR
78	23152 24113	4	   	247.88	DCR|4VULN|2DUR|1CDMG	15LHND|2ASPD|3CDMG|457aVULN|5BPWR|68DUR|9RCR
79	23155 24113	4	   	247.78	DCR|4VULN|2DUR|1CDMG	1LHND|2ASPD|3CDMG|457aVULN|68DUR|9RCR
80	31236 21436	8	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2CGEN|36DUR|457VULN|8ASPD|9TLV|aRCR
81	32223 32626	3	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2MLV|35DUR|469VULN|7ASPD|8TLV|aRCR
82	32233 32626	4	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2MLV|35DUR|469VULN|7ASPD|8TLV|aRCR
83	32236 32136	5	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2MLV|38DUR|456VULN|7ASPD|9TLV|aRCR
84	32236 32616	5	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2MLV|39DUR|456VULN|7ASPD|8TLV|aRCR
85	32423 32626	1	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2MLV|35DUR|469VULN|7ASPD|8TLV|aRCR
86	32423 32626	2	   	247.59	DCR|3VULN|2DUR|1TLV	1LIT|2MLV|35DUR|469VULN|7ASPD|8TLV|aRCR
87	35233 13552	9	   	247.56	DCR|3VULN|2TLV|2DUR	1LIT|29aVULN|3FEWX|4BEXP|59TLV|6LHND|79DUR|8RCR|9BPWR
88	35233 26113	10	 * 	247.56	DCR|3VULN|3TLV|2DUR	1LIT|269VULN|3FEWX|4BEXP|569TLV|69BPWR|7LHND|89DUR|aRCR
89	61334 16212	2	   	247.55	DCR|4VULN|3DUR	1BEXP|246DUR|346aVULN|46BPWR|5RPLT|7RCR|8ASPD|9LHND
90	61334 16222	2	   	247.55	DCR|4VULN|3DUR	1BEXP|246DUR|346aVULN|46BPWR|5RPLT|7RCR|8ASPD|9LWND
91	61334 26123	2	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	1BEXP|24DUR|349VULN|4BPWR|5RPLT|68ASPD|7RCR|aTLV
92	13334 24613	1	 * 	247.04	DCR|5VULN|1DMG|1CDMG	1LWND|2LHND|3578aVULN|4CDMG|6DMG|9RCR
93	13152 24114	4	   	246.89	DCR|3VULN|2DUR|1DMG|1CDMG	15LWND|2ASPD|3CDMG|457VULN|5BPWR|68DUR|9RCR|aDMG
94	23152 24114	4	   	246.89	DCR|3VULN|2DUR|1DMG|1CDMG	15LHND|2ASPD|3CDMG|457VULN|5BPWR|68DUR|9RCR|aDMG
95	61333 13414	2	   	246.89	DCR|3VULN|2DUR|1DMG|1CDMG	15BEXP|24DUR|348VULN|4BPWR|6LIT|7CDMG|9DMG|aRCR
96	31423 31614	1	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2LHND|3DMG|478VULN|59DUR|6CDMG|aRCR
97	33423 31614	2	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2LWND|3DMG|478VULN|59DUR|6CDMG|aRCR
98	35223 31614	3	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|278VULN|3FEWX|4DMG|59DUR|6CDMG|aRCR
99	35323 31614	2	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|278VULN|3LHND|4DMG|59DUR|6CDMG|aRCR
100	26336 12142	5	 * 	246.59	DCR|2VULN|3DMG|3TLV|1AART	1aLHND|268TLV|3AART|45aDMG|7aVULN|9RCR|aBPWR
101	26131 32463	10	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1LHND|29TLV|3CDMG|4LIT|59ERES|6DUR|7RCR|89aVULN|9BPWR
102	11345 11352	2	 * 	246.37	DCR|3VULN|3DUR|1DMG	1LWND|258DUR|35aVULN|4TBNT|5BPWR|6LIT|7RCR|9DMG
103	13334 24213	1	 * 	246.29	DCR|4VULN|2DMG|1CDMG	1LWND|2LHND|357aVULN|4CDMG|68DMG|9RCR
104	14334 24213	2	   	246.29	DCR|4VULN|2DMG|1CDMG	1LWND|2LHND|357aVULN|4CDMG|68DMG|9RCR
105	24334 24213	2	   	246.29	DCR|4VULN|2DMG|1CDMG	1LHND|2LWND|357aVULN|4CDMG|68DMG|9RCR
106	24334 24213	1	   	246.29	DCR|4VULN|2DMG|1CDMG	1LHND|2LWND|357aVULN|4CDMG|68DMG|9RCR
107	11335 52226	2	   	246.16	DCR|4VULN|1DMG|1DUR|2LIT	1LWND|2DUR|3479VULN|56LIT|8DMG|aRCR
108	21335 52226	2	   	246.16	DCR|4VULN|1DMG|1DUR|2LIT	1LHND|2DUR|3479VULN|56LIT|8DMG|aRCR
109	31236 61226	5	   	246.16	DCR|4VULN|1DMG|1DUR|2LIT	16LIT|2CGEN|3DUR|4569VULN|6BPWR|7ERES|8DMG|aRCR
110	42233 12424	6	   	246.10	DCR|3VULN|2DMG|3CDMG	1RCVC|237CDMG|37BPWR|467VULN|57DMG|8LIT|9RCR|aRMIN
111	42233 12425	6	   	246.10	DCR|3VULN|2DMG|3CDMG	1RCVC|237CDMG|37BPWR|467VULN|57DMG|8LIT|9RCR|aRPLT
112	42233 12426	6	   	246.10	DCR|3VULN|2DMG|3CDMG	1RCVC|237CDMG|37BPWR|467VULN|57DMG|8LIT|9RCR|aCGEN
113	42233 12422	6	   	246.00	DCR|3VULN|2DMG|3CDMG	1RCVC|237CDMG|37BPWR|467VULN|57DMG|8LIT|9RCR|aERES
114	31231 66631	5	   	245.98	DCR|4VULN|2DUR|3LIT	168LIT|25CGEN|38DUR|4678VULN|68BPWR|9RCR|aFEWX
115	31231 66633	5	   	245.98	DCR|4VULN|2DUR|3LIT	168LIT|25aCGEN|38DUR|4678VULN|68BPWR|9RCR
116	42233 12423	6	   	245.85	DCR|3VULN|2DMG|3CDMG|1SELL	1RCVC|237CDMG|37BPWR|467VULN|57DMG|8LIT|9RCR|aSELL
117	11226 11253	10	   	245.75	DCR|4VULN|1TLV|1DUR	1LWND|2DUR|3TLV|489aVULN|5CGEN|6ASPD|7RCR
118	26315 22611	9	   	244.82	DCR|3VULN|1TLV|1DMG|2LIT|1AART	19LHND|2TLV|3AART|49LIT|5MBVNT|689VULN|7RCR|9BPWR|aDMG
119	36131 36326	2	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LIT|2DMSP|379VULN|4TLV|5DMG|6CGEN|8DUR|aRCR
120	16152 24111	4	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15LWND|2TLV|3CDMG|457VULN|5BPWR|68DUR|9RCR|aLHND
121	16152 24112	4	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15LWND|2TLV|3CDMG|457VULN|5BPWR|68DUR|9RCR|aFEWX
122	26152 22513	4	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	158LHND|2TLV|3CDMG|45aVULN|5BPWR|67DUR|9RCR
123	26152 24111	4	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15aLHND|2TLV|3CDMG|457VULN|5BPWR|68DUR|9RCR
124	26152 24112	4	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15LHND|2TLV|3CDMG|457VULN|5BPWR|68DUR|9RCR|aRMIN
125	11226 54111	4	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|28DUR|3TLV|467VULN|5CDMG|9RCR|aLHND
126	11226 54112	4	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|28DUR|3TLV|467VULN|5CDMG|9RCR|aFEWX
127	16152 24113	4	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	15LWND|2TLV|3CDMG|457VULN|5BPWR|68DUR|9RCR|aBBNT
128	26152 14113	6	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	15LHND|2TLV|3CDMG|47aVULN|68DUR|9RCR
129	26152 24113	5	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	15LHND|2TLV|3CDMG|47aVULN|68DUR|9RCR
130	32633 31366	8	   	244.54	DCR|2VULN|2DMG|2TLV|2LIT	18LIT|2MLV|38DMG|4BEXP|56TLV|78VULN|8BPWR|9ASPD|aRCR
131	11226 54113	4	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|28DUR|3TLV|467VULN|5CDMG|9RCR|aBBNT
132	61632 17431	1	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|2TLV|3MBVNT|49DUR|5CDMG|68aVULN|7RCR
