0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61252 23342	7	 * 	286.05	DCR|5VULN|3DUR|2LIT|1SELL	179DUR|2RCVC|3SELL|45679VULN|79BPWR|89LIT|aRCR
26	62621 33336	2	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|6RCR|7CDMG|8LHND|9aVULN
27	62621 33631	2	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|6RCR|7CDMG|89VULN|aCGEN
28	62621 34322	2	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|6RCR|79VULN|8RCVC|aCDMG
29	62621 53322	2	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|69VULN|7RCR|8RCVC|aCDMG
30	62621 33633	2	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|6RCR|7CDMG|89VULN|aERES
31	31212 52624	9	   	268.89	DCR|3VULN|3DMG|2DUR|1AART|1SELL	1AART|2RMIN|34aDMG|5SELL|69aVULN|7RCR|8aDUR|aBPWR
32	31216 34411	6	   	267.27	DCR|3VULN|3DMG|1ASPD|1AART	1AART|2RMIN|348DMG|568VULN|7RCR|8BPWR|9LIT|aASPD
33	62223 52362	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|29DMG|3CGEN|4CDMG|5RPLT|689VULN|7RCR|9BPWR|aFEWX
34	32223 22341	5	   	267.06	DCR|4VULN|1DMG|1TLV|1CDMG|1AART	1AART|2ERES|3DMG|467aVULN|5TLV|8RCR|9CDMG
35	22124 23326	7	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1BEXP|25aDMG|3ERES|4CDMG|6aVULN|7ASPD|8aDUR|9RCR|aBPWR
36	22124 25326	6	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1BEXP|25aDMG|3ERES|4CDMG|6aVULN|7ASPD|8aDUR|9RCR|aBPWR
37	22124 25326	5	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1BEXP|25aDMG|3ERES|4CDMG|6aVULN|7ASPD|8aDUR|9RCR|aBPWR
38	22335 25326	2	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1BEXP|23aDMG|4ERES|5CDMG|6aVULN|7ASPD|8aDUR|9RCR|aBPWR
39	62121 53225	9	 * 	266.78	DCR|3DMG|3DUR|1VULN|3ASPD|1CDMG	189DUR|289DMG|35ERES|4CDMG|6RCR|789ASPD|89BPWR|aVULN
40	62231 62163	5	   	266.71	DCR|3VULN|3DUR|2DMG	17aDUR|26DMG|3CGEN|4LHND|568VULN|6BPWR|9RCR
41	62131 62163	5	   	266.61	DCR|3VULN|3DUR|2DMG	17aDUR|26DMG|3ERES|4LHND|568VULN|6BPWR|9RCR
42	66123 24345	6	   	266.51	DCR|3VULN|3DUR|2DMG	149DUR|234ERES|49BPWR|5MBVNT|69DMG|7RCR|89aVULN
43	66523 23212	10	 * 	265.17	DCR|3VULN|3DUR|2CDMG|1TLV	157DUR|27ERES|3TLV|48CDMG|679VULN|7BPWR|aRCR
44	62621 21422	2	   	265.12	DCR|2VULN|3DMG|3DUR|1AART	145DUR|245DMG|3TBNT|459BPWR|6AART|7BELT|89VULN|aRCR
45	22122 51126	9	   	264.45	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	1BEXP|2aDMG|3ERES|4CDMG|5aVULN|6RCR|7ASPD|89aDUR|aBPWR
46	22122 51126	8	   	264.45	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	1BEXP|2aDMG|3ERES|4CDMG|5aVULN|6RCR|7ASPD|89aDUR|aBPWR
47	62223 52163	7	   	264.29	DCR|2VULN|3DMG|2DUR|1CDMG	19DUR|289DMG|3CGEN|4CDMG|5RPLT|69VULN|7RCR|9BPWR|aLIT
48	32453 25223	6	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1AART|27ERES|37DUR|4RPLT|5678VULN|7BPWR|9RCR|aTLV
49	31216 34412	6	   	264.04	DCR|3VULN|3DMG|2AART	1aAART|2RMIN|348DMG|568VULN|7RCR|8BPWR|9LIT
50	22251 61161	5	   	263.49	DCR|5VULN|1DMG|1DUR	16BEXP|2DMG|3CGEN|4568aVULN|6BPWR|7DUR|9RCR
51	22151 61161	5	   	263.39	DCR|5VULN|1DMG|1DUR	16BEXP|2DMG|3ERES|4568aVULN|6BPWR|7DUR|9RCR
52	62231 26161	7	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|2DMG|3CGEN|4LHND|5678aVULN|9RCR
53	62131 26161	7	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|2DMG|3ERES|4LHND|5678aVULN|9RCR
54	62231 41511	10	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|2aDMG|37CGEN|4LHND|59aVULN|6AART|8RCR|aBPWR
55	62231 43511	10	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|2aDMG|3CGEN|4LHND|59aVULN|6AART|7RCVC|8RCR|aBPWR
56	32453 31153	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|2aERES|39DUR|4RPLT|58aVULN|6RCR|7aDMG|aBPWR
57	64322 15232	2	   	262.90	DCR|3VULN|2DMG|2DUR|1AART|1SELL	17DUR|2DUST|37DMG|4SELL|5AART|678VULN|7BPWR|9FEWX|aRCR
58	65322 15232	1	   	262.90	DCR|3VULN|2DMG|2DUR|1AART|1SELL	17DUR|2DUST|37DMG|4SELL|5AART|678VULN|7BPWR|9FEWX|aRCR
59	62522 22126	7	 * 	262.79	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1aDUR|2aDMG|3TLV|48CDMG|5aVULN|6RMIN|7LEGI|9RCR|aBPWR
60	66523 23312	10	 * 	262.57	DCR|3VULN|3DUR|2TLV|1CDMG	157DUR|27ERES|38TLV|4CDMG|679VULN|7BPWR|aRCR
61	12434 15232	5	   	262.11	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	17DUST|27DMG|3DUR|4AART|5CDMG|678VULN|7BPWR|9FEWX|aRCR
62	32132 55222	2	   	262.01	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1AART|28ERES|3BBNT|489VULN|5DUR|6CDMG|78DMG|8BPWR|aRCR
63	32223 21341	7	   	262.01	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|2ERES|36DMG|47aVULN|5TLV|8RCR|9CDMG
64	32223 22341	6	   	262.01	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|2ERES|36DMG|47aVULN|5TLV|8RCR|9CDMG
65	36132 55222	1	   	262.01	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1AART|2TBNT|38ERES|489VULN|5DUR|6CDMG|78DMG|8BPWR|aRCR
66	62231 62124	5	   	261.79	DCR|3VULN|2DMG|2DUR	17DUR|26DMG|3CGEN|4LHND|568VULN|6BPWR|9LIT|aRCR
67	32223 22361	5	   	261.72	DCR|4VULN|1DMG|1TLV|1AART	1AART|2ERES|3DMG|467aVULN|5TLV|8RCR|9LIT
68	62131 62124	5	   	261.69	DCR|3VULN|2DMG|2DUR	17DUR|26DMG|3ERES|4LHND|568VULN|6BPWR|9LIT|aRCR
69	32413 22214	3	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|2ERES|35DUR|467VULN|8TLV|9RCR|aDMG
70	32413 25214	3	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|2ERES|35DUR|468VULN|7TLV|9RCR|aDMG
71	22252 61161	4	   	261.54	DCR|4VULN|2DMG|1DUR	16BEXP|25DMG|3CGEN|468aVULN|6BPWR|7DUR|9RCR
72	22253 61161	3	   	261.54	DCR|4VULN|2DMG|1DUR	16BEXP|24DMG|3CGEN|568aVULN|6BPWR|7DUR|9RCR
73	22323 61161	2	   	261.54	DCR|4VULN|2DMG|1DUR	16BEXP|23DMG|4CGEN|568aVULN|6BPWR|7DUR|9RCR
74	22153 61161	3	   	261.44	DCR|4VULN|2DMG|1DUR	16BEXP|24DMG|3ERES|568aVULN|6BPWR|7DUR|9RCR
75	22333 61161	2	   	261.44	DCR|4VULN|2DMG|1DUR	16BEXP|23DMG|4ERES|568aVULN|6BPWR|7DUR|9RCR
76	62122 31126	8	   	261.44	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	18DUR|2aDMG|3ERES|4CDMG|5aVULN|6BEXP|7aASPD|9RCR|aBPWR
77	62122 51126	8	   	261.34	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	18DUR|2aDMG|3ERES|4CDMG|5aVULN|6DUST|7aASPD|9RCR|aBPWR
78	32453 25221	6	 * 	261.26	DCR|4VULN|3DUR|1AART	1AART|27ERES|37aDUR|4RPLT|5678VULN|7BPWR|9RCR
79	22434 11123	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1BEXP|2DMG|3DUR|4AART|5CDMG|689VULN|7RCR|aTLV
80	52434 11123	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2DMG|3DUR|4AART|5CDMG|689VULN|7RCR|aTLV
81	62334 11123	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1DUR|2DMG|3LWND|4AART|5CDMG|689VULN|7RCR|aTLV
82	12434 11123	5	   	260.67	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1AART	1DUST|2DMG|3DUR|4AART|5CDMG|689VULN|7RCR|aTLV
83	32223 22343	5	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|2ERES|3DMG|467VULN|5TLV|8RCR|9CDMG|aDUR
84	22222 55212	7	   	260.36	DCR|3VULN|3DMG|1CDMG	18BEXP|28aDMG|3CGEN|4CDMG|578VULN|6RCR|8BPWR|9LIT
85	22122 55212	7	   	260.26	DCR|3VULN|3DMG|1CDMG	18BEXP|28aDMG|3ERES|4CDMG|578VULN|6RCR|8BPWR|9LIT
86	66222 33215	7	   	259.86	DCR|4VULN|3DUR|1SELL	167DUR|2ERES|3SELL|47CGEN|5679VULN|67BPWR|8LIT|aRCR
87	22434 11121	5	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1BEXP|2DMG|3aDUR|4AART|5CDMG|689VULN|7RCR
88	52434 11121	5	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1FEWX|2DMG|3aDUR|4AART|5CDMG|689VULN|7RCR
89	62334 11121	5	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1aDUR|2DMG|3LWND|4AART|5CDMG|689VULN|7RCR
90	12434 11121	5	   	259.01	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1DUST|2DMG|3aDUR|4AART|5CDMG|689VULN|7RCR
91	31133 32414	8	 * 	258.97	ACR|4VULN|2DMG|2CDMG|1DUR|1AART	1AART|2RMIN|3RCR|456aVULN|7DUR|8aCDMG|9aDMG|aBPWR
92	62611 21162	3	   	258.58	DCR|2VULN|3DMG|2DUR|1TLV	19DUR|289DMG|3RMIN|4LWND|5CGEN|69VULN|7RCR|9BPWR|aTLV
93	62631 21162	4	   	258.58	DCR|2VULN|3DMG|2DUR|1TLV	19DUR|289DMG|3RMIN|4LHND|5CGEN|69VULN|7RCR|9BPWR|aTLV
94	22251 61163	5	   	258.54	DCR|4VULN|2DUR|1DMG	16BEXP|2DMG|3CGEN|4568VULN|6BPWR|7aDUR|9RCR
95	22251 25161	7	   	258.44	DCR|4VULN|2DUR|1DMG	1BEXP|2DMG|3CGEN|458aVULN|67DUR|9RCR
96	62231 26131	9	   	258.44	DCR|4VULN|2DUR|1DMG	18DUR|2DMG|3CGEN|4LHND|567aVULN|9RCR
97	62231 26161	8	   	258.44	DCR|4VULN|2DUR|1DMG	18DUR|2DMG|3CGEN|4LHND|567aVULN|9RCR
98	62251 63132	5	   	258.44	DCR|4VULN|2DUR|1DMG	16DUR|2DMG|3CGEN|4568VULN|6BPWR|7DUST|9LHND|aRCR
99	22151 61163	5	   	258.44	DCR|4VULN|2DUR|1DMG	16BEXP|2DMG|3ERES|4568VULN|6BPWR|7aDUR|9RCR
100	62231 22161	6	   	258.44	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3CGEN|4LHND|568aVULN|9RCR
101	62231 26163	7	   	258.44	DCR|4VULN|2DUR|1DMG	1aDUR|2DMG|3CGEN|4LHND|5678VULN|9RCR
102	62251 63311	10	   	258.38	DCR|2VULN|3DMG|2DUR|1TLV	18DUR|27aDMG|3CGEN|45VULN|6TLV|9RCR
103	22151 25161	7	   	258.34	DCR|4VULN|2DUR|1DMG	1BEXP|2DMG|3ERES|458aVULN|67DUR|9RCR
104	62131 22161	6	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3ERES|4LHND|568aVULN|9RCR
105	62131 26131	9	   	258.34	DCR|4VULN|2DUR|1DMG	18DUR|2DMG|3ERES|4LHND|567aVULN|9RCR
106	62131 26161	8	   	258.34	DCR|4VULN|2DUR|1DMG	18DUR|2DMG|3ERES|4LHND|567aVULN|9RCR
107	62131 26163	7	   	258.34	DCR|4VULN|2DUR|1DMG	1aDUR|2DMG|3ERES|4LHND|5678VULN|9RCR
108	62151 63132	5	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2DMG|3ERES|4568VULN|6BPWR|7DUST|9LHND|aRCR
109	62251 22161	5	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3CGEN|458aVULN|6DUST|9RCR
110	62251 22161	6	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3CGEN|458aVULN|6DUST|9RCR
111	62151 63311	10	   	258.28	DCR|2VULN|3DMG|2DUR|1TLV	18DUR|27aDMG|3ERES|45VULN|6TLV|9RCR
112	62151 22161	6	   	258.24	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3ERES|458aVULN|6DUST|9RCR
113	62151 22161	5	   	258.24	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3ERES|458aVULN|6DUST|9RCR
114	31133 34414	7	 * 	257.95	ACR|5VULN|3DMG|1AART	1AART|29RMIN|3RCR|4568aVULN|78aDMG|8aBPWR
115	31133 22244	7	   	257.85	ACR|5VULN|3DMG|1AART	1AART|2RMIN|3RCR|4589aVULN|67aDMG|aBPWR
116	62124 53221	8	   	257.16	DCR|3DMG|3DUR|1VULN|2ASPD|1CDMG	189DUR|258DMG|3ERES|4CDMG|6RCR|78ASPD|8BPWR|aVULN
117	62124 53221	9	   	257.16	DCR|3DMG|3DUR|1VULN|2ASPD|1CDMG	189DUR|258DMG|3ERES|4CDMG|6RCR|78ASPD|8BPWR|aVULN
118	31133 34264	7	   	257.15	ACR|5VULN|2DMG|2LIT|1AART	1AART|2RMIN|3RCR|4568aVULN|7aDMG|9aLIT|aBPWR
119	31222 34462	6	   	256.87	DCR|3VULN|2DMG|1TLV|1AART	1AART|25RMIN|38DMG|468VULN|7RCR|8BPWR|9LIT|aTLV
120	31222 34243	6	   	256.80	DCR|5VULN|1DMG|1AART	1AART|25RMIN|3DMG|4689aVULN|7RCR
121	31216 34262	6	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1AART|2RMIN|34DMG|568VULN|7RCR|9LIT|aTLV
122	32223 21361	7	   	256.67	DCR|3VULN|2DMG|1TLV|1AART	1AART|2ERES|36DMG|47aVULN|5TLV|8RCR|9LIT
123	32223 22361	6	   	256.67	DCR|3VULN|2DMG|1TLV|1AART	1AART|2ERES|36DMG|47aVULN|5TLV|8RCR|9LIT
124	62363 26212	9	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|27DMG|3LWND|4RPLT|5LHND|67VULN|7BPWR|8CDMG|9TLV|aRCR
125	62511 32126	7	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	16DUR|2aDMG|3TLV|4FEWX|5aVULN|7CDMG|8aZMB|9RCR|aBPWR
126	62522 23126	5	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2aDMG|3TLV|4CDMG|5aVULN|6BEXP|8aZMB|9RCR|aBPWR
127	62522 33126	6	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2aDMG|3TLV|4CDMG|5aVULN|6BEXP|8aZMB|9RCR|aBPWR
128	62522 22126	8	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|2aDMG|3TLV|4CDMG|5aVULN|6RMIN|7LEGI|8RCVC|9RCR|aBPWR
129	62522 22226	8	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|2aDMG|3TLV|4CDMG|5aVULN|6RMIN|7LEGI|8DMSP|9RCR|aBPWR
130	31226 12624	9	   	256.30	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1AART|2RMIN|3aDMG|49VULN|5aCDMG|6RCVC|7RCR|8aDUR|aBPWR
131	31216 34413	6	   	256.27	DCR|3VULN|3DMG|1AART	1AART|2RMIN|348DMG|568VULN|7RCR|8BPWR|9LIT|aZMB
132	32453 31323	6	   	256.23	DCR|3VULN|2DMG|2AART|1DUR	18AART|2aERES|3DUR|4RPLT|59aVULN|6RCR|7aDMG|aBPWR
133	32453 34323	7	   	256.23	DCR|3VULN|2DMG|2AART|1DUR	18AART|2aERES|3DUR|4RPLT|59aVULN|6RCR|7aDMG|aBPWR
134	62522 11133	2	 * 	256.05	DCR|2VULN|2DMG|2DUR|2TLV|1AART|1SELL	1aDUR|2aDMG|3FEWX|4SELL|5AART|68VULN|7RCR|9aTLV|aBPWR
