0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61473 37332	2	 * 	301.24	DCR|5VULN|3DMG|1TLV	1MBVNT|245DMG|3459aVULN|45BPWR|6TLV|7RCR|8LIT
29	14243 13232	7	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	129DUR|3RMIN|4LHND|589DMG|6RCR|79VULN|9BPWR|aTLV
30	14243 14232	6	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	129DUR|3RMIN|4LHND|589DMG|6RCR|79VULN|9BPWR|aTLV
31	41533 13232	7	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	1RMIN|239DUR|39BPWR|4BEXP|589DMG|6RCR|79VULN|aTLV
32	41533 14232	6	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	1RMIN|239DUR|39BPWR|4BEXP|589DMG|6RCR|79VULN|aTLV
33	41543 13232	7	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	1RMIN|239DUR|39BPWR|4LHND|589DMG|6RCR|79VULN|aTLV
34	62142 24367	1	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	1MBVNT|238DUR|4TLV|589VULN|6RCR|78CDMG|8BPWR|aLIT
35	64442 24333	2	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|35aVULN|458DUR|58BPWR|6RCR|78CDMG|9LHND
36	64442 24361	2	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|359VULN|458DUR|58BPWR|6RCR|78CDMG|aCGEN
37	64442 24362	2	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|359VULN|458DUR|58BPWR|6RCR|78CDMG|aFEWX
38	64442 24364	2	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|359VULN|458DUR|58BPWR|6RCR|78CDMG|aLWND
39	64142 24458	3	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1MBVNT|2TLV|35LIT|458aVULN|5BPWR|6DMG|7DUR|9RCR
40	64442 24326	2	   	272.34	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|35aVULN|458DUR|58BPWR|6RCR|78CDMG|9ERES
41	64442 24343	2	   	272.34	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|35aVULN|458DUR|58BPWR|6RCR|78CDMG|9DUST
42	64442 24363	2	   	272.34	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|359VULN|458DUR|58BPWR|6RCR|78CDMG|aBBNT
43	64442 23251	2	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2TLV|359aVULN|45DUR|5BPWR|6RCR|7CGEN|8DMG
44	64442 26251	2	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2TLV|359aVULN|45DUR|5BPWR|6RCR|7ERES|8DMG
45	61473 37344	2	   	271.51	DCR|3VULN|3DMG|1TLV	1MBVNT|245DMG|345VULN|45BPWR|6TLV|7RCR|8LIT|9AART|aBEXP
46	15523 31224	7	 * 	271.43	DCR|2VULN|3DUR|2TLV|3ASPD|1DMG	134DUR|237ASPD|37BPWR|57TLV|67VULN|8DMG|9BBNT|aRCR
47	15523 31324	8	   	271.43	DCR|2VULN|3DUR|2TLV|3ASPD|1DMG	134DUR|237ASPD|37BPWR|57TLV|67VULN|8DMG|9BBNT|aRCR
48	61473 37341	2	   	271.41	DCR|3VULN|3DMG|1TLV	1MBVNT|245DMG|345VULN|45BPWR|6TLV|7RCR|8LIT|9AART|aERES
49	61473 37343	2	   	271.41	DCR|3VULN|3DMG|1TLV|1NUKE	1MBVNT|245DMG|345VULN|45BPWR|6TLV|7RCR|8LIT|9AART|aNUKE
50	14622 41233	8	   	271.40	DCR|3VULN|3DMG|3DUR	124DUR|389DMG|5RCVC|69aVULN|7RCR|9BPWR
