0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21563 13532	8	 * 	291.69	DCR|5VULN|3DMG|1ASPD	1RMIN|248DMG|34589VULN|48BPWR|6RCR|78BEXP|aASPD
67	23344 16311	9	   	265.25	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|3578VULN|48DMG|68CDMG|8BPWR|9RCR|aERES
68	23344 16312	9	   	265.25	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|3578VULN|48DMG|68CDMG|8BPWR|9RCR|aBBNT
69	22563 11513	6	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1RMIN|24ASPD|3458VULN|4BPWR|6RCR|7CGEN|9DUR|aDMG
70	22563 12513	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1RMIN|24ASPD|3458VULN|4BPWR|6RCR|7MLV|9DUR|aDMG
71	22563 33241	8	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1RMIN|24ASPD|3458VULN|4BPWR|6TLV|7RPLT|9RCR|aDMG
72	22563 33251	9	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1RMIN|24ASPD|3458VULN|4BPWR|6TLV|7RPLT|9RCR|aDMG
73	22532 23625	3	   	265.06	DCR|4VULN|2ASPD|1DMG|1TLV	1RMIN|24ASPD|3478VULN|4BPWR|5DMG|6MBVNT|9RCR|aTLV
74	21563 23243	8	   	264.83	DCR|5VULN|2DMG	1RMIN|24DMG|3458aVULN|4BPWR|6MLV|7RPLT|9RCR
75	21563 23253	9	   	264.83	DCR|5VULN|2DMG	1RMIN|24DMG|3458aVULN|4BPWR|6MLV|7RPLT|9RCR
76	26413 84434	2	   	264.63	DCR|5VULN|2DMG	1RMIN|24589VULN|3MBVNT|68DMG|78DUST|8BPWR|aRCR
77	21563 12325	9	 * 	264.51	DCR|3VULN|3DMG|3CDMG	1RMIN|249DMG|345VULN|49BPWR|6RCR|79MLV|89aCDMG
78	21563 14232	7	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|24DMG|345VULN|4BPWR|6RCR|7aDUR|8ASPD|9CGEN
79	21563 14133	7	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1RMIN|24DMG|345VULN|4BPWR|6RCR|79DUR|8BBNT|aAART
80	21563 13353	8	   	262.96	DCR|3VULN|3DMG|1CDMG|1ASPD	1RMIN|24aDMG|345VULN|4BPWR|6RCR|7BEXP|8CDMG|9ASPD
81	22563 14233	7	   	262.93	DCR|4VULN|3ASPD|1DUR	1RMIN|248ASPD|3459VULN|4BPWR|6RCR|7DUR|aLIT
82	21532 33111	3	   	262.86	DCR|3VULN|3DMG|1TLV	1RMIN|245DMG|346VULN|46BPWR|7TLV|8LIT|9BEXP|aRCR
83	21532 33151	3	   	262.86	DCR|3VULN|3DMG|1TLV	1RMIN|245DMG|346VULN|46BPWR|7TLV|8LIT|9LWND|aRCR
84	21562 33111	4	   	262.86	DCR|3VULN|3DMG|1TLV	1RMIN|245DMG|346VULN|46BPWR|7TLV|8LIT|9BEXP|aRCR
85	21562 33151	4	   	262.86	DCR|3VULN|3DMG|1TLV	1RMIN|245DMG|346VULN|46BPWR|7TLV|8LIT|9LWND|aRCR
86	21563 11623	7	   	262.86	DCR|3VULN|3DMG|1DUR	1RMIN|24aDMG|345VULN|4BPWR|6RCR|7DMSP|8LIT|9DUR
87	21532 33131	3	   	262.76	DCR|3VULN|3DMG|1TLV	1RMIN|245DMG|346VULN|46BPWR|7TLV|8LIT|9DUST|aRCR
88	21562 33131	4	   	262.76	DCR|3VULN|3DMG|1TLV	1RMIN|245DMG|346VULN|46BPWR|7TLV|8LIT|9DUST|aRCR
89	21563 15111	7	   	262.21	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1RMIN|24DMG|345VULN|4BPWR|6RCR|7CDMG|8RCVC|9TLV|aAART
90	21563 12135	10	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|24DMG|345VULN|4BPWR|6RCR|7MLV|8aDUR|9LIT
