0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21336 43632	2	 * 	283.52	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1ASPD|269DMG|3DUR|4LIT|568VULN|6BPWR|7AART|aRCR
22	34311 16334	6	   	272.86	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG|1AART	1AART|28ASPD|3CDMG|48VULN|5CGEN|6DUR|78DMG|8BPWR|9TLV|aRCR
23	36311 15334	6	   	272.86	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG|1AART	1AART|28DMG|3CDMG|48VULN|5CGEN|6DUR|78ASPD|8BPWR|9TLV|aRCR
24	36343 32135	4	   	270.42	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|29DMG|3CDMG|4TLV|567VULN|8RCR|aLIT
25	25633 22361	10	 * 	268.77	DCR|5VULN|2DUR|1ASPD|1SELL	1ASPD|26DUR|3468aVULN|5SELL|6BPWR|7FEWX|9RCR
26	23244 11222	10	   	268.47	DCR|4VULN|3ASPD|1TLV|1CDMG	167ASPD|2TLV|37LWND|4RPLT|567aVULN|67BPWR|8CDMG|9RCR
27	23244 11222	9	   	268.47	DCR|4VULN|3ASPD|1TLV|1CDMG	167ASPD|2TLV|37LWND|4RPLT|567aVULN|67BPWR|8CDMG|9RCR
28	34311 12136	4	 * 	268.33	DCR|4VULN|1DMG|2CDMG|1ASPD|1AART	1AART|2ASPD|35CDMG|457aVULN|5BPWR|6CGEN|8RCR|9DMG
29	14235 36312	10	 * 	268.11	ACR|5VULN|3DMG|3TLV|1SELL	1SELL|29aTLV|3479aVULN|5RCR|6RCVC|89aDMG|9aBPWR
30	36311 22234	4	   	267.19	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	1AART|2DMG|35CDMG|459VULN|5BPWR|6BEXP|7DUR|8TLV|aRCR
31	36311 34234	4	   	267.19	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	1AART|2DMG|35CDMG|459VULN|5BPWR|6DUR|7FEWX|8TLV|aRCR
32	36311 62234	4	   	267.19	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	1AART|2DMG|35CDMG|459VULN|5BPWR|6LWND|7DUR|8TLV|aRCR
33	61113 62411	7	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	159ERES|29DMG|3CDMG|45DUR|59BPWR|6RCR|7DMSP|89aVULN
34	61113 62511	8	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	159ERES|29DMG|3CDMG|45DUR|59BPWR|6RCR|7DMSP|89aVULN
35	21212 42252	7	   	267.02	DCR|2VULN|3DMG|2CDMG|1TLV|1ASPD	1ASPD|25aDMG|3LWND|4LIT|6aCDMG|7RCR|8TLV|9aVULN|aBPWR
36	25521 13122	10	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	18ASPD|25DUR|3RPLT|45aVULN|5BPWR|6AART|7DMG|9RCR
37	21143 41411	7	   	265.80	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8RCR|9DUR|aZMB
38	21143 41412	7	   	265.80	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8RCR|9DUR|aRPLT
39	21143 41433	7	   	265.80	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8RCR|9LWND|aDUR
40	21143 53234	8	   	265.74	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	15ASPD|2DMG|3CDMG|459VULN|5BPWR|6DUST|7AART|8DUR|aRCR
41	21146 63222	10	   	265.74	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	16ASPD|2DMG|3CDMG|46aVULN|5MBVNT|6BPWR|7AART|8DUR|9RCR
42	31623 22334	3	 * 	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|28CDMG|358VULN|45ERES|58BPWR|6BEXP|78DUR|9DMG|aRCR
43	31643 22334	4	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|28CDMG|358VULN|45ERES|58BPWR|6BEXP|78DUR|9DMG|aRCR
44	25633 21136	6	   	265.48	DCR|4VULN|2DUR|1TLV|1ASPD|1SELL	1ASPD|26DUR|3469VULN|5SELL|6BPWR|7TLV|8CGEN|aRCR
45	25633 21236	6	   	265.48	DCR|4VULN|2DUR|1TLV|1ASPD|1SELL	1ASPD|26DUR|3469VULN|5SELL|6BPWR|7TLV|8MLV|aRCR
46	36315 32135	4	   	265.17	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	1AART|29DMG|3CDMG|467VULN|5ASPD|8RCR|aLIT
47	12543 26232	6	 * 	265.13	DCR|3VULN|3DUR|1DMG|1TLV|1SELL	1SELL|235DUR|35BPWR|456VULN|7LHND|8TLV|9RCR|aDMG
48	21153 33332	5	   	264.65	DCR|2VULN|3DMG|3CDMG|1TLV|1ASPD	1ASPD|245DMG|345CDMG|45BPWR|6ERES|7TLV|8aVULN|9RCR
49	25525 13222	10	   	264.52	DCR|4VULN|1DMG|1DUR|1ASPD|1AART	1ASPD|2DUR|3RPLT|458aVULN|6AART|7DMG|9RCR
50	25521 13522	10	   	264.33	DCR|3VULN|2DUR|1DMG|2AART|1ASPD	1ASPD|25DUR|3RPLT|45aVULN|5BPWR|68AART|7DMG|9RCR
51	21143 21324	5	 * 	264.17	DCR|3VULN|3ASPD|1DMG|2CDMG	157ASPD|2DMG|37CDMG|457VULN|57BPWR|6TBNT|8DMSP|9LIT|aRCR
52	21143 21524	5	   	264.17	DCR|3VULN|3ASPD|1DMG|2CDMG	157ASPD|2DMG|37CDMG|457VULN|57BPWR|6TBNT|8RCVC|9LIT|aRCR
53	36314 32261	9	 * 	264.07	DCR|2VULN|2DMG|2DUR|2CDMG|2AART	15AART|29DMG|38CDMG|49VULN|6RCR|79DUR|9BPWR|aLHND
54	36314 32261	10	   	264.07	DCR|2VULN|2DMG|2DUR|2CDMG|2AART	15AART|29DMG|38CDMG|49VULN|6RCR|79DUR|9BPWR|aLWND
55	36314 32262	10	   	264.07	DCR|2VULN|2DMG|2DUR|2CDMG|2AART	15AART|29DMG|38CDMG|49VULN|6RCR|79DUR|9BPWR|aZMB
56	36314 32263	9	   	263.97	DCR|2VULN|2DMG|2DUR|2CDMG|2AART	15AART|29DMG|38CDMG|49VULN|6RCR|79DUR|9BPWR|aDUST
57	12335 33415	7	 * 	263.68	ACR|3VULN|3DMG|3DUR|1CDMG|1SELL	1SELL|289DUR|3ERES|489VULN|5RCR|6RCVC|789DMG|89BPWR|aCDMG
58	34314 22134	7	   	263.67	DCR|3VULN|2ASPD|1DMG|2CDMG|2AART	15AART|27ASPD|37CDMG|467VULN|7BPWR|8DMG|9ERES|aRCR
59	34314 22214	8	   	263.67	DCR|3VULN|2ASPD|1DMG|2CDMG|2AART	15AART|27ASPD|37CDMG|467VULN|7BPWR|8ERES|9DMG|aRCR
60	34314 22314	7	   	263.67	DCR|3VULN|2ASPD|1DMG|2CDMG|2AART	15AART|27ASPD|37CDMG|467VULN|7BPWR|8ERES|9DMG|aRCR
61	31552 11222	7	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|2CDMG|3LIT|478VULN|5aDUR|6TLV|9RCR
62	14165 31222	2	 * 	263.57	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	1SELL|2aTLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR
63	14265 31222	3	 * 	263.57	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	1SELL|2aTLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR
64	34314 33233	8	   	263.30	DCR|3VULN|1DMG|2AART|1DUR|1CDMG|1ASPD	15AART|2ASPD|3CDMG|49aVULN|6RCR|7DMG|8DUR
65	21336 43132	2	   	263.16	DCR|2VULN|3DMG|1DUR|2LIT|1ASPD|1AART	1ASPD|269DMG|3DUR|48LIT|56VULN|6BPWR|7AART|aRCR
66	36511 16212	9	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1AART|29DMG|3NUKE|46CGEN|589VULN|79DUR|9BPWR|aRCR
67	33532 15532	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|27ERES|35DMG|47DUR|678VULN|7BPWR|9RMIN|aRCR
68	12234 13234	6	   	262.81	DCR|3VULN|2DUR|2ASPD|1TLV|1AART|1SELL	1SELL|27DUR|3FEWX|47ASPD|579VULN|6AART|7BPWR|8TLV|aRCR
69	12634 13234	6	   	262.81	DCR|3VULN|2DUR|2ASPD|1TLV|1AART|1SELL	1SELL|27DUR|3BEXP|47ASPD|579VULN|6AART|7BPWR|8TLV|aRCR
70	12434 13234	6	   	262.71	DCR|3VULN|2DUR|2ASPD|1TLV|1AART|1SELL	1SELL|27DUR|3DUST|47ASPD|579VULN|6AART|7BPWR|8TLV|aRCR
71	32314 16334	5	   	262.65	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1AART|28CGEN|3CDMG|48VULN|5DUR|6ASPD|78DMG|8BPWR|9TLV|aRCR
72	32314 16334	4	   	262.65	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1AART|28CGEN|3CDMG|48VULN|5DUR|6ASPD|78DMG|8BPWR|9TLV|aRCR
73	21143 24336	8	 * 	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	15ASPD|2DMG|3CDMG|4589VULN|5BPWR|6FEWX|7CGEN|aRCR
74	21143 62251	10	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	15ASPD|2DMG|3CDMG|4589VULN|5BPWR|6BELT|7LWND|aRCR
75	23135 62511	7	 * 	262.57	DCR|4VULN|2ASPD|2TLV|1CDMG	19ASPD|29TLV|3CDMG|4ZMB|5RMIN|6RCR|789aVULN|9BPWR
76	36343 32131	4	   	262.11	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|29DMG|3CDMG|4TLV|567VULN|8RCR|aCGEN
77	36343 32132	4	   	262.11	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|29DMG|3CDMG|4TLV|567VULN|8RCR|aBEXP
78	36343 32134	4	   	262.11	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|29DMG|3CDMG|4TLV|567VULN|8RCR|aBELT
79	36343 32133	4	   	262.01	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|29DMG|3CDMG|4TLV|567VULN|8RCR|aDUST
80	34311 35334	4	   	261.94	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD|1AART	1AART|2ASPD|35CDMG|459VULN|5BPWR|6DUR|7DMG|8LWND|aRCR
81	36311 35334	4	   	261.94	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD|1AART	1AART|2DMG|35CDMG|459VULN|5BPWR|6DUR|7ASPD|8LWND|aRCR
82	32315 32136	4	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2CGEN|3CDMG|467aVULN|5ASPD|8RCR|9DMG
83	34311 32136	5	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2ASPD|3CDMG|467aVULN|5CGEN|8RCR|9DMG
84	36315 32113	4	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2DMG|3CDMG|467aVULN|5ASPD|8RCR|9LHND
85	35314 21316	9	   	261.88	DCR|4VULN|2DUR|1CDMG|1AART	1AART|27MLV|3CDMG|4678VULN|57DUR|7BPWR|9FEWX|aRCR
86	31625 32136	3	   	261.82	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2CDMG|367aVULN|4ERES|5ASPD|8RCR|9DMG
87	33315 32136	4	   	261.82	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2ERES|3CDMG|467aVULN|5ASPD|8RCR|9DMG
88	34312 32136	5	   	261.82	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2ASPD|3CDMG|467aVULN|5ERES|8RCR|9DMG
89	36315 32143	4	   	261.82	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|2DMG|3CDMG|467aVULN|5ASPD|8RCR|9DUST
90	62315 32136	4	   	261.82	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1ERES|2AART|3CDMG|467aVULN|5ASPD|8RCR|9DMG
91	31354 83235	6	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	1AART|27CDMG|3RMIN|4MBVNT|579VULN|67DUR|7BPWR|8TLV|aRCR
92	21214 42252	7	 * 	261.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	15ASPD|2aDMG|3LWND|4LIT|6aCDMG|7RCR|8TLV|9aVULN|aBPWR
93	21143 22222	9	 * 	261.49	DCR|2VULN|2DMG|3ASPD|2CDMG|2LIT	158ASPD|29DMG|39CDMG|45VULN|59BPWR|6FEWX|79LIT|aRCR
94	21143 22223	10	   	261.49	DCR|2VULN|2DMG|3ASPD|2CDMG|2LIT	158ASPD|29DMG|39CDMG|45VULN|59BPWR|6FEWX|79LIT|aRCR
95	12335 33412	7	 * 	261.03	ACR|3VULN|3DMG|3DUR|1ASPD|1SELL	1SELL|289DUR|3ERES|489VULN|5RCR|6RCVC|789DMG|89BPWR|aASPD
96	21151 21263	4	 * 	260.88	DCR|2VULN|2DMG|3ASPD|3CDMG	17aASPD|24DMG|347CDMG|47BPWR|57VULN|6TBNT|8LIT|9RCR
97	32314 21144	9	 * 	260.78	DCR|3VULN|3DUR|1CDMG|1AART	1AART|27CGEN|3CDMG|467VULN|578DUR|7BPWR|9LIT|aRCR
98	32314 21154	8	   	260.78	DCR|3VULN|3DUR|1CDMG|1AART	1AART|27CGEN|3CDMG|467VULN|578DUR|7BPWR|9LIT|aRCR
99	36313 22234	7	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|2DMG|3CDMG|469VULN|5BEXP|7DUR|8TLV|aRCR
100	36313 22234	6	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|2DMG|3CDMG|469VULN|5BEXP|7DUR|8TLV|aRCR
101	36313 52234	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|2DMG|3CDMG|469VULN|5LHND|7DUR|8TLV|aRCR
102	36313 52234	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|2DMG|3CDMG|469VULN|5BEXP|7DUR|8TLV|aRCR
103	25333 42236	6	   	260.67	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	15ASPD|2DUR|3FEWX|457VULN|5BPWR|6LIT|8RCR|9CDMG|aTLV
104	36311 12135	4	   	260.58	DCR|3VULN|2DMG|2CDMG|1AART	1AART|29DMG|35CDMG|457VULN|5BPWR|6CGEN|8RCR|aLIT
105	36531 12116	10	 * 	260.58	DCR|3VULN|2DMG|2TLV|1NUKE|1AART	1AART|28DMG|3NUKE|4RPLT|5LIT|68aVULN|78TLV|8BPWR|9RCR
106	33314 21144	9	   	260.58	DCR|3VULN|3DUR|1CDMG|1AART	1AART|27ERES|3CDMG|467VULN|578DUR|7BPWR|9LIT|aRCR
107	33314 21154	8	   	260.58	DCR|3VULN|3DUR|1CDMG|1AART	1AART|27ERES|3CDMG|467VULN|578DUR|7BPWR|9LIT|aRCR
108	23331 51164	2	 * 	260.39	DCR|3VULN|2ASPD|3TLV|1DUR|1AART	19ASPD|289TLV|3DUR|4LIT|5AART|69aVULN|7RCR|9BPWR
109	23336 31164	2	   	260.39	DCR|3VULN|2ASPD|3TLV|1DUR|1AART	19ASPD|289TLV|3DUR|4LIT|59aVULN|6AART|7RCR|9BPWR
110	25521 24112	5	 * 	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	1ASPD|259DUR|3RPLT|458VULN|5BPWR|6LHND|7RCR|aDMG
111	61331 31461	2	   	260.10	DCR|2VULN|3DMG|2DUR|1AART	19ERES|289DMG|3aDUR|4LIT|5AART|69VULN|7RCR|9BPWR
112	25333 42262	6	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	15ASPD|2DUR|3FEWX|4579VULN|5BPWR|6aLIT|8RCR
113	11165 31222	2	   	259.86	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2MLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aTLV
114	11265 31222	3	   	259.86	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2MLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aTLV
115	14165 31221	2	   	259.86	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2TLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aZMB
116	14165 31223	2	   	259.86	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2TLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aCGEN
117	14265 31221	3	   	259.86	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2TLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aZMB
118	14265 31223	3	   	259.86	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2TLV|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aCGEN
119	15165 31222	2	   	259.76	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2ERES|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aTLV
120	15265 31222	3	   	259.76	DCR|4VULN|2CDMG|1TLV|1DUR|1SELL	1SELL|2ERES|3567VULN|45CDMG|5BPWR|8DUR|9RCR|aTLV
121	25241 14133	5	 * 	259.69	DCR|4VULN|2DUR|2ASPD	19ASPD|29DUR|3ERES|4RPLT|5CGEN|689aVULN|7RCR|9BPWR
122	25531 14133	5	   	259.69	DCR|4VULN|2DUR|2ASPD	19ASPD|29DUR|3RPLT|4ERES|5CGEN|689aVULN|7RCR|9BPWR
123	25333 34221	6	 * 	259.68	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	15ASPD|27aDUR|3FEWX|45VULN|5BPWR|6TLV|8RCR|9DMG
124	25333 36221	7	   	259.68	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	15ASPD|27aDUR|3FEWX|45VULN|5BPWR|6TLV|8RCR|9DMG
125	21431 22516	7	 * 	259.62	DCR|3VULN|3DMG|2ASPD	19ASPD|249DMG|3ZMB|5RPLT|6MLV|789VULN|9BPWR|aRCR
126	21431 22616	8	   	259.62	DCR|3VULN|3DMG|2ASPD	19ASPD|249DMG|3ZMB|5RPLT|6MLV|789VULN|9BPWR|aRCR
127	21467 33322	9	   	259.52	DCR|3VULN|3DMG|2ASPD	17ASPD|278DMG|3ZMB|4MBVNT|5LWND|67aVULN|7BPWR|9RCR
128	21467 33322	10	   	259.52	DCR|3VULN|3DMG|2ASPD	17ASPD|278DMG|3ZMB|4MBVNT|5LWND|67aVULN|7BPWR|9RCR
129	34314 32233	7	   	259.48	DCR|3VULN|2AART|1TLV|1DUR|1CDMG|1ASPD	15AART|2ASPD|3CDMG|49aVULN|6RCR|7DUR|8TLV
130	36351 33522	2	   	259.46	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	1AART|23DMG|3BPWR|4CGEN|568VULN|7DUR|9ASPD|aRCR
131	21156 63333	10	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|24DMG|34CDMG|4BPWR|5DUR|6RCR|7MLV|8aVULN|9TLV
132	61331 31463	2	   	259.16	DCR|2VULN|3DMG|1DUR|1CDMG|1AART	19ERES|289DMG|3DUR|4LIT|5AART|69VULN|7RCR|9BPWR|aCDMG
133	33314 21234	8	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1AART|27ERES|3CDMG|467VULN|57DUR|7BPWR|8FEWX|9DMG|aRCR
134	33314 21434	7	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1AART|27ERES|3CDMG|467VULN|57DUR|7BPWR|8FEWX|9DMG|aRCR
135	62314 21234	8	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	17ERES|2AART|3CDMG|467VULN|57DUR|7BPWR|8FEWX|9DMG|aRCR
136	33312 61332	10	   	259.01	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1AART|257ERES|3CDMG|47aVULN|67DUR|7BPWR|8RCR|9DMG
137	33314 21634	7	   	259.01	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1AART|27ERES|3CDMG|467VULN|57DUR|7BPWR|8DUST|9DMG|aRCR
138	62312 61332	10	   	259.01	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	157ERES|2AART|3CDMG|47aVULN|67DUR|7BPWR|8RCR|9DMG
139	11234 23453	9	 * 	258.70	DCR|4VULN|2DMG|1CDMG|1SELL	1SELL|2aMLV|346aVULN|5ERES|7CDMG|8RCR|9aDMG|aBPWR
140	31624 52134	6	   	258.61	DCR|3VULN|1DMG|2CDMG|2AART|1DUR	14AART|26CDMG|367VULN|5MBVNT|6BPWR|8RCR|9DMG|aDUR
141	12543 33352	10	   	258.54	DCR|3VULN|3DUR|1DMG|1AART|1SELL	1SELL|235DUR|35BPWR|459VULN|6AART|7LWND|8RCR|aDMG
142	26143 43321	10	   	258.42	DCR|3VULN|3CDMG|1DMG|1DUR|1ASPD	1ASPD|2RMIN|356CDMG|456VULN|56BPWR|7DMG|8RPLT|9RCR|aDUR
143	14233 35161	10	 * 	258.29	DCR|4VULN|2DUR|2TLV|1SELL	1SELL|27TLV|347aVULN|57DUR|6RCVC|7BPWR|8LHND|9RCR
144	11165 31226	2	 * 	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|2MLV|3567VULN|45CDMG|5BPWR|8aDUR|9RCR
145	11265 31226	3	 * 	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|2MLV|3567VULN|45CDMG|5BPWR|8aDUR|9RCR
146	34311 22234	4	   	258.13	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD|1AART	1AART|2ASPD|35CDMG|459VULN|5BPWR|6BEXP|7DUR|8TLV|aRCR
147	34311 34234	4	   	258.13	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD|1AART	1AART|2ASPD|35CDMG|459VULN|5BPWR|6DUR|7FEWX|8TLV|aRCR
148	34311 62234	4	   	258.13	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD|1AART	1AART|2ASPD|35CDMG|459VULN|5BPWR|6LWND|7DUR|8TLV|aRCR
149	21151 21262	4	   	257.91	DCR|2VULN|2DMG|3CDMG|2ASPD|2LIT	17ASPD|24DMG|347CDMG|47BPWR|57VULN|6TBNT|8aLIT|9RCR
150	36333 22234	7	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|5LHND|69VULN|7DUR|8TLV|aRCR
151	36333 22234	6	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|5LHND|69VULN|7DUR|8TLV|aRCR
152	36333 22234	4	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|59VULN|6BEXP|7DUR|8TLV|aRCR
153	36333 34234	4	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|59VULN|6DUR|7FEWX|8TLV|aRCR
154	36333 62234	4	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|59VULN|6LWND|7DUR|8TLV|aRCR
155	36335 22234	6	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|5FEWX|69VULN|7DUR|8TLV|aRCR
