0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11255 33335	10	 * 	297.70	DCR|3VULN|3DMG|3DUR|1TLV	14aVULN|24aDUR|3RPLT|4aBPWR|5ERES|6RCR|7TLV|89aDMG
12	11251 21643	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	149VULN|245DUR|3RPLT|4BPWR|6TLV|78DMG|aRCR
13	11255 33315	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	14aVULN|24aDUR|3RPLT|4aBPWR|59ERES|6RCR|7TLV|8aDMG
14	11255 31633	6	 * 	281.84	DCR|4VULN|3DUR|2TLV	147aVULN|24aDUR|3RPLT|4aBPWR|5ERES|6RCR|8LIT|9aTLV
15	51181 23235	5	 * 	281.54	DCR|4VULN|2DMG|2DUR	1MBVNT|2AART|39DMG|4LIT|59DUR|689aVULN|7RCR|9BPWR
16	51183 43235	5	   	281.54	DCR|4VULN|2DMG|2DUR	1MBVNT|2AART|39DMG|4LIT|589aVULN|69DUR|7RCR|9BPWR
17	14332 53161	1	   	281.32	DCR|5VULN|2TLV|1DMG|1CDMG	13478VULN|2DMG|58ERES|68TLV|8BPWR|9CDMG|aRCR
18	14362 23161	1	   	281.32	DCR|5VULN|2TLV|1DMG|1CDMG	13678VULN|2DMG|48TLV|58ERES|8BPWR|9CDMG|aRCR
19	42521 11523	2	   	280.01	DCR|3VULN|3DMG|3DUR	189DMG|2ASPD|389VULN|4RMIN|5MLV|6FEWX|789DUR|89BPWR|aRCR
20	42521 31523	2	   	279.91	DCR|3VULN|3DMG|3DUR	189DMG|2ASPD|389VULN|4RMIN|5MLV|6DUST|789DUR|89BPWR|aRCR
21	14321 11524	1	 * 	278.80	ACR|5VULN|3DMG|3DUR	1389aVULN|289DMG|4CGEN|5RCR|6FEWX|789DUR|89BPWR
22	14311 11524	1	   	278.70	ACR|5VULN|3DMG|3DUR	1389aVULN|289DMG|4ERES|5RCR|6FEWX|789DUR|89BPWR
23	14321 31524	1	   	278.70	ACR|5VULN|3DMG|3DUR	1389aVULN|289DMG|4CGEN|5RCR|6DUST|789DUR|89BPWR
24	14311 31524	1	   	278.60	ACR|5VULN|3DMG|3DUR	1389aVULN|289DMG|4ERES|5RCR|6DUST|789DUR|89BPWR
25	11251 22362	8	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	148VULN|245DUR|3RPLT|4BPWR|6TLV|7CDMG|9RCR|aDMG
26	51181 23432	5	   	277.65	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|2AART|389DMG|4LIT|59DUR|69VULN|7RCR|9BPWR|aTLV
27	51183 43432	5	   	277.65	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|2AART|389DMG|4LIT|59VULN|69DUR|7RCR|9BPWR|aTLV
28	11166 33224	10	   	277.05	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	167VULN|27DUR|3AART|47ASPD|5RCVC|7BPWR|8DMG|9TLV|aRCR
29	11323 14162	3	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|29DUR|3ASPD|4MLV|5TBNT|79DMG|8RCR|9BPWR|aTLV
30	51146 21232	3	 * 	276.80	ACR|3VULN|3DMG|2DUR|1TLV|2LIT	1MBVNT|2AART|379DMG|47LIT|5RCR|679VULN|79BPWR|89DUR|aTLV
31	51186 21232	4	   	276.80	ACR|3VULN|3DMG|2DUR|1TLV|2LIT	1MBVNT|2AART|379DMG|47LIT|5RCR|679VULN|79BPWR|89DUR|aTLV
32	16431 33131	9	 * 	274.40	DCR|4VULN|3DMG|1DUR	1679VULN|2AART|347DMG|57LHND|7BPWR|8DUR|aRCR
33	13515 11511	3	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1478VULN|2CDMG|38TLV|58DUR|6TBNT|8BPWR|9LWND|aRCR
34	13515 11531	3	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1478VULN|2CDMG|38TLV|58DUR|6TBNT|8BPWR|9FEWX|aRCR
35	13535 11511	3	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1578VULN|2CDMG|38TLV|4TBNT|68DUR|8BPWR|9LWND|aRCR
36	13535 11531	3	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1578VULN|2CDMG|38TLV|4TBNT|68DUR|8BPWR|9FEWX|aRCR
37	13551 11511	4	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1578VULN|2CDMG|38TLV|48DUR|6TBNT|8BPWR|9LWND|aRCR
38	13551 11531	4	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1578VULN|2CDMG|38TLV|48DUR|6TBNT|8BPWR|9FEWX|aRCR
39	13511 11141	4	   	273.75	DCR|4VULN|2TLV|2DUR|1CDMG	1579VULN|2CDMG|39TLV|4LEGI|6TBNT|89DUR|9BPWR|aRCR
40	51181 23233	5	   	273.71	DCR|3VULN|3DUR|2DMG	1MBVNT|2AART|39DMG|4LIT|59aDUR|689VULN|7RCR|9BPWR
41	51183 43233	5	   	273.71	DCR|3VULN|3DUR|2DMG	1MBVNT|2AART|39DMG|4LIT|589VULN|69aDUR|7RCR|9BPWR
42	11343 23251	3	 * 	273.64	DCR|5VULN|3DUR|2ASPD	1467aVULN|258DUR|3aASPD|9RCR|aBPWR
43	11463 23251	4	   	273.64	DCR|5VULN|3DUR|2ASPD	1367aVULN|258DUR|4aASPD|9RCR|aBPWR
44	11463 23251	5	   	273.64	DCR|5VULN|3DUR|2ASPD	1367aVULN|258DUR|4aASPD|9RCR|aBPWR
45	11463 33251	6	   	273.64	DCR|5VULN|3DUR|2ASPD	1367aVULN|258DUR|4aASPD|9RCR|aBPWR
46	13565 33131	8	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	14569VULN|2CDMG|3TLV|7DMG|8RMIN|aRCR
47	13565 33131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	14569VULN|2CDMG|3TLV|7DMG|8RMIN|aRCR
48	13565 33231	7	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	14569VULN|2CDMG|3TLV|7DMG|8CGEN|aRCR
49	14334 25231	1	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	13479VULN|2DMG|5TLV|6CDMG|8CGEN|aRCR
50	14332 25431	1	   	273.15	DCR|5VULN|1TLV|1DMG|1CDMG	13479VULN|2DMG|5ERES|6CDMG|8TLV|aRCR
51	14332 53631	1	   	273.15	DCR|5VULN|1TLV|1DMG|1CDMG	13479VULN|2DMG|5ERES|6TLV|8CDMG|aRCR
52	14362 23631	1	   	273.15	DCR|5VULN|1TLV|1DMG|1CDMG	13679VULN|2DMG|4TLV|5ERES|8CDMG|aRCR
53	51182 41264	2	   	273.13	DCR|4VULN|2DMG|2DUR	1MBVNT|2AART|349aVULN|4aBPWR|5TBNT|6aDUR|7RCR|8aDMG
54	11266 33335	10	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1aVULN|25aDUR|3RPLT|4ERES|6RCR|7TLV|89aDMG|aBPWR
55	11251 21413	9	   	272.67	DCR|3VULN|3DUR|1TLV|1DMG	149VULN|245DUR|3RPLT|4BPWR|6TLV|7DMG|8LIT|aRCR
56	11251 21423	8	   	272.67	DCR|3VULN|3DUR|1TLV|1DMG	149VULN|245DUR|3RPLT|4BPWR|6TLV|7DMG|8LIT|aRCR
57	11254 21322	10	 * 	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1467VULN|24DUR|3RPLT|4BPWR|5BEXP|8TLV|9RCR|aDMG
58	11254 21324	9	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1467VULN|24DUR|3RPLT|4BPWR|5BEXP|8TLV|9RCR|aDMG
59	11256 21422	10	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1467VULN|24DUR|3RPLT|4BPWR|5FEWX|8TLV|9RCR|aDMG
60	13523 11141	5	   	272.19	DCR|4VULN|2DUR|1TLV|2CDMG	1579VULN|29CDMG|3TLV|45FEWX|59BPWR|6TBNT|89DUR|aRCR
61	13513 11141	3	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1479VULN|29CDMG|3TLV|5FEWX|6TBNT|89DUR|9BPWR|aRCR
62	13516 11141	3	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1479VULN|29CDMG|3TLV|5LWND|6TBNT|89DUR|9BPWR|aRCR
63	13521 11141	4	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1579VULN|29CDMG|3TLV|4FEWX|6TBNT|89DUR|9BPWR|aRCR
64	13535 21141	3	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1579VULN|29CDMG|3TLV|4TBNT|6LWND|89DUR|9BPWR|aRCR
65	13541 11141	4	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1579VULN|29CDMG|3TLV|4LHND|6TBNT|89DUR|9BPWR|aRCR
66	13563 11141	4	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1479VULN|29CDMG|3TLV|5FEWX|6TBNT|89DUR|9BPWR|aRCR
67	11255 32353	8	   	272.00	DCR|3VULN|3DUR|2DMG|2ASPD	14aVULN|249DUR|3RPLT|4aBPWR|5ERES|6RCR|7aASPD|8aDMG
68	13512 11141	3	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1479VULN|29CDMG|3TLV|5DUST|6TBNT|89DUR|9BPWR|aRCR
69	13521 11141	3	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1579VULN|29CDMG|3TLV|4DUST|6TBNT|89DUR|9BPWR|aRCR
70	13562 11141	4	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1479VULN|29CDMG|3TLV|5DUST|6TBNT|89DUR|9BPWR|aRCR
71	13563 11141	5	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1479VULN|29CDMG|3TLV|5DUST|6TBNT|89DUR|9BPWR|aRCR
72	11462 13331	7	   	271.98	DCR|4VULN|2DMG|2DUR	1389VULN|28DUR|4ASPD|5RPLT|6LWND|78DMG|8BPWR|aRCR
73	11323 14166	3	   	271.88	DCR|4VULN|2DMG|2DUR	169aVULN|29DUR|3ASPD|4MLV|5TBNT|79DMG|8RCR|9BPWR
74	43521 11523	1	   	271.70	DCR|3VULN|3DMG|3DUR	189DMG|2ZMB|389VULN|4RMIN|5MLV|6FEWX|789DUR|89BPWR|aRCR
75	43521 31523	1	   	271.60	DCR|3VULN|3DMG|3DUR	189DMG|2ZMB|389VULN|4RMIN|5MLV|6DUST|789DUR|89BPWR|aRCR
76	13565 32132	6	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	1456VULN|2CDMG|37TLV|8DMG|9RCR|aLIT
77	51828 13421	9	   	271.26	DCR|3VULN|3DMG|3DUR|1SELL	1MBVNT|2AART|3SELL|489DUR|5MLV|689VULN|789DMG|89BPWR|aRCR
78	51821 13421	9	   	271.16	DCR|3VULN|3DMG|3DUR|1SELL	1MBVNT|2AART|3SELL|489DUR|5ERES|689VULN|789DMG|89BPWR|aRCR
79	51821 13451	8	   	271.16	DCR|3VULN|3DMG|3DUR|1SELL	1MBVNT|2AART|3SELL|489DUR|5ERES|689VULN|789DMG|89BPWR|aRCR
80	11613 33224	10	 * 	270.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1SELL	167VULN|27DUR|37CDMG|4AART|5SELL|7BPWR|8DMG|9TLV|aRCR
81	13113 33224	10	 * 	270.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1SELL	167VULN|27CDMG|37DUR|4AART|5SELL|7BPWR|8DMG|9TLV|aRCR
82	23223 33224	10	 * 	270.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1SELL	1AART|27CDMG|37DUR|467VULN|5SELL|7BPWR|8DMG|9TLV|aRCR
83	13532 22536	7	   	270.60	DCR|3VULN|3DUR|1TLV|3CDMG	189VULN|289CDMG|3TLV|4MLV|589DUR|6RPLT|7RCR|89BPWR|aBEXP
84	13532 22531	7	   	270.50	DCR|3VULN|3DUR|1TLV|3CDMG	189VULN|289CDMG|3TLV|4MLV|589DUR|6RPLT|7RCR|89BPWR|aDUST
85	13532 22535	7	   	270.50	DCR|3VULN|3DUR|1TLV|3CDMG	189VULN|289CDMG|3TLV|4MLV|589DUR|6RPLT|7RCR|89BPWR|aTBNT
86	52132 73622	1	   	270.25	DCR|4VULN|3DMG|1CDMG	1MBVNT|2BBNT|356DMG|4567VULN|56BPWR|8LIT|9CDMG|aRCR
87	11353 63621	1	 * 	269.55	DCR|3VULN|2DMG|2TLV|3ASPD	17aVULN|2TBNT|38TLV|45aASPD|6RCR|9aDMG|aBPWR
88	16413 15223	5	   	269.50	DCR|3VULN|3DMG|2ASPD|1DUR	147VULN|2AART|357DMG|67ASPD|7BPWR|8RCR|9BELT|aDUR
89	41212 65112	9	   	269.38	DCR|3VULN|2DMG|2TLV|1CDMG	1aDMG|2AART|3CDMG|4RCVC|59aVULN|6RPLT|7RCR|8aTLV|aBPWR
90	11123 13611	2	 * 	269.32	ACR|5VULN|2DMG|2TLV|1DUR	1367aVULN|2DUR|4RCR|5TBNT|8aTLV|9aDMG|aBPWR
91	11423 13611	3	   	269.32	ACR|5VULN|2DMG|2TLV|1DUR	1367aVULN|2DUR|4RCR|5TBNT|8aTLV|9aDMG|aBPWR
92	11242 33345	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2aDUR|3RPLT|4CGEN|6RCR|7TLV|8aDMG|9DMSP|aBPWR
93	14321 11522	1	   	268.76	ACR|4VULN|3DMG|3DUR	1389VULN|289DMG|4CGEN|5RCR|6FEWX|789DUR|89BPWR|aLIT
94	41341 11522	1	   	268.76	ACR|4VULN|3DMG|3DUR	189DMG|2RCR|3489VULN|5MLV|6FEWX|789DUR|89BPWR|aLIT
95	11262 33345	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2aDUR|3RPLT|4ERES|6RCR|7TLV|8aDMG|9DMSP|aBPWR
96	16411 33324	10	   	268.70	DCR|4VULN|2DMG|1TLV	1467VULN|2AART|37DMG|57LHND|7BPWR|8ZMB|9TLV|aRCR
97	14311 11522	1	   	268.66	ACR|4VULN|3DMG|3DUR	1389VULN|289DMG|4ERES|5RCR|6FEWX|789DUR|89BPWR|aLIT
98	14321 31522	1	   	268.66	ACR|4VULN|3DMG|3DUR	1389VULN|289DMG|4CGEN|5RCR|6DUST|789DUR|89BPWR|aLIT
99	41341 31522	1	   	268.66	ACR|4VULN|3DMG|3DUR	189DMG|2RCR|3489VULN|5MLV|6DUST|789DUR|89BPWR|aLIT
100	11262 33315	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2aDUR|3RPLT|49ERES|6RCR|7TLV|8aDMG|aBPWR
101	11242 31633	6	   	268.61	DCR|4VULN|2TLV|2DUR	157aVULN|2aDUR|3RPLT|4CGEN|6RCR|8LIT|9aTLV|aBPWR
102	16411 33124	10	   	268.60	DCR|4VULN|2DMG|1TLV	1467VULN|2AART|37DMG|57LHND|7BPWR|8ERES|9TLV|aRCR
103	14311 31522	1	   	268.56	ACR|4VULN|3DMG|3DUR	1389VULN|289DMG|4ERES|5RCR|6DUST|789DUR|89BPWR|aLIT
104	11262 31633	6	   	268.51	DCR|4VULN|2TLV|2DUR	157aVULN|2aDUR|3RPLT|4ERES|6RCR|8LIT|9aTLV|aBPWR
105	16433 41233	5	   	268.11	DCR|3VULN|3DMG|1DUR|2LIT	189VULN|2AART|345DMG|6RCR|79LIT|9BPWR|aDUR
106	16433 11263	6	   	268.11	DCR|3VULN|3DMG|1DUR|2LIT	17aVULN|2AART|345DMG|67LIT|7BPWR|8DUR|9RCR
107	16433 15233	7	   	268.11	DCR|3VULN|3DMG|1DUR|2LIT	189VULN|2AART|345DMG|69LIT|7RCR|9BPWR|aDUR
108	23543 21263	1	   	268.11	DCR|3VULN|3DMG|1DUR|2LIT	1AART|234DMG|47BPWR|57LIT|67aVULN|8DUR|9RCR
109	16431 33121	8	   	267.94	DCR|3VULN|3DMG|2DUR	167VULN|2AART|347DMG|57LHND|7BPWR|89DUR|aRCR
110	16431 33141	9	   	267.94	DCR|3VULN|3DMG|2DUR	167VULN|2AART|347DMG|57LHND|7BPWR|89DUR|aRCR
111	11252 41133	4	 * 	267.72	DCR|4VULN|3DUR|1DMG	1459VULN|249DUR|3RPLT|49BPWR|6LIT|7DMG|89CGEN|aRCR
