0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36111 12356	5	 * 	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	1CGEN|24568VULN|35DUR|5BPWR|7DMG|9CDMG|aRCR
60	52514 13212	3	   	266.51	DCR|3VULN|3DUR|2DMG|1NUKE	158DUR|2NUKE|3aDMG|48aERES|68aVULN|7TBNT|8aBPWR|9RCR
61	51322 22434	1	   	265.55	DCR|4VULN|3DUR|1CDMG	189DUR|2CDMG|3789VULN|489BEXP|5BBNT|6RCR|89BPWR|aMLV
62	51322 22435	1	   	265.55	DCR|4VULN|3DUR|1CDMG	189DUR|2CDMG|3789VULN|489BEXP|5BBNT|6RCR|89BPWR|aCGEN
63	51322 22436	1	   	265.55	DCR|4VULN|3DUR|1CDMG	189DUR|2CDMG|3789VULN|489BEXP|5BBNT|6RCR|89BPWR|aFEWX
64	36113 17247	3	   	265.35	DCR|4VULN|3DUR|1CDMG|1NUKE	17CGEN|2479VULN|347DUR|47BPWR|5MBVNT|6NUKE|8RCR|aCDMG
65	51322 22441	1	   	265.35	DCR|4VULN|3DUR|1CDMG	189DUR|2CDMG|378aVULN|48BEXP|5BBNT|6RCR|8BPWR
66	51322 22531	1	   	265.35	DCR|4VULN|3DUR|1CDMG	189DUR|2CDMG|379aVULN|49BEXP|5BBNT|6RCR|9BPWR
67	51322 22432	1	   	265.31	DCR|4VULN|3DUR|1CDMG|1SELL	189DUR|2CDMG|3789VULN|489BEXP|5BBNT|6RCR|89BPWR|aSELL
68	63121 13126	6	   	263.82	DCR|3VULN|3DUR|2ASPD|1CDMG	1LEGI|259VULN|345DUR|59BPWR|6CDMG|79ASPD|89DUST|aRCR
69	36311 16621	5	   	263.49	DCR|5VULN|1DMG|1DUR	1CGEN|24568VULN|35LWND|5BPWR|7DUR|9RCR|aDMG
70	13511 16621	5	   	263.29	DCR|5VULN|1DMG|1DUR	1LHND|25ERES|34568VULN|5BPWR|7DUR|9RCR|aDMG
71	23511 16621	5	   	263.29	DCR|5VULN|1DMG|1DUR	1LWND|25ERES|34568VULN|5BPWR|7DUR|9RCR|aDMG
72	63211 16621	5	   	263.19	DCR|5VULN|1DMG|1DUR	1LEGI|24568VULN|35ERES|5BPWR|7DUR|9RCR|aDMG
73	63121 55211	8	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1LEGI|25aVULN|345DUR|5BPWR|6BELT|7RCR|8CDMG|9DMG
74	63121 55211	7	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1LEGI|25aVULN|345DUR|5BPWR|6BELT|7RCR|8CDMG|9DMG
