0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33322 13445	1	 * 	282.63	DCR|4VULN|3DUR|3ASPD	17aASPD|267aVULN|3BBNT|456DUR|67aBPWR|8RCR|9aZMB
25	32222 55484	1	   	265.74	DCR|3VULN|2ASPD|2TLV|1DUR|1CDMG|1AART	17ASPD|2CDMG|379VULN|4AART|57TLV|6MBVNT|7BPWR|8RCR|aDUR
26	32233 56315	1	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|35aVULN|4TLV|69DMG|7RPLT|8RCR
27	32233 53216	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|35aVULN|4TLV|6DMG|7FEWX|8DUR|9RCR
28	32232 24226	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|37aVULN|4TLV|5DUR|6LHND|8RCR|9DMG
29	32232 24263	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|379VULN|4TLV|5DUR|6LHND|8RCR|aDMG
30	32232 64226	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|37aVULN|4TLV|5DUR|6FEWX|8RCR|9DMG
31	32231 44226	1	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|37aVULN|4TLV|5DUST|6DUR|8RCR|9DMG
32	32233 24325	1	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|358VULN|4TLV|6MBVNT|7DMG|9RCR|aDUR
33	33143 13234	1	   	261.16	DCR|2VULN|2DMG|1DUR|2LIT|1CDMG|1ASPD|1AART	1ASPD|24VULN|34DMG|4BPWR|5AART|6CDMG|7aLIT|8DUR|9RCR
34	36326 22631	2	 * 	259.82	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	18ASPD|28DUR|3BBNT|4AART|5aVULN|6DMG|78TLV|8BPWR|9RCR
35	36353 22631	2	   	259.82	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	18ASPD|28DUR|3BBNT|4aVULN|5AART|6DMG|78TLV|8BPWR|9RCR
36	33322 13441	1	   	259.79	DCR|3VULN|3DUR|3ASPD	17aASPD|267VULN|3BBNT|456DUR|67BPWR|8RCR|9ZMB
37	33144 13622	1	   	259.72	ACR|3VULN|3DMG|2ASPD|1TLV|1DUR	17ASPD|246VULN|346DMG|46BPWR|5RCR|8ERES|9TLV|aDUR
38	33322 13461	1	   	259.69	DCR|3VULN|3DUR|3ASPD	17aASPD|267VULN|3BBNT|456DUR|67BPWR|8RCR|9ERES
39	33144 13361	1	   	259.68	ACR|4VULN|3DMG|3ASPD	179ASPD|2469VULN|346DMG|469BPWR|5RCR|89LHND|aBEXP
40	33144 13363	1	   	259.68	ACR|4VULN|3DMG|3ASPD	179ASPD|2469VULN|346DMG|469BPWR|5RCR|89LHND|aRMIN
41	33143 43133	1	   	259.56	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|249VULN|34DMG|4BPWR|5AART|6CGEN|7LWND|8TLV|aRCR
42	33143 45133	1	   	259.56	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|249VULN|34DMG|4BPWR|5AART|6CGEN|7LHND|8TLV|aRCR
43	33143 46133	1	   	259.56	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|249VULN|34DMG|4BPWR|5AART|6CGEN|7FEWX|8TLV|aRCR
44	33143 25111	1	   	259.46	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|24aVULN|34DMG|4BPWR|5AART|6BBNT|7LWND|8RCR|9TLV
45	33143 26111	1	   	259.46	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|24aVULN|34DMG|4BPWR|5AART|6BBNT|7FEWX|8RCR|9TLV
46	33143 51131	1	   	259.46	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|24aVULN|34DMG|4BPWR|5AART|6BEXP|7TLV|8TBNT|9RCR
47	33143 61333	1	   	259.46	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|249VULN|34DMG|4BPWR|5AART|6FEWX|7TLV|8ERES|aRCR
48	31156 34311	2	 * 	259.42	DCR|3VULN|3DMG|2ASPD	17ASPD|2BEXP|379DMG|4BBNT|57aVULN|6RCR|7BPWR|8TBNT
49	33143 31131	1	   	259.36	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|24aVULN|34DMG|4BPWR|5AART|6DUST|7TLV|8TBNT|9RCR
50	33143 31333	1	   	259.36	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1ASPD|249VULN|34DMG|4BPWR|5AART|6DUST|7TLV|8ERES|aRCR
51	33144 11421	1	 * 	259.29	ACR|5VULN|3DMG|1ASPD	1ASPD|2469aVULN|346DMG|46BPWR|5RCR|7BEXP|8RPLT
52	33144 15233	1	   	259.27	ACR|3VULN|3DMG|1TLV|1DUR|1ASPD|1AART	1ASPD|246VULN|346DMG|46BPWR|5RCR|7AART|8DUR|9FEWX|aTLV
53	33144 15223	1	   	259.17	ACR|3VULN|3DMG|1TLV|1DUR|1ASPD|1AART	1ASPD|246VULN|346DMG|46BPWR|5RCR|7AART|8DUR|9DUST|aTLV
54	21533 11263	3	   	258.75	DCR|4VULN|2ASPD|1TLV|1CDMG	1LWND|26ASPD|3CDMG|4TLV|569aVULN|6BPWR|7LHND|8RCR
55	35251 53322	2	   	258.68	DCR|3VULN|3DUR|2ASPD	19ASPD|2RPLT|379DUR|4LIT|5LHND|689VULN|9BPWR|aRCR
56	36251 53322	2	   	258.68	DCR|3VULN|3DUR|2ASPD	19ASPD|279DUR|3RPLT|4LIT|5LHND|689VULN|9BPWR|aRCR
57	33144 13111	1	 * 	258.16	ACR|3VULN|3DMG|2DUR|2ASPD	17ASPD|246VULN|346DMG|46BPWR|5RCR|8BEXP|9aDUR
58	33323 22331	1	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1ASPD|28aVULN|3BBNT|4DUR|5AART|6DMG|7TLV|9RCR
59	36326 22331	2	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1ASPD|2DUR|3BBNT|4AART|58aVULN|6DMG|7TLV|9RCR
60	36353 22331	2	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1ASPD|2DUR|3BBNT|48aVULN|5AART|6DMG|7TLV|9RCR
61	31156 34222	2	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|2BEXP|37DMG|4BBNT|579VULN|6RCR|7BPWR|8FEWX|aCDMG
62	33151 34321	1	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|29aVULN|37DMG|47FEWX|5TBNT|6RCR|7BPWR|8CDMG
63	33514 22251	1	 * 	256.91	DCR|3VULN|2DUR|2ASPD|3LIT	19ASPD|259VULN|367LIT|4BBNT|89DUR|9BPWR|aRCR
64	36121 33625	7	   	256.74	DCR|3VULN|3ASPD|1TLV|1DUR	19aASPD|2DUR|39aLHND|4TLV|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
65	36321 33625	7	   	256.74	DCR|3VULN|3ASPD|1TLV|1DUR	19aASPD|2DUR|39aLWND|4TLV|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
66	32232 11226	1	 * 	256.20	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|26CDMG|3aVULN|4TLV|56DUR|6BPWR|7LHND|8RCR|9DMG
67	32232 11263	1	   	256.20	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|26CDMG|39VULN|4TLV|56DUR|6BPWR|7LHND|8RCR|aDMG
68	32232 14226	1	   	256.20	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|26CDMG|3aVULN|4TLV|56DUR|6BPWR|7LWND|8RCR|9DMG
69	32232 14263	1	   	256.20	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|26CDMG|39VULN|4TLV|56DUR|6BPWR|7LWND|8RCR|aDMG
70	36534 11213	3	   	256.20	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|26DUR|39CDMG|4TLV|56VULN|6BPWR|7LHND|8RCR|aDMG
71	21533 11226	3	   	256.17	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1LWND|26ASPD|3CDMG|4TLV|56aVULN|6BPWR|7LHND|8RCR|9DMG
72	32232 16226	1	   	256.10	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|26CDMG|3aVULN|4TLV|56DUR|6BPWR|7LEGI|8RCR|9DMG
73	33141 52126	1	 * 	256.09	DCR|4VULN|2DMG|1ASPD|1NUKE	1ASPD|2479VULN|34DMG|4BPWR|5LWND|6NUKE|8TBNT|aRCR
74	33141 52413	1	   	256.09	DCR|4VULN|2DMG|1ASPD|1NUKE	1ASPD|247aVULN|34DMG|4BPWR|5LWND|6NUKE|8RCR|9MBVNT
75	32233 56325	1	   	256.07	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	19ASPD|2CDMG|35aVULN|4TLV|6DMG|7RPLT|8RCR
76	36346 31111	2	   	256.01	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1AART	14ASPD|24DUR|3BBNT|4BPWR|5AART|6DMG|7aVULN|8RCR|9TLV
77	33144 11126	1	   	256.00	ACR|4VULN|3DMG|1DUR|1ASPD	1ASPD|2469VULN|346DMG|46BPWR|5RCR|7BEXP|8MLV|aDUR
78	33144 11226	1	   	255.90	ACR|4VULN|3DMG|1DUR|1ASPD|1NUKE	1ASPD|2469VULN|346DMG|46BPWR|5RCR|7BEXP|8NUKE|aDUR
79	32224 42511	1	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|2CDMG|39aVULN|4AART|5DUR|6LHND|7RCR|8DMG
80	32623 42511	1	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|2CDMG|3DUR|4AART|59aVULN|6LHND|7RCR|8DMG
81	32222 53881	1	   	255.43	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1ASPD|2CDMG|389VULN|4AART|5TLV|6MBVNT|7RCR|aDMG
82	13251 36322	2	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	1RPLT|29DMG|369DUR|47LIT|5LHND|89VULN|9BPWR|aRCR
83	33143 13232	1	   	254.61	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|24VULN|34DMG|4BPWR|5AART|6CDMG|7LIT|8DUR|9RCR|aLWND
84	33143 13233	1	   	254.61	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|24VULN|34DMG|4BPWR|5AART|6CDMG|7LIT|8DUR|9RCR|aCGEN
85	33143 13235	1	   	254.61	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|24VULN|34DMG|4BPWR|5AART|6CDMG|7LIT|8DUR|9RCR|aBEXP
86	33143 13236	1	   	254.61	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|24VULN|34DMG|4BPWR|5AART|6CDMG|7LIT|8DUR|9RCR|aFEWX
87	33143 13231	1	   	254.51	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|24VULN|34DMG|4BPWR|5AART|6CDMG|7LIT|8DUR|9RCR|aDUST
88	32623 64312	1	   	254.08	DCR|3VULN|2ASPD|1DUR|1CDMG|1AART	16ASPD|2CDMG|3DUR|4AART|567VULN|6BPWR|8LIT|9CGEN|aRCR
89	36412 11226	5	   	253.60	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG|1ASPD	1ASPD|26DUR|3aVULN|4CDMG|56TLV|6BPWR|7LHND|8RCR|9DMG
90	36412 11263	5	   	253.60	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG|1ASPD	1ASPD|26DUR|39VULN|4CDMG|56TLV|6BPWR|7LHND|8RCR|aDMG
91	33323 22633	1	   	253.55	DCR|2VULN|2ASPD|2TLV|1DMG|1DUR|1AART	18ASPD|28VULN|3BBNT|4DUR|5AART|6DMG|78TLV|8BPWR|9RCR|aLIT
92	31442 32124	8	 * 	253.48	DCR|3VULN|2DMG|3ASPD	19aASPD|2BEXP|36aVULN|4RCVC|5RMIN|7aDMG|8RCR|aBPWR
93	31442 32324	7	   	253.48	DCR|3VULN|2DMG|3ASPD	19aASPD|2BEXP|36aVULN|4RCVC|5RMIN|7aDMG|8RCR|aBPWR
94	36512 34315	5	   	253.41	DCR|2VULN|2DUR|2ASPD|1DMG|1CDMG|1AART	19ASPD|29DUR|3CDMG|4DMG|59VULN|6MBVNT|7TBNT|8AART|9BPWR|aRCR
95	33144 13116	1	   	253.23	ACR|3VULN|3DMG|2ASPD|1DUR|1AART	17ASPD|246VULN|346DMG|46BPWR|5RCR|8BEXP|9DUR|aAART
96	33144 15232	1	   	253.23	ACR|3VULN|3DMG|2ASPD|1DUR|1AART	1aASPD|246VULN|346DMG|46BPWR|5RCR|7AART|8DUR|9FEWX
97	33144 15222	1	   	253.13	ACR|3VULN|3DMG|2ASPD|1DUR|1AART	1aASPD|246VULN|346DMG|46BPWR|5RCR|7AART|8DUR|9DUST
98	33322 15625	1	   	252.85	DCR|2VULN|3DUR|3ASPD|1DMG	178ASPD|26VULN|3BBNT|456DUR|6BPWR|9DMG|aRCR
99	32233 56316	1	   	252.79	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|35VULN|4TLV|69DMG|7RPLT|8RCR|aDUR
100	52223 24412	1	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1ERES|2CDMG|357VULN|4AART|6DUR|8DMG|9LIT|aRCR
101	32233 24125	1	   	252.69	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|35VULN|4TLV|6MBVNT|78DMG|9RCR|aDUR
