0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61233 13151	6	 * 	290.97	DCR|4VULN|3DMG|2CDMG|1AART	19aFEWX|25CDMG|3RPLT|459aVULN|59aBPWR|6RCR|7AART|89aDMG
34	31646 31423	6	 * 	273.45	DCR|3VULN|2DMG|2DUR|3TLV	17aTLV|27aVULN|3MBVNT|4DLOT|57DMG|6RCR|7aBPWR|8FEWX|9aDUR
35	31631 37742	10	   	273.35	DCR|3VULN|2DMG|2DUR|2TLV|1NUKE	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aNUKE
36	31646 31223	6	   	273.35	DCR|3VULN|2DMG|2DUR|3TLV	17aTLV|27aVULN|3MBVNT|4DLOT|57DMG|6RCR|7aBPWR|8DUST|9aDUR
37	31632 15413	7	   	273.13	DCR|5VULN|1TLV|1DUR|1CDMG	1TLV|24568VULN|3MBVNT|7RCR|9CDMG|aDUR
38	31633 15364	10	 * 	272.95	DCR|5VULN|3TLV|1DUR|1AART	159TLV|24569VULN|3MBVNT|59BPWR|7RCR|8AART|aDUR
39	31632 15363	10	   	272.95	DCR|5VULN|2TLV|1DUR|1AART	19TLV|24569VULN|3MBVNT|7RCR|8AART|9BPWR|aDUR
40	31113 11116	2	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|248VULN|3LWND|5CDMG|68DMG|7TBNT|8BPWR|9DUR|aRCR
41	31213 11116	2	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|248VULN|3BEXP|5CDMG|68DMG|7TBNT|8BPWR|9DUR|aRCR
42	31513 11116	3	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|248VULN|3BEXP|5CDMG|68DMG|7TBNT|8BPWR|9DUR|aRCR
43	31514 11116	2	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|248VULN|3CDMG|5LWND|68DMG|7TBNT|8BPWR|9DUR|aRCR
44	31522 34116	2	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|278VULN|3CDMG|4BEXP|5TBNT|68DMG|8BPWR|9DUR|aRCR
45	31523 11116	2	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|258VULN|3CDMG|4BEXP|68DMG|7TBNT|8BPWR|9DUR|aRCR
46	31533 11116	4	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18TLV|248VULN|3BEXP|5CDMG|68DMG|7TBNT|8BPWR|9DUR|aRCR
47	31553 14322	2	   	272.41	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|25aVULN|3CDMG|4DUR|68DMG|7RCR
48	25243 21511	7	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1aDUST|2DLOT|347aVULN|5ASPD|6DUR|8aDMG|9RCR|aBPWR
49	31124 21415	6	   	272.25	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR|1AART	17TLV|27aVULN|3AART|4FEWX|5DUR|67ASPD|7BPWR|8DMG|9RCR
50	31134 21415	6	   	272.25	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR|1AART	17TLV|27aVULN|3AART|4BEXP|5DUR|67ASPD|7BPWR|8DMG|9RCR
51	33513 66332	1	 * 	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	16TLV|2LWND|3CDMG|4568VULN|6BPWR|7aDUR|9RCR
52	31622 63163	2	 * 	271.99	DCR|4VULN|2DUR|3TLV|1CDMG	156TLV|2369VULN|4TBNT|69BPWR|7RCR|89DUR|aCDMG
53	31342 35321	6	 * 	271.76	DCR|4VULN|3DUR|2TLV	18TLV|2589VULN|3CGEN|4ZMB|68aDUR|7RCR|8BPWR
54	31631 14362	9	 * 	271.56	DCR|4VULN|3DUR|3TLV	19aTLV|249aVULN|3MBVNT|589DUR|6RCR|7LEGI|9aBPWR
55	31631 14366	9	   	271.56	DCR|4VULN|3DUR|2TLV	19TLV|249aVULN|3MBVNT|589DUR|6RCR|7LEGI|9BPWR
56	31631 13743	10	   	270.66	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	19TLV|248VULN|3MBVNT|59DUR|6RCR|79ASPD|9BPWR|aCDMG
57	31631 36644	7	 * 	270.50	DCR|2VULN|3DMG|2DUR|2TLV	18TLV|24VULN|3MBVNT|58DUR|678DMG|8BPWR|9LIT|aRCR
58	31242 35311	6	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	18TLV|258VULN|3MLV|4ZMB|68DUR|7RCR|8BPWR|9CDMG|aDMG
59	31342 35311	6	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	18TLV|258VULN|3CGEN|4ZMB|68DUR|7RCR|8BPWR|9CDMG|aDMG
60	52123 65331	4	 * 	269.48	DCR|2VULN|3DUR|2DMG|2CDMG|1AART|1SELL	1SELL|27aDUR|3aDMG|47LWND|57VULN|6AART|7aBPWR|8RCR|9aCDMG
61	31241 33321	5	 * 	269.19	DCR|3VULN|3DUR|2TLV|1DMG	18TLV|28aVULN|3MLV|4ZMB|578DUR|6RCR|8BPWR|9DMG
62	31241 45321	6	   	269.19	DCR|3VULN|3DUR|2TLV|1DMG	18TLV|28aVULN|3MLV|4ZMB|568DUR|7RCR|8BPWR|9DMG
63	31341 33321	5	   	269.19	DCR|3VULN|3DUR|2TLV|1DMG	18TLV|28aVULN|3CGEN|4ZMB|578DUR|6RCR|8BPWR|9DMG
64	31341 45321	6	   	269.19	DCR|3VULN|3DUR|2TLV|1DMG	18TLV|28aVULN|3CGEN|4ZMB|568DUR|7RCR|8BPWR|9DMG
65	31631 12638	8	 * 	268.99	DCR|3VULN|3DUR|2TLV|2CDMG	19TLV|248VULN|3MBVNT|59aDUR|6RCR|79CDMG|9BPWR
66	31631 12738	7	   	268.99	DCR|3VULN|3DUR|2TLV|2CDMG	19TLV|248VULN|3MBVNT|59aDUR|6RCR|79CDMG|9BPWR
67	14213 11116	2	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	18LHND|248VULN|3TLV|5CDMG|68DMG|7TBNT|8BPWR|9DUR|aRCR
68	31124 11315	6	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|27aVULN|3AART|4FEWX|5DUR|67DMG|7BPWR|8ZMB|9RCR
69	31134 11315	6	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|27aVULN|3AART|4BEXP|5DUR|67DMG|7BPWR|8ZMB|9RCR
70	31154 11315	6	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|27aVULN|3AART|4LHND|5DUR|67DMG|7BPWR|8ZMB|9RCR
71	31124 11165	6	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|27aVULN|3AART|4FEWX|5DUR|67DMG|7BPWR|8ERES|9RCR
72	31124 61433	7	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|29aVULN|3AART|4FEWX|5DUR|6MBVNT|7aDMG|8RCR|aBPWR
73	31134 11165	6	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|27aVULN|3AART|4BEXP|5DUR|67DMG|7BPWR|8ERES|9RCR
74	31134 61433	7	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|29aVULN|3AART|4BEXP|5DUR|6MBVNT|7aDMG|8RCR|aBPWR
75	31635 11232	2	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2347VULN|5aDUR|6LWND|8CDMG|9RCR
76	31635 13612	2	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2348VULN|5aDUR|6LWND|7RCR|9CDMG
77	31553 51332	2	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2578VULN|3CDMG|4aDUR|6LWND|9RCR
78	31342 35322	6	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	18TLV|2589VULN|3CGEN|4ZMB|68DUR|7RCR|8BPWR|aAART
79	31431 51332	5	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2478VULN|3LEGI|5aDUR|6CDMG|9RCR
80	31125 61433	5	   	268.13	DCR|3VULN|3DMG|3TLV|1AART	17aTLV|29aVULN|3AART|47aFEWX|578DMG|6RCR|7aBPWR
81	31135 61433	5	   	268.13	DCR|3VULN|3DMG|3TLV|1AART	17aTLV|29aVULN|3AART|47aBEXP|578DMG|6RCR|7aBPWR
82	31632 33436	2	   	267.98	DCR|5VULN|1TLV|1CDMG|1ASPD	1TLV|23459VULN|6ASPD|7BEXP|8RCR|aCDMG
83	31632 32436	2	   	267.88	DCR|5VULN|1TLV|1CDMG|1ASPD	1TLV|23459VULN|6ASPD|7DUST|8RCR|aCDMG
84	31631 15732	6	   	267.85	DCR|4VULN|2DUR|2TLV|1AART|1SELL	19TLV|2489VULN|3MBVNT|59DUR|6RCR|7SELL|9BPWR|aAART
85	31632 15362	9	   	267.71	DCR|5VULN|2TLV|1ASPD|1AART	19TLV|24569VULN|3MBVNT|7RCR|8AART|9BPWR|aASPD
86	31633 11144	8	   	267.11	DCR|5VULN|2TLV|1DMG	15TLV|2456aVULN|3MBVNT|5BPWR|7CGEN|8DMG|9RCR
87	31633 15214	9	   	267.11	DCR|5VULN|2TLV|1DMG	15TLV|2456aVULN|3MBVNT|5BPWR|7RCR|8ZMB|9DMG
88	31633 15214	10	   	267.11	DCR|5VULN|2TLV|1DMG	15TLV|2456aVULN|3MBVNT|5BPWR|7RCR|8ZMB|9DMG
89	31633 15464	7	   	267.11	DCR|5VULN|2TLV|1DMG	15TLV|24568VULN|3MBVNT|5BPWR|7RCR|9MLV|aDMG
90	31633 15245	7	 * 	267.01	DCR|5VULN|2TLV|2CDMG	15TLV|2456aVULN|3MBVNT|5BPWR|7RCR|89CDMG
91	31633 15414	9	   	267.01	DCR|5VULN|2TLV|1DMG	15TLV|2456aVULN|3MBVNT|5BPWR|7RCR|8ERES|9DMG
92	31633 15418	10	   	267.01	DCR|5VULN|2TLV|1DMG	15TLV|2456aVULN|3MBVNT|5BPWR|7RCR|8ERES|9DMG
93	15221 26311	8	   	266.99	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1aLHND|2DLOT|36aVULN|46DUR|5SELL|6aBPWR|7CDMG|8aDMG|9RCR
94	15221 26511	7	   	266.99	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1aLHND|2DLOT|36aVULN|46DUR|5SELL|6aBPWR|7CDMG|8aDMG|9RCR
95	45242 48441	1	 * 	266.71	DCR|3VULN|3DUR|2DMG	15DMSP|2MBVNT|378VULN|47aDUR|67DMG|7BPWR|9RCR
96	31631 13742	9	   	266.67	DCR|3VULN|2DUR|2ASPD|2TLV|1AART	19TLV|248VULN|3MBVNT|59DUR|6RCR|79ASPD|9BPWR|aAART
97	31236 35335	8	   	265.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|245VULN|34MLV|4BPWR|6aDUR|7CDMG|8DMG|9RCR
98	33553 61331	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2LWND|3CDMG|46DUR|578VULN|9RCR|aDMG
99	31663 13221	2	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|235VULN|4RPLT|6DMG|7RCR|8CDMG|9aDUR
100	31125 51315	6	   	265.62	DCR|3VULN|2DUR|2TLV|1DMG|1AART	17TLV|27aVULN|3AART|4FEWX|5DMG|67DUR|7BPWR|8ZMB|9RCR
101	31135 51315	6	   	265.62	DCR|3VULN|2DUR|2TLV|1DMG|1AART	17TLV|27aVULN|3AART|4BEXP|5DMG|67DUR|7BPWR|8ZMB|9RCR
102	31431 21231	6	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|247VULN|3LEGI|56DUR|8CDMG|9RCR|aDMG
103	31431 23611	6	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|248VULN|3LEGI|56DUR|7RCR|9CDMG|aDMG
104	31431 26331	7	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|248VULN|3LEGI|56DUR|7CDMG|9RCR|aDMG
105	31631 12611	8	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|248VULN|3MBVNT|59DUR|6RCR|7CDMG|aDMG
106	31631 12711	7	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|248VULN|3MBVNT|59DUR|6RCR|7CDMG|aDMG
107	31633 15323	9	   	265.53	DCR|4VULN|2TLV|1DMG|1AART	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8AART|9LIT|aDMG
108	31633 15327	10	   	265.53	DCR|4VULN|2TLV|1DMG|1AART	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8AART|9LIT|aDMG
109	31631 12632	8	   	265.42	DCR|3VULN|2DUR|2TLV|2CDMG|1AART	19TLV|248VULN|3MBVNT|59DUR|6RCR|79CDMG|9BPWR|aAART
110	31631 12732	7	   	265.42	DCR|3VULN|2DUR|2TLV|2CDMG|1AART	19TLV|248VULN|3MBVNT|59DUR|6RCR|79CDMG|9BPWR|aAART
111	31423 41223	6	   	265.42	DCR|3VULN|2DUR|2TLV|1DMG|1AART	1aTLV|27aVULN|3LEGI|4DUST|5DMG|6RCR|8AART|9aDUR|aBPWR
112	31632 23411	2	   	265.35	DCR|4VULN|2DMG|2TLV	1aTLV|2345VULN|6aDMG|7aBEXP|8RCR|9BELT|aBPWR
113	32611 36411	1	   	265.25	DCR|4VULN|2DMG|3TLV	16aTLV|2BEXP|347aVULN|5aDMG|8RCR|9BELT|aBPWR
114	36413 73214	7	   	265.25	DCR|4VULN|2DMG|2TLV	19TLV|2RPLT|3MBVNT|489aVULN|5RMIN|69DMG|7RCR|9BPWR
115	42611 33331	2	   	265.25	DCR|4VULN|2DMG|2TLV	1DMSP|2aTLV|3BELT|479aVULN|5aDMG|6RCR|8MBVNT|aBPWR
116	42611 33331	1	   	265.25	DCR|4VULN|2DMG|2TLV	1DMSP|2aTLV|3BELT|479aVULN|5aDMG|6RCR|8MBVNT|aBPWR
117	31431 23521	6	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|24aVULN|3LEGI|568DUR|7RCR|9DMG
118	31631 51521	7	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|24aVULN|3MBVNT|567DUR|8RCR|9DMG
119	31211 36434	2	   	265.15	DCR|4VULN|2DMG|2TLV	16TLV|2479VULN|3BEXP|5aDMG|8RCR
120	31632 22411	2	   	265.15	DCR|4VULN|2DMG|2TLV	1aTLV|2345VULN|6aDMG|7aDUST|8RCR|9BELT|aBPWR
121	31633 15217	9	   	265.15	DCR|4VULN|2DMG|2TLV	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8ZMB|9aDMG
122	31633 15417	9	   	265.05	DCR|4VULN|2DMG|2TLV	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8ERES|9aDMG
123	31633 11141	8	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|2456VULN|3MBVNT|5BPWR|7CGEN|8DMG|9RCR|aDUR
124	31633 15211	9	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8ZMB|9DMG|aDUR
125	31633 33384	6	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7RMIN|8DMG|9RCR
126	31633 36264	6	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7RCR|8DMG|9RMIN
127	31633 38184	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7DMG|8MLV|9RCR
128	31633 38384	8	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7DMG|8RMIN|9RCR
129	31633 38484	7	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7DMG|8CGEN|9RCR
130	31442 53121	2	   	263.72	DCR|4VULN|3TLV|1DMG|1DUR	145TLV|246aVULN|3BBNT|4BPWR|7RCR|8DUR|9DMG
131	31622 63121	2	   	263.72	DCR|4VULN|3TLV|1DMG|1DUR	156TLV|236aVULN|4TBNT|6BPWR|7RCR|8DUR|9DMG
132	31633 15411	9	   	263.72	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8ERES|9DMG|aDUR
133	31633 32384	6	   	263.72	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7ERES|8DMG|9RCR
134	31633 36224	6	   	263.72	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|245aVULN|3MBVNT|5BPWR|6DUR|7RCR|8DMG|9ERES
135	31115 53153	6	   	263.59	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	1TLV|29VULN|3AART|4MLV|5FEWX|69DUR|7ASPD|89DMG|9BPWR|aRCR
136	31122 53153	6	   	263.59	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	1TLV|29VULN|3AART|4FEWX|5MLV|69DUR|7ASPD|89DMG|9BPWR|aRCR
137	31132 53153	6	   	263.59	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	1TLV|29VULN|3AART|4BEXP|5MLV|69DUR|7ASPD|89DMG|9BPWR|aRCR
138	31632 23431	2	   	263.39	DCR|5VULN|1DMG|1TLV	1TLV|23459VULN|6DMG|7BEXP|8RCR|aRMIN
139	31632 23432	2	   	263.39	DCR|5VULN|1DMG|1TLV	1TLV|23459VULN|6DMG|7BEXP|8RCR|aFEWX
140	31433 24632	5	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2459aVULN|3LEGI|5BPWR|6BELT|7RCR|8DUR
141	31611 61444	3	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|2478aVULN|3MBVNT|5DMG|6RMIN|9RCR
142	31631 61444	4	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|2478aVULN|3MBVNT|5DMG|6RMIN|9RCR
143	31632 11144	8	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|2456aVULN|3MBVNT|7CGEN|8DMG|9RCR
144	31632 15214	10	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|2456aVULN|3MBVNT|7RCR|8ZMB|9DMG
145	31632 15214	9	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|2456aVULN|3MBVNT|7RCR|8ZMB|9DMG
146	31632 15464	7	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|24568VULN|3MBVNT|7RCR|9MLV|aDMG
147	31632 22431	2	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|23459VULN|6DMG|7DUST|8RCR|aRMIN
148	31632 22432	2	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|23459VULN|6DMG|7DUST|8RCR|aFEWX
149	31632 23434	2	   	263.29	DCR|5VULN|1DMG|1TLV	1TLV|23459VULN|6DMG|7BEXP|8RCR|aBBNT
150	31633 14384	7	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2456aVULN|3MBVNT|5BPWR|7DUR|8FEWX|9RCR
151	31633 14684	8	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2456aVULN|3MBVNT|5BPWR|7DUR|8FEWX|9RCR
152	31633 15312	7	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2456aVULN|3MBVNT|5BPWR|7RCR|8BELT|9DUR
153	31633 16384	8	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2456aVULN|3MBVNT|5BPWR|7LHND|8DUR|9RCR
154	31633 31384	6	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2457aVULN|3MBVNT|5BPWR|6DUR|8FEWX|9RCR
155	31633 34784	6	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2458aVULN|3MBVNT|5BPWR|6DUR|7LHND|9RCR
156	31633 36414	6	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2459aVULN|3MBVNT|5BPWR|6DUR|7RCR|8BEXP
157	31633 36514	6	   	263.29	DCR|5VULN|2TLV|1DUR	15TLV|2459aVULN|3MBVNT|5BPWR|6DUR|7RCR|8LWND
158	31632 15245	7	   	263.19	DCR|5VULN|2CDMG|1TLV	1TLV|2456aVULN|3MBVNT|7RCR|89CDMG
159	31632 15414	9	   	263.19	DCR|5VULN|1DMG|1TLV	1TLV|2456aVULN|3MBVNT|7RCR|8ERES|9DMG
160	31632 15418	10	   	263.19	DCR|5VULN|1DMG|1TLV	1TLV|2456aVULN|3MBVNT|7RCR|8ERES|9DMG
161	31632 22434	2	   	263.19	DCR|5VULN|1DMG|1TLV	1TLV|23459VULN|6DMG|7DUST|8RCR|aBBNT
162	31633 14884	8	   	263.19	DCR|5VULN|2TLV|1DUR	15TLV|2456aVULN|3MBVNT|5BPWR|7DUR|8DUST|9RCR
163	31633 15442	7	   	263.19	DCR|5VULN|3TLV|1DUR	159TLV|24568VULN|3MBVNT|59BPWR|7RCR|aDUR
164	31633 36714	6	   	263.19	DCR|5VULN|2TLV|1DUR	15TLV|2459aVULN|3MBVNT|5BPWR|6DUR|7RCR|8LEGI
165	45242 48442	1	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	15DMSP|2MBVNT|378VULN|47DUR|67DMG|7BPWR|9RCR|aAART
166	31633 38131	8	   	263.13	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	15TLV|245VULN|3MBVNT|5BPWR|6DUR|7DMG|8LIT|9RCR|aCDMG
167	31242 35312	6	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	18TLV|258VULN|3MLV|4ZMB|68aDUR|7RCR|8BPWR|9CDMG
168	31342 35312	6	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	18TLV|258VULN|3CGEN|4ZMB|68aDUR|7RCR|8BPWR|9CDMG
