0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66126 11122	6	 * 	302.54	DCR|5VULN|3DMG|1CDMG	1RCVC|24569VULN|345DMG|456BPWR|7LIT|8RCR|aCDMG
14	66126 32321	5	   	280.78	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45aBPWR|6RCR|7aFEWX|9aBEXP
15	66126 32231	10	   	280.58	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6LWND|7RCR|aRPLT
16	66126 32231	8	   	280.58	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45BPWR|6LWND|7RCR|9RMIN
17	66126 32232	9	   	280.58	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6LWND|7RCR|aLHND
18	66126 32232	10	   	280.58	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6LWND|7RCR|aLHND
19	66126 32331	7	   	280.58	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45BPWR|6LWND|7RCR|9RMIN
20	66126 32332	5	   	280.58	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6RCR|7FEWX|aLHND
21	66126 32231	9	   	280.48	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6LWND|7RCR|aDUST
22	66126 32233	10	   	280.48	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6LWND|7RCR|aERES
23	66126 32331	5	   	280.48	DCR|5VULN|3DMG	1RCVC|24589VULN|345DMG|45BPWR|6RCR|7FEWX|aDUST
24	66126 12233	10	   	280.48	DCR|5VULN|3DMG	1RCVC|24569VULN|345DMG|456BPWR|7ERES|8CGEN|aRCR
25	66126 33123	5	   	279.31	DCR|3VULN|3DMG|1TLV|1CDMG|1ASPD	1RCVC|245VULN|345DMG|45BPWR|6RCR|7TLV|8CDMG|9LWND|aASPD
26	31261 21215	7	 * 	277.94	DCR|3VULN|2DMG|3ASPD|1DUR	13aASPD|2DUST|4aDMG|5LIT|6DUR|7RCR|89aVULN|aBPWR
27	35613 31353	2	 * 	277.75	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|2LIT|3678VULN|4aDUR|5DMG|9RCR
28	66126 32222	10	   	277.29	DCR|4VULN|3DMG|1DUR	1RCVC|2458VULN|345DMG|45BPWR|6LWND|7RCR|9DMSP|aDUR
29	66126 32223	8	   	277.29	DCR|4VULN|3DMG|1DUR	1RCVC|2458VULN|345DMG|45BPWR|6LWND|7RCR|9FEWX|aDUR
30	66126 32232	8	   	277.29	DCR|4VULN|3DMG|1TLV	1RCVC|2458VULN|345DMG|45BPWR|6LWND|7RCR|9RMIN|aTLV
31	66126 32313	5	   	277.29	DCR|4VULN|3DMG|1DUR	1RCVC|2458VULN|345DMG|45BPWR|6RCR|7FEWX|9LWND|aDUR
32	66126 32323	7	   	277.29	DCR|4VULN|3DMG|1DUR	1RCVC|2458VULN|345DMG|45BPWR|6LWND|7RCR|9FEWX|aDUR
33	66126 32323	5	   	277.29	DCR|4VULN|3DMG|1DUR	1RCVC|2458VULN|345DMG|45BPWR|6RCR|7FEWX|9BEXP|aDUR
34	66126 32332	7	   	277.29	DCR|4VULN|3DMG|1TLV	1RCVC|2458VULN|345DMG|45BPWR|6LWND|7RCR|9RMIN|aTLV
35	66126 11323	10	   	277.19	DCR|4VULN|3DMG|1TLV|1NUKE	1RCVC|2456VULN|345DMG|456BPWR|7MLV|8TLV|9NUKE|aRCR
36	35613 31351	2	   	276.81	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1ASPD|2LIT|3678VULN|4DUR|5DMG|9RCR|aCDMG
37	51343 32423	3	 * 	274.92	ACR|4VULN|3DMG|3CDMG|3LIT	1RPLT|279CDMG|3RCR|48aLIT|579DMG|679aVULN|79aBPWR
38	66126 33232	5	   	274.62	DCR|3VULN|3DMG|2TLV|1DUR	1RCVC|245VULN|345DMG|45BPWR|6RCR|7aTLV|8DUR|9CGEN
39	66126 33212	5	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	1RCVC|245VULN|345DMG|45BPWR|6RCR|7aTLV|8DUR|9DUST
40	53321 33515	3	 * 	273.47	DCR|4VULN|2ASPD|2CDMG|1DUR	1RPLT|269aVULN|3aASPD|4DUR|5LIT|7aCDMG|8RCR|aBPWR
41	35613 31125	2	   	273.37	DCR|4VULN|2ASPD|1DMG|1DUR	19ASPD|2LIT|3679VULN|4DUR|5DMG|89DUST|9BPWR|aRCR
