0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21156 22236	4	 * 	285.89	DCR|4VULN|2DMG|2DUR|1AART	19CGEN|2aDUR|3AART|4579VULN|69DMG|8RCR|9BPWR
28	11131 16126	4	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18RCVC|25aVULN|3aDUR|4CGEN|6RCR|7TLV|9aDMG|aBPWR
29	11522 16126	2	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18RCVC|23aVULN|4aDUR|5CGEN|6RCR|7TLV|9aDMG|aBPWR
30	62362 51222	8	 * 	269.29	DCR|3VULN|3DUR|2TLV|2CDMG	13aFEWX|256VULN|456DUR|56aBPWR|7aTLV|8RCR|9aCDMG
31	62362 51223	5	 * 	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	13FEWX|256VULN|456DUR|56BPWR|7aCDMG|8DMG|9RCR
32	62362 51223	6	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	13FEWX|256VULN|456DUR|56BPWR|7aCDMG|8DMG|9RCR
33	62232 61223	5	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	1FEWX|256VULN|345DUR|5BPWR|7aCDMG|8DMG|9RCR
34	23565 12231	1	   	268.30	DCR|4VULN|2DUR|1DMG|1AART	19CGEN|2DMG|3579VULN|4AART|69DUR|8RCR|9BPWR|aRPLT
35	23565 12232	1	   	268.30	DCR|4VULN|2DUR|1DMG|1AART	19CGEN|2DMG|3579VULN|4AART|69DUR|8RCR|9BPWR|aMLV
36	23565 12233	1	   	268.30	DCR|4VULN|2DUR|1DMG|1AART	19CGEN|2DMG|3579VULN|4AART|69DUR|8RCR|9BPWR|aZMB
37	62362 51232	8	   	268.05	DCR|4VULN|3DUR|1TLV	13FEWX|256aVULN|456DUR|56BPWR|7TLV|8RCR|9RPLT
38	62362 53112	7	   	268.05	DCR|4VULN|3DUR|1TLV	138FEWX|2568VULN|456DUR|568BPWR|78DUST|9TLV|aRCR
39	62362 53212	8	   	268.05	DCR|4VULN|3DUR|1TLV	138FEWX|2568VULN|456DUR|568BPWR|78DUST|9TLV|aRCR
40	12462 51232	8	   	267.95	DCR|4VULN|3DUR|1TLV	1RCVC|2DUST|356aVULN|456DUR|56BPWR|7TLV|8RCR|9RPLT
41	11131 11326	4	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|25aVULN|38aDUR|4CGEN|6RCR|7MLV|9aDMG|aBPWR
42	11131 13326	4	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|25aVULN|38aDUR|4CGEN|6RCR|7ZMB|9aDMG|aBPWR
43	11522 11326	2	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|23aVULN|48aDUR|5CGEN|6RCR|7MLV|9aDMG|aBPWR
44	11522 13326	2	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|23aVULN|48aDUR|5CGEN|6RCR|7ZMB|9aDMG|aBPWR
45	16522 11326	1	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|23aVULN|48aDUR|5CGEN|6RCR|7MLV|9aDMG|aBPWR
46	16522 13326	1	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|23aVULN|48aDUR|5CGEN|6RCR|7ZMB|9aDMG|aBPWR
47	32232 31435	5	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1BEXP|25aVULN|345DUR|5BPWR|6MLV|7TLV|8DMG|9RCR
48	62232 31435	5	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1FEWX|25aVULN|345DUR|5BPWR|6MLV|7TLV|8DMG|9RCR
49	32331 16426	2	 * 	265.35	DCR|4VULN|2DMG|2TLV	1aBEXP|245aVULN|37TLV|6RCR|8CGEN|9aDMG|aBPWR
50	62232 61324	5	   	265.35	DCR|4VULN|3DUR|1CDMG	1FEWX|256aVULN|345DUR|5BPWR|7CDMG|8CGEN|9RCR
51	32232 15485	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1BEXP|25aVULN|345DUR|5BPWR|6MBVNT|7TLV|8DMG|9RCR
52	12462 52223	8	   	265.25	DCR|4VULN|3DUR|1CDMG	1RCVC|2DUST|356aVULN|456DUR|56BPWR|7ERES|8RCR|9CDMG
53	32232 14373	9	   	265.25	DCR|4VULN|3DUR|1CDMG	1BEXP|2579VULN|345DUR|5BPWR|6MBVNT|8RCR|aCDMG
54	32223 35243	3	 * 	265.06	DCR|4VULN|2ASPD|1DMG|1DUR	1BEXP|2789VULN|3DUR|4aASPD|5DMG|6RCR
55	32263 35243	4	   	265.06	DCR|4VULN|2ASPD|1DMG|1DUR	1BEXP|2789VULN|3DUR|4aASPD|5DMG|6RCR
56	11521 61136	4	   	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1RCVC|29aVULN|3aLIT|4DUR|5BBNT|6RCR|7ASPD|8aDMG|aBPWR
57	23531 16225	1	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2aDMG|359VULN|4TLV|6RCR|7LIT|8DUR
58	15262 21242	6	 * 	263.35	DCR|5VULN|2ASPD|2LIT	1RCVC|2RPLT|34579VULN|69ASPD|89LIT|9BPWR|aRCR
59	21152 22231	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aRPLT
60	21152 22232	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aMLV
61	21152 22233	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aZMB
62	21156 26231	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|27DUR|3AART|459VULN|69DMG|8RCR|9BPWR|aRPLT
63	21156 26232	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|27DUR|3AART|459VULN|69DMG|8RCR|9BPWR|aMLV
64	21156 26233	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|27DUR|3AART|459VULN|69DMG|8RCR|9BPWR|aZMB
65	51152 22231	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19MLV|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aRPLT
66	51152 22232	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19aMLV|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR
67	21153 22236	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|2aDUR|3AART|479VULN|5RCVC|69DMG|8RCR|9BPWR
68	51153 22236	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19MLV|2aDUR|3AART|479VULN|5RCVC|69DMG|8RCR|9BPWR
69	21152 22234	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aTBNT
70	21152 22235	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aMBVNT
71	51152 22233	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	19MLV|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aERES
72	51152 22234	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	19MLV|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aTBNT
73	51152 22235	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	19MLV|25DUR|3AART|479VULN|69DMG|8RCR|9BPWR|aMBVNT
74	11512 21151	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|23aVULN|4ERES|5AART|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
75	16512 21151	1	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|23aVULN|4ERES|5AART|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
76	62362 51222	5	   	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7CDMG|8DMG|9RCR|aMLV
77	62362 51222	6	   	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7CDMG|8DMG|9RCR|aMLV
78	32232 41513	10	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1BEXP|259VULN|345DUR|5BPWR|6CGEN|7DMG|8CDMG|aRCR
79	62231 51224	4	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	15FEWX|26aVULN|346DUR|6BPWR|7CDMG|8DMG|9RCR
80	62232 41513	10	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1FEWX|259VULN|345DUR|5BPWR|6CGEN|7DMG|8CDMG|aRCR
81	62232 51224	6	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	16FEWX|25aVULN|345DUR|5BPWR|7CDMG|8DMG|9RCR
82	62232 61222	5	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1FEWX|256VULN|345DUR|5BPWR|7CDMG|8DMG|9RCR|aMLV
83	62232 61226	5	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1FEWX|256VULN|345DUR|5BPWR|7CDMG|8DMG|9RCR|aCGEN
84	62362 51221	5	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7CDMG|8DMG|9RCR|aDUST
85	62362 51221	6	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7CDMG|8DMG|9RCR|aDUST
86	32232 18582	9	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1BEXP|25aVULN|345DUR|5BPWR|6MBVNT|7CDMG|8RCR|9DMG
87	62232 61221	5	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1FEWX|256VULN|345DUR|5BPWR|7CDMG|8DMG|9RCR|aDUST
88	62232 61224	4	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1FEWX|26aVULN|345DUR|7CDMG|8DMG|9RCR
89	32232 14371	10	   	262.60	DCR|4VULN|3DUR|1ASPD	1BEXP|2579VULN|345DUR|5BPWR|6MBVNT|8RCR|aASPD
90	62232 52223	5	   	262.53	DCR|3VULN|3DUR|1DMG|1CDMG|1SELL	1FEWX|257VULN|345DUR|5BPWR|6SELL|8DMG|9RCR|aCDMG
91	32223 35122	3	   	262.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1BEXP|27aVULN|3DUR|4ASPD|5DMG|6RCR|8TLV|9CDMG
92	32263 35122	4	   	262.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1BEXP|27aVULN|3DUR|4ASPD|5DMG|6RCR|8TLV|9CDMG
93	62223 35122	3	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1FEWX|27aVULN|3DUR|4ASPD|5DMG|6RCR|8TLV|9CDMG
94	62263 35122	4	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1FEWX|27aVULN|3DUR|4ASPD|5DMG|6RCR|8TLV|9CDMG
95	21152 22255	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1CGEN|25DUR|3AART|47aVULN|6DMG|8RCR|9TLV
96	21156 22253	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1CGEN|2aDUR|3AART|457VULN|6DMG|8RCR|9TLV
97	32232 62531	5	   	261.36	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|345DUR|5BPWR|8AART|9RCR|aMLV
98	32232 62532	5	   	261.36	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|345DUR|5BPWR|8AART|9RCR|aLWND
99	32232 62534	5	   	261.36	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|345DUR|5BPWR|8AART|9RCR|aCGEN
100	32232 62535	5	   	261.36	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|345DUR|5BPWR|8AART|9RCR|aRCVC
101	32235 52531	4	   	261.36	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|346DUR|6BPWR|8AART|9RCR|aMLV
102	32235 52532	4	   	261.36	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|346DUR|6BPWR|8AART|9RCR|aLWND
103	62232 62531	5	   	261.36	DCR|4VULN|3DUR|1AART	1FEWX|2567VULN|345DUR|5BPWR|8AART|9RCR|aMLV
104	62232 62532	5	   	261.36	DCR|4VULN|3DUR|1AART	1FEWX|2567VULN|345DUR|5BPWR|8AART|9RCR|aLWND
105	11512 16431	2	   	261.26	DCR|4VULN|3DUR|1AART	1RCVC|237aVULN|47ERES|5AART|67aDUR|7aBPWR|8RCR|9aDUST
106	32232 62533	5	   	261.26	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|345DUR|5BPWR|8AART|9RCR|aERES
107	32235 52533	4	   	261.26	DCR|4VULN|3DUR|1AART	1BEXP|2567VULN|346DUR|6BPWR|8AART|9RCR|aERES
108	62232 62533	5	   	261.26	DCR|4VULN|3DUR|1AART	1FEWX|2567VULN|345DUR|5BPWR|8AART|9RCR|aERES
109	23511 25351	1	 * 	261.24	DCR|4VULN|3DMG	189CGEN|289DMG|3589VULN|4RPLT|6RCR|7RCVC|89BPWR|aZMB
110	23511 25352	1	   	261.24	DCR|4VULN|3DMG	189aCGEN|289DMG|3589VULN|4RPLT|6RCR|7RCVC|89BPWR
111	23511 25353	1	   	261.24	DCR|4VULN|3DMG	189CGEN|289DMG|3589VULN|4RPLT|6RCR|7RCVC|89BPWR|aMLV
112	32163 16223	10	   	260.55	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	1BEXP|269VULN|3LHND|4ASPD|59TLV|7CDMG|89DUR|9BPWR|aRCR
113	11513 32324	3	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	1RCVC|29aVULN|3aLIT|4LWND|5TLV|6RCR|78aDUR|aBPWR
114	23531 11342	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2DMG|359aVULN|4TLV|6RCR|7MLV|8DUR
115	23531 13342	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2DMG|359aVULN|4TLV|6RCR|7ZMB|8DUR
116	23534 32342	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2DMG|379aVULN|4TLV|5ZMB|6RCR|8DUR
117	62232 61523	5	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	1FEWX|256VULN|345DUR|5BPWR|7aCDMG|8ASPD|9RCR
118	32223 34243	3	 * 	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	1BEXP|289VULN|3DUR|4aASPD|57DMG|6RCR
119	32263 34243	4	   	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	1BEXP|289VULN|3DUR|4aASPD|57DMG|6RCR
120	62362 51213	9	   	259.06	DCR|3VULN|3DUR|1TLV|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7TLV|8RCR|9CGEN|aCDMG
121	62362 51223	8	   	259.06	DCR|3VULN|3DUR|1TLV|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7TLV|8RCR|9CDMG|aRPLT
122	11422 16431	4	   	258.98	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|27aVULN|37TLV|4DMSP|5AART|67aDUR|7aBPWR|8RCR|9aLWND
123	11632 16431	3	   	258.98	DCR|3VULN|3DUR|2TLV|1AART	13RCVC|27aVULN|47TLV|5AART|67aDUR|7aBPWR|8RCR|9aLWND
124	23562 12231	1	   	258.98	DCR|3VULN|3DUR|1DMG|1AART	169CGEN|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aMLV
125	23562 12232	1	   	258.98	DCR|3VULN|3DUR|1DMG|1AART	169CGEN|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aLHND
126	23562 12234	1	   	258.98	DCR|3VULN|3DUR|1DMG|1AART	169aCGEN|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR
127	23562 12236	1	   	258.98	DCR|3VULN|3DUR|1DMG|1AART	169CGEN|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aRCVC
128	53562 12232	1	   	258.98	DCR|3VULN|3DUR|1DMG|1AART	169MLV|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aLHND
129	53562 12233	1	   	258.98	DCR|3VULN|3DUR|1DMG|1AART	169MLV|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aLWND
130	12462 51222	8	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	1RCVC|2DUST|356VULN|456DUR|56BPWR|7TLV|8RCR|9CDMG|aBEXP
131	32236 51224	8	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	1BEXP|26aVULN|346DUR|5RCVC|6BPWR|7TLV|8RCR|9CDMG
132	62232 51224	8	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	16FEWX|25aVULN|345DUR|5BPWR|7TLV|8RCR|9CDMG
133	62362 51221	8	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7TLV|8RCR|9CDMG|aDUST
134	62362 51233	9	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	13FEWX|256VULN|456DUR|56BPWR|7TLV|8RCR|9ERES|aCDMG
135	23562 12233	1	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	169CGEN|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aERES
136	53562 12231	1	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	169MLV|2DMG|379VULN|4AART|569DUR|69BPWR|8RCR|aBBNT
137	11114 37524	9	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1RCVC|26aVULN|3DUR|4RMIN|5MBVNT|7RCR|8aDMG|9aTLV|aBPWR
138	12462 51221	8	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RCVC|2aDUST|356VULN|456DUR|56BPWR|7TLV|8RCR|9CDMG
139	32232 18512	9	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1BEXP|25aVULN|345DUR|5BPWR|6MBVNT|7CDMG|8RCR|9TLV
140	62232 18512	9	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1FEWX|25aVULN|345DUR|5BPWR|6MBVNT|7CDMG|8RCR|9TLV
141	11432 16411	3	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|247VULN|37TLV|5AART|67aDUR|7BPWR|8RCR|9DMSP
142	11532 16411	2	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|237VULN|47TLV|5AART|67aDUR|7BPWR|8RCR|9DMSP
143	32232 18523	10	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	19BEXP|259VULN|345DUR|59BPWR|6MBVNT|79CDMG|8RCR|aAART
144	32232 18528	9	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	19BEXP|259VULN|345DUR|59BPWR|6MBVNT|79CDMG|8RCR|aAART
145	62232 18523	10	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	19FEWX|259VULN|345DUR|59BPWR|6MBVNT|79CDMG|8RCR|aAART
146	21156 22226	4	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1CGEN|29aDUR|3AART|457VULN|6DMG|8RCR
147	11512 16316	2	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1RCVC|237VULN|47ERES|5AART|679DUR|7BPWR|8DMG|aRCR
148	21152 22246	4	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1CGEN|25aDUR|3AART|479VULN|6DMG|8RCR
149	62232 51261	8	   	257.53	DCR|3VULN|3DUR|2TLV	169FEWX|259VULN|345DUR|59BPWR|79TLV|8RCR|aLIT
150	23511 23142	1	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1CGEN|2DMG|359aVULN|4RPLT|6RCR|7CDMG|8TLV
151	53511 23142	1	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1MLV|2DMG|359aVULN|4RPLT|6RCR|7CDMG|8TLV
152	11461 32324	3	   	257.43	DCR|3VULN|3DUR|2TLV	1RCVC|29aVULN|3aTLV|4LIT|5LWND|6RCR|78aDUR|aBPWR
153	11461 32324	4	   	257.43	DCR|3VULN|3DUR|2TLV	1RCVC|29aVULN|3aTLV|4LIT|5LWND|6RCR|78aDUR|aBPWR
154	11462 32324	5	   	257.43	DCR|3VULN|3DUR|2TLV	1RCVC|29aVULN|3aTLV|4LIT|5LHND|6RCR|78aDUR|aBPWR
155	32232 18527	10	   	257.43	DCR|3VULN|3DUR|2CDMG	19BEXP|259VULN|345DUR|59BPWR|6MBVNT|79CDMG|8RCR|aLIT
156	32232 14314	10	   	257.33	DCR|3VULN|3DUR|1DMG	1BEXP|257VULN|345DUR|5BPWR|6MBVNT|8RCR|9LIT|aDMG
157	32232 14317	9	   	257.33	DCR|3VULN|3DUR|1DMG	1BEXP|257VULN|345DUR|5BPWR|6MBVNT|8RCR|9LIT|aDMG
158	32232 14647	7	   	257.33	DCR|3VULN|3DUR|1DMG	1BEXP|257VULN|345DUR|5BPWR|6MBVNT|8LIT|9RCR|aDMG
159	32232 14747	8	   	257.33	DCR|3VULN|3DUR|1DMG	1BEXP|257VULN|345DUR|5BPWR|6MBVNT|8LIT|9RCR|aDMG
160	62232 14314	10	   	257.33	DCR|3VULN|3DUR|1DMG	1FEWX|257VULN|345DUR|5BPWR|6MBVNT|8RCR|9LIT|aDMG
161	41152 12151	5	 * 	257.32	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	1RCR|2aASPD|3AART|467aVULN|56MLV|6aBPWR|8DMG|9aDUR
162	62232 52225	5	   	257.18	DCR|3VULN|3DUR|1DMG|1SELL	1FEWX|257VULN|345DUR|5BPWR|6SELL|8DMG|9RCR|aLIT
163	43265 31212	9	 * 	257.16	ACR|4VULN|3DUR|2DMG	1RCR|234DUR|58ZMB|689aVULN|78DMG|8BPWR
164	41153 12151	4	   	257.12	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	1RCR|2aASPD|3AART|467aVULN|56ERES|6aBPWR|8DMG|9aDUR
165	11431 16262	4	 * 	257.11	DCR|3VULN|2DUR|2ASPD|2TLV	18RCVC|25aVULN|37TLV|4aDUR|6RCR|9aASPD|aBPWR
166	42264 33231	1	 * 	257.10	ACR|4VULN|3DUR|2TLV|2AART	1RCR|23AART|478aVULN|57TLV|67aDUR|7aBPWR|9aLWND
167	23531 16225	2	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|2ASPD|359VULN|4TLV|6RCR|7LIT|8DUR|aDMG
168	32223 35264	3	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1BEXP|278VULN|3DUR|4ASPD|5DMG|6RCR|9LIT|aTLV
169	32263 34143	5	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1BEXP|29aVULN|3DUR|4ASPD|5TLV|6RCR|7DMG|8LIT
170	62362 51211	10	   	256.41	DCR|3VULN|3DUR|1TLV|1ASPD	13FEWX|256VULN|456DUR|56BPWR|7TLV|8RCR|9CGEN|aASPD
