0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51642 22131	10	 * 	292.65	DCR|4VULN|3DMG|3DUR	178DMG|2DUST|3RPLT|4789VULN|5RCVC|678DUR|78BPWR|aRCR
21	21114 13771	1	   	273.66	DCR|4VULN|3DUR|1TLV	1ASPD|2MBVNT|356DUR|4568VULN|56BPWR|7TLV|9FEWX|aRCR
22	21114 13781	1	   	273.66	DCR|4VULN|3DUR|1TLV	1ASPD|2MBVNT|356DUR|4568VULN|56BPWR|7TLV|9LHND|aRCR
23	51114 14838	1	   	272.67	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7LIT|8RCR|9LWND|aTLV
24	51114 13276	1	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8DUST|9LIT|aRCR
25	21117 52445	1	   	272.49	DCR|4VULN|3DUR|3ASPD|1AART	178ASPD|2MBVNT|378DUR|478aVULN|5TBNT|6RCR|78BPWR|9AART
26	51116 13631	1	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|2MBVNT|36DUR|4568VULN|6BPWR|7TLV|9RPLT|aRCR
27	53161 23141	10	   	271.60	DCR|3VULN|3DMG|3DUR	158DMG|29LHND|368DUR|4RPLT|789VULN|89BPWR|aRCR
28	51117 52124	1	   	271.50	DCR|3VULN|3DMG|3DUR	17aDMG|2MBVNT|379DUR|47aVULN|5TBNT|6RCR|7aBPWR|8aMLV
29	51117 52412	1	   	271.50	DCR|3VULN|3DMG|3DUR	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9aRCVC
30	51117 52413	1	   	271.50	DCR|3VULN|3DMG|3DUR	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9RCVC|aLWND
31	51117 52421	1	   	271.50	DCR|3VULN|3DMG|3DUR	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9FEWX|aRCVC
32	51117 52422	1	   	271.50	DCR|3VULN|3DMG|3DUR	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9aFEWX
33	21117 52443	1	   	271.50	DCR|3VULN|3DUR|3ASPD|1DMG|1AART	178ASPD|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9AART|aDMG
34	51641 21121	10	   	271.40	DCR|3VULN|3DMG|3DUR	158DMG|2DUST|3RPLT|478VULN|689DUR|8BPWR|aRCR
35	51117 52414	1	   	271.40	DCR|3VULN|3DMG|3DUR|1NUKE	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9RCVC|aNUKE
36	51117 52424	1	   	271.40	DCR|3VULN|3DMG|3DUR|1NUKE	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9FEWX|aNUKE
37	51641 22221	10	   	271.40	DCR|3VULN|3DMG|3DUR	157DMG|2DUST|3RPLT|478VULN|679DUR|7BPWR|aRCR
38	51117 32414	1	   	271.30	DCR|3VULN|3DMG|3DUR	18aDMG|2MBVNT|368DUR|48aVULN|5TBNT|7RCR|8aBPWR|9aERES
39	51114 14827	1	   	270.80	DCR|3VULN|3DUR|2DMG|2LIT	1aDMG|2MBVNT|356DUR|456VULN|56aBPWR|7aLIT|8RCR|9aZMB
40	51114 14837	1	   	270.80	DCR|3VULN|3DUR|2DMG|2LIT	1aDMG|2MBVNT|356DUR|456VULN|56aBPWR|7aLIT|8RCR|9aLWND
41	51117 32431	1	   	269.30	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|2MBVNT|368DUR|48aVULN|5TBNT|7RCR|8BPWR|9CDMG
42	53115 12125	3	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	16DMG|2LHND|37DUR|456VULN|6BPWR|8RPLT|9TLV|aRCR
43	51115 12125	3	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	16DMG|2DUST|37DUR|456VULN|6BPWR|8RPLT|9TLV|aRCR
44	51115 12125	2	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	16DMG|2DUST|37DUR|456VULN|6BPWR|8RPLT|9TLV|aRCR
45	21117 52427	1	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	178ASPD|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9FEWX|aTLV
46	21117 52452	1	   	267.88	DCR|3VULN|3DUR|1TLV|3ASPD	178ASPD|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9TLV|aBBNT
47	21117 52454	1	   	267.88	DCR|3VULN|3DUR|1TLV|3ASPD|1NUKE	178ASPD|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9TLV|aNUKE
48	51114 14853	1	   	267.52	DCR|4VULN|3DUR|1DMG	1DMG|2MBVNT|356DUR|4569VULN|56BPWR|7LIT|8RCR|aRPLT
49	51114 14854	1	   	267.52	DCR|4VULN|3DUR|1DMG	1DMG|2MBVNT|356DUR|4569VULN|56BPWR|7LIT|8RCR|aLWND
50	51114 44852	1	   	267.42	DCR|4VULN|3DUR|1DMG	1DMG|2MBVNT|356DUR|459aVULN|5BPWR|7LIT|8RCR
51	13321 36122	7	 * 	267.12	DCR|4VULN|2DMG|2TLV	1aTLV|24LHND|3aDMG|569aVULN|7RCR|8BELT|aBPWR
52	53521 36122	7	   	267.12	DCR|4VULN|2DMG|2TLV	1aDMG|24LHND|3aTLV|569aVULN|7RCR|8BELT|aBPWR
53	11341 32354	8	   	266.92	DCR|4VULN|2DMG|2TLV	19TLV|24DUST|39DMG|5689VULN|7RPLT|9BPWR|aRCR
54	11361 23156	5	   	266.92	DCR|4VULN|2DMG|2TLV|1NUKE	19TLV|2DUST|39DMG|4NUKE|579aVULN|6RCR|8RPLT|9BPWR
55	21114 13524	1	   	266.26	DCR|3VULN|3DUR|1TLV|1CDMG	1ASPD|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8CDMG|9FEWX|aRCR
56	21114 13564	1	   	266.26	DCR|3VULN|3DUR|1TLV|1CDMG	1ASPD|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8CDMG|9LWND|aRCR
57	21114 12672	1	   	265.70	DCR|5VULN|3DUR	1ASPD|2MBVNT|356DUR|45689VULN|56BPWR|7BBNT|aRCR
58	51117 32441	1	 * 	265.46	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|2MBVNT|368DUR|48VULN|5TBNT|7RCR|8BPWR|9ASPD|aTLV
59	51117 32472	1	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	18DMG|2MBVNT|368DUR|48aVULN|5TBNT|7RCR|8BPWR|9AART
60	21641 32122	8	 * 	264.77	DCR|3VULN|3DMG|3ASPD|1CDMG	178ASPD|2DUST|3RPLT|478VULN|578DMG|6RMIN|78BPWR|9CDMG|aRCR
61	51114 13352	1	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8RPLT|9BEXP|aRCR
62	51114 18141	1	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7RCVC|8TLV|9BEXP|aRCR
63	51114 18171	1	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7RCVC|8TLV|9FEWX|aRCR
64	51114 18181	1	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7RCVC|8TLV|9LHND|aRCR
65	51114 43741	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|458VULN|5BPWR|7TLV|9BEXP|aRCR
66	51114 43771	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|458VULN|5BPWR|7TLV|9FEWX|aRCR
67	51114 43781	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|458VULN|5BPWR|7TLV|9LHND|aRCR
68	51116 12141	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|367DUR|456VULN|6BPWR|8TLV|9BEXP|aRCR
69	51116 12171	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|367DUR|456VULN|6BPWR|8TLV|9FEWX|aRCR
70	51116 12181	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|367DUR|456VULN|6BPWR|8TLV|9LHND|aRCR
71	51116 13221	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|369DUR|456VULN|6BPWR|7TLV|8LHND|aRCR
72	51137 13741	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|346DUR|568VULN|6BPWR|7TLV|9BEXP|aRCR
73	51114 12311	1	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7BBNT|8ERES|9RCR|aTLV
74	51114 13114	1	   	264.12	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8LWND|9SELL|aRCR
75	51114 13614	1	   	264.12	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8BEXP|9SELL|aRCR
76	51114 14818	1	   	264.05	DCR|3VULN|3DUR|2DMG	1aDMG|2MBVNT|356DUR|456VULN|56BPWR|7LIT|8RCR|9CGEN
77	13321 36453	10	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	19TLV|24LHND|39DMG|569VULN|7RCR|8AART|9BPWR|aASPD
78	51114 13214	1	   	264.02	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8DUST|9SELL|aRCR
79	51114 13414	1	   	264.02	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8LEGI|9SELL|aRCR
80	51114 44851	1	   	263.95	DCR|3VULN|3DUR|2DMG	1aDMG|2MBVNT|356DUR|459VULN|5BPWR|7LIT|8RCR
81	53642 21112	10	   	263.67	DCR|4VULN|2DMG|2DUR	18DMG|2LHND|3RPLT|4789VULN|5RCVC|68DUR|8BPWR|aRCR
82	51642 21112	10	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|2DUST|3RPLT|4789VULN|5RCVC|68DUR|8BPWR|aRCR
83	53115 12432	3	   	263.57	DCR|4VULN|2DMG|2DUR	16DMG|2LHND|37DUR|4568VULN|6BPWR|9BEXP|aRCR
84	21643 62131	10	   	262.93	DCR|4VULN|3DUR|3ASPD	178ASPD|2DUST|35RPLT|4789VULN|678DUR|78BPWR|aRCR
85	21117 52462	1	   	262.83	DCR|4VULN|3DUR|3ASPD	178ASPD|2MBVNT|378DUR|4789VULN|5TBNT|6RCR|78BPWR|aRCVC
86	21117 52463	1	   	262.83	DCR|4VULN|3DUR|3ASPD	178ASPD|2MBVNT|378DUR|4789VULN|5TBNT|6RCR|78BPWR|aLWND
87	21642 62131	10	   	262.83	DCR|4VULN|3DUR|3ASPD	178ASPD|25DUST|3RPLT|4789VULN|678DUR|78BPWR|aRCR
88	25621 32142	10	   	262.78	DCR|4VULN|3DUR|3ASPD|1SELL	178ASPD|2SELL|378DUR|49DUST|59LWND|6789VULN|789BPWR|aRCR
89	21117 52464	1	   	262.73	DCR|4VULN|3DUR|3ASPD|1NUKE	178ASPD|2MBVNT|378DUR|4789VULN|5TBNT|6RCR|78BPWR|aNUKE
