0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53126 42233	9	 * 	284.46	橙3易伤2伤害2时间2攻速1全技能	1a时间249易伤3立即金币5全技能6a攻速7a伤害8核a序列升级
26	56326 31231	10	   	266.52	橙3易伤3时间2攻速1等级	12a时间3等级49a易伤5最后敌人6挖尘7核8a攻速a序列升级
27	56122 41231	10	   	266.52	橙3易伤3时间2攻速1等级	12a时间3低血量敌人49a易伤5等级6挖尘7核8a攻速a序列升级
28	33432 61133	10	   	266.51	橙3易伤3时间2伤害	1挖青29a易伤36挖尘489时间59伤害7核9序列升级
29	52122 51251	8	   	265.53	橙4易伤2时间1等级1攻速	13时间2掉矿458a易伤6等级7攻速9核
30	53262 53223	1	 * 	264.03	紫3易伤3时间2伤害2攻速	179时间2核35a易伤47攻速67伤害7序列升级8雷电
31	53263 43223	1	   	264.03	紫3易伤3时间2伤害2攻速	179时间2核36a易伤47攻速57伤害7序列升级8雷电
32	53221 42243	6	   	263.92	橙3易伤3时间2攻速1暴击	19a时间26a易伤3基地爆炸4暴击5a攻速7赏金塔8核a序列升级
33	53226 11243	4	   	263.92	橙3易伤3时间2攻速1暴击	19a时间25a易伤3基地爆炸4暴击6赏金邻近7a攻速8核a序列升级
34	64322 21251	8	 * 	263.19	橙5易伤1伤害1等级	1掉矿2伤害3等级4568a易伤7挖尘9核
35	33136 26531	9	 * 	262.76	橙3易伤3伤害1等级	1挖青29a易伤3立即金币49a挖尘5雷电6等级79a伤害8核9a序列升级
36	53121 34741	8	   	261.69	橙3易伤2伤害2时间	1a时间24a易伤3立即金币5雷电6加一7掉矿8核9a伤害a序列升级
37	33435 33211	7	   	261.50	橙3易伤2时间2攻速1等级	1挖青28a易伤3挖尘4a时间5雷电6等级7a攻速9核a序列升级
38	33435 34211	6	   	261.50	橙3易伤2时间2攻速1等级	1挖青28a易伤3挖尘4a时间5雷电6等级7a攻速9核a序列升级
39	33113 26251	6	 * 	260.58	橙3易伤2伤害2等级1全技能	1挖青27a易伤3立即金币4全技能5雷电6a伤害8核9a等级a序列升级
40	53121 11121	9	   	260.31	橙4易伤3时间	19a时间249a易伤3立即金币5雷电6敌人爆炸7核89a基地爆炸9a序列升级
41	53121 11621	9	   	260.31	橙4易伤3时间	19a时间249a易伤3立即金币5雷电6敌人爆炸7核89a低血量敌人9a序列升级
42	53121 41121	9	   	260.21	橙4易伤3时间	19a时间249a易伤3立即金币5雷电6挖尘7核89a基地爆炸9a序列升级
43	53122 21651	6	   	260.10	橙4易伤1伤害1等级1时间	1时间246a易伤3立即金币5等级7随机矿8伤害9核
44	53121 11521	9	   	260.01	橙4易伤3时间	19a时间249a易伤3立即金币5雷电6敌人爆炸7核89a挖尘9a序列升级
45	53122 23651	7	   	260.00	橙4易伤1伤害1等级1时间	1时间246a易伤3立即金币5等级7掉矿8伤害9核
46	33214 52243	2	 * 	259.93	橙3易伤3时间2暴击1攻速	1挖青23a易伤4攻速5a暴击69a时间7赏金塔8核a序列升级
47	56322 11161	10	 * 	259.86	橙2易伤3时间2伤害2等级	128时间3a等级4a易伤5基地爆炸6最后敌人7核9a伤害a序列升级
48	52323 24314	2	   	259.76	橙2易伤3时间2伤害2等级	189时间2掉矿38易伤4基地爆炸5a伤害68等级7核8序列升级
49	53221 22243	4	 * 	259.76	橙2易伤3时间2伤害2暴击	19a时间2a易伤3基地爆炸45暴击6a伤害7赏金塔8核a序列升级
50	53421 22243	4	   	259.66	橙2易伤3时间2伤害2暴击	19a时间2a易伤3挖尘45暴击6a伤害7赏金塔8核a序列升级
51	53122 25211	9	   	259.58	橙5易伤1等级1时间	1时间2468a易伤3立即金币5等级7敌人爆炸9核
52	53122 26211	9	   	259.58	橙5易伤1等级1时间	1时间2468a易伤3立即金币5等级7最后敌人9核
53	53122 26213	10	   	259.58	橙5易伤1等级1时间	1时间2468a易伤3立即金币5等级7最后敌人9核
54	53122 21211	9	   	259.48	橙5易伤1等级1时间	1时间2468a易伤3立即金币5等级7挖尘9核
55	63322 24211	9	   	259.48	橙5易伤1等级1时间	1掉矿2随机矿3等级4568a易伤7时间9核
56	63322 24213	10	   	259.48	橙5易伤1等级1时间	1掉矿2随机矿3等级4568a易伤7时间9核
57	52122 53111	9	   	258.96	橙3易伤3时间1等级1暴击	139时间2掉矿459易伤6等级7暴击89金币生成9序列升级a核
58	52122 21651	6	 * 	258.34	橙4易伤2时间1伤害	13时间2掉矿456a易伤7随机矿8伤害9核
59	52122 25363	6	   	258.34	橙4易伤2时间1伤害	13时间2掉矿4569易伤7平台8伤害a核
60	53121 22426	9	 * 	258.34	橙4易伤2时间3雷电	19时间249a易伤3立即金币568雷电7核9序列升级
61	56323 25211	9	 * 	258.34	橙4易伤2时间2等级	12时间35等级468a易伤7敌人爆炸9核
62	56323 26211	9	   	258.34	橙4易伤2时间2等级	12时间35等级468a易伤7最后敌人9核
63	56323 26213	10	   	258.34	橙4易伤2时间2等级	12时间35等级468a易伤7最后敌人9核
64	33136 36521	9	 * 	258.27	橙3易伤3伤害3雷电	1挖青29a易伤3立即金币4挖尘59a雷电6随机矿79a伤害8核9a序列升级
65	56323 21211	9	   	258.24	橙4易伤2时间2等级	12时间35等级468a易伤7挖尘9核
66	52122 25211	9	   	257.81	橙5易伤2时间	13时间2掉矿4568a易伤7敌人爆炸9核
67	52122 26211	9	   	257.81	橙5易伤2时间	13时间2掉矿4568a易伤7最后敌人9核
68	52122 26213	10	   	257.81	橙5易伤2时间	13时间2掉矿4568a易伤7最后敌人9核
69	52122 21211	9	   	257.71	橙5易伤2时间	13时间2掉矿4568a易伤7挖尘9核
70	53116 42233	9	   	257.55	橙2易伤2伤害2时间2攻速1全技能	1a时间29易伤3立即金币4双倍矿5全技能6a攻速7a伤害8核a序列升级
71	53126 42213	8	   	257.55	橙2易伤2伤害2时间2攻速1全技能	1a时间24易伤3立即金币5全技能6a攻速7a伤害8核9双倍矿a序列升级
72	64322 21252	8	   	257.30	橙4易伤1伤害1等级1暴击	1掉矿2伤害3等级4568易伤7挖尘9核a暴击
73	53221 42263	6	 * 	257.01	橙3易伤2时间2攻速2暴击	1a时间26a易伤3基地爆炸49暴击5a攻速7赏金塔8核a序列升级
74	53226 11263	4	   	257.01	橙3易伤2时间2攻速2暴击	1a时间25a易伤3基地爆炸49暴击6赏金邻近7a攻速8核a序列升级
75	52122 51252	8	   	256.54	橙3易伤2时间1等级1暴击1攻速	13时间2掉矿458易伤6等级7攻速9核a暴击
76	51142 32533	10	   	256.37	橙2易伤2伤害2时间1等级1暴击	13时间2金币生成47伤害5等级6暴击8核9a易伤
77	53313 41215	6	   	256.34	橙4易伤2时间1全技能	17时间269a易伤3低血量敌人4全技能5雷电8核
78	53313 41215	7	   	256.34	橙4易伤2时间1全技能	17时间269a易伤3低血量敌人4全技能5雷电8核
79	52142 32533	10	   	256.27	橙2易伤2伤害2时间1等级1暴击	13时间2掉矿47伤害5等级6暴击8核9a易伤
80	52312 84834	10	   	256.11	橙3易伤3时间1等级1攻速	147时间247掉矿3加一47序列升级567易伤8攻速9等级a核
81	53633 61321	5	   	255.86	橙3易伤2时间1伤害2暴击	18时间289易伤3掉矿4金币生成5平台6核78暴击8序列升级a伤害
82	53121 22426	10	 * 	255.76	橙3易伤2时间3雷电1伤害	19时间249易伤3立即金币568雷电7核9序列升级a伤害
83	53231 41134	9	 * 	255.55	橙2易伤3伤害3时间	189时间29易伤35基地爆炸4最后敌人69a伤害7核9序列升级
84	53321 41134	9	   	255.55	橙2易伤3伤害3时间	189时间29易伤3低血量敌人45基地爆炸69a伤害7核9序列升级
85	33221 41134	9	   	255.45	橙2易伤3伤害3时间	1挖青29易伤34基地爆炸589时间69a伤害7核9序列升级
86	33131 41134	9	   	255.35	橙2易伤3伤害3时间	1挖青29易伤3立即金币4挖尘589时间69a伤害7核9序列升级
87	33432 61134	9	   	255.26	橙2易伤3伤害3时间	1挖青29易伤36挖尘489时间59a伤害7核9序列升级
88	33461 14313	2	   	255.05	橙3易伤2伤害1等级1时间	1挖青28a易伤38伤害4等级5掉矿68敌人爆炸7核8序列升级9时间
89	33212 15345	5	 * 	254.95	橙4易伤2伤害1全技能	1挖青2578易伤37基地爆炸4全技能67伤害7序列升级9矿等a核
90	33312 15345	5	   	254.95	橙4易伤2伤害1全技能	1挖青2578易伤37低血量敌人4全技能67伤害7序列升级9矿等a核
91	53122 62422	10	   	254.80	橙3易伤2伤害1等级1时间1卖塔	1时间248易伤3立即金币5等级6卖塔7a伤害9核
92	52361 22831	5	   	254.66	橙2易伤3时间2伤害2雷电	17a时间27掉矿3加一4a易伤5最后敌人67雷电7a序列升级8核9a伤害
93	53122 24111	9	   	254.62	橙4易伤2时间1等级	17时间246a易伤3立即金币5等级8敌人爆炸9核
94	56326 23211	9	   	254.62	橙4易伤2时间1等级	12时间3等级468a易伤57最后敌人9核
95	56326 23213	10	   	254.62	橙4易伤2时间1等级	12时间3等级468a易伤57最后敌人9核
96	53122 46211	9	   	254.62	橙4易伤2时间1等级	17时间248a易伤3立即金币5等级6低血量敌人9核
97	53122 46213	10	   	254.62	橙4易伤2时间1等级	17时间248a易伤3立即金币5等级6低血量敌人9核
98	56363 23211	9	   	254.62	橙4易伤2时间1等级	12时间3等级47最后敌人568a易伤9核
99	56363 23213	10	   	254.62	橙4易伤2时间1等级	12时间3等级47最后敌人568a易伤9核
100	52122 25214	9	   	254.52	橙4易伤2时间1等级	13时间2掉矿4568易伤7敌人爆炸9核a等级
101	52122 26214	9	   	254.52	橙4易伤2时间1等级	13时间2掉矿4568易伤7最后敌人9核a等级
102	52122 54211	9	   	254.52	橙4易伤2时间1等级	13时间2掉矿458a易伤6等级7金币生成9核
103	52122 54213	10	   	254.52	橙4易伤2时间1等级	13时间2掉矿458a易伤6等级7金币生成9核
104	53122 21212	10	   	254.52	橙4易伤2时间1等级	1a时间2468易伤3立即金币5等级7挖尘9核
105	53122 24211	9	   	254.52	橙4易伤2时间1等级	17时间246a易伤3立即金币5等级8挖尘9核
