0	Index      	 *	Score 	Summary	Detail	
1	25155 23131	 * 	268.69	橙橙2易伤1等级1时间	1随机技能2基础对愈3时间4赏金邻近5等级69易伤7a核8电塔对黄
33	15223 11133	   	242.59	橙橙1易伤2时间1暴击	14时间2防空对头目3随机技能5易伤6雷电7暴击89核a基地爆炸
34	15223 11134	   	242.59	橙橙1易伤2时间1暴击	14时间2防空对头目3随机技能5易伤6雷电7暴击89核a随机矿
35	25123 11131	   	242.59	橙橙1易伤2时间1暴击	1随机技能2基础对愈34时间5易伤6雷电7暴击89核a敌人爆炸
36	25123 11133	   	242.59	橙橙1易伤2时间1暴击	1随机技能2基础对愈34时间5易伤6雷电7暴击89核a基地爆炸
37	25123 11134	   	242.59	橙橙1易伤2时间1暴击	1随机技能2基础对愈34时间5易伤6雷电7暴击89核a随机矿
38	15253 23131	   	242.49	橙橙2易伤1时间	1时间2防空对头目3随机技能4赏金邻近5随机矿69易伤7a核8机枪对头目
39	25153 23131	   	242.49	橙橙2易伤1时间	1随机技能2基础对愈3时间4赏金邻近5随机矿69易伤7a核8机枪对头目
40	25261 11132	   	242.49	橙橙2易伤1暴击	1随机技能2基础对愈3挖尘45易伤6雷电7暴击89核a烈焰减费
41	25261 11135	   	242.49	橙橙2易伤1暴击1卖塔	1随机技能2基础对愈3挖尘45易伤6雷电7暴击89核a卖塔
42	25261 11136	   	242.49	橙橙2易伤1暴击	1随机技能2基础对愈3挖尘45易伤6雷电7暴击89核a赏金邻近
43	15223 11132	   	242.49	橙橙1易伤2时间1暴击	14时间2防空对头目3随机技能5易伤6雷电7暴击89核a烈焰减费
44	15223 11135	   	242.49	橙橙1易伤2时间1暴击1卖塔	14时间2防空对头目3随机技能5易伤6雷电7暴击89核a卖塔
45	15223 11136	   	242.49	橙橙1易伤2时间1暴击	14时间2防空对头目3随机技能5易伤6雷电7暴击89核a赏金邻近
46	25123 11132	   	242.49	橙橙1易伤2时间1暴击	1随机技能2基础对愈34时间5易伤6雷电7暴击89核a烈焰减费
47	25123 11135	   	242.49	橙橙1易伤2时间1暴击1卖塔	1随机技能2基础对愈34时间5易伤6雷电7暴击89核a卖塔
48	25123 11136	   	242.49	橙橙1易伤2时间1暴击	1随机技能2基础对愈34时间5易伤6雷电7暴击89核a赏金邻近
49	41316 11631	   	242.39	橙橙2易伤1全技能	1赏金塔24易伤3赏金邻近5全技能6a核7头目8掉矿9加一
50	33313 64351	 * 	242.27	紫3易伤3伤害3等级2攻速	1a攻速2赏金邻近3核468易伤56a伤害6a序列升级79a等级
51	41116 25221	   	242.25	橙橙2易伤1全技能1卖塔	1赏金塔23易伤3序列升级4卖塔5金币生成6a核7加农对毒8全技能9挖尘
52	41524 32113	   	239.64	橙5易伤2伤害	1赏金塔24567易伤35伤害5序列升级8赏金邻近9防空对愈a核
53	13521 32553	   	239.20	橙橙2时间1等级1导弹对毒	12时间3导弹对毒4烈焰减费5平台69核7赏金邻近8雷电a等级
