0	Index      	 *	Score 	Summary	Detail	
1	51311 61325	 * 	271.94	橙橙2易伤1暴击1平台	1寒冰对冰25易伤3随机矿4敌人爆炸6暴击7金币生成8a核9平台
30	15521 31323	   	246.32	橙橙2伤害1暴击1平台1卖塔	15基地爆炸2赏金邻近3暴击4卖塔6a核79伤害8平台
31	15525 31323	   	246.32	橙橙2伤害1暴击1平台1卖塔	1基地爆炸2赏金邻近3暴击4卖塔5双倍矿6a核79伤害8平台
32	24235 33311	   	246.09	橙橙1易伤1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9矿等a金币生成
33	24235 33312	   	246.09	橙橙1易伤1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9矿等a随机矿
34	24235 33316	   	246.09	橙橙1易伤1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9矿等a低血量敌人
35	24235 34311	   	246.09	橙橙1易伤1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖尘9矿等a金币生成
36	24235 34312	   	246.09	橙橙1易伤1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖尘9矿等a随机矿
37	62552 31132	 * 	246.02	橙2易伤2伤害2矿等2时间	18伤害28矿等3毒液对黄4等级58时间6赏金塔7核8序列升级9a易伤
38	24235 33336	   	245.99	橙橙1易伤1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9基础对甲a矿等
39	62212 61232	   	245.10	橙2易伤2矿等1伤害1攻速1平台	1伤害2a矿等3平台4随机矿57易伤6攻速8时间9核
40	51121 31132	 * 	245.05	橙4易伤2攻速2时间	18寒冰对冰259a易伤38时间48攻速6赏金塔7核8序列升级
41	62232 31615	   	244.64	橙3易伤1伤害1矿等1暴击1平台	1伤害2矿等3平台4雷电58a易伤6赏金塔7暴击9核
42	33282 48714	 * 	244.03	橙橙1易伤3全技能	1雷电2赏金邻近3加一4易伤589全技能6金币生成7a核
43	51323 61325	   	243.86	橙橙1易伤1暴击1平台	1寒冰对冰2易伤3随机矿4立即金币5最后敌人6暴击7金币生成8a核9平台
44	51316 11325	   	243.76	橙橙1易伤1暴击1平台	1寒冰对冰2易伤3随机矿4敌人爆炸5暴击6激光减费7金币生成8a核9平台
45	21536 21325	   	243.56	橙橙1易伤1暴击1平台	1技能点2掉矿3散射对甲4随机矿5易伤6暴击7金币生成8a核9平台
46	24235 33334	   	242.11	橙橙1易伤1攻速	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9基础对甲a攻速
47	62212 61231	 * 	241.94	橙2易伤2攻速1伤害1矿等1平台	1伤害2矿等3平台4随机矿57易伤6a攻速8时间9核
