0	Index      	 *	Score 	Summary	Detail	
1	43552 12111	 * 	183.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aERES|2CGEN|3aVULN|4AART|5CDMG|6ZMB|7DMSP|8aDMG|9RCR|aBPWR
62	31436 31263	   	169.33	ACR|2VULN|2DMG|1AART	1aLIT|2RCR|3ERES|4AART|5aDMG|67VULN|8MLV|9aBEXP|aBPWR
63	31436 31363	   	169.33	ACR|2VULN|2DMG|1AART	1aLIT|2RCR|3ERES|4AART|5aDMG|67VULN|8CGEN|9aBEXP|aBPWR
64	31434 11413	   	169.13	ACR|2VULN|2DMG|1AART	1LIT|2RCR|3aERES|4AART|5BEXP|6CGEN|7aVULN|8DUST|9aDMG|aBPWR
65	21535 31242	 * 	168.84	ACR|3DMG|1AART|1VULN|1DUR	1LWND|2CGEN|3DUR|4RCR|5AART|679DMG|8LHND|aVULN
66	21535 31142	   	168.74	ACR|3DMG|1AART|1VULN|1DUR	1LWND|2CGEN|3DUR|4RCR|5AART|679DMG|8DUST|aVULN
67	31436 32533	 * 	168.64	ACR|2AART|1VULN|1DMG|2DUR|1ZMB	1LIT|2RCR|3ERES|48AART|5DMG|6VULN|7ZMB|9aDUR
68	25213 22315	 * 	168.52	DCR|2AART|2VULN|1DMG|1CDMG	1LWND|2FEWX|3DMG|4CGEN|5aAART|69VULN|7CDMG|8RCR
69	31436 43312	   	168.50	ACR|3DMG|1AART|1VULN	17LIT|2RCR|3ERES|4AART|578DMG|67TLV|7BPWR|9VULN|aRCVC
70	25244 13313	   	168.42	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2FEWX|3DMG|48aVULN|5DUR|6RCR|7LHND|9AART
71	31284 31164	   	168.39	ACR|3VULN|2AART|1ZMB	14LIT|2RCR|3MBVNT|5ZMB|6aAART|789VULN
72	63324 11153	   	168.31	ACR|2AART|2VULN|1ZMB|1DUR|1ASPD	1RCVC|25AART|3CGEN|4RCR|6ZMB|7ASPD|89VULN|aDUR
73	31345 51323	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	1LIT|2RCR|3RPLT|46DUR|5CDMG|7aDMG|89VULN
74	31334 17487	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3RPLT|4MBVNT|5DUR|6AART|78VULN|9DMG|aZMB
75	31284 27164	   	167.79	ACR|3VULN|2AART|1ZMB	14LIT|2RCR|3MBVNT|5ZMB|689VULN|7aAART
76	63423 61323	   	167.70	ACR|2AART|1VULN|1DMG|2ZMB|1ASPD	1RCVC|25AART|38ZMB|4RCR|6DMG|7ASPD|9BEXP|aVULN
77	63423 61333	   	167.70	ACR|2AART|1VULN|1DMG|2ZMB|1ASPD	1RCVC|25AART|38ZMB|4RCR|6DMG|7ASPD|9LHND|aVULN
78	63254 22333	 * 	167.65	DCR|3VULN|2AART|1DUR|1ASPD	1RCVC|25AART|3ASPD|47aVULN|6TLV|8DUR|9RCR
79	63423 61313	   	167.60	ACR|2AART|1VULN|1DMG|2ZMB|1ASPD	1RCVC|25AART|38ZMB|4RCR|6DMG|7ASPD|9DUST|aVULN
80	53531 14614	 * 	167.59	ACR|4VULN|1AART|2ASPD	16ASPD|2CGEN|379aVULN|4RCR|5MBVNT|8AART
81	21541 24133	   	167.45	DCR|2VULN|2DMG|1AART|1DUR	15LWND|2CGEN|3DUR|45VULN|5BPWR|69DMG|7RCR|8LHND|aAART
82	21413 36613	 * 	167.44	ACR|3VULN|3CDMG|1AART	18LWND|2CGEN|378CDMG|4RCR|58aVULN|6AART|8BPWR|9RMIN
83	31255 31164	   	167.43	ACR|3VULN|2AART|1ASPD	1LIT|2RCR|3MBVNT|4RCVC|5ASPD|6aAART|789VULN
84	63451 23133	   	167.43	DCR|4VULN|1AART|1ZMB	1RCVC|2AART|3ZMB|468aVULN|5ERES|7LWND|9RCR
85	63213 76333	   	167.42	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4MBVNT|6DMG|7ERES|8RCR|9aVULN
86	63421 61132	 * 	167.33	ACR|2VULN|1AART|2ZMB|1CDMG|1ASPD	1RCVC|2AART|36ZMB|4RCR|5ERES|7ASPD|89VULN|aCDMG
87	31277 73243	 * 	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3MBVNT|4AART|5BEXP|689VULN|7LWND|aDMG
88	31436 31122	   	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|67aVULN|8LHND|9FEWX
89	31436 31142	   	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|67aVULN|8LHND|9BEXP
90	31436 31251	   	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|679VULN|8MLV|aBELT
91	31436 31252	   	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|679VULN|8MLV|aBEXP
92	31436 31351	   	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|679VULN|8CGEN|aBELT
93	31436 31352	   	167.20	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|679VULN|8CGEN|aBEXP
94	31436 43313	   	167.20	ACR|3DMG|1AART|1VULN	17LIT|2RCR|3ERES|4AART|578DMG|67TLV|7BPWR|9VULN|aBEXP
95	31436 31253	   	167.10	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|679VULN|8MLV|aDUST
96	31436 31353	   	167.10	ACR|3VULN|1AART|1DMG	1LIT|2RCR|3ERES|4AART|5DMG|679VULN|8CGEN|aDUST
97	31436 43311	   	167.10	ACR|3DMG|1AART|1VULN	17LIT|2RCR|3ERES|4AART|578DMG|67TLV|7BPWR|9VULN|aDUST
98	63351 22513	 * 	167.05	DCR|5VULN|1AART	1RCVC|2AART|378CGEN|45789VULN|678TLV|78BPWR|aRCR
99	31254 31166	   	166.98	ACR|3VULN|1AART|1ZMB|1ASPD	1LIT|2RCR|3MBVNT|4RCVC|5ZMB|6AART|789VULN|aASPD
100	31258 21544	   	166.90	ACR|3DMG|1AART|1VULN	18LIT|2RCR|3MBVNT|4RCVC|58BEXP|678DMG|8BPWR|9VULN|aAART
101	53532 22133	 * 	166.83	ACR|3VULN|2DMG|2ASPD	1aASPD|25CGEN|35aVULN|4RCR|5aBPWR|68DUST|7ERES|9aDMG
102	53532 22523	   	166.83	ACR|3VULN|2DMG|2ASPD	1aASPD|25CGEN|35aVULN|4RCR|5aBPWR|6DUST|79ERES|8aDMG
103	51531 13134	   	166.78	DCR|2VULN|1AART|2CDMG|2ASPD|1ZMB	17ASPD|2BEXP|3AART|47CDMG|5DLOT|67VULN|7BPWR|8LHND|9RCR|aZMB
104	31264 21544	   	166.60	ACR|3DMG|1AART|1VULN	18LIT|2RCR|3MBVNT|48BEXP|5RCVC|678DMG|8BPWR|9VULN|aAART
105	31334 17437	   	166.52	ACR|3VULN|1AART|1CDMG|1DUR	1LIT|2RCR|3RPLT|4MBVNT|5DUR|6AART|78aVULN|9CDMG
106	31252 27118	   	166.50	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2RCR|3MBVNT|4RCVC|5LWND|6DMG|7AART|89VULN|aCDMG
107	31436 32411	   	166.40	ACR|2VULN|1AART|1DMG|2ZMB	1LIT|2RCR|3ERES|4AART|5DMG|69VULN|7aZMB|8BELT
108	23141 61314	 * 	166.26	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1LWND|2AART|3RPLT|49ASPD|5RCR|6CDMG|7DMG|8ZMB|aVULN
109	63323 11152	   	166.25	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|2RCVC	15RCVC|2AART|3CGEN|4RCR|6ZMB|7ASPD|89VULN|aCDMG
110	23141 61533	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2AART|3RPLT|4ASPD|5RCR|6CDMG|78DMG|9ERES|aVULN
111	31258 23343	 * 	166.10	ACR|2DMG|1AART|1VULN|1FLTHEA	17LIT|2RCR|3MBVNT|4RCVC|57BEXP|67DMG|7BPWR|8AART|9VULN|aFLTHEA
112	23141 61324	   	165.96	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	1LWND|2AART|3RPLT|4ASPD|5RCR|69CDMG|7DMG|8ZMB|aVULN
113	33166 21335	 * 	165.94	ACR|3DMG|2VULN|2ZMB	12aLIT|3BEXP|4aVULN|5RCR|679DMG|8aZMB|aBPWR
114	63321 21541	   	165.93	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RCVC|2AART|3CGEN|4RCR|5VULN|6DUR|7FEWX|89DMG|aASPD
115	63321 22541	   	165.93	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RCVC|2AART|3CGEN|4RCR|5VULN|6DUR|7BEXP|89DMG|aASPD
116	63321 26363	   	165.93	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2AART|3CGEN|4RCR|5aVULN|6DUR|7ASPD|8DMSP|9DMG
117	23216 25315	   	165.91	DCR|2AART|2VULN|1DMG|1ASPD	1LWND|28AART|3DUST|4BEXP|56VULN|7RCR|9ASPD|aDMG
118	31258 21343	   	165.90	ACR|2DMG|1AART|1VULN|1FLTHEA	1LIT|2RCR|3MBVNT|4RCVC|5BEXP|67DMG|8AART|9VULN|aFLTHEA
119	63311 51132	   	165.85	DCR|2AART|2VULN|2CDMG|2RCVC	15RCVC|26AART|38aCGEN|4aCDMG|7RCR|9aVULN|aBPWR
120	53532 23334	   	165.84	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|25CGEN|358VULN|4RCR|5BPWR|6DUST|7LIT|9DMG|aAART
121	31264 23343	   	165.80	ACR|2DMG|1AART|1VULN|1FLTHEA	17LIT|2RCR|3MBVNT|47BEXP|5RCVC|67DMG|7BPWR|8AART|9VULN|aFLTHEA
122	63251 24313	   	165.76	DCR|4VULN|1AART|1ASPD	1RCVC|2AART|3ASPD|469aVULN|5ERES|7FEWX|8RCR
123	33234 26322	   	165.70	DCR|2VULN|2DMG|3ZMB	12aLIT|36DMG|456ZMB|6BPWR|7RCR|89VULN
124	34234 26322	   	165.70	DCR|2VULN|2DMG|3ZMB	12aLIT|26BPWR|36DMG|456ZMB|7RCR|89VULN
125	63311 51234	   	165.65	DCR|2AART|2VULN|2CDMG|2RCVC	15RCVC|26AART|3CGEN|48CDMG|7RCR|9aVULN
126	53533 33261	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|38VULN|4RCR|5CDMG|6aLIT|7AART|9DMG
127	21413 13615	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2CGEN|3CDMG|4RCR|59VULN|6LHND|7AART|8DMG|aDUR
128	21413 36432	   	165.61	ACR|2VULN|1AART|1DMG|2CDMG	1LWND|2CGEN|37CDMG|4RCR|58VULN|6AART|9DMG|aLIT
129	21413 36433	   	165.61	ACR|2VULN|1AART|1DMG|2CDMG	1LWND|2aCGEN|37CDMG|4RCR|58VULN|6AART|9DMG
130	31264 21343	   	165.60	ACR|2DMG|1AART|1VULN|1FLTHEA	1LIT|2RCR|3MBVNT|4BEXP|5RCVC|67DMG|8AART|9VULN|aFLTHEA
131	33234 26321	   	165.60	DCR|2VULN|2DMG|3ZMB	12LIT|36DMG|456ZMB|6BPWR|7RCR|89VULN|aERES
132	33234 26325	   	165.60	DCR|2VULN|2DMG|3ZMB	12LIT|36DMG|456ZMB|6BPWR|7RCR|89VULN|aDUST
133	34234 26321	   	165.60	DCR|2VULN|2DMG|3ZMB	12LIT|26BPWR|36DMG|456ZMB|7RCR|89VULN|aERES
134	53533 33214	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|38VULN|4RCR|5CDMG|6LIT|7AART|9TLV|aDMG
135	53533 33262	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|38VULN|4RCR|5CDMG|6LIT|7AART|9DMG|aDUST
136	21413 36431	   	165.51	ACR|2VULN|1AART|1DMG|2CDMG	1LWND|2CGEN|37CDMG|4RCR|58VULN|6AART|9DMG|aLSRHEA
137	23246 21133	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2AART|3DUST|4FEWX|56aVULN|7DMG|8DUR|9RCR
138	31252 22674	   	165.30	ACR|2DMG|1AART|1VULN|1FLTHEA	1LIT|2RCR|3MBVNT|4RCVC|5LWND|6aDMG|7FLTHEA|8VULN|9AART
139	21463 33533	   	165.29	DCR|2VULN|1AART|1DMG|2CDMG	18LWND|2CGEN|38CDMG|4DMG|5ERES|6RCR|78VULN|8BPWR|9RPLT|aAART
140	15413 13432	   	165.21	ACR|2DMG|1AART|1VULN|2CDMG	18aCGEN|2LWND|3aCDMG|4RCR|5VULN|6LHND|7AART|9aDMG|aBPWR
141	21413 13432	   	165.21	ACR|2DMG|1AART|1VULN|2CDMG	1aLWND|28CGEN|3aCDMG|4RCR|5VULN|6LHND|7AART|9aDMG|aBPWR
142	31166 61213	   	165.19	ACR|2VULN|1AART|1DMG|1FLTHEA	1LIT|2RCR|3DUST|4AART|5BEXP|69VULN|7DMG|8LHND|aFLTHEA
143	31166 63213	   	165.19	ACR|2VULN|1AART|1DMG|1FLTHEA	1LIT|2RCR|3DUST|4AART|5BEXP|68VULN|7LWND|9DMG|aFLTHEA
144	31436 13122	   	165.19	ACR|2VULN|1AART|1DMG|1CDMG	18LIT|2RCR|3ERES|4AART|5DMG|6CDMG|7MGNSTR|9aVULN
145	31436 31125	   	165.19	ACR|2VULN|1AART|1DMG|1FLTHEA	1LIT|2RCR|3ERES|4AART|5DMG|67VULN|8LHND|9FEWX|aFLTHEA
146	33166 22153	 * 	165.18	ACR|4VULN|2DMG	127LIT|3BEXP|479aVULN|5RCR|67DMG|7BPWR|8LHND
147	31543 26113	 * 	165.18	ACR|2VULN|1AART|1DMG|2DUR	1LIT|2RCR|3LWND|4RCVC|5aDUR|6DMG|7AART|89VULN
148	63233 62134	   	165.12	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4DUST|6DMG|78VULN|9RCR|aBELT
149	63233 62136	   	165.12	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4DUST|6DMG|78VULN|9RCR|aCGEN
150	63233 62235	   	165.12	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4DUST|6DMG|7aVULN|8LWND|9RCR
151	63233 66133	   	165.12	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4DUST|6DMG|7CGEN|8aVULN|9RCR
152	63633 62131	   	165.12	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3FEWX|4ASPD|6DMG|78VULN|9RCR|aTLV
153	63633 62132	   	165.12	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3FEWX|4ASPD|6DMG|78VULN|9RCR|aERES
154	31436 11632	   	165.09	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2RCR|3ERES|4AART|5DMG|6CDMG|7DUST|89VULN|aBEXP
155	31436 11633	   	165.09	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2RCR|3ERES|4AART|5DMG|6CDMG|7DUST|89VULN|aBELT
156	31274 28317	   	165.08	ACR|3VULN|1AART|1ZMB|1DUR	1LIT|2RCR|3MBVNT|4AART|5ZMB|6FEWX|79aVULN|8DUR
157	31274 41166	   	165.08	ACR|3VULN|1AART|1ZMB|1ASPD	16LIT|2RCR|3MBVNT|4AART|5ZMB|789VULN|aASPD
158	63233 62131	   	165.02	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4DUST|6DMG|78VULN|9RCR|aTLV
159	63233 62132	   	165.02	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|25AART|3ASPD|4DUST|6DMG|78VULN|9RCR|aERES
160	21413 13534	   	165.01	ACR|2DMG|1AART|1VULN|2CDMG	1LWND|2CGEN|38CDMG|4RCR|5VULN|6LHND|7AART|9aDMG
161	31123 46152	   	164.92	ACR|3VULN|2DMG|1DUR	1LIT|2RCR|3DUST|4DUR|5LHND|689VULN|7aDMG
162	31123 46162	   	164.92	ACR|3DMG|2VULN|1DUR	1LIT|2RCR|3DUST|4DUR|5LHND|68VULN|79aDMG
163	45413 13332	   	164.91	ACR|2DMG|1AART|1VULN|2CDMG	18aERES|2LWND|3aCDMG|4RCR|5VULN|6LHND|7AART|9aDMG|aBPWR
164	63432 36232	   	164.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2AART|3ZMB|4DUST|5DUR|6DMG|78VULN|9RCR|aRMIN
165	63432 36233	   	164.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2AART|3ZMB|4DUST|5DUR|6DMG|78VULN|9RCR|aCGEN
166	63422 31611	   	164.64	ACR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1RCVC|2AART|3ZMB|4RCR|58DUR|6DMG|7FEWX|9VULN|aASPD
167	63422 33611	   	164.64	ACR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1RCVC|2AART|3ZMB|4RCR|58DUR|6DMG|7BEXP|9VULN|aASPD
