0	Index      	 *	Score 	Summary	Detail	
1	13623 31214	 * 	203.99	ACR|4VULN|2DMG|1AART|1ZMB	159aVULN|2LHND|3ZMB|4RCR|6AART|78DMG
122	12133 45316	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8DUR|aBASHEA
123	12133 45212	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8MBVNT|aDUR
124	16113 41513	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	149VULN|2TLV|3RCR|5AART|6DMG|7ZMB|8RPLT|aDUR
125	16113 45333	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	147VULN|2TLV|3RCR|5AART|6DMG|8DUR|9CGEN|aZMB
126	11223 41156	   	181.99	ACR|3VULN|2DMG|2ZMB|1CDMG	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9RPLT|aCDMG
127	11626 14212	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|289FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|aDMSP
128	11626 14213	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|289FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|aLWND
129	11626 14223	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|9MLV|aLWND
130	11626 14231	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|9LIT|aDMSP
131	11626 14232	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|9LIT|aRPLT
132	16115 42113	   	181.92	ACR|4VULN|1AART|1CDMG|2DUR	1458VULN|2TLV|3RCR|68DUR|78FEWX|8BPWR|9AART|aCDMG
133	11543 21351	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	189VULN|2FEWX|3DUR|4RCR|5LHND|6AART|7DMG|aCDMG
134	11546 21321	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	189VULN|2FEWX|3DUR|4RCR|5LWND|6AART|7DMG|aCDMG
135	31542 21351	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2FEWX|3DUR|4RCR|589VULN|6AART|7DMG|aCDMG
136	11626 14211	   	181.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|289FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|aDUST
137	11223 41165	 * 	181.87	ACR|3VULN|2DMG|3ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78aZMB|8BPWR|9MLV
138	13223 41125	   	181.87	ACR|3VULN|2DMG|3ZMB	158VULN|2LHND|3RMIN|4RCR|68DMG|78aZMB|8BPWR|9CGEN
139	55223 21722	   	181.86	ACR|3VULN|1AART|1DMG|2CDMG	13MLV|23aVULN|3BPWR|4RCR|5AART|69CDMG|7MBVNT|8DMG
140	16132 56211	   	181.79	ACR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	15VULN|2TLV|3RCR|4ASPD|6AART|78CDMG|9DMG|aDUR
141	16223 46232	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	13aVULN|23TLV|3BPWR|4RCR|5AART|6DMG|78CDMG|9BEXP
142	16115 43113	   	181.72	ACR|4VULN|1AART|1CDMG|2DUR	1458VULN|28TLV|3RCR|68DUR|7MBVNT|8BPWR|9AART|aCDMG
143	22343 33635	   	181.69	ACR|3VULN|2DMG|1AART	179FEWX|2RPLT|3RCR|47aVULN|579LIT|6AART|79BPWR|89DMG
144	53113 31631	   	181.49	ACR|3VULN|2DMG|1AART	19MLV|2LHND|3RCR|459VULN|6AART|79DMG|8RPLT|9BPWR|aFEWX
145	53113 31632	   	181.49	ACR|3VULN|2DMG|1AART	19MLV|2LHND|3RCR|459VULN|6AART|79DMG|8RPLT|9BPWR|aBEXP
146	53113 31633	   	181.49	ACR|3VULN|2DMG|1AART	19MLV|2aLHND|3RCR|459VULN|6AART|79DMG|8RPLT|9BPWR
147	53113 31634	   	181.49	ACR|3VULN|2DMG|1AART	19MLV|2LHND|3RCR|459VULN|6AART|79DMG|8RPLT|9BPWR|aLIT
148	53113 31636	   	181.49	ACR|3VULN|2DMG|1AART	19MLV|2LHND|3RCR|459VULN|6AART|79DMG|8RPLT|9BPWR|aRMIN
149	11622 34236	   	181.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5BEXP|6AART|78DMG|8BPWR|9LIT|aDUR
150	11622 34251	   	181.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5BEXP|6AART|78DMG|8BPWR|9DUR|aBELT
151	11622 34252	   	181.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5BEXP|6AART|78DMG|8BPWR|9DUR|aDUST
152	12156 31111	 * 	181.26	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9AART|aCGEN
153	12156 31112	   	181.26	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9AART|aMLV
154	12156 31114	   	181.26	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9AART|aLHND
155	12156 31115	   	181.26	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9AART|aMGNSTR
156	12156 31116	   	181.26	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9AART|aBEXP
157	13323 46222	 * 	181.24	ACR|4VULN|2DMG|1CDMG	1578VULN|2LHND|37CGEN|4RCR|67DMG|7BPWR|9BELT|aCDMG
158	12156 31113	   	181.16	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9AART|aMBVNT
159	11542 41111	   	180.83	ACR|4VULN|1AART|2ZMB|2DUR	1568VULN|2FEWX|38DUR|4RCR|78ZMB|8BPWR|9AART|aCGEN
160	11542 41112	   	180.83	ACR|4VULN|1AART|2ZMB|2DUR	1568VULN|2FEWX|38DUR|4RCR|78ZMB|8BPWR|9AART|aMLV
161	12162 74634	 * 	180.69	ACR|3DMG|2VULN|1AART	1aVULN|2RCVC|3RCR|4BELT|5MBVNT|68aDMG|7AART|9RMIN|aBPWR
162	12156 31125	   	180.66	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	18VULN|2RCVC|3RCR|4RPLT|5DMG|68CDMG|78ZMB|8BPWR|9FEWX|aAART
163	13323 46213	   	180.41	ACR|5VULN|2DMG	15789VULN|2LHND|37CGEN|4RCR|67DMG|7BPWR|aRPLT
164	13323 46214	   	180.41	ACR|5VULN|2DMG	15789VULN|2LHND|37aCGEN|4RCR|67DMG|7BPWR
165	13323 46215	   	180.41	ACR|5VULN|2DMG	15789VULN|2LHND|37CGEN|4RCR|67DMG|7BPWR|aLWND
166	13323 46311	   	180.41	ACR|5VULN|2DMG	1579aVULN|28LHND|37CGEN|4RCR|67DMG|7BPWR
167	13323 46511	   	180.41	ACR|5VULN|2DMG	1579aVULN|2LHND|378CGEN|4RCR|67DMG|7BPWR
168	13325 46211	   	180.41	ACR|5VULN|2DMG	1789aVULN|2LHND|37CGEN|4RCR|5RCVC|67DMG|7BPWR
