0	Index      	 *	Score 	Summary	Detail	
1	33656 32321	 * 	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|69aVULN|7FEWX|8DMG
67	33113 32264	   	162.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DUST|3ASPD|4ZMB|59VULN|6LIT|7AART|8DMG|aRCR
68	14251 51322	 * 	162.14	DCR|5VULN|2ASPD|1CDMG	16ASPD|2CDMG|3LHND|45679VULN|6BPWR|8ERES|aRCR
69	21135 53153	   	162.13	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	12aERES|3FLTHEA|4aCDMG|5ZMB|6RCR|7LIT|89aVULN|aBPWR
70	22235 53153	   	162.13	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	13aERES|2FLTHEA|4aCDMG|5ZMB|6RCR|7LIT|89aVULN|aBPWR
71	36121 13636	 * 	161.97	DCR|3VULN|1DMG|2ASPD|1ZMB|1DUR	1DUR|278VULN|36ASPD|4BEXP|5DMG|9RCR|aZMB
72	36131 13636	   	161.97	DCR|3VULN|1DMG|2ASPD|1ZMB|1DUR	1DUR|278VULN|36ASPD|4LWND|5DMG|9RCR|aZMB
73	35352 41313	 * 	161.83	ACR|4VULN|1DMG|2DUR	19DUR|2BASICY|39DUST|4RCR|5TLV|6DMG|789aVULN|9BPWR
74	36131 35134	   	161.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2VULN|3ASPD|4LWND|57DMG|6LIT|8AART|9ZMB|aRCR
75	36131 36134	   	161.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|27VULN|3ASPD|4LWND|5DMG|6LIT|8AART|9ZMB|aRCR
76	21111 35663	 * 	161.28	DCR|3DMG|1AART|2FLTHEA	127ERES|3aFLTHEA|4aBEXP|58aDMG|6RCR|9AART|aBPWR
77	22211 35663	   	161.28	DCR|3DMG|1AART|2FLTHEA	137ERES|2aFLTHEA|4aBEXP|58aDMG|6RCR|9AART|aBPWR
78	36121 35334	   	161.11	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|28VULN|3ASPD|4BEXP|5DMG|6LIT|7ZMB|9AART|aRCR
79	36311 62213	   	160.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3BELT|4CDMG|59DMG|6FEWX|7DUST|8RCR|aAART
80	33621 35236	   	160.59	DCR|2VULN|2DMG|1CDMG|2DUR	17DUR|27DUST|3CDMG|4BELT|5aDMG|67VULN|7BPWR|8RCR|9ERES
81	33621 35241	   	160.59	DCR|2VULN|2DMG|1CDMG|2DUR	17DUR|27DUST|3CDMG|4BELT|59DMG|67VULN|7BPWR|8RCR|aTLV
82	33621 35242	   	160.59	DCR|2VULN|2DMG|1CDMG|2DUR	17DUR|27DUST|3CDMG|4BELT|59DMG|67VULN|7BPWR|8RCR|aNUKE
83	33656 32221	   	160.52	ACR|3VULN|1AART|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|69aVULN|7FEWX|8CGEN
84	12232 15613	   	160.40	DCR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2aLHND|3BEXP|4LWND|5aVULN|6RCR|7BELT|8CDMG|9aDMG|aBPWR
85	12422 15613	   	160.40	DCR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2aLHND|3LWND|4BEXP|5aVULN|6RCR|7BELT|8CDMG|9aDMG|aBPWR
86	13532 15613	   	160.40	DCR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2aBEXP|3LHND|4LWND|5aVULN|6RCR|7BELT|8CDMG|9aDMG|aBPWR
87	33654 33322	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5DMSP|6VULN|7RCR|8DMG|9ZMB|aFEWX
88	33654 33323	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5DMSP|6VULN|7RCR|8DMG|9ZMB|aLHND
89	14222 14121	   	160.33	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5DUST|6RCR|7CGEN|8AART|9ZMB|aVULN
90	14422 14121	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2CDMG|3FEWX|4DMG|5DUST|6RCR|7CGEN|8AART|9ZMB|aVULN
91	33654 23321	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5DMSP|6FEWX|7RCR|8DMG|9ZMB|aVULN
92	14221 41521	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|6aVULN|7AART|8RPLT|9RCR
93	14221 41522	   	160.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4aDMG|5MBVNT|6VULN|7AART|8RPLT|9RCR
94	14421 43544	 * 	160.30	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2CDMG|3FEWX|4DMG|5MBVNT|69aVULN|7DUR|8RCR
95	33652 43321	   	160.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5ERES|6RMIN|7RCR|8DMG|9ZMB|aVULN
96	33654 33321	   	160.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5DMSP|6VULN|7RCR|8DMG|9ZMB|aTLV
97	12532 13332	   	160.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2LHND|3LEGI|4LWND|57VULN|6RCR|8AART|9DUR|aDMG
98	14621 33112	 * 	160.12	DCR|3ZMB|1VULN|2FLTHEA|2ASPD|1CDMG	19ASPD|2CDMG|39aZMB|4CGEN|5RPLT|6RCR|7VULN|89FLTHEA|9BPWR
99	14631 33112	   	160.12	DCR|3ZMB|1VULN|2FLTHEA|2ASPD|1CDMG	19ASPD|2CDMG|39aZMB|4MLV|5RPLT|6RCR|7VULN|89FLTHEA|9BPWR
100	12542 16232	   	160.10	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2LHND|3LEGI|4DUST|57VULN|6RCR|8AART|9DUR|aDMG
101	22311 33663	   	160.10	DCR|2VULN|2DMG|1FLTHEA|1DUR	1ERES|2FLTHEA|3DMSP|4BEXP|58DMG|6RCR|7DUR|9aVULN
102	21111 33663	   	160.00	DCR|2VULN|2DMG|1FLTHEA|1DUR	12ERES|3FLTHEA|4BEXP|58DMG|6RCR|7DUR|9aVULN
103	22211 33663	   	160.00	DCR|2VULN|2DMG|1FLTHEA|1DUR	13ERES|2FLTHEA|4BEXP|58DMG|6RCR|7DUR|9aVULN
104	21263 41114	   	159.90	ACR|3VULN|1AART|1DMG	127ERES|39LWND|4RCR|579TLV|679VULN|79BPWR|8AART|aDMG
105	22335 34152	   	159.73	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	1aERES|2FLTHEA|3DMSP|4aCDMG|5ZMB|6AIRHEA|7RCR|89aVULN|aBPWR
106	21135 34152	   	159.63	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	12aERES|3FLTHEA|4aCDMG|5ZMB|6AIRHEA|7RCR|89aVULN|aBPWR
107	22235 34152	   	159.63	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	13aERES|2FLTHEA|4aCDMG|5ZMB|6AIRHEA|7RCR|89aVULN|aBPWR
108	42116 33325	 * 	159.58	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1MSE	1MSE|2CDMG|35AART|4BEXP|6aVULN|7RCR|8DMG|9ZMB
109	42124 33325	 * 	159.58	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1MSE	1MSE|2CDMG|35AART|4LHND|6aVULN|7RCR|8DMG|9ZMB
110	43212 26351	 * 	159.54	ACR|3VULN|2DMG|1AART|3MSE	149MSE|2RCR|3RPLT|49BPWR|5LHND|69aVULN|7AART|89DMG
111	43224 12152	 * 	159.54	ACR|3VULN|2DMG|1AART|2MSE	19MSE|2RCR|3RPLT|4DUST|589VULN|69DMG|7AART|9BPWR|aLHND
112	43224 12153	 * 	159.44	ACR|3VULN|2DMG|1AART|2MSE	19MSE|2RCR|3RPLT|4aDUST|589VULN|69DMG|7AART|9BPWR
113	33651 33611	   	159.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5ZMB|6DMG|7MBVNT|8RCR|9RCVC|aVULN
114	21111 34264	 * 	159.37	DCR|2VULN|2DMG|2FLTHEA	129ERES|3aFLTHEA|4BEXP|5aDMG|6RCR|7DLOT|8aVULN|aBPWR
115	22211 34264	   	159.37	DCR|2VULN|2DMG|2FLTHEA	139ERES|2aFLTHEA|4BEXP|5aDMG|6RCR|7DLOT|8aVULN|aBPWR
116	31223 46261	 * 	159.34	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1ZMB	127DUR|3LWND|4DMG|5ZMB|6VULN|8CDMG|9AART|aRCR
117	33651 33644	 * 	159.21	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5aZMB|69DMG|7MBVNT|8RCR
118	36226 35113	   	159.00	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1DUR|28VULN|3RPLT|4ASPD|5BEXP|6AART|7RCR|9ERES|aDMG
119	36225 35113	   	158.90	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1DUR|28VULN|3RPLT|4ASPD|5DUST|6AART|7RCR|9ERES|aDMG
120	35351 22212	   	158.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2BASICY|3DUST|4RCR|5DMG|6BEXP|7AART|8VULN|9ZMB|aCDMG
121	35351 62212	   	158.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2BASICY|3DUST|4RCR|5DMG|6FEWX|7AART|8VULN|9ZMB|aCDMG
122	36333 53532	 * 	158.76	DCR|3VULN|1DMG|1CDMG|2DUR	1aDUR|259VULN|3BELT|4LIT|6CDMG|7DMG|8RCR
123	33621 35235	   	158.66	DCR|3VULN|1DMG|1CDMG|2DUR	17DUR|27DUST|3CDMG|4BELT|5DMG|67aVULN|7BPWR|8RCR|9ERES
124	34433 35133	   	158.66	DCR|3VULN|1AART|1ZMB|1DUR	1DUR|2LWND|3DUST|4ZMB|5RPLT|6AART|7RCR|89aVULN
125	31423 33523	 * 	158.56	DCR|2VULN|2DMG|3DUR	127DUR|3aBEXP|4CANHEL|5RCVC|6RCR|8aDMG|9aVULN|aBPWR
126	36122 14262	 * 	158.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	17DUR|25VULN|3ASPD|4BEXP|6LWND|8AART|9RCR|aDMG
127	36131 24262	 * 	158.40	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	17DUR|2VULN|3ASPD|4LWND|5aDMG|6RMIN|8AART|9RCR
128	33656 32331	   	158.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|6VULN|7FEWX|8DMG|9ZMB|aCGEN
129	36132 24262	   	158.30	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	17DUR|25VULN|3ASPD|4LWND|6DUST|8AART|9RCR|aDMG
130	36132 43262	   	158.30	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	16DUR|25VULN|3ASPD|4LWND|7DUST|8AART|9RCR|aDMG
131	35353 21141	 * 	158.28	ACR|2VULN|1AART|1DMG|2DUR	19DUR|2BASICY|39DUST|4RCR|5AART|6NUKE|7RPLT|89VULN|9BPWR|aDMG
132	33656 31322	   	158.25	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|27DUST|3CDMG|4AART|5RCR|6VULN|8DMG|9ZMB|aFEWX
133	33656 31323	   	158.25	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|27DUST|3CDMG|4AART|5RCR|6VULN|8DMG|9ZMB|aLHND
134	33656 32333	   	158.25	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|6VULN|7FEWX|8DMG|9ZMB|aLSRREG
135	33656 31321	   	158.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|27DUST|3CDMG|4AART|5RCR|6VULN|8DMG|9ZMB|aTLV
136	33651 33621	   	157.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5ZMB|6DMG|7MBVNT|8RCR|9RPLT|aVULN
137	33651 33631	   	157.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|29DUST|3CDMG|4AART|5ZMB|6DMG|7MBVNT|8RCR|aVULN
138	14621 31312	 * 	157.65	DCR|2VULN|3ZMB|2ASPD|1CDMG	19ASPD|2CDMG|39aZMB|4CGEN|5RPLT|6RCR|7CANHEL|89VULN|9BPWR
139	14631 31312	   	157.65	DCR|2VULN|3ZMB|2ASPD|1CDMG	19ASPD|2CDMG|39aZMB|4MLV|5RPLT|6RCR|7CANHEL|89VULN|9BPWR
140	22335 54331	 * 	157.58	DCR|2AART|1VULN|1FLTHEA|1CDMG|1ZMB|1SELL	1ERES|2FLTHEA|3DMSP|4CDMG|5ZMB|6RCR|7VULN|8SELL|9aAART
141	21135 54331	 * 	157.48	DCR|2AART|1VULN|1FLTHEA|1CDMG|1ZMB|1SELL	12ERES|3FLTHEA|4CDMG|5ZMB|6RCR|7VULN|8SELL|9aAART
142	22235 54331	 * 	157.48	DCR|2AART|1VULN|1FLTHEA|1CDMG|1ZMB|1SELL	13ERES|2FLTHEA|4CDMG|5ZMB|6RCR|7VULN|8SELL|9aAART
143	12112 11244	 * 	157.48	DCR|2VULN|1AART|1DMG|2ASPD	14ASPD|2LHND|3BASICY|5MLV|6DMG|7RCR|8AART|9aVULN
144	36311 31332	   	157.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2VULN|3BELT|4CDMG|5DMG|6ASPD|7LHND|8ZMB|9AART|aRCR
145	43226 41121	 * 	157.15	ACR|4VULN|1AART|1DMG|1MSE	1MSE|2RCR|3RPLT|4DUST|5AART|689aVULN|7DMG
146	22435 53122	   	156.72	DCR|1AART|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1ERES|2FLTHEA|3RCVC|4CDMG|5ZMB|6RCR|7LIT|8VULN|9AART|aASPD
147	36226 35132	   	156.65	DCR|2VULN|1AART|2ASPD|1ZMB|1DUR	1DUR|28VULN|3RPLT|4aASPD|5BEXP|6AART|7RCR|9ZMB
148	63561 13323	 * 	156.62	DCR|3VULN|2DMG|1SELL	1RCVC|2SELL|38aVULN|4BELT|59DMG|6LWND|7RCR
149	35111 12436	 * 	156.61	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1DUR|2BASICY|34ASPD|56DMG|7LIT|8VULN|9AART|aRCR
150	36225 35132	   	156.55	DCR|2VULN|1AART|2ASPD|1ZMB|1DUR	1DUR|28VULN|3RPLT|4aASPD|5DUST|6AART|7RCR|9ZMB
151	22411 31663	   	156.46	DCR|2VULN|2DMG|1FLTHEA	1ERES|2FLTHEA|3RCVC|4BEXP|58DMG|6RCR|7DUST|9aVULN
