0	Index      	 *	Score 	Summary	Detail	
1	51114 42233	 * 	197.52	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45aVULN|6RCR|7FEWX|89DMG
16	56161 22132	   	184.85	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	18AART|26VULN|36MLV|4RCR|5RPLT|6BPWR|7CDMG|9DMG|aZMB
17	51111 16313	 * 	184.46	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	17AART|2RPLT|3CDMG|46aVULN|5ZMB|8RCR|9DUR
18	21231 34252	   	184.24	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	17DMG|247DUST|3DUR|5ASPD|67VULN|7BPWR|8AART|9RCR|aCDMG
19	63111 21112	 * 	184.18	DCR|3VULN|2DMG|3ASPD|3DUR	17aDUR|248VULN|34aASPD|4aBPWR|5aDMG|6MBVNT|9RCR
20	23442 26121	 * 	183.75	DCR|3VULN|2DMG|3ZMB	19DMG|2SNIHEL|349ZMB|5LWND|6RCR|7FEWX|89aVULN|9BPWR
21	21614 12132	   	183.15	DCR|3VULN|3DMG|2DUR	15aDMG|23DUST|4RMIN|6RCR|78aVULN|9aDUR|aBPWR
22	11151 34252	 * 	182.78	DCR|2VULN|1AART|1DMG|3DUR|2ASPD|1CDMG	17BEXP|247DUR|34ASPD|47BPWR|5DMG|67VULN|8AART|9RCR|aCDMG
23	21251 34251	 * 	182.60	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	17DMG|247DUST|34DUR|47BPWR|5aASPD|67VULN|8AART|9RCR
24	25313 16311	   	182.33	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	19DMG|2FEWX|3BEXP|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aZMB
25	25313 16331	 * 	182.33	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1DMG|2FEWX|3BEXP|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aZMB
26	16513 16311	   	182.23	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1BEXP|29DMG|3DUST|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aZMB
27	16513 16331	   	182.23	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1BEXP|2DMG|3DUST|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aZMB
28	21313 16311	   	182.23	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	19DMG|2DUST|3BEXP|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aZMB
29	21313 16331	   	182.23	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1DMG|2DUST|3BEXP|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aZMB
30	25513 16311	   	182.23	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	19DMG|2FEWX|3DUST|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aZMB
31	25513 16331	   	182.23	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1DMG|2FEWX|3DUST|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aZMB
32	13125 16313	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1BEXP|2aVULN|3ASPD|4CANSTR|5aDUST|6CDMG|7RCR|8AART|9aDMG|aBPWR
33	16211 21523	 * 	182.06	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR|1SELL	1aBEXP|2aDMG|3DUR|4FLTHEA|5SELL|6NUKE|7RCR|8AART|9aVULN|aBPWR
34	25211 21523	 * 	182.06	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR|1SELL	1aDMG|2aFEWX|3DUR|4FLTHEA|5SELL|6NUKE|7RCR|8AART|9aVULN|aBPWR
35	21231 34253	   	182.04	DCR|2VULN|2DMG|2AART|1DUR|1ASPD	17DMG|247DUST|3DUR|5ASPD|67VULN|7BPWR|8aAART|9RCR
36	51111 16331	   	181.93	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RPLT|3CDMG|46VULN|5ZMB|8RCR|9DMG|aLHND
37	51111 16332	   	181.93	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RPLT|3CDMG|46VULN|5ZMB|8RCR|9DMG|aRMIN
38	51111 16333	   	181.93	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RPLT|3CDMG|46VULN|5ZMB|8RCR|9DMG|aFEWX
39	51114 42231	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45VULN|6RCR|7FEWX|89DMG|aBEXP
40	51114 42232	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45VULN|6RCR|7FEWX|89DMG|aLHND
41	51114 43231	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45VULN|6RCR|7aBEXP|89DMG
42	51114 43232	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45VULN|6RCR|7BEXP|89DMG|aLWND
43	51114 43233	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45VULN|6RCR|7BEXP|89DMG|aLHND
44	51111 16336	   	181.83	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RPLT|3CDMG|46VULN|5ZMB|8RCR|9DMG|aDLOT
45	23442 26123	 * 	181.75	DCR|2VULN|2DMG|3ZMB|1CDMG	19DMG|2SNIHEL|349ZMB|5LWND|6RCR|7FEWX|89VULN|9BPWR|aCDMG
46	21231 34255	   	181.59	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	17DMG|247DUST|3DUR|5ASPD|67VULN|7BPWR|8AART|9RCR|aZMB
47	23532 21523	 * 	181.58	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2SNIHEL|3aCDMG|4FEWX|5LHND|6NUKE|7RCR|8AART|9aVULN|aBPWR
48	23534 21523	   	181.58	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2SNIHEL|3aCDMG|4FEWX|5BEXP|6NUKE|7RCR|8AART|9aVULN|aBPWR
49	23552 21523	   	181.58	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2SNIHEL|3aCDMG|4BEXP|5LHND|6NUKE|7RCR|8AART|9aVULN|aBPWR
50	26214 12162	   	181.46	DCR|3VULN|3DMG|1DUR	15aDMG|2DUR|3RCVC|4RMIN|6RCR|78aVULN|9aBEXP|aBPWR
51	26214 12224	   	181.26	DCR|3VULN|3DMG|1DUR	15aDMG|2DUR|3RCVC|4RMIN|6RCR|79aVULN|8aERES|aBPWR
52	51114 42113	   	180.91	DCR|4VULN|1AART|1CDMG|1ASPD	1AART|2RPLT|3CDMG|459aVULN|6RCR|7FEWX|8ASPD
53	11151 34253	 * 	180.57	DCR|2VULN|2AART|1DMG|3DUR|2ASPD	17BEXP|247DUR|34ASPD|47BPWR|5DMG|67VULN|8aAART|9RCR
54	63633 12112	 * 	180.46	DCR|3VULN|2DMG|2CDMG|2DUR	1aDUR|278VULN|3aCDMG|4DMSP|5aDMG|6RPLT|9RCR|aBPWR
55	63111 32123	   	180.35	DCR|4VULN|2DMG|2ASPD|1DUR	1DUR|2467VULN|34ASPD|4BPWR|59DMG|8LIT|aRCR
56	51114 42211	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CDMG|459VULN|6RCR|7FEWX|8DMG|aBEXP
57	51114 42212	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CDMG|459VULN|6RCR|7FEWX|8DMG|aLHND
58	51114 43211	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CDMG|459VULN|6RCR|7aBEXP|8DMG
59	51114 43212	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CDMG|459VULN|6RCR|7BEXP|8DMG|aLWND
60	51114 43213	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CDMG|459VULN|6RCR|7BEXP|8DMG|aLHND
61	62142 13142	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2LSRHEA|3AART|4CGEN|5ZMB|68DMG|7RCR|9CDMG|aVULN
62	25313 16312	   	178.26	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	19DMG|2FEWX|3BEXP|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aDUR
63	25313 16316	   	178.26	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	19DMG|2FEWX|3BEXP|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aASPD
64	25313 16332	   	178.26	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2FEWX|3BEXP|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aDUR
65	25313 16336	   	178.26	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1DMG|2FEWX|3BEXP|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aASPD
66	16513 16312	   	178.16	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1BEXP|29DMG|3DUST|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aDUR
67	16513 16332	   	178.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1BEXP|2DMG|3DUST|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aDUR
68	21313 16312	   	178.16	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	19DMG|2DUST|3BEXP|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aDUR
69	21313 16316	   	178.16	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	19DMG|2DUST|3BEXP|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aASPD
70	21313 16332	   	178.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2DUST|3BEXP|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aDUR
71	21313 16336	   	178.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1DMG|2DUST|3BEXP|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aASPD
72	25513 16312	   	178.16	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	19DMG|2FEWX|3DUST|4FLTHEA|5VULN|6CDMG|7RCR|8AART|aDUR
73	25513 16332	   	178.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2FEWX|3DUST|4FLTHEA|59VULN|6CDMG|7RCR|8AART|aDUR
74	51114 43133	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2RPLT|3CDMG|45VULN|6RCR|7BEXP|8ASPD|9DMG|aDUR
75	63111 25447	 * 	177.96	DCR|3DMG|2VULN|3ASPD|2DUR	17DUR|24VULN|347ASPD|47BPWR|579DMG|6MBVNT|8RPLT|aRCR
76	51245 32231	 * 	177.95	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2RPLT|3CGEN|4RCR|5VULN|689DMG|7CDMG|aRMIN
77	51245 32232	   	177.95	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2RPLT|3CGEN|4RCR|5VULN|689DMG|7CDMG|aLWND
78	51245 32233	   	177.95	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2RPLT|3CGEN|4RCR|5VULN|689DMG|7CDMG|aLHND
79	26123 52323	   	177.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2DUR|3RPLT|5LIT|6RCR|79VULN|8AART|aASPD
80	66123 52323	   	177.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|3RPLT|5LIT|6RCR|79VULN|8AART|aASPD
81	23214 22121	   	177.86	DCR|3VULN|3DMG|1DUR	159DMG|2SNIHEL|39LWND|4TLV|6RCR|7DUR|89aVULN|9BPWR
82	51111 16353	   	177.42	DCR|3VULN|2AART|1CDMG|1ZMB	17AART|2RPLT|3CDMG|46aVULN|5ZMB|8RCR|9DUST
83	21231 34251	   	177.20	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	17DMG|247DUST|3DUR|5aASPD|67VULN|7BPWR|8AART|9RCR
84	51111 14132	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	18AART|2RPLT|3CDMG|46VULN|5ZMB|7BEXP|9DMG|aRCR
85	51111 16632	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RPLT|3CDMG|46VULN|5ZMB|8FEWX|9DMG|aRCR
86	22244 12115	   	177.12	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2LWND|3RCVC|4ERES|6RCR|78VULN|9ZMB|aAART
87	51111 15132	   	177.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	18AART|2RPLT|3CDMG|46VULN|5ZMB|7DUST|9DMG|aRCR
88	13216 14114	 * 	177.00	ACR|4VULN|1AART|1DMG	1BEXP|289aVULN|3AART|4LIT|5RCR|6DMG|7RCVC
89	26123 51336	   	176.56	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	14aDMG|2DUR|3RPLT|5LIT|6RCR|7AART|8ASPD|9VULN
90	26123 52321	   	176.25	DCR|2VULN|2DMG|1AART|2DUR	14DMG|2aDUR|3RPLT|5LIT|6RCR|79VULN|8AART
91	66123 52321	   	176.25	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|24DMG|3RPLT|5LIT|6RCR|79VULN|8AART
92	26144 32232	 * 	176.21	DCR|3DMG|1AART|2CDMG|2DUR	189DMG|2aDUR|3RPLT|4aCGEN|5AART|6RCR|7aCDMG|aBPWR
93	26334 32232	   	176.21	DCR|3DMG|1AART|2CDMG|2DUR	189DMG|2aDUR|3aCGEN|4RPLT|5AART|6RCR|7aCDMG|aBPWR
94	66334 32232	   	176.21	DCR|3DMG|1AART|2CDMG|2DUR	1aDUR|289DMG|3aCGEN|4RPLT|5AART|6RCR|7aCDMG|aBPWR
95	51245 32113	   	176.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2RPLT|3CGEN|4RCR|59VULN|6DMG|7CDMG|8ASPD|aDUR
96	51245 32133	   	176.17	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1AART|2RPLT|3CGEN|4RCR|5VULN|69DMG|7CDMG|8ASPD|aDUR
97	51245 21223	 * 	176.05	ACR|3VULN|2AART|1DMG	19AART|2RPLT|368CGEN|4RCR|568VULN|68BPWR|78BEXP|aDMG
98	16251 31252	 * 	175.96	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1ASPD	1BEXP|24DMG|347DUR|4BPWR|5ASPD|6VULN|8AART|9RCR|aCDMG
99	24443 13133	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	15DMG|2CGEN|348VULN|6RCR|7LWND|9DUR|aCDMG
100	51245 21212	   	175.60	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2RPLT|368CGEN|4RCR|568VULN|68BPWR|78BEXP|9DMG|aZMB
101	21213 46511	 * 	175.50	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	19DMG|2DUST|3DUR|4FLTHEA|58VULN|6RPLT|7AART|aRCR
102	11151 34251	 * 	175.44	DCR|2VULN|1AART|3ASPD|1DMG|3DUR	17BEXP|247DUR|34aASPD|47BPWR|5DMG|67VULN|8AART|9RCR
103	56314 13112	   	175.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|28aVULN|3CDMG|4DUR|56BELT|7RCR|9ZMB
104	51114 43332	   	175.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RPLT|3CDMG|45VULN|6RCR|7BEXP|8RMIN|9DMG|aZMB
105	25311 21523	   	175.12	DCR|2VULN|2DMG|1AART|1FLTHEA|1SELL	1aDMG|2aFEWX|3BEXP|4FLTHEA|5SELL|6NUKE|7RCR|8AART|9aVULN|aBPWR
106	51111 66313	   	175.12	DCR|2AART|2VULN|2CDMG|1ZMB|1DUR	17AART|2RPLT|36CDMG|4aVULN|5ZMB|8RCR|9DUR
107	43251 34437	   	175.06	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|2aLWND|3RCVC|4MBVNT|5ASPD|6RCR|7AART|8aVULN|9aDMG|aBPWR
108	16511 21523	   	175.02	DCR|2VULN|2DMG|1AART|1FLTHEA|1SELL	1aBEXP|2aDMG|3DUST|4FLTHEA|5SELL|6NUKE|7RCR|8AART|9aVULN|aBPWR
109	25511 21523	   	175.02	DCR|2VULN|2DMG|1AART|1FLTHEA|1SELL	1aDMG|2aFEWX|3DUST|4FLTHEA|5SELL|6NUKE|7RCR|8AART|9aVULN|aBPWR
110	21311 21523	   	174.92	DCR|2VULN|2DMG|1AART|1FLTHEA|1SELL	1aDMG|2aDUST|3BEXP|4FLTHEA|5SELL|6NUKE|7RCR|8AART|9aVULN|aBPWR
111	26214 12114	   	174.61	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	15DMG|2DUR|3RCVC|4RMIN|6RCR|78VULN|9ZMB|aFLTHEA
112	25213 25324	 * 	174.54	DCR|2VULN|2DMG|1CDMG|1FLTHEA|2DUR	19DMG|29FEWX|37DUR|4FLTHEA|59VULN|6RMIN|8RCR|9BPWR|aCDMG
113	13633 14112	   	174.47	DCR|3DMG|2VULN|3CDMG	17aBEXP|28VULN|37aCDMG|4DMSP|57aDMG|6RPLT|7aBPWR|9RCR
114	22214 12162	   	174.32	DCR|3VULN|3DMG	15aDMG|2LWND|3RCVC|4RMIN|6RCR|78aVULN|9aDUST|aBPWR
115	22214 12224	   	174.32	DCR|3VULN|3DMG	15aDMG|2LWND|3RCVC|4RMIN|6RCR|79aVULN|8aERES|aBPWR
116	63615 21322	 * 	174.27	DCR|3VULN|1AART|2CDMG|2ZMB|1DUR	1DUR|269VULN|37CDMG|4LIT|56ZMB|6BPWR|8AART|aRCR
117	51114 42313	   	173.97	DCR|4VULN|1AART|1CDMG	1AART|2RPLT|3CDMG|459aVULN|6RCR|7FEWX|8RMIN
118	51245 22131	   	173.84	ACR|2AART|2VULN|1DMG|1CDMG	18AART|2RPLT|36CGEN|4RCR|56VULN|6BPWR|7CDMG|9DMG|aLHND
119	51245 22133	   	173.84	ACR|2AART|2VULN|1DMG|1CDMG	18AART|2RPLT|36CGEN|4RCR|56VULN|6BPWR|7CDMG|9DMG|aFEWX
120	56161 22131	   	173.84	ACR|2AART|2VULN|1DMG|1CDMG	18AART|26VULN|36MLV|4RCR|5RPLT|6BPWR|7CDMG|9DMG|aLHND
121	56161 22133	   	173.84	ACR|2AART|2VULN|1DMG|1CDMG	18AART|26VULN|36MLV|4RCR|5RPLT|6BPWR|7CDMG|9DMG|aFEWX
122	13251 24133	   	173.76	DCR|2VULN|2DMG|1AART|2ASPD	17aBEXP|2aVULN|3AART|47DMG|5RPLT|67LSRICY|7aBPWR|8aASPD|9RCR
123	16251 31253	 * 	173.76	DCR|2DMG|2AART|1VULN|3DUR|1ASPD	1BEXP|24DMG|347DUR|4BPWR|5ASPD|6VULN|8aAART|9RCR
124	24213 12115	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2CGEN|3ERES|4RMIN|6RCR|78VULN|9ZMB|aAART
125	63612 12122	   	173.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|259VULN|3CDMG|48LIT|6DMG|7AART|aRCR
126	22244 12114	 * 	173.62	DCR|3DMG|2VULN|2ZMB	15aDMG|2aLWND|3RCVC|4ERES|6RCR|78VULN|9aZMB|aBPWR
127	56161 21232	   	173.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|26VULN|36MLV|4RCR|5RPLT|6BPWR|7BEXP|8CDMG|9DMG|aZMB
128	23611 31631	   	173.37	DCR|3DMG|2VULN|1AART	135DMG|2SNIHEL|46VULN|7RCVC|8FEWX|9RCR|aAART
129	51245 32212	   	173.30	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2RPLT|39CGEN|4RCR|5VULN|68DMG|7CDMG|aZMB
130	51245 32332	   	173.30	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2RPLT|38CGEN|4RCR|5VULN|69DMG|7CDMG|aZMB
131	51114 41212	   	173.07	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|3CDMG|458VULN|6RCR|7RCVC|9FEWX|aZMB
132	51114 41232	   	173.07	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|3CDMG|458VULN|6RCR|7RCVC|9LWND|aZMB
133	51116 14132	   	173.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2RPLT|3CDMG|46VULN|5ASPD|7BEXP|9DMG|aRCR
134	26214 12225	   	173.06	DCR|2VULN|2DMG|1AART|1DUR	15DMG|2DUR|3RCVC|4RMIN|6RCR|79VULN|8ERES|aAART
135	13114 31642	 * 	173.04	DCR|3VULN|1AART|3ASPD|1DMG	1BEXP|245VULN|346ASPD|4BPWR|7AART|8CGEN|9DMG|aRCR
136	25313 12563	   	173.04	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	1aDMG|2FEWX|3aBEXP|4FLTHEA|5VULN|6aCDMG|7RMIN|8AART|9RCR|aBPWR
137	51114 41221	   	172.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|3CDMG|458VULN|6RCR|7RCVC|9CANSTR|aZMB
138	51116 15132	   	172.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2RPLT|3CDMG|46VULN|5ASPD|7DUST|9DMG|aRCR
139	51116 42132	   	172.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2RPLT|3CDMG|47VULN|5ASPD|6DUST|9DMG|aRCR
140	21313 12563	   	172.94	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	1aDMG|2DUST|3aBEXP|4FLTHEA|5VULN|6aCDMG|7RMIN|8AART|9RCR|aBPWR
141	63216 13633	   	172.93	ACR|3VULN|1AART|1DMG|2DUR	18DUR|29aVULN|3AART|4LIT|5RCR|6DMG|7LHND
142	51111 16341	   	172.65	DCR|2AART|2VULN|2ZMB|1CDMG|1DUR	17AART|2RPLT|3CDMG|46VULN|59ZMB|8RCR|aDUR
143	13114 35611	 * 	172.58	DCR|4VULN|1AART|3ASPD	18BEXP|2458VULN|346ASPD|48BPWR|7RCR|9MGNLIT|aAART
144	63216 13423	   	172.57	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|29VULN|3AART|4LIT|5RCR|6DMG|7LHND|8CDMG|aASPD
145	13114 35411	   	172.48	DCR|4VULN|1AART|3ASPD	1BEXP|2458VULN|346ASPD|4BPWR|7RCR|9MGNLIT|aAART
146	11161 34252	   	172.25	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	147BEXP|27DUR|3ASPD|5DMG|67VULN|7BPWR|8AART|9RCR|aCDMG
147	53412 31312	   	172.06	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	1AART|2LIT|36ZMB|457VULN|8DUR|9CDMG|aRCR
148	16213 16131	   	172.02	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD|1DUR	1BEXP|2DMG|3DUR|4FLTHEA|5VULN|6CDMG|7AART|8ASPD|9ZMB|aRCR
149	26342 23844	 * 	171.93	DCR|2DMG|1AART|1VULN|3DUR|2ASPD	1aDMG|29aDUR|3CGEN|4VULN|5MBVNT|6aASPD|7AART|8RCR|aBPWR
150	21213 16131	   	171.92	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD|1DUR	1DMG|2DUST|3DUR|4FLTHEA|5VULN|6CDMG|7AART|8ASPD|9ZMB|aRCR
151	26513 16131	   	171.92	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD|1DUR	1DMG|2DUR|3DUST|4FLTHEA|5VULN|6CDMG|7AART|8ASPD|9ZMB|aRCR
152	25213 25326	   	171.90	DCR|2VULN|2DMG|1FLTHEA|2DUR|1ZMB	19DMG|29FEWX|37DUR|4FLTHEA|59VULN|6RMIN|8RCR|9BPWR|aZMB
153	42343 33324	   	171.77	DCR|4VULN|2DMG	1RMIN|249aVULN|3CGEN|5aDMG|6RCR|7RCVC|8aLHND|aBPWR
154	26123 52343	   	171.75	DCR|2DMG|2AART|1VULN|1ASPD|1DUR	14DMG|2DUR|3RPLT|5LIT|6RCR|7VULN|89AART|aASPD
155	33142 13642	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	18SNIHEL|28LWND|3AART|4CGEN|5ZMB|68DMG|7RCR|8BPWR|9CDMG|aVULN
156	13345 62112	   	171.63	DCR|3VULN|2DMG|2CDMG	1aBEXP|246VULN|3RCVC|5aCDMG|7RPLT|8aDMG|9RCR|aBPWR
