0	Index      	 *	Score 	Summary	Detail	
1	26333 11311	 * 	201.63	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|678VULN|9ZMB
25	53233 43233	   	185.21	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|456aVULN|7RCR|8AART|9TLV
26	31135 12441	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	1FEWX|2BEXP|346VULN|5ZMB|79DMG|8RCR|aAART
27	36113 12441	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	1FEWX|236VULN|4ZMB|5LHND|79DMG|8RCR|aAART
28	26325 12431	 * 	184.49	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|27AART|3RCR|4LWND|5ASPD|689VULN|aDMG
29	53213 23154	   	184.46	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|4FEWX|569VULN|7RCR|8aDMG
30	26333 11346	   	184.39	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|2aAART|3RCR|4ASPD|5DMG|678VULN|9ERES
31	26333 11368	   	184.39	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|2aAART|3RCR|4ASPD|5DMG|678VULN|9MBVNT
32	53233 13154	   	184.36	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|459VULN|6LEGI|7RCR|8aDMG
33	26333 11131	   	184.16	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aLHND|2AART|3RCR|4aASPD|5DMG|67VULN|8DMSP|9aCDMG|aBPWR
34	26333 11312	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9ZMB|aCGEN
35	26333 11313	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9ZMB|aDMSP
36	26342 11311	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	14LHND|2AART|3RCR|5DUR|678VULN|9ZMB|aDMG
37	34323 46322	 * 	183.97	DCR|3DMG|2VULN|1AART	1FEWX|2RCVC|3AART|46VULN|59aDMG|7RCR|8BELT
38	26333 63332	   	183.96	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9aCDMG
39	26333 11314	   	183.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9ZMB|aERES
40	26213 46221	   	183.87	DCR|3VULN|2DMG|1AART	1LHND|2AART|368VULN|4RCVC|5aDMG|7RCR|9DUST
41	26311 11312	   	183.02	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9ZMB|aCDMG
42	26333 11412	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|8ZMB|9LWND|aCDMG
43	26333 11422	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|8ZMB|9FEWX|aCDMG
44	26333 14533	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|68VULN|7BEXP|9CDMG|aZMB
45	63321 46221	   	181.75	DCR|3VULN|1AART|1DMG|2DUR|1ASPD	12DUR|3AART|468VULN|5ASPD|7RCR|9DUST|aDMG
46	26331 14343	   	181.68	ACR|2VULN|2DMG|1AART|2ASPD	18LHND|2AART|3RCR|48ASPD|5DUST|69VULN|78DMG|8BPWR|aCGEN
47	26333 21335	   	181.68	ACR|2VULN|2DMG|1AART|2ASPD	18LHND|2AART|3RCR|48ASPD|5aDMG|6DUST|78VULN|8BPWR|9LWND
48	26331 14342	   	181.58	ACR|2VULN|2DMG|1AART|2ASPD	18LHND|2AART|3RCR|48ASPD|5DUST|69VULN|78DMG|8BPWR|aERES
49	26333 63321	   	181.48	ACR|2VULN|2DMG|1AART|2ASPD	1LHND|2AART|3RCR|46ASPD|5aDMG|78VULN|9TLV
50	26333 63341	   	181.48	ACR|2VULN|2DMG|1AART|2ASPD	1LHND|2AART|3RCR|46ASPD|5aDMG|78VULN|9ERES
51	61313 12441	   	181.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	13DUR|2BEXP|4ZMB|56VULN|79DMG|8RCR|aAART
52	63213 12441	   	181.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	12DUR|3DUST|4ZMB|56VULN|79DMG|8RCR|aAART
53	63324 11142	 * 	180.87	DCR|3VULN|1AART|1DMG|3DUR|1ASPD	126DUR|3AART|456VULN|6BPWR|7DUST|8ASPD|9RCR|aDMG
54	56231 31132	 * 	180.82	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1CDMG|2LIT|38aVULN|4DUST|5FLTHEA|6RCR|7AART|9ZMB
55	26213 46231	   	180.49	DCR|4VULN|1AART|1DMG	1LHND|2AART|3689VULN|4RCVC|5DMG|7RCR|aRPLT
56	26213 46232	   	180.49	DCR|4VULN|1AART|1DMG	1LHND|2AART|3689VULN|4RCVC|5DMG|7RCR|aDMSP
57	61131 12432	   	180.12	DCR|4VULN|1AART|1DMG|1DUR	1DUR|2BEXP|346aVULN|5AART|7RPLT|8RCR|9DMG
58	26213 46211	   	180.03	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|368VULN|4RCVC|5DMG|7RCR|9CDMG|aRPLT
59	26213 46213	   	180.03	DCR|3VULN|1AART|1DMG|1CDMG	1aLHND|2AART|368VULN|4RCVC|5DMG|7RCR|9CDMG
60	26213 46212	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|368VULN|4RCVC|5DMG|7RCR|9CDMG|aERES
61	26333 11364	   	179.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9MBVNT|aDUR
62	26331 14335	 * 	179.75	ACR|3DMG|1AART|1VULN|2ASPD	18LHND|2AART|3RCR|48ASPD|5DUST|6VULN|78aDMG|8BPWR|9LWND
63	26333 21343	   	179.75	ACR|3VULN|1AART|1DMG|2ASPD	18LHND|2AART|3RCR|48ASPD|5DMG|6DUST|789VULN|8BPWR|aCGEN
64	26333 21345	   	179.75	ACR|3VULN|1AART|1DMG|2ASPD	18LHND|2AART|3RCR|48ASPD|5DMG|6DUST|789VULN|8BPWR|aMLV
65	26333 21346	   	179.75	ACR|3VULN|1AART|1DMG|2ASPD	18LHND|2AART|3RCR|48ASPD|5DMG|6DUST|789VULN|8BPWR|aFEWX
66	26333 21355	   	179.75	ACR|3VULN|1AART|1DMG|2ASPD	18LHND|2AART|3RCR|48ASPD|5DMG|6DUST|78aVULN|8BPWR|9LIT
67	53233 33155	   	179.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CDMG|26DUR|3ZMB|45VULN|7RCR|8FEWX|9DMG|aAART
68	63123 16251	   	179.65	DCR|2VULN|2DMG|1AART|2DUR	12DUR|3RCVC|4AART|5aDMG|68VULN|7RCR|9LWND
69	26333 21342	   	179.65	ACR|3VULN|1AART|1DMG|2ASPD	18LHND|2AART|3RCR|48ASPD|5DMG|6DUST|789VULN|8BPWR|aERES
70	26343 23363	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	14LHND|2AART|3RCR|5DMG|6ERES|78aVULN|9CDMG
71	53223 13155	   	179.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CDMG|24DUR|3ZMB|59VULN|6LEGI|7RCR|8DMG|aAART
72	53231 13155	   	179.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CDMG|25DUR|3ZMB|49VULN|6LEGI|7RCR|8DMG|aAART
73	63123 16221	   	179.55	DCR|2VULN|2DMG|1AART|2DUR	12DUR|3RCVC|4AART|5aDMG|68VULN|7RCR|9DUST
74	53523 23234	   	179.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CDMG|26DUR|3AART|4ZMB|5LIT|7aVULN|8DMG|9RCR
75	52313 23155	   	178.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2NUKE|3DUR|4FEWX|569VULN|7RCR|8DMG|aAART
76	26343 23311	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	14LHND|2AART|3RCR|5aDMG|6ERES|78VULN|9ZMB
77	52333 13155	   	178.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2NUKE|3DUR|459VULN|6LEGI|7RCR|8DMG|aAART
78	26333 63431	 * 	178.85	ACR|2DMG|1AART|1VULN|2ZMB|2ASPD	1LHND|2AART|3RCR|46ASPD|5aDMG|7VULN|89ZMB
79	61133 12443	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|345VULN|6RCR|7FEWX|8ZMB|9DMG|aAART
80	26313 11373	 * 	178.82	ACR|2AART|2VULN|1CDMG|2DUR|1ZMB	18LHND|26AART|3RCR|48DUR|5MBVNT|78VULN|8BPWR|9CDMG|aZMB
81	32561 23226	 * 	178.82	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1FEWX|2RPLT|34AART|5aDMG|6RCR|7VULN|8ZMB|9DUR
82	33323 14256	   	178.70	DCR|3VULN|2DMG|2DUR|1ZMB	1aFEWX|23DUR|45aVULN|6RCR|7LIT|8ZMB|9aDMG|aBPWR
83	26311 11161	   	178.53	ACR|3VULN|1AART|2CDMG|2DUR	15aLHND|2AART|3RCR|45DUR|5aBPWR|67aVULN|8DMSP|9aCDMG
84	26311 11321	   	178.33	ACR|3VULN|1AART|1DMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9TLV|aDMG
85	26311 11341	   	178.33	ACR|3VULN|1AART|1DMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9ERES|aDMG
86	36112 12121	 * 	178.29	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1FEWX|236VULN|48ZMB|5RCR|7DMG|9DUR|aAART
87	26325 12432	 * 	178.07	ACR|3VULN|2AART|1CDMG|1ASPD	1LHND|27AART|3RCR|4LWND|5ASPD|689VULN|aCDMG
88	64123 16221	   	177.83	DCR|2VULN|2DMG|1AART|2RCVC|1DUR	1DUR|23RCVC|4AART|5aDMG|68VULN|7RCR|9DUST
89	26321 11161	 * 	177.75	ACR|3VULN|2AART|2CDMG	15aLHND|28AART|3RCR|45LWND|5aBPWR|67aVULN|9aCDMG
90	63123 16231	   	177.72	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3RCVC|4AART|5DMG|689VULN|7RCR|aRPLT
91	63123 16234	   	177.72	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3RCVC|4AART|5DMG|689VULN|7RCR|aCGEN
92	63123 16235	   	177.72	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3RCVC|4AART|5DMG|689VULN|7RCR|aMLV
93	63123 16236	   	177.72	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3RCVC|4AART|5DMG|689VULN|7RCR|aFEWX
94	53523 33234	 * 	177.67	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1CDMG|2DUR|3AART|46ZMB|5LIT|7aVULN|8DMG|9RCR
95	26333 63334	   	177.65	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9CDMG|aDMSP
96	26333 63336	   	177.65	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9CDMG|aBELT
97	26311 11431	   	177.63	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|67VULN|89ZMB|aDMG
98	26342 11312	   	177.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	14LHND|2AART|3RCR|5DUR|678VULN|9ZMB|aCDMG
99	63123 16232	   	177.62	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3RCVC|4AART|5DMG|689VULN|7RCR|aLEGI
100	26343 63131	   	177.55	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	14aLHND|2AART|3RCR|5aDMG|6ASPD|7VULN|8DMSP|9aCDMG|aBPWR
101	26333 63333	   	177.55	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9CDMG|aDUST
102	36142 12221	 * 	177.54	ACR|4VULN|1AART|1DMG|1DUR	1FEWX|2368VULN|4RMIN|5RCR|7DMG|9DUR|aAART
103	36122 12221	   	177.44	ACR|4VULN|1AART|1DMG|1DUR	1FEWX|2368VULN|4TLV|5RCR|7DMG|9DUR|aAART
104	26333 11132	   	177.35	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|8DMSP|9aCDMG
105	26343 63332	   	177.35	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	14LHND|2AART|3RCR|5DMG|6ASPD|78VULN|9aCDMG
106	26321 11431	   	177.20	ACR|3VULN|1AART|1DMG|1ZMB	15LHND|2AART|3RCR|45LWND|5BPWR|679VULN|8ZMB|aDMG
107	63321 16232	   	177.20	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	12DUR|3AART|4aVULN|5ASPD|6RPLT|7RCR|8ZMB|9DMG
108	26344 11311	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	14LHND|2AART|3RCR|568VULN|7FEWX|9ZMB|aDMG
109	26344 13311	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	14LHND|2AART|3RCR|567VULN|8FEWX|9ZMB|aDMG
110	26344 21311	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	14LHND|2AART|3RCR|578VULN|6BEXP|9ZMB|aDMG
111	53223 43263	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|24DUR|3ZMB|56aVULN|7RCR|8AART|9MLV
112	53231 43263	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|25DUR|3ZMB|46aVULN|7RCR|8AART|9MLV
113	53233 33263	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|26DUR|3ZMB|45aVULN|7RCR|8AART|9MLV
114	53233 43211	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ZMB|456VULN|7RCR|8AART|aRPLT
115	53233 43213	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ZMB|456VULN|7RCR|8AART|aLHND
116	53233 43214	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ZMB|456VULN|7RCR|8AART|aLWND
117	53233 43215	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ZMB|456VULN|7RCR|8AART|aBEXP
118	53233 43216	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ZMB|456VULN|7RCR|8AART|aCGEN
119	62512 32411	   	176.45	DCR|3VULN|2DMG|1CDMG|2DUR	19DUR|2RPLT|349VULN|5DUST|6CDMG|79DMG|8RCR|9BPWR|aLWND
120	53223 43233	   	176.40	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|24DUR|3ZMB|56aVULN|7RCR|8AART|9TLV
121	53231 43233	   	176.40	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|25DUR|3ZMB|46aVULN|7RCR|8AART|9TLV
122	53233 33233	   	176.40	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|26DUR|3ZMB|45aVULN|7RCR|8AART|9TLV
123	53233 43212	   	176.40	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ZMB|456VULN|7RCR|8AART|aERES
124	62512 32412	   	176.35	DCR|3VULN|2DMG|1CDMG|2DUR	19DUR|2RPLT|349VULN|5aDUST|6CDMG|79DMG|8RCR|9BPWR
125	36112 12221	   	176.35	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|236VULN|4ZMB|5RCR|7DMG|8RCVC|9DUR|aAART
126	64123 16231	   	176.00	DCR|3VULN|1AART|1DMG|2RCVC|1DUR	1DUR|23RCVC|4AART|5DMG|689VULN|7RCR|aRPLT
127	36111 12441	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15FEWX|23VULN|4ZMB|6DUR|79DMG|8RCR|aAART
128	36112 12133	 * 	175.90	ACR|4VULN|1DMG|2ZMB|1CDMG	1FEWX|236aVULN|48ZMB|5RCR|7DMG|9CDMG
129	64123 16232	   	175.90	DCR|3VULN|1AART|1DMG|2RCVC|1DUR	1DUR|23RCVC|4AART|5DMG|689VULN|7RCR|aLEGI
130	63321 46231	   	175.89	DCR|4VULN|1AART|2DUR|1ASPD	12DUR|3AART|4689VULN|5ASPD|7RCR|aRPLT
131	63321 46232	   	175.79	DCR|4VULN|1AART|2DUR|1ASPD	12DUR|3AART|4689VULN|5ASPD|7RCR|aLEGI
132	63123 16211	   	175.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aRPLT
133	63123 16213	   	175.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aLHND
134	63123 16214	   	175.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aLWND
135	63123 16215	   	175.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aBEXP
136	63123 16216	   	175.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aCGEN
137	26344 13233	   	175.69	ACR|4VULN|1AART|1CDMG	14LHND|2AART|3RCR|567aVULN|8RCVC|9CDMG
138	53523 31221	 * 	175.63	DCR|2DMG|1AART|2CDMG|3DUR|2ZMB	1aCDMG|29aDUR|3AART|46ZMB|5LIT|7aDMG|8RCR|aBPWR
139	63123 16212	   	175.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aERES
140	64321 16232	   	175.61	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2RCVC|3AART|4aVULN|5ASPD|6RPLT|7RCR|8ZMB|9DMG
141	63162 32153	   	175.54	ACR|2VULN|2DMG|1AART|2DUR	12DUR|39RCVC|47DMG|5RCR|68VULN|aAART
142	26331 14334	 * 	175.54	ACR|2AART|2DMG|1VULN|2ASPD	18LHND|2aAART|3RCR|48ASPD|5DUST|6VULN|78DMG|8BPWR|9LWND
143	26333 21334	 * 	175.54	ACR|2AART|2VULN|1DMG|2ASPD	18LHND|2aAART|3RCR|48ASPD|5DMG|6DUST|78VULN|8BPWR|9LWND
144	63321 46211	   	175.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	12DUR|3AART|468VULN|5ASPD|7RCR|9CDMG|aRPLT
145	63321 46213	   	175.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	12DUR|3AART|468VULN|5ASPD|7RCR|9CDMG|aLHND
146	34312 46323	   	175.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2RCVC|3AART|4ZMB|56VULN|7RCR|8BELT|9DMG|aCDMG
147	63321 46212	   	175.34	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	12DUR|3AART|468VULN|5ASPD|7RCR|9CDMG|aERES
148	63321 46222	   	175.34	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	12DUR|3AART|468VULN|5ASPD|7RCR|9DUST|aCDMG
149	34323 46321	   	175.26	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCVC|3AART|46VULN|59DMG|7RCR|8BELT|aDUR
150	34323 46121	   	175.26	DCR|2VULN|2DMG|1AART|1DUR	19FEWX|2RCVC|3AART|46VULN|5aDMG|7RCR|8DUR
151	26333 11452	   	175.23	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|8ZMB|9SNIHEL|aDUR
152	26331 51335	   	175.10	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	18LHND|2AART|3RCR|48ASPD|5DUST|6ZMB|78VULN|8BPWR|9LWND|aDMG
153	26213 46133	   	175.10	DCR|3VULN|1AART|1DMG|1DUR	1LHND|2AART|369VULN|48RCVC|5DMG|7RCR|aDUR
154	34324 12311	   	175.09	DCR|3VULN|1AART|1DMG|1ZMB	16FEWX|2RCVC|3AART|456VULN|6BPWR|7BEXP|8RCR|9ZMB|aDMG
155	33323 13241	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|23DUR|45VULN|6RCR|79DMG|8RMIN|aAART
156	33323 13341	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|23DUR|45VULN|6RCR|79DMG|8CGEN|aAART
157	26333 63111	   	175.00	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1LHND|2AART|3RCR|46ASPD|5aDMG|7VULN|8DMSP|9ZMB
158	26333 63312	   	175.00	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9ZMB|aCGEN
159	26333 63313	   	175.00	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9ZMB|aDMSP
160	26333 11241	   	174.97	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|89CGEN
161	26333 11252	   	174.97	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|8CGEN|9LIT
162	26333 15225	   	174.97	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|68VULN|7LWND|9BEXP
163	26333 51225	   	174.97	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|6LWND|78VULN|9BEXP
164	36112 12366	   	174.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|236VULN|4ZMB|5RCR|7DMG|8ERES|9AART|aDUR
165	26332 23311	   	174.90	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LHND|2AART|3RCR|45ASPD|6ERES|78VULN|9ZMB|aDMG
166	26333 63314	   	174.90	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LHND|2AART|3RCR|46ASPD|5DMG|78VULN|9ZMB|aERES
167	26333 11121	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|8DMSP|9TLV
168	26333 11141	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|8DMSP|9ERES
169	26333 11661	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	19LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|8ERES
