0	Index      	 *	Score 	Summary	Detail	
1	51142 31135	 * 	193.02	ACR|3DMG|2VULN|1AART|2DUR	19DUR|2BEXP|3RCR|49VULN|5FEWX|6BASHEA|7AART|89aDMG|9BPWR
84	56314 11211	   	168.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2RPLT|3TLV|4AART|5LWND|69aVULN|7RCR|8DMG
85	51143 51212	   	168.84	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2BEXP|3RCR|4VULN|5CGEN|68aDMG|7LHND|9AART
86	56315 11211	   	168.82	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2RPLT|3TLV|4AART|5DUST|69aVULN|7RCR|8DMG
87	31133 66413	   	168.81	DCR|3VULN|2DMG|1CDMG	1ERES|2FEWX|3CDMG|489VULN|5LHND|6RCR|7aDMG
88	22235 42163	   	168.76	DCR|2AART|2VULN|2DMG	1CANSTR|2LIT|35AART|46DMG|79VULN|8FEWX|aRCR
89	22235 42513	   	168.76	DCR|2AART|2VULN|2DMG	1CANSTR|2LIT|35AART|46DMG|78VULN|9FEWX|aRCR
90	43621 24332	   	168.74	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|3DUR|45DMG|6RCR|7aVULN|8CDMG|9RCVC
91	46321 24332	   	168.74	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1CGEN|2DUR|3ASPD|45DMG|6RCR|7aVULN|8CDMG|9RCVC
92	54321 24332	   	168.74	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|2CGEN|3ASPD|45DMG|6RCR|7aVULN|8CDMG|9RCVC
93	51143 52212	   	168.74	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2BEXP|3RCR|4VULN|5CGEN|68aDMG|7MBVNT|9AART
94	22235 42363	   	168.66	DCR|2AART|2VULN|2DMG	1CANSTR|2LIT|35AART|46DMG|79VULN|8DUST|aRCR
95	33321 24332	   	168.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|45DMG|6RCR|7aVULN|8CDMG|9RCVC
96	36321 24332	   	168.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2DUR|3ASPD|45DMG|6RCR|7aVULN|8CDMG|9RCVC
97	36521 24332	   	168.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2DUR|35DMG|4ASPD|6RCR|7aVULN|8CDMG|9RCVC
98	53143 52212	   	168.64	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LEGI|3RCR|4VULN|5CGEN|68aDMG|7MBVNT|9AART
99	36511 25133	   	168.36	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ERES|29DUR|35DMG|4ZMB|6RCR|7LIT|8VULN|aAART
100	31321 26615	   	168.32	DCR|3DMG|1AART|1VULN|1ASPD	1ERES|2FEWX|3ASPD|457DMG|6RCR|8LWND|9AART|aVULN
101	12411 21634	   	168.25	DCR|3VULN|1AART|1CDMG|1ZMB	1BEXP|27RCVC|3AART|46aVULN|5CDMG|8ZMB|9RCR
102	21313 42616	   	168.21	DCR|2AART|2VULN|1DMG|1DUR	1CANSTR|29AART|3DUR|4TLV|5CGEN|6RCR|7aVULN|8DMG
103	22333 66314	 * 	168.13	ACR|3VULN|2AART|1ZMB|1DUR	1CANSTR|2LIT|37aVULN|4ZMB|5RCR|68AART|9DUR
104	22333 53244	 * 	167.76	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1CANSTR|2LIT|368VULN|4ZMB|5RCR|7SELL|9AART|aDMG
105	11411 23223	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	12BEXP|3AART|46VULN|5CDMG|7RCR|8DMG|9FEWX|aASPD
106	11411 23233	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	12BEXP|3AART|46VULN|5CDMG|7RCR|8DMG|9LWND|aASPD
107	11411 23533	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	12BEXP|3AART|46VULN|5CDMG|7RCR|8LHND|9DMG|aASPD
108	22333 64315	 * 	167.34	ACR|3VULN|1AART|2ZMB|1CDMG	18CANSTR|2LIT|389VULN|48ZMB|5RCR|6AART|7BELT|8BPWR|aCDMG
109	12412 42223	 * 	167.31	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR	1BEXP|2RCVC|3AART|4aVULN|5FLTHEA|6RCR|7FEWX|8CDMG|9DUR
110	12412 44223	   	167.31	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR	1BEXP|2RCVC|3AART|4aVULN|5FLTHEA|6RCR|7LHND|8CDMG|9DUR
111	12412 43362	   	167.31	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR	17BEXP|2RCVC|3AART|49VULN|5FLTHEA|6RCR|8CDMG|aDUR
112	11411 23311	   	167.27	DCR|3VULN|1AART|1CDMG|1ZMB	128BEXP|3AART|46aVULN|5CDMG|7RCR|9ZMB
113	22333 64333	 * 	167.22	ACR|3VULN|3ZMB|1AART	18CANSTR|2LIT|38aVULN|489ZMB|5RCR|6AART|7BELT|8BPWR
114	12411 23462	   	167.11	DCR|3VULN|1AART|1CDMG|1DUR	1aBEXP|2RCVC|3AART|46aVULN|5CDMG|7RCR|8DUR|9aCGEN|aBPWR
115	33321 25116	   	167.04	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1ERES|2ASPD|3DUR|45DMG|6RCR|7LIT|8aVULN|9CDMG
116	36321 25116	   	167.04	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1ERES|2DUR|3ASPD|45DMG|6RCR|7LIT|8aVULN|9CDMG
117	12412 41215	 * 	167.03	DCR|1AART|1VULN|2CDMG|1FLTHEA|1ZMB|1DUR	1BEXP|2RCVC|3AART|4VULN|5FLTHEA|6RCR|7DUR|89CDMG|aZMB
118	33321 26536	   	167.01	DCR|3DMG|1VULN|1FLTHEA|1DUR|1ASPD	1ERES|2ASPD|3DUR|457DMG|6RCR|8RCVC|9FLTHEA|aVULN
119	11411 23252	   	166.99	DCR|2VULN|1AART|1DMG|2CDMG	12BEXP|3AART|46VULN|59CDMG|7RCR|8DMG|aLHND
120	11411 23253	   	166.99	DCR|2VULN|1AART|1DMG|2CDMG	12BEXP|3AART|46VULN|59CDMG|7RCR|8DMG|aFEWX
121	11411 53214	   	166.99	DCR|2VULN|1AART|1DMG|2CDMG	12BEXP|3AART|4aVULN|56CDMG|7RCR|8DMG|9LIT
122	11411 53215	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	12BEXP|3AART|4VULN|56CDMG|7RCR|8aDMG|9LIT
123	23635 15211	   	166.91	DCR|2AART|2VULN|1DMG|1DUR	1CANSTR|2VENICY|3NUKE|45AART|6RCR|7aVULN|8DMG|9DUR
124	11411 23251	   	166.89	DCR|2VULN|1AART|1DMG|2CDMG	12BEXP|3AART|46VULN|59CDMG|7RCR|8DMG|aTLV
125	33411 11351	 * 	166.83	DCR|2VULN|1AART|2FLTHEA|2ASPD|1CDMG	178ERES|27ASPD|3AART|49VULN|5CDMG|67FLTHEA|7BPWR|aRCR
126	56315 11132	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2RPLT|3TLV|4AART|5DUST|69VULN|7RCR|8CDMG|aDMG
127	14321 24321	 * 	166.81	DCR|2VULN|2DMG|2ASPD|1CDMG	1BEXP|2CGEN|3aASPD|45DMG|6RCR|79VULN|8CDMG
128	14521 24321	   	166.81	DCR|2VULN|2DMG|2ASPD|1CDMG	1BEXP|2CGEN|35DMG|4aASPD|6RCR|79VULN|8CDMG
129	41321 24321	   	166.81	DCR|2VULN|2DMG|2ASPD|1CDMG	1CGEN|2FEWX|3aASPD|45DMG|6RCR|79VULN|8CDMG
130	41521 24321	   	166.81	DCR|2VULN|2DMG|2ASPD|1CDMG	1CGEN|2FEWX|35DMG|4aASPD|6RCR|79VULN|8CDMG
131	44321 24321	   	166.81	DCR|2VULN|2DMG|2ASPD|1CDMG	1CGEN|2BEXP|3aASPD|45DMG|6RCR|79VULN|8CDMG
132	12411 23551	 * 	166.77	DCR|2AART|2VULN|1CDMG|1ZMB	1BEXP|2RCVC|39AART|46VULN|5CDMG|7RCR|8LHND|aZMB
133	26242 33264	 * 	166.74	ACR|2VULN|2AART|2ZMB|1CDMG	17CANSTR|2RCVC|37ZMB|47VULN|5RCR|6aAART|7BPWR|8CDMG|9MBVNT
134	13321 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1BEXP|2ERES|3aASPD|45DMG|6RCR|79VULN|8CDMG
135	13521 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1BEXP|2ERES|35DMG|4aASPD|6RCR|79VULN|8CDMG
136	31321 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1ERES|2FEWX|3aASPD|45DMG|6RCR|79VULN|8CDMG
137	31521 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1ERES|2FEWX|35DMG|4aASPD|6RCR|79VULN|8CDMG
138	34321 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1ERES|2BEXP|3aASPD|45DMG|6RCR|79VULN|8CDMG
139	34521 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1ERES|2BEXP|35DMG|4aASPD|6RCR|79VULN|8CDMG
140	35521 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1ERES|2LWND|35DMG|4aASPD|6RCR|79VULN|8CDMG
141	43521 24321	   	166.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1CGEN|2aASPD|3DUST|45DMG|6RCR|79VULN|8CDMG
142	33521 24321	   	166.61	DCR|2VULN|2DMG|2ASPD|1CDMG	1ERES|2aASPD|3DUST|45DMG|6RCR|79VULN|8CDMG
143	36132 64112	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3CDMG|47VULN|5FEWX|6RCR|8RPLT|9AART|aDMG
144	43621 26112	   	166.30	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1CGEN|2ASPD|3DUR|457DMG|6RCR|8FEWX|9AART|aZMB
145	46321 26112	   	166.30	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1CGEN|2DUR|3ASPD|457DMG|6RCR|8FEWX|9AART|aZMB
146	54321 26112	   	166.30	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1DUR|2CGEN|3ASPD|457DMG|6RCR|8FEWX|9AART|aZMB
147	12411 23336	   	166.28	DCR|3VULN|1AART|2CDMG	18BEXP|2RCVC|3AART|46aVULN|59CDMG|7RCR
148	12423 65212	   	166.24	ACR|2VULN|2DMG|1AART	1BEXP|2RCVC|3AART|4LIT|5RCR|6TLV|78DMG|9aVULN
149	33321 26112	   	166.20	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3DUR|457DMG|6RCR|8FEWX|9AART|aZMB
150	36321 26112	   	166.20	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1ERES|2DUR|3ASPD|457DMG|6RCR|8FEWX|9AART|aZMB
151	36521 26112	   	166.20	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1ERES|2DUR|357DMG|4ASPD|6RCR|8FEWX|9AART|aZMB
152	12411 22634	   	166.17	DCR|3VULN|1AART|1CDMG|1ZMB	17BEXP|2RCVC|3AART|46aVULN|5CDMG|8ZMB|9RCR
153	22333 66311	   	166.12	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CANSTR|2LIT|37VULN|4ZMB|5RCR|68AART|9DUR|aCDMG
154	12412 41225	   	166.02	DCR|1AART|1VULN|1FLTHEA|1CDMG|2DUR|1ZMB	1BEXP|2RCVC|3AART|4VULN|5FLTHEA|6RCR|79DUR|8CDMG|aZMB
155	22333 51131	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2LIT|36VULN|4ZMB|5RCR|7LWND|8CDMG|9AART|aDMG
156	22333 56131	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2LIT|36VULN|4ZMB|5RCR|7LHND|8CDMG|9AART|aDMG
157	11412 41252	   	165.98	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	12BEXP|3AART|4VULN|5FLTHEA|6RCR|7DUR|8CDMG|9ERES|aDMG
158	31511 26216	 * 	165.87	DCR|3DMG|1AART|1CDMG|1ZMB	1ERES|2FEWX|357DMG|4ZMB|6RCR|8TLV|9AART|aCDMG
159	21335 53161	 * 	165.82	DCR|3VULN|1AART|3DUR|1CDMG	17CANSTR|2AART|367DUR|467VULN|5RMIN|67BPWR|8DMSP|9CDMG|aRCR
160	22222 44313	   	165.78	DCR|2DMG|1AART|1VULN|1CDMG	1CANSTR|2LIT|3AART|4RPLT|5RCVC|6RCR|79DMG|8CDMG|aVULN
161	36511 24311	   	165.75	DCR|2DMG|1VULN|1CDMG|2DUR|1ZMB|1ASPD	1ERES|29DUR|35DMG|4ZMB|6RCR|7VULN|8CDMG|aASPD
162	43621 25133	 * 	165.71	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1CGEN|29ASPD|3DUR|45DMG|6RCR|7LIT|8VULN|aAART
163	46321 25133	   	165.71	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1CGEN|2DUR|39ASPD|45DMG|6RCR|7LIT|8VULN|aAART
164	54321 25133	   	165.71	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1DUR|2CGEN|39ASPD|45DMG|6RCR|7LIT|8VULN|aAART
