0	Index      	 *	Score 	Summary	Detail	
1	21513 31636	 * 	216.46	DCR|4VULN|3DMG|3CDMG|2DUR	178aVULN|26DUR|37aCDMG|4RPLT|57aDMG|7aBPWR|9RCR
16	23362 23236	 * 	191.34	DCR|4VULN|1AART|1DMG|2CDMG	1257VULN|37CDMG|4AART|67ERES|7BPWR|8BEXP|9RCR|aDMG
17	23362 23636	   	191.34	DCR|4VULN|1AART|1DMG|2CDMG	1257VULN|37CDMG|4AART|67ERES|7BPWR|8LHND|9RCR|aDMG
18	23315 61216	   	191.32	DCR|4VULN|2DMG|2CDMG|1SELL	125aVULN|3aCDMG|4DUR|6DUST|7aDMG|8RCR|9SELL|aBPWR
19	26433 21161	   	190.64	ACR|3VULN|2DMG|1AART|1CDMG	157VULN|2RMIN|37DMG|4RCR|67DUST|7BPWR|8CDMG|9AART|aERES
20	26433 21336	 * 	190.49	ACR|4VULN|2DMG|1AART	1578VULN|2RMIN|37DMG|4RCR|67DUST|7BPWR|9MBVNT|aAART
21	26432 41131	   	190.34	ACR|3VULN|2DMG|1AART|1FLTHEA	179VULN|2RMIN|37DMG|4RCR|567LWND|7BPWR|8FLTHEA|aAART
22	13224 61213	   	190.17	ACR|3VULN|3DMG|2DUR|1ZMB	17CGEN|27aVULN|3FEWX|4ZMB|5RCR|67aDMG|7aBPWR|8LWND|9aDUR
23	13224 61513	   	190.17	ACR|3VULN|3DMG|2DUR|1ZMB	17CGEN|27aVULN|3FEWX|4ZMB|5RCR|67aDMG|7aBPWR|8LHND|9aDUR
24	13624 61213	   	190.17	ACR|3VULN|3DMG|2DUR|1ZMB	17CGEN|27aVULN|3BEXP|4ZMB|5RCR|67aDMG|7aBPWR|8LWND|9aDUR
25	33124 61213	   	190.07	ACR|3VULN|3DMG|2DUR|1ZMB	17LHND|27aVULN|3TLV|4ZMB|5RCR|67aDMG|7aBPWR|8LWND|9aDUR
26	53124 61213	   	190.07	ACR|3VULN|3DMG|2DUR|1ZMB	17BEXP|27aVULN|3TLV|4ZMB|5RCR|67aDMG|7aBPWR|8LWND|9aDUR
27	24121 42143	   	189.92	DCR|3VULN|2DMG|1AART|1CDMG	189VULN|2RPLT|39DMG|4LHND|5CDMG|69LWND|7RCR|9BPWR|aAART
28	22432 51162	 * 	189.81	DCR|3VULN|3DMG|3ZMB	179VULN|28ERES|379DMG|4DUST|5LWND|679ZMB|79BPWR|aRCR
29	22432 51362	   	189.81	DCR|3VULN|3DMG|3ZMB	179VULN|2ERES|379DMG|48DUST|5LWND|679ZMB|79BPWR|aRCR
30	26434 21121	   	189.00	ACR|3VULN|3DMG|2CDMG	179VULN|25RMIN|37aDMG|4RCR|679DUST|79BPWR|89CDMG
31	26433 21122	   	188.75	ACR|4VULN|2DMG|2CDMG	1579VULN|2RMIN|37DMG|4RCR|679DUST|79BPWR|89CDMG|aRCVC
32	23364 14221	   	188.72	DCR|3VULN|2DMG|1AART|1CDMG	127VULN|3CDMG|4AART|57CGEN|67DMG|7BPWR|8BELT|9RCR|aLWND
33	23364 14222	   	188.62	DCR|3VULN|2DMG|1AART|1CDMG	127VULN|3CDMG|4AART|57CGEN|67DMG|7BPWR|8BELT|9RCR|aCANSTR
34	23364 14223	   	188.62	DCR|3VULN|2DMG|1AART|1CDMG	127VULN|3CDMG|4AART|57CGEN|67DMG|7BPWR|8BELT|9RCR|aTLV
35	21124 61622	   	188.32	ACR|4VULN|2DMG|2DUR|1ZMB	178aVULN|27DUR|3TLV|4ZMB|5RCR|67DMG|7BPWR|9CGEN
36	21124 61334	   	187.87	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	17aVULN|27DUR|3TLV|4ZMB|5RCR|67DMG|7BPWR|8CGEN|9CDMG
37	21124 61611	   	187.87	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	178VULN|27DUR|3TLV|4ZMB|5RCR|67DMG|7BPWR|9CDMG|aBEXP
38	21124 61612	   	187.87	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	178VULN|27DUR|3TLV|4ZMB|5RCR|67DMG|7BPWR|9CDMG|aRPLT
39	21124 61134	   	187.77	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	17aVULN|27DUR|3TLV|4ZMB|5RCR|67DMG|7BPWR|8ERES|9CDMG
40	21124 61613	   	187.77	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	178VULN|27DUR|3TLV|4ZMB|5RCR|67DMG|7BPWR|9CDMG|aAIRHEL
41	26433 51122	   	187.75	ACR|4VULN|2DMG|2CDMG	1579VULN|2RMIN|37DMG|4RCR|679LWND|79BPWR|89CDMG|aFEWX
42	26433 51123	   	187.75	ACR|4VULN|2DMG|2CDMG	1579VULN|2RMIN|37DMG|4RCR|679LWND|79BPWR|89CDMG|aRPLT
43	26433 51332	   	187.55	ACR|4VULN|2DMG|2CDMG	1578VULN|2RMIN|37DMG|4RCR|67LWND|7BPWR|9aCDMG
44	26433 21123	   	187.45	ACR|4VULN|2DMG|2CDMG	1579VULN|2RMIN|37DMG|4RCR|679DUST|79BPWR|89CDMG|aBEXP
45	26433 51322	   	187.35	ACR|5VULN|2DMG	1578aVULN|2RMIN|37DMG|4RCR|67LWND|7BPWR|9DUR
46	26433 21124	   	187.35	ACR|4VULN|2DMG|2CDMG	1579VULN|2RMIN|37DMG|4RCR|679DUST|79BPWR|89CDMG|aERES
47	26433 21322	   	187.35	ACR|4VULN|2DMG|2CDMG	1578VULN|2RMIN|37DMG|4RCR|67DUST|7BPWR|9aCDMG
48	23615 21134	   	186.72	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	124VULN|3CGEN|5FLTHEA|6DUR|7DMG|8AART|9CDMG|aRCR
49	23115 21134	   	186.62	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	124VULN|3TLV|5FLTHEA|6DUR|7DMG|8AART|9CDMG|aRCR
50	21224 61334	   	186.53	ACR|3VULN|2DMG|2ZMB|1CDMG	17aVULN|2DUR|3RMIN|47ZMB|5RCR|67DMG|7BPWR|8CGEN|9CDMG
