0	Index      	 *	Score 	Summary	Detail	
1	64311 34274	 * 	288.07	ACR|2LIT|4VULN|1MLV|2ASPD	19ASPD|289aVULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR
30	26224 31232	   	268.07	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2DMG|3ASPD|4DUST|5MLV|69aLIT|7RCR|8VULN
31	34232 13342	   	268.07	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1DUR|2VULN|34aLIT|5CRUSTR|6DMG|7RCR|8ASPD|9MLV
32	66124 31132	   	268.07	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|3VULN|4DUST|5MLV|69aLIT|7RCR|8LWND
33	14144 47342	 * 	267.85	DCR|2LIT|2FLTARM|2VULN	1aERES|2aVULN|39LIT|4MBVNT|5DMSP|6TLV|7RCR|8aFLTARM|aBPWR
34	62321 36333	   	267.63	ACR|2LIT|4VULN|3ASPD	189ASPD|25LWND|3RCR|4579VULN|59BPWR|69LIT|aLHND
35	62321 36335	   	267.63	ACR|2LIT|4VULN|3ASPD	189ASPD|25LWND|3RCR|4579VULN|59BPWR|69LIT|aCGEN
36	62123 36262	   	267.21	ACR|2LIT|3VULN|1MLV|2ASPD	19ASPD|2LWND|39LIT|4RCR|5MLV|6aCGEN|789VULN|9BPWR
37	44232 13342	   	267.12	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1LHND|2VULN|34LIT|5CRUSTR|6DMG|7RCR|8ASPD|9MLV|aAART
38	62123 36261	   	267.11	ACR|2LIT|3VULN|1MLV|2ASPD	19ASPD|2LWND|39LIT|4RCR|5MLV|6CGEN|789VULN|9BPWR|aERES
39	14533 13362	   	266.56	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	1ERES|2aVULN|3MLV|4LIT|5aSNITOX|6DMG|7RCR|8aASPD|9DMSP|aBPWR
40	24231 25352	   	266.37	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1BEXP|2VULN|34aLIT|5RMIN|6CDMG|7MLV|8RCR|9DMG
41	26152 12422	   	266.37	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1BEXP|2DMG|359LIT|4CDMG|6VULN|7LHND|8RCR|aMLV
42	34231 25352	   	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1DUR|2VULN|34aLIT|5RMIN|6CDMG|7MLV|8RCR|9DMG
43	34236 21422	   	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1DUR|2VULN|349LIT|5DMG|6CDMG|7BEXP|8RCR|aMLV
44	36152 11422	   	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1DUR|2DMG|359LIT|4CDMG|6VULN|7BEXP|8RCR|aMLV
45	36531 23422	   	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1DUR|2DMG|3MLV|49aLIT|5RMIN|6CDMG|7VULN|8RCR
46	36152 33422	   	266.17	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1DUR|2DMG|359LIT|4CDMG|6DUST|7VULN|8RCR|aMLV
47	64321 36332	   	265.66	ACR|3LIT|3VULN|3ASPD	189ASPD|247VULN|3RCR|59LHND|69aLIT|9BPWR
48	14633 13342	   	265.65	DCR|2LIT|2VULN|1MLV|1CDMG	1ERES|27VULN|3BEXP|4CDMG|5ZMB|6RCR|8aLIT|9MLV
49	24433 13342	   	265.65	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|27VULN|3ERES|4CDMG|5ZMB|6RCR|8aLIT|9MLV
50	24632 31335	   	265.65	DCR|2LIT|3VULN|1ASPD|1CDMG|2ZMB|1DUR	1BEXP|259VULN|3ASPD|4CDMG|69ZMB|7DUR|89LIT|9BPWR|aRCR
51	14333 16242	   	265.55	DCR|2LIT|2VULN|1MLV|1CDMG	1ERES|27VULN|3DUST|4CDMG|5ZMB|6RCR|8aLIT|9MLV
52	34632 13151	   	265.29	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG|1DUR	1DUR|25VULN|36ASPD|4CDMG|7ZMB|8RCR|9MLV|aLIT
53	61521 32423	 * 	265.24	DCR|3VULN|1LIT|1MLV|2ASPD	15ASPD|2FEWX|3LWND|45aVULN|5BPWR|6LIT|7MLV|8LHND|9RCR
54	24232 13343	   	264.52	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1BEXP|2VULN|34LIT|5CRUSTR|6DMG|7RCR|8ASPD|9MLV|aCDMG
55	24233 66233	 * 	264.52	DCR|3LIT|2VULN|1FLTARM	15BEXP|2aVULN|346LIT|7RMIN|8RCR|9FLTARM
56	34232 13343	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG|1DUR	1DUR|2VULN|34LIT|5CRUSTR|6DMG|7RCR|8ASPD|9MLV|aCDMG
57	61121 23636	 * 	264.28	ACR|2LIT|2VULN|2DMG|2ASPD|1CDMG	19ASPD|25FEWX|39LIT|4RCR|6CDMG|7aVULN|89DMG|9BPWR
58	65631 13213	   	264.05	DCR|2LIT|3VULN|1ASPD|1CDMG	1ASPD|23LIT|458VULN|6BELT|7ZMB|9RCR|aCDMG
59	66114 31312	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4FEWX|5MLV|6aLIT|7RCR|9LWND
60	66114 31332	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4FEWX|5MLV|6aLIT|7RCR|9BEXP
61	66141 31312	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4MLV|5LHND|6aLIT|7RCR|9LWND
62	66141 31332	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4MLV|5LHND|6aLIT|7RCR|9BEXP
63	34212 43342	 * 	263.26	DCR|2LIT|3VULN|1MLV|1DUR|1SELL	1DUR|257VULN|3aLIT|4DUST|6SELL|8RCR|9MLV
64	14143 81212	   	263.23	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|28VULN|3aLIT|4MBVNT|5MLV|6DMG|7RCR|9LWND
65	14143 81232	   	263.23	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|28VULN|3aLIT|4MBVNT|5MLV|6DMG|7RCR|9BEXP
66	14533 13232	   	263.23	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|29VULN|3MLV|4aLIT|5SNITOX|6DMG|7RCR|8LWND
67	66114 31322	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4FEWX|5MLV|6aLIT|7RCR|9DUST
68	66124 31312	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4DUST|5MLV|6aLIT|7RCR|9LWND
69	66124 31332	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4DUST|5MLV|6aLIT|7RCR|9BEXP
70	66141 31322	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18ASPD|2DMG|3VULN|4MLV|5LHND|6aLIT|7RCR|9DUST
71	14143 81242	   	263.13	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|28VULN|3aLIT|4MBVNT|5MLV|6DMG|7RCR|9DUST
72	66114 13123	 * 	263.06	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1ASPD|27DMG|3VULN|4FEWX|5MLV|6RPLT|89LIT|aRCR
73	66141 13123	   	263.06	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1ASPD|27DMG|3VULN|4MLV|5LHND|6RPLT|89LIT|aRCR
74	66124 13123	   	262.96	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1ASPD|27DMG|3VULN|4DUST|5MLV|6RPLT|89LIT|aRCR
75	24531 14232	   	262.71	DCR|2LIT|3VULN|1ASPD|1CDMG	19BEXP|29aVULN|3RMIN|4CDMG|5ASPD|6RCR|79LIT|8RCVC|9BPWR
76	34531 14332	   	262.51	DCR|2LIT|3VULN|2DUR|1ASPD|1CDMG	19DUR|29aVULN|38RMIN|4CDMG|5ASPD|6RCR|79LIT|9BPWR
77	14115 16112	 * 	262.28	DCR|3LIT|2VULN|1DMG|1CDMG	1ERES|25VULN|35aLIT|4RPLT|5BPWR|6CDMG|7RCR|8LWND|9DMG
78	14115 16212	   	262.18	DCR|3LIT|2VULN|1DMG|1CDMG	1ERES|25VULN|35aLIT|4RPLT|5BPWR|6CDMG|7RCR|8MBVNT|9DMG
79	62234 21343	   	261.36	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	13ASPD|25LWND|45VULN|5BPWR|6RPLT|7DMG|8LIT|9MLV|aRCR
80	64231 21343	   	261.26	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	13ASPD|24VULN|5LWND|6RPLT|7DMG|8LIT|9MLV|aRCR
81	36123 26262	   	260.97	ACR|2LIT|3VULN|1MLV|1DMG|2DUR	19DUR|2DMG|39LIT|4RCR|5MLV|6TLV|789VULN|9BPWR|aCGEN
82	36123 26261	   	260.87	ACR|2LIT|3VULN|1MLV|1DMG|2DUR	19DUR|2DMG|39LIT|4RCR|5MLV|6TLV|789VULN|9BPWR|aERES
83	66134 31233	   	260.50	DCR|3VULN|1LIT|1DMG|1AART|1ASPD	1ASPD|2DMG|389VULN|4CGEN|5LWND|6LIT|7RCR|aAART
84	66321 61233	   	260.50	DCR|3VULN|1LIT|1DMG|1AART|1ASPD	1ASPD|2DMG|3CGEN|4LIT|589VULN|6LWND|7RCR|aAART
85	66334 31233	   	260.50	DCR|3VULN|1LIT|1DMG|1AART|1ASPD	1ASPD|2DMG|3CGEN|489VULN|5LWND|6LIT|7RCR|aAART
86	26152 12421	   	260.48	DCR|3LIT|2VULN|1DMG|1CDMG	1BEXP|2DMG|359LIT|4CDMG|6aVULN|7LHND|8RCR
87	34236 21421	   	260.38	DCR|3LIT|2VULN|1DMG|1CDMG|1DUR	1DUR|2aVULN|349LIT|5DMG|6CDMG|7BEXP|8RCR
88	36152 11421	   	260.38	DCR|3LIT|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|359LIT|4CDMG|6aVULN|7BEXP|8RCR
89	36152 33421	   	260.28	DCR|3LIT|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|359LIT|4CDMG|6DUST|7aVULN|8RCR
90	61152 11422	   	259.96	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|2FEWX|359LIT|4CDMG|6VULN|7BEXP|8RCR|aMLV
91	62152 11422	   	259.96	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|2LWND|359LIT|4CDMG|6VULN|7BEXP|8RCR|aMLV
92	61152 33422	   	259.86	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|2FEWX|359LIT|4CDMG|6DUST|7VULN|8RCR|aMLV
93	62152 33422	   	259.86	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|2LWND|359LIT|4CDMG|6DUST|7VULN|8RCR|aMLV
94	14515 24242	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|28VULN|3MLV|4BEXP|5DMG|6MBVNT|7aLIT|9RCR
95	14122 12224	 * 	259.38	DCR|2LIT|2VULN|1MLV|3ZMB|1SELL	157ERES|28VULN|37LIT|457ZMB|57BPWR|6SELL|9RCR|aMLV
96	66326 21333	   	259.12	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CGEN|45LIT|6MLV|7RMIN|8CDMG|9VULN|aRCR
97	14143 81314	   	259.04	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD|1CDMG	1ERES|2VULN|3LIT|4MBVNT|5MLV|69DMG|7RCR|8ASPD|aCDMG
98	13111 14353	   	258.91	DCR|2LIT|2VULN|1MLV|1CDMG	1ERES|2TLV|3aVULN|4aBEXP|5CDMG|6RCR|7aLIT|8CGEN|9MLV|aBPWR
99	24511 13342	   	258.81	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|27VULN|3RMIN|4CGEN|5CDMG|6RCR|8aLIT|9MLV
100	14112 35422	 * 	258.76	DCR|3LIT|2VULN|1MLV	1ERES|25VULN|39aLIT|4RPLT|6CGEN|7MLV|8RCR
101	34233 43342	   	258.52	DCR|3LIT|2VULN|1MLV|1DUR|1SELL	1DUR|27VULN|34aLIT|5BEXP|6SELL|8RCR|9MLV
102	64311 34371	   	258.22	ACR|2LIT|2VULN|3ASPD|1MLV	189ASPD|29VULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR|aLWND
103	64311 34372	   	258.22	ACR|2LIT|2VULN|3ASPD|1MLV	189ASPD|29VULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR|aBEXP
104	64311 34374	   	258.22	ACR|2LIT|2VULN|3ASPD|1MLV	189ASPD|29VULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR|aTLV
105	64311 34373	   	258.12	ACR|2LIT|2VULN|3ASPD|1MLV	189ASPD|29VULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR|aDUST
