0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24532 21352	5	 * 	307.98	DCR|5VULN|2DUR|1DMG|1TLV|1CDMG	1DMG|23568VULN|45DUR|5BPWR|7TLV|9CDMG|aRCR
18	24334 25312	8	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|278VULN|35FEWX|4CDMG|678ASPD|78BPWR|9RCR|aDUST
19	23525 31132	4	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1aDMG|2RMIN|357aVULN|4LWND|6RCR|8DUR|9aASPD|aBPWR
20	23555 31132	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1aDMG|2RMIN|357aVULN|4LWND|6RCR|8DUR|9aASPD|aBPWR
21	24125 31132	4	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1aDMG|257aVULN|3RMIN|4LWND|6RCR|8DUR|9aASPD|aBPWR
22	24155 31132	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1aDMG|257aVULN|3RMIN|4LWND|6RCR|8DUR|9aASPD|aBPWR
23	24215 31132	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1aDMG|257aVULN|3LWND|4RMIN|6RCR|8DUR|9aASPD|aBPWR
24	62315 31433	1	 * 	282.77	DCR|4VULN|3DUR|2TLV|1ASPD	18TLV|28aDUR|3578VULN|4RMIN|6RCR|8BPWR|9ASPD
25	22261 63232	1	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	18DMG|2DUR|38TLV|4BBNT|5RPLT|6RCR|789aVULN|8BPWR
26	24532 12311	5	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DMG|235VULN|45DUR|5BPWR|6TLV|7CGEN|9ASPD|aRCR
27	24532 31311	5	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DMG|235VULN|45DUR|5BPWR|6CGEN|7TLV|9ASPD|aRCR
28	24532 13311	5	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DMG|235VULN|45DUR|5BPWR|6TLV|7ERES|9ASPD|aRCR
29	24532 41311	6	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DMG|235VULN|45DUR|5BPWR|6ERES|7TLV|9ASPD|aRCR
30	24532 41311	8	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	17DMG|235VULN|45DUR|5BPWR|6ERES|8TLV|9ASPD|aRCR
31	24532 51311	5	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DMG|235VULN|45DUR|5BPWR|6ERES|7TLV|9ASPD|aRCR
32	24233 53151	9	 * 	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|289VULN|35LWND|4CDMG|6RCR|78aDUR|8BPWR
33	24233 53153	10	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|289VULN|35LWND|4CDMG|6RCR|78aDUR|8BPWR
34	24562 23211	3	   	280.25	DCR|4VULN|3DMG|1ASPD	147DMG|2348VULN|4BPWR|5LIT|6ZMB|9ASPD|aRCR
35	35234 31433	5	   	280.19	DCR|3VULN|3DUR|2TLV|1DMG|1ASPD	1RCVC|28TLV|3DMG|48aDUR|578VULN|6RCR|8BPWR|9ASPD
36	24532 31433	4	   	280.04	DCR|3VULN|3DMG|2DUR|1ASPD	18aDMG|237VULN|48DUR|58ERES|6RCR|8BPWR|9ASPD
37	62315 31412	1	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18TLV|28DUR|3578VULN|4RMIN|6RCR|8BPWR|9LHND|aDMG
38	62315 31422	1	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18TLV|28DUR|3578VULN|4RMIN|6RCR|8BPWR|9BEXP|aDMG
39	24336 51133	9	 * 	278.58	DCR|5VULN|2DMG|1CDMG	18DMG|2589aVULN|3FEWX|4CDMG|6RCR|78BEXP|8BPWR
40	24532 11351	5	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1DMG|2358VULN|45DUR|5BPWR|67TLV|9LHND|aRCR
41	24532 11361	5	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1DMG|2358VULN|45DUR|5BPWR|67TLV|9LWND|aRCR
42	24532 21251	5	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1DMG|2356VULN|45DUR|5BPWR|79TLV|8LHND|aRCR
43	24532 11311	5	   	278.40	DCR|4VULN|2DUR|2TLV|1DMG	1DMG|2358VULN|45DUR|5BPWR|67TLV|9DUST|aRCR
