0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35351 23362	7	 * 	297.95	DCR|4VULN|2DMG|2TLV|2DUR	159aVULN|28DMG|3RMIN|4aTLV|6RCR|7aDUR|aBPWR
21	35314 16233	2	 * 	284.48	DCR|3VULN|3DMG|2DUR|1TLV	135VULN|235DMG|35BPWR|4RCVC|6ZMB|79DUR|8TLV|aRCR
22	32121 34264	6	 * 	283.79	DCR|5VULN|3DUR|3CDMG	14789VULN|2LHND|378DUR|5DMSP|678CDMG|78BPWR|aRCR
23	32123 34234	6	   	283.79	DCR|5VULN|3DUR|3CDMG	14578VULN|29LHND|378DUR|678CDMG|78BPWR|aRCR
24	24481 45411	3	   	283.59	DCR|5VULN|3DUR|3CDMG	17aCDMG|2MBVNT|3457aVULN|679DUR|7aBPWR|8RCR
25	35314 42113	2	   	283.00	DCR|4VULN|3DMG|1TLV	1359VULN|235DMG|35BPWR|4RCVC|6TLV|7ASPD|8LHND|aRCR
26	35314 32325	2	   	282.90	DCR|4VULN|3DMG|1TLV	1358VULN|235DMG|35BPWR|4RCVC|6LIT|7BBNT|9TLV|aRCR
27	31444 35414	6	 * 	282.18	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	17aVULN|26TLV|3MBVNT|47CDMG|57DMG|7BPWR|8RCR|9DUR
28	31614 35414	6	   	282.18	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	17aVULN|26TLV|37CDMG|4MBVNT|57DMG|7BPWR|8RCR|9DUR
29	31447 44354	9	   	282.16	DCR|4VULN|2TLV|2DUR|1CDMG	179aVULN|29TLV|3MBVNT|4CDMG|5LIT|6RCR|89DUR|9BPWR
30	31617 44354	9	   	282.16	DCR|4VULN|2TLV|2DUR|1CDMG	179aVULN|29TLV|3CDMG|4MBVNT|5LIT|6RCR|89DUR|9BPWR
31	31643 12135	9	 * 	282.12	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aLIT
32	35112 64231	2	 * 	281.79	DCR|3VULN|3DMG|3TLV|2CDMG	178VULN|278DMG|34CDMG|59LWND|678TLV|78BPWR|aRCR
33	31414 21528	5	 * 	281.44	DCR|3VULN|3DMG|2TLV|3LIT|1SELL	179VULN|29TLV|3MBVNT|4SELL|578DMG|679LIT|79BPWR|aRCR
34	31447 44352	9	   	281.17	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	179VULN|29TLV|3MBVNT|4CDMG|5LIT|6RCR|89DUR|9BPWR|aDMG
35	31617 44352	9	   	281.17	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	179VULN|29TLV|3CDMG|4MBVNT|5LIT|6RCR|89DUR|9BPWR|aDMG
36	32513 13246	4	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	158aVULN|2LHND|38DMG|4CDMG|6LWND|78TLV|8BPWR|9RCR
37	31643 42121	9	 * 	280.27	DCR|4VULN|2TLV|2DUR|2CDMG	1478VULN|25TLV|38CDMG|68DUR|8BPWR|9BEXP|aRCR
38	31643 42131	9	   	280.27	DCR|4VULN|2TLV|2DUR|2CDMG	1478VULN|25TLV|38CDMG|68DUR|8BPWR|9LHND|aRCR
39	35351 23262	7	 * 	280.27	DCR|4VULN|3TLV|2DUR|1DMG	159aVULN|2DMG|3RMIN|48aTLV|6RCR|7aDUR|aBPWR
40	31433 41141	1	   	280.19	DCR|3VULN|2DMG|2TLV|1DUR	148VULN|28TLV|3AART|5DUST|6DUR|78DMG|8BPWR|9LIT|aRCR
41	31433 41141	2	   	280.19	DCR|3VULN|2DMG|2TLV|1DUR	148VULN|28TLV|3AART|5DUST|6DUR|78DMG|8BPWR|9LIT|aRCR
42	33331 23123	1	 * 	279.45	DCR|5VULN|2DMG|2CDMG	14579VULN|29CDMG|3LHND|6LIT|89DMG|9BPWR|aRCR
43	36331 23123	2	   	279.45	DCR|5VULN|2DMG|2CDMG	14579VULN|29CDMG|3LHND|6LIT|89DMG|9BPWR|aRCR
44	35351 32142	2	 * 	279.43	DCR|4VULN|3DMG|2DUR	135aVULN|23aDMG|3aBPWR|47DUR|6MLV|8RCR|9aZMB
45	31444 27324	5	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|3MBVNT|49CDMG|5DMG|6LIT|7RCR|89DUR|9BPWR
46	31444 87324	6	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|3MBVNT|49CDMG|5DMG|6LIT|7RCR|89DUR|9BPWR
47	31444 88324	7	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|3MBVNT|49CDMG|5DMG|6LIT|7RCR|89DUR|9BPWR
48	31447 27324	4	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|3MBVNT|49CDMG|5DMG|6LIT|7RCR|89DUR|9BPWR
49	31447 45324	7	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|3MBVNT|49CDMG|5LIT|6RCR|7DMG|89DUR|9BPWR
50	31447 48324	6	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|3MBVNT|49CDMG|5LIT|6RCR|7DMG|89DUR|9BPWR
51	31614 27324	5	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|39CDMG|4MBVNT|5DMG|6LIT|7RCR|89DUR|9BPWR
52	31614 87324	6	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|39CDMG|4MBVNT|5DMG|6LIT|7RCR|89DUR|9BPWR
53	31614 88324	7	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|39CDMG|4MBVNT|5DMG|6LIT|7RCR|89DUR|9BPWR
54	31617 27324	4	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|39CDMG|4MBVNT|5DMG|6LIT|7RCR|89DUR|9BPWR
55	31617 45324	7	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|39CDMG|4MBVNT|5LIT|6RCR|7DMG|89DUR|9BPWR
56	31617 48324	6	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19aVULN|2TLV|39CDMG|4MBVNT|5LIT|6RCR|7DMG|89DUR|9BPWR
57	32123 42263	10	 * 	277.65	DCR|5VULN|3DUR|1DMG	14578VULN|28LHND|368DUR|8BPWR|9DMG|aRCR
58	35311 23636	10	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	15aVULN|2aDMG|3RMIN|4CGEN|6RCR|78DUR|9aTLV|aBPWR
59	35322 23362	7	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|28DMG|34RMIN|5aTLV|6RCR|7aDUR|aBPWR
60	35351 23352	7	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	15aVULN|28DMG|3RMIN|4aTLV|6RCR|7aDUR|9RCVC|aBPWR
61	35131 23163	2	   	276.90	DCR|4VULN|3DMG|2LIT|1CDMG	1579VULN|289DMG|3CDMG|4ERES|69LIT|9BPWR|aRCR
62	31643 12143	9	   	275.98	DCR|5VULN|3TLV|2CDMG	14789VULN|258TLV|38CDMG|6RCR|8BPWR|aLIT
63	11125 22366	10	   	275.87	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1FEWX|249VULN|3DUR|5DUST|69DMG|7CDMG|89TLV|9BPWR|aRCR
64	32513 13242	4	   	275.37	DCR|3VULN|3DMG|2TLV|1CDMG	158VULN|2LHND|38aDMG|4CDMG|6LWND|78TLV|8BPWR|9RCR
65	32563 13242	3	   	275.37	DCR|3VULN|3DMG|2TLV|1CDMG	158VULN|2LHND|38aDMG|4CDMG|6LWND|78TLV|8BPWR|9RCR
66	36231 53325	3	   	275.36	DCR|4VULN|3DUR|2CDMG|2ASPD	145aVULN|23CDMG|6aASPD|7RCR|89aDUR|aBPWR
67	31561 22362	8	   	275.09	DCR|4VULN|2DMG|1TLV|2ASPD|1NUKE	159aVULN|2TLV|3NUKE|4aDMG|6RCR|7RMIN|8aASPD|aBPWR
68	31561 23252	8	   	274.79	DCR|4VULN|3DMG|1TLV|1NUKE	158aVULN|2TLV|3NUKE|48aDMG|6RCR|78aLHND|8aBPWR|9RCVC
69	35314 15213	2	   	274.69	DCR|4VULN|3DMG|1TLV	1359VULN|235DMG|35BPWR|4RCVC|6ZMB|7LWND|8TLV|aRCR
70	31561 22362	6	   	274.59	DCR|4VULN|3DMG|1TLV|1NUKE	159aVULN|2TLV|3NUKE|48aDMG|6RCR|7aBEXP|aBPWR
71	31411 46372	3	   	274.59	DCR|4VULN|3DMG|1TLV	179aVULN|2TLV|3MBVNT|48aDMG|5aZMB|6RCR|aBPWR
72	35321 43214	2	   	274.59	DCR|4VULN|3DMG|1TLV	1359VULN|238DMG|3BPWR|4FEWX|6RCR|7RCVC|aTLV
73	11165 22131	7	   	274.09	DCR|5VULN|2DUR|1DMG	17FEWX|2567aVULN|37DUR|4AART|7BPWR|8RCR|9DMG
74	32123 12131	7	   	274.09	DCR|5VULN|2DUR|1DMG	1457aVULN|27LHND|37DUR|6AART|7BPWR|8RCR|9DMG
75	31441 18133	4	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	189aVULN|28TLV|3MBVNT|4CDMG|5CGEN|68DUR|7RCR|8BPWR
76	31441 18133	5	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	189aVULN|28TLV|3MBVNT|4CDMG|5CGEN|68DUR|7RCR|8BPWR
77	31471 18133	3	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	189aVULN|28TLV|3MBVNT|4CDMG|5CGEN|68DUR|7RCR|8BPWR
78	31611 18133	4	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	189aVULN|28TLV|3CDMG|4MBVNT|5CGEN|68DUR|7RCR|8BPWR
79	31611 18133	5	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	189aVULN|28TLV|3CDMG|4MBVNT|5CGEN|68DUR|7RCR|8BPWR
80	31643 12131	9	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aRPLT
81	31643 12131	10	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aFEWX
82	31643 12132	10	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aBEXP
83	31643 12133	10	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aRCVC
84	31643 12133	9	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aBEXP
85	31643 12134	9	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aRMIN
86	31643 12136	10	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aCGEN
87	31643 12136	9	   	273.81	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aRCVC
88	31643 12132	9	   	273.71	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aDUST
89	31643 12134	10	   	273.71	DCR|5VULN|3TLV|3CDMG	14789VULN|258TLV|389CDMG|6RCR|89BPWR|aDUST
90	24423 27326	3	   	273.66	DCR|4VULN|3DUR|3CDMG	19aCDMG|2MBVNT|369aVULN|4LIT|5LWND|7RCR|89aDUR|9aBPWR
91	32123 15622	3	 * 	273.53	DCR|4VULN|3DUR|3TLV	1679VULN|2LHND|379DUR|4BBNT|579TLV|79BPWR|8DMSP|aRCR
92	32523 15622	2	   	273.53	DCR|4VULN|3DUR|3TLV	1679VULN|2LHND|379DUR|4BBNT|579TLV|79BPWR|8DMSP|aRCR
93	31414 27524	5	 * 	273.26	DCR|3VULN|3DMG|1TLV|3LIT|1SELL	19aVULN|2TLV|3MBVNT|4SELL|59aDMG|69aLIT|7RCR|8LEGI|9aBPWR
94	35351 43222	2	   	273.23	DCR|4VULN|2DMG|2DUR	135aVULN|23DMG|3BPWR|48DUR|6RCR|7BELT|9AART
95	31444 35412	6	   	273.14	DCR|2VULN|3DMG|2TLV|2CDMG|1DUR	17VULN|26TLV|3MBVNT|47CDMG|57aDMG|7BPWR|8RCR|9DUR
96	31614 35412	6	   	273.14	DCR|2VULN|3DMG|2TLV|2CDMG|1DUR	17VULN|26TLV|37CDMG|4MBVNT|57aDMG|7BPWR|8RCR|9DUR
97	32231 23123	2	   	273.14	DCR|5VULN|2DMG|1CDMG	14579VULN|29LHND|3CDMG|6LIT|89DMG|9BPWR|aRCR
98	35231 23123	1	   	273.14	DCR|5VULN|2DMG|1CDMG	14579VULN|29LHND|3CDMG|6LIT|89DMG|9BPWR|aRCR
99	35314 16313	2	   	273.05	DCR|4VULN|3DMG|1DUR	1359VULN|235DMG|35BPWR|4RCVC|6ZMB|7DUR|8ASPD|aRCR
100	31441 18132	5	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	189VULN|28TLV|3MBVNT|4CDMG|5CGEN|68DUR|7RCR|8BPWR|aDMG
101	31441 18132	4	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	189VULN|28TLV|3MBVNT|4CDMG|5CGEN|68DUR|7RCR|8BPWR|aDMG
102	31471 18132	3	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	189VULN|28TLV|3MBVNT|4CDMG|5CGEN|68DUR|7RCR|8BPWR|aDMG
103	31611 18132	5	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	189VULN|28TLV|3CDMG|4MBVNT|5CGEN|68DUR|7RCR|8BPWR|aDMG
104	31611 18132	4	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	189VULN|28TLV|3CDMG|4MBVNT|5CGEN|68DUR|7RCR|8BPWR|aDMG
105	25214 83226	8	 * 	272.67	DCR|3VULN|3DUR|3CDMG|1DMG	19aCDMG|2ZMB|39aDUR|4MBVNT|5DMG|6LIT|79aVULN|8RCR|9aBPWR
106	35322 23662	8	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	19aVULN|2DMG|34RMIN|5aTLV|6RCR|78aDUR|aBPWR
107	24481 45434	3	   	272.53	DCR|5VULN|2DUR|2CDMG	17CDMG|2MBVNT|3457aVULN|67DUR|7BPWR|8RCR|9ASPD
108	11165 11141	5	   	272.21	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|258VULN|3DUR|4AART|6TLV|78DMG|8BPWR|9LIT|aRCR
109	36236 25213	3	 * 	272.09	DCR|4VULN|2DUR|3CDMG|1DMG	1489VULN|238CDMG|5DMG|6MLV|78DUR|8BPWR|aRCR
110	36223 64313	3	 * 	272.07	DCR|3VULN|2DMG|2TLV|3CDMG	179VULN|237CDMG|4LWND|58DMG|67TLV|7BPWR|aRCR
111	32316 56322	1	 * 	271.60	DCR|3VULN|3DMG|3DUR	17aVULN|2BELT|37aDMG|4FEWX|5BEXP|67aDUR|7aBPWR|8MBVNT|9RCR
112	32311 56322	1	   	271.50	DCR|3VULN|3DMG|3DUR	17aVULN|2BELT|37aDMG|4FEWX|5DUST|67aDUR|7aBPWR|8MBVNT|9RCR
113	35312 44123	2	   	271.50	DCR|3VULN|3DMG|3DUR	139VULN|239DMG|39BPWR|4RCVC|59aDUR|6RCR|7BBNT|8DMSP
114	35312 44323	2	   	271.50	DCR|3VULN|3DMG|3DUR	139VULN|239DMG|39BPWR|48RCVC|59aDUR|6RCR|7BBNT
115	32233 63436	2	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	149aVULN|2LHND|3CDMG|5DMG|6DUR|7TLV|8RCR
116	33333 63436	1	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	149aVULN|2CDMG|3LHND|5DMG|6DUR|7TLV|8RCR
117	31443 47272	10	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	169VULN|2TLV|3MBVNT|49CDMG|5LHND|7DMG|89DUR|9BPWR|aRCR
118	31613 47272	10	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	169VULN|2TLV|39CDMG|4MBVNT|5LHND|7DMG|89DUR|9BPWR|aRCR
119	24442 45531	5	 * 	270.40	DCR|3VULN|3DUR|1TLV|3CDMG	157CDMG|2MBVNT|357VULN|4RCVC|57BPWR|679DUR|8RCR|aTLV
120	24671 11132	8	   	270.40	DCR|3VULN|3DUR|1TLV|3CDMG	19aCDMG|2MBVNT|3RPLT|4TLV|5LEGI|6RCR|79aVULN|89aDUR|9aBPWR
121	24231 45531	3	   	270.30	DCR|3VULN|3DUR|1TLV|3CDMG	137CDMG|2MBVNT|457VULN|679DUR|7BPWR|8RCR|aTLV
122	31422 72122	6	   	270.03	DCR|3VULN|3DMG|3TLV	189VULN|289TLV|3MBVNT|4LIT|5BEXP|689DMG|7RPLT|89BPWR|aRCR
123	35314 42213	2	   	270.03	DCR|3VULN|3DMG|2TLV	135VULN|235DMG|35BPWR|4RCVC|68TLV|7ASPD|9BEXP|aRCR
124	31413 85224	8	   	269.79	DCR|3VULN|3DMG|3TLV|1SELL	19aVULN|29aTLV|3MBVNT|4SELL|5LHND|6LIT|79aDMG|8RCR|9aBPWR
125	31417 35224	8	   	269.79	DCR|3VULN|3DMG|3TLV|1SELL	19aVULN|29aTLV|3MBVNT|4SELL|5LIT|6LHND|79aDMG|8RCR|9aBPWR
126	31561 14213	7	   	269.59	DCR|3VULN|3DMG|1TLV|1DUR|1NUKE	159VULN|2TLV|3NUKE|468DMG|7DUR|aRCR
127	31561 16213	6	   	269.59	DCR|3VULN|3DMG|1TLV|1DUR|1NUKE	159VULN|2TLV|3NUKE|468DMG|7DUR|aRCR
128	32233 13246	2	 * 	269.50	DCR|4VULN|2TLV|1DMG|2CDMG	148aVULN|2LHND|38CDMG|5DMG|6LWND|78TLV|8BPWR|9RCR
129	32253 13246	2	   	269.50	DCR|4VULN|2TLV|1DMG|2CDMG	158aVULN|2LHND|38CDMG|4DMG|6LWND|78TLV|8BPWR|9RCR
130	35233 13246	1	   	269.50	DCR|4VULN|2TLV|1DMG|2CDMG	148aVULN|2LHND|38CDMG|5DMG|6LWND|78TLV|8BPWR|9RCR
131	31511 14533	10	   	269.40	DCR|4VULN|2TLV|1DMG|2CDMG|1NUKE	1589VULN|29TLV|3NUKE|4CGEN|6DMG|79CDMG|9BPWR|aRCR
132	31643 12112	9	 * 	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9MLV|aDMG
133	31643 12114	8	   	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9FEWX|aDMG
134	31643 12124	8	   	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9LHND|aDMG
135	31643 12124	9	   	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9LWND|aDMG
136	31643 12134	8	   	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9LWND|aDMG
137	31643 12142	8	   	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9CGEN|aDMG
138	32123 12133	7	   	269.39	DCR|4VULN|2DUR|1DMG|1CDMG	1457VULN|27LHND|37DUR|6AART|7BPWR|8RCR|9DMG|aCDMG
139	35351 21226	8	   	269.38	DCR|3VULN|2DMG|2TLV|1CDMG	159VULN|29DMG|3RMIN|49TLV|6RCR|7RCVC|8AART|9BPWR|aCDMG
140	35351 22226	8	   	269.38	DCR|3VULN|2DMG|2TLV|1CDMG	159VULN|29DMG|37RMIN|49TLV|6RCR|8AART|9BPWR|aCDMG
141	31643 12162	8	   	269.30	DCR|4VULN|3TLV|1DMG|2CDMG	1478VULN|258TLV|38CDMG|6RCR|8BPWR|9BBNT|aDMG
142	31561 21226	8	   	269.28	DCR|3VULN|2DMG|2TLV|1CDMG|1NUKE	159VULN|29TLV|3NUKE|49DMG|6RCR|7RCVC|8AART|9BPWR|aCDMG
143	31153 45222	1	   	269.20	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	18VULN|2TLV|3SELL|458DMG|6RCVC|78DUR|8BPWR|9AART|aRCR
144	31153 45222	2	   	269.20	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	18VULN|2TLV|3SELL|458DMG|6RCVC|78DUR|8BPWR|9AART|aRCR
145	21226 21535	2	 * 	269.10	DCR|2VULN|2DMG|2DUR|2CDMG|2ASPD|2LIT	17CDMG|2aASPD|37VULN|4FEWX|5aDMG|67LIT|7aBPWR|8aDUR|9RCR
146	35221 24143	7	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18aVULN|28DMG|3CGEN|4RPLT|5DUR|6RCR|78LIT|8BPWR|9TLV
147	35221 25143	6	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18aVULN|28DMG|3CGEN|4RPLT|5DUR|6RCR|78LIT|8BPWR|9TLV
148	31643 14232	7	   	269.09	DCR|3VULN|2TLV|2CDMG|2ASPD|1DUR	148VULN|25TLV|38CDMG|6RCR|78ASPD|8BPWR|9LIT|aDUR
149	31432 21265	2	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG	14aVULN|2TLV|3AART|5aERES|6LIT|7DMG|8aDUR|9RCR|aBPWR
150	31432 21265	1	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG	14aVULN|2TLV|3AART|5aERES|6LIT|7DMG|8aDUR|9RCR|aBPWR
151	35431 36222	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|29DMG|3RPLT|5CGEN|6TLV|7RMIN|89DUR|9BPWR|aRCR
152	35351 22136	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2aDMG|3RMIN|4TLV|6RCR|7LWND|8LEGI|9aDUR|aBPWR
153	35351 42231	2	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	135VULN|23DMG|3BPWR|49DUR|6RCR|7aBEXP|8TLV
154	35351 42233	2	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	135VULN|23DMG|3BPWR|49DUR|6RCR|7BEXP|8TLV|aFEWX
155	35651 23231	8	   	268.70	DCR|4VULN|2DMG|1TLV	158aVULN|28DMG|3ZMB|4TLV|6RCR|78LHND|8BPWR|9AART
156	36211 66213	3	 * 	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	158VULN|239CDMG|48DUR|6RMIN|78DMG|8BPWR|aRCR
157	31323 52215	9	   	268.61	DCR|4VULN|2TLV|2DUR	1578VULN|28TLV|34RMIN|68DUR|8BPWR|9LIT|aRCR
158	31323 52235	8	   	268.61	DCR|4VULN|2TLV|2DUR	1578VULN|28TLV|34RMIN|68DUR|8BPWR|9LIT|aRCR
159	31561 23231	8	   	268.60	DCR|4VULN|2DMG|1TLV|1NUKE	158aVULN|2TLV|3NUKE|48DMG|6RCR|78LHND|8BPWR|9AART
160	31561 23251	9	   	268.60	DCR|4VULN|2DMG|1TLV|1NUKE	158aVULN|2TLV|3NUKE|48DMG|6RCR|78LHND|8BPWR|9AART
161	31134 23163	1	   	268.26	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	179VULN|2TLV|3SELL|4RCVC|589DMG|69LIT|9BPWR|aRCR
162	31134 23163	2	   	268.26	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	179VULN|2TLV|3SELL|4RCVC|589DMG|69LIT|9BPWR|aRCR
163	31151 41163	2	   	268.26	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	159VULN|2TLV|3SELL|489DMG|6RCVC|79LIT|9BPWR|aRCR
