0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14523 23341	7	 * 	298.76	DCR|3VULN|3DMG|2DUR|2ASPD	129DMG|349VULN|56DUR|7LIT|89ASPD|9BPWR|aRCR
91	12562 22543	3	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aDMSP
92	12612 22546	4	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aBBNT
93	14523 24544	3	   	269.14	DCR|3VULN|3DMG|2DUR	129DMG|389VULN|4MLV|5BEXP|6MBVNT|79DUR|9BPWR|aRCR
94	14523 27144	3	   	269.14	DCR|3VULN|3DMG|2DUR	129DMG|379VULN|4MLV|5BEXP|6MBVNT|89DUR|9BPWR|aRCR
95	11112 54447	1	   	269.14	DCR|3VULN|3DMG|3ASPD	19aDMG|2MBVNT|3ERES|4DMSP|5BELT|69aASPD|7RCR|89aVULN|9aBPWR
96	11112 74647	1	   	269.14	DCR|3VULN|3DMG|3ASPD	19aDMG|2MBVNT|3ERES|4DMSP|5BELT|69aVULN|7RCR|89aASPD|9aBPWR
97	15112 54447	3	   	269.14	DCR|3VULN|3DMG|3ASPD	19aDMG|2ERES|3MBVNT|4DMSP|5BELT|69aASPD|7RCR|89aVULN|9aBPWR
98	12512 22546	4	   	269.04	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aBBNT
99	11258 13116	1	   	269.04	DCR|3VULN|3DMG|2DUR	15aDMG|2MBVNT|3DMSP|4aDUR|6DLOT|78aVULN|9RCR|aBPWR
100	14531 24544	5	   	269.04	DCR|3VULN|3DMG|2DUR	129DMG|389VULN|4ERES|5BEXP|6MBVNT|79DUR|9BPWR|aRCR
101	14533 24544	4	   	269.04	DCR|3VULN|3DMG|2DUR	129DMG|389VULN|4ERES|5BEXP|6MBVNT|79DUR|9BPWR|aRCR
102	14535 11144	7	   	269.04	DCR|3VULN|3DMG|2DUR	129DMG|359VULN|4ERES|6BEXP|7MBVNT|89DUR|9BPWR|aRCR
103	15251 13315	7	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	147DMG|27ERES|3CDMG|59VULN|67aDUR|7BPWR|8RCR
104	12612 22544	4	   	268.99	DCR|3VULN|3DMG|2DUR|1SELL	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aSELL
105	12662 22544	3	   	268.99	DCR|3VULN|3DMG|2DUR|1SELL	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aSELL
106	12512 22544	4	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aSELL
107	12562 22544	3	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aSELL
