0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23822 42278	9	 * 	302.60	DCR|4VULN|3DUR|3ASPD|2CDMG	1MBVNT|247aVULN|38CDMG|57aASPD|67aDUR|7aBPWR|9RCR
22	26515 14112	1	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|258aVULN|3aDUR|4LHND|6CDMG|7RCR|9aDMG|aBPWR
23	23827 11744	6	   	289.45	DCR|4VULN|3DMG|2LIT|1CDMG	1MBVNT|246aVULN|3CDMG|5aLIT|7RCR|89aDMG|aBPWR
24	23822 42127	9	   	286.56	DCR|4VULN|3DUR|2ASPD|1CDMG	1MBVNT|2479VULN|3CDMG|57ASPD|678DUR|7BPWR|aRCR
25	23822 42157	8	   	286.56	DCR|4VULN|3DUR|2ASPD|1CDMG	1MBVNT|2479VULN|3CDMG|57ASPD|678DUR|7BPWR|aRCR
26	23822 48147	9	   	286.56	DCR|4VULN|3DUR|2ASPD|1CDMG	1MBVNT|2479VULN|3CDMG|59ASPD|689DUR|9BPWR|aRCR
27	31221 42335	4	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	17LHND|2467VULN|3RMIN|567DUR|67BPWR|8DMG|9CDMG|aRCR
28	11212 42335	3	   	285.41	DCR|4VULN|3DUR|1DMG|1CDMG	17DUST|2567VULN|3RMIN|467DUR|67BPWR|8DMG|9CDMG|aRCR
29	23852 32722	10	   	285.36	DCR|2VULN|3DMG|3DUR|1TLV|1CDMG	1MBVNT|27VULN|3CDMG|479DUR|567DMG|7BPWR|8RCR|aTLV
30	23826 42334	9	   	285.09	DCR|5VULN|3DUR|1CDMG	1MBVNT|24789VULN|3CDMG|578ZMB|678DUR|78BPWR|aRCR
31	23826 42338	10	   	285.09	DCR|5VULN|3DUR|1CDMG	1MBVNT|24789VULN|3CDMG|578ZMB|678DUR|78BPWR|aRCR
32	23854 62334	9	   	285.09	DCR|5VULN|3DUR|1CDMG	1MBVNT|26789VULN|3CDMG|478DUR|578ZMB|78BPWR|aRCR
33	25834 64432	8	   	284.79	DCR|5VULN|2DMG|2TLV	1MBVNT|2aTLV|3BEXP|4568aVULN|7aDMG|9RCR|aBPWR
34	21127 55134	5	   	282.77	DCR|4VULN|3DUR|1DMG|1ASPD	1MBVNT|2CGEN|356DUR|456aVULN|56BPWR|7ASPD|8DMG|9RCR
35	23224 36432	8	 * 	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	1MBVNT|248aVULN|3RMIN|5TLV|6aDMG|7aASPD|9RCR|aBPWR
36	23852 32723	8	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	1MBVNT|27aVULN|3CDMG|47DUR|567DMG|7BPWR|8RCR|9LEGI
37	23852 32743	9	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	1MBVNT|27aVULN|3CDMG|47DUR|567DMG|7BPWR|8RCR|9DUST
38	31631 22236	6	   	282.66	DCR|3VULN|3DMG|3DUR	179LHND|289VULN|3RCVC|457DUR|679DMG|79BPWR|aRCR
39	23325 63514	8	   	282.56	DCR|3VULN|3DMG|3DUR	1MBVNT|29aVULN|3LWND|4BELT|59aDUR|6RCR|79aDMG|8RMIN|9aBPWR
40	23325 63314	8	   	282.46	DCR|3VULN|3DMG|3DUR|1NUKE	1MBVNT|29aVULN|3LWND|4BELT|59aDUR|6RCR|79aDMG|8NUKE|9aBPWR
41	23365 63314	8	   	282.46	DCR|3VULN|3DMG|3DUR|1NUKE	1MBVNT|29aVULN|3LWND|49aDUR|5BELT|6RCR|79aDMG|8NUKE|9aBPWR
42	23542 28442	5	   	282.46	DCR|3VULN|3DMG|3DUR	1MBVNT|26aVULN|3RPLT|4RCVC|56aDMG|6aBPWR|78aDUR|9RCR
43	11215 35126	2	   	282.26	DCR|3VULN|3DMG|3DUR|1NUKE	178DUST|29aVULN|3NUKE|479DUR|579DMG|6RCR|79BPWR
44	23855 44112	4	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|268aVULN|3aCDMG|4DUR|5LHND|7RCR|9aDMG|aBPWR
45	23856 14112	6	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|258aVULN|3aCDMG|4DUR|6LHND|7RCR|9aDMG|aBPWR
46	23883 44112	5	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|268aVULN|3aCDMG|4LHND|5DUR|7RCR|9aDMG|aBPWR
47	23883 74112	6	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|268aVULN|3aCDMG|4LHND|5DUR|7RCR|9aDMG|aBPWR
48	23856 34112	6	   	281.40	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|258aVULN|3aCDMG|4DUR|6DUST|7RCR|9aDMG|aBPWR
49	24825 22327	9	   	281.01	DCR|4VULN|3DMG|2CDMG	1MBVNT|27LHND|35CDMG|4579VULN|57BPWR|678DMG|aRCR
50	23584 14112	2	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|28aVULN|34aDUR|5DUST|6CDMG|7RCR|9aDMG|aBPWR
51	26584 14112	1	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|28aVULN|34aDUR|5DUST|6CDMG|7RCR|9aDMG|aBPWR
52	23822 42184	10	   	280.17	DCR|3VULN|3DUR|2ASPD|1TLV|1CDMG	1MBVNT|247VULN|3CDMG|57ASPD|678DUR|7BPWR|9TLV|aRCR
53	23832 42278	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	1MBVNT|27aVULN|38CDMG|4RCVC|57aASPD|67aDUR|7aBPWR|9RCR
54	23852 22744	5	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1MBVNT|26aVULN|3CDMG|4DUR|56DMG|6BPWR|7ASPD|8TLV|9RCR
55	23822 42275	10	   	279.65	DCR|4VULN|2DUR|2ASPD|2CDMG	1MBVNT|247aVULN|38CDMG|57ASPD|67DUR|7BPWR|9RCR
56	23822 42276	9	   	279.65	DCR|4VULN|2DUR|2ASPD|2CDMG	1MBVNT|247aVULN|38CDMG|57ASPD|67DUR|7BPWR|9RCR
57	23855 14112	6	 * 	279.59	DCR|3VULN|2DMG|2DUR|3CDMG	1MBVNT|28aVULN|35aCDMG|45DUR|5aBPWR|6LHND|7RCR|9aDMG
58	23855 34112	6	   	279.49	DCR|3VULN|2DMG|2DUR|3CDMG	1MBVNT|28aVULN|35aCDMG|45DUR|5aBPWR|6DUST|7RCR|9aDMG
59	23852 32721	9	   	278.77	DCR|2VULN|3DMG|3DUR|1CDMG	1MBVNT|27VULN|3CDMG|479DUR|567DMG|7BPWR|8RCR|aAART
60	23823 42618	10	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1MBVNT|2479VULN|37CDMG|5RMIN|67DUR|7BPWR|8DMG|aRCR
61	23823 48318	10	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1MBVNT|2478VULN|38CDMG|5RMIN|68DUR|8BPWR|9DMG|aRCR
62	23172 51741	1	   	278.08	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|2AART|39aVULN|49ASPD|5DUR|6LIT|79DMG|8RCR|9BPWR
63	23224 85634	9	   	277.98	DCR|5VULN|2DUR|2TLV	1MBVNT|2489aVULN|3RMIN|58TLV|6RCR|78DUR|8BPWR
64	23823 42378	10	   	277.90	DCR|4VULN|3DUR|3CDMG	1MBVNT|2478VULN|378CDMG|5RMIN|678DUR|78BPWR|9LHND|aRCR
65	62253 21263	2	   	277.90	DCR|4VULN|3DUR|3CDMG	1BELT|27aCDMG|3567VULN|457DUR|57BPWR|8LHND|9RCR
66	23813 62328	10	   	277.80	DCR|4VULN|3DUR|3CDMG	1MBVNT|2678VULN|378CDMG|4RMIN|578DUR|78BPWR|9DUST|aRCR
67	23823 42328	10	   	277.80	DCR|4VULN|3DUR|3CDMG	1MBVNT|2478VULN|378CDMG|5RMIN|678DUR|78BPWR|9DUST|aRCR
68	23852 32714	10	   	277.41	DCR|2VULN|3DMG|3DUR|1CDMG	1MBVNT|27VULN|3CDMG|47aDUR|567DMG|7BPWR|8RCR|9LIT
69	23822 42218	10	   	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	1MBVNT|247VULN|38CDMG|57ASPD|67DUR|7BPWR|9DMG|aRCR
70	23265 64432	8	   	276.26	DCR|4VULN|2DMG|2TLV|1ASPD	1MBVNT|268aVULN|3RMIN|4ASPD|5aTLV|7aDMG|9RCR|aBPWR
71	23542 62142	8	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|267aVULN|3RPLT|4RCVC|5aDMG|8aDUR|9RCR|aBPWR
72	23542 62342	7	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|267aVULN|3RPLT|4RCVC|5aDMG|8RCR|9aDUR|aBPWR
73	23542 62542	7	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|267aVULN|3RPLT|4RCVC|5aDMG|8aDUR|9RCR|aBPWR
74	23542 66342	6	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|267aVULN|3RPLT|4RCVC|5aDMG|8RCR|9aDUR|aBPWR
75	23722 75342	2	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|235aVULN|4RCVC|6RPLT|7aDMG|8RCR|9aDUR|aBPWR
76	23378 43644	2	   	276.02	DCR|4VULN|2DMG|2DUR	1MBVNT|267aVULN|3RPLT|4TBNT|5aDMG|8aDUR|9RCR|aBPWR
77	23361 74112	6	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1MBVNT|268aVULN|3LWND|4aDUR|5SELL|7RCR|9aDMG|aBPWR
78	23631 74112	6	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1MBVNT|268aVULN|3FEWX|4aDUR|5SELL|7RCR|9aDMG|aBPWR
79	23631 84112	5	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1MBVNT|268aVULN|3FEWX|4aDUR|5SELL|7RCR|9aDMG|aBPWR
80	23224 34732	8	 * 	275.77	DCR|3VULN|3DMG|2ASPD|1TLV	1MBVNT|24aVULN|3RMIN|5TLV|67aDMG|8aASPD|9RCR|aBPWR
81	23741 63434	10	   	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	1MBVNT|29aVULN|3BELT|49aDUR|5LHND|6RCR|7DMG|89aCDMG|9aBPWR
82	63541 63434	10	   	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	1BELT|2MBVNT|39aVULN|49aDUR|5LHND|6RCR|7DMG|89aCDMG|9aBPWR
83	23165 14112	2	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|258aVULN|3aLWND|4DUR|6CDMG|7RCR|9aDMG|aBPWR
84	23365 14112	3	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|258aVULN|3aLWND|4DUR|6CDMG|7RCR|9aDMG|aBPWR
85	23365 14112	4	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|258aVULN|3aLWND|4DUR|6CDMG|7RCR|9aDMG|aBPWR
86	23635 14112	4	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|258aVULN|3aFEWX|4DUR|6CDMG|7RCR|9aDMG|aBPWR
87	23636 74112	6	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|268aVULN|3aFEWX|4DUR|5CDMG|7RCR|9aDMG|aBPWR
88	23636 84112	5	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|268aVULN|3aFEWX|4DUR|5CDMG|7RCR|9aDMG|aBPWR
89	23685 14112	3	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|258aVULN|3aFEWX|4DUR|6CDMG|7RCR|9aDMG|aBPWR
90	24765 14112	2	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|2aLHND|358aVULN|4DUR|6CDMG|7RCR|9aDMG|aBPWR
91	26165 14112	1	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|258aVULN|3aLWND|4DUR|6CDMG|7RCR|9aDMG|aBPWR
92	31465 14112	3	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1aLHND|258aVULN|3MBVNT|4DUR|6CDMG|7RCR|9aDMG|aBPWR
93	31475 14112	4	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1aLHND|258aVULN|3MBVNT|4DUR|6CDMG|7RCR|9aDMG|aBPWR
94	41435 14112	4	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1aFEWX|258aVULN|3MBVNT|4DUR|6CDMG|7RCR|9aDMG|aBPWR
95	41663 24112	2	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1aFEWX|238aVULN|4CDMG|5DUR|6MBVNT|7RCR|9aDMG|aBPWR
96	11475 14112	4	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1aDUST|258aVULN|3MBVNT|4DUR|6CDMG|7RCR|9aDMG|aBPWR
97	11485 14112	3	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1aDUST|258aVULN|3MBVNT|4DUR|6CDMG|7RCR|9aDMG|aBPWR
98	24826 22327	9	   	274.59	DCR|4VULN|3DMG|1CDMG	1MBVNT|27LHND|3CDMG|4579VULN|678DMG|7BPWR|aRCR
99	23423 51741	6	   	274.42	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1MBVNT|29aVULN|39LIT|4AART|5DUR|6ASPD|79DMG|8RCR|9BPWR
100	23257 84112	3	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1MBVNT|28aVULN|3RMIN|4aASPD|5CDMG|6DUR|7RCR|9aDMG|aBPWR
101	23261 14112	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1MBVNT|28aVULN|3RMIN|4aASPD|5DUR|6CDMG|7RCR|9aDMG|aBPWR
102	23261 14112	6	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1MBVNT|28aVULN|3RMIN|4aASPD|5DUR|6CDMG|7RCR|9aDMG|aBPWR
103	23267 84112	4	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1MBVNT|28aVULN|3RMIN|4aASPD|5CDMG|6DUR|7RCR|9aDMG|aBPWR
104	23828 31744	5	   	273.12	DCR|3VULN|3DMG|2CDMG|2LIT	1MBVNT|24aVULN|35CDMG|6aLIT|7RCR|89aDMG|aBPWR
