0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33531 23545	8	 * 	308.13	DCR|4VULN|3DMG|3ASPD|1TLV	1MBVNT|2389VULN|489ASPD|5TLV|6LWND|789DMG|89BPWR|aRCR
44	33222 58227	8	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	1MBVNT|249aVULN|39aDUR|5DMG|6CDMG|7RCR|89aLHND|9aBPWR
45	33222 62728	6	   	285.29	DCR|3VULN|3DMG|3ASPD|1DUR	1MBVNT|24aVULN|3DUR|58aDMG|69aASPD|7RCR|aBPWR
46	24233 31136	4	   	285.18	DCR|2VULN|3DMG|3DUR|2TLV	139DUR|24aDMG|5aTLV|6aVULN|7RCR|8AART|aBPWR
47	24236 31136	5	   	285.18	DCR|2VULN|3DMG|3DUR|2TLV	139DUR|24aDMG|5aTLV|6aVULN|7RCR|8AART|aBPWR
48	33222 62328	6	 * 	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	1MBVNT|24aVULN|38DUR|5aDMG|69aASPD|7RCR|aBPWR
49	33512 62328	6	   	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	1MBVNT|23aVULN|48DUR|5aDMG|69aASPD|7RCR|aBPWR
50	33612 62328	6	   	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	1MBVNT|23aVULN|3aBPWR|48DUR|5aDMG|69aASPD|7RCR
51	37228 32328	6	   	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	1MBVNT|29aASPD|38DUR|45aVULN|6aDMG|7RCR|aBPWR
52	37228 32328	5	   	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	1MBVNT|29aASPD|38DUR|45aVULN|6aDMG|7RCR|aBPWR
53	35227 32311	4	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|2TLV|358DUR|459VULN|5BPWR|6aDMG|7RCR
54	35537 32311	2	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|2TLV|359VULN|458DUR|5BPWR|6aDMG|7RCR
55	35537 32311	3	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|2TLV|359VULN|458DUR|5BPWR|6aDMG|7RCR
56	38537 32311	1	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|2TLV|359VULN|458DUR|5BPWR|6aDMG|7RCR
57	37227 54144	4	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1MBVNT|2ASPD|356DUR|4567VULN|56BPWR|8TBNT|9DMG|aRCR
58	24335 33161	2	   	282.46	DCR|3VULN|3DMG|3DUR|1NUKE	18aDUR|28aDMG|3TBNT|4MLV|5CGEN|68aVULN|7NUKE|8aBPWR|9RCR
59	22624 31214	1	   	281.82	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	126DUR|3aVULN|4aDMG|5CDMG|7LIT|8aTLV|9RCR|aBPWR
60	24222 33331	4	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	134DUR|246DMG|469BPWR|569CDMG|79VULN|8RCR|aRMIN
61	24222 33333	4	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	134DUR|246DMG|469BPWR|569CDMG|79VULN|8RCR|aMBVNT
62	24222 33334	4	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	134DUR|246DMG|469BPWR|569CDMG|79VULN|8RCR|aERES
63	24222 33335	4	   	281.56	DCR|2VULN|3DMG|3DUR|3CDMG	134DUR|246DMG|469BPWR|569CDMG|79VULN|8RCR|aDUST
64	33222 58323	10	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|248aVULN|3DUR|5aDMG|6aCDMG|7RCR|9DMSP|aBPWR
65	33512 58323	10	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|238aVULN|4DUR|5aDMG|6aCDMG|7RCR|9DMSP|aBPWR
66	33612 58323	10	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|238aVULN|3aBPWR|4DUR|5aDMG|6aCDMG|7RCR|9DMSP
67	21353 33563	1	   	280.39	DCR|4VULN|2DUR|2TLV|1CDMG	17DUR|2567VULN|37TLV|4TBNT|7BPWR|8LIT|9CDMG|aRCR
68	33522 38543	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|23aVULN|4CDMG|5aDMG|69aDUR|7RCR|8RCVC|aBPWR
69	33522 86243	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|23aVULN|4CDMG|5aDMG|6RCR|7RCVC|89aDUR|aBPWR
70	33521 81842	6	   	280.21	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|4CDMG|59LIT|679DUR|9BPWR|aRCR
71	33536 31842	2	   	280.21	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2689VULN|3CDMG|479DUR|59LIT|9BPWR|aRCR
72	33621 81842	6	   	280.21	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|39BPWR|4CDMG|59LIT|679DUR|aRCR
73	33522 38348	7	   	280.12	DCR|3VULN|3DUR|2DMG|1CDMG|1SELL	1MBVNT|23aVULN|4CDMG|5aDMG|69aDUR|7RCR|8SELL|aBPWR
74	33522 83348	6	   	280.12	DCR|3VULN|3DUR|2DMG|1CDMG|1SELL	1MBVNT|23aVULN|4CDMG|5aDMG|6RCR|79aDUR|8SELL|aBPWR
75	33257 54414	3	   	280.11	DCR|2VULN|3DMG|3DUR|1CDMG|1ASPD	1MBVNT|28VULN|356DUR|456DMG|56BPWR|7CDMG|9RCR|aASPD
76	22412 53161	6	 * 	279.96	DCR|3VULN|3DUR|3ASPD|1DMG	18aDUR|2MLV|38aVULN|4ERES|5DMG|68aASPD|7TBNT|8aBPWR|9RCR
77	37181 12328	2	   	279.86	DCR|3VULN|3DUR|3ASPD|1DMG	1MBVNT|29aASPD|3DMG|48aDUR|56aVULN|7RCR|aBPWR
78	33522 62262	3	   	279.59	DCR|5VULN|2DMG|2LIT	1MBVNT|2379aVULN|49DMG|59LIT|6RCR|8TBNT|9BPWR
79	33622 62262	3	   	279.59	DCR|5VULN|2DMG|2LIT	1MBVNT|2379aVULN|39BPWR|49DMG|59LIT|6RCR|8TBNT
80	33822 62262	2	   	279.59	DCR|5VULN|2DMG|2LIT	1MBVNT|2379aVULN|49DMG|59LIT|6RCR|8TBNT|9BPWR
81	31827 53213	1	   	279.21	DCR|3VULN|3DMG|1TLV|1CDMG|1ASPD	1MBVNT|2FEWX|356VULN|456DMG|56BPWR|7CDMG|8RCR|9ASPD|aTLV
82	34527 53213	3	   	279.21	DCR|3VULN|3DMG|1TLV|1CDMG|1ASPD	1MBVNT|2FEWX|356VULN|456DMG|56BPWR|7CDMG|8RCR|9ASPD|aTLV
83	34827 53213	2	   	279.21	DCR|3VULN|3DMG|1TLV|1CDMG|1ASPD	1MBVNT|2FEWX|356VULN|456DMG|56BPWR|7CDMG|8RCR|9ASPD|aTLV
84	33583 31274	9	   	278.75	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|237VULN|4AART|57aDUR|67CDMG|7BPWR|8DMG|9RCR
85	33683 31274	9	   	278.75	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|237VULN|37BPWR|4AART|57aDUR|67CDMG|8DMG|9RCR
86	33522 88323	10	   	278.48	DCR|5VULN|2DMG|1CDMG	1MBVNT|2389aVULN|4CDMG|5aDMG|6RCR|7aFEWX|aBPWR
87	33622 88323	10	   	278.48	DCR|5VULN|2DMG|1CDMG	1MBVNT|2389aVULN|3aBPWR|4CDMG|5aDMG|6RCR|7aFEWX
88	33221 11842	6	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|24689VULN|3DUR|59LIT|79CDMG|9BPWR|aRCR
89	33221 21842	4	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|24589VULN|3DUR|69LIT|79CDMG|9BPWR|aRCR
90	33231 21842	3	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|24589VULN|3DUR|69LIT|79CDMG|9BPWR|aRCR
91	33511 11842	6	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23689VULN|4DUR|59LIT|79CDMG|9BPWR|aRCR
92	33511 21842	4	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23589VULN|4DUR|69LIT|79CDMG|9BPWR|aRCR
93	33581 21842	3	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23589VULN|4DUR|69LIT|79CDMG|9BPWR|aRCR
94	33611 11842	6	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23689VULN|39BPWR|4DUR|59LIT|79CDMG|aRCR
95	33611 21842	4	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23589VULN|39BPWR|4DUR|69LIT|79CDMG|aRCR
96	33681 21842	3	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23589VULN|39BPWR|4DUR|69LIT|79CDMG|aRCR
97	33881 21842	2	   	278.25	DCR|5VULN|2CDMG|1DUR|2LIT	1MBVNT|23589VULN|4DUR|69LIT|79CDMG|9BPWR|aRCR
