0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62122 32153	7	 * 	299.21	DCR|4VULN|3ASPD|2DUR|1TLV|1CDMG	138ASPD|2TLV|478aVULN|58DUR|6RCR|8BPWR|9CDMG
57	31536 23243	2	   	277.86	DCR|3VULN|2DMG|2DUR|2LIT|1SELL	1SELL|2aDMG|3AART|47LIT|58aVULN|6RCR|9aDUR|aBPWR
58	32536 23243	1	   	277.86	DCR|3VULN|2DMG|2DUR|2LIT|1SELL	1SELL|2aDMG|3AART|47LIT|58aVULN|6RCR|9aDUR|aBPWR
59	43451 32122	7	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	178VULN|28DMG|3RMIN|458DUR|6RCR|8BPWR|9ASPD|aCGEN
60	43451 32123	7	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	178VULN|28DMG|3RMIN|458DUR|6RCR|8BPWR|9ASPD|aBEXP
61	43451 32121	7	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	178VULN|28DMG|3RMIN|458DUR|6RCR|8BPWR|9ASPD|aBBNT
62	23616 15112	4	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1ZMB|2CDMG|34578VULN|6DMG|9RCR|aDUR
63	62122 32151	7	   	276.57	DCR|3VULN|3ASPD|2DUR|1TLV|1CDMG	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9CDMG|aCGEN
64	62122 32156	7	   	276.57	DCR|3VULN|3ASPD|2DUR|1TLV|1CDMG	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9CDMG|aRMIN
65	62122 32152	7	   	276.47	DCR|3VULN|3ASPD|2DUR|1TLV|1CDMG	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9CDMG|aERES
66	43451 32113	7	   	276.37	DCR|3VULN|3DUR|2DMG	178VULN|28DMG|3RMIN|458DUR|6RCR|8BPWR|9BBNT|aAART
67	43153 12161	5	   	276.22	DCR|4VULN|2DMG|2DUR	158aVULN|28DMG|3LHND|47DUR|68CGEN|8BPWR|9RCR
68	43111 12161	7	   	276.12	DCR|4VULN|2DMG|2DUR	178aVULN|28DMG|3LHND|4ERES|58DUR|6RCVC|8BPWR|9RCR
69	43111 42161	7	   	276.12	DCR|4VULN|2DMG|2DUR	178aVULN|28DMG|36LHND|4ERES|58DUR|8BPWR|9RCR
70	53113 12161	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|28DMG|3LHND|4ERES|578aVULN|6RCVC|8BPWR|9RCR
71	53113 42161	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|28DMG|36LHND|4ERES|578aVULN|8BPWR|9RCR
72	53213 12161	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|28DMG|3LWND|4ERES|578aVULN|6RCVC|8BPWR|9RCR
73	43111 32161	7	   	276.02	DCR|4VULN|2DMG|2DUR	178aVULN|28DMG|3LHND|46ERES|58DUR|8BPWR|9RCR
74	53113 32161	7	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|28DMG|3LHND|46ERES|578aVULN|8BPWR|9RCR
75	53123 33161	7	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|28DMG|3LHND|456aVULN|78ERES|8BPWR|9RCR
76	53213 32161	7	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|28DMG|3LWND|46ERES|578aVULN|8BPWR|9RCR
77	41183 44246	5	   	276.02	DCR|4VULN|2DMG|2DUR	189aVULN|2FEWX|3MBVNT|49DMG|59DUR|6RCR|7BBNT|9BPWR
78	62122 32121	6	   	275.90	DCR|3VULN|3DUR|3ASPD|1TLV|1SELL	138ASPD|2TLV|48aVULN|578DUR|6RCR|8BPWR|9SELL
79	62122 35121	7	   	275.90	DCR|3VULN|3DUR|3ASPD|1TLV|1SELL	138ASPD|2TLV|48aVULN|578DUR|6RCR|8BPWR|9SELL
80	45213 32143	7	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1478VULN|2BEXP|38ERES|58DMG|6RCR|8BPWR|9CDMG|aDUR
81	41213 32145	7	   	274.49	DCR|4VULN|3DMG|1CDMG	1478VULN|2FEWX|38ERES|58aDMG|6RCR|8BPWR|9CDMG
82	46214 32123	7	   	274.06	DCR|5VULN|3ASPD|1DUR	1478aVULN|2DUR|38ERES|589ASPD|6RCR|8BPWR
83	53121 52161	7	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	18DUR|28DMG|35LHND|47aVULN|68TLV|8BPWR|9RCR
84	53222 52161	7	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	18DUR|28DMG|35LWND|47aVULN|68TLV|8BPWR|9RCR
85	53123 52162	7	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	18DUR|28DMG|3LHND|457VULN|68TLV|8BPWR|9RCR|aERES
86	53356 11321	2	   	273.43	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	17DUR|278DMG|34LIT|5TLV|67VULN|7BPWR|9RCVC|aRCR
87	43651 21321	6	   	273.43	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	17VULN|278DMG|3TLV|45DUR|67LIT|7BPWR|9RCVC|aRCR
88	43653 32122	6	 * 	273.41	DCR|2VULN|3DUR|2DMG|3TLV|1CDMG	18VULN|29DMG|358TLV|478DUR|6RCR|8BPWR|aCDMG
89	63522 32122	7	   	273.30	DCR|3VULN|3DUR|3ASPD|1CDMG|1SELL	189ASPD|2CDMG|3SELL|478VULN|58aDUR|6RCR|8BPWR
90	63522 32151	7	   	273.19	DCR|4VULN|2DUR|2ASPD|1CDMG|1SELL	18ASPD|2CDMG|3SELL|478aVULN|58DUR|6RCR|8BPWR|9LHND
91	63522 32161	7	   	273.19	DCR|4VULN|2DUR|2ASPD|1CDMG|1SELL	18ASPD|2CDMG|3SELL|478aVULN|58DUR|6RCR|8BPWR|9BEXP
92	63522 32111	7	   	273.09	DCR|4VULN|2DUR|2ASPD|1CDMG|1SELL	18ASPD|2CDMG|3SELL|478aVULN|58DUR|6RCR|8BPWR|9DUST
93	43624 32122	7	   	272.11	DCR|3VULN|3ASPD|2TLV|1DMG|1DUR	178VULN|2DMG|38TLV|4RMIN|589ASPD|6RCR|8BPWR|aDUR
94	62126 32153	7	   	271.99	DCR|4VULN|3ASPD|2TLV|1CDMG	138ASPD|28TLV|478aVULN|5LEGI|6RCR|8BPWR|9CDMG
95	41153 24731	9	 * 	271.96	DCR|4VULN|3DUR|1DMG	1578VULN|278FEWX|3MBVNT|478DUR|6RPLT|78BPWR|9RCR|aDMG
96	46143 24731	9	   	271.96	DCR|4VULN|3DUR|1DMG	1578VULN|278DUR|3MBVNT|478LWND|6RPLT|78BPWR|9RCR|aDMG
97	43351 32153	7	   	271.86	DCR|4VULN|3DUR|1DMG	178aVULN|2DMG|38ZMB|458DUR|6RCR|8BPWR|9RCVC
98	42211 31165	7	   	271.76	DCR|4VULN|3DUR|1DMG	1458VULN|28LHND|3ERES|6DMG|78aDUR|8BPWR|9RCR
99	52133 17721	6	 * 	271.44	DCR|5VULN|3DUR	178DUR|2LHND|3MBVNT|478ZMB|5678aVULN|78BPWR|9RCR
100	52133 47721	3	   	271.44	DCR|5VULN|3DUR	178DUR|2LHND|3MBVNT|478ZMB|5678aVULN|78BPWR|9RCR
101	52133 47721	4	   	271.44	DCR|5VULN|3DUR	178DUR|2LHND|3MBVNT|478ZMB|5678aVULN|78BPWR|9RCR
102	52133 47721	5	   	271.44	DCR|5VULN|3DUR	178DUR|2LHND|3MBVNT|478ZMB|5678aVULN|78BPWR|9RCR
103	55112 12322	4	   	271.44	DCR|5VULN|3DUR	156DUR|2RPLT|3RMIN|4568aVULN|568BPWR|78BEXP|9RCR
104	45132 12322	1	   	271.44	DCR|5VULN|3DUR	1568aVULN|2RMIN|3RPLT|456DUR|568BPWR|78BEXP|9RCR
105	55111 12522	5	   	271.44	DCR|5VULN|3DUR	168DUR|2RPLT|3RMIN|45689VULN|68BPWR|78FEWX|aRCR
106	42533 11313	6	   	271.35	DCR|4VULN|2DMG|2LIT|1ASPD	1379VULN|237LHND|37BPWR|4aLIT|5ASPD|67DMG|8RCR
107	62122 32111	6	   	271.19	DCR|2VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|48VULN|578DUR|6RCR|8BPWR|9LIT|aCDMG
108	62122 32132	6	   	271.19	DCR|2VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|48VULN|578DUR|6RCR|8BPWR|9CDMG|aLIT
109	62122 35111	7	   	271.19	DCR|2VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|48VULN|578DUR|6RCR|8BPWR|9LIT|aCDMG
110	62122 35132	7	   	271.19	DCR|2VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|48VULN|578DUR|6RCR|8BPWR|9CDMG|aLIT
111	46211 13216	5	   	271.14	DCR|5VULN|3DUR	14578VULN|278DUR|378ERES|6TBNT|78BPWR|9FEWX|aRCR
112	31315 33441	5	   	271.06	DCR|4VULN|2DMG|1DUR|1SELL	1SELL|29DMG|39BEXP|4579VULN|6AART|8RCR|9BPWR|aDUR
113	42183 42713	5	   	270.81	DCR|4VULN|3DMG	158aVULN|278aLHND|3MBVNT|48aDMG|6RCR|8aBPWR|9AART
114	43233 31353	8	   	270.61	DCR|4VULN|3DMG	156aVULN|28aDMG|3LEGI|4aLHND|7AART|9RCR|aBPWR
115	31315 17254	8	   	270.56	DCR|4VULN|3DMG|1SELL	1SELL|289DMG|389BEXP|4589VULN|6MBVNT|7AART|89BPWR|aRCR
116	42183 47332	5	   	269.85	DCR|4VULN|2DMG|1DUR	157aVULN|27LHND|3MBVNT|47DMG|6RCR|7BPWR|8LIT|9DUR
117	41213 32123	7	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1478VULN|2FEWX|38ERES|58DMG|6RCR|8BPWR|9ASPD|aCDMG
118	41213 32146	7	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1478VULN|2FEWX|38ERES|58DMG|6RCR|8BPWR|9CDMG|aASPD
119	45213 32123	7	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1478VULN|2BEXP|38ERES|58DMG|6RCR|8BPWR|9ASPD|aCDMG
120	43613 32413	10	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2aDMG|3TLV|4FEWX|5RCVC|6RCR|8RMIN|9aDUR|aBPWR
121	41173 45321	8	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2aFEWX|3MBVNT|4TLV|56DUR|6aBPWR|7RCR|8BELT|9aDMG
122	43121 14161	6	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|28DMG|37LHND|4TLV|58DUR|6RCVC|8BPWR|9RCR
123	43121 16161	6	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|28DMG|3LHND|4TLV|58DUR|67RCVC|8BPWR|9RCR
124	43121 35111	5	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2aDMG|3LHND|4TLV|5aDUR|6LEGI|8BELT|9RCR|aBPWR
125	43223 51111	8	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2aDMG|3LEGI|4TLV|5BELT|7FEWX|8aDUR|9RCR|aBPWR
126	43223 51131	9	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2aDMG|3LEGI|4TLV|5BELT|7FEWX|8aDUR|9RCR|aBPWR
127	43223 56111	8	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2aDMG|3LEGI|4TLV|5BELT|7BEXP|8aDUR|9RCR|aBPWR
128	43223 56131	9	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2aDMG|3LEGI|4TLV|5BELT|7BEXP|8aDUR|9RCR|aBPWR
129	43121 12162	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3LHND|4TLV|58DUR|6RCVC|8BPWR|9RCR|aERES
130	43121 12164	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3LHND|4TLV|58DUR|6RCVC|8BPWR|9RCR|aTBNT
131	43121 42162	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|36LHND|4TLV|58DUR|8BPWR|9RCR|aERES
132	43223 13511	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|2aDMG|3LEGI|4TLV|5BELT|6BEXP|7aDUR|9RCR|aBPWR
133	43223 23511	5	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|2aDMG|3LEGI|4TLV|5BELT|6BEXP|7aDUR|9RCR|aBPWR
134	43223 33511	6	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|2aDMG|3LEGI|4TLV|5BELT|6DUST|7aDUR|9RCR|aBPWR
135	62123 13243	5	 * 	269.63	DCR|3VULN|2DMG|3ASPD|1TLV	137ASPD|2TLV|47aVULN|57DMG|6TBNT|7BPWR|8BEXP|9RCR
136	41183 44245	5	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2FEWX|3MBVNT|49DMG|59DUR|6RCR|7BBNT|9BPWR|aTLV
137	43121 32243	5	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|29DMG|3LHND|4TLV|59DUR|6LEGI|7RCR|8TBNT|9BPWR
138	62123 13443	5	   	269.53	DCR|3VULN|2DMG|3ASPD|1TLV	137ASPD|2TLV|47aVULN|57DMG|6TBNT|7BPWR|8DUST|9RCR
139	43221 12163	7	   	269.51	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	178VULN|2DMG|3LEGI|48TLV|58DUR|6RCVC|8BPWR|9RCR|aCDMG
140	43621 14211	5	   	269.27	DCR|3VULN|3DMG|2TLV|1ASPD	158VULN|278DMG|38TLV|4RMIN|6TBNT|8BPWR|9ASPD|aRCR
