0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63461 21643	8	 * 	286.46	ACR|4VULN|3DMG|3DUR|1TLV	1MBVNT|2RCR|379DMG|4TLV|579DUR|679aVULN|79BPWR|8LEGI
21	26332 34837	7	 * 	272.67	DCR|2VULN|3DMG|3DUR|3CDMG|1SELL	179CDMG|28VULN|379DUR|4MBVNT|5SELL|679DMG|79BPWR|aRCR
22	61414 22143	8	 * 	272.44	DCR|3VULN|3DUR|3TLV|3LIT	1MBVNT|259TLV|35aLIT|4RMIN|59aBPWR|69aDUR|79aVULN|8RCR
23	34213 24733	5	 * 	272.29	DCR|4VULN|2DUR|1TLV|1DMG	158MLV|2DMG|38DUR|4568VULN|58BPWR|7MBVNT|9TLV|aRCR
24	53133 31344	4	   	272.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	19LIT|239DUR|4TLV|5aVULN|6RCR|7MBVNT|89DMG|9BPWR
25	53163 31344	3	   	272.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	19LIT|239DUR|4TLV|5aVULN|6RCR|7MBVNT|89DMG|9BPWR
26	53263 31344	2	   	272.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	19LIT|239DUR|4TLV|5aVULN|6RCR|7MBVNT|89DMG|9BPWR
27	53453 31344	2	   	272.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	19LIT|249DUR|3TLV|5aVULN|6RCR|7MBVNT|89DMG|9BPWR
28	63421 21736	9	   	269.92	ACR|4VULN|3DMG|3DUR|1AART	1MBVNT|2RCR|37aDMG|4ERES|57aDUR|679aVULN|7aBPWR|8AART
29	61433 47831	4	 * 	269.83	DCR|3VULN|3DMG|2TLV	1MBVNT|27TLV|3LIT|47aVULN|5DLOT|678DMG|7BPWR|9RCR
30	61781 24413	10	   	269.09	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aLIT
31	53116 32252	3	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1LIT|23DUR|47aVULN|5DMG|6RCR|8TLV|9AART
32	53216 32252	2	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1LIT|23DUR|47aVULN|5DMG|6RCR|8TLV|9AART
33	61784 34433	10	   	268.72	DCR|2VULN|2DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aLIT
34	61711 21245	7	   	268.63	DCR|3VULN|3DUR|3TLV|2ASPD	1MBVNT|279TLV|378DUR|4LHND|59ASPD|679VULN|79BPWR|aRCR
35	63463 21243	7	   	268.57	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89DUR|aASPD
36	63463 21247	7	   	268.57	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89DUR|aLIT
37	61741 21245	7	   	268.53	DCR|3VULN|3DUR|3TLV|2ASPD	1MBVNT|279TLV|378DUR|4DUST|59ASPD|679VULN|79BPWR|aRCR
38	61784 34411	9	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aRCVC
39	61784 34412	9	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aFEWX
40	61784 34412	10	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aRMIN
41	61784 34414	10	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aFEWX
42	61784 34414	9	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aBEXP
43	61784 34411	10	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aDLOT
44	61784 34413	9	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|679DMG|7BPWR|8RCR|aBBNT
45	61418 37143	8	   	267.33	DCR|3VULN|3DUR|3TLV|2LIT	1MBVNT|289TLV|3aLIT|4RMIN|59aVULN|6RCR|79aDUR|9aBPWR
46	25113 13262	1	 * 	267.27	DCR|2VULN|3DUR|2DMG|2CDMG|2ASPD	19CDMG|247DUR|34ASPD|49BPWR|5MBVNT|69DMG|89VULN|aRCR
47	26352 22131	3	   	267.24	DCR|4VULN|1TLV|2ASPD|1DUR|1CDMG	1CDMG|269aVULN|3DUR|4TLV|58ASPD|7RCR
48	26353 22113	3	   	266.49	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3DUR|4aTLV|5DMG|7RCR|8ASPD
49	21354 31123	8	 * 	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|2ASPD|1AART	18CDMG|2DUST|3AART|48ASPD|5DMG|6TLV|789VULN|8BPWR|aRCR
50	51216 32213	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|2479VULN|3DUR|5DMG|6RCR|8TLV|aBEXP
51	51216 32216	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|2479VULN|3DUR|5DMG|6RCR|8TLV|aLWND
52	61784 34442	10	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9RCVC|aCDMG
53	61784 34444	8	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9CDMG|aDMSP
54	51216 32211	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|2479VULN|3DUR|5DMG|6RCR|8TLV|aERES
55	51216 32214	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR|1NUKE	1LIT|2479VULN|3DUR|5DMG|6RCR|8TLV|aNUKE
56	51216 32236	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|247aVULN|3DUR|5DMG|6RCR|8TLV|9BBNT
57	61784 34442	8	   	265.66	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9CDMG|aERES
58	61784 34443	8	 * 	265.66	DCR|2VULN|2DMG|3TLV|2DUR|1CDMG	1MBVNT|27aTLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9CDMG
59	53116 32336	3	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	1LIT|238DUR|47VULN|5aDMG|6RCR|9TLV
60	53216 32336	2	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	1LIT|238DUR|47VULN|5aDMG|6RCR|9TLV
61	63461 21642	8	   	265.41	ACR|3VULN|3DMG|3DUR|1TLV	1MBVNT|2RCR|379DMG|4TLV|579DUR|679VULN|79BPWR|8LEGI|aMLV
62	63461 21644	8	   	265.41	ACR|3VULN|3DMG|3DUR|1TLV	1MBVNT|2RCR|379DMG|4TLV|579DUR|679VULN|79BPWR|8LEGI|aBEXP
63	61784 34413	8	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|27TLV|35aDUR|47VULN|67DMG|7BPWR|8RCR|9LHND
64	61784 34423	8	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|27TLV|35aDUR|47VULN|67DMG|7BPWR|8RCR|9BEXP
65	61784 34423	9	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|27TLV|35aDUR|47VULN|67DMG|7BPWR|8RCR|9BEXP
66	63461 21641	8	   	265.31	ACR|3VULN|3DMG|3DUR|1TLV	1MBVNT|2RCR|379DMG|4TLV|579DUR|679VULN|79BPWR|8LEGI|aBBNT
67	68461 21114	9	 * 	265.15	DCR|4VULN|3DUR|1TLV	1MBVNT|2LEGI|378ERES|4TLV|578DUR|678aVULN|78BPWR|9RCR
68	26163 54243	8	 * 	265.06	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	17CDMG|27VULN|3RPLT|4MBVNT|567DMG|7BPWR|8DUR|9TLV|aRCR
69	33862 48223	6	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	18MLV|2MBVNT|38aVULN|4TLV|5CDMG|68DUR|7RCR|8BPWR|9DMG
70	26353 22115	3	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1aCDMG|269VULN|3DUR|4TLV|5DMG|7RCR|8ASPD
71	26332 28223	4	 * 	264.59	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	18CDMG|28aVULN|3DUR|4MBVNT|5MLV|68TLV|7RCR|8BPWR|9DMG
72	26342 28223	3	   	264.59	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	18CDMG|28aVULN|3DUR|4MBVNT|5MLV|68TLV|7RCR|8BPWR|9DMG
73	62214 28382	7	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1MBVNT|28BEXP|348DUR|568VULN|7RCR|8BPWR|9TLV|aDMG
74	53423 31347	2	 * 	263.89	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	149LIT|29DUR|3TLV|5aVULN|6RCR|7MBVNT|89DMG|9BPWR
75	53433 31347	4	   	263.89	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	139LIT|29DUR|4TLV|5aVULN|6RCR|7MBVNT|89DMG|9BPWR
76	63461 21347	8	   	263.75	ACR|2VULN|3DMG|3DUR|2TLV|2LIT	1MBVNT|2RCR|379DMG|49TLV|57aDUR|67VULN|79BPWR|89LIT
77	26332 34453	10	 * 	263.75	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG|1SELL	17CDMG|29VULN|37DUR|4MBVNT|5SELL|67DMG|7BPWR|8RCR|aTLV
78	26332 34553	10	 * 	263.75	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG|1SELL	17CDMG|28VULN|37DUR|4MBVNT|5SELL|67DMG|7BPWR|9RCR|aTLV
79	26216 12513	2	 * 	263.45	DCR|3VULN|3DMG|2CDMG|1DUR	13CDMG|29aVULN|467DMG|5DUR|8RCR
80	63824 42824	7	 * 	262.73	ACR|5VULN|2DMG|2TLV|1AART	1MBVNT|2RCR|3AART|48DMG|5789aVULN|68TLV|8BPWR
81	51216 36313	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|249VULN|3DUR|58DMG|6RCR|7CGEN|aTLV
82	61184 34252	10	 * 	262.12	DCR|3VULN|2DMG|3TLV|1DUR	1MBVNT|237TLV|37BPWR|4FEWX|579VULN|67DMG|8DUR|aRCR
83	61764 34331	7	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	1MBVNT|247TLV|3DUR|57aVULN|67DMG|7BPWR|8MLV|9RCR
84	61144 44252	10	   	262.02	DCR|3VULN|2DMG|3TLV|1DUR	1MBVNT|237TLV|37BPWR|4DUST|579VULN|67DMG|8DUR|aRCR
85	61244 44487	9	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	1MBVNT|27TLV|34DUST|57aVULN|67DMG|7BPWR|8RCR|9DUR
86	61264 44252	10	   	262.02	DCR|3VULN|2DMG|3TLV|1DUR	1MBVNT|247TLV|3DUST|579VULN|67DMG|7BPWR|8DUR|aRCR
87	61764 34131	7	   	262.02	DCR|3VULN|2DMG|3TLV|1DUR	1MBVNT|247TLV|3DUR|57aVULN|67DMG|7BPWR|8ERES|9RCR
88	26433 22513	3	 * 	261.94	DCR|4VULN|3DMG|1CDMG	1CDMG|269aVULN|3BEXP|457DMG|8RCR
89	26533 22513	2	   	261.94	DCR|4VULN|3DMG|1CDMG	1CDMG|269aVULN|3FEWX|457DMG|8RCR
90	63461 23336	9	   	261.75	ACR|3VULN|3DMG|2DUR|1TLV|1AART	1MBVNT|2RCR|38aDMG|4TLV|5aDUR|69aVULN|7AART|aBPWR
91	61644 44418	10	 * 	261.52	DCR|3VULN|3DMG|3TLV	1MBVNT|27aTLV|3RCVC|4aDUST|57aVULN|679DMG|7aBPWR|8RCR
92	61244 44418	10	   	261.42	DCR|3VULN|3DMG|3TLV	1MBVNT|27aTLV|34aDUST|57aVULN|679DMG|7aBPWR|8RCR
93	32212 24746	7	   	261.30	DCR|4VULN|3DUR|1CDMG	178MLV|2ASPD|378DUR|4678VULN|5MBVNT|78BPWR|9CDMG|aRCR
94	26313 61325	8	   	261.10	DCR|4VULN|3DUR|1CDMG	1CDMG|2569VULN|346DUR|6BPWR|7LIT|8FEWX|aRCR
95	61781 24412	9	   	260.78	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aZMB
96	61781 24413	9	   	260.78	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aFEWX
97	61781 24414	9	   	260.78	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aRCVC
98	26352 22141	3	   	260.77	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	1CDMG|26aVULN|39DUR|4TLV|58ASPD|7RCR
99	51216 32342	1	   	260.74	DCR|4VULN|2DUR|1DMG|2LIT	1aLIT|2479VULN|38DUR|5DMG|6RCR
100	61418 37442	8	   	260.69	DCR|3VULN|3DUR|2TLV	1MBVNT|29TLV|3LIT|4RMIN|589VULN|6RCR|79aDUR|9BPWR
101	61418 37442	7	   	260.69	DCR|3VULN|3DUR|2TLV	1MBVNT|29TLV|3LIT|4RMIN|589VULN|6RCR|79aDUR|9BPWR
102	61281 24414	10	   	260.68	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUST|467VULN|57ASPD|7BPWR|8RCR|9DMG|aDUR
103	61281 24416	9	   	260.68	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUST|467VULN|57ASPD|7BPWR|8RCR|9DMG|aDUR
104	61781 24411	10	   	260.68	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aDUST
105	61781 24412	10	   	260.68	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aDLOT
106	63463 21347	8	   	260.54	ACR|3VULN|3DMG|2TLV|1DUR|2LIT	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89LIT|aDUR
107	61443 12445	5	 * 	260.47	DCR|4VULN|2TLV|1DUR|2LIT	1MBVNT|29TLV|39LIT|4DUR|5ZMB|6RCR|789aVULN|9BPWR
108	61784 34432	9	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aZMB
109	61784 34433	9	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aFEWX
110	61784 34434	9	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aRCVC
111	63461 21131	8	   	260.36	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|49TLV|57DUR|67aVULN|79BPWR|89MLV
112	63461 21141	7	   	260.36	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|49TLV|57DUR|67aVULN|79BPWR|89BEXP
113	63461 21341	7	   	260.36	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|49TLV|57DUR|67aVULN|79BPWR|89LWND
114	63461 21441	8	   	260.36	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|49TLV|57DUR|67aVULN|79BPWR|89LHND
115	63461 21541	8	   	260.36	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|49TLV|57DUR|67aVULN|79BPWR|89FEWX
116	61764 34213	8	   	260.32	DCR|2VULN|2DMG|3TLV|2DUR	1MBVNT|247TLV|38DUR|57VULN|67DMG|7BPWR|9ASPD|aRCR
117	61784 34431	10	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aDUST
118	61784 34432	10	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aDLOT
119	63463 21245	7	   	260.26	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89DUR|aMLV
120	63463 21248	7	   	260.16	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89DUR|aERES
121	63468 21241	7	   	260.16	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|49TLV|57DUST|67aVULN|79BPWR|89DUR
122	25323 11233	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2BEXP|3AART|467VULN|5DMG|8TLV|9DUR|aRCR
123	21323 11233	8	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2DUST|3AART|467VULN|5DMG|8TLV|9DUR|aRCR
124	26253 61122	7	   	259.53	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2567VULN|3RCVC|46DUR|6BPWR|8BBNT|9DMG|aRCR
125	61644 44452	10	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1MBVNT|27TLV|3RCVC|4DUST|579VULN|67DMG|7BPWR|8RCR|aCDMG
126	61443 12448	5	   	259.49	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	1MBVNT|29TLV|39LIT|4DUR|5ZMB|6RCR|789VULN|9BPWR|aDMG
127	34226 53221	5	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1MLV|29DMG|3DUR|4ERES|59TLV|6ASPD|79VULN|8RCR|9BPWR|aCDMG
128	67223 45343	6	   	259.44	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	1MBVNT|2RPLT|38VULN|4SELL|578DMG|68DUR|8BPWR|9TLV|aRCR
129	67223 48343	7	   	259.44	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	1MBVNT|2RPLT|38VULN|4SELL|578DMG|68DUR|8BPWR|9TLV|aRCR
130	61244 44452	10	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	1MBVNT|27TLV|34DUST|579VULN|67DMG|7BPWR|8RCR|aCDMG
131	51216 32335	1	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|247VULN|38DUR|5DMG|6RCR|9LHND|aTLV
132	53116 32213	3	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aBEXP
133	53116 32216	3	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aLWND
134	53133 33113	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|4TLV|5RMIN|6DMG|789VULN|aRCR
135	53133 33143	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|4TLV|5RMIN|6DMG|789VULN|aRCR
136	53216 32213	2	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aBEXP
137	53216 32216	2	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aLWND
138	25143 13262	1	   	259.32	DCR|2VULN|3DUR|2DMG|2CDMG	19CDMG|247DUR|3ASPD|5MBVNT|69DMG|89VULN|9BPWR|aRCR
139	62153 13262	1	   	259.32	DCR|2VULN|3DUR|2DMG|2CDMG	1MBVNT|29CDMG|3ASPD|457DUR|69DMG|89VULN|9BPWR|aRCR
140	67214 41347	7	 * 	259.32	DCR|3VULN|2TLV|2DUR|2CDMG	1MBVNT|2RPLT|379VULN|49TLV|57DUR|67CDMG|79BPWR|89LWND|aRCR
141	67214 41447	8	   	259.32	DCR|3VULN|2TLV|2DUR|2CDMG	1MBVNT|2RPLT|379VULN|49TLV|57DUR|67CDMG|79BPWR|89LHND|aRCR
142	67211 41247	7	   	259.32	DCR|3VULN|2TLV|2DUR|2CDMG	1MBVNT|2RPLT|379VULN|49TLV|57LWND|67CDMG|79BPWR|89DUR|aRCR
143	34212 24715	7	   	259.31	DCR|4VULN|3DUR|1DMG	178MLV|2DMG|378DUR|4678VULN|5MBVNT|78BPWR|9DUST|aRCR
144	51216 32315	1	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG|1NUKE	1LIT|247VULN|38DUR|5DMG|6RCR|9NUKE|aTLV
145	53116 32211	3	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aERES
146	53116 32214	3	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG|1NUKE	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aNUKE
147	53116 32236	3	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|47aVULN|5DMG|6RCR|8TLV|9BBNT
148	53216 32211	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aERES
149	53216 32214	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG|1NUKE	1LIT|23DUR|479VULN|5DMG|6RCR|8TLV|aNUKE
150	53216 32236	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23DUR|47aVULN|5DMG|6RCR|8TLV|9BBNT
151	61452 33231	2	 * 	259.12	DCR|3VULN|3TLV|2DUR|1DMG	1MBVNT|259TLV|39DUR|4DMG|6MLV|79aVULN|8RCR|9BPWR
152	61752 33231	3	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	1MBVNT|259TLV|39DUR|4DMG|6MLV|79aVULN|8RCR|9BPWR
153	61452 33631	2	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	1MBVNT|258TLV|38DUR|4DMG|6MLV|78aVULN|8BPWR|9RCR
154	35124 53223	1	 * 	259.09	DCR|4VULN|2TLV|1DMG|1AART	1MLV|235aVULN|45TLV|5BPWR|6AART|7DMG|8BELT|9RCR
155	61281 24452	10	   	259.07	DCR|4VULN|2TLV|2ASPD|1CDMG	1MBVNT|27TLV|3DUST|4679VULN|57ASPD|7BPWR|8RCR|aCDMG
156	51216 31334	1	   	259.04	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	1aLIT|24aVULN|3DUR|58DMG|6RCR|7RPLT|9aASPD|aBPWR
157	26163 24522	10	 * 	258.74	DCR|4VULN|2DMG|3CDMG	17aCDMG|2678VULN|3RPLT|4MBVNT|57DMG|7BPWR|9RCR
158	61435 17421	4	   	258.69	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	1MBVNT|27TLV|3LIT|47aVULN|57ASPD|6RCR|7BPWR|8AART|9DUR
159	61437 17421	3	   	258.69	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	1MBVNT|27TLV|3LIT|47ASPD|57aVULN|6RCR|7BPWR|8AART|9DUR
160	26353 22621	3	   	258.65	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1CDMG|26VULN|3DUR|4TLV|59aDMG|7RCR|8LHND
161	34213 63143	9	   	258.65	DCR|4VULN|2DMG|1DUR|1AART	15MLV|27DMG|3DUR|456aVULN|5BPWR|8AART|9RCR
