0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21221 25541	7	 * 	295.56	DCR|5VULN|2DMG|2DUR|1CDMG	12367VULN|38BPWR|48DMG|58DUR|9RCR|aCDMG
48	21621 24523	9	   	279.28	DCR|5VULN|2DUR|1DMG|2LIT	1236aVULN|4DMG|5aDUR|7aLIT|8RCVC|9RCR|aBPWR
49	21261 37446	4	 * 	279.23	DCR|4VULN|3DMG|2DUR	1239VULN|39BPWR|49DUR|5MBVNT|689DMG|7BELT|aRCR
50	21328 17446	2	   	279.23	DCR|4VULN|3DMG|2DUR	1269VULN|3MBVNT|489DMG|59DUR|7BELT|9BPWR|aRCR
51	21384 37446	2	   	279.23	DCR|4VULN|3DMG|2DUR	1249VULN|3MBVNT|59DUR|689DMG|7BELT|9BPWR|aRCR
52	21221 14641	4	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12358VULN|3BPWR|4DMG|67DUR|9RCR|aCDMG
53	21221 24641	6	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12368VULN|3BPWR|4DMG|57DUR|9RCR|aCDMG
54	21221 25121	9	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12367VULN|3BPWR|4DMG|59DUR|8RCR|aCDMG
55	21221 25124	10	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12367VULN|3BPWR|4DMG|59DUR|8RCR|aCDMG
56	21221 25341	7	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12367VULN|3BPWR|4DMG|58DUR|9RCR|aCDMG
57	21621 25121	9	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12367VULN|4DMG|59DUR|8RCR|aCDMG
58	21621 25124	10	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12367VULN|4DMG|59DUR|8RCR|aCDMG
59	21621 25341	7	   	277.88	DCR|5VULN|2DUR|1DMG|1CDMG	12367VULN|4DMG|58DUR|9RCR|aCDMG
60	21261 13321	6	   	277.51	DCR|5VULN|2TLV|1DUR|1CDMG	12367VULN|3BPWR|4DUR|5CDMG|89TLV|aRCR
61	21661 13321	6	   	277.51	DCR|5VULN|2TLV|1DUR|1CDMG	12367VULN|4DUR|5CDMG|89TLV|aRCR
62	21221 14642	4	   	277.45	DCR|5VULN|3DUR|1DMG	12358VULN|3BPWR|4DMG|67aDUR|9RCR
63	21221 24642	6	   	277.45	DCR|5VULN|3DUR|1DMG	12368VULN|3BPWR|4DMG|57aDUR|9RCR
64	21221 25122	9	   	277.45	DCR|5VULN|3DUR|1DMG	12367VULN|3BPWR|4DMG|59aDUR|8RCR
65	21221 25126	10	   	277.45	DCR|5VULN|3DUR|1DMG	12367VULN|3BPWR|4DMG|59aDUR|8RCR
66	21221 25342	7	   	277.45	DCR|5VULN|3DUR|1DMG	12367VULN|3BPWR|4DMG|58aDUR|9RCR
67	21621 25122	9	   	277.45	DCR|5VULN|3DUR|1DMG	12367VULN|4DMG|59aDUR|8RCR
68	21621 25126	10	   	277.45	DCR|5VULN|3DUR|1DMG	12367VULN|4DMG|59aDUR|8RCR
69	21621 25342	7	   	277.45	DCR|5VULN|3DUR|1DMG	12367VULN|4DMG|58aDUR|9RCR
70	21161 23535	8	   	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1257VULN|3RPLT|45DUR|5BPWR|69DMG|8CDMG|aRCR
71	21223 25136	8	   	277.18	DCR|5VULN|2DMG|1TLV	12367VULN|3BPWR|49DMG|5FEWX|8RCR|aTLV
72	21225 25136	8	   	277.18	DCR|5VULN|2DMG|1TLV	12367VULN|3BPWR|49DMG|5BEXP|8RCR|aTLV
73	21623 25136	8	   	277.18	DCR|5VULN|2DMG|1TLV	12367VULN|49DMG|5FEWX|8RCR|aTLV
74	21223 22246	8	   	277.18	DCR|5VULN|2DMG|1TLV	12368VULN|3BPWR|47DMG|5FEWX|9RCR|aTLV
75	21225 22246	8	   	277.18	DCR|5VULN|2DMG|1TLV	12368VULN|3BPWR|47DMG|5BEXP|9RCR|aTLV
76	21623 22246	8	   	277.18	DCR|5VULN|2DMG|1TLV	12368VULN|47DMG|5FEWX|9RCR|aTLV
77	21222 22246	8	   	277.08	DCR|5VULN|2DMG|1TLV	12368VULN|3BPWR|47DMG|5DUST|9RCR|aTLV
78	21622 22246	8	   	277.08	DCR|5VULN|2DMG|1TLV	12368VULN|47DMG|5DUST|9RCR|aTLV
79	21262 11522	6	   	276.90	DCR|4VULN|3DUR|2DMG	1239VULN|39BPWR|489DUR|57RCVC|69DMG|aRCR
80	21662 11522	6	   	276.90	DCR|4VULN|3DUR|2DMG	1239VULN|489DUR|57RCVC|69DMG|9BPWR|aRCR
81	21111 61542	2	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	128VULN|38DMG|4BBNT|5aDUR|6CGEN|78TLV|8BPWR|9RCR
82	21121 61542	2	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	128VULN|38DMG|4TBNT|5aDUR|6CGEN|78TLV|8BPWR|9RCR
83	21443 12211	8	   	276.74	DCR|4VULN|2DUR|1TLV|2LIT|1AART	1267VULN|3BELT|47LIT|57DUR|7BPWR|8RCR|9TLV|aAART
84	23333 61541	3	 * 	276.70	DCR|3VULN|2DMG|3TLV|2DUR	189VULN|248TLV|34DMG|48BPWR|5TBNT|6ERES|78DUR|aRCR
85	21111 61541	2	   	275.87	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	128VULN|38DMG|4BBNT|5DUR|6CGEN|78TLV|8BPWR|9RCR|aCDMG
86	21121 61541	2	   	275.87	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	128VULN|38DMG|4TBNT|5DUR|6CGEN|78TLV|8BPWR|9RCR|aCDMG
87	21221 11646	4	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	12358VULN|3BPWR|4DMG|6DUR|7RCVC|9RCR|aTLV
88	21221 21646	6	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	12368VULN|3BPWR|4DMG|5DUR|7RCVC|9RCR|aTLV
89	21221 25246	8	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	12367VULN|3BPWR|4DMG|5DUR|8DMSP|9RCR|aTLV
90	21221 33646	4	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	12358VULN|3BPWR|4DMG|6RCVC|7DUR|9RCR|aTLV
91	23653 32335	8	 * 	274.30	DCR|3VULN|2DUR|1TLV|2CDMG|2LIT	18aVULN|2TLV|3aLIT|49DUR|5ASPD|6aCDMG|7RCR|aBPWR
92	21223 25131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|3BPWR|4DMG|5FEWX|8RCR|9CDMG|aTLV
93	21225 25131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|3BPWR|4DMG|5BEXP|8RCR|9CDMG|aTLV
94	21226 25131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|3BPWR|4DMG|5LWND|8RCR|9CDMG|aTLV
95	21623 25131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|4DMG|5FEWX|8RCR|9CDMG|aTLV
96	21625 25131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|4DMG|5BEXP|8RCR|9CDMG|aTLV
97	21626 25131	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|4DMG|5LWND|8RCR|9CDMG|aTLV
98	21222 25131	9	   	273.15	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|3BPWR|4DMG|5DUST|8RCR|9CDMG|aTLV
99	21622 25131	9	   	273.15	DCR|5VULN|1TLV|1DMG|1CDMG	12367VULN|4DMG|5DUST|8RCR|9CDMG|aTLV
100	23121 33331	10	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	148VULN|28TLV|3ZMB|5CDMG|68DUR|7RPLT|8BPWR|9DMG|aRCR
101	21221 14541	4	   	272.76	DCR|4VULN|3DUR|1DMG|1CDMG	1235VULN|3BPWR|4DMG|678DUR|9RCR|aCDMG
102	21221 24541	6	   	272.76	DCR|4VULN|3DUR|1DMG|1CDMG	1236VULN|3BPWR|4DMG|578DUR|9RCR|aCDMG
103	22233 46123	9	   	272.64	DCR|5VULN|3DUR|2LIT	1467aVULN|27LIT|3DMSP|57aDUR|7aBPWR|8aZMB|9RCR
104	22543 32325	9	   	272.46	DCR|4VULN|1TLV|2CDMG|1DUR|2LIT	189aVULN|2aLIT|3RMIN|4TLV|5DUR|6aCDMG|7RCR|aBPWR
105	23651 32325	9	   	272.46	DCR|4VULN|1TLV|2CDMG|1DUR|2LIT	189aVULN|2TLV|3aLIT|4DUR|5ZMB|6aCDMG|7RCR|aBPWR
106	23122 66135	6	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	146VULN|27TLV|3ZMB|568DUR|6BPWR|9DMG|aRCR
107	22643 32325	9	   	272.36	DCR|4VULN|1TLV|2CDMG|1DUR|2LIT|1NUKE	189aVULN|2aLIT|3NUKE|4TLV|5DUR|6aCDMG|7RCR|aBPWR
108	21211 34351	7	 * 	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1237VULN|37BPWR|4BEXP|57CDMG|67DUR|8TLV|9BBNT|aRCR
109	21231 34351	7	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1237VULN|37BPWR|4FEWX|57CDMG|67DUR|8TLV|9BBNT|aRCR
110	21611 34351	7	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1237VULN|4BEXP|57CDMG|67DUR|7BPWR|8TLV|9BBNT|aRCR
111	21631 34351	7	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1237VULN|4FEWX|57CDMG|67DUR|7BPWR|8TLV|9BBNT|aRCR
112	22233 46523	10	 * 	272.09	DCR|4VULN|2DUR|1TLV|3LIT	1467VULN|27aLIT|3DMSP|57DUR|7BPWR|8TLV|9RCR
113	21161 21332	6	   	271.88	DCR|4VULN|2DMG|2DUR	1257VULN|3RPLT|45DUR|5BPWR|6aDMG|8LIT|9RCR
114	21161 23332	7	   	271.88	DCR|4VULN|2DMG|2DUR	1257VULN|3RPLT|45DUR|5BPWR|6aDMG|8LIT|9RCR
115	23352 33161	3	 * 	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	157aVULN|26TLV|3DMG|4CDMG|8RCR|9ASPD
116	21221 15541	10	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1239VULN|3BPWR|4DMG|5DUR|6CDMG|7DMSP|8RCR|aTLV
117	21222 11632	3	   	270.37	DCR|5VULN|2DUR|1TLV	12348VULN|3BPWR|5TLV|69DUR|7RCVC|aRCR
118	21222 14662	3	   	270.37	DCR|5VULN|2DUR|1TLV	12348VULN|3BPWR|5TLV|67DUR|9DMSP|aRCR
119	21222 33632	3	   	270.37	DCR|5VULN|2DUR|1TLV	12348VULN|3BPWR|5TLV|6RCVC|79DUR|aRCR
120	21622 11632	3	   	270.37	DCR|5VULN|2DUR|1TLV	12348VULN|5TLV|69DUR|7RCVC|aRCR
121	21622 33632	3	   	270.37	DCR|5VULN|2DUR|1TLV	12348VULN|5TLV|6RCVC|79DUR|aRCR
122	21261 11243	9	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12369VULN|3BPWR|4DUR|5CDMG|7LHND|8TLV|aRCR
123	21261 13313	6	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|3BPWR|4DUR|5CDMG|8TLV|9FEWX|aRCR
124	21261 13333	6	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|3BPWR|4DUR|5CDMG|8TLV|9CGEN|aRCR
125	21261 14333	6	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12369VULN|3BPWR|4DUR|5CDMG|7TLV|8CGEN|aRCR
126	21261 15423	8	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12368VULN|3BPWR|4DUR|5CDMG|7CGEN|9TLV|aRCR
127	21261 35333	5	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12379VULN|3BPWR|4DUR|5CDMG|6TLV|8CGEN|aRCR
128	21661 11243	9	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12369VULN|4DUR|5CDMG|7LHND|8TLV|aRCR
129	21661 13313	6	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4DUR|5CDMG|8TLV|9FEWX|aRCR
130	21661 13333	6	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4DUR|5CDMG|8TLV|9CGEN|aRCR
131	21661 14333	6	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12369VULN|4DUR|5CDMG|7TLV|8CGEN|aRCR
132	21661 35333	5	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12379VULN|4DUR|5CDMG|6TLV|8CGEN|aRCR
133	21222 65333	3	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12349VULN|3BPWR|5TLV|6CGEN|7CDMG|8DUR|aRCR
134	21261 15411	9	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12368VULN|3BPWR|4DUR|5CDMG|7CGEN|9RCR|aTLV
135	21622 65333	3	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	12349VULN|5TLV|6CGEN|7CDMG|8DUR|aRCR
136	21261 13353	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|3BPWR|4DUR|5CDMG|8TLV|9DUST|aRCR
137	21261 13423	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|3BPWR|4DUR|5CDMG|8DUST|9TLV|aRCR
138	21261 13623	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|3BPWR|4DUR|5CDMG|8ERES|9TLV|aRCR
139	21263 42135	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12368VULN|3BPWR|4DUR|5DLOT|7CDMG|9RCR|aTLV
140	21661 13353	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4DUR|5CDMG|8TLV|9DUST|aRCR
141	21661 13423	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4DUR|5CDMG|8DUST|9TLV|aRCR
142	21661 13623	6	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	12367VULN|4DUR|5CDMG|8ERES|9TLV|aRCR
143	21262 14223	9	 * 	268.95	DCR|4VULN|2DMG|3LIT|1DUR	123aVULN|3aBPWR|4DUR|5RCVC|6aDMG|78aLIT|9RCR
144	21662 14223	9	   	268.95	DCR|4VULN|2DMG|3LIT|1DUR	123aVULN|4DUR|5RCVC|6aDMG|78aLIT|9RCR|aBPWR
145	21221 14542	4	   	268.77	DCR|4VULN|3DUR|1DMG|1AART	1235VULN|3BPWR|4DMG|678DUR|9RCR|aAART
146	21221 24542	6	   	268.77	DCR|4VULN|3DUR|1DMG|1AART	1236VULN|3BPWR|4DMG|578DUR|9RCR|aAART
147	23324 32255	7	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|2TLV|39DMG|4FEWX|5LWND|6LEGI|79DUR|8RCR|9BPWR
148	21223 56223	4	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58BEXP|6AART|7RCR|9LWND|aTLV
149	21223 56223	5	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58FEWX|6AART|7RCR|9LWND|aTLV
150	21223 66223	6	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58FEWX|6AART|7RCR|9LWND|aTLV
151	21225 56223	5	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58BEXP|6AART|7RCR|9LWND|aTLV
152	21225 66223	6	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58BEXP|6AART|7RCR|9LWND|aTLV
153	21345 36223	1	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1468VULN|2AART|38DMG|58BEXP|7RCR|8BPWR|9LWND|aTLV
154	21623 56223	5	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|48DMG|58FEWX|6AART|7RCR|8BPWR|9LWND|aTLV
155	21623 56223	4	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|48DMG|58BEXP|6AART|7RCR|8BPWR|9LWND|aTLV
156	21623 66223	6	   	268.70	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|48DMG|58FEWX|6AART|7RCR|8BPWR|9LWND|aTLV
157	21222 66223	6	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58DUST|6AART|7RCR|9LWND|aTLV
158	21222 66235	6	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|38BPWR|48DMG|58DUST|6AART|7RCR|9BEXP|aTLV
159	21622 66223	6	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	1238VULN|48DMG|58DUST|6AART|7RCR|8BPWR|9LWND|aTLV
160	21161 21334	6	   	267.94	DCR|4VULN|2DUR|1DMG|1CDMG	1257VULN|3RPLT|45DUR|5BPWR|6DMG|8LIT|9RCR|aCDMG
161	21161 23334	7	   	267.94	DCR|4VULN|2DUR|1DMG|1CDMG	1257VULN|3RPLT|45DUR|5BPWR|6DMG|8LIT|9RCR|aCDMG
162	14522 33231	1	 * 	267.86	DCR|2VULN|3DMG|3TLV|2DUR	19aDMG|235TLV|45VULN|5aBPWR|6aDUR|7aBEXP|8RCR
163	14522 34231	1	   	267.86	DCR|2VULN|3DMG|3TLV|2DUR	19aDMG|235TLV|45VULN|5aBPWR|6aDUR|7aLWND|8RCR
164	14522 35231	1	   	267.86	DCR|2VULN|3DMG|3TLV|2DUR	19aDMG|235TLV|45VULN|5aBPWR|6aDUR|7aLHND|8RCR
165	21222 16661	4	   	267.80	DCR|5VULN|1TLV|1DMG	1239aVULN|3BPWR|4DMG|5LIT|6BBNT|7TLV|8RCR
166	23653 32315	8	   	267.79	DCR|3VULN|2TLV|2CDMG|1DUR|2LIT	18aVULN|29TLV|3aLIT|4DUR|5ASPD|6aCDMG|7RCR|aBPWR
167	14522 32231	1	   	267.66	DCR|2VULN|3DMG|3TLV|2DUR	19aDMG|235TLV|45VULN|5aBPWR|6aDUR|7aDUST|8RCR
168	21312 61135	6	   	267.42	DCR|4VULN|3DUR|1DMG	1267VULN|3ASPD|4ERES|568DUR|6BPWR|9DMG|aRCR
169	21312 63135	7	   	267.42	DCR|4VULN|3DUR|1DMG	1267VULN|3ASPD|4ERES|568DUR|6BPWR|9DMG|aRCR
170	21221 22244	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCR|aLWND
171	21221 22644	7	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCR|aLWND
172	21621 22244	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5DUR|9RCR|aLWND
173	21221 22252	9	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCVC|aRCR
174	21221 22342	9	   	267.23	DCR|5VULN|2DMG|1DUR	12369VULN|3BPWR|47DMG|5DUR|8RCVC|aRCR
175	21221 25134	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|3BPWR|49DMG|5DUR|8RCR|aLWND
176	21223 22242	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5FEWX|9RCR|aDUR
177	21223 25132	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|3BPWR|49DMG|5FEWX|8RCR|aDUR
178	21225 22242	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5BEXP|9RCR|aDUR
179	21225 25132	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|3BPWR|49DMG|5BEXP|8RCR|aDUR
180	21226 22242	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5LWND|9RCR|aDUR
181	21226 25132	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|3BPWR|49DMG|5LWND|8RCR|aDUR
182	21262 12242	9	   	267.23	DCR|5VULN|2DMG|1DUR	12389VULN|3BPWR|4DUR|5RCVC|67DMG|aRCR
183	21621 22252	9	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5DUR|9RCVC|aRCR
184	21621 22342	9	   	267.23	DCR|5VULN|2DMG|1DUR	12369VULN|47DMG|5DUR|8RCVC|aRCR
185	21621 25134	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|49DMG|5DUR|8RCR|aLWND
186	21623 22242	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5FEWX|9RCR|aDUR
187	21623 25132	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|49DMG|5FEWX|8RCR|aDUR
