0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15233 16361	6	 * 	298.81	DCR|3VULN|3DMG|3DUR|1TLV	168DMG|238VULN|48LHND|567DUR|68BPWR|9RCR|aTLV
47	13633 24151	1	 * 	274.52	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|24aVULN|3RPLT|4BPWR|57TLV|6DUR|9RCR
48	15133 24151	3	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|24aVULN|3RPLT|4BPWR|57TLV|6DUR|9RCR
49	15232 31224	10	   	273.80	DCR|4VULN|2DMG|2LIT|1CDMG	1aDMG|238aVULN|4LHND|5LEGI|6CDMG|7aLIT|9RCR|aBPWR
50	15314 22141	9	 * 	273.66	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	19DMG|29VULN|36DUR|4TLV|589ASPD|7DMSP|9BPWR|aRCR
51	15314 23241	9	   	273.66	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	19DMG|29VULN|36DUR|4TLV|579ASPD|8DMSP|9BPWR|aRCR
52	15314 13351	7	   	273.56	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	18DMG|26VULN|39DUR|4TLV|567ASPD|6BPWR|aRCR
53	51244 22313	7	   	273.54	DCR|3VULN|3DUR|3ASPD|1CDMG	1RPLT|289DUR|3CDMG|458ASPD|6RCR|78aVULN|8BPWR
54	15362 32334	4	 * 	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	18DMG|289VULN|36DUR|4RPLT|5DUST|78CDMG|8BPWR|aRCR
55	15324 12324	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	18DMG|248VULN|39DUR|5DUST|6RPLT|78CDMG|8BPWR|aRCR
56	13634 12253	1	   	273.21	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	14DMG|248VULN|3RPLT|4BPWR|5CDMG|6DUR|7ASPD|9AART|aRCR
57	13634 12523	1	   	273.21	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	14DMG|249VULN|3RPLT|4BPWR|5CDMG|6DUR|7ASPD|8AART|aRCR
58	15134 12253	3	   	273.21	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	14DMG|248VULN|3RPLT|4BPWR|5CDMG|6DUR|7ASPD|9AART|aRCR
59	15134 12523	3	   	273.21	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	14DMG|249VULN|3RPLT|4BPWR|5CDMG|6DUR|7ASPD|8AART|aRCR
60	15328 24335	5	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	18DMG|2689VULN|3DUR|4MBVNT|5ASPD|78FEWX|8BPWR|aRCR
61	13361 16215	1	 * 	271.85	DCR|2VULN|3DMG|2DUR|2CDMG	149DMG|2aVULN|3TBNT|5aDUR|6aCDMG|7RCR|8AART|aBPWR
62	14142 22321	7	 * 	271.29	DCR|4VULN|2DMG|3CDMG	18DMG|2LEGI|3RPLT|458CDMG|6RCR|789aVULN|8BPWR
63	15316 13335	8	   	271.19	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1aDMG|25VULN|3aDUR|4TLV|6LIT|7DMSP|8RCR|9aCDMG|aBPWR
64	13633 22151	1	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|24aVULN|37RPLT|4BPWR|5TLV|6DUR|9RCR
65	13633 33152	1	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aBEXP
66	13633 33154	1	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aRMIN
67	13633 33155	1	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aFEWX
68	13633 33156	1	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aBELT
69	15133 22151	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|24aVULN|37RPLT|4BPWR|5TLV|6DUR|9RCR
70	15133 33152	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aBEXP
71	15133 33154	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aRMIN
72	15133 33155	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aFEWX
73	15133 33156	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aBELT
74	15633 22151	2	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|24aVULN|37RPLT|4BPWR|5TLV|6DUR|9RCR
75	15633 33152	2	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9RCR|aBEXP
76	13633 33114	1	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9LHND|aRCR
77	15133 33114	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9LHND|aRCR
78	15633 33114	2	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9LHND|aRCR
79	13633 33144	1	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9DUST|aRCR
80	15133 33144	3	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	148DMG|246VULN|3RPLT|4BPWR|5TLV|7DUR|9DUST|aRCR
81	11631 53226	10	   	270.51	DCR|4VULN|3DMG	137DMG|2CGEN|47ERES|567aVULN|7BPWR|8RCR|9AART
82	13536 12523	1	   	270.51	DCR|4VULN|3DMG	147DMG|2369VULN|5BEXP|8AART|aRCR
83	15236 12523	3	   	270.51	DCR|4VULN|3DMG	147DMG|2369VULN|5BEXP|8AART|aRCR
84	11343 53533	8	   	270.51	DCR|4VULN|3DMG	179DMG|2CGEN|3467VULN|57ERES|7BPWR|8AART|aRCR
85	13536 11533	1	   	270.51	DCR|4VULN|3DMG	149DMG|2368VULN|5BEXP|7AART|aRCR
86	15236 11533	3	   	270.51	DCR|4VULN|3DMG	149DMG|2368VULN|5BEXP|7AART|aRCR
87	13526 32533	1	   	270.41	DCR|4VULN|3DMG	159DMG|2378VULN|4AART|6DUST|aRCR
88	15226 32533	3	   	270.41	DCR|4VULN|3DMG	159DMG|2378VULN|4AART|6DUST|aRCR
89	51242 22321	7	   	270.33	DCR|3VULN|3DUR|2ASPD|2CDMG	1RPLT|289DUR|35CDMG|48ASPD|6RCR|78aVULN|8BPWR
90	15327 46131	6	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18DMG|28aVULN|3DUR|4MBVNT|5CGEN|68LIT|7RCR|8BPWR|9TLV
91	15322 46131	6	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18DMG|28aVULN|3DUR|4MBVNT|5ERES|68LIT|7RCR|8BPWR|9TLV
92	13633 61411	1	   	269.85	DCR|4VULN|2DMG|1TLV	14DMG|248aVULN|39RPLT|4BPWR|5TLV|6LIT|7RCR
93	15133 61411	3	   	269.85	DCR|4VULN|2DMG|1TLV	14DMG|248aVULN|39RPLT|4BPWR|5TLV|6LIT|7RCR
94	13226 12543	10	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|256BEXP|369VULN|4MBVNT|69BPWR|79DUR|8RCR|aTLV
95	15253 12643	4	   	269.77	DCR|3VULN|2DMG|2ASPD|1DUR	19DMG|239VULN|4ZMB|5MBVNT|6DUR|79ASPD|8AART|9BPWR|aRCR
96	13633 22443	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|248VULN|37RPLT|4BPWR|5TLV|69DUR|aRCR
97	15133 22443	3	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|248VULN|37RPLT|4BPWR|5TLV|69DUR|aRCR
98	15213 61141	9	   	269.53	DCR|3VULN|2DMG|3ASPD|1DUR	19DMG|239VULN|45ERES|6DUR|789ASPD|9BPWR|aRCR
99	15254 13323	8	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	19aDMG|23aVULN|4ZMB|5DUR|6aLIT|7DMSP|8RCR|aBPWR
100	15262 13323	8	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	19aDMG|23aVULN|4DUR|5ZMB|6aLIT|7DMSP|8RCR|aBPWR
101	11661 22243	5	   	269.48	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	139DMG|2CGEN|49VULN|5ASPD|6LEGI|7TLV|89DUR|9BPWR|aRCR
102	15363 63132	10	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|2569VULN|38DUR|4RPLT|7ASPD|aRCR
103	15363 63133	9	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|2569VULN|38DUR|4RPLT|7ASPD|aRCR
104	21311 25235	1	   	269.43	DCR|4VULN|2DUR|1TLV|2LIT|1SELL	1SELL|2aLIT|345aVULN|6ZMB|7RCR|8TLV|9aDUR|aBPWR
105	15263 11362	6	   	269.34	DCR|3VULN|3DMG|2DUR	168DMG|238VULN|48DUR|567LWND|68BPWR|9RCR|aFEWX
106	15263 11363	6	   	269.34	DCR|3VULN|3DMG|2DUR	168DMG|238VULN|48DUR|567LWND|68BPWR|9RCR|aCGEN
107	11325 17253	9	 * 	269.14	DCR|3VULN|3DMG|3ASPD	169DMG|2CGEN|379VULN|4MBVNT|569ASPD|69BPWR|8DMSP|aRCR
