0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12312 15744	8	 * 	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aCDMG
29	42333 15252	6	   	291.78	DCR|4VULN|3DMG|2DUR	19DUR|2RCVC|3568VULN|469DMG|69BPWR|79DUST|aRCR
30	53243 14211	6	   	291.69	DCR|5VULN|2DUR|2AART|1TLV	1TLV|24568VULN|36DUR|6BPWR|7RCR|9aAART
31	12312 15814	9	   	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aCDMG
32	12312 15815	10	   	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aCDMG
33	12312 15826	9	   	290.84	DCR|4VULN|3DMG|1TLV|1CDMG	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aCDMG
34	41343 11162	10	   	289.98	DCR|4VULN|2DMG|2AART|1DUR|1ASPD	1DUR|26DMG|3456VULN|6BPWR|78AART|9ASPD|aRCR
35	43384 53143	1	   	289.35	DCR|4VULN|3DUR|2DMG	17aDUR|2MBVNT|3789VULN|4RPLT|57DMG|6RCR|7BPWR
36	13154 53122	5	   	289.35	DCR|4VULN|3DUR|2DMG	157aVULN|2LHND|367ERES|47aDUR|7aBPWR|8aDMG|9RCR
37	13156 53122	4	   	289.35	DCR|4VULN|3DUR|2DMG	157aVULN|2LHND|367ERES|47aDUR|7aBPWR|8aDMG|9RCR
38	13884 53143	1	   	289.35	DCR|4VULN|3DUR|2DMG	1789VULN|2MBVNT|37aDUR|4RPLT|57DMG|6RCR|7BPWR
39	11112 23652	2	   	289.06	ACR|4VULN|3DMG|3DUR|1TLV	1479VULN|237DMG|5RCR|678DUR|7BPWR|aTLV
40	12312 15883	8	   	288.79	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9LIT
41	11316 53235	2	   	288.79	DCR|5VULN|3DMG|1NUKE	14678VULN|267DMG|3RCVC|5NUKE|67BPWR|9LIT|aRCR
42	12116 53235	2	   	288.79	DCR|5VULN|3DMG|1NUKE	14678VULN|2RCVC|3NUKE|567DMG|67BPWR|9LIT|aRCR
43	12312 15817	10	   	288.20	DCR|4VULN|3DMG|1DUR|1ASPD	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aASPD
44	53233 14211	6	 * 	287.49	DCR|5VULN|3DUR|1TLV	1TLV|25689VULN|36aDUR|4DMSP|6BPWR|7RCR
45	53243 24211	5	   	287.39	DCR|5VULN|3DUR|1TLV	1TLV|24589VULN|36aDUR|7RCR
46	51223 43353	1	   	286.97	DCR|3VULN|3DUR|2DMG|3TLV	18aTLV|25LWND|358DUR|4RPLT|58aBPWR|68aVULN|7RCR|9aDMG
47	12312 15821	10	   	286.86	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aAART
48	11112 23654	2	   	286.46	ACR|4VULN|3DMG|3DUR|1CDMG	1479VULN|237DMG|5RCR|678DUR|7BPWR|aCDMG
49	41354 21132	5	   	286.17	DCR|3VULN|3DMG|1DUR|1CDMG	1DUR|257DMG|35aVULN|4AART|5BPWR|6LIT|8CDMG|9RCR
50	41343 12351	10	   	286.10	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9TLV|aLIT
51	12312 65743	8	   	285.79	DCR|4VULN|2DMG|2DUR	1369VULN|2RCVC|4MBVNT|59DMG|7RCR|89DUR|9BPWR|aAART
52	12312 15852	8	   	285.60	DCR|4VULN|3DMG|1CDMG|1ASPD	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9CDMG|aASPD
53	12312 15814	10	   	285.50	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aLIT
54	12312 16727	9	   	285.32	DCR|4VULN|2DMG|2TLV|2CDMG	1369VULN|2RCVC|4MBVNT|56DMG|69BPWR|79TLV|89CDMG|aRCR
55	11243 11333	10	   	284.68	DCR|3VULN|3DUR|2DMG	145VULN|26DMG|369DUR|6BPWR|7AART|8LIT|aRCR
56	11231 46533	3	 * 	284.66	DCR|3VULN|2DMG|2DUR|2ASPD	17aVULN|27DMG|3aDUR|4LWND|5AART|67ASPD|7aBPWR|8aCGEN|9RCR
57	41354 21333	6	   	284.56	DCR|3VULN|2DMG|2DUR|2ASPD	1aDUR|25DMG|35aVULN|4AART|5aBPWR|6CGEN|7LWND|8aASPD|9RCR
58	11262 73272	5	   	284.45	DCR|3VULN|2DMG|2DUR|2TLV|1ASPD	178VULN|27DMG|39DUR|4MBVNT|5ASPD|67TLV|7BPWR|aRCR
59	13441 73272	1	   	284.45	DCR|3VULN|2DMG|2DUR|2TLV|1ASPD	178VULN|2MBVNT|37DMG|4ASPD|59DUR|67TLV|7BPWR|aRCR
60	12312 15843	8	   	284.26	DCR|4VULN|3DMG|1CDMG	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9AART|aCDMG
61	11264 48844	4	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	18aVULN|25aDMG|35DUR|4MBVNT|5aBPWR|6BEXP|7aLIT|9RCR
62	53243 14212	6	   	283.92	DCR|5VULN|2DUR|1TLV	1TLV|24568VULN|36DUR|6BPWR|7RCR|9AART|aFEWX
63	53243 11162	10	   	283.16	DCR|4VULN|2DUR|2AART|1TLV|1ASPD	1TLV|2456VULN|36DUR|6BPWR|78AART|9ASPD|aRCR
64	11243 66112	8	   	283.15	DCR|4VULN|2DUR|1DMG|2LIT	1459VULN|2DMG|39DUR|6RMIN|79LIT|8RCR|9BPWR|aAART
65	41216 23623	6	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|27DMG|4TLV|5ZMB|67aVULN|7BPWR|8LWND|9RCR
66	41216 23223	6	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|27DMG|4TLV|5ZMB|67aVULN|7BPWR|8DUST|9RCR
67	12313 15444	8	 * 	282.96	DCR|4VULN|3ASPD|2DUR|1CDMG	1369VULN|2RCVC|4MBVNT|569ASPD|69BPWR|7RCR|89DUR|aCDMG
68	53221 43361	2	   	282.87	DCR|4VULN|3DUR|2TLV|1ASPD	19TLV|2569VULN|359DUR|4RPLT|59BPWR|7RCR|8DMSP|aASPD
69	53221 43361	3	   	282.87	DCR|4VULN|3DUR|2TLV|1ASPD	19TLV|2569VULN|359DUR|4RPLT|59BPWR|7RCR|8DMSP|aASPD
70	11265 33184	6	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	157VULN|27DMG|367DUR|4MBVNT|7BPWR|8TBNT|9RCR|aTLV
71	11265 33384	6	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	157VULN|27DMG|367DUR|4MBVNT|7BPWR|8BBNT|9RCR|aTLV
72	13347 82284	1	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	158VULN|2MBVNT|3BBNT|48DMG|678DUR|8BPWR|9RCR|aTLV
73	11163 14361	8	 * 	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1569VULN|29DMG|3ERES|46ZMB|69BPWR|7RCR|89ASPD|aDUR
74	41113 56121	10	   	282.56	DCR|3VULN|3DMG|3DUR	178DUR|267DMG|3ERES|489CGEN|578VULN|78BPWR|aRCR
75	11243 13641	10	   	282.36	DCR|3VULN|3DMG|3DUR	145VULN|269DMG|368DUR|6BPWR|7FEWX|aRCR
76	11243 11162	10	   	281.92	DCR|3VULN|2DMG|2DUR|2AART|1ASPD	145VULN|26DMG|36DUR|6BPWR|78AART|9ASPD|aRCR
77	53264 53142	9	   	281.40	DCR|4VULN|2DMG|2TLV|1DUR	18TLV|289aVULN|3DUR|4MBVNT|5ERES|68DMG|7RCR|8BPWR
78	11614 23222	6	   	281.18	DCR|5VULN|2DMG|1DUR	15678VULN|27DMG|3RCVC|47MLV|7BPWR|9RCR|aDUR
79	11624 23222	6	   	281.18	DCR|5VULN|2DMG|1DUR	15678VULN|27DMG|3RCVC|47CGEN|7BPWR|9RCR|aDUR
80	41343 12322	8	   	281.08	DCR|5VULN|2DMG|1DUR	1DUR|26DMG|34569VULN|6BPWR|7aRPLT|8RCR
81	41343 12323	8	   	281.08	DCR|5VULN|2DMG|1DUR	1DUR|26DMG|34569VULN|6BPWR|7RPLT|8RCR|aMLV
82	41343 12326	8	   	281.08	DCR|5VULN|2DMG|1DUR	1DUR|26DMG|34569VULN|6BPWR|7RPLT|8RCR|aBELT
83	41343 12332	10	   	281.08	DCR|5VULN|2DMG|1DUR	1DUR|26DMG|3456aVULN|6BPWR|7RPLT|8RCR|9MLV
84	41343 12343	8	   	281.08	DCR|5VULN|2DMG|1DUR	1DUR|26DMG|3456aVULN|6BPWR|7RPLT|8RCR|9BELT
85	11664 23222	6	   	281.08	DCR|5VULN|2DMG|1DUR	15678VULN|27DMG|3RCVC|4RMIN|7BPWR|9RCR|aDUR
86	41343 11326	6	   	280.98	DCR|5VULN|2DMG|1DUR	1DUR|26DMG|3456aVULN|6BPWR|7TBNT|8CGEN|9RCR
87	12312 15211	7	   	280.98	DCR|5VULN|2DMG|1DUR	13689VULN|2RCVC|4MBVNT|56DMG|6BPWR|7RCR|aDUR
88	12312 15748	9	   	280.98	DCR|5VULN|2DMG|1DUR	1369aVULN|2RCVC|4MBVNT|56DMG|6BPWR|7RCR|8DUR
89	12312 15748	10	   	280.98	DCR|5VULN|2DMG|1DUR	1369aVULN|2RCVC|4MBVNT|56DMG|6BPWR|7RCR|8DUR
90	12312 65811	8	   	280.98	DCR|5VULN|2DMG|1DUR	13689VULN|2RCVC|4MBVNT|58DMG|7RCR|8BPWR|aDUR
91	11166 24222	1	   	280.98	DCR|5VULN|2DMG|1DUR	14578VULN|2ZMB|36DMG|9RCR|aDUR
92	11316 54222	2	   	280.98	DCR|5VULN|2DMG|1DUR|1NUKE	14678VULN|26DMG|3RCVC|5NUKE|6BPWR|9RCR|aDUR
93	12116 54222	2	   	280.98	DCR|5VULN|2DMG|1DUR|1NUKE	14678VULN|2RCVC|3NUKE|56DMG|6BPWR|9RCR|aDUR
94	12312 15851	8	   	280.91	DCR|4VULN|3DMG|2CDMG	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9aCDMG
95	41343 12332	8	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9LIT|aASPD
96	41321 14222	3	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|25DMG|3589VULN|4RPLT|5BPWR|6LIT|7RCR|aASPD
97	11243 12356	9	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	145VULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|9TLV|aASPD
98	13142 63882	1	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	167VULN|2MBVNT|3DUST|47DUR|57DMG|7BPWR|8TLV|9ASPD|aRCR
99	12312 13874	10	   	280.58	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|568DMG|68BPWR|78FEWX|9RCR
100	12312 15223	7	   	280.58	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|56aDMG|6aBPWR|7RCR|9aCGEN
101	12312 15348	7	   	280.58	DCR|5VULN|3DMG	1369aVULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89LWND
102	12312 15483	8	   	280.58	DCR|5VULN|3DMG	1369aVULN|2RCVC|4MBVNT|56aDMG|6aBPWR|7RCR|8aMLV
103	12312 65823	8	   	280.58	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|58aDMG|7RCR|8aBPWR|9aCGEN
104	12312 15818	8	   	280.48	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9LHND
105	12312 15831	8	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aLHND
106	12312 15834	8	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aBEXP
107	12312 15835	8	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aFEWX
108	12312 15837	8	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aCGEN
109	12312 15838	9	   	280.48	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9LWND
110	12312 15841	9	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aLHND
111	12312 15841	10	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aRPLT
112	12312 15842	10	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aLHND
113	12312 15844	10	   	280.48	DCR|5VULN|3DMG	13689VULN|2aRCVC|4MBVNT|568DMG|68BPWR|7RCR
114	12312 15844	9	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aBEXP
115	12312 15845	9	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aFEWX
116	12312 15847	9	   	280.48	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aCGEN
117	12312 15213	7	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|56aDMG|6BPWR|7RCR
118	12312 15832	8	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aDUST
119	12312 15833	8	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aERES
120	12312 15836	8	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aLEGI
121	12312 15838	8	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aTBNT
122	12312 15842	9	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aDUST
123	12312 15843	10	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aDUST
124	12312 15843	9	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aERES
125	12312 15846	9	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aLEGI
126	12312 15848	10	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aERES
127	12312 15848	9	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aTBNT
128	12312 15862	9	   	280.38	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUST
129	12312 15864	10	   	280.38	DCR|5VULN|3DMG	1368aVULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUST
130	12312 65813	8	   	280.38	DCR|5VULN|3DMG	13689VULN|2RCVC|4MBVNT|58aDMG|7RCR|8BPWR
131	13312 15848	1	   	280.28	DCR|5VULN|3DMG	1689aVULN|2MBVNT|3BBNT|4TBNT|568DMG|68BPWR|7RCR
132	13444 83782	1	   	280.07	DCR|3VULN|2DMG|2ASPD|2TLV|1DUR	179VULN|2MBVNT|35DMG|47ASPD|67TLV|7BPWR|8DUR|aRCR
133	11112 23114	2	   	279.75	ACR|4VULN|3DMG|2DUR|2CDMG	147aVULN|237DMG|5RCR|67DUR|7aBPWR|8aCDMG|9aFEWX
134	11112 23124	2	   	279.75	ACR|4VULN|3DMG|2DUR|2CDMG	147aVULN|237DMG|5RCR|67DUR|7aBPWR|8aCDMG|9aLHND
135	11243 52352	10	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1456aVULN|2DMG|3DUR|7RPLT|8RCR|9TLV
136	41343 11235	7	   	279.41	DCR|4VULN|2DMG|1DUR	1DUR|26DMG|3456VULN|6BPWR|7AART|8TBNT|9RCR|aLIT
137	41343 16131	10	   	279.41	DCR|4VULN|2DMG|1DUR	1DUR|26DMG|3456VULN|6BPWR|7DLOT|8AART|9LIT|aRCR
138	12313 65448	8	 * 	279.23	DCR|5VULN|2DUR|2ASPD	1369aVULN|2RCVC|4MBVNT|59ASPD|7RCR|89DUR|9BPWR
139	41321 43121	3	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|258DMG|356VULN|4RPLT|5BPWR|7RCR|9TLV|aLIT
140	41343 11122	10	   	278.97	DCR|4VULN|2DMG|2AART|1DUR	1DUR|26DMG|3456VULN|6BPWR|78AART|9ZMB|aRCR
141	11111 13656	2	   	278.90	DCR|3VULN|3DMG|2DUR	147VULN|238DMG|57DUR|67LWND|7BPWR|9RCR|aAART
142	11243 12351	10	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	145VULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|9TLV|aLIT
143	12313 65843	9	 * 	277.98	DCR|5VULN|3ASPD|2TLV	1368aVULN|2RCVC|4MBVNT|58aASPD|7RCR|8aBPWR|9aTLV
144	41343 12351	8	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9RCVC|aTLV
145	41343 12352	9	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9TLV|aBELT
146	41343 12353	9	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9TLV|aRCVC
147	41343 12353	10	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9TLV|aBEXP
148	41333 12321	8	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3569VULN|4DMSP|6BPWR|7RPLT|8RCR|aTLV
149	41333 12352	10	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|356aVULN|4DMSP|6BPWR|7RPLT|8RCR|9TLV
150	42333 12321	8	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2RCVC|3569VULN|46DMG|6BPWR|7RPLT|8RCR|aTLV
151	42333 12352	10	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2RCVC|356aVULN|46DMG|6BPWR|7RPLT|8RCR|9TLV
152	13481 43282	1	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1789VULN|2MBVNT|37DMG|4TLV|5DUR|67ZMB|7BPWR|aRCR
153	41343 12351	9	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9TLV|aBBNT
154	12312 65841	9	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1368VULN|2RCVC|4MBVNT|58DMG|7RCR|8BPWR|9TLV|aDUR
155	41214 43223	6	 * 	277.26	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	137DUR|27DMG|4TLV|5aVULN|67ASPD|7BPWR|8DUST|9RCR
156	12312 15811	10	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aBELT
157	12312 15812	9	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aBELT
158	12312 15813	9	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aBEXP
159	12312 15816	10	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aBEXP
160	12312 15816	9	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aZMB
161	12312 15817	9	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aDMSP
162	12312 15818	9	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aLHND
163	12312 15818	10	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2aRCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR
164	12312 15822	8	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9CGEN|aDUR
165	12312 15823	9	   	277.19	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aBELT
166	12312 15823	10	   	277.19	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aBEXP
167	12312 15824	10	   	277.19	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aCGEN
168	12312 15825	9	   	277.19	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aBEXP
169	12312 15827	9	   	277.19	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aZMB
170	12312 15832	10	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9LWND|aDUR
171	12312 15852	10	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9LHND|aDUR
172	12312 15862	8	   	277.19	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9RMIN|aDUR
173	12312 15811	9	   	277.09	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aDUST
174	12312 15821	9	   	277.09	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aDUST
175	12312 15824	9	   	277.09	DCR|4VULN|3DMG|1TLV	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aERES
176	12312 15872	10	   	277.09	DCR|4VULN|3DMG|1DUR|1NUKE	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9NUKE|aDUR
