0	Index      	 *	Score 	Summary	Detail	
1	52122 12356	 * 	196.09	DCR|3DMG|2AART|1VULN|2CDMG	1BELT|2aLWND|3VULN|45AART|6RCR|78aDMG|9aCDMG|aBPWR
27	35522 42232	   	176.57	DCR|3VULN|2DMG|1AART	1LWND|248VULN|3DMSP|5MBVNT|6aDMG|7RCR|9AART
28	16112 36431	   	176.53	DCR|3VULN|2AART|2CDMG	1RPLT|27aVULN|35AART|47ERES|6RCR|7aBPWR|8aBEXP|9aCDMG
29	16112 36531	   	176.53	DCR|3VULN|2AART|2CDMG	1RPLT|27aVULN|35AART|47ERES|6RCR|7aBPWR|8aLHND|9aCDMG
30	16112 36631	   	176.53	DCR|3VULN|2AART|2CDMG	1RPLT|27aVULN|35AART|47ERES|6RCR|7aBPWR|8aLWND|9aCDMG
31	16135 21151	   	176.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2aVULN|3AART|4FEWX|5ZMB|6DUR|7CDMG|8RCR|9DMG
32	42136 21112	   	175.03	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1FEWX|24AART|3BEXP|5RCR|6aVULN|7DUR|8ZMB|9DMG
33	42136 26212	   	175.03	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1FEWX|24AART|3BEXP|5RCR|6aVULN|7ZMB|8DUR|9DMG
34	13532 21151	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2BEXP|3aVULN|4ZMB|5AART|6DUR|7CDMG|8RCR|9DMG
35	42136 33521	 * 	174.78	ACR|2AART|2VULN|2DMG	19FEWX|24AART|3aBEXP|5RCR|69DMG|79VULN|8MBVNT|9BPWR
36	42136 33523	   	174.78	ACR|2AART|2VULN|2DMG	19FEWX|24AART|3BEXP|5RCR|69DMG|79VULN|8MBVNT|9BPWR|aDMSP
37	42136 33524	   	174.78	ACR|2AART|2DMG|2VULN	19FEWX|24AART|3BEXP|5RCR|69DMG|79VULN|8MBVNT|9BPWR|aLHND
38	42136 33522	   	174.68	ACR|2AART|2VULN|2DMG	19FEWX|24AART|3BEXP|5RCR|69DMG|79VULN|8MBVNT|9BPWR|aTLV
39	16121 33356	 * 	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1RPLT|2aVULN|39AART|45CGEN|6RCR|7CDMG|8DMG
40	16112 33312	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1RPLT|2aVULN|35AART|4ERES|6RCR|7CDMG|8DMG|9CGEN
41	16112 33365	   	174.42	DCR|2AART|2DMG|1VULN|1CDMG	1RPLT|2VULN|35AART|4ERES|6RCR|7CDMG|8aDMG|9BELT
42	16112 33346	   	174.32	DCR|2AART|2VULN|1DMG|1CDMG	1RPLT|2aVULN|35AART|49ERES|6RCR|7CDMG|8DMG
43	16112 36324	   	174.31	DCR|3VULN|2AART|1ZMB|1DUR	1RPLT|279VULN|35AART|47ERES|6RCR|7BPWR|8DUR|aZMB
44	42452 12331	   	174.15	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	1FEWX|2AART|36ASPD|46ZMB|5RCR|6BPWR|79VULN|8DMG|aLWND
45	42452 12332	   	174.05	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	1FEWX|2AART|36ASPD|46ZMB|5RCR|6BPWR|79VULN|8DMG|aTLV
46	52122 12314	   	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9LHND|aCDMG
47	52122 12324	   	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9BEXP|aCDMG
48	52122 12351	   	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1BELT|2aLWND|3VULN|45AART|6RCR|78DMG|9CDMG
49	52122 12352	   	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9CDMG|aMLV
50	52122 12353	   	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1aBELT|2LWND|3VULN|45AART|6RCR|78DMG|9CDMG
51	52122 12355	   	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9CDMG|aCGEN
52	33636 26123	 * 	173.83	DCR|2VULN|1AART|3CDMG|1DMG	19LWND|2AART|3DMG|49VULN|5RPLT|69aCDMG|7RCR|8RMIN|9BPWR
53	33634 16123	   	173.83	DCR|2VULN|1AART|3CDMG|1DMG	19LWND|2AART|3DMG|49VULN|59aCDMG|6RPLT|7RCR|8RMIN|9BPWR
54	52122 12354	   	173.82	DCR|2AART|2DMG|1VULN|1CDMG	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9CDMG|aDUST
55	21455 22311	 * 	173.58	DCR|2DMG|1VULN|2CDMG|1FLTHEA|1ZMB|1ASPD	18CDMG|2ZMB|3LIT|4VULN|5FLTHEA|6RCR|7aDMG|9ASPD
56	35422 42237	 * 	173.08	DCR|4VULN|1AART|1DMG	13LWND|248aVULN|5MBVNT|6DMG|7RCR|9AART
57	35522 42237	   	173.08	DCR|4VULN|1AART|1DMG	1LWND|248aVULN|3DMSP|5MBVNT|6DMG|7RCR|9AART
58	13631 33451	   	173.07	DCR|3VULN|2DMG|1AART	1RPLT|28BEXP|34DMG|56aVULN|7AART|9RCR
59	11324 32366	 * 	173.03	DCR|3VULN|2DMG|2CDMG	1RPLT|2aCDMG|3aLHND|4FEWX|568VULN|7RCR|9aDMG|aBPWR
60	11364 32326	   	173.03	DCR|3VULN|2DMG|2CDMG	1RPLT|2aCDMG|3aLHND|4LWND|568VULN|7RCR|9aDMG|aBPWR
61	11334 32366	   	172.93	DCR|3VULN|2DMG|2CDMG	1RPLT|2aCDMG|3aLHND|4DUST|568VULN|7RCR|9aDMG|aBPWR
62	26323 36316	   	172.85	DCR|2VULN|2DMG|3CDMG|1DUR	159CDMG|24RMIN|35BEXP|59BPWR|6RCR|79DMG|89VULN|aDUR
63	42136 33126	   	172.75	ACR|3VULN|2AART|1DMG	19FEWX|24AART|3BEXP|5RCR|6DMG|78aVULN
64	42136 33131	   	172.75	ACR|3VULN|2AART|1DMG	1FEWX|24AART|3BEXP|5RCR|6DMG|789VULN|aLWND
65	42136 33134	   	172.75	ACR|3VULN|2AART|1DMG	1FEWX|24AART|3BEXP|5RCR|6DMG|789VULN|aLIT
66	42136 33336	   	172.75	ACR|3VULN|2AART|1DMG	18FEWX|24AART|3BEXP|5RCR|6DMG|79aVULN
67	16236 25231	   	172.73	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|258VULN|3CGEN|4DMG|6CDMG|7RCR|9AART|aLWND
68	16516 22232	   	172.73	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|258VULN|3LWND|4RCVC|6CDMG|7RCR|9AART|aDMG
69	42513 12633	 * 	172.68	DCR|3AART|2VULN|1DMG|1ASPD	1FEWX|248AART|3BELT|5aVULN|6RCR|7DMG|9ASPD
70	16113 36153	   	172.67	DCR|4VULN|1AART|2ASPD	1RPLT|279aVULN|3AART|479ERES|5RCVC|6RCR|79BPWR|89ASPD
71	42136 33132	   	172.65	ACR|3VULN|2AART|1DMG	1FEWX|24AART|3BEXP|5RCR|6DMG|789VULN|aTLV
72	16236 25232	   	172.63	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|258VULN|3CGEN|4DMG|6CDMG|7RCR|9AART|aTLV
73	42513 14123	   	172.58	DCR|2AART|2VULN|2CDMG|1ZMB	1aFEWX|24AART|3BELT|5aVULN|6RCR|7LIT|8ZMB|9aCDMG|aBPWR
74	21613 32466	   	172.55	DCR|2VULN|3ZMB|3CDMG|1AART	158CDMG|235ZMB|4MBVNT|58BPWR|68VULN|78LWND|9RCR|aAART
75	21613 31466	   	172.35	DCR|2VULN|3ZMB|3CDMG|1AART	158CDMG|235ZMB|4MBVNT|58BPWR|68VULN|7LEGI|9RCR|aAART
76	26628 31314	 * 	172.30	DCR|3VULN|3ZMB|3CDMG	19aCDMG|2RMIN|39aZMB|4MBVNT|57RCVC|6RCR|89aVULN|9aBPWR
77	62414 11221	 * 	172.04	DCR|2VULN|2AART|1DMG|2CDMG	13RCVC|28MGNLIT|4DMG|58CDMG|6aAART|78VULN|8BPWR|9RCR
78	16134 26112	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2aVULN|3AART|4FEWX|5RMIN|6CDMG|7RCR|8ZMB|9DMG
79	11353 63111	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3LHND|4ERES|5ZMB|6RCR|7AART|8aVULN|9DMG
80	21263 63111	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3LWND|4RPLT|5ERES|6RCR|7AART|8aVULN|9DMG
81	53125 14123	   	171.56	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	1BELT|2aDUR|3aVULN|4DMSP|5AART|6RCR|7LIT|8ZMB|9aCDMG|aBPWR
82	31361 13515	   	171.53	DCR|3DMG|1AART|1VULN|1CDMG	1LWND|2LIT|3MLV|4CDMG|56aDMG|7AART|8RCR|9VULN
83	31361 13533	   	171.53	DCR|3DMG|1AART|1VULN|1CDMG	1LWND|2LIT|3MLV|4CDMG|569DMG|7AART|8RCR|aVULN
84	33631 23635	   	171.42	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1LWND|2AART|36DMG|47VULN|5BEXP|8SELL|9CDMG|aRCR
85	52122 14123	   	171.38	DCR|2AART|2VULN|2CDMG|1ZMB	1BELT|2aLWND|3aVULN|45AART|6RCR|7LIT|8ZMB|9aCDMG|aBPWR
86	56122 14123	   	171.38	DCR|2AART|2VULN|2CDMG|1ZMB	1BELT|2aLHND|3aVULN|45AART|6RCR|7LIT|8ZMB|9aCDMG|aBPWR
87	11221 26323	 * 	171.33	DCR|2DMG|3CDMG|1AART|1VULN	1RPLT|29aCDMG|3NUKE|4VULN|59LWND|6AART|7RCR|89DMG|9BPWR
88	42136 21114	 * 	171.10	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|24AART|3BEXP|5RCR|6VULN|7DUR|8ZMB|9DMG|aCDMG
89	42136 21312	   	170.97	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1FEWX|24AART|3BEXP|5RCR|6aVULN|7DUR|8ASPD|9DMG
90	42136 26133	   	170.63	ACR|3VULN|2AART|1ZMB|1DUR	1FEWX|24AART|3BEXP|5RCR|689VULN|7ZMB|aDUR
91	33242 34226	   	170.61	DCR|3VULN|2AART|1CDMG	1LWND|24AART|3CANHEL|5RPLT|6RCR|78aVULN|9CDMG
92	42242 34223	   	170.61	DCR|3VULN|2AART|1CDMG	1FEWX|24AART|3CANHEL|5RPLT|6RCR|78aVULN|9CDMG
93	42452 33223	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|7aVULN|8DUR|9LSRICY
94	42452 33123	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	19FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|78VULN|aDUR
95	42452 33333	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	18FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|79VULN|aDUR
96	21512 54421	   	170.48	DCR|3VULN|1AART|2CDMG|1ZMB	13CDMG|2ZMB|4MBVNT|59aVULN|6FEWX|7RCR|8AART
97	21512 84421	   	170.48	DCR|3VULN|1AART|2CDMG|1ZMB	13CDMG|2ZMB|4MBVNT|59aVULN|6LWND|7RCR|8AART
98	13522 26112	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2BEXP|3aVULN|4MLV|5AART|6CDMG|7RCR|8ZMB|9DMG
99	16112 36421	   	170.47	DCR|4VULN|2AART	1RPLT|279aVULN|35AART|47ERES|6RCR|7BPWR|8BEXP
100	16112 36521	   	170.47	DCR|4VULN|2AART	1RPLT|279aVULN|35AART|47ERES|6RCR|7BPWR|8LHND
101	16112 36621	   	170.47	DCR|4VULN|2AART	1RPLT|279aVULN|35AART|47ERES|6RCR|7BPWR|8LWND
102	52122 21356	 * 	170.43	DCR|2AART|2VULN|2CDMG|2ZMB	1BELT|2aLWND|36VULN|45AART|7aZMB|8RCR|9aCDMG|aBPWR
103	42452 21311	   	170.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1FEWX|2AART|3ASPD|4ZMB|5RCR|6aVULN|7DUR|8ERES|9DMG
104	42452 33212	   	170.43	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|7aVULN|8DUR|9NUKE
105	42452 33231	   	170.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|7aVULN|8DUR|9ERES
106	21455 23122	 * 	170.40	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1CDMG|2ZMB|3LIT|49VULN|5FLTHEA|6RCR|7RPLT|8DUR|aAART
107	21512 34421	   	170.38	DCR|3VULN|1AART|2CDMG|1ZMB	13CDMG|2ZMB|4MBVNT|59aVULN|6DUST|7RCR|8AART
108	42452 12311	 * 	170.30	ACR|3ZMB|1AART|1DMG|1VULN|2ASPD	1aFEWX|2AART|36ASPD|46aZMB|5RCR|6aBPWR|7VULN|8DMG|9aCGEN
109	42452 13333	 * 	170.11	ACR|1AART|1VULN|1DMG|2ZMB|2ASPD|1CDMG	1FEWX|2AART|36ASPD|46ZMB|5RCR|6BPWR|7DUST|8DMG|9VULN|aCDMG
110	16112 36152	   	170.01	DCR|3VULN|2AART|2ASPD	1RPLT|279VULN|35AART|479ERES|6RCR|79BPWR|89ASPD|aLHND
111	35422 72232	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	13LWND|248VULN|5MBVNT|6ZMB|7RCR|9AART|aDMG
112	35522 72232	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|248VULN|3DMSP|5MBVNT|6ZMB|7RCR|9AART|aDMG
113	16112 36151	   	169.91	DCR|3VULN|2AART|2ASPD	1RPLT|279VULN|35AART|479ERES|6RCR|79BPWR|89ASPD|aDUST
114	11421 26112	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3MLV|4aVULN|5LWND|6AART|7RCR|8ZMB|9DMG
115	33165 31151	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|3BEXP|4RPLT|5ZMB|6aVULN|7CDMG|8RCR|9DMG
116	11221 26342	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3NUKE|4aVULN|5LWND|6AART|7RCR|8DMG|9ZMB
117	15121 26112	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2TLV|3CDMG|4aVULN|5LWND|6AART|7RCR|8ZMB|9DMG
118	33634 12161	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|3DMG|4aVULN|5CDMG|6RPLT|7DUST|8RCR|9ZMB
119	33636 22161	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|3DMG|4aVULN|5RPLT|6CDMG|7DUST|8RCR|9ZMB
120	33636 31161	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|3DMG|4aVULN|5RPLT|6DUST|7CDMG|8RCR|9ZMB
121	14135 31151	   	169.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2LHND|3AART|4FEWX|5ZMB|6aVULN|7CDMG|8RCR|9DMG
122	53125 12314	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BELT|2DUR|3VULN|4DMSP|5AART|6RCR|78DMG|9LHND|aCDMG
123	53125 12324	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BELT|2DUR|3VULN|4DMSP|5AART|6RCR|78DMG|9BEXP|aCDMG
124	53125 12351	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BELT|2DUR|3VULN|4DMSP|5AART|6RCR|78DMG|9CDMG|aLWND
125	53125 12352	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BELT|2DUR|3VULN|4DMSP|5AART|6RCR|78DMG|9CDMG|aRMIN
126	53125 12353	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BELT|2DUR|3VULN|4DMSP|5AART|6RCR|78DMG|9CDMG|aTLV
127	12631 33614	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1RPLT|2FEWX|34DMG|567VULN|8CDMG|9RCR|aDUR
128	42513 12422	   	168.54	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1FEWX|24AART|3BELT|5VULN|6RCR|7DMG|8LIT|9CDMG|aZMB
129	42513 12126	   	168.41	DCR|2AART|2VULN|1DMG|1DUR	1FEWX|24AART|3BELT|5aVULN|6RCR|7DMG|8DUR|9LIT
130	33242 34633	   	168.31	DCR|2AART|2DMG|1VULN|1ASPD	1LWND|24AART|3CANHEL|5RPLT|6RCR|7VULN|8ASPD|9aDMG
131	42136 33216	 * 	168.30	ACR|3AART|2DMG|1VULN|1DUR	1FEWX|24aAART|3BEXP|5RCR|69DMG|7VULN|8DUR
132	26541 33112	   	168.24	DCR|1AART|3CDMG|1VULN|1DMG|1ZMB	138CDMG|2RMIN|4AART|5FEWX|6RCR|7ZMB|9DMG|aVULN
133	26541 33232	   	168.24	DCR|1AART|3CDMG|1VULN|1DMG|1ZMB	139CDMG|2RMIN|4AART|5FEWX|6RCR|7ZMB|8DMG|aVULN
134	16112 36312	   	168.24	DCR|2AART|2VULN|1CDMG|1DUR|1ASPD	1RPLT|27VULN|35AART|47ERES|6RCR|7BPWR|8DUR|9ASPD|aCDMG
135	42156 33133	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2AART|3BEXP|4RCVC|5RCR|6DMG|789VULN|aDUR
136	33434 16112	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3ASPD|4aVULN|5CDMG|6RPLT|7RCR|8RMIN|9DMG
137	33436 26112	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3ASPD|4aVULN|5RPLT|6CDMG|7RCR|8RMIN|9DMG
138	33536 13112	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3FEWX|4DUR|5DMG|6CDMG|7RCR|8RMIN|9aVULN
139	33646 13112	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3DMG|4DUR|5FEWX|6CDMG|7RCR|8RMIN|9aVULN
140	33664 33112	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3DMG|4FEWX|5CDMG|6DUR|7RCR|8RMIN|9aVULN
141	33434 16312	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3ASPD|4aVULN|5CDMG|6RPLT|7RCR|8DMG|9NUKE
142	33434 16331	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3ASPD|4aVULN|5CDMG|6RPLT|7RCR|8DMG|9ERES
143	33436 26312	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3ASPD|4aVULN|5RPLT|6CDMG|7RCR|8DMG|9NUKE
144	33436 26331	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3ASPD|4aVULN|5RPLT|6CDMG|7RCR|8DMG|9ERES
145	21612 54421	 * 	168.02	DCR|3VULN|1AART|2ZMB|1CDMG	1CDMG|23ZMB|4MBVNT|59aVULN|6FEWX|7RCR|8AART
146	21612 84421	   	168.02	DCR|3VULN|1AART|2ZMB|1CDMG	1CDMG|23ZMB|4MBVNT|59aVULN|6LWND|7RCR|8AART
147	42136 22112	   	168.00	ACR|2AART|2VULN|1DMG|1ZMB	1FEWX|24AART|3BEXP|5RCR|6aVULN|7DUST|8ZMB|9DMG
148	33634 32136	   	167.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1LWND|2AART|39DMG|4VULN|5CDMG|6DUR|7ASPD|8LIT|aRCR
149	21612 34421	   	167.92	DCR|3VULN|1AART|2ZMB|1CDMG	1CDMG|23ZMB|4MBVNT|59aVULN|6DUST|7RCR|8AART
150	52122 16335	 * 	167.86	DCR|2AART|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1BELT|2LWND|3VULN|45AART|6RCR|7FLTHEA|8ASPD|9CDMG|aZMB
151	33636 26121	   	167.79	DCR|2VULN|1AART|1DMG|2CDMG	19LWND|2AART|3DMG|49VULN|5RPLT|69CDMG|7RCR|8RMIN|9BPWR|aBEXP
152	33636 26122	   	167.79	DCR|2VULN|1AART|1DMG|2CDMG	19LWND|2AART|3DMG|49VULN|5RPLT|69CDMG|7RCR|8RMIN|9BPWR|aCGEN
153	33634 16121	   	167.79	DCR|2VULN|1AART|1DMG|2CDMG	19LWND|2AART|3DMG|49VULN|59CDMG|6RPLT|7RCR|8RMIN|9BPWR|aBEXP
154	33634 16122	   	167.79	DCR|2VULN|1AART|1DMG|2CDMG	19LWND|2AART|3DMG|49VULN|59CDMG|6RPLT|7RCR|8RMIN|9BPWR|aCGEN
155	16121 33461	   	167.77	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1RPLT|2aVULN|3AART|45aCGEN|6RCR|7CDMG|8ZMB|9aASPD|aBPWR
156	21255 32232	   	167.73	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2ZMB|3LWND|4SELL|58VULN|6TLV|7RCR|9AART|aDMG
157	22523 61321	   	167.71	DCR|3VULN|2AART|1CDMG	1CDMG|2LWND|39aVULN|4MLV|5LHND|6RCR|78AART
158	16112 32132	   	167.71	DCR|2AART|2VULN|1DMG|1ASPD	1RPLT|2aVULN|35AART|4ERES|6RCR|7ASPD|8LIT|9DMG
159	42452 33111	   	167.64	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1aFEWX|2AART|3ASPD|4aZMB|5RCR|6DMG|78VULN|9aCGEN|aBPWR
160	16134 26312	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|2aVULN|3AART|4FEWX|5RMIN|6CDMG|7RCR|8ASPD|9DMG
161	62213 13514	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|2MGNLIT|3DUR|4CGEN|5aDMG|6RCR|7AART|8VULN|9CDMG
162	33636 26113	   	167.59	DCR|2DMG|1AART|1VULN|2CDMG	1LWND|2AART|39DMG|4VULN|5RPLT|6aCDMG|7RCR|8RMIN
163	33636 26323	   	167.59	DCR|2DMG|1AART|1VULN|2CDMG	1LWND|2AART|38DMG|4VULN|5RPLT|6aCDMG|7RCR|9CGEN
