0	Index      	 *	Score 	Summary	Detail	
1	42313 22426	 * 	208.99	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68aDMG|78VULN|8BPWR|9LHND
37	36343 32162	 * 	189.47	DCR|3VULN|2DMG|1AART|2ASPD|1SELL	1SELL|2AART|38DMG|458VULN|68ASPD|7DMSP|8BPWR|9RCR|aERES
38	42333 25342	 * 	189.40	ACR|3DMG|2AART|2CDMG|2ASPD	1aCDMG|27RCVC|3RCR|46aDMG|58AART|9aASPD|aBPWR
39	42333 32425	   	189.30	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD|1DUR	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9LHND|aDUR
40	24316 17813	   	188.29	DCR|3VULN|3ZMB|1AART|1CDMG|1ASPD	1MBVNT|279VULN|3ASPD|479ZMB|5AART|679MLV|79BPWR|8RCR|aCDMG
41	32143 42612	   	187.38	ACR|3VULN|2DMG|2ASPD|1CDMG|1DUR|1SELL	1SELL|258VULN|3DUR|4RCR|68ASPD|78DMG|8BPWR|9MLV|aCDMG
42	32143 42622	   	187.28	ACR|3VULN|2DMG|2ASPD|1CDMG|1DUR|1SELL	1SELL|258VULN|3DUR|4RCR|68ASPD|78DMG|8BPWR|9ERES|aCDMG
43	42333 32313	 * 	187.19	ACR|2AART|2DMG|1VULN|2CDMG|1ASPD	1aCDMG|2RCVC|3RCR|4aDMG|59AART|6ASPD|7VULN|8aLIT|aBPWR
44	42333 26363	   	186.85	ACR|3DMG|2AART|2CDMG|1ZMB	18CDMG|2RCVC|3RCR|468DMG|5aAART|78MGNLIT|8BPWR|9ZMB
45	42313 22236	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RCVC|3RCR|4ASPD|5AART|6aDMG|79VULN|8LHND
46	42313 23536	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RCVC|3RCR|4ASPD|5AART|6aDMG|7LWND|89VULN
47	42333 32236	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RCVC|3RCR|4aDMG|5AART|6ASPD|79VULN|8LHND
48	42333 33536	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RCVC|3RCR|4aDMG|5AART|6ASPD|7LWND|89VULN
49	42313 22636	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RCVC|3RCR|4ASPD|5AART|6aDMG|79VULN|8LEGI
50	42333 32636	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RCVC|3RCR|4aDMG|5AART|6ASPD|79VULN|8LEGI
51	53234 53313	   	186.60	ACR|5VULN|1DMG|2DUR|1ASPD	19TLV|2RCR|39DUR|4ASPD|5DMG|6789aVULN|9BPWR
52	36341 21432	 * 	186.05	DCR|2VULN|2DMG|1AART|2ASPD|2DUR|1SELL	1SELL|2AART|38DMG|47VULN|58ASPD|68DUR|8BPWR|9RCR|aERES
53	36341 21433	 * 	186.05	DCR|2VULN|2DMG|1AART|2ASPD|2DUR|1SELL	1SELL|2AART|38DMG|47VULN|58ASPD|68DUR|8BPWR|9RCR|aTLV
54	24528 23453	 * 	185.47	DCR|4VULN|2DMG|1AART	1MBVNT|2568VULN|348BEXP|78DMG|8BPWR|9RCR|aAART
55	36333 51316	 * 	184.77	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1SELL	1SELL|2AART|39DMG|4LHND|59VULN|6DUR|7ERES|89CDMG|9BPWR|aRCR
56	36323 11316	 * 	184.67	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1SELL	1SELL|2AART|39DMG|4DUR|59VULN|6DUST|7ERES|89CDMG|9BPWR|aRCR
57	42323 25131	   	184.46	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|48MLV|5AART|678DMG|8BPWR|9VULN|aCGEN
58	42323 25132	   	184.46	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|48MLV|5AART|678DMG|8BPWR|9VULN|aLHND
59	42323 25133	   	184.46	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|48MLV|5AART|678DMG|8BPWR|9VULN|aDMSP
60	42323 25136	   	184.46	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|48MLV|5AART|678DMG|8BPWR|9VULN|aBEXP
61	42333 26342	   	184.36	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|468DMG|5AART|78MGNLIT|8BPWR|9VULN|aLEGI
62	42323 25135	   	184.36	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|48MLV|5AART|678DMG|8BPWR|9VULN|aERES
63	42333 15131	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68TLV|8BPWR|9VULN|aCGEN
64	42333 15132	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68TLV|8BPWR|9VULN|aLHND
65	42333 15133	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68TLV|8BPWR|9VULN|aDMSP
66	42333 15136	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68TLV|8BPWR|9VULN|aBEXP
67	42333 21621	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	1aCDMG|2RCVC|3RCR|468DMG|5AART|7FEWX|9VULN
68	42333 25412	 * 	184.26	ACR|3DMG|1AART|3ASPD|2CDMG	1aCDMG|27RCVC|3RCR|46aDMG|5AART|89aASPD|aBPWR
69	42333 55131	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68ERES|8BPWR|9VULN|aCGEN
70	42333 55132	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68ERES|8BPWR|9VULN|aLHND
71	42333 55133	   	184.26	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68ERES|8BPWR|9VULN|aDMSP
72	42213 22435	 * 	184.18	DCR|2VULN|1AART|1DMG|2CDMG|3DUR|1ASPD	18CDMG|2RCVC|38aDUR|4ASPD|5AART|6DMG|78VULN|8BPWR|9RCR
73	42233 32435	   	184.18	DCR|2VULN|1AART|1DMG|2CDMG|3DUR|1ASPD	18CDMG|2RCVC|38aDUR|4DMG|5AART|6ASPD|78VULN|8BPWR|9RCR
74	42333 15135	   	184.16	ACR|3DMG|1AART|1VULN|2CDMG	18CDMG|2RCVC|3RCR|478DMG|5AART|68TLV|8BPWR|9VULN|aERES
75	53314 53311	   	183.09	ACR|4VULN|2DMG|1ZMB	19TLV|2RCR|3LEGI|4ZMB|59DMG|6789VULN|9BPWR|aLWND
76	53314 53312	   	183.09	ACR|4VULN|2DMG|1ZMB	19TLV|2RCR|3LEGI|4ZMB|59DMG|6789VULN|9BPWR|aBELT
77	42333 26313	   	182.79	ACR|3DMG|2AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|468DMG|5aAART|78MGNLIT|8BPWR|9ASPD
78	42313 22343	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aCDMG|2RCVC|3RCR|4aASPD|5AART|6DMG|79VULN|8aLIT|aBPWR
79	42333 32424	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9LHND|aBEXP
80	42333 32432	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9aRMIN
81	42333 32433	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9RMIN|aDMSP
82	42333 32435	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9RMIN|aLHND
83	42333 32451	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|29RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|aDMSP
84	42333 32453	   	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|29RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|aFEWX
85	42333 26316	   	182.34	ACR|3DMG|1AART|2CDMG|1ZMB|1ASPD	18CDMG|2RCVC|3RCR|468DMG|5AART|78MGNLIT|8BPWR|9ASPD|aZMB
86	42333 32412	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9ERES|aRMIN
87	42333 32413	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9ERES|aLHND
88	42333 32422	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9LHND|aERES
89	42333 32423	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9LHND|aTLV
90	42333 32431	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9RMIN|aDUST
91	42333 32436	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9RMIN|aERES
92	42333 32452	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|29RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|aERES
93	42333 32411	   	182.16	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78VULN|8BPWR|9ERES|aDUST
94	24316 17811	   	181.58	DCR|3VULN|3ZMB|1AART|1ASPD|1DUR	1MBVNT|279VULN|3ASPD|479ZMB|5AART|679MLV|79BPWR|8RCR|aDUR
95	24316 17842	   	181.25	DCR|3VULN|3ZMB|1AART|2ASPD	1MBVNT|27aVULN|3aASPD|47aZMB|5AART|679MLV|7aBPWR|8RCR
96	36323 53313	 * 	181.22	DCR|2VULN|2DMG|1AART|3DUR|1SELL	1SELL|2AART|3aDMG|468DUR|5aVULN|7RCR|9aCGEN|aBPWR
97	12211 51521	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LIT|2ASPD|3RCR|4LHND|57DMG|6ZMB|89VULN|aAART
98	12221 51525	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LIT|2ASPD|3RCR|4FEWX|57DMG|6ZMB|89VULN|aAART
99	23443 73827	   	181.13	ACR|3VULN|2DMG|1AART|1ASPD	1MBVNT|28CGEN|3FEWX|468VULN|5RCR|78DMG|8BPWR|9ASPD|aAART
100	24316 25821	   	180.87	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1MBVNT|28VULN|38ASPD|4ZMB|5AART|6LWND|78DMG|8BPWR|9CGEN|aRCR
101	24316 25841	   	180.87	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1MBVNT|28VULN|38ASPD|4ZMB|5AART|6LWND|78DMG|8BPWR|9MLV|aRCR
102	14613 26311	 * 	180.47	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2CDMG|38VULN|4DMG|5ZMB|6DUR|79AART|aRCR
103	42213 22434	   	180.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4ASPD|5AART|6DMG|78VULN|8BPWR|9RCR|aBEXP
104	42213 22436	   	180.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4ASPD|5AART|6DMG|78VULN|8BPWR|9RCR|aMLV
105	42233 32434	   	180.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4DMG|5AART|6ASPD|78VULN|8BPWR|9RCR|aBEXP
106	42233 32436	   	180.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4DMG|5AART|6ASPD|78VULN|8BPWR|9RCR|aMLV
107	42213 22432	   	180.26	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4ASPD|5AART|6DMG|78VULN|8BPWR|9RCR|aERES
108	42213 22433	   	180.26	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4ASPD|5AART|6DMG|78VULN|8BPWR|9RCR|aTLV
109	42233 32432	   	180.26	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4DMG|5AART|6ASPD|78VULN|8BPWR|9RCR|aERES
110	42233 32433	   	180.26	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18CDMG|2RCVC|38DUR|4DMG|5AART|6ASPD|78VULN|8BPWR|9RCR|aTLV
111	36343 43332	   	180.20	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD|1SELL	1SELL|2AART|3DMG|45VULN|68DUR|7RCR|9CDMG|aASPD
112	42333 26234	   	180.06	ACR|2AART|2DMG|1VULN|2CDMG	18CDMG|2RCVC|3RCR|46DMG|59AART|7MGNLIT|aVULN
113	42313 21364	   	179.99	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2RCVC|3RCR|4ASPD|5AART|6DMG|7SELL|8aVULN|9ZMB
114	42333 31364	   	179.99	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2RCVC|3RCR|4DMG|5AART|6ASPD|7SELL|8aVULN|9ZMB
115	24613 88311	   	179.94	ACR|4VULN|2DMG|2ZMB	1MBVNT|2689VULN|3CGEN|49ZMB|5RCR|79DMG|9BPWR|aLWND
116	24613 88312	   	179.94	ACR|4VULN|2DMG|2ZMB	1MBVNT|2689VULN|3CGEN|49ZMB|5RCR|79DMG|9BPWR|aBELT
117	24314 68812	   	179.75	DCR|3VULN|3ZMB|1AART|2ASPD	1MBVNT|29aVULN|3aASPD|49aZMB|569TLV|7AART|8RCR|9aBPWR
118	42333 26262	   	179.61	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	18CDMG|2RCVC|3RCR|46DMG|5AART|7MGNLIT|9ZMB|aVULN
119	53214 33325	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1TLV|2RCR|3DUR|4ZMB|5DMG|6BEXP|78VULN|9CDMG|aAART
120	53214 23325	   	179.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1TLV|2RCR|3DUR|4ZMB|5DMG|6DUST|78VULN|9CDMG|aAART
121	42313 21252	   	179.12	ACR|2AART|2DMG|2CDMG|2DUR|1ASPD|1SELL	1aCDMG|2RCVC|3RCR|4ASPD|58AART|6aDMG|7SELL|9aDUR|aBPWR
122	53334 53311	   	179.02	ACR|4VULN|2DMG|1ASPD	19TLV|2RCR|3LEGI|4ASPD|59DMG|6789VULN|9BPWR|aLWND
123	53334 53312	   	179.02	ACR|4VULN|2DMG|1ASPD	19TLV|2RCR|3LEGI|4ASPD|59DMG|6789VULN|9BPWR|aBELT
